Chương 610: Cấm kỵ thân thể bể tan tành! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Tiểu Phong thế nào?"
	Jessin gật đầu một cái, cũng không đang giấu giếm tất cả mọi người, nơi này tin tưởng sẽ không có phản đồ, cũng không cần phải xuất hiện phản đồ, Thiên Đế vừa chết, Thiên Đế triều nhất thời sụp đổ, bách giới đại liên minh giờ phút này cũng xảy ra rối loạn, mặc dù không rõ nguyên nhân, nhưng là tất cả kẻ địch cũng không có nhằm vào Thiên Thai có thể.

	"Lâm Phong cấm kỵ thân thể bể nát, Thiên Quỳ một chưởng kia, dùng mười phần khí lực, trực tiếp đem Lâm Phong cấm kỵ thân thể nổ, may mắn cũng là nơi này, nếu không phải cấm kỵ thân thể, Lâm Phong giờ phút này đã sớm nguyên thần hủy hết" .

	"Cho nên, cấm kỵ thân thể tan vỡ hắn, thực lực sẽ biến mất, bởi vì là hắn trước kia phương pháp tu luyện cũng đi qua cấm kỵ thân thể, cho nên hắn bây giờ tương đương với không có pháp lực" .

	Jessin giọng ngưng trọng nói xong những lời này, nhất thời trong biệt viện yên lặng như tờ, tất cả mọi người đều sững sốt, nhìn Jessin.

	Hồi lâu sau, Nhược Tà phá vỡ cái này đáng sợ yên tĩnh, hướng về phía Jessin trầm giọng nói: " Ừ, chúng ta đều biết, những ngày qua cám ơn ngươi, Louis" .

	"Hắn một hồi là có thể tỉnh lại rồi, các người, các người thật tốt khuyên hắn một chút" .

	Jessin nghe Nhược Tà mà nói, khẽ gật đầu, sau đó hướng về phía tất cả mọi người dặn dò một câu, chính là đi ra biệt viện, hắn giờ phút này trong lòng giống vậy khó chịu, làm là trên Thần lục có chừng hai cái người Trái Đất linh hồn, hắn cùng Lâm Phong mặc dù đồ mới có đừng, nhưng là bền chắc không thể phá được minh ước quan hệ vẫn tồn tại như cũ, Lâm Phong phát sinh như vậy sự việc, chân thực để cho người khó chịu.

	Jessin rời đi biệt viện, Nhược Tà cùng Hậu Thanh Lâm các người chính là đẩy cửa phòng ra, đi vào, tiến vào Thanh Nhã gian phòng, Mộng Tình cùng Đường U U đã sớm ở trong nhà bồi bạn Lâm Phong, đi theo Nhược Tà các người đi tới Hỏa Vũ cùng Hoang Nữ cũng đứng ở Mộng Tình bên người, mặt lộ vẻ buồn rầu nhìn Lâm Phong.

	Đáng giá người chú ý chính là, Mộng Tình bên người, có một cái dính sát Mộng Tình thân thể tuấn tú cô gái, cô gái một bộ đầm trắng dài, cùng Mộng Tình không hai, cùng Mộng Tình đứng chung một chỗ, toát ra hơi thở lạnh như băng, ai cũng không chịu nổi.

	Lâm Phong nửa năm lịch luyện, thực lực đạt tới thần hoàng bát trọng, mà Mộng Tình đồng dạng không kém, hôm nay đã là thần hoàng tầng bảy cấp bậc.

	Lăng Tuyết từ Lâm Phong trong cơ thể đi ra biến ảo người lớn sau đó, Lâm Phong đã biến thành phổ không qua lọt người, không có một chút tu vi, liền bảy khí vũ cảnh cũng không có, có thể nói chân chân thiết thiết trở thành người bình thường.

	Nhược Tà nhìn nằm ở trên giường Lâm Phong, đúng là không có chút nào khí tức cường giả, vốn là bi thống Nhược Tà, giờ phút này lại là liên tiếp gặp tai nạn, hắn rất muốn khóc lớn một lần, nhưng mà hắn chỉ có thể nhịn.

	Có vào nhà Thiên Thai trưởng lão, nhưng cũng có hết nhìn đông tới nhìn tây sau đó liền rời đi Thiên Thai trưởng lão, mặc dù chỉ có một người, nhưng là hành động quỷ dị, nếu như đặt ở bình thường, đã sớm bị người phát hiện, như vậy mà ngày hôm nay tất cả Thiên Thai cường giả hội tụ đến Lâm Phong bên trong nhà.

	Thời gian chậm rãi trôi qua, đảo mắt ở giữa liền từ sáng sớm đến buổi chiều, ánh mặt trời cũng yếu đi rất nhiều, thời gian Hoang Nữ rời đi một lần, hôm nay Thần lục hỗn loạn, Đại Hoang triều nhiệm vụ nhiều hơn, mỗi ngày cần ứng đối đột phát sự việc cũng nhiều hơn, nếu như một cái theo không thấy được, liền dễ dàng tạo thành hủy diệt nguy hiểm.

	Hoang Nữ rời đi không lâu, Lâm Phong tỉnh.

	Lâm Phong mở mắt ra, đầu tiên là mơ hồ tầm mắt nhìn tất cả mọi người, cuối cùng cặp mắt dần dần mát mẽ đứng lên, thấy được đứng ở mình mép giường các sư huynh cùng với Thiên Thai trưởng lão, cuối cùng chính là mình những phụ nữ này còn có Lăng Tuyết.

	Lâm Phong quơ quơ đầu, chỉ cảm giác có chút nhức đầu, ngực lại là truyền tới một hồi đau nhức, Lâm Phong rất mau liền nhớ lại Long Vân núi tất cả mọi chuyện, Thiên Đế chết, mình vô hình thành hung thủ, Thiên Đế trước khi chết tính toán mình.

	Thiên Quỳ xuất hiện, một chưởng vỗ bay mình, sau sự việc liền cái gì cũng không nhớ.

	Lâm Phong ngồi dậy, nhất thời dọa mọi người giật mình, như vậy rất nhanh những người này trên mặt liền lộ ra kích động nụ cười.

	"Tiểu Phong, ngươi tỉnh" . Nhược Tà nhìn Lâm Phong từ trên giường ngồi dậy, trên mặt lộ ra vẻ tươi cười, nhưng là ai nấy đều thấy được, nụ cười này trong cất giấu bi thương.

	Lâm Phong kinh ngạc nhìn Nhược Tà, không nhịn được hỏi: "Sư huynh, ngươi thế nào?"

	"Ta, không, không có sao, không có sao" . Nhược Tà giọng ngẩn ra, sau đó chính là lắc đầu một cái, Nhược Tà không có đem Tôn Tà còn có Phật tổ lợi dụng tự bạo mình, cùng Thiên Quỳ lấy mạng đổi mạng sự việc nói cho Lâm Phong, rất sợ Lâm Phong sau khi nghe, nóng lòng.

	Nhưng là Nhược Tà ý tưởng rất tốt, nhưng Lâm Phong cùng rất nhiều sư huynh sống chung mấy trăm năm, lẫn nhau đều hiểu lẫn nhau, Lâm Phong một cái là có thể nhìn ra Nhược Tà có chuyện gạt mình.

	Lâm Phong liếc nhìn Mộng Tình, hỏi: "Mộng Tình, ngươi nói, rốt cuộc chuyện gì xảy ra?"

	Mộng Tình liếc nhìn Lâm Phong, lại nhìn mắt như tà, Nhược Tà mặt lộ vẻ buồn rầu hướng về phía Mộng Tình lắc đầu, ý không cần nói cho mới vừa tỉnh lại Lâm Phong, nhưng là Mộng Tình rất biết mình tướng công tính cách, nếu không phải biết kết quả, sẽ gặp từ các phương diện hỏi thăm được.

	Dứt khoát, Mộng Tình liền đem Tôn Tà lão giả còn có Phật tổ lợi dụng tự bạo sự việc nói ra.

	Chốc lát đã qua, Lâm Phong rơi vào yên lặng, tất cả mọi người cũng theo Mộng Tình kể, sắc mặt trở nên âm trầm xuống, nhất thời bên trong nhà lạnh có chút đáng sợ.

	Hồi lâu sau, Lâm Phong mới ngẩng đầu nhìn Mộng Tình, thở dài nói: "Mộng Tình, đem Tôn Tà lão giả khi còn sống để lại cho sư huynh tờ giấy lấy ra" .

	"Ta rốt cuộc biết tiền bối vì sao phải lưu lại tờ giấy kia, nguyên lai hắn sớm đã có dự liệu."

	Mộng Tình nghĩ đến nửa năm trước đi hai giới núi nhà gỗ tìm được tờ giấy, cũng chỉ có thể là than thở một tiếng, Tôn Tà lão giả đối với Nhược Tà yêu, quá mức thâm trầm.

	Mộng Tình từ tay áo trong lấy ra ngày đó lưu lại tờ giấy, giao cho Nhược Tà, Nhược Tà còn có chút nghi ngờ, không hiểu Tôn Tà lưu có cái gì tờ giấy, làm hắn thấy trên tờ giấy nội dung, Nhược Tà hai tròng mắt trên cũng không nhịn được nữa, chảy xuống mấy giọt nước mắt.

	Lâm Phong đây là lần đầu tiên thấy Nhược Tà chảy nước mắt, Hậu Thanh Lâm, Mộ Bi cùng sư huynh đệ cũng cảm giác đau tim, Nhược Tà như vậy, có thể gặp tờ giấy trên rốt cuộc viết cái gì.

	Lâm Phong từ giường đứng lên, vỗ một cái Nhược Tà bả vai, không có nhiều ít lời an ủi.

	"Ngươi không nên cô phụ tiền bối tâm tư" .

	"Tiểu Phong, ta rõ ràng" . Nhược Tà gật đầu cười một tiếng, nụ cười này tương so với trước đó, đã tốt hơn rất nhiều.

	"Tốt lắm tốt lắm, không sao, tất cả mọi người giải tán đi" . Lâm Phong xem tới nơi này, trên mặt lộ ra nụ cười sáng lạng, tất cả mọi chuyện cũng đã qua.

	Nhưng là hắn cười, những người khác vẫn là một mặt phức tạp diễn cảm nhìn Lâm Phong, Nhược Tà giống như vậy.

	Bởi vì là, Lâm Phong cấm kỵ thân thể bể tan tành, đây mới là thẻ tại tất cả Thiên Thai người cổ ở giữa một cây gai, khó mà nuốt xuống, khó mà quên mất.

	Lâm Phong nhìn những thứ này sắc mặt như cũ không đúng, mình thần sắc cũng chậm rãi âm trầm xuống, Lâm Phong hắn làm sao thường không cảm giác được mình cấm kỵ thân thể bể tan tành vấn đề, từ hắn tỉnh lại thì cảm giác không đúng.

	Nhưng, cái này thật có thể để cho hắn mất hết ý chí sao?

	Lâm Phong chẳng qua là bĩu môi.

	 lập tức tất cả bí ẩn đều đưa giải được, Hiên Viên ma hoàng tại sao đối với Lâm Phong như vậy, bách giới đại liên minh minh chủ, cùng với Lâm Quỳnh Thánh rốt cuộc ở nơi nào, đều đưa từng cái là ngài công bố, cùng tất cả bí ẩn tháo ra sau đó, chính là Lâm Phong đi Thần quốc ngàyChương 610: Cấm kỵ thân thể bể tan tành! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Tiểu Phong thế nào?"

	Hậu Thanh Lâm các người đứng ở Lâm Phong bên ngoài phòng mặt, gặp Jessin đi ra, vội vàng cuống cuồng tiến lên hỏi.

	Jessin sắc mặt có chút nặng nề, bao gồm Lâm Phong ở bên trong tất cả mọi người đều không có gặp qua Jessin có như vậy nặng nề sắc mặt, hắn liếc nhìn Hậu Thanh Lâm, sau đó liếc mắt bên trong phòng, trầm giọng quát lên: "Lâm Phong trước sau đôi chiến Tông Thống cùng Thiên Đế, thể lực đã sớm chống đỡ hết nổi, nếu không có trong tuyết tinh linh, Lăng Tuyết khí lực giúp đỡ, sợ rằng Thiên Quỳ cuối cùng một chưởng, thì có thể để cho hắn bỏ mạng" .

	"Nhưng mà đã qua 2 tháng, vì sao vẫn chưa tỉnh lại?" Hình Chiến từ phía sau chui vào, một mặt lo lắng hỏi.

	Jessin nhìn Lâm Phong những thứ này các sư huynh còn có Thiên Thai một tất cả trưởng lão, duy chỉ có thiếu thiếu Huyết Nhiễm, hơn nữa Huyết Nhiễm từ hôm đó Long Vân núi cuộc chiến, liền lại cũng chưa thấy qua, hắn trong lòng nghi ngờ, nhưng giờ phút này không phải quấn quít cái này thời điểm.

	"Không phải hắn vẫn chưa tỉnh lại, là ta không để cho hắn tỉnh lại" . Jessin trầm tư hồi lâu, cuối cùng mới bất đắc dĩ thán ra một tiếng, để cho tất cả mọi người đều ngây ngẩn, không hiểu Jessin đây là ý gì.

	"Ngươi có ý gì? Vì sao không để cho ta sư tôn tỉnh lại?" Diệp Thần nóng nảy rất lớn, nghe Jessin mà nói, nhất thời giận từ trong lòng tới, tựa như cũng quên mất là ai gián tiếp trợ giúp hắn đột phá.

	Jessin biết Diệp Thần tâm tình, cũng không có cùng hắn so đo những chuyện này tâm tư, mà là cau mày quát lên: "Ta sợ hắn tỉnh lại, sẽ mất hết ý chí" .

	"Có lời gì, ngươi cứ việc nói thẳng đi!" .

	Jessin lời còn chưa dứt, từ bên ngoài đi tới một cái hơi có vẻ thân ảnh cô độc, Nhược Tà.

	Nhược Tà 2 tháng bên trong, chưa bao giờ cách mở cửa phòng, chẳng qua là Lâm Phong bị người mang sau khi trở về gặp một lần, hắn thừa nhận mất Tôn Tà lão giả thống khổ, hiện đang đi ra.

	Nhược Tà rõ ràng, Thiên Thai không thể không có hắn, càng không thể không có Lâm Phong, cho nên hắn chịu đựng đau tim cũng chạy tới.

	Nhược Tà tới, Hậu Thanh Lâm nhường ra nửa bước, để cho Nhược Tà đứng ở phía trước, bây giờ trên Thiên thai, Nhược Tà chính là lớn quản gia, toàn quyền phụ trách Thiên Thai công việc.

	Nhược Tà nhìn Jessin, ánh mắt ngưng trọng.

	Jessin gật đầu một cái, cũng không đang giấu giếm tất cả mọi người, nơi này tin tưởng sẽ không có phản đồ, cũng không cần phải xuất hiện phản đồ, Thiên Đế vừa chết, Thiên Đế triều nhất thời sụp đổ, bách giới đại liên minh giờ phút này cũng xảy ra rối loạn, mặc dù không rõ nguyên nhân, nhưng là tất cả kẻ địch cũng không có nhằm vào Thiên Thai có thể.

	"Lâm Phong cấm kỵ thân thể bể nát, Thiên Quỳ một chưởng kia, dùng mười phần khí lực, trực tiếp đem Lâm Phong cấm kỵ thân thể nổ, may mắn cũng là nơi này, nếu không phải cấm kỵ thân thể, Lâm Phong giờ phút này đã sớm nguyên thần hủy hết" .

	"Cho nên, cấm kỵ thân thể tan vỡ hắn, thực lực sẽ biến mất, bởi vì là hắn trước kia phương pháp tu luyện cũng đi qua cấm kỵ thân thể, cho nên hắn bây giờ tương đương với không có pháp lực" .

	Jessin giọng ngưng trọng nói xong những lời này, nhất thời trong biệt viện yên lặng như tờ, tất cả mọi người đều sững sốt, nhìn Jessin.

	Hồi lâu sau, Nhược Tà phá vỡ cái này đáng sợ yên tĩnh, hướng về phía Jessin trầm giọng nói: " Ừ, chúng ta đều biết, những ngày qua cám ơn ngươi, Louis" .

	"Hắn một hồi là có thể tỉnh lại rồi, các người, các người thật tốt khuyên hắn một chút" .

	Jessin nghe Nhược Tà mà nói, khẽ gật đầu, sau đó hướng về phía tất cả mọi người dặn dò một câu, chính là đi ra biệt viện, hắn giờ phút này trong lòng giống vậy khó chịu, làm là trên Thần lục có chừng hai cái người Trái Đất linh hồn, hắn cùng Lâm Phong mặc dù đồ mới có đừng, nhưng là bền chắc không thể phá được minh ước quan hệ vẫn tồn tại như cũ, Lâm Phong phát sinh như vậy sự việc, chân thực để cho người khó chịu.

	Jessin rời đi biệt viện, Nhược Tà cùng Hậu Thanh Lâm các người chính là đẩy cửa phòng ra, đi vào, tiến vào Thanh Nhã gian phòng, Mộng Tình cùng Đường U U đã sớm ở trong nhà bồi bạn Lâm Phong, đi theo Nhược Tà các người đi tới Hỏa Vũ cùng Hoang Nữ cũng đứng ở Mộng Tình bên người, mặt lộ vẻ buồn rầu nhìn Lâm Phong.

	Đáng giá người chú ý chính là, Mộng Tình bên người, có một cái dính sát Mộng Tình thân thể tuấn tú cô gái, cô gái một bộ đầm trắng dài, cùng Mộng Tình không hai, cùng Mộng Tình đứng chung một chỗ, toát ra hơi thở lạnh như băng, ai cũng không chịu nổi.

	Lâm Phong nửa năm lịch luyện, thực lực đạt tới thần hoàng bát trọng, mà Mộng Tình đồng dạng không kém, hôm nay đã là thần hoàng tầng bảy cấp bậc.

	Lăng Tuyết từ Lâm Phong trong cơ thể đi ra biến ảo người lớn sau đó, Lâm Phong đã biến thành phổ không qua lọt người, không có một chút tu vi, liền bảy khí vũ cảnh cũng không có, có thể nói chân chân thiết thiết trở thành người bình thường.

	Nhược Tà nhìn nằm ở trên giường Lâm Phong, đúng là không có chút nào khí tức cường giả, vốn là bi thống Nhược Tà, giờ phút này lại là liên tiếp gặp tai nạn, hắn rất muốn khóc lớn một lần, nhưng mà hắn chỉ có thể nhịn.

	Có vào nhà Thiên Thai trưởng lão, nhưng cũng có hết nhìn đông tới nhìn tây sau đó liền rời đi Thiên Thai trưởng lão, mặc dù chỉ có một người, nhưng là hành động quỷ dị, nếu như đặt ở bình thường, đã sớm bị người phát hiện, như vậy mà ngày hôm nay tất cả Thiên Thai cường giả hội tụ đến Lâm Phong bên trong nhà.

	Thời gian chậm rãi trôi qua, đảo mắt ở giữa liền từ sáng sớm đến buổi chiều, ánh mặt trời cũng yếu đi rất nhiều, thời gian Hoang Nữ rời đi một lần, hôm nay Thần lục hỗn loạn, Đại Hoang triều nhiệm vụ nhiều hơn, mỗi ngày cần ứng đối đột phát sự việc cũng nhiều hơn, nếu như một cái theo không thấy được, liền dễ dàng tạo thành hủy diệt nguy hiểm.

	Hoang Nữ rời đi không lâu, Lâm Phong tỉnh.

	Lâm Phong mở mắt ra, đầu tiên là mơ hồ tầm mắt nhìn tất cả mọi người, cuối cùng cặp mắt dần dần mát mẽ đứng lên, thấy được đứng ở mình mép giường các sư huynh cùng với Thiên Thai trưởng lão, cuối cùng chính là mình những phụ nữ này còn có Lăng Tuyết.

	Lâm Phong quơ quơ đầu, chỉ cảm giác có chút nhức đầu, ngực lại là truyền tới một hồi đau nhức, Lâm Phong rất mau liền nhớ lại Long Vân núi tất cả mọi chuyện, Thiên Đế chết, mình vô hình thành hung thủ, Thiên Đế trước khi chết tính toán mình.

	Thiên Quỳ xuất hiện, một chưởng vỗ bay mình, sau sự việc liền cái gì cũng không nhớ.

	Lâm Phong ngồi dậy, nhất thời dọa mọi người giật mình, như vậy rất nhanh những người này trên mặt liền lộ ra kích động nụ cười.

	"Tiểu Phong, ngươi tỉnh" . Nhược Tà nhìn Lâm Phong từ trên giường ngồi dậy, trên mặt lộ ra vẻ tươi cười, nhưng là ai nấy đều thấy được, nụ cười này trong cất giấu bi thương.

	Lâm Phong kinh ngạc nhìn Nhược Tà, không nhịn được hỏi: "Sư huynh, ngươi thế nào?"

	"Ta, không, không có sao, không có sao" . Nhược Tà giọng ngẩn ra, sau đó chính là lắc đầu một cái, Nhược Tà không có đem Tôn Tà còn có Phật tổ lợi dụng tự bạo mình, cùng Thiên Quỳ lấy mạng đổi mạng sự việc nói cho Lâm Phong, rất sợ Lâm Phong sau khi nghe, nóng lòng.

	Nhưng là Nhược Tà ý tưởng rất tốt, nhưng Lâm Phong cùng rất nhiều sư huynh sống chung mấy trăm năm, lẫn nhau đều hiểu lẫn nhau, Lâm Phong một cái là có thể nhìn ra Nhược Tà có chuyện gạt mình.

	Lâm Phong liếc nhìn Mộng Tình, hỏi: "Mộng Tình, ngươi nói, rốt cuộc chuyện gì xảy ra?"

	Mộng Tình liếc nhìn Lâm Phong, lại nhìn mắt như tà, Nhược Tà mặt lộ vẻ buồn rầu hướng về phía Mộng Tình lắc đầu, ý không cần nói cho mới vừa tỉnh lại Lâm Phong, nhưng là Mộng Tình rất biết mình tướng công tính cách, nếu không phải biết kết quả, sẽ gặp từ các phương diện hỏi thăm được.

	Dứt khoát, Mộng Tình liền đem Tôn Tà lão giả còn có Phật tổ lợi dụng tự bạo sự việc nói ra.

	Chốc lát đã qua, Lâm Phong rơi vào yên lặng, tất cả mọi người cũng theo Mộng Tình kể, sắc mặt trở nên âm trầm xuống, nhất thời bên trong nhà lạnh có chút đáng sợ.

	Hồi lâu sau, Lâm Phong mới ngẩng đầu nhìn Mộng Tình, thở dài nói: "Mộng Tình, đem Tôn Tà lão giả khi còn sống để lại cho sư huynh tờ giấy lấy ra" .

	"Ta rốt cuộc biết tiền bối vì sao phải lưu lại tờ giấy kia, nguyên lai hắn sớm đã có dự liệu."

	Mộng Tình nghĩ đến nửa năm trước đi hai giới núi nhà gỗ tìm được tờ giấy, cũng chỉ có thể là than thở một tiếng, Tôn Tà lão giả đối với Nhược Tà yêu, quá mức thâm trầm.

	Mộng Tình từ tay áo trong lấy ra ngày đó lưu lại tờ giấy, giao cho Nhược Tà, Nhược Tà còn có chút nghi ngờ, không hiểu Tôn Tà lưu có cái gì tờ giấy, làm hắn thấy trên tờ giấy nội dung, Nhược Tà hai tròng mắt trên cũng không nhịn được nữa, chảy xuống mấy giọt nước mắt.

	Lâm Phong đây là lần đầu tiên thấy Nhược Tà chảy nước mắt, Hậu Thanh Lâm, Mộ Bi cùng sư huynh đệ cũng cảm giác đau tim, Nhược Tà như vậy, có thể gặp tờ giấy trên rốt cuộc viết cái gì.

	Lâm Phong từ giường đứng lên, vỗ một cái Nhược Tà bả vai, không có nhiều ít lời an ủi.

	"Ngươi không nên cô phụ tiền bối tâm tư" .

	"Tiểu Phong, ta rõ ràng" . Nhược Tà gật đầu cười một tiếng, nụ cười này tương so với trước đó, đã tốt hơn rất nhiều.

	"Tốt lắm tốt lắm, không sao, tất cả mọi người giải tán đi" . Lâm Phong xem tới nơi này, trên mặt lộ ra nụ cười sáng lạng, tất cả mọi chuyện cũng đã qua.

	Nhưng là hắn cười, những người khác vẫn là một mặt phức tạp diễn cảm nhìn Lâm Phong, Nhược Tà giống như vậy.

	Bởi vì là, Lâm Phong cấm kỵ thân thể bể tan tành, đây mới là thẻ tại tất cả Thiên Thai người cổ ở giữa một cây gai, khó mà nuốt xuống, khó mà quên mất.

	Lâm Phong nhìn những thứ này sắc mặt như cũ không đúng, mình thần sắc cũng chậm rãi âm trầm xuống, Lâm Phong hắn làm sao thường không cảm giác được mình cấm kỵ thân thể bể tan tành vấn đề, từ hắn tỉnh lại thì cảm giác không đúng.

	Nhưng, cái này thật có thể để cho hắn mất hết ý chí sao?

	Lâm Phong chẳng qua là bĩu môi.

	 lập tức tất cả bí ẩn đều đưa giải được, Hiên Viên ma hoàng tại sao đối với Lâm Phong như vậy, bách giới đại liên minh minh chủ, cùng với Lâm Quỳnh Thánh rốt cuộc ở nơi nào, đều đưa từng cái là ngài công bố, cùng tất cả bí ẩn tháo ra sau đó, chính là Lâm Phong đi Thần quốc ngày
