Chương 1158: Thanh Hoàng Thiên! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Ngươi, ngươi, ngươi vô sỉ!"
	Lâm Phong giờ khắc này, cũng không biết thế nào, tất cả dễ nghe lời nói toàn đều đặt ở 5 màu Phượng Hoàng trên mình, có một câu coi như một câu, Băng Linh ở băng xuyên thế giới có thể nghe được rõ ràng, nàng chỉ cảm thấy được một cổ chán ghét, tức giận nàng trực tiếp đem băng xuyên thế giới cùng Lâm Phong che giấu.

	5 màu phượng hoàng giờ phút này khuôn mặt nhỏ nhắn ửng đỏ, giống như là một cái thuần tình bé gái như nhau bụm mặt, vốn là trưởng được thanh thuần nàng, giờ khắc này càng lộ vẻ được đáng yêu chút, Lâm Phong những lời này tất cả cũng không đều là biên, có một bộ phận đúng là là thật, đến gần 5 màu Phượng Hoàng thân thể mềm mại sau đó, Lâm Phong đúng là ngửi thấy một cổ hương thơm.

	Cái này cổ hương thơm đến từ giữa trời đất, thanh thuần hơn nữa tự nhiên, cũng không phải là phàm trần cái loại đó son phấn có thể coi như nhau, Lâm Phong suy nghĩ những thứ này phượng hoàng hoặc là Nghê Hoàng nhất tộc, mỗi cái trên người cô gái đều có loại này mùi thơm cơ thể sao?

	Thiên Kim Thải Nguyệt trên người có để cho chàng trai động tâm mùi thơm lạ lùng, mẹ nàng Nghê Hoàng có để cho chàng trai huyết mạch bành trướng sau đó là có thể tự bạo mùi thơm cơ thể, mà đây cái 5 màu phượng hoàng cũng có đến từ đại tự nhiên mùi thơm cơ thể, để cho Lâm Phong đích xác có chút động tâm.

	Dĩ nhiên giờ khắc này mình là phát huy dịu dàng đặc điểm, mặc dù cái này một đặc tính bị Lâm Phong cố ý ẩn núp, nhưng là dỗ cô bé chiêu số, Lâm Phong há miệng sẽ tới.

	5 màu phượng hoàng bị Lâm Phong khích lệ sắc mặt mắc cở đỏ bừng, hương thơm loạn đụng, nàng đời này cũng không có người đàn ông khích lệ qua, hơn nữa phượng hoàng nhất tộc có quy củ, một khi chàng trai chọn trúng cô gái, cô gái liền muốn đời này đi theo hắn bên người, không rời không bỏ, như có vi phạm, phượng hoàng huyết mạch biến dị!

	Phượng hoàng huyết mạch biến dị, đối với phượng hoàng nhất tộc mà nói, đó chính là nhất đáng sợ sự việc, không người dám vi phạm.

	Lâm Phong không biết, hắn miệng lưỡi trơn tru lại gây ra một kiện tai họa, không chỉ có muốn kết hôn Nghê Hoàng nhất tộc cô gái, thậm chí còn muốn kết hôn phượng hoàng nhất tộc cô gái, dĩ nhiên những thứ này đều là nói sau, trước mắt Lâm Phong cũng không biết những chuyện này, nếu không cũng không dám như thế trêu chọc 5 màu phượng hoàng.

	"Ngươi, ngươi gạt người!"

	Chân thực không thể nhịn được nữa 5 màu phượng hoàng chỉ có thể là hờn dỗi một tiếng, nhưng cũng không có bao nhiêu thanh âm, cùng lúc ban đầu gặp Lâm Phong so sánh, nàng không biết yếu đi nhiều ít khí thế, rõ ràng là thần tổ cảnh giới, nhưng là lại biểu hiện giống như là một cái thần hoàng.

	Nàng biểu hiện, cũng bị 6 màu phượng hoàng nhìn ở trong mắt, không nhịn được tức giận không thôi, lại là thầm hận Lâm Phong cái này miệng lưỡi trơn tru, đang lừa gạt thuần tình phượng hoàng nhất tộc cô gái à!

	"Nào có, tỷ tỷ, ngươi để cho ta mê mệt, để cho ta thất thủ, ta đã đối với ngươi không cách nào tự kềm chế, thật, tỷ tỷ, xin tin tưởng ta" .

	Lâm Phong tiếp tục áp dụng ngôn ngữ thế công, dịu dàng ưu thế lại lần nữa bày ra, nhất là đối với 5 màu phượng hoàng như vậy không có trải qua thanh khiết cô gái mà nói, đây là biện pháp tốt nhất.

	Chỉ bất quá Lâm Phong trong lòng cũng có chút tự thẹn, làm như vậy không phải là vì lên cấp thôi, nhưng là sẽ ảnh hưởng đến một cái thanh khiết lòng của thiếu nữ, một khi thật xuất hiện sự việc, nên làm cái gì? Thật chẳng lẽ muốn kết hôn nàng?

	Lâm Phong không dám nghĩ, đây cũng là nói sau, trước mắt vẫn là mau sớm tiến vào tầng sáu phượng hoàng đàn, mau sớm thoát khỏi 5 màu phượng hoàng.

	"Ngươi, ngươi nói thật?" 5 màu phượng hoàng dần dần bị lạc linh hồn, nàng trong hai tròng mắt thoáng qua vẻ mờ mịt, nhìn Lâm Phong, tâm hồn thiếu nữ run rẩy.

	Lâm Phong âm thầm nắm chặt quả đấm, chỉ cảm giác được mình càng ngày càng tà ác, nhưng mà không có cách nào, mình và 4 màu Phượng Hoàng chiến đấu hao phí quá nhiều thực lực, nếu như và 5 màu phượng hoàng đối chiến, tất nhiên dữ nhiều lành ít, mà dùng chiêu này, vậy là không thể làm gì cử chỉ.

	"Dĩ nhiên, tỷ tỷ, đem ngươi phương danh nói cho ta, có thể không?" Lâm Phong chủ động hỏi 5 màu Phượng Hoàng tên chữ, hơn nữa biểu hiện tự nhiên như vậy, chút nào không nhìn ra bất kỳ dị thường.

	5 màu phượng hoàng bị hắn hù dọa sửng sốt một chút, trong lòng giống như là có 10k con nai con chạy loạn như nhau, suy nghĩ Tu La ở cổ chiến trường tư thế oai hùng hiên ngang một màn, dám giết phượng hoàng nhất tộc, cũng dám xứng đôi người trong thiên hạ, đúng là có khí khái đàn ông.

	Hoàng tộc kính nể cường giả, vô luận cường giả này có phải hay không bổn tộc, đều là giống nhau, hoàng tộc cô gái lại là mê luyến cường giả, đem cường đại chàng trai làm trời , các nàng là, thiên bảo vệ địa.

	5 màu phượng hoàng thuộc về thuần tình hoàng tộc, đời này cũng không có đi vào hồng trần, ở phượng hoàng nhất tộc thuộc về nhất thuần tình cô gái, không có một trong, chính là một tờ giấy trắng.

	Lâm Phong không biết hắn làm một kiện cái gì tà ác sự việc, chọc được cái này 5 màu phượng hoàng hương thơm đại loạn.

	"Ta, ta kêu, Thanh Hoàng Thiên" 5 màu phượng hoàng đầy mặt vẻ say mê, tay nhỏ trắng ngăn ở ửng đỏ khuôn mặt nhỏ nhắn trước mặt, giọng nói chuyện rất là yểu điệu, nhưng nói cho nàng tên chữ.

	Lâm Phong nghe 5 màu Phượng Hoàng tên chữ, cũng không khỏi được một hồi lăng như vậy, đích xác là tên rất hay, Thanh Hoàng Thiên!

	"Thanh tỷ tỷ, ngươi tên chữ và ngươi người như nhau, thanh tú trong lại thêm rất nhiều linh tính" . Lâm Phong tiếp tục khen ngợi Thanh Hoàng Thiên, nhưng câu này thuộc về phát ra từ phế phủ khen ngợi, Thanh Hoàng Thiên trị giá được như vậy khen ngợi.

	Thanh Hoàng Thiên đầy mặt ngượng ngùng, giống như mười tám tuổi thanh khiết thiếu nữ như nhau, một cái nhăn mày một tiếng cười cũng cho thấy cổ điển cô gái đẹp tới, Lâm Phong hoảng hốt giữa thật có bị mê hoặc, vẻ đẹp của nàng cùng Đoạn Hân Diệp rất là tương tự, nhưng phong cách cũng có chỗ bất đồng, Đoạn Hân Diệp để cho người cảm thấy rất lạnh ấm áp, mà Thanh Hoàng Thiên lại để cho người cảm thấy rất ấm áp lạnh.

	"Tu La" .

	"Ừ ?"

	Thanh Hoàng Thiên khẽ gắt thanh Lâm Phong, Lâm Phong ngẩng đầu lên đáp một tiếng sau đó nhìn cô gái.

	Thanh Hoàng Thiên nhăn nhó cúi đầu xuống, từ trong ngực lấy ra một cái màu xanh cái ví, phía trên có khắc một tôn 5 màu phượng hoàng bổn tôn, vậy tràn đầy phượng hoàng chân khí.

	"Đây là ta thêu cái ví, ngươi cầm!" Thanh Hoàng Thiên vừa nói, đem cái ví đưa cho Lâm Phong, Lâm Phong vậy không có cự tuyệt, cầm trong tay đi trên lỗ mũi nhẹ thả ngửi một chút, một cổ hương thơm nghiêng nhập trong thân thể, và Thanh Hoàng Thiên mùi thơm cơ thể giống nhau như đúc.

	Thanh Hoàng Thiên gặp Lâm Phong đặt ở trên lỗ mũi ngửi, mặt nàng sắc cũng ửng đỏ, giống như là cấm kỵ chỗ bị Lâm Phong thấy được như nhau, nàng rõ ràng cái này cái ví là làm gì.

	6 màu phượng hoàng ở tầng sáu thấy một màn này, suýt nữa tức giận hôn mê bất tỉnh, 5 màu phượng hoàng liền nàng mang theo người cái ví đều cho Lâm Phong, điều này nói rõ cái gì? Điều này nói rõ hoàn toàn đem tâm hồn thiếu nữ đều giao cho Lâm Phong!

	Phượng hoàng nhất tộc, cô gái tín vật là không thể tùy tiện cho người, một khi cho chàng trai, đó chính là nói rõ cô gái này chung tình với chàng trai, muốn gả cho chàng trai cả đời.

	Lâm Phong tự nhiên không biết, nếu như biết, hắn thà lúc ban đầu và 5 màu phượng hoàng chiến đấu năm trăm hiệp, cũng không muốn thu lấy cái này cái ví, là nàng ngày sau tăng thêm rất nhiều hồng trần nợ, đào hoa kiếp!

	"Tu La, ngươi thật muốn đi vào cửa ải kế tiếp sao?"

	Ôn nhu lời nói nhỏ nhẹ, Thanh Hoàng Thiên đã theo tựa vào Lâm Phong bên người, chẳng qua là bởi vì là thẹn thùng còn không có dám tựa vào Lâm Phong ngực, nhưng nàng đã đem xiêm áo dính vào Lâm Phong trên y phục.

	Lâm Phong từ nàng trong giọng nói nghe được một tia mờ ám, nàng đã không nói nàng cửa ải này, mà là nói thẳng cửa ải kế tiếp, rất hiển nhiên mình lời ngon tiếng ngọt để cho Thanh Hoàng Thiên tâm hồn thiếu nữ đại loạn, cửa ải này có thể nói chỉ như vậy thông qua.

	" Ừ, ta đi vào nhất định phải theo đuổi tầng thứ cao hơn, Thanh tỷ, ngươi để cho ta đi đi, được không?" Lâm Phong nhìn chằm chằm Thanh Hoàng Thiên nhìn, Thanh Hoàng Thiên lại là một hồi thẹn thùng, che khuôn mặt nhỏ nhắn không để cho Lâm Phong thấy nàng mắc cở một màn.

	Lâm Phong càng ngày càng cảm thấy, sự việc có cái gì không đúng, tựa hồ có chút chọc cả người số đào hoa à!

	" Ừ, ngươi đi đi, bất quá. . ." .

	Thanh Hoàng Thiên gật đầu đồng ý, nhưng nói đến không đúng hai chữ lúc này trên mặt bắt đầu nhiều hơn rất nhiều lo lắng, nhìn Lâm Phong, trên mặt cũng không có vẻ thẹn thùng, ngược lại thì khôi phục trước đây thần thái.

	Nàng như vậy, dọa Lâm Phong giật mình.

	"Bất quá, ngươi phải chú ý an toàn, 6 màu phượng hoàng là chúng ta phượng hoàng nhất tộc mạnh nhất chàng trai, hắn thực lực cũng gần bằng với 7 màu phượng hoàng lãnh chúa, ngươi nhất định phải cẩn thận!"

	"Không nên dính vào, cảm thấy có thể đánh thì đánh, không đánh được liền lui về, ta hộ tống ngươi đi ra ngoài!"

	Thanh Hoàng Thiên giao phó trước Lâm Phong, e sợ cho lo lắng Lâm Phong bị nguy hiểm, mà giờ khắc này, Lâm Phong bỗng nhiên có dũng khí bị vợ dặn dò cảm giác, chỉ cảm thấy rất ấm áp, nhưng mà đây cũng là Thanh Hoàng Thiên giao phó.

	Lâm Phong thầm hô, không dám ở nơi này đợi lâu, nếu không thời gian dài, hắn mình thật lo lắng Thanh Hoàng Thiên muốn lấy thân báo đáp.

	Chẳng qua là hắn không biết chính là, Thanh Hoàng Thiên sớm liền quyết định lấy thân báo đáp, từ tín vật cái ví cho Lâm Phong một khắc kia, nàng đã trong lòng mặc niệm, đời này phi Tu La không lấy chồng!

	"Thanh tỷ, bảo trọng, ta đi!"

	Lâm Phong bước ra một bước, rời đi tầng thứ năm, trực tiếp chạy tầng thứ sáu thang lầu đi tới, rất nhanh hắn bóng người liền biến mất ở Thanh Hoàng Thiên trong con ngươi, Thanh Hoàng Thiên rầu rỉ nhìn Lâm Phong, hận không phù hợp đi theo Lâm Phong đi lên.

	Nhưng là nàng rất rõ ràng 7 màu phượng hoàng đàn quy củ, nàng là tầng thứ năm thủ quan người, cũng chỉ có thể lưu lại ở tầng thứ năm, lúc nào thực lực đạt tới nên canh phòng tầng thứ sáu, nàng mới có thể thăng vò.Chương 1158: Thanh Hoàng Thiên! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Ngươi, ngươi, ngươi vô sỉ!"

	5 màu phượng hoàng càng ngày càng tâm loạn, nàng sắc mặt đã mắc cở đỏ bừng thành một cái trái táo, trước ngực đầy đặn lại là không ngừng khi dễ, nàng chỉ cảm thấy được lòng nàng tư cũng rối loạn, khó mà suy nghĩ kế tiếp khảo hạch.

	Lâm Phong thầm nói một chiêu có hiệu quả à, nếu như có thể như vậy để cho 5 màu Phượng Hoàng tâm loạn hết, như vậy thì có thể không dùng tới một quyền một chưởng, thông qua cửa thứ năm này.

	"Ta vô sỉ? Làm sao có thể, ngươi xem, ta cái này miệng đầy đều là răng!" Lâm Phong toét miệng bật cười, còn cố ý lộ ra miệng để cho nàng xem một chút mình trắng noãn cứng rắn răng, lại là chọc có con gái tử mặt đầy ửng đỏ, lại là nổi giận.

	"Ngươi chớ có khí ta" . 5 màu phượng hoàng càng ngày càng phiền não, cũng không biết nên làm thế nào cho phải, nàng ở phượng hoàng nhất tộc địa vị rất cao, trong ngày thường mặt nơi nào có chàng trai dám như thế và nàng làm trò đùa thậm chí dám chọn chọc cười nàng, e sợ cho không kịp tránh.

	Bây giờ Lâm Phong làm như vậy, để cho lòng nàng hoàn toàn loạn điệu, phụ nữ lòng loạn lên, như vậy chuyện gì đều biết làm không tốt.

	"Tỷ tỷ, ngươi, tên gì? Có thể hay không nói cho ta phương danh!" Lâm Phong càng tệ hại hơn, kéo cằm nhìn chằm chằm vào nàng, đầy mặt ngây thơ dáng vẻ, trong hai tròng mắt lại là lộ ra vẻ tình cảm.

	5 màu phượng hoàng thời khắc này mặt đã mắc cở đỏ bừng thành đỏ bố trí, lại là cảm giác nóng bỏng nóng lên, có chút hỏa khí tựa hồ đặt ở trong cơ thể như nhau, để cho nàng không nhịn được buồng tim run rẩy, thần tổ cảnh nàng, giờ khắc này nhưng cực kỳ giống không có một người gặp qua việc đời bé gái, có chút sợ hãi.

	"Tỷ tỷ, ngươi thật là đẹp à!"

	"Tỷ tỷ, ngươi da tại sao trắng như vậy? Tấm tắc, còn có một tia hương thơm, tỷ tỷ, ngươi nhất định chính là giữa trời đất hoàn mỹ nhất kiệt tác à" .

	"Tỷ tỷ, ngươi có phải hay không phượng hoàng nhất tộc cô gái xinh đẹp nhất? Ta cảm thấy nhất định là như vậy , ừ, nhất định là, lấy tỷ tỷ như vậy xinh đẹp, làm sao có thể có người cùng ngươi so sánh, các nàng cùng ngươi so sánh, tất nhiên là huỳnh quang so nhật nguyệt, làm sao có thể cùng nhật nguyệt tranh huy?"

	"Tỷ tỷ, ngươi thật là quá đẹp, ta còn chưa bao giờ gặp qua như vậy đẹp để cho ta hít thở khó khăn người phụ nữ, thật!"

	Lâm Phong giờ khắc này, cũng không biết thế nào, tất cả dễ nghe lời nói toàn đều đặt ở 5 màu Phượng Hoàng trên mình, có một câu coi như một câu, Băng Linh ở băng xuyên thế giới có thể nghe được rõ ràng, nàng chỉ cảm thấy được một cổ chán ghét, tức giận nàng trực tiếp đem băng xuyên thế giới cùng Lâm Phong che giấu.

	5 màu phượng hoàng giờ phút này khuôn mặt nhỏ nhắn ửng đỏ, giống như là một cái thuần tình bé gái như nhau bụm mặt, vốn là trưởng được thanh thuần nàng, giờ khắc này càng lộ vẻ được đáng yêu chút, Lâm Phong những lời này tất cả cũng không đều là biên, có một bộ phận đúng là là thật, đến gần 5 màu Phượng Hoàng thân thể mềm mại sau đó, Lâm Phong đúng là ngửi thấy một cổ hương thơm.

	Cái này cổ hương thơm đến từ giữa trời đất, thanh thuần hơn nữa tự nhiên, cũng không phải là phàm trần cái loại đó son phấn có thể coi như nhau, Lâm Phong suy nghĩ những thứ này phượng hoàng hoặc là Nghê Hoàng nhất tộc, mỗi cái trên người cô gái đều có loại này mùi thơm cơ thể sao?

	Thiên Kim Thải Nguyệt trên người có để cho chàng trai động tâm mùi thơm lạ lùng, mẹ nàng Nghê Hoàng có để cho chàng trai huyết mạch bành trướng sau đó là có thể tự bạo mùi thơm cơ thể, mà đây cái 5 màu phượng hoàng cũng có đến từ đại tự nhiên mùi thơm cơ thể, để cho Lâm Phong đích xác có chút động tâm.

	Dĩ nhiên giờ khắc này mình là phát huy dịu dàng đặc điểm, mặc dù cái này một đặc tính bị Lâm Phong cố ý ẩn núp, nhưng là dỗ cô bé chiêu số, Lâm Phong há miệng sẽ tới.

	5 màu phượng hoàng bị Lâm Phong khích lệ sắc mặt mắc cở đỏ bừng, hương thơm loạn đụng, nàng đời này cũng không có người đàn ông khích lệ qua, hơn nữa phượng hoàng nhất tộc có quy củ, một khi chàng trai chọn trúng cô gái, cô gái liền muốn đời này đi theo hắn bên người, không rời không bỏ, như có vi phạm, phượng hoàng huyết mạch biến dị!

	Phượng hoàng huyết mạch biến dị, đối với phượng hoàng nhất tộc mà nói, đó chính là nhất đáng sợ sự việc, không người dám vi phạm.

	Lâm Phong không biết, hắn miệng lưỡi trơn tru lại gây ra một kiện tai họa, không chỉ có muốn kết hôn Nghê Hoàng nhất tộc cô gái, thậm chí còn muốn kết hôn phượng hoàng nhất tộc cô gái, dĩ nhiên những thứ này đều là nói sau, trước mắt Lâm Phong cũng không biết những chuyện này, nếu không cũng không dám như thế trêu chọc 5 màu phượng hoàng.

	"Ngươi, ngươi gạt người!"

	Chân thực không thể nhịn được nữa 5 màu phượng hoàng chỉ có thể là hờn dỗi một tiếng, nhưng cũng không có bao nhiêu thanh âm, cùng lúc ban đầu gặp Lâm Phong so sánh, nàng không biết yếu đi nhiều ít khí thế, rõ ràng là thần tổ cảnh giới, nhưng là lại biểu hiện giống như là một cái thần hoàng.

	Nàng biểu hiện, cũng bị 6 màu phượng hoàng nhìn ở trong mắt, không nhịn được tức giận không thôi, lại là thầm hận Lâm Phong cái này miệng lưỡi trơn tru, đang lừa gạt thuần tình phượng hoàng nhất tộc cô gái à!

	"Nào có, tỷ tỷ, ngươi để cho ta mê mệt, để cho ta thất thủ, ta đã đối với ngươi không cách nào tự kềm chế, thật, tỷ tỷ, xin tin tưởng ta" .

	Lâm Phong tiếp tục áp dụng ngôn ngữ thế công, dịu dàng ưu thế lại lần nữa bày ra, nhất là đối với 5 màu phượng hoàng như vậy không có trải qua thanh khiết cô gái mà nói, đây là biện pháp tốt nhất.

	Chỉ bất quá Lâm Phong trong lòng cũng có chút tự thẹn, làm như vậy không phải là vì lên cấp thôi, nhưng là sẽ ảnh hưởng đến một cái thanh khiết lòng của thiếu nữ, một khi thật xuất hiện sự việc, nên làm cái gì? Thật chẳng lẽ muốn kết hôn nàng?

	Lâm Phong không dám nghĩ, đây cũng là nói sau, trước mắt vẫn là mau sớm tiến vào tầng sáu phượng hoàng đàn, mau sớm thoát khỏi 5 màu phượng hoàng.

	"Ngươi, ngươi nói thật?" 5 màu phượng hoàng dần dần bị lạc linh hồn, nàng trong hai tròng mắt thoáng qua vẻ mờ mịt, nhìn Lâm Phong, tâm hồn thiếu nữ run rẩy.

	Lâm Phong âm thầm nắm chặt quả đấm, chỉ cảm giác được mình càng ngày càng tà ác, nhưng mà không có cách nào, mình và 4 màu Phượng Hoàng chiến đấu hao phí quá nhiều thực lực, nếu như và 5 màu phượng hoàng đối chiến, tất nhiên dữ nhiều lành ít, mà dùng chiêu này, vậy là không thể làm gì cử chỉ.

	"Dĩ nhiên, tỷ tỷ, đem ngươi phương danh nói cho ta, có thể không?" Lâm Phong chủ động hỏi 5 màu Phượng Hoàng tên chữ, hơn nữa biểu hiện tự nhiên như vậy, chút nào không nhìn ra bất kỳ dị thường.

	5 màu phượng hoàng bị hắn hù dọa sửng sốt một chút, trong lòng giống như là có 10k con nai con chạy loạn như nhau, suy nghĩ Tu La ở cổ chiến trường tư thế oai hùng hiên ngang một màn, dám giết phượng hoàng nhất tộc, cũng dám xứng đôi người trong thiên hạ, đúng là có khí khái đàn ông.

	Hoàng tộc kính nể cường giả, vô luận cường giả này có phải hay không bổn tộc, đều là giống nhau, hoàng tộc cô gái lại là mê luyến cường giả, đem cường đại chàng trai làm trời , các nàng là, thiên bảo vệ địa.

	5 màu phượng hoàng thuộc về thuần tình hoàng tộc, đời này cũng không có đi vào hồng trần, ở phượng hoàng nhất tộc thuộc về nhất thuần tình cô gái, không có một trong, chính là một tờ giấy trắng.

	Lâm Phong không biết hắn làm một kiện cái gì tà ác sự việc, chọc được cái này 5 màu phượng hoàng hương thơm đại loạn.

	"Ta, ta kêu, Thanh Hoàng Thiên" 5 màu phượng hoàng đầy mặt vẻ say mê, tay nhỏ trắng ngăn ở ửng đỏ khuôn mặt nhỏ nhắn trước mặt, giọng nói chuyện rất là yểu điệu, nhưng nói cho nàng tên chữ.

	Lâm Phong nghe 5 màu Phượng Hoàng tên chữ, cũng không khỏi được một hồi lăng như vậy, đích xác là tên rất hay, Thanh Hoàng Thiên!

	"Thanh tỷ tỷ, ngươi tên chữ và ngươi người như nhau, thanh tú trong lại thêm rất nhiều linh tính" . Lâm Phong tiếp tục khen ngợi Thanh Hoàng Thiên, nhưng câu này thuộc về phát ra từ phế phủ khen ngợi, Thanh Hoàng Thiên trị giá được như vậy khen ngợi.

	Thanh Hoàng Thiên đầy mặt ngượng ngùng, giống như mười tám tuổi thanh khiết thiếu nữ như nhau, một cái nhăn mày một tiếng cười cũng cho thấy cổ điển cô gái đẹp tới, Lâm Phong hoảng hốt giữa thật có bị mê hoặc, vẻ đẹp của nàng cùng Đoạn Hân Diệp rất là tương tự, nhưng phong cách cũng có chỗ bất đồng, Đoạn Hân Diệp để cho người cảm thấy rất lạnh ấm áp, mà Thanh Hoàng Thiên lại để cho người cảm thấy rất ấm áp lạnh.

	"Tu La" .

	"Ừ ?"

	Thanh Hoàng Thiên khẽ gắt thanh Lâm Phong, Lâm Phong ngẩng đầu lên đáp một tiếng sau đó nhìn cô gái.

	Thanh Hoàng Thiên nhăn nhó cúi đầu xuống, từ trong ngực lấy ra một cái màu xanh cái ví, phía trên có khắc một tôn 5 màu phượng hoàng bổn tôn, vậy tràn đầy phượng hoàng chân khí.

	"Đây là ta thêu cái ví, ngươi cầm!" Thanh Hoàng Thiên vừa nói, đem cái ví đưa cho Lâm Phong, Lâm Phong vậy không có cự tuyệt, cầm trong tay đi trên lỗ mũi nhẹ thả ngửi một chút, một cổ hương thơm nghiêng nhập trong thân thể, và Thanh Hoàng Thiên mùi thơm cơ thể giống nhau như đúc.

	Thanh Hoàng Thiên gặp Lâm Phong đặt ở trên lỗ mũi ngửi, mặt nàng sắc cũng ửng đỏ, giống như là cấm kỵ chỗ bị Lâm Phong thấy được như nhau, nàng rõ ràng cái này cái ví là làm gì.

	6 màu phượng hoàng ở tầng sáu thấy một màn này, suýt nữa tức giận hôn mê bất tỉnh, 5 màu phượng hoàng liền nàng mang theo người cái ví đều cho Lâm Phong, điều này nói rõ cái gì? Điều này nói rõ hoàn toàn đem tâm hồn thiếu nữ đều giao cho Lâm Phong!

	Phượng hoàng nhất tộc, cô gái tín vật là không thể tùy tiện cho người, một khi cho chàng trai, đó chính là nói rõ cô gái này chung tình với chàng trai, muốn gả cho chàng trai cả đời.

	Lâm Phong tự nhiên không biết, nếu như biết, hắn thà lúc ban đầu và 5 màu phượng hoàng chiến đấu năm trăm hiệp, cũng không muốn thu lấy cái này cái ví, là nàng ngày sau tăng thêm rất nhiều hồng trần nợ, đào hoa kiếp!

	"Tu La, ngươi thật muốn đi vào cửa ải kế tiếp sao?"

	Ôn nhu lời nói nhỏ nhẹ, Thanh Hoàng Thiên đã theo tựa vào Lâm Phong bên người, chẳng qua là bởi vì là thẹn thùng còn không có dám tựa vào Lâm Phong ngực, nhưng nàng đã đem xiêm áo dính vào Lâm Phong trên y phục.

	Lâm Phong từ nàng trong giọng nói nghe được một tia mờ ám, nàng đã không nói nàng cửa ải này, mà là nói thẳng cửa ải kế tiếp, rất hiển nhiên mình lời ngon tiếng ngọt để cho Thanh Hoàng Thiên tâm hồn thiếu nữ đại loạn, cửa ải này có thể nói chỉ như vậy thông qua.

	" Ừ, ta đi vào nhất định phải theo đuổi tầng thứ cao hơn, Thanh tỷ, ngươi để cho ta đi đi, được không?" Lâm Phong nhìn chằm chằm Thanh Hoàng Thiên nhìn, Thanh Hoàng Thiên lại là một hồi thẹn thùng, che khuôn mặt nhỏ nhắn không để cho Lâm Phong thấy nàng mắc cở một màn.

	Lâm Phong càng ngày càng cảm thấy, sự việc có cái gì không đúng, tựa hồ có chút chọc cả người số đào hoa à!

	" Ừ, ngươi đi đi, bất quá. . ." .

