Chương 1126: Thiên Kim Thải Nguyệt thực lực? 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Không, không, không! !
	Lâm Phong cùng Chiến Thiên Ngang bây giờ bùng nổ kinh khủng năng lượng, trực tiếp đem Chiến Thiên Ngang tét bay ra ngoài, cái này đánh vào dưới năng lượng để cho Chiến Thiên Ngang trước ngực nhuộm đỏ một mảnh, người bị thương nặng Chiến Thiên Ngang đã lại không sức đánh một trận, màu tím ma khí nhanh chóng từ trên mình rút đi, chật vật Chiến Thiên Ngang mềm nằm sấp nằm sấp nằm ở giữa lôi đài.

	Khụ khụ khụ, ho khan ra vết máu Chiến Thiên Ngang cả người run rẩy, lại nhiều lần muốn đứng dậy, nhưng mà cuối cùng bởi vì là thương thế quá nặng, để cho hắn chỉ có thể nằm trên đất, chờ đợi Chiến Linh thần tổ cứu viện.

	Nhưng, Chiến Linh thần tổ mặc dù thống hận Lâm Phong ác độc, nhưng lại thống hận học trò lừa dối mình, sau lưng trộm luyện Ma tộc công pháp, như vậy đã không có cần thiết cứu Chiến Thiên Ngang, không giết hắn đã là đại xá.

	"Ư, thắng, Lâm Phong, ngươi thật giỏi!" Thiên Kim Thải Nguyệt nhìn một màn trước mắt, cười nở hoa vậy nhảy cà tưng vỗ tay, là Lâm Phong thắng lợi mà vỗ tay, mà Chiến Thiên Ngang thấy Thiên Kim Thải Nguyệt là Lâm Phong vỗ tay, lại là một hớp máu tươi phun ra, hoàn toàn ngất đi!

	" Người đâu, đem hắn kéo dài" .

	Chủ trì tranh tài ông già cũng không thể cho phép như vậy lãng phí thời gian tình huống một lần nữa xuất hiện, người chiến bại trực tiếp lăn ra ngoài, để tránh dơ bẩn lôi đài.

	"Học viện Tinh Vân thắng, 2 trận thắng lợi, chiếm cứ vị thứ nhất đưa" .

	"Khiêu chiến tiếp tục bắt đầu, phía dưới cái nào hai nhóm thế lực hoặc là học viện Chủng Tử khiêu chiến học viện Chủng Tử?"

	Ông già hỏi lại phía dưới học viện đại biểu, trải qua Lâm Phong cùng Chiến Thiên Ngang sau khi chiến đấu, bầu không khí hoàn toàn bốc lửa mở, nhưng sẽ không có bất kỳ một chi học viện tiếp tục khinh thị học viện Tinh Vân.

	Bởi vì là không chỉ có học viện Tinh Vân có Lâm Phong, còn có Thiên Kim Thải Nguyệt, Thiên Kim Thải Nguyệt rõ ràng chính là chạy học viện Tinh Vân mà đến, cứ như vậy những học viện khác chỉ có thể sớm làm chuẩn bị.

	Một màn này để cho Tinh Vân thần tổ nhìn ở trong mắt, trong lòng nhưng hồi hộp, Lâm Phong liên tục thắng 2 trận, trợ giúp học viện Tinh Vân vững vàng chiếm cứ bát cường thứ nhất.

	Chỉ cần tiếp theo không ra ngoài dự liệu, bát cường chính là học viện Tinh Vân.

	"Ngọn lửa học viện khiêu chiến Giới Long viện" .

	"Càn khôn học viện khiêu chiến học viện Cự Ưng" .

	"Học viện Bạch Gia khiêu chiến học viện Đế Vương" .

	"Học viện Long Đô khiêu chiến đan viện" .

	. . .

	1 tiếng sau đó, tất cả học viện chiến đấu toàn bộ kết thúc, bát cường học viện vậy hoàn toàn trong sáng, đi qua một ngày đấu võ sau đó, bát cường học viện:

	Học viện Tinh Vân, tạm thời xếp hạng thứ nhất thuận kém.

	Giới Long viện, hạng thứ hai thuận kém.

	Học viện Cự Ưng.

	Học viện Ma Tộc.

	Học viện Bạch Gia.

	Học viện Kiếm Tổ.

	Học viện Tứ Cực.

	Học viện Long Đô.

	Để cho người cũng sẽ không nghĩ tới chính là, học viện Tinh Vân lại bởi vì là hai thắng liên tiếp tạm thời xếp hạng thứ nhất thuận kém, ngày mai bát cường đấu võ tam giáp thi đấu chuyện trong, học viện Tinh Vân có quyền dẫn đầu lựa chọn đối thủ.

	Đây chính là một đại lợi tốt.

	Ngày thứ nhất đại hội kết thúc, tất cả một học viện cũng biết khách sạn chờ ngày mai giữa trưa đến chiến đấu.

	Lâm Phong và Tinh Vân thần tổ đi chung với nhau, bất quá cùng thường ngày bất đồng chính là, Lâm Phong bên tay trái đi theo Thiên Kim Thải Nguyệt.

	Thiên Kim Thải Nguyệt giống như là một cái theo đuôi như nhau, bỏ rơi cũng bỏ rơi không được, để cho người mở rộng tầm mắt, lúc nào Mỵ nương vậy bắt đầu chủ động truy đuổi người đàn ông?

	Rất nhiều lòng của nam nhân đều tan nát, nhưng mà nhưng cũng không dám thống hận Lâm Phong, có Chiến Thiên Ngang ví dụ, Lâm Phong thực lực tất cả mọi người đều công nhận.

	Phật, nói , kiêm tu, người như vậy ngay cả là thần đế tầng năm cảnh giới, nhưng mà một khi chiến đấu không kém chút nào thần đế tầng 7 thiên kiêu.

	Lâm Phong, quá đáng sợ.

	"Hiền đệ, ngươi trước trò chuyện, ta có chút mệt mỏi, nghỉ ngơi trước" .

	Tinh Vân thần tổ cảm giác đi theo bên cạnh hai người có chút lúng túng, cuối cùng tùy tiện tìm một cái lý do rời đi Lâm Phong và Thiên Kim Thải Nguyệt bên người, trở lại gian phòng của mình.

	Đêm khuya, đêm rất đen, tinh thần rất ít, không gió.

	Thiên Kim Thải Nguyệt đi theo Lâm Phong bên tay trái, cũng không nói chuyện, Lâm Phong đi một bước, nàng hãy cùng một bước.

	Rốt cuộc, Lâm Phong không chịu nổi Thiên Kim Thải Nguyệt như vậy.

	"Ngươi rốt cuộc muốn làm gì? Túy tiên lầu đại tiểu thư, mời ngài nói thẳng!"

	Lâm Phong lạnh lùng giận quát một tiếng, càng dứt khoát hỏi Thiên Kim Thải Nguyệt, Lâm Phong mình không nhịn được Thiên Kim Thải Nguyệt như vậy cử động.

	Nhưng, Lâm Phong tiếng hét phẫn nộ, nhưng cũng không có để cho Thiên Kim Thải Nguyệt biết khó mà lui, ngược lại thì chủ động ôm lấy Lâm Phong cánh tay, dọa Lâm Phong giật mình, Lâm Phong dùng sức tránh thoát muốn cách Thiên Kim Thải Nguyệt xa xa.

	Có thể, để cho Lâm Phong không có nghĩ tới chính là, Thiên Kim Thải Nguyệt khí lực to lớn như vậy, để cho hắn căn bản tránh thoát không hết nàng trói buộc.

	Lâm Phong ánh mắt lạnh lẽo, tiếp đó một quyền đánh ra, chạy thẳng tới Thiên Kim Thải Nguyệt bụng, giờ khắc này Lâm Phong trong mắt không có thương hương tiếc ngọc.

	Thiên Kim Thải Nguyệt khóe miệng như cũ hiện lên hí ngược nụ cười, giống vậy đưa tay trái ra, nặng nề nắm chặt Lâm Phong một quyền, lực lượng mười phần nhưng lại trơn mềm lực đạo, để cho Lâm Phong cảm giác khó khăn đồng thời cũng có người đàn ông phản ứng.

	Dứt khoát, Lâm Phong trực tiếp đem Thiên Kim Thải Nguyệt ôm vào trong ngực, hô hấp đều thay đổi nặng nề.

	"Ngươi người phụ nữ này, có phải là thật hay không muốn cho ta đối với ngươi làm những gì, ngươi mới chịu đi?" Lâm Phong cầm chặt Thiên Kim Thải Nguyệt cánh tay, lạnh lùng hỏi.

	Thiên Kim Thải Nguyệt ủy khuất nháy hai tròng mắt, long lanh mắt đẹp xông ra tầng 1 sương mù sắc, chọc người trìu mến dáng vẻ, liền liền Lâm Phong tức giận nữa, cũng không cách nào tiếp tục giữ vững.

	"Ngươi, ngươi làm đau ta cánh tay liền!"

	"Uổng ta từ thành Lương truy đuổi ngươi đến cảnh thành, ngươi quá làm cho ta thất vọng!"

	"Ngươi xấu xa, Lâm Phong, ngươi là người xấu, ta ghét ngươi, bổn tiểu thư ghét ngươi, hu hu!"

	Thiên Kim Thải Nguyệt ủy khuất vểnh cái miệng nhỏ nhắn, dáng vẻ giống như là đang thút thít.

	Nàng trực tiếp một quyền đánh vào Lâm Phong trên ngực, nhất thời để cho Lâm Phong mặt biến sắc, tái nhợt tới cực điểm, lui về phía sau mấy trăm bước, ngực giống như đao chém vậy đau nhức.

	Còn như Thiên Kim Thải Nguyệt trực tiếp một cái bước dài biến mất ở trong màn đêm mịt mờ.

	Lâm Phong hô mạnh mẽ, che ngực, giờ khắc này hắn cái gì cũng không cảm tưởng, chỉ có thể mau sớm điều chỉnh hơi thở.

	Hồi lâu, Lâm Phong mới đã khá nhiều, nhìn về Thiên Kim Thải Nguyệt biến mất phương hướng, ánh mắt phức tạp.

	Nàng thực lực, quá mạnh mẽ!

	Ở nơi này là một cái Thần đế tầng 6 người có thể có thực lực?

	Mình đem cánh tay nàng làm đau sau đó, nàng tùy ý một quyền, lại để cho mình bị thương không nhẹ.

	Đây chính là Mỵ nương chân chính thực lực sao?Chương 1126: Thiên Kim Thải Nguyệt thực lực? 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Không, không, không! !

	Ta không cam lòng, ta không cam lòng, Lâm Phong, bố ngày hôm nay không tin không thắng được ngươi, à à! !

	Chiến Thiên Ngang lòng tin đang một chút xíu bị đánh đè, nhưng mà hắn không thể chịu đựng như vậy sự thật, không cách nào tiếp nhận Lâm Phong lấy phật đạo 2 loại năng lượng nghiền ép hắn sự thật, hắn còn muốn chứng minh mình, hắn như cũ phải hướng Thiên Kim Thải Nguyệt chứng minh, hắn mới là mạnh nhất thiên kiêu, mà không phải là Lâm Phong cái phế vật này.

	Phế vật, phế vật!

	Lâm Phong, hôm nay cho dù ngươi thắng ta, ở bố trong mắt, ngươi mẹ hắn vẫn là cái phế vật, phế vật, ha ha ha! !

	Chiến Thiên Ngang không chút kiêng kỵ bắt đầu giễu cợt cười, giống như là một người điên như nhau, càng giống như một đầu chó điên như nhau bắt đầu cắn bậy người, hắn một bước bước ra, thân thể lao xuống, giống như một con rồng đằng xông lên chạy Lâm Phong tới.

	Mà Lâm Phong như cũ đưa ra một chưởng, một chưởng lực, đánh bay Chiến Thiên Ngang, trực tiếp đem người sau đánh bay ra ngoài lôi đài, nhưng ngoan cường Chiến Thiên Ngang vẫn ở chỗ cũ đổ xuống lôi đài lúc này nhảy lên, bắt lôi đài đá xanh bên, bay lên.

	Lâm Phong, là ngươi ép bố, vậy cũng đừng trách bố!

	Bỗng nhiên lúc này, Chiến Thiên Ngang vắng lặng xuống, vốn là giận dữ biểu hiện đều biến mất hết, thay đổi có chút để cho người giác đến đáng sợ, Chiến Thiên Ngang ánh mắt dần dần máu đỏ cuối cùng tím bầm, trên người vậy nhảy một cái chui vào một cổ màu tím ma ý.

	Nắm chặt quả đấm, thọt lét thanh âm dưới là ẩn núp hai cái ma trảo, giờ khắc này vậy hiện ra.

	Màu tím ma khí, người cũng thay đổi thành màu tím, thần đế tầng 7 đỉnh cấp Chiến Thiên Ngang, giờ phút này càng đáng sợ. ,

	Lâm Phong thần sắc cũng không khỏi ngưng trọng rất nhiều, ma khí đáng sợ, vượt qua xa Lâm Phong mình tưởng tượng, càng vượt qua người bất kỳ tưởng tượng, bao gồm Chiến Linh thần tổ cũng chưa từng nghĩ tới, có một ngày đồ đệ của mình lại dùng ma khí, mà hắn lại không có phát hiện.

	Ma tộc nhất mạch, thậm chí còn Thần tộc nhất mạch tuyệt đối cừu nhân, càng là tộc người nhất mạch kẻ địch, bỏ mặc hôm nay Chiến Thiên Ngang chiến thắng vẫn là thất bại, kết thúc sau khi chiến đấu, Chiến Linh thần tổ cũng sẽ không tha hắn.

	Học trộm Ma tộc công pháp, cho học viện Chiến Linh bôi đen, cho chiến tộc bôi đen, mặt mũi này hắn không ném nổi, chớ nói chi là nhiều như vậy thần tổ ở làm chứng.

	Lâm Phong ở lôi đài một bên đứng sừng sững, giờ khắc này hắn đã muốn không được nhiều như vậy, nếu như nói thần đế tầng 7 đỉnh cấp Chiến Thiên Ngang quá thức ăn mà nói, như vậy giờ khắc này Chiến Thiên Ngang mới tính là thật đang trên ý nghĩa thần đế tầng 7 đỉnh cấp, không thể không để cho mình dùng toàn bộ thực lực đi đối phó hắn thần đế tầng 7 đỉnh cấp.

	Lâm Phong thở một hơi thật dài, giờ khắc này Lâm Phong nghĩ tới ở hội đấu giá trong bán đấu giá Phật tổ khí, phật châu, giờ khắc này dùng hẳn là bất quá thích hợp nhất.

	Phật khắc ma, từ xưa tới nay đều là như vậy, phật châu chính là Phật tổ khí, khắc chế ma khí tự có một bộ.

	Lâm Phong không suy nghĩ nhiều, đem phật châu lấy ra, đặt ở ngón tay cái cùng ngón trỏ ở giữa, chắp hai tay, giờ khắc này toàn bộ lôi đài liền an tĩnh, khiếp sợ nhìn Lâm Phong.

	Lâm Phong đỉnh đầu xuất hiện bảo vệ phật kim quang, làm người ta rung động nói không ra lời phật lực xuyên qua toàn bộ lôi đài, Chiến Thiên Ngang trên mình mây tía ma lực rất là cường thế bá đạo, nhưng mà làm bảo vệ phật kim quang xuất hiện sau đó, mạnh đi nữa ma khí cũng đều bị hoàn toàn áp chế.

	Phật tổ khí, uy lực có thể tưởng tượng được, Lâm Phong còn không có ra tay, đã đem Chiến Thiên Ngang khí thế ép xuống.

	Chiến Thiên Ngang rất rõ ràng không thể chờ đợi, nếu không ma khí sẽ bị áp chế càng thêm lợi hại, chỉ có buông tay đánh cuộc một lần, hắn tu ma đã bị sư tôn thấy được, bỏ mặc lần này thất bại hay là thành công, hắn cũng không sống được, đã như vậy, lại có cái gì sợ?

	Lấy mạng đổi mạng ý niệm ở Chiến Thiên Ngang trong lòng cắm rễ, cắn hàm răng, dần dần dữ tợn vặn vẹo ý tưởng tạo thành, để cho Chiến Thiên Ngang hưng phấn rất nhiều, ở mây tía ma lực thúc đẩy xuống, Chiến Thiên Ngang một bước bước ra, chớp mắt lúc liền đi tới Lâm Phong trước người, một chưởng vỗ ra.

	Yên tĩnh, trên lôi đài yên tĩnh như chết, cũng chỉ có thể nhìn phật cùng ma giữa chiến đấu, rất sợ thiếu nhìn một tia một chút nào, ảnh hưởng tương lai giác ngộ.

	Lâm Phong chắp hai tay, kim quang Phù Đồ một mảnh, phật châu mười hai đạo kim quang lóe lên ra, tượng trưng cho Lâm Phong bị truyền thừa vạn phật phương pháp, mười hai Phật tổ năng lượng, giờ phút này tất cả đều hội tụ đến cùng nhau, không cần Lâm Phong cố ý điều động phật lực.

	Ma khí bao phủ ở Lâm Phong trên mình, tựa hồ phải đem Lâm Phong hoàn toàn ép vỡ, thời khắc mấu chốt Chiến Thiên Ngang lại là nhảy lên đến Lâm Phong đỉnh đầu, chân đạp trời cao ma khí, dùng sức hướng xuống đè, hàng tỷ cân lực xuyên qua không khí, chạy thẳng tới Lâm Phong đỉnh đầu đạp đi.

	Lâm Phong ánh mắt âm trầm, phật lực bỗng nhiên thâm trầm, ánh sáng màu vàng biến thành màu lam nhạt sáng thế lực cùng phật quang kết hợp, phật đạo kết hợp, đánh đâu thắng đó.

	Oanh!

	Phốc!

	Đinh tai nhức óc tiếng nổ đạt tới hộc máu thanh âm cơ hồ đồng thời truyền vào lôi đài, truyền vào tất cả mọi người trong tai tới.

	Lâm Phong cùng Chiến Thiên Ngang bây giờ bùng nổ kinh khủng năng lượng, trực tiếp đem Chiến Thiên Ngang tét bay ra ngoài, cái này đánh vào dưới năng lượng để cho Chiến Thiên Ngang trước ngực nhuộm đỏ một mảnh, người bị thương nặng Chiến Thiên Ngang đã lại không sức đánh một trận, màu tím ma khí nhanh chóng từ trên mình rút đi, chật vật Chiến Thiên Ngang mềm nằm sấp nằm sấp nằm ở giữa lôi đài.

	Khụ khụ khụ, ho khan ra vết máu Chiến Thiên Ngang cả người run rẩy, lại nhiều lần muốn đứng dậy, nhưng mà cuối cùng bởi vì là thương thế quá nặng, để cho hắn chỉ có thể nằm trên đất, chờ đợi Chiến Linh thần tổ cứu viện.

	Nhưng, Chiến Linh thần tổ mặc dù thống hận Lâm Phong ác độc, nhưng lại thống hận học trò lừa dối mình, sau lưng trộm luyện Ma tộc công pháp, như vậy đã không có cần thiết cứu Chiến Thiên Ngang, không giết hắn đã là đại xá.

	"Ư, thắng, Lâm Phong, ngươi thật giỏi!" Thiên Kim Thải Nguyệt nhìn một màn trước mắt, cười nở hoa vậy nhảy cà tưng vỗ tay, là Lâm Phong thắng lợi mà vỗ tay, mà Chiến Thiên Ngang thấy Thiên Kim Thải Nguyệt là Lâm Phong vỗ tay, lại là một hớp máu tươi phun ra, hoàn toàn ngất đi!

	" Người đâu, đem hắn kéo dài" .

	Chủ trì tranh tài ông già cũng không thể cho phép như vậy lãng phí thời gian tình huống một lần nữa xuất hiện, người chiến bại trực tiếp lăn ra ngoài, để tránh dơ bẩn lôi đài.

	"Học viện Tinh Vân thắng, 2 trận thắng lợi, chiếm cứ vị thứ nhất đưa" .

	"Khiêu chiến tiếp tục bắt đầu, phía dưới cái nào hai nhóm thế lực hoặc là học viện Chủng Tử khiêu chiến học viện Chủng Tử?"

	Ông già hỏi lại phía dưới học viện đại biểu, trải qua Lâm Phong cùng Chiến Thiên Ngang sau khi chiến đấu, bầu không khí hoàn toàn bốc lửa mở, nhưng sẽ không có bất kỳ một chi học viện tiếp tục khinh thị học viện Tinh Vân.

	Bởi vì là không chỉ có học viện Tinh Vân có Lâm Phong, còn có Thiên Kim Thải Nguyệt, Thiên Kim Thải Nguyệt rõ ràng chính là chạy học viện Tinh Vân mà đến, cứ như vậy những học viện khác chỉ có thể sớm làm chuẩn bị.

	Một màn này để cho Tinh Vân thần tổ nhìn ở trong mắt, trong lòng nhưng hồi hộp, Lâm Phong liên tục thắng 2 trận, trợ giúp học viện Tinh Vân vững vàng chiếm cứ bát cường thứ nhất.

	Chỉ cần tiếp theo không ra ngoài dự liệu, bát cường chính là học viện Tinh Vân.

	"Ngọn lửa học viện khiêu chiến Giới Long viện" .

	"Càn khôn học viện khiêu chiến học viện Cự Ưng" .

	"Học viện Bạch Gia khiêu chiến học viện Đế Vương" .

	"Học viện Long Đô khiêu chiến đan viện" .

	. . .

	1 tiếng sau đó, tất cả học viện chiến đấu toàn bộ kết thúc, bát cường học viện vậy hoàn toàn trong sáng, đi qua một ngày đấu võ sau đó, bát cường học viện:

	Học viện Tinh Vân, tạm thời xếp hạng thứ nhất thuận kém.

	Giới Long viện, hạng thứ hai thuận kém.

	Học viện Cự Ưng.

	Học viện Ma Tộc.

	Học viện Bạch Gia.

	Học viện Kiếm Tổ.

	Học viện Tứ Cực.

	Học viện Long Đô.

	Để cho người cũng sẽ không nghĩ tới chính là, học viện Tinh Vân lại bởi vì là hai thắng liên tiếp tạm thời xếp hạng thứ nhất thuận kém, ngày mai bát cường đấu võ tam giáp thi đấu chuyện trong, học viện Tinh Vân có quyền dẫn đầu lựa chọn đối thủ.

	Đây chính là một đại lợi tốt.

	Ngày thứ nhất đại hội kết thúc, tất cả một học viện cũng biết khách sạn chờ ngày mai giữa trưa đến chiến đấu.

	Lâm Phong và Tinh Vân thần tổ đi chung với nhau, bất quá cùng thường ngày bất đồng chính là, Lâm Phong bên tay trái đi theo Thiên Kim Thải Nguyệt.

	Thiên Kim Thải Nguyệt giống như là một cái theo đuôi như nhau, bỏ rơi cũng bỏ rơi không được, để cho người mở rộng tầm mắt, lúc nào Mỵ nương vậy bắt đầu chủ động truy đuổi người đàn ông?

	Rất nhiều lòng của nam nhân đều tan nát, nhưng mà nhưng cũng không dám thống hận Lâm Phong, có Chiến Thiên Ngang ví dụ, Lâm Phong thực lực tất cả mọi người đều công nhận.

	Phật, nói , kiêm tu, người như vậy ngay cả là thần đế tầng năm cảnh giới, nhưng mà một khi chiến đấu không kém chút nào thần đế tầng 7 thiên kiêu.

	Lâm Phong, quá đáng sợ.

	"Hiền đệ, ngươi trước trò chuyện, ta có chút mệt mỏi, nghỉ ngơi trước" .

	Tinh Vân thần tổ cảm giác đi theo bên cạnh hai người có chút lúng túng, cuối cùng tùy tiện tìm một cái lý do rời đi Lâm Phong và Thiên Kim Thải Nguyệt bên người, trở lại gian phòng của mình.

	Đêm khuya, đêm rất đen, tinh thần rất ít, không gió.

	Thiên Kim Thải Nguyệt đi theo Lâm Phong bên tay trái, cũng không nói chuyện, Lâm Phong đi một bước, nàng hãy cùng một bước.

	Rốt cuộc, Lâm Phong không chịu nổi Thiên Kim Thải Nguyệt như vậy.

	"Ngươi rốt cuộc muốn làm gì? Túy tiên lầu đại tiểu thư, mời ngài nói thẳng!"

	Lâm Phong lạnh lùng giận quát một tiếng, càng dứt khoát hỏi Thiên Kim Thải Nguyệt, Lâm Phong mình không nhịn được Thiên Kim Thải Nguyệt như vậy cử động.

	Nhưng, Lâm Phong tiếng hét phẫn nộ, nhưng cũng không có để cho Thiên Kim Thải Nguyệt biết khó mà lui, ngược lại thì chủ động ôm lấy Lâm Phong cánh tay, dọa Lâm Phong giật mình, Lâm Phong dùng sức tránh thoát muốn cách Thiên Kim Thải Nguyệt xa xa.

	Có thể, để cho Lâm Phong không có nghĩ tới chính là, Thiên Kim Thải Nguyệt khí lực to lớn như vậy, để cho hắn căn bản tránh thoát không hết nàng trói buộc.

	Lâm Phong ánh mắt lạnh lẽo, tiếp đó một quyền đánh ra, chạy thẳng tới Thiên Kim Thải Nguyệt bụng, giờ khắc này Lâm Phong trong mắt không có thương hương tiếc ngọc.

