Chương 342: Nửa tháng sát phạt đường! 
 Converter Dzung Kiều cầu khen thưởng 

	"Lâm Phong, ngươi ngày giỗ liền sắp tới" .
	"Hề hề, nguyên lai ngươi là như thế tự tin sao?" Lâm Phong nghe được Tô Tử nếu sau đó, cười, là cười nhạt, Lâm Phong không biết những người này đều là cái gì tâm lý, từ lấy là lợi hại liền tựa như không cần cố kỵ thực lực của người khác, tựa như đã thành là tuyệt thế cường giả vậy.

	"Tự tin xuất xứ từ thực lực, Lâm Phong, ngươi phải lấy là ngươi đánh bại Tống Thiên cùng Da Luật Tề, liền có thể cảm thấy có thể đối phó ta, ta nếu là Kiếm Thần học trò, tự nhiên có giấu dùng mọi cách thủ đoạn" .

	"Vô luận ngươi làm sao đối chiến, cũng không thể thủ thắng, cuối cùng chỉ có một kết quả, bị ta đánh chết, để cho Sát thần cái lão già đó hối hận, ban đầu không có lựa chọn ta, là sai lầm" . Tô Tử nói tới chỗ này lúc này đôi mắt ửng đỏ, hô hấp cũng dồn dập, tâm trạng đặc biệt kích động, có thể gặp chuyện này đối với hắn đả kích quá lớn.

	Lâm Phong nghe đến chỗ này, bỗng nhiên bắt đầu đồng tình Tô Tử, trong lòng không có tương tự Đế Thư như vậy hận ý.

	"Đã như vậy, vậy thì mỏi mắt mong chờ đi, không quá ta muốn nói là, Sát thần ánh mắt rất chính xác! !" Lâm Phong cười nhạt, sau đó không để ý tới Tô Tử.

	Tô Tử cắn hàm răng, trừng mắt nhìn Lâm Phong, người sau hắn làm sao sẽ nghe không ra ý?

	"Đáng ghét, ngươi cho ta chờ, trận chung kết lúc này phải giết ngươi" . Tô Tử nắm chặt hai quả đấm, phát ra thọt lét tiếng vang, sát ý đầy trời, đứng ở hắn bên cạnh Chân Ma cũng không khỏi hơi ngẩn ra, rồi sau đó liếc mắt Lâm Phong.

	"Thằng nhóc này, cũng không biết thu được cái gì truyền thừa?" Chân Ma lẩm bẩm một tiếng, sau đó dời đi ánh mắt, nhìn về phía duy nhất bán thần hoàng cô gái.

	"Nàng cũng không đơn giản, là ta kình địch" . Chân Ma chân mày nếp nhăn chặt đứng lên, ở hắn trong lòng, cô gái muốn so với Lâm Phong còn đáng sợ hơn, dẫu sao đây là bán thần hoàng cường giả, dĩ nhiên hắn cũng không phải là không có sức đánh một trận.

	Có lúc, thu được thủ đoạn nào đó cùng truyền thừa sau đó, loại này cái hào rộng cũng không phải là không thể vượt qua.

	"Trăm người bảng danh sách đã đi ra rồi, chư vị mời xem" .

	Hồi lâu sau, ông cụ áo bào tro lại lần nữa lên tiếng, rồi sau đó trường bào một vung, màu vàng kim bảng danh sách xuất hiện ở trời cao, phía trên có khắc tiến vào quyết tái lớn bảng danh sách, tổng cộng một trăm người.

	Đáng giá nhắc tới chính là, lần này Lâm Già Thiên tạm thời xếp hạng mười bảy vị, rất đặc biệt tốt thành tích, Da Luật Đán Tinh xếp hạng hai mươi mốt vị.

	Hai người đều là từ thần bảng chuẩn bị thi đấu chính giữa lan truyền ra, cho nên bị núi Kiếm cùng với Thiên Thần phủ ký thác kỳ vọng rất lớn, hy vọng có thể đi xa hơn, hai người lấy được độ chú ý chưa chắc ít hơn so với những thứ này trước mười tên.

	"Phía dưới mời các người cái này một trăm người tiến vào núi Phượng Tê chỗ sâu, ở trong đó rừng cây rậm rạp, cây cối cao vút, còn có vô tận vách núi cùng thung lũng, vách đá thẳng đứng cũng là không đếm xuể, các người đem ở nơi đó tiến hành kỳ hạn nửa tháng chém giết, ở nơi này thời gian, tất cả không người dự thi nhân viên không được đi vào núi Phượng Tê" .

	"Chỉ có cái này một trăm người, các người trong nửa tháng này, vô luận lấy dạng gì phương thức, nhất định phải thắp sáng khối này chiến bài, khối này chiến bảng hiệu thắp sáng phương thức đó chính là chiến đấu thành tích, chiến đấu càng nhiều, ánh sáng càng đủ, điều kiện tiên quyết là phải chiến đấu đầy năm trận mới có thể thắp sáng chiến bài" .

	"Cố gắng lên, chư vị, trận chung kết sau hạng chính là đôi cuộc so tài xếp hạng sau cùng, đạt được hạng nhất cũng sẽ là hai lớp hạng nhất! !" .

	"Đây chính là chưa từng có trong lịch sử quang vinh, chư vị phải thật tốt chắc chắn" .

	Nói tới chỗ này, áo bào tro trên mặt của lão nhân cũng không khỏi toát ra vẻ mong đợi vẻ, đây đều là bọn họ thần bên trong thành tinh anh, hắn càng hy vọng cái này vô địch thuộc về người là Thần thành tinh anh, mà không phải là cái này đến từ đan điện cô gái.

	Người khác không biết cái cô gái này thân phận, hắn là rất rõ ràng, cái cô gái này chính là thần phủ phái xuống bốn điện một trong, đan điện đệ tử thân truyền, Đan Nữ.

	Bốn điện mục đích rất rõ ràng, đó chính là giải thi đấu tên thứ nhất phải vững vàng nắm ở thần phủ trong, lần trước bởi vì là thiên chi kiêu tử, cho nên vị trí này nhường cho Thần Châu, nhưng là lần này, Thần Châu không có phái người tham gia thi đấu, cho nên, thần phủ mới chịu phái ra Đan Nữ xuất chiến.

	"Bắt đầu đi" . Ông cụ áo bào tro vuốt chòm râu thở dài, mắt nhìn cái này một trăm người các hiển hắn có thể, chạy núi Phượng Tê chỗ sâu đi, nơi đó không chỉ có người dự thi, còn có ma thú à! !

	Trong đó một ít ma thú lại là không kém gì thánh linh hoàng đỉnh cấp tầng 9 cao thủ, rất là đáng sợ.

	Lâm Phong bọn họ tất cả đều chạy Đại Sơn chỗ sâu lao đi, cùng lúc đó bọn họ cũng phát hiện, giữa eo nhiều một đạo kim sắc chiến bài, chỉ bất quá ảm đạm không ánh sáng, hiển nhiên đại chiến còn chưa có bắt đầu.

	Cái này kỳ hạn nửa tháng, sẽ là máu tanh nửa tháng, có thể sẽ có kịch chiến, thậm chí sẽ có thương vong.

	Sát phạt chiến tranh, Lâm Phong rất hướng tới, hắn sống chết đạo nghĩa đã đạt đến tầng 7 đỉnh cấp, nếu là ở rơi vào bên bờ sinh tử, tất nhiên sẽ đột phá tầng 8.

	Có lẽ Lâm Phong mình cũng không tin, mình lại cuối cùng sẽ chọn như vậy một cái sống chết đạo nghĩa, đây là dung hợp vô số đạo nghĩa sau lựa chọn, con đường này nhất định là người trước, kẻ sau không ai bằng con đường.

	Bởi vì là không có bất kỳ một người nào, lựa chọn chết.

	Nhất là cường giả, sợ hơn chết, đối với bọn họ mà nói, đó là ác ma đáng sợ.

	Nhưng mà Lâm Phong suy nghĩ chết, cũng rất kích động, phàm là có chết hơi thở, vậy chính là mình thời cơ, Lâm Phong không tin mình tiềm lực đã đạt đến cuối, cho nên chỉ có thể dùng sống chết một đường đem tiềm lực đi ra.

	Lâm Phong đảo mắt ở giữa liền bước vào rừng cây chỗ sâu, mấy trăm thước vàng óng cổ thụ, hơi có vẻ trước một tia tang thương cùng vắng lặng cảm, mơ hồ cũng có thể thấy vách đá thẳng đứng.

	Lâm Phong cũng không thấy được Lâm Già Thiên cùng Mộng Tình bóng người, bất quá mình cũng không cần quá lo lắng, bọn họ cũng có năng lực bảo vệ mình.

	"Chiến bài, nên là thắp sáng ngươi lúc! !" .

	Lâm Phong sâu hô giọng, rồi sau đó ở trong không gian giới chỉ tìm ra một đạo mặt nạ đeo lên, Lâm Phong như cũ không muốn để cho người phát hiện mình.

	Cái này mặt nạ rất tốt ẩn đắp lên mình hơi thở, để cho người không nhận ra.Chương 342: Nửa tháng sát phạt đường! 
 Converter Dzung Kiều cầu khen thưởng 

	"Lâm Phong, ngươi ngày giỗ liền sắp tới" .

	Ngay tại Lâm Phong trầm tư lúc đó, bên tai truyền đến Đế Thư hơi có vẻ khiêu khích tiếng nói, để cho Lâm Phong ánh mắt nhất thời lăng lệ, quay đầu, nhìn Đế Thư toét miệng Sừng không chút kiêng kỵ cười, rất là chán ghét khuôn mặt lại nữa giống như ngày xưa như vậy tao nhã lịch sự.

	"Ngươi có thể thử một lần, ta có thể đánh bại ngươi một lần, là có thể có lần thứ hai" . Lâm Phong giống vậy lạnh lùng bật cười, lạnh lùng nhìn Đế Thư.

	Đế Thư nghe vậy, sắc mặt nhất thời biến đổi, hắn trong lòng vẫy không ra chính là ngày xưa Lâm Phong đánh bại, thậm chí suýt nữa đánh chết hắn một màn, đó là hắn đời này sỉ nhục lớn nhất, vĩnh viễn rửa sạch không đi, trừ phi Lâm Phong có thể chết ở trên thế giới này, hắn mới có thể an tâm.

	Cho nên hắn hơn nửa năm này tới nay, chính là mai phục ở âm thầm, hơn nữa bái một cái tà ác đến không thể lại tà ác sư phụ, mục đích chỉ có một, giết chết Lâm Phong.

	Cái mục đích này không biết tại sao, lại thu được hắn cái đó sư tôn giúp đỡ, hơn nữa sư tôn của hắn đem tất cả có thể đánh chết Lâm Phong người thủ đoạn tất cả đều truyền thụ cho hắn, cái này làm cho Đế Thư rất là kích động, có những thủ đoạn này, chỉ sợ Lâm Phong không chết.

	"Lâm Phong, lần đầu tiên ngươi không giết được ta, lần này liền đổi ta giết ngươi đi" . Đế Thư giễu cợt nhìn Lâm Phong, rồi sau đó lạnh lùng quát lên.

	Lâm Phong dửng dưng một tiếng, không có lại để ý tới Đế Thư, hiện đang nói gì đều là phí công, hết thảy chỉ có ở trên chiến trường gặp, nhưng là Lâm Phong đối với Đế Thư cẩn thận chưa bao giờ tiêu giảm qua, ngược lại càng ngày càng sâu.

	Đế Thư lần này trở về, rõ ràng cùng trước kia bất đồng, trở nên hơn nữa ác độc lạnh lùng, hơn nữa hắn mục đích chỉ có một, đó chính là đánh chết mình.

	"Lâm Phong, ngươi cho ta cẩn thận một chút, vạn nhất trận chung kết trong lỡ tay đem ngươi giết, vậy cũng không tốt" .

	Lâm Phong còn chưa từ Đế Thư trong trầm tư tỉnh ngộ lại, lại là một tiếng uy hiếp truyền lọt vào trong tai, Lâm Phong khẽ cau mày, ngay sau đó đưa mắt đặt ở Tô Tử trên mình, nhất thời ngẩn ra.

	"Ngươi đây là ý gì?" Lâm Phong lạnh lùng nhìn Tô Tử, trầm giọng hỏi.

	Tô Tử bỉu môi cười một tiếng, tựa hồ dửng dưng vậy, hướng về phía Lâm Phong cười lạnh nói: "Ngươi có cái gì tư cách đạt được Sát thần cái đó lão già kia coi trọng, ta ở nơi này thần bảng giải thi đấu lên, để cho hắn xem 1 chút, hắn xem trọng người, bị ta giết, sẽ là cái gì cảm giác? Ha ha" .

	Tô Tử vừa nói, trên mặt lộ ra một tia ác độc cùng vẻ dữ tợn, cắn chặt ố vàng răng, dáng vẻ dữ tợn hết sức, càng lộ vẻ đáng sợ.

	Lâm Phong trong nháy mắt liền biết rõ, nguyên lai cái này Tô Tử muốn bái nhập Sát thần môn hạ, không có thành công, thấy mình bị Sát thần coi trọng muốn thu làm môn hạ, trong lòng sinh ra ghen tị cùng hận ý.

	Lâm Phong nghĩ tới đây, sắc mặt lạnh xuống, cũng có ý giận ngút trời tấn công tới, ngươi đạt được không được Sát thần coi trọng, tìm hắn đi à? Tìm mình làm mà?

	"Ngươi thật đem ta làm trái hồng mềm?" Lâm Phong lạnh lùng trừng mắt nhìn Tô Tử, trầm giọng quát lên.

	Nghe vậy, Tô Tử chân mày nhỏ chọn, rồi sau đó châm chọc gật đầu một cái, ánh mắt tự nhiên hỏi ngược lại: "Chẳng lẽ không phải là sao?"

	"Hề hề, nguyên lai ngươi là như thế tự tin sao?" Lâm Phong nghe được Tô Tử nếu sau đó, cười, là cười nhạt, Lâm Phong không biết những người này đều là cái gì tâm lý, từ lấy là lợi hại liền tựa như không cần cố kỵ thực lực của người khác, tựa như đã thành là tuyệt thế cường giả vậy.

	"Tự tin xuất xứ từ thực lực, Lâm Phong, ngươi phải lấy là ngươi đánh bại Tống Thiên cùng Da Luật Tề, liền có thể cảm thấy có thể đối phó ta, ta nếu là Kiếm Thần học trò, tự nhiên có giấu dùng mọi cách thủ đoạn" .

	"Vô luận ngươi làm sao đối chiến, cũng không thể thủ thắng, cuối cùng chỉ có một kết quả, bị ta đánh chết, để cho Sát thần cái lão già đó hối hận, ban đầu không có lựa chọn ta, là sai lầm" . Tô Tử nói tới chỗ này lúc này đôi mắt ửng đỏ, hô hấp cũng dồn dập, tâm trạng đặc biệt kích động, có thể gặp chuyện này đối với hắn đả kích quá lớn.

	Lâm Phong nghe đến chỗ này, bỗng nhiên bắt đầu đồng tình Tô Tử, trong lòng không có tương tự Đế Thư như vậy hận ý.

	"Đã như vậy, vậy thì mỏi mắt mong chờ đi, không quá ta muốn nói là, Sát thần ánh mắt rất chính xác! !" Lâm Phong cười nhạt, sau đó không để ý tới Tô Tử.

	Tô Tử cắn hàm răng, trừng mắt nhìn Lâm Phong, người sau hắn làm sao sẽ nghe không ra ý?

	"Đáng ghét, ngươi cho ta chờ, trận chung kết lúc này phải giết ngươi" . Tô Tử nắm chặt hai quả đấm, phát ra thọt lét tiếng vang, sát ý đầy trời, đứng ở hắn bên cạnh Chân Ma cũng không khỏi hơi ngẩn ra, rồi sau đó liếc mắt Lâm Phong.

	"Thằng nhóc này, cũng không biết thu được cái gì truyền thừa?" Chân Ma lẩm bẩm một tiếng, sau đó dời đi ánh mắt, nhìn về phía duy nhất bán thần hoàng cô gái.

	"Nàng cũng không đơn giản, là ta kình địch" . Chân Ma chân mày nếp nhăn chặt đứng lên, ở hắn trong lòng, cô gái muốn so với Lâm Phong còn đáng sợ hơn, dẫu sao đây là bán thần hoàng cường giả, dĩ nhiên hắn cũng không phải là không có sức đánh một trận.

	Có lúc, thu được thủ đoạn nào đó cùng truyền thừa sau đó, loại này cái hào rộng cũng không phải là không thể vượt qua.

	"Trăm người bảng danh sách đã đi ra rồi, chư vị mời xem" .

	Hồi lâu sau, ông cụ áo bào tro lại lần nữa lên tiếng, rồi sau đó trường bào một vung, màu vàng kim bảng danh sách xuất hiện ở trời cao, phía trên có khắc tiến vào quyết tái lớn bảng danh sách, tổng cộng một trăm người.

	Đáng giá nhắc tới chính là, lần này Lâm Già Thiên tạm thời xếp hạng mười bảy vị, rất đặc biệt tốt thành tích, Da Luật Đán Tinh xếp hạng hai mươi mốt vị.

	Hai người đều là từ thần bảng chuẩn bị thi đấu chính giữa lan truyền ra, cho nên bị núi Kiếm cùng với Thiên Thần phủ ký thác kỳ vọng rất lớn, hy vọng có thể đi xa hơn, hai người lấy được độ chú ý chưa chắc ít hơn so với những thứ này trước mười tên.

	"Phía dưới mời các người cái này một trăm người tiến vào núi Phượng Tê chỗ sâu, ở trong đó rừng cây rậm rạp, cây cối cao vút, còn có vô tận vách núi cùng thung lũng, vách đá thẳng đứng cũng là không đếm xuể, các người đem ở nơi đó tiến hành kỳ hạn nửa tháng chém giết, ở nơi này thời gian, tất cả không người dự thi nhân viên không được đi vào núi Phượng Tê" .

	"Chỉ có cái này một trăm người, các người trong nửa tháng này, vô luận lấy dạng gì phương thức, nhất định phải thắp sáng khối này chiến bài, khối này chiến bảng hiệu thắp sáng phương thức đó chính là chiến đấu thành tích, chiến đấu càng nhiều, ánh sáng càng đủ, điều kiện tiên quyết là phải chiến đấu đầy năm trận mới có thể thắp sáng chiến bài" .

	"Cố gắng lên, chư vị, trận chung kết sau hạng chính là đôi cuộc so tài xếp hạng sau cùng, đạt được hạng nhất cũng sẽ là hai lớp hạng nhất! !" .

	"Đây chính là chưa từng có trong lịch sử quang vinh, chư vị phải thật tốt chắc chắn" .

	Nói tới chỗ này, áo bào tro trên mặt của lão nhân cũng không khỏi toát ra vẻ mong đợi vẻ, đây đều là bọn họ thần bên trong thành tinh anh, hắn càng hy vọng cái này vô địch thuộc về người là Thần thành tinh anh, mà không phải là cái này đến từ đan điện cô gái.

	Người khác không biết cái cô gái này thân phận, hắn là rất rõ ràng, cái cô gái này chính là thần phủ phái xuống bốn điện một trong, đan điện đệ tử thân truyền, Đan Nữ.

	Bốn điện mục đích rất rõ ràng, đó chính là giải thi đấu tên thứ nhất phải vững vàng nắm ở thần phủ trong, lần trước bởi vì là thiên chi kiêu tử, cho nên vị trí này nhường cho Thần Châu, nhưng là lần này, Thần Châu không có phái người tham gia thi đấu, cho nên, thần phủ mới chịu phái ra Đan Nữ xuất chiến.

	"Bắt đầu đi" . Ông cụ áo bào tro vuốt chòm râu thở dài, mắt nhìn cái này một trăm người các hiển hắn có thể, chạy núi Phượng Tê chỗ sâu đi, nơi đó không chỉ có người dự thi, còn có ma thú à! !

	Trong đó một ít ma thú lại là không kém gì thánh linh hoàng đỉnh cấp tầng 9 cao thủ, rất là đáng sợ.

	Lâm Phong bọn họ tất cả đều chạy Đại Sơn chỗ sâu lao đi, cùng lúc đó bọn họ cũng phát hiện, giữa eo nhiều một đạo kim sắc chiến bài, chỉ bất quá ảm đạm không ánh sáng, hiển nhiên đại chiến còn chưa có bắt đầu.

	Cái này kỳ hạn nửa tháng, sẽ là máu tanh nửa tháng, có thể sẽ có kịch chiến, thậm chí sẽ có thương vong.

	Sát phạt chiến tranh, Lâm Phong rất hướng tới, hắn sống chết đạo nghĩa đã đạt đến tầng 7 đỉnh cấp, nếu là ở rơi vào bên bờ sinh tử, tất nhiên sẽ đột phá tầng 8.

	Có lẽ Lâm Phong mình cũng không tin, mình lại cuối cùng sẽ chọn như vậy một cái sống chết đạo nghĩa, đây là dung hợp vô số đạo nghĩa sau lựa chọn, con đường này nhất định là người trước, kẻ sau không ai bằng con đường.

	Bởi vì là không có bất kỳ một người nào, lựa chọn chết.

	Nhất là cường giả, sợ hơn chết, đối với bọn họ mà nói, đó là ác ma đáng sợ.

	Nhưng mà Lâm Phong suy nghĩ chết, cũng rất kích động, phàm là có chết hơi thở, vậy chính là mình thời cơ, Lâm Phong không tin mình tiềm lực đã đạt đến cuối, cho nên chỉ có thể dùng sống chết một đường đem tiềm lực đi ra.

	Lâm Phong đảo mắt ở giữa liền bước vào rừng cây chỗ sâu, mấy trăm thước vàng óng cổ thụ, hơi có vẻ trước một tia tang thương cùng vắng lặng cảm, mơ hồ cũng có thể thấy vách đá thẳng đứng.

	Lâm Phong cũng không thấy được Lâm Già Thiên cùng Mộng Tình bóng người, bất quá mình cũng không cần quá lo lắng, bọn họ cũng có năng lực bảo vệ mình.

	"Chiến bài, nên là thắp sáng ngươi lúc! !" .

	Lâm Phong sâu hô giọng, rồi sau đó ở trong không gian giới chỉ tìm ra một đạo mặt nạ đeo lên, Lâm Phong như cũ không muốn để cho người phát hiện mình.

	Cái này mặt nạ rất tốt ẩn đắp lên mình hơi thở, để cho người không nhận ra.
