Chương 733: Thiên Phàm nếu! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Lâm Phong, có thể cùng ta nói một chút ngươi cùng Tán quốc giữa mâu thuẫn sao?"
	"Lập tức phải ra thành Lang Tà liền" . Lâm Phong thấy trước mắt có chút hoang vu vùng, cùng dưới chân sầm uất thành phố chênh lệch rất lớn, chính là có thể đoán được trước mặt chính là Tán quốc chi nhánh vùng, mà dưới chân còn thuộc về thành Lang Tà.

	"Lâm Phong, dừng lại" .

	Đột nhiên quát lạnh thanh từ Lâm Phong sau lưng truyền tới, Lâm Phong nghe được thình lình tiếng quát chính là dừng lại, hư không đứng lại, xoay người Lâm Phong thấy được từ thành Lang Tà bay lên một đạo chàng trai áo bào trắng, không phải người khác chính là Thiên Phàm.

	"Thiên Phàm?" Lâm Phong có chút kinh ngạc nhìn trời Phàm, không biết Thiên Phàm gọi lại mình rốt cuộc muốn làm gì.

	"Bọn ta liền ngươi một đêm, ngươi cuối cùng đã tới" . Thiên Phàm sắc mặt có chút lạnh tuấn nhìn Lâm Phong trầm giọng vừa nói, sau đó một bước bước ra đi tới Lâm Phong bên người, tiếp tục nói: "Ta muốn cùng ngươi cuối cùng nói một chút" .

	"Tốt" .

	Lâm Phong không có cân nhắc, trực tiếp đáp ứng Thiên Phàm, vô luận người sau muốn cùng mình đàm luận chuyện gì, Lâm Phong cũng sẽ không có một tia một hào ưu buồn, xem ở thiên đế mặt mũi, Lâm Phong tự nhiên sẽ không cự tuyệt.

	Huống chi nếu Thiên Phàm đặc biệt nghe ngóng mình phải rời khỏi thành Lang Tà, ở nơi này chờ liền một đêm, tất nhiên có chuyện trọng yếu cùng mình đàm luận.

	"Ngươi đợi một hồi" . Lâm Phong quay đầu hướng Tịnh Vô Ngân nói một câu, sau đó đi theo Thiên Phàm sau lưng, cả người đáp xuống thành Lang Tà bên trong một nơi tương đối không bị người phát hiện trong ngõ hẻm.

	"Lâm Phong, ta phải chết" . Thiên Phàm đứng ở Lâm Phong trước người, để cho Lâm Phong không có chút nào báo trước, hắn liền nói ra những lời này, nhất thời Lâm Phong ánh mắt sững sốt một chút, rồi sau đó trong lòng có chút hoảng sợ, không biết Thiên Phàm tại sao phải như thế nói.

	"Không cần cảm giác khiếp sợ, đây là ta kết quả" . Thiên Phàm gặp Lâm Phong trên mặt tràn đầy vẻ khiếp sợ, ngược lại là bỉu môi cười một tiếng, hắn đối với với tự muốn chết sự việc ngược lại nhìn rất nhẹ, thậm chí hắn không quan tâm sống chết.

	"Ta sở dĩ có trung vị thần tôn cảnh giới, hết thảy đều nguyện ý ta dùng ta có thể đổi lấy đồ cùng một vị Tà thần tôn làm tiền đặt cuộc, hắn để cho ta ngắn hạn bên trong thành là trung vị thần tôn, mà ta liền cần muốn bỏ ra tất cả tuổi thọ giá phải trả còn có người đàn ông khí" .

	"Có thể nói, bây giờ ta còn lại không tới nửa tháng sinh mạng, ngoài ra ta sớm thì không phải là đàn ông, ta đánh mất làm người đàn ông cơ bản điều kiện, mà hết thảy các thứ này ta cũng là vì có thể trả thù, cũng chính là giết ngươi" . Nói đến đây, Thiên Phàm cả người tỏ ra có chút kích động, tựa hồ rất không cam lòng Lâm Phong còn sống, vừa tựa hồ hối hận mình làm nơi là, nhưng hết thảy cũng không có vãn hồi chỗ trống.

	Lâm Phong nghe đến chỗ này, không nhịn được thở dài, tâm tình khá là phức tạp, vì báo thù bỏ ra tất cả, rốt cuộc đáng giá sao?

	"Lâm Phong, ta không biết là không phải ngươi giết phụ vương ta, nhưng ta ngày đó đích xác là chính mắt nơi gặp, nhưng bây giờ nhớ lại, lại cảm thấy có cái gì không đúng, ta không để mắt đến một chi tiết, đó chính là dao găm, vậy một cây dao găm là phụ vương mang theo người dao găm, không thể nào xuất hiện ở ở trên tay ngươi" .

	"Cho nên. . ." .

	Thiên Phàm vừa nói, lâm vào trong yên lặng ngắn ngủi, hắn càng muốn tin tưởng là Lâm Phong giết cha mình, mà không muốn đi tin tưởng là cha mình giết mình, như vậy rốt cuộc là tại sao? Muốn hắn làm ra như vậy quyết định, cho tới liền hắn đứa bé này cũng không cần.

	"Cho nên, ta suy nghĩ ra, người không phải ngươi giết, ta tự nhiên vậy liền không cần cõng loại này vĩnh viễn không hoàn thành được tâm nguyện, hề hề" . Thiên Phàm trên mặt có chút thư thái, hắn hoảng hốt ở giữa cảm thấy như vậy kết quả rất tốt, chí ít hắn lại nữa cần là báo thù lo lắng.

	"Lâm Phong, đi thôi, đi làm chuyện ngươi muốn làm đi" . Thiên Phàm hướng về phía Lâm Phong khoát tay một cái, giọng tràn đầy dửng dưng, sắc mặt vậy rốt cuộc lộ ra thuộc về chính hắn nụ cười, tới từ nội tâm nụ cười.

	Hắn đã buông xuống cừu hận, kế tiếp nửa tháng thời gian hắn chỉ muốn thật tốt bồi bồi Khương Hạo, thực hiện hắn cái này làm lão sư cuối cùng một phần tâm ý, cuối cùng một ngày hắn sẽ chọn một cái ai cũng không tìm được địa phương, chờ đợi Tà thần tôn hạ xuống, cướp lấy hắn tuổi thọ.

	Lâm Phong nhìn trời Phàm hồi lâu, đều không nói được nửa câu, bởi vì là Lâm Phong không biết nên nói cái gì cho phải, có thể nói hắn thành là cái bộ dáng này đều cùng bản thân có liên quan, nếu như hắn không nghĩ báo thù có lẽ cũng sẽ không có chuyện như vậy phát sinh.

	"Thiên Phàm, ngươi là Thiên Đế tiền bối huyết mạch, nếu như ngươi chết, chính là lớn nhất bất hiếu" . Lâm Phong sâu hô giọng, không muốn để cho Thiên Phàm cứ như vậy chết đi, chính là mở miệng khuyên nhủ.

	Nghe vậy, Thiên Phàm trên mặt lộ ra một nụ cười châm biếm, hắn ngẩng đầu lên hướng về phía Lâm Phong cười nói: "Những thứ này không cần ngươi nói, ta há có thể không biết đây là lớn nhất bất hiếu?"

	"Nhưng là ta không có cách nào, Tà thần tôn chắc chắn sẽ không thả qua ta, nửa tháng sau hắn tất nhiên sẽ tới cướp lấy ta tuổi thọ, ta chỉ có một đường chết chấm dứt chuyện này, thôi, Lâm Phong hết thảy đều cùng ngươi không liên quan, ngươi bắt chặt đi thôi" .

	Thiên Phàm nói đến đây, trên mặt lộ ra một tia kiên quyết, hắn tất nhiên không muốn chết, nhưng không có những biện pháp khác, nếu đánh cuộc liền tất cả như vậy thì phải đi thực hiện, hắn mặc dù đã không phải là người đàn ông, nhưng còn không có liền người đàn ông khí khái cũng mất.

	"Nhưng mà. . ." . Lâm Phong còn muốn nói điều gì, nhưng bị Thiên Phàm cắt đứt.

	"Đi!" . Thiên Phàm gầm lên lên tiếng, trong mắt đột nhiên trở nên lạnh lùng, gắt gao nhìn chằm chằm Lâm Phong, Lâm Phong nhìn trời Phàm, cuối cùng không nhịn được thở dài, chỉ có thể ôm quả đấm nói câu: "Bảo trọng" .

	" Ừ, đi thôi" . Thiên Phàm gật đầu một cái, cuối cùng mắt nhìn Lâm Phong bay lên trời bay vọt đỉnh đầu, biến mất ở mình trong tầm mắt, Thiên Phàm trên mặt lộ ra một tia thư thái, khóe miệng nổi lên một nụ cười châm biếm.

	"Lâm Phong, cuối cùng vẫn là ngươi thắng" .

	. . .

	Trên bầu trời, Tịnh Vô Ngân đợi Lâm Phong hồi lâu, hắn chân mày không nhịn được nhíu lại, hắn suy nghĩ Lâm Phong sẽ không xuất hiện chuyện gì chứ ? Ở nơi này suy nghĩ tăng nhiều lúc đó, Lâm Phong từ phía sau bay tới.

	"Lâm Phong, thế nào? Mặt ngươi sắc?" Tịnh Vô Ngân nhìn Lâm Phong sắc mặt có chút thấp, không kiềm được nghi ngờ hỏi lên tiếng.

	"Tịnh huynh, ngươi nghe chưa từng nghe qua một cái kêu là Tà thần tôn?" Lâm Phong ngẩng đầu lên, cau mày hỏi lên tiếng, có lẽ Tịnh Vô Ngân du lịch đại lục nhiều năm, có thể biết cái này một nhân vật.

	Quả nhiên, Lâm Phong lời còn chưa dứt, Tịnh Vô Ngân sắc mặt chính là hơi đổi, rồi sau đó có chút khẩn trương hỏi: "Làm sao? Ngươi trêu chọc hắn?"

	"Không có, là mới vừa rồi Thiên Phàm" . Lâm Phong lắc đầu một cái, liếc nhìn sau lưng.

	Tịnh Vô Ngân lúc này mới sâu hô giọng, rồi sau đó ánh mắt rất phức tạp nói: "Ta khuyên ngươi còn chưa muốn xen vào chuyện này, Tà thần tôn người này không dễ chọc, đừng nói là ngươi nho nhỏ này trung vị thần tôn, có lẽ chính là thầy ngươi Tử Điến thần tôn đích thân tới, đều phải sợ hãi cái này Tà thần tôn 3 điểm" .

	"Vì sao?" Lâm Phong có chút kinh ngạc nâng lên thật chẳng lẽ có cái gì chỗ đáng sợ sao?

	Tịnh Vô Ngân lắc đầu một cái, hắn biết Lâm Phong tất nhiên là chưa từng nghe qua cái này Tà thần tôn, càng không biết người sau chỗ lợi hại, cho nên hắn mới có thể hỏi như vậy, nếu như đổi thành những người khác hỏi Tà thần tôn có lợi hại gì, tất nhiên sẽ bị cười nhạo.

	"Tà thần tôn là cổ tà tộc một thành viên, cái này cổ tà tộc ở đất nước trên rất là bí mật, cơ hồ không có ai biết nó rốt cuộc ở nơi nào nương thân, nhưng từ năm trăm năm trước bỗng nhiên nhiều một cái tự xưng cổ tà tộc thành viên, cũng chính là Tà thần tôn xuất hiện" .

	"Mới bắt đầu Tà thần tôn cũng không có đưa tới bao nhiêu người chú ý, chẳng qua là làm hắn là một cái thượng vị thần tôn mà thôi, nhưng mà liên tiếp xuất hiện các thế lực lớn cùng tất cả đại đế quốc đều có bị đoạt đi tuổi thọ cùng kinh hồn cùng với người đàn ông khí chuyện kiện xuất hiện, hơn nữa mỗi một lần chuyện kiện xuất hiện cũng biết bị Tà thần tôn chủ động thừa nhận" .

	"Trong đó pháp Lam đế quốc cái đầu tiên ngồi không yên, bởi vì là ước chừng bốn cái trung vị thần tôn đều bị hút sạch tuổi thọ, cho nên bọn họ phái ra một cái thượng vị thần tôn, hơn nữa còn là lão tổ cấp nhân vật khác đi đánh chết Tà thần tôn, nhưng tất cả mọi người đều không nghĩ tới, vị này lão tổ cấp nhân vật khác ngược lại bị Tà thần tôn trọng tổn thương, vị này lão tổ cấp nhân vật khác thật vất vả đem về pháp Lam đế quốc, cuối cùng vậy bởi vì là thương thế quá nặng bệnh chết" .

	"Chuyện này sau này, toàn bộ Vĩnh Hằng quốc độ cũng cầm vị này Tà thần tôn làm ôn dịch vậy, chưa bao giờ có người dám trêu chọc hắn, chính là như vậy hơn nữa giúp dài hắn phách lối kiêu căng, đoạt người tuổi thọ là chuyện thường" .

	"Cho nên, Lâm Phong, chuyện này ngươi tuyệt đối không cần để ý, để tránh rước họa vào thân" .

	Nói xong lời cuối cùng, Tịnh Vô Ngân sắc mặt trở nên dị thường ngưng trọng.Chương 733: Thiên Phàm nếu! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Lâm Phong, có thể cùng ta nói một chút ngươi cùng Tán quốc giữa mâu thuẫn sao?"

	Tịnh Vô Ngân cùng Lâm Phong đã sớm nhảy vào trời cao, toàn lực phi hành chạy thẳng tới Tán quốc quốc đô lớn trại đi, dọc đường Tịnh Vô Ngân không nhịn được tò mò trong lòng, chính là hỏi lên tiếng, hy vọng Lâm Phong có thể cho hắn một cái câu trả lời hài lòng.

	Lâm Phong gặp Tịnh Vô Ngân rất có hứng thú nghe, Lâm Phong mình chính là chậm rãi đem mình cùng Tán quốc ân oán giữa toàn bộ nói ra, đầu tiên hay là từ Tiểu Thanh nói tới, một mực nói đến hỗn độn thú bị đoạt đi, những chuyện này nói ra ước chừng dùng mấy phút đồng hồ.

	Tịnh Vô Ngân rất nghiêm túc nghe Lâm Phong gặp gỡ cùng trải qua, cuối cùng không nhịn được hướng về phía Lâm Phong đưa ra ngón tay cái, nhiều như vậy nước dạy ông già nói giết liền giết, tự hào không có một chút lưu tình, hắn bội phục.

	"Nguyên lai ngươi thú cưỡi là hỗn độn thú" . Tịnh Vô Ngân trên mặt có chút phức tạp, trong mắt càng mang rất nhiều hâm mộ, hỗn độn thú có thể nói là vua vạn thú, hắn địa vị so với long tộc cao hơn không thiếu, duy nhất có thể cùng hỗn độn thú coi như nhau có lẽ thật chỉ có viễn cổ thần thú có thể sánh bằng, liền bốn đại thần thú đều phải trong tương lai dựa vào.

	Lâm Phong có thể cùng hỗn độn thú kết giao thâm hậu như vậy tình nghĩa, chuyện này chính là một lớn may mắn, Lâm Phong rất may mắn đó là có thể biết hỗn độn thú, cái này thật ra thì còn muốn gián tiếp cảm ơn Ngôn Chấn, nếu như không phải là Ngôn Chấn để cho mình tìm Tán Tôn Cổ mộ, có lẽ đời này cũng sẽ không gặp phải hỗn độn thú cùng kiếm tổ địch, hết thảy các thứ này đều là Ngôn Chấn công lao.

	Nhưng Lâm Phong sẽ không có nửa điểm vẻ cảm kích, dẫu sao để cho mình tìm Tán Tôn Cổ mộ nhưng mà có điều kiện, lẫn nhau đều là thuộc về lợi dụng tâm tư, hơn nữa Ngôn Chấn một tâm tư nghĩ muốn giết mình, cho nên nói Lâm Phong không thể nào cảm kích hắn.

	"Thành Lang Tà phía tây chính là Tán quốc, phỏng đoán sáng sớm ngày mai liền có thể tới" . Tịnh Vô Ngân nhìn phía trước rậm rạp chằng chịt dãy nhà, hai người còn đều ở đây thành Lang Tà bầu trời phi hành, còn không có rời đi thành Lang Tà, chỉ bất quá bây giờ thuộc về tây thành, hai người tiếp tục toàn lực phi hành.

	Trời dần dần sáng, ngôi sao biến mất ở trên đỉnh trời, ánh sáng mặt trời bay lên ra, vốn là có chút lạnh lẻo trời cao ngay tức thì trở nên ấm áp dung dung.

	"Lập tức phải ra thành Lang Tà liền" . Lâm Phong thấy trước mắt có chút hoang vu vùng, cùng dưới chân sầm uất thành phố chênh lệch rất lớn, chính là có thể đoán được trước mặt chính là Tán quốc chi nhánh vùng, mà dưới chân còn thuộc về thành Lang Tà.

	"Lâm Phong, dừng lại" .

	Đột nhiên quát lạnh thanh từ Lâm Phong sau lưng truyền tới, Lâm Phong nghe được thình lình tiếng quát chính là dừng lại, hư không đứng lại, xoay người Lâm Phong thấy được từ thành Lang Tà bay lên một đạo chàng trai áo bào trắng, không phải người khác chính là Thiên Phàm.

	"Thiên Phàm?" Lâm Phong có chút kinh ngạc nhìn trời Phàm, không biết Thiên Phàm gọi lại mình rốt cuộc muốn làm gì.

	"Bọn ta liền ngươi một đêm, ngươi cuối cùng đã tới" . Thiên Phàm sắc mặt có chút lạnh tuấn nhìn Lâm Phong trầm giọng vừa nói, sau đó một bước bước ra đi tới Lâm Phong bên người, tiếp tục nói: "Ta muốn cùng ngươi cuối cùng nói một chút" .

	"Tốt" .

	Lâm Phong không có cân nhắc, trực tiếp đáp ứng Thiên Phàm, vô luận người sau muốn cùng mình đàm luận chuyện gì, Lâm Phong cũng sẽ không có một tia một hào ưu buồn, xem ở thiên đế mặt mũi, Lâm Phong tự nhiên sẽ không cự tuyệt.

	Huống chi nếu Thiên Phàm đặc biệt nghe ngóng mình phải rời khỏi thành Lang Tà, ở nơi này chờ liền một đêm, tất nhiên có chuyện trọng yếu cùng mình đàm luận.

	"Ngươi đợi một hồi" . Lâm Phong quay đầu hướng Tịnh Vô Ngân nói một câu, sau đó đi theo Thiên Phàm sau lưng, cả người đáp xuống thành Lang Tà bên trong một nơi tương đối không bị người phát hiện trong ngõ hẻm.

	"Lâm Phong, ta phải chết" . Thiên Phàm đứng ở Lâm Phong trước người, để cho Lâm Phong không có chút nào báo trước, hắn liền nói ra những lời này, nhất thời Lâm Phong ánh mắt sững sốt một chút, rồi sau đó trong lòng có chút hoảng sợ, không biết Thiên Phàm tại sao phải như thế nói.

	"Không cần cảm giác khiếp sợ, đây là ta kết quả" . Thiên Phàm gặp Lâm Phong trên mặt tràn đầy vẻ khiếp sợ, ngược lại là bỉu môi cười một tiếng, hắn đối với với tự muốn chết sự việc ngược lại nhìn rất nhẹ, thậm chí hắn không quan tâm sống chết.

	"Ta sở dĩ có trung vị thần tôn cảnh giới, hết thảy đều nguyện ý ta dùng ta có thể đổi lấy đồ cùng một vị Tà thần tôn làm tiền đặt cuộc, hắn để cho ta ngắn hạn bên trong thành là trung vị thần tôn, mà ta liền cần muốn bỏ ra tất cả tuổi thọ giá phải trả còn có người đàn ông khí" .

	"Có thể nói, bây giờ ta còn lại không tới nửa tháng sinh mạng, ngoài ra ta sớm thì không phải là đàn ông, ta đánh mất làm người đàn ông cơ bản điều kiện, mà hết thảy các thứ này ta cũng là vì có thể trả thù, cũng chính là giết ngươi" . Nói đến đây, Thiên Phàm cả người tỏ ra có chút kích động, tựa hồ rất không cam lòng Lâm Phong còn sống, vừa tựa hồ hối hận mình làm nơi là, nhưng hết thảy cũng không có vãn hồi chỗ trống.

	Lâm Phong nghe đến chỗ này, không nhịn được thở dài, tâm tình khá là phức tạp, vì báo thù bỏ ra tất cả, rốt cuộc đáng giá sao?

	"Lâm Phong, ta không biết là không phải ngươi giết phụ vương ta, nhưng ta ngày đó đích xác là chính mắt nơi gặp, nhưng bây giờ nhớ lại, lại cảm thấy có cái gì không đúng, ta không để mắt đến một chi tiết, đó chính là dao găm, vậy một cây dao găm là phụ vương mang theo người dao găm, không thể nào xuất hiện ở ở trên tay ngươi" .

	"Cho nên. . ." .

	Thiên Phàm vừa nói, lâm vào trong yên lặng ngắn ngủi, hắn càng muốn tin tưởng là Lâm Phong giết cha mình, mà không muốn đi tin tưởng là cha mình giết mình, như vậy rốt cuộc là tại sao? Muốn hắn làm ra như vậy quyết định, cho tới liền hắn đứa bé này cũng không cần.

	"Cho nên, ta suy nghĩ ra, người không phải ngươi giết, ta tự nhiên vậy liền không cần cõng loại này vĩnh viễn không hoàn thành được tâm nguyện, hề hề" . Thiên Phàm trên mặt có chút thư thái, hắn hoảng hốt ở giữa cảm thấy như vậy kết quả rất tốt, chí ít hắn lại nữa cần là báo thù lo lắng.

	"Lâm Phong, đi thôi, đi làm chuyện ngươi muốn làm đi" . Thiên Phàm hướng về phía Lâm Phong khoát tay một cái, giọng tràn đầy dửng dưng, sắc mặt vậy rốt cuộc lộ ra thuộc về chính hắn nụ cười, tới từ nội tâm nụ cười.

	Hắn đã buông xuống cừu hận, kế tiếp nửa tháng thời gian hắn chỉ muốn thật tốt bồi bồi Khương Hạo, thực hiện hắn cái này làm lão sư cuối cùng một phần tâm ý, cuối cùng một ngày hắn sẽ chọn một cái ai cũng không tìm được địa phương, chờ đợi Tà thần tôn hạ xuống, cướp lấy hắn tuổi thọ.

	Lâm Phong nhìn trời Phàm hồi lâu, đều không nói được nửa câu, bởi vì là Lâm Phong không biết nên nói cái gì cho phải, có thể nói hắn thành là cái bộ dáng này đều cùng bản thân có liên quan, nếu như hắn không nghĩ báo thù có lẽ cũng sẽ không có chuyện như vậy phát sinh.

	"Thiên Phàm, ngươi là Thiên Đế tiền bối huyết mạch, nếu như ngươi chết, chính là lớn nhất bất hiếu" . Lâm Phong sâu hô giọng, không muốn để cho Thiên Phàm cứ như vậy chết đi, chính là mở miệng khuyên nhủ.

	Nghe vậy, Thiên Phàm trên mặt lộ ra một nụ cười châm biếm, hắn ngẩng đầu lên hướng về phía Lâm Phong cười nói: "Những thứ này không cần ngươi nói, ta há có thể không biết đây là lớn nhất bất hiếu?"

	"Nhưng là ta không có cách nào, Tà thần tôn chắc chắn sẽ không thả qua ta, nửa tháng sau hắn tất nhiên sẽ tới cướp lấy ta tuổi thọ, ta chỉ có một đường chết chấm dứt chuyện này, thôi, Lâm Phong hết thảy đều cùng ngươi không liên quan, ngươi bắt chặt đi thôi" .

	Thiên Phàm nói đến đây, trên mặt lộ ra một tia kiên quyết, hắn tất nhiên không muốn chết, nhưng không có những biện pháp khác, nếu đánh cuộc liền tất cả như vậy thì phải đi thực hiện, hắn mặc dù đã không phải là người đàn ông, nhưng còn không có liền người đàn ông khí khái cũng mất.

	"Nhưng mà. . ." . Lâm Phong còn muốn nói điều gì, nhưng bị Thiên Phàm cắt đứt.

	"Đi!" . Thiên Phàm gầm lên lên tiếng, trong mắt đột nhiên trở nên lạnh lùng, gắt gao nhìn chằm chằm Lâm Phong, Lâm Phong nhìn trời Phàm, cuối cùng không nhịn được thở dài, chỉ có thể ôm quả đấm nói câu: "Bảo trọng" .

	" Ừ, đi thôi" . Thiên Phàm gật đầu một cái, cuối cùng mắt nhìn Lâm Phong bay lên trời bay vọt đỉnh đầu, biến mất ở mình trong tầm mắt, Thiên Phàm trên mặt lộ ra một tia thư thái, khóe miệng nổi lên một nụ cười châm biếm.

	"Lâm Phong, cuối cùng vẫn là ngươi thắng" .

	. . .

	Trên bầu trời, Tịnh Vô Ngân đợi Lâm Phong hồi lâu, hắn chân mày không nhịn được nhíu lại, hắn suy nghĩ Lâm Phong sẽ không xuất hiện chuyện gì chứ ? Ở nơi này suy nghĩ tăng nhiều lúc đó, Lâm Phong từ phía sau bay tới.

	"Lâm Phong, thế nào? Mặt ngươi sắc?" Tịnh Vô Ngân nhìn Lâm Phong sắc mặt có chút thấp, không kiềm được nghi ngờ hỏi lên tiếng.

	"Tịnh huynh, ngươi nghe chưa từng nghe qua một cái kêu là Tà thần tôn?" Lâm Phong ngẩng đầu lên, cau mày hỏi lên tiếng, có lẽ Tịnh Vô Ngân du lịch đại lục nhiều năm, có thể biết cái này một nhân vật.

	Quả nhiên, Lâm Phong lời còn chưa dứt, Tịnh Vô Ngân sắc mặt chính là hơi đổi, rồi sau đó có chút khẩn trương hỏi: "Làm sao? Ngươi trêu chọc hắn?"

	"Không có, là mới vừa rồi Thiên Phàm" . Lâm Phong lắc đầu một cái, liếc nhìn sau lưng.

	Tịnh Vô Ngân lúc này mới sâu hô giọng, rồi sau đó ánh mắt rất phức tạp nói: "Ta khuyên ngươi còn chưa muốn xen vào chuyện này, Tà thần tôn người này không dễ chọc, đừng nói là ngươi nho nhỏ này trung vị thần tôn, có lẽ chính là thầy ngươi Tử Điến thần tôn đích thân tới, đều phải sợ hãi cái này Tà thần tôn 3 điểm" .

	"Vì sao?" Lâm Phong có chút kinh ngạc nâng lên thật chẳng lẽ có cái gì chỗ đáng sợ sao?

	Tịnh Vô Ngân lắc đầu một cái, hắn biết Lâm Phong tất nhiên là chưa từng nghe qua cái này Tà thần tôn, càng không biết người sau chỗ lợi hại, cho nên hắn mới có thể hỏi như vậy, nếu như đổi thành những người khác hỏi Tà thần tôn có lợi hại gì, tất nhiên sẽ bị cười nhạo.

	"Tà thần tôn là cổ tà tộc một thành viên, cái này cổ tà tộc ở đất nước trên rất là bí mật, cơ hồ không có ai biết nó rốt cuộc ở nơi nào nương thân, nhưng từ năm trăm năm trước bỗng nhiên nhiều một cái tự xưng cổ tà tộc thành viên, cũng chính là Tà thần tôn xuất hiện" .

	"Mới bắt đầu Tà thần tôn cũng không có đưa tới bao nhiêu người chú ý, chẳng qua là làm hắn là một cái thượng vị thần tôn mà thôi, nhưng mà liên tiếp xuất hiện các thế lực lớn cùng tất cả đại đế quốc đều có bị đoạt đi tuổi thọ cùng kinh hồn cùng với người đàn ông khí chuyện kiện xuất hiện, hơn nữa mỗi một lần chuyện kiện xuất hiện cũng biết bị Tà thần tôn chủ động thừa nhận" .

	"Trong đó pháp Lam đế quốc cái đầu tiên ngồi không yên, bởi vì là ước chừng bốn cái trung vị thần tôn đều bị hút sạch tuổi thọ, cho nên bọn họ phái ra một cái thượng vị thần tôn, hơn nữa còn là lão tổ cấp nhân vật khác đi đánh chết Tà thần tôn, nhưng tất cả mọi người đều không nghĩ tới, vị này lão tổ cấp nhân vật khác ngược lại bị Tà thần tôn trọng tổn thương, vị này lão tổ cấp nhân vật khác thật vất vả đem về pháp Lam đế quốc, cuối cùng vậy bởi vì là thương thế quá nặng bệnh chết" .

	"Chuyện này sau này, toàn bộ Vĩnh Hằng quốc độ cũng cầm vị này Tà thần tôn làm ôn dịch vậy, chưa bao giờ có người dám trêu chọc hắn, chính là như vậy hơn nữa giúp dài hắn phách lối kiêu căng, đoạt người tuổi thọ là chuyện thường" .

	"Cho nên, Lâm Phong, chuyện này ngươi tuyệt đối không cần để ý, để tránh rước họa vào thân" .

	Nói xong lời cuối cùng, Tịnh Vô Ngân sắc mặt trở nên dị thường ngưng trọng.
