Chương 1176: Bí mật hiệp định! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Ngươi phải chăng cam tâm làm hắn nô lệ?"
	Năm đó Cự Ưng tộc, có thể nói là hạng 2 chủng tộc chính giữa người xuất sắc, mỗi một Cự Ưng tộc thành viên đều có một đầu Cự Ưng thú đi theo, một người một thú hợp lực thực lực đủ để chống cự một vị vật phàm thần tổ.

	Hơn nữa năm đó Cự Ưng tộc tộc trưởng cũng là chiến giới trên bảng bá chủ một vị, hơn nữa thực lực gần trước, vị trí gần trước, chẳng qua là bị một cái thời kỳ một cái bá chủ tiêu diệt, Cự Ưng thần tổ chính là năm đó một nhóm người kia để lại con một.

	Hắn biết điều bí mật này, có thể cũng không biết mới vừa rồi Cự Ưng thần tổ nói ra được cái này, thật là thật là làm cho người ta kinh hãi, nếu như Cự Ưng tộc còn không có bị diệt tộc nói, như vậy một khi một người một thú lại lần nữa rời núi, cách cục này lại đem bị thay đổi.

	"Tiền bối, chuyện này ta chỉ và ngài nói, không sai, năm đó Cự Ưng tộc đích xác bị đại mạc thiết kỵ đạp bằng, nhưng mà chúng ta cũng không có hoàn toàn bị hủy diệt" .

	"Nhớ được một năm kia, chúng ta có bốn cái thành viên trốn thoát, trong đó có ta một cái, hôm nay một trăm ngàn năm trôi qua, chúng ta bốn vị thành viên phân biệt diễn sanh hơn ba trăm cái tên cháu, đi qua một trăm ngàn năm phát triển, trước mắt chúng ta Cự Ưng tộc đã ra đời mười lăm vị thần tổ, trong đó vật phàm thần tổ mười vị, cộng thêm chúng ta bốn cái lão gia, cũng chính là bốn vị linh phẩm thần tổ, sau cùng một vị kia là chúng ta toàn bộ Cự Ưng tộc hy vọng, hắn thực lực đã là thánh phẩm thần tổ" .

	"Chúng ta vì bảo đảm Cự Ưng tộc không bị người phát hiện, sẽ để cho hắn một mình xông xáo, một ngày kia hắn đột phá địa cấp thần tổ sau đó, liền để cho hắn trở về, cạnh tranh bá chủ vị" .

	"Đây chính là chúng ta Cự Ưng tộc bí mật, ta ngày hôm nay chỉ và tiền bối nói, chỉ hy vọng tiền bối bảo thủ điều bí mật này, liền quyền làm xem vào năm đó ta phụ thân cùng ngài quan hệ đi!"

	Cự Ưng thần tổ vừa nói, sắc mặt trong lộ ra vài tia chán chường và đắng chát, nếu như địa tổ không phải xem vào năm đó người thế hệ trước ân oán lên, mình đã sớm chết rồi, nơi nào còn có làm nô lệ cơ hội.

	Thế giới chính là cái này tàn khốc, năm đó bạn tốt, hôm nay bạn tốt con trai cũng chỉ có thể cho Lâm Phong làm nô lệ.

	Thổ Kim thần tổ một chút xíu tiêu hóa Cự Ưng thần tổ nói ra được nội dung, không chỉ là hắn, bây giờ tùy tiện đổi một vị bá chủ hoặc là năm phương chi tổ mà nói, cũng biết bị sâu đậm khiếp sợ, năm đó Cự Ưng tộc có thể nói cuốn một phương thế giới.

	Nếu như không phải là hậu kỳ đại mạc thiết kỵ quật khởi nói, hôm nay Cự Ưng tộc sợ rằng sớm đều trở thành tương tự tộc người cường hãn như vậy thế lực.

	"Cự Ưng, nếu như Lâm Phong thành là bá chủ, ngươi liền đáp ứng ta làm hắn nô lệ, mang tông tộc của ngươi, ngươi bây giờ xác định sao?" Thổ Kim thần tổ thầm hô, sau đó trịnh trọng hỏi Cự Ưng thần tổ, rất sợ hắn bây giờ đổi ý.

	"Dĩ nhiên không đổi ý, dĩ nhiên điều kiện tiên quyết là hắn phải giúp ta báo thù, giúp ta tiêu diệt đại mạc thiết kỵ!"

	Kẽo kẹt một tiếng, Cự Ưng thần tổ hung tợn siết chặt quả đấm, lạnh như băng khí thế hoảng hốt ở giữa để cho Thổ Kim thần tổ vậy sững sốt một chút, có thể gặp cái này Cự Ưng thần tổ trong lòng ẩn núp hận ý có mãnh liệt bực nào, vì tiêu diệt đại mạc thiết kỵ vậy thật sự là buông tha tôn nghiêm.

	"Cái này lão phu không cách nào bảo đảm, dẫu sao Lâm Phong tính cách, lão phu thanh một chút, hắn sẽ không bị khỏa hiếp, trừ phi ngày sau chính ngươi nói với hắn đi, nếu như hắn cảm thấy có thể, lão phu không lời có thể nói" .

	Thổ Kim thần tổ không có đáp ứng, dẫu sao Lâm Phong nóng nảy vậy rất thúi, hắn biết chuyện gì có thể thay Lâm Phong đáp ứng, chuyện gì không thể thay hắn đáp ứng.

	"Được, vậy trước tiên không đáp ứng, nhưng chúng ta có thể đem điều bí mật này quyết định, trong vòng một năm, ta như cũ sẽ trở thành là hắn nô lệ "

	"Có thể, điều bí mật này hiệp định trước tiên là nói về định, nếu như một ngày kia hắn thành là bá chủ, cũng có thể đáp ứng ngươi yêu cầu, dẫu sao thành bá chủ, nhất định phải nhúc nhích chiến giới trên bảng nhân vật lớn, cho nên đại mạc thiết kỵ cũng có có thể bị hắn rút trúng " .

	"Tiền bối, vậy chúng ta quyết định" .

	"Được, quyết định" .

	"Tiếp theo ta nên làm cái gì? Là hắn, là. . . Chủ, chủ nhân?"

	"Đi Cảnh thành, ngày mốt hội đấu giá bắt đầu, lão phu nghe nói đã xuất hiện mộ đạo thuật, lão phu để cho ngươi bảo vệ Lâm Phong, giúp hắn thuận lợi lấy được được mộ đạo thuật" .

	"Được, ta đi" .

	Thổ Kim thần tổ ngắm nhìn rời đi cái này trùng trùng dãy núi Cự Ưng thần tổ, khóe miệng nổi lên một tia độ cong, cách cách hắn kế hoạch lại gần một bước, cùng Lâm Phong đột phá thần tổ sau đó, kế hoạch này là có thể chính thức khởi động.

	Khôn nói , con ta đồ, chờ đi, ngươi ác mộng, không biết quá lâu!

	Thầm hô, Thổ Kim thần tổ sắc mặt dữ tợn rất nhiều, chẳng qua là mang nón lá rộng vành không người thấy, dãy núi này tự nhiên cũng không có ai hành động.

	"Nghê Hoàng, ngươi rốt cuộc là ý gì à? Đem con gái phái cho Lâm Phong?"

	Chốc lát, Thổ Kim thần tổ lại không thể không suy tính một cái khác vấn đề khó khăn, Nghê Hoàng rốt cuộc muốn làm gì? Chẳng lẽ hắn suy đoán được Tu La chính là Lâm Phong? Vẫn là ngoài ra có ám chỉ?

	Tóm lại, Nghê Hoàng mục đích sợ cũng không chỉ thuần, nếu không không biết cứng rắn lòng dạ đem nàng thương yêu nhất con gái nhỏ phái đi ra ngoài.

	Hết thảy các thứ này, đều là quấn quanh trước mắt hắn dây thừng, nếu như không cắt xén đoạn, hắn không an lòng.

	Thổ Kim thần tổ lo lắng rất nhiều, mà Lâm Phong mình lại cũng không lo lắng gì.

	Một năm này thời gian, đủ mình đi xông xáo, biết một chút về chiến giới cái này thế giới vô biên, thuận tiện góp nhặt một ít thuộc về mình lực lượng, lấy này thành lập thuộc về mình Lâm thị gia tộc, hơn nữa phải đem Lâm thị gia tộc quang vinh toàn bộ chiến giới trên.

	Thuộc về Lâm thị gia tộc quang vinh, ai cũng đoạt không đi!

	Lâm Phong ngồi ở trên ghế, thuộc về hóa cái này kế hoạch tương lai, mỗi một tấc mỗi một khối cũng nghĩ xong, mình mấy con trai và cô gái cho bọn họ một trăm năm thời gian, hẳn cũng có thể trở thành là thần đế hay hoặc là đột phá là thần tổ, khi đó Lâm thị gia tộc thì sẽ lóng lánh toàn bộ đại lục.

	Dĩ nhiên Lâm Phong vẫn là cảm thấy một trăm năm thời gian có chút dài dằng dặc, có thể nếu như ý tưởng này bị những thứ khác người biết nói, tất nhiên sẽ cảm thấy sợ hãi, người bình thường tu luyện 10 ngàn năm thành là thần tổ cũng là thiên tài, một trăm năm thành là thần tổ còn chậm?

	Một ngày này, Lâm Phong không có xuống núi, dưới núi cũng không có cái gì có ý nghĩa sự việc, đều là một ít cường tráng người đàn ông vạm vỡ, cũng có không chuyện ác nào không làm tương tự với ba cái ác bá đại thiếu.

	Nghĩ đến ba cái ác bá đại thiếu, Lâm Phong cảm thấy có thời gian hẳn hỏi một câu Tống Cừu Cửu, bọn họ ba cái bị như thế nào xử lý.

	Đông đông!

	Ngay tại lúc này, ngoài cửa vang lên tiếng gõ cửa, thanh âm không lớn, lộ vẻ được rất có lễ phép.

	" Vào đi !"

	Kẽo kẹt một tiếng, cửa bị bên ngoài người đẩy ra, một người cao xấp xỉ 3m khôi rút ra hán tử đi vào, bộ dáng cung kính cùng hắn thân thể thật sự là không phù hợp, lộ vẻ được vô cùng là vụng về.

	Lâm Phong nhịn được trong lòng nụ cười không cười đi ra, nhưng vẫn là nhìn người đàn ông vạm vỡ, trước một bước hỏi: "Có việc gì thế?"

	"Này, cái đó, Đại huynh đệ, à không, là công tử gia, ta đây, ta đây đại ca, cái đó. . ." . Người đàn ông vạm vỡ nói chuyện có chút dập đầu ba, ngoài ra thấy Lâm Phong có chút kích động, cho nên nói chuyện có chút lời nói không có mạch lạc, vậy không nói ra cái bốn năm tới.

	" Ngừng, vẫn là ta tới hỏi ngươi đi, có phải hay không các người Tống lão đại tìm ta có chuyện?"

	"Ách, đúng vậy" .

	"Chuyện này có phải hay không và ngày mai hội đấu giá có liên quan?"

	"À, thật giống như, hình như là" .

	"Hắn ở nơi nào cùng ta?"

	"Ách, ta đây lĩnh ngươi đi , đúng, ta đây được lĩnh ngươi đi" . Người đàn ông vạm vỡ sờ một cái đầu, dáng vẻ lộ vẻ được khá là tức cười.

	Nghe vậy, Lâm Phong không nhịn được cười một tiếng, nhưng cũng cảm thấy không biết làm sao, những thứ này rất vực người, có phải hay không đem trong đầu sức nặng cũng vừa được trên người bắp thịt đi lên, rõ ràng tứ chi phát đạt, đầu óc đơn giản.

	Hơn nữa thấy lâu như vậy, rất vực người cùng bên ngoài lời đồn đãi tựa hồ có chút bất đồng, bên ngoài lời đồn đãi Bát Giác vực cũng là một đám súc sinh, hơn nữa không chuyện ác nào không làm, gian dâm bắt cóc tất cả đều làm, nhưng là gặp được Bát Giác vực một người trong đó rất vực người, còn là người tốt chiếm đa số.

	Dĩ nhiên, có lẽ có thể những thứ khác lãnh vực có kẻ ác, vậy nói không chừng.

	"Ngươi chờ, ta lên trước lầu một chuyến" .

	Lâm Phong chỉ người đàn ông vạm vỡ, để cho hắn chờ một lát, mình nhưng lên lầu, tự nhiên muốn tìm Thanh Hoàng Thiên cùng Thiên Kim Thải Nguyệt.

	Thiên Kim Thải Nguyệt hôm qua cho mình nhẫn không gian bên trong thần tiền lại là một tỉ, thật có tiền, trách không phải là Nghê Hoàng con gái, hơn nữa Túy tiên lầu bản thân chính là hội đấu giá chủ nhà, có tiền tự nhiên bình thường.

	Chẳng qua là tiền này, Lâm Phong không thể muốn, không có lý do gì, vừa mà không ăn thua gì cũng không nghĩa.

	10 phút sau đó, hai cô gái đi theo Lâm Phong sau lưng đi xuống lầu tới, người đàn ông vạm vỡ trực tiếp ngớ ngẩn, xem hai nàng xinh đẹp, bị sâu đậm hấp dẫn.

	Hồi lâu.

	"Cái đó, ta đây muốn nhận ngươi vì đại ca" .

	"Tại sao?"

	"Ngươi thật lợi hại, tán gái nhất định là có một bộ, ta đây cũng muốn tán gái" .

	". . ." .

	"Đi, đi, đi mau" .

	"Tốt ba, cái đó, ta đây thật muốn bái sư. . ." .

	"Cút đi!"Chương 1176: Bí mật hiệp định! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Ngươi phải chăng cam tâm làm hắn nô lệ?"

	Rất vực cảnh, một cái trong rừng núi, Thổ Kim thần tổ đầu đội nón lá rộng vành, đối mặt với cao vút liền mảnh rất vực dãy núi, quát ra một tiếng.

	Sau lưng.

	"Không cam lòng!"

	Một người mặc hoàng bào ông già đầy mặt vẻ không cam lòng, nhưng không thể làm gì, hắn không dám không làm, một khi phản kháng vậy đó là một con đường chết, hắn không sống đủ, không muốn chết, hơn nữa từ cảnh giới thứ nhất tu luyện tới bây giờ, có thể nói dùng mấy trăm ngàn năm, hắn mới không cam lòng chết như vậy hết.

	"Cự Ưng, vậy ngươi làm sao mới có thể cam tâm?" Thổ Kim thần tổ xoay người, ánh mắt gắt gao nhìn chằm chằm Cự Ưng thần tổ, trầm giọng hỏi.

	Cự Ưng thần tổ mặt liền biến sắc, hắn cảm thấy đến từ Thổ Kim thần tổ khí thế đáng sợ chèn ép, để cho hắn muốn nghẹt thở, mặt vậy biệt hồng, có thể hắn như cũ đĩnh những thứ này thống khổ đáp: "Trừ phi hắn thành là bá chủ, ta sẽ cam tâm" .

	"Ngươi chắc chắn?"

	"Chắc chắn, tiền bối, làm Lâm Phong thành là bá chủ, ta mới cam tâm thành là hắn nô lệ" . Cự Ưng thần tổ kiên định đáp trả, hắn không có làm trò đùa.

	"Ha ha, thật là chuyện tiếu lâm, Lâm Phong như thành bá chủ, ngươi có và tư cách thành là hắn nô lệ?" Thổ Kim thần tổ gặp hắn chắc chắn sau đó, chính là cười, hơn nữa còn là vô tình giễu cợt cười to lên.

	Cự Ưng thần tổ lão mặt đỏ lên, tựa hồ bị những lời này bị thương tự ái, đúng là một khi Lâm Phong trở thành bá chủ, như vậy thuộc hạ tất nhiên sẽ có càng ngày càng nhiều vật phàm hoặc là linh phẩm thần tổ, như vậy còn cần hắn cái này linh phẩm thần tổ làm gì.

	Chẳng qua là. . . Một cái bí mật rất nhiều người cũng sẽ không biết, duy chỉ có chính hắn biết.

	"Tiền bối, nếu như, Lâm Phong một ngày kia thành là bá chủ, ta liền dẫn Cự Ưng tộc đầu dựa vào hắn" .

	"Ngươi nói gì? Cự Ưng tộc? Năm đó Cự Ưng tộc chẳng lẽ. . . ?"

	Thổ Kim thần tổ sắc mặt nhất thời đại biến, bị Cự Ưng thần tổ thình lình nói chấn động đến, giờ khắc này liền vị này địa tổ cũng không biết nên như thế nào suy tính vấn đề.

	Năm đó Cự Ưng tộc, có thể nói là hạng 2 chủng tộc chính giữa người xuất sắc, mỗi một Cự Ưng tộc thành viên đều có một đầu Cự Ưng thú đi theo, một người một thú hợp lực thực lực đủ để chống cự một vị vật phàm thần tổ.

	Hơn nữa năm đó Cự Ưng tộc tộc trưởng cũng là chiến giới trên bảng bá chủ một vị, hơn nữa thực lực gần trước, vị trí gần trước, chẳng qua là bị một cái thời kỳ một cái bá chủ tiêu diệt, Cự Ưng thần tổ chính là năm đó một nhóm người kia để lại con một.

	Hắn biết điều bí mật này, có thể cũng không biết mới vừa rồi Cự Ưng thần tổ nói ra được cái này, thật là thật là làm cho người ta kinh hãi, nếu như Cự Ưng tộc còn không có bị diệt tộc nói, như vậy một khi một người một thú lại lần nữa rời núi, cách cục này lại đem bị thay đổi.

	"Tiền bối, chuyện này ta chỉ và ngài nói, không sai, năm đó Cự Ưng tộc đích xác bị đại mạc thiết kỵ đạp bằng, nhưng mà chúng ta cũng không có hoàn toàn bị hủy diệt" .

	"Nhớ được một năm kia, chúng ta có bốn cái thành viên trốn thoát, trong đó có ta một cái, hôm nay một trăm ngàn năm trôi qua, chúng ta bốn vị thành viên phân biệt diễn sanh hơn ba trăm cái tên cháu, đi qua một trăm ngàn năm phát triển, trước mắt chúng ta Cự Ưng tộc đã ra đời mười lăm vị thần tổ, trong đó vật phàm thần tổ mười vị, cộng thêm chúng ta bốn cái lão gia, cũng chính là bốn vị linh phẩm thần tổ, sau cùng một vị kia là chúng ta toàn bộ Cự Ưng tộc hy vọng, hắn thực lực đã là thánh phẩm thần tổ" .

	"Chúng ta vì bảo đảm Cự Ưng tộc không bị người phát hiện, sẽ để cho hắn một mình xông xáo, một ngày kia hắn đột phá địa cấp thần tổ sau đó, liền để cho hắn trở về, cạnh tranh bá chủ vị" .

	"Đây chính là chúng ta Cự Ưng tộc bí mật, ta ngày hôm nay chỉ và tiền bối nói, chỉ hy vọng tiền bối bảo thủ điều bí mật này, liền quyền làm xem vào năm đó ta phụ thân cùng ngài quan hệ đi!"

	Cự Ưng thần tổ vừa nói, sắc mặt trong lộ ra vài tia chán chường và đắng chát, nếu như địa tổ không phải xem vào năm đó người thế hệ trước ân oán lên, mình đã sớm chết rồi, nơi nào còn có làm nô lệ cơ hội.

	Thế giới chính là cái này tàn khốc, năm đó bạn tốt, hôm nay bạn tốt con trai cũng chỉ có thể cho Lâm Phong làm nô lệ.

	Thổ Kim thần tổ một chút xíu tiêu hóa Cự Ưng thần tổ nói ra được nội dung, không chỉ là hắn, bây giờ tùy tiện đổi một vị bá chủ hoặc là năm phương chi tổ mà nói, cũng biết bị sâu đậm khiếp sợ, năm đó Cự Ưng tộc có thể nói cuốn một phương thế giới.

	Nếu như không phải là hậu kỳ đại mạc thiết kỵ quật khởi nói, hôm nay Cự Ưng tộc sợ rằng sớm đều trở thành tương tự tộc người cường hãn như vậy thế lực.

	"Cự Ưng, nếu như Lâm Phong thành là bá chủ, ngươi liền đáp ứng ta làm hắn nô lệ, mang tông tộc của ngươi, ngươi bây giờ xác định sao?" Thổ Kim thần tổ thầm hô, sau đó trịnh trọng hỏi Cự Ưng thần tổ, rất sợ hắn bây giờ đổi ý.

	"Dĩ nhiên không đổi ý, dĩ nhiên điều kiện tiên quyết là hắn phải giúp ta báo thù, giúp ta tiêu diệt đại mạc thiết kỵ!"

	Kẽo kẹt một tiếng, Cự Ưng thần tổ hung tợn siết chặt quả đấm, lạnh như băng khí thế hoảng hốt ở giữa để cho Thổ Kim thần tổ vậy sững sốt một chút, có thể gặp cái này Cự Ưng thần tổ trong lòng ẩn núp hận ý có mãnh liệt bực nào, vì tiêu diệt đại mạc thiết kỵ vậy thật sự là buông tha tôn nghiêm.

	"Cái này lão phu không cách nào bảo đảm, dẫu sao Lâm Phong tính cách, lão phu thanh một chút, hắn sẽ không bị khỏa hiếp, trừ phi ngày sau chính ngươi nói với hắn đi, nếu như hắn cảm thấy có thể, lão phu không lời có thể nói" .

	Thổ Kim thần tổ không có đáp ứng, dẫu sao Lâm Phong nóng nảy vậy rất thúi, hắn biết chuyện gì có thể thay Lâm Phong đáp ứng, chuyện gì không thể thay hắn đáp ứng.

	"Được, vậy trước tiên không đáp ứng, nhưng chúng ta có thể đem điều bí mật này quyết định, trong vòng một năm, ta như cũ sẽ trở thành là hắn nô lệ "

	"Có thể, điều bí mật này hiệp định trước tiên là nói về định, nếu như một ngày kia hắn thành là bá chủ, cũng có thể đáp ứng ngươi yêu cầu, dẫu sao thành bá chủ, nhất định phải nhúc nhích chiến giới trên bảng nhân vật lớn, cho nên đại mạc thiết kỵ cũng có có thể bị hắn rút trúng " .

	"Tiền bối, vậy chúng ta quyết định" .

	"Được, quyết định" .

	"Tiếp theo ta nên làm cái gì? Là hắn, là. . . Chủ, chủ nhân?"

	"Đi Cảnh thành, ngày mốt hội đấu giá bắt đầu, lão phu nghe nói đã xuất hiện mộ đạo thuật, lão phu để cho ngươi bảo vệ Lâm Phong, giúp hắn thuận lợi lấy được được mộ đạo thuật" .

	"Được, ta đi" .

	Thổ Kim thần tổ ngắm nhìn rời đi cái này trùng trùng dãy núi Cự Ưng thần tổ, khóe miệng nổi lên một tia độ cong, cách cách hắn kế hoạch lại gần một bước, cùng Lâm Phong đột phá thần tổ sau đó, kế hoạch này là có thể chính thức khởi động.

	Khôn nói , con ta đồ, chờ đi, ngươi ác mộng, không biết quá lâu!

	Thầm hô, Thổ Kim thần tổ sắc mặt dữ tợn rất nhiều, chẳng qua là mang nón lá rộng vành không người thấy, dãy núi này tự nhiên cũng không có ai hành động.

	"Nghê Hoàng, ngươi rốt cuộc là ý gì à? Đem con gái phái cho Lâm Phong?"

	Chốc lát, Thổ Kim thần tổ lại không thể không suy tính một cái khác vấn đề khó khăn, Nghê Hoàng rốt cuộc muốn làm gì? Chẳng lẽ hắn suy đoán được Tu La chính là Lâm Phong? Vẫn là ngoài ra có ám chỉ?

	Tóm lại, Nghê Hoàng mục đích sợ cũng không chỉ thuần, nếu không không biết cứng rắn lòng dạ đem nàng thương yêu nhất con gái nhỏ phái đi ra ngoài.

	Hết thảy các thứ này, đều là quấn quanh trước mắt hắn dây thừng, nếu như không cắt xén đoạn, hắn không an lòng.

	Thổ Kim thần tổ lo lắng rất nhiều, mà Lâm Phong mình lại cũng không lo lắng gì.

	Một năm này thời gian, đủ mình đi xông xáo, biết một chút về chiến giới cái này thế giới vô biên, thuận tiện góp nhặt một ít thuộc về mình lực lượng, lấy này thành lập thuộc về mình Lâm thị gia tộc, hơn nữa phải đem Lâm thị gia tộc quang vinh toàn bộ chiến giới trên.

	Thuộc về Lâm thị gia tộc quang vinh, ai cũng đoạt không đi!

	Lâm Phong ngồi ở trên ghế, thuộc về hóa cái này kế hoạch tương lai, mỗi một tấc mỗi một khối cũng nghĩ xong, mình mấy con trai và cô gái cho bọn họ một trăm năm thời gian, hẳn cũng có thể trở thành là thần đế hay hoặc là đột phá là thần tổ, khi đó Lâm thị gia tộc thì sẽ lóng lánh toàn bộ đại lục.

	Dĩ nhiên Lâm Phong vẫn là cảm thấy một trăm năm thời gian có chút dài dằng dặc, có thể nếu như ý tưởng này bị những thứ khác người biết nói, tất nhiên sẽ cảm thấy sợ hãi, người bình thường tu luyện 10 ngàn năm thành là thần tổ cũng là thiên tài, một trăm năm thành là thần tổ còn chậm?

	Một ngày này, Lâm Phong không có xuống núi, dưới núi cũng không có cái gì có ý nghĩa sự việc, đều là một ít cường tráng người đàn ông vạm vỡ, cũng có không chuyện ác nào không làm tương tự với ba cái ác bá đại thiếu.

	Nghĩ đến ba cái ác bá đại thiếu, Lâm Phong cảm thấy có thời gian hẳn hỏi một câu Tống Cừu Cửu, bọn họ ba cái bị như thế nào xử lý.

	Đông đông!

	Ngay tại lúc này, ngoài cửa vang lên tiếng gõ cửa, thanh âm không lớn, lộ vẻ được rất có lễ phép.

	" Vào đi !"

	Kẽo kẹt một tiếng, cửa bị bên ngoài người đẩy ra, một người cao xấp xỉ 3m khôi rút ra hán tử đi vào, bộ dáng cung kính cùng hắn thân thể thật sự là không phù hợp, lộ vẻ được vô cùng là vụng về.

	Lâm Phong nhịn được trong lòng nụ cười không cười đi ra, nhưng vẫn là nhìn người đàn ông vạm vỡ, trước một bước hỏi: "Có việc gì thế?"

	"Này, cái đó, Đại huynh đệ, à không, là công tử gia, ta đây, ta đây đại ca, cái đó. . ." . Người đàn ông vạm vỡ nói chuyện có chút dập đầu ba, ngoài ra thấy Lâm Phong có chút kích động, cho nên nói chuyện có chút lời nói không có mạch lạc, vậy không nói ra cái bốn năm tới.

	" Ngừng, vẫn là ta tới hỏi ngươi đi, có phải hay không các người Tống lão đại tìm ta có chuyện?"

	"Ách, đúng vậy" .

	"Chuyện này có phải hay không và ngày mai hội đấu giá có liên quan?"

	"À, thật giống như, hình như là" .

	"Hắn ở nơi nào cùng ta?"

	"Ách, ta đây lĩnh ngươi đi , đúng, ta đây được lĩnh ngươi đi" . Người đàn ông vạm vỡ sờ một cái đầu, dáng vẻ lộ vẻ được khá là tức cười.

	Nghe vậy, Lâm Phong không nhịn được cười một tiếng, nhưng cũng cảm thấy không biết làm sao, những thứ này rất vực người, có phải hay không đem trong đầu sức nặng cũng vừa được trên người bắp thịt đi lên, rõ ràng tứ chi phát đạt, đầu óc đơn giản.

	Hơn nữa thấy lâu như vậy, rất vực người cùng bên ngoài lời đồn đãi tựa hồ có chút bất đồng, bên ngoài lời đồn đãi Bát Giác vực cũng là một đám súc sinh, hơn nữa không chuyện ác nào không làm, gian dâm bắt cóc tất cả đều làm, nhưng là gặp được Bát Giác vực một người trong đó rất vực người, còn là người tốt chiếm đa số.

	Dĩ nhiên, có lẽ có thể những thứ khác lãnh vực có kẻ ác, vậy nói không chừng.

	"Ngươi chờ, ta lên trước lầu một chuyến" .

	Lâm Phong chỉ người đàn ông vạm vỡ, để cho hắn chờ một lát, mình nhưng lên lầu, tự nhiên muốn tìm Thanh Hoàng Thiên cùng Thiên Kim Thải Nguyệt.

	Thiên Kim Thải Nguyệt hôm qua cho mình nhẫn không gian bên trong thần tiền lại là một tỉ, thật có tiền, trách không phải là Nghê Hoàng con gái, hơn nữa Túy tiên lầu bản thân chính là hội đấu giá chủ nhà, có tiền tự nhiên bình thường.

	Chẳng qua là tiền này, Lâm Phong không thể muốn, không có lý do gì, vừa mà không ăn thua gì cũng không nghĩa.

	10 phút sau đó, hai cô gái đi theo Lâm Phong sau lưng đi xuống lầu tới, người đàn ông vạm vỡ trực tiếp ngớ ngẩn, xem hai nàng xinh đẹp, bị sâu đậm hấp dẫn.

	Hồi lâu.

	"Cái đó, ta đây muốn nhận ngươi vì đại ca" .

	"Tại sao?"

	"Ngươi thật lợi hại, tán gái nhất định là có một bộ, ta đây cũng muốn tán gái" .

	". . ." .

	"Đi, đi, đi mau" .

	"Tốt ba, cái đó, ta đây thật muốn bái sư. . ." .

	"Cút đi!"
