Chương 857: Túng Ma cốc! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Ngươi không biết?"
	Tổ Địch lão giả gặp Lâm Phong là quyết tâm phải đi Túng Ma cốc, chỉ có thể là thở dài, sau đó cả người hóa thành một đoàn quang biến mất ở trong đại điện, rơi vào Lâm Phong nhẫn không gian bên trong.

	Lâm Phong đi bộ đi tới hoàng cung cửa cung, thủ vệ các trưởng lão đều đã biết Lâm Phong, lão quốc chủ có mệnh lệnh, Lâm Phong có thể tùy ý ra vào, lão tổ tông thủ hạ không nghe theo như vậy ra lệnh, nhưng là bọn họ là đế quốc trưởng lão, tự nhiên phải tuân thủ, lập tức cho đi.

	Ra cửa cung, Lâm Phong ngã nhào một cái trực tiếp nhảy vào trời cao, lấy gấp ba tốc độ ánh sáng chạy thẳng tới hướng chánh nam Túng Ma cốc.

	"Xem hắn phi hành phương hướng, hẳn đi Túng Ma cốc" . Một người thủ vệ trưởng lão xem đến đây, không nhịn được lên tiếng nghị luận.

	"Già Lâu La còn có Cổ Hồn tộc Ngũ Kiệt tựa hồ đã đi, Mộc Phong làm sao có thể không đi?"

	"Lúc này náo nhiệt, nghe nói Túng Ma cốc bởi vì là trước đoạn thời gian đào ra thần tôn khí chuyện kiện, đưa đến rất nhiều Cổ Tông cùng cổ tộc trưởng lão và đệ tử đều đi."

	" Chờ đi, không tới nửa tháng, thì sẽ từ Túng Ma cốc trong truyền tới, mỗ mỗ thiên kiêu bị giết, hy vọng không phải Mộc Phong. . ." .

	"Có lẽ đi" .

	. . .
