Chương 613: Long Vân đỉnh núi! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Xem ra các người cũng lấy là ta không tu vi" .
	Thiên Thai trên quảng trường hội tụ người càng ngày càng nhiều, trừ Thiên Thai đệ tử ra, Thiên Diễn thánh triều cùng thánh triều Long Đô đệ tử hoặc là trưởng lão cũng cũng không xa mấy trăm ngàn dặm chạy tới nơi này, cái này cổ hơi thở toàn bộ Thần lục cũng có thể ngửi được.

	Phàm là đối với tu vi có nhiều khát vọng, tất cả đều liều mạng chạy Thiên Thai chạy tới, nhưng là cái này cổ hơi thở chỉ kéo dài nửa tháng mà thôi, nửa tháng sau, Thiên Thai khôi phục bình tĩnh, tất cả mọi người cũng đều yên lặng tản đi, không có ai bởi vì là không có được cổ năng lượng này mà tức giận, bởi vì là bọn họ không dám.

	Thần phủ phủ chủ chết, thần phủ hoàn toàn nhảy, thần phủ tất cả đệ tử tất cả đều bị Bạch Khởi phân phát, Bạch Khởi mang trắng phất nữ rời đi thần phủ, lúc rời đi, Bạch Khởi không có nói qua bất kỳ một câu báo thù nói, chẳng qua là ánh mắt phức tạp hướng Thiên Thai phương hướng nhìn một cái, liền biến mất vô ảnh.

	Thần lục khôi phục bình thường, bởi vì là Thiên Đế diệt vong mà tạo thành hỗn loạn, giờ phút này cũng đã tan thành mây khói, mới Thần lục trật tự cũng do trời chiếc tới lập ra, mới Thần lục cách cục vẫn là ba hướng cùng bốn điện, bất quá trước lúc này, còn có Thiên Thai, Thiên Thai thống lĩnh ba hướng, tự nhiên cuối cùng mai kia do trước kia Thiên Đế triều biến thành Đại Hoang triều.

	Một ngày này, Lâm Phong tìm được Vấn Ngạo Tuyết, Lâm Phong chuẩn bị để cho Vấn Ngạo Tuyết mang mình, đi gặp vừa gặp cái đó bách giới đại liên minh minh chủ Lôi Cương, cái này trong lòng sau cùng nghi ngờ, cũng cần toàn bộ tháo ra, Thiên Đế trước kia tại sao phải nói là Lôi Cương một mực che chở mình?

	Hết thảy các thứ này chỉ có gặp được Lôi Cương, mới có thể biết được.

	Lâm Phong từ Thiên Thai rời đi, cũng không có người biết được, hôm nay Lâm Phong thực lực, đã sớm vượt qua người bất kỳ, cho nên coi như là xuất hiện ở bất kỳ một xó xỉnh nào, cũng cũng sẽ không có người phát hiện.

	Vấn Ngạo Tuyết giờ phút này cũng sẽ không lo lắng Lâm Phong an nguy, một cái có thể đánh bại thần tám đỉnh cấp Lâm Phong, chí ít sẽ không ở bách giới đại liên minh bị ủy khuất, mà cái đó minh chủ Lôi Cương, Vấn Ngạo Tuyết cũng chưa từng gặp qua, không biết người này rốt cuộc là ai.

	Vấn Ngạo Tuyết mang Lâm Phong lại tới Long Vân núi, đi tới nơi này Lâm Phong trên mặt cũng không có bất kỳ dư thừa kinh ngạc, bởi vì là Lâm Phong đã sớm biết, cái này Long Vân núi chóp đỉnh, chính là bách giới đại liên minh trụ sở chính.

	Một trăm ngàn này thước núi cao trên, tồn tại chính là cái này Thần lục cường giả cũng không quản được thế lực, bách giới đại liên minh, một cái đặc thù thế lực, một cái không thể tiến vào Thần lục cách cục thế lực, nhưng cái thế lực này người thống trị cao nhất, có vượt xa những người khác thực lực.

	Ngày xưa Lâm Phong cần ngửa mặt trông lên như vậy cường giả, hôm nay mình. . .

	"Chúng ta lên đi" .

	Lâm Phong vừa nói, chủ động kéo Vấn Ngạo Tuyết tay, bước chân nhẹ một chút đất đai, Vấn Ngạo Tuyết cảm giác thân thể cũng bay lên, chung quanh cảnh tượng trở nên mơ hồ, vì vậy nàng đang bị Lâm Phong mang chạy đỉnh núi bay đi, hơn nữa tốc độ thật nhanh, sắp đến mắt thường đã không phân biệt được.

	Lâm Phong chớp mắt lúc liền vượt qua mình kiến tạo thang trời, vượt qua sườn núi, lúc này kinh khủng năng lượng thiên địa cuồn cuộn tới, nhưng Lâm Phong không sợ hãi chút nào, tựa như cổ năng lượng này đã bị mình lợi dụng rất lâu.

	"Chính là cái này cảm giác, ta rất quen thuộc, rốt cuộc là ai?"

	Lâm Phong cảm giác cái này cổ giữa trời đất thuần túy nhất lực lượng, để cho mình rất là thoải mái, Lâm Phong không kiềm được tăng nhanh leo núi nhịp bước.

	Một khắc sau, Lâm Phong cùng Vấn Ngạo Tuyết cùng chung đứng ở cái này Long Vân núi ngọn núi cao nhất, vừa xem mọi núi nhỏ.Chương 613: Long Vân đỉnh núi! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Xem ra các người cũng lấy là ta không tu vi" .

	Lâm Phong mặt tươi cười nhìn trời đài mọi người còn có bạn mình, khe khẽ thở dài nói.

	"Chẳng lẽ trong này còn có cái gì ẩn tình?" Nhược Tà một mặt kinh ngạc nhìn Lâm Phong hỏi, hắn chân thực không nghĩ ra Lâm Phong cấm kỵ thân thể đã bể tan tành, vì sao còn có thể có thực lực? Cái này không chỉ là bọn họ nghĩ không hiểu sự việc, liền liền chết đi Thần phủ phủ chủ cũng không biết.

	Lâm Phong nhìn Nhược Tà, sau đó ở nhìn về phía hắn sư huynh của hắn cửa, cuối cùng thu hồi ánh mắt quang, chậm rãi nói: "Ta cấm kỵ thân thể, có thể nói là ta bình phong che chở cùng bảo đảm, nhưng đồng thời cũng là ta khuyết điểm" .

	"Lời này kể từ đâu?" Viêm Đế nhìn Lâm Phong, trầm giọng hỏi, hắn có thể nói là cái đầu tiên phát hiện Lâm Phong có cấm kỵ thân thể người, đối với Lâm Phong thực lực cũng quá rõ ràng, nhưng ngày hôm nay Lâm Phong nói ra, để cho hắn đều có chút mê hoặc, cấm kỵ thân thể là một loại ban cho, cho dù hắn là Thì lão phân cho Lâm Phong, nhưng mà vậy thì như thế nào, cấm kỵ dưới, vạn vật tất cả là con kiến hôi.

	"Lão gia, ngươi là cái đầu tiên phát hiện ta có cấm kỵ thân thể người, ngươi biết cấm kỵ dưới, vạn vật tất cả là con kiến hôi, nhưng mà ngươi biết cấm kỵ nếu không bị phá vỡ, liền vĩnh viễn chỉ có thể để cho vạn vật thành là con kiến hôi" . Lâm Phong ngưng trọng nhìn Viêm Đế, sau đó nhìn về phía đại điện mỗi một người.

	"Ta không hiểu" . Viêm Đế lắc đầu một cái, hắn không hiểu Lâm Phong nói ý nghĩa rốt cuộc là cái gì, càng không hiểu Lâm Phong muốn phải nói cho tất cả mọi người cái gì đạo lý, hắn chỉ biết là Lâm Phong tựa hồ tìm được mới phương thức, thay thế cấm kỵ thân thể.

	"Sư tôn muốn muốn nói là, cấm kỵ không có gì lớn không được, cấm kỵ cũng là cần bị phá vỡ, cái gọi là phá rồi sau đó lập, chính là cái đạo lý này, cấm kỵ nếu không bị phá vỡ, như vậy hắn liền vĩnh viễn là cấm kỵ, nhưng phá vỡ cấm kỵ thân thể, liền trở thành mới năng lượng" .

	Viêm Đế lời của rơi, Phù Trầm chính là ở một bên trầm giọng đáp đứng lên, để cho vô số người cũng một mặt khiếp sợ nhìn về phía Phù Trầm, Lâm Phong cũng có chút giật mình nhìn Phù Trầm, cuối cùng vui mừng bật cười.

	"Không sai, Phù Trầm nói đúng, cấm kỵ cũng là cần bị phá vỡ, cấm kỵ có thể nói là tiểu đạo đứng đầu, nhưng là hỗn độn nhưng là đại đạo đứng đầu" . Lâm Phong nhìn Phù Trầm, trầm giọng nói.

	Nghe đến chỗ này, tất cả mọi người đều không ngốc, biết Lâm Phong cấm kỵ thân thể bể tan tành sau đó, cũng không có cho Lâm Phong tạo thành bất kỳ tổn thất nào, ngược lại là nhân họa đắc phúc, để cho Lâm Phong thành tựu một loại khác thể chất.

	"Chẳng lẽ là hỗn độn thân thể?" Nhược Tà nhìn Lâm Phong, không nhịn được trong lòng khiếp sợ hỏi lên tiếng.

	"Không sai, đích xác là hỗn độn thân thể, nhưng hỗn độn thân thể người thường là không phát phát hiện được, không cảm giác được nó tồn tại, càng không cảm giác được nó hơi thở" .

	Lâm Phong hướng về phía Nhược Tà gật đầu, không có giấu giếm mình mới thể chất, nói cho mọi người, bởi vì nơi này mỗi một người đều là mình người thân hoặc là bạn, không cần giấu giếm cái gì.

	Nghe đến chỗ này, tất cả mọi người đều trầm mặc lại, ngay trong bọn họ rất nhiều người đều cảm giác vô cùng khiếp sợ, cấm kỵ thân thể bị phá vỡ, phá rồi sau đó lập sau đó hình thành lại là hỗn độn thân thể.

	"Tiểu Phong, ngươi bây giờ thực lực rốt cuộc là cảnh giới gì?" Nhược Tà nghe đến chỗ này, chỉ cảm thấy rơi vào trong sương mù, hắn không biết hỗn độn thân thể là thứ gì, ai cũng không biết, bọn họ trong ấn tượng mặt, cấm kỵ thân thể đã là mạnh nhất thể chất, vượt qua cấm kỵ đồ, bọn họ không hiểu, chỉ có Lâm Phong rõ ràng.

	Nhưng là bọn họ chỉ quan tâm Lâm Phong thực lực, mới vừa Lâm Phong biểu diễn ra hơi thở, tất cả mọi người có thể cảm giác đến Lâm Phong là thần hoàng bát trọng cường giả, nhưng là thời khắc này Lâm Phong vừa giống như người bình thường vậy, không có nửa điểm hơi thở, để cho người không đoán ra.

	Lâm Phong nhìn Nhược Tà, lại nhìn những người khác một mặt ánh mắt tò mò, chẳng qua là nhàn nhạt bật cười, lắc đầu một cái, không nói gì, bởi vì là hắn cũng không muốn nói ra mình thực lực, nhưng là hắn chỉ có thể nói cho tất cả mọi người một câu nói.

	"Ta nghĩ, ta rất nhanh sẽ phải rời khỏi Thần lục đi Thần quốc liền" .

	Vừa nói, Lâm Phong chính là đứng dậy, chậm rãi rời đi bên trong đại điện, không có dẫn bất kỳ một người nào, chẳng qua là một thân một mình, đi sau núi, một thân một mình cõng hai cánh tay đứng ở trên đỉnh núi, ngửa mặt trông lên tinh không.

	Vô số người nhìn sau núi, trong lòng rung động càng ngày càng nhiều, tất cả mọi người đều thấy được toàn bộ sau núi biến thành năng lượng to lớn trận, tựa như đột nhiên bây giờ nhiều một kiện chí tôn bảo vật vậy, có thể thả ra dùng vô tận năng lượng, để cho tất cả Thiên Thai đệ tử sắc mặt mừng rỡ.

	Chẳng qua là ngay tức thì, tất cả mọi người tất cả đều hội tụ đến nơi này, ròng rã mấy ngàn cái trời đài đệ tử còn có mấy trăm vị Thiên Thai trưởng lão, tất cả đều ngồi xếp bằng ở trên quảng trường, thừa dịp cái này cổ kỳ lạ hơi thở tiến hành tu luyện.

	Nhược Tà, Hậu Thanh Lâm các người cũng bị cái này cổ hơi thở hấp dẫn tới, nhìn sau núi, bọn họ biết Lâm Phong ở nơi đó, mà giờ khắc này hơi thở để cho bọn họ rất muốn quỳ xuống màng bái.

	"Tiểu Phong nói đúng, Thần lục đã không chứa nổi hắn" .

	Nhược Tà nỉ non một tiếng, hồi tưởng Tôn Tà lão giả cho hắn tờ giấy, nội dung phía trên, để cho Nhược Tà trên mặt lộ ra một tia trấn tĩnh, kiên định quát lên: "Ta nghĩ, ta cũng muốn đi Thần quốc " .

	Thiên Thai trên quảng trường hội tụ người càng ngày càng nhiều, trừ Thiên Thai đệ tử ra, Thiên Diễn thánh triều cùng thánh triều Long Đô đệ tử hoặc là trưởng lão cũng cũng không xa mấy trăm ngàn dặm chạy tới nơi này, cái này cổ hơi thở toàn bộ Thần lục cũng có thể ngửi được.

	Phàm là đối với tu vi có nhiều khát vọng, tất cả đều liều mạng chạy Thiên Thai chạy tới, nhưng là cái này cổ hơi thở chỉ kéo dài nửa tháng mà thôi, nửa tháng sau, Thiên Thai khôi phục bình tĩnh, tất cả mọi người cũng đều yên lặng tản đi, không có ai bởi vì là không có được cổ năng lượng này mà tức giận, bởi vì là bọn họ không dám.

	Thần phủ phủ chủ chết, thần phủ hoàn toàn nhảy, thần phủ tất cả đệ tử tất cả đều bị Bạch Khởi phân phát, Bạch Khởi mang trắng phất nữ rời đi thần phủ, lúc rời đi, Bạch Khởi không có nói qua bất kỳ một câu báo thù nói, chẳng qua là ánh mắt phức tạp hướng Thiên Thai phương hướng nhìn một cái, liền biến mất vô ảnh.

	Thần lục khôi phục bình thường, bởi vì là Thiên Đế diệt vong mà tạo thành hỗn loạn, giờ phút này cũng đã tan thành mây khói, mới Thần lục trật tự cũng do trời chiếc tới lập ra, mới Thần lục cách cục vẫn là ba hướng cùng bốn điện, bất quá trước lúc này, còn có Thiên Thai, Thiên Thai thống lĩnh ba hướng, tự nhiên cuối cùng mai kia do trước kia Thiên Đế triều biến thành Đại Hoang triều.

	Một ngày này, Lâm Phong tìm được Vấn Ngạo Tuyết, Lâm Phong chuẩn bị để cho Vấn Ngạo Tuyết mang mình, đi gặp vừa gặp cái đó bách giới đại liên minh minh chủ Lôi Cương, cái này trong lòng sau cùng nghi ngờ, cũng cần toàn bộ tháo ra, Thiên Đế trước kia tại sao phải nói là Lôi Cương một mực che chở mình?

	Hết thảy các thứ này chỉ có gặp được Lôi Cương, mới có thể biết được.

	Lâm Phong từ Thiên Thai rời đi, cũng không có người biết được, hôm nay Lâm Phong thực lực, đã sớm vượt qua người bất kỳ, cho nên coi như là xuất hiện ở bất kỳ một xó xỉnh nào, cũng cũng sẽ không có người phát hiện.

	Vấn Ngạo Tuyết giờ phút này cũng sẽ không lo lắng Lâm Phong an nguy, một cái có thể đánh bại thần tám đỉnh cấp Lâm Phong, chí ít sẽ không ở bách giới đại liên minh bị ủy khuất, mà cái đó minh chủ Lôi Cương, Vấn Ngạo Tuyết cũng chưa từng gặp qua, không biết người này rốt cuộc là ai.

	Vấn Ngạo Tuyết mang Lâm Phong lại tới Long Vân núi, đi tới nơi này Lâm Phong trên mặt cũng không có bất kỳ dư thừa kinh ngạc, bởi vì là Lâm Phong đã sớm biết, cái này Long Vân núi chóp đỉnh, chính là bách giới đại liên minh trụ sở chính.

	Một trăm ngàn này thước núi cao trên, tồn tại chính là cái này Thần lục cường giả cũng không quản được thế lực, bách giới đại liên minh, một cái đặc thù thế lực, một cái không thể tiến vào Thần lục cách cục thế lực, nhưng cái thế lực này người thống trị cao nhất, có vượt xa những người khác thực lực.

	Ngày xưa Lâm Phong cần ngửa mặt trông lên như vậy cường giả, hôm nay mình. . .

	"Chúng ta lên đi" .

	Lâm Phong vừa nói, chủ động kéo Vấn Ngạo Tuyết tay, bước chân nhẹ một chút đất đai, Vấn Ngạo Tuyết cảm giác thân thể cũng bay lên, chung quanh cảnh tượng trở nên mơ hồ, vì vậy nàng đang bị Lâm Phong mang chạy đỉnh núi bay đi, hơn nữa tốc độ thật nhanh, sắp đến mắt thường đã không phân biệt được.

	Lâm Phong chớp mắt lúc liền vượt qua mình kiến tạo thang trời, vượt qua sườn núi, lúc này kinh khủng năng lượng thiên địa cuồn cuộn tới, nhưng Lâm Phong không sợ hãi chút nào, tựa như cổ năng lượng này đã bị mình lợi dụng rất lâu.

	"Chính là cái này cảm giác, ta rất quen thuộc, rốt cuộc là ai?"

	Lâm Phong cảm giác cái này cổ giữa trời đất thuần túy nhất lực lượng, để cho mình rất là thoải mái, Lâm Phong không kiềm được tăng nhanh leo núi nhịp bước.

	Một khắc sau, Lâm Phong cùng Vấn Ngạo Tuyết cùng chung đứng ở cái này Long Vân núi ngọn núi cao nhất, vừa xem mọi núi nhỏ.
