Chương 195: Yêu vương trở về vị trí cũ 
 Converter Dzung Kiều cầu phiếu 

	"Tất cả mọi người nghe mệnh lệnh ta, toàn lực đánh chết người này" .
	Tên này Thương Long nhất tộc cao nhất thánh hoàng xem tới nơi này, nhất thời nổi giận gầm lên một tiếng, một quyền đánh ra, chạy thẳng tới Thương Long yêu thánh đi.

	"Không thể, Thương Minh" . Thương Long nhất tộc ông già nổi giận gầm lên một tiếng, nhưng là nhưng trơ mắt nhìn tên này Thương Long chạy thẳng tới Thương Long yêu thánh một quyền đánh tới.

	Vốn là không có bất kỳ bất ngờ, hắn mới là Thương Long nhất tộc tộc trưởng, nhưng là nửa đường giết ra cái Thương Long yêu thánh, để cho hắn rất là tức giận, cho nên hắn muốn đánh chết yêu thánh.

	Lâm Phong ánh mắt khẽ biến, muốn xuất thủ, nhưng là nghe được trên bả vai Hồ Ba cười ngọt ngào nói: "Không cần ba ba ra tay nha, đi qua ta phải tinh linh yêu lực sửa đổi, hẳn sẽ rất mạnh sao" .

	Thanh âm non nớt vang ở Lâm Phong bên tai, Lâm Phong liếc nhìn Hồ Ba, ngay sau đó gật đầu một cái, Lâm Phong tin tưởng Hồ Ba nói, không có nguyên nhân.

	Hồ Ba gặp Lâm Phong nguyện ý tin tưởng mình, không khỏi cười đắc ý đứng lên, ngồi ở Lâm Phong trên bả vai cũng lộ ra đáng yêu thêm nụ cười ngọt ngào.

	Lâm Phong nhìn về phía trời cao, quả nhiên như Hồ Ba theo như lời, Thương Long yêu thánh thực lực đã cường hãn đứng lên, Thương Minh một quyền đánh tới, Thương Long yêu thánh giống vậy một quyền oanh tới, hóa thành bóng người Thương Long yêu thánh không giận tự uy, gào to một tiếng, Thương Minh nhất thời bay rớt ra ngoài, thất khiếu chảy máu.

	Thương Long yêu thánh hét lớn một tiếng, cả người lại lần nữa hóa thành trăm mét rồng khổng lồ, tốc độ bay mau từ Thương Minh trong thân thể xuyên qua, một tiếng nổ vang lớn, Thương Minh thân thể bị xuyên thấu, hơi thở hoàn toàn không có.

	Thương Minh thi thể rơi trên mặt đất, biến ảo thành giống nhau kỳ lạ Ma Long, cũng không thuộc về Thương Long nhất tộc.

	Xem tới nơi này, tất cả mọi người sắc mặt đại biến, nhất là Thương Long nhất tộc, lại là lộ ra ánh mắt phẫn nộ, bởi vì Thương Minh bổn tôn lại là Bạo Long.

	Tất cả mọi người đều bị Thương Minh lừa gạt, cũng bị cái trước cuốn vào đến nơi này trận Yêu vực đại chiến trong, làm hại Thương Long nhất tộc tổn thương nguyên khí nặng nề, dứt khoát Thương Long yêu thánh lần nữa trở về.

	Lâm Phong cũng nghĩ tới, lấy Thương Long yêu thánh tuổi thọ cùng lý lịch, đủ làm những người này tộc trưởng, thậm chí có có thể thần chủ tống giam bọn họ lúc này chính là ở nơi này Thương Long trong nhất tộc chọn lựa Thương Long yêu thánh cũng nói không chừng.

	Dĩ nhiên không chỉ là Thương Long yêu thánh trở nên mạnh mẽ, Thanh Ngưu yêu thánh, rắn cạp nong yêu thánh, đợi một chút tất cả đều trở nên mạnh mẽ, triệt để trở thành một người cao nhất thánh hoàng.

	Có thể gặp Hồ Ba tinh linh yêu lực chỗ đáng sợ, kỳ quái không thể Bạo Long tộc trưởng phải lấy được Hồ Ba, lại là nguyên nhân này.

	Rắn cạp nong yêu thánh noi theo Thương Long yêu thánh, cũng đánh chết rắn cạp nong nhất tộc người mạnh nhất, dĩ nhiên kết quả cuối cùng cùng Thương Long nhất tộc chênh lệch không bao nhiêu, tất cả đều là Bạo Long người nhất tộc, hoặc là nói phái tới nằm vùng.

	Bạo Long tộc trưởng gặp sự việc bại lộ, chính là muốn chạy khỏi nơi này, sau này có chính là cơ hội kéo nhau trở lại, đáng tiếc hắn gặp Lâm Phong, liền không có cái này cơ hội lựa chọn.

	Lâm Phong cầm chặt hai cánh tay, tức giận hóa vì ba tôn, hai cái phân thân cộng thêm một cái bổn tôn, đem Bạo Long tộc trưởng thật chặt vây quanh ở trong đó.

	"Hống, lấy mạng đổi mạng đi, ha ha" . Bạo Long tộc trưởng gặp mình không có chạy trốn có thể, đột nhiên sắc mặt dữ tợn tàn nhẫn độc, cầm chặt vuốt rồng, khí tức trong người ngay tức thì mạnh múc, hóa thành rồng lớn Bạo Long tộc thân thể cao lớn bành trướng, sắp nổ.

	"Mọi người mau lui, mau" .

	Lâm Phong sắc mặt biến đổi lớn, hướng về phía sau lưng tất cả yêu thú gầm thét lên tiếng, đồng thời một chưởng vỗ ra, đem trên bả vai Hồ Ba ném ra, Thanh Ngưu yêu thánh tiếp lấy Hồ Ba, tất cả đều dùng hết toàn bộ lực lượng lui về phía sau.

	Mà Lâm Phong chính là gầm thét lên tiếng, thời không đạo nghĩa cuốn mở, thời gian sử dụng không trung lồng giam đem Bạo Long tộc trưởng nhốt lại, cũng chính là cái này ngay tức thì, Bạo Long tộc trưởng tự bạo.

	Oanh oanh oanh. . .

	Kinh khủng tiếng nổ tất cả mọi người đều không nghe được, bởi vì đã đạt đến thính lực phạm vi ra, chỉ có thể nhìn được một cổ màu đen đáng sợ ngọn lửa xuyên thấu Lâm Phong thời không lồng giam, đem Lâm Phong triệt triệt để để nuốt mất, rồi sau đó dư lực đánh vào mở, bao gồm Thanh Ngưu yêu thánh ở bên trong tất cả nhân yêu thánh tất cả đều hướng bay ra ngoài, chớ nói chi là tất cả yêu thú.

	Cái này cổ kinh khủng năng lượng kéo dài ước chừng 10 phút mới chậm rãi tiêu tán, dẫu sao thánh linh hoàng cường giả tự bạo đáng sợ trình độ, có thể tưởng tượng được, huống chi lại là long tộc.

	Đợi đáng sợ năng lượng tiêu tán sau đó, trước mắt sớm đã không có Lâm Phong nửa điểm bóng người.

	Hồ Ba sắc mặt nhất thời ủy khuất, quệt mồm Sừng khóc ồ lên, trong suốt nước mắt chảy xuống.

	"Oa oa, ba ba chết rồi. Oa oa" . Hồ Ba nằm ở Thanh Ngưu yêu thánh trên mình ủy khuất khóc lên, một cổ thương tâm muốn chết tình cảm cũng theo Hồ Ba truyền vào mỗi một yêu thú trong lòng, lại tất cả đều đi theo Hồ Ba khóc ồ lên, có yêu thú thậm chí cũng rất kỳ quái, rõ ràng đối với Lâm Phong không cảm giác, nhưng là Hồ Ba khóc, bọn họ lại cũng ủy khuất.

	Thanh Ngưu yêu thánh không khỏi thổn thức, đây chính là yêu vương chỗ đáng sợ, có thể ảnh hưởng yêu thú tâm cảnh, cùng ngay tức thì sửa đổi yêu thú thể chất, để cho nó trở nên mạnh mẽ.

	"Hồ Ba không khóc, ba ba không có chết" .

	Liền tại tất cả người rơi vào trong lòng lúc tuyệt vọng, một tiếng sang sãng tiếng cười truyền lọt vào trong tai, rồi sau đó Lâm Phong mặt tươi cười xuất hiện ở Hồ Ba trước người, ôm lấy Hồ Ba, nhìn cái này cùng mình giống nhau như đúc trẻ nít nhỏ, Lâm Phong cảm thấy một vẻ hạnh phúc cảm.

	Lâm che trời, lâm quỳnh thánh là hai đứa con trai mình, nhưng là bọn họ trưởng thành mình cũng không có làm chứng đến, bọn họ tuổi thơ cũng cùng mình không có quan hệ, cho nên nhìn thấy Hồ Ba, Lâm Phong không nhịn được nghĩ muốn thương yêu Hồ Ba.

	Dù là Hồ Ba không phải mình ruột thịt, nhưng là nhưng là mình vũ hồn trên thế giới tạo ra tới mới yêu vương, mới tinh linh.

	"À ư, ba ba không chết, ư" .

	Hồ Ba giơ lên tay non nớt, vui vẻ cười, ngây ngô cảm giác cũng chọc cho tất cả yêu thú cũng thoải mái cười lớn, rất nhiều yêu thú thủ lãnh suy nghĩ, có như vậy một cái yêu vương cùng như vậy một người cường giả người giúp, hẳn là Yêu vực kết quả tốt nhất.

	"Yêu vương trở về vị trí cũ, tất cả mọi người cúi chào" .Chương 195: Yêu vương trở về vị trí cũ 
 Converter Dzung Kiều cầu phiếu 

	"Tất cả mọi người nghe mệnh lệnh ta, toàn lực đánh chết người này" .

	Bạo Long tộc trưởng thấy Lâm Phong đột phá đến thánh linh hoàng cấp đừng, nhất thời sắc mặt đại biến, rồi sau đó cầm chặt quả đấm, mặt đầy dữ tợn gầm thét lên tiếng, thanh âm the thé làm người ta chán ghét.

	Mà Bạo Long tộc trưởng mình cũng là thời gian đầu tiên đánh ra, dù là Lâm Phong đột phá thánh linh hoàng tầng 1, nhưng mà đối với hắn mà nói, hắn đã đột phá thời gian rất dài, chẳng lẽ còn đánh bại không được một cái mới lên thánh linh hoàng sao?

	Ngang ngược một quyền đánh ra, đáng sợ lực lượng chạy thẳng tới Lâm Phong ngực đi, nhưng là lúc này Lâm Phong nhưng là lạnh nhạt cười một tiếng, hỗn hợp mấy loại lực lượng sau đó, Lâm Phong mình có một không hai chiếu lực tựa như có thể xuyên thấu hết thảy lực lượng cường hãn, phảng phất là năng lượng ở giữa vương giả.

	"Bá đạo vương quyền" . Lâm Phong hét lớn một tiếng, hai quả đấm đánh vào đi ra ngoài, kinh khủng tốc độ cộng thêm chiếu lực đáng sợ, Bạo Long tộc trưởng chỉ cảm thấy huyết dịch một hồi sôi trào, thật giống như bị thứ gì khuấy loạn kinh mạch vậy.

	Oanh oanh. . .

	Lâm Phong kinh khủng lực lượng đánh vào Bạo Long tộc trưởng trong quả đấm, người sau nổi giận gầm lên một tiếng, chỉ cảm thấy toàn bộ cánh tay kinh mạch đều phải vỡ ra, hơn nữa khó tin chính là, Bạo Long tộc trưởng trên tay màu xanh vảy rồng đang tại bắt đầu rụng, máu hỗn hợp một mảnh, để cho người nôn mửa.

	"Bảy đại yêu thánh, theo ta tru diệt Bạo Long tộc trưởng, những thứ khác Yêu vực yêu thú nếu dám ngăn trở, kết quả tựa như cùng hắn" .

	Lâm Phong nổi giận gầm lên một tiếng, bước ra một bước, kinh khủng thánh linh hoàng khí tức lan tràn toàn bộ trong khe núi, đồng thời sau lưng bảy đại yêu thánh cũng nhảy ra ngoài, bọn họ vẫn là chút thành tựu thánh hoàng, trợ giúp Lâm Phong chặn đánh một ít Bạo Long nhất tộc trung thành thủ hạ.

	"Đều là tay của ba ba hạ sao, lại là chúng ta yêu tộc yêu thú, vậy thì cho các người điểm yêu lực đi" .

	Hồ trông mong Thanh Ngưu yêu thánh làm đại biểu bảy đại yêu thánh, chính là đáng yêu bỉu môi cười một tiếng, rồi sau đó tay non nớt quơ múa, một cổ trong sáng tinh linh yêu lực tràn vào bảy đại yêu thánh bên trong thân thể, bảy đại yêu thánh chỉ cảm thấy kinh mạch trở nên kiên cố hơn cứng rắn, trong cơ thể yêu khí hơn nữa ngưng tụ, thậm chí có một loại bành trướng cảm.

	"Hống hống!" .

	Rồng tiếng ngâm truyền khắp thung lũng, tất cả Bạo Long nhất tộc thậm chí là Thương Long nhất tộc đều là bị rồng tiếng ngâm cho chấn động kinh ngạc một chút, ngẩng đầu lên, chính là thấy Thương Long yêu thánh dài thanh Long Khiếu, cả người hóa thành mấy trăm mét lớn nhỏ màu xám tro rồng khổng lồ, đôi mắt lấp lánh có thần, mang một cổ không giận tự uy oai rồng.

	"Cái này. . . Đây là?"

	Tất cả Thương Long nhất tộc thành viên thấy Thương Long yêu thánh như vậy, đều là bị rung động đến, rồi sau đó chính là mặt đầy kích động cùng hưng phấn.

	"Ha ha, ta Thương Long nhất tộc phục hưng trong tầm mắt, ha ha" .

	Một cái Thương Long nhất tộc ông già thấy trên bầu trời bay lượn Thương Long yêu thánh, mặt đầy kích động, lão lệ tung hoành.

	"Mau, bái kiến mới tộc trưởng" . Thương Long ông già hét lớn một tiếng, chính là hướng Thương Long yêu thánh quỳ xuống, tất cả mọi người thấy đại trưởng lão cũng quỳ xuống, tất cả đều là từng cái

	Quỳ xuống.

	Tên này Thương Long nhất tộc cao nhất thánh hoàng xem tới nơi này, nhất thời nổi giận gầm lên một tiếng, một quyền đánh ra, chạy thẳng tới Thương Long yêu thánh đi.

	"Không thể, Thương Minh" . Thương Long nhất tộc ông già nổi giận gầm lên một tiếng, nhưng là nhưng trơ mắt nhìn tên này Thương Long chạy thẳng tới Thương Long yêu thánh một quyền đánh tới.

	Vốn là không có bất kỳ bất ngờ, hắn mới là Thương Long nhất tộc tộc trưởng, nhưng là nửa đường giết ra cái Thương Long yêu thánh, để cho hắn rất là tức giận, cho nên hắn muốn đánh chết yêu thánh.

	Lâm Phong ánh mắt khẽ biến, muốn xuất thủ, nhưng là nghe được trên bả vai Hồ Ba cười ngọt ngào nói: "Không cần ba ba ra tay nha, đi qua ta phải tinh linh yêu lực sửa đổi, hẳn sẽ rất mạnh sao" .

	Thanh âm non nớt vang ở Lâm Phong bên tai, Lâm Phong liếc nhìn Hồ Ba, ngay sau đó gật đầu một cái, Lâm Phong tin tưởng Hồ Ba nói, không có nguyên nhân.

	Hồ Ba gặp Lâm Phong nguyện ý tin tưởng mình, không khỏi cười đắc ý đứng lên, ngồi ở Lâm Phong trên bả vai cũng lộ ra đáng yêu thêm nụ cười ngọt ngào.

	Lâm Phong nhìn về phía trời cao, quả nhiên như Hồ Ba theo như lời, Thương Long yêu thánh thực lực đã cường hãn đứng lên, Thương Minh một quyền đánh tới, Thương Long yêu thánh giống vậy một quyền oanh tới, hóa thành bóng người Thương Long yêu thánh không giận tự uy, gào to một tiếng, Thương Minh nhất thời bay rớt ra ngoài, thất khiếu chảy máu.

	Thương Long yêu thánh hét lớn một tiếng, cả người lại lần nữa hóa thành trăm mét rồng khổng lồ, tốc độ bay mau từ Thương Minh trong thân thể xuyên qua, một tiếng nổ vang lớn, Thương Minh thân thể bị xuyên thấu, hơi thở hoàn toàn không có.

	Thương Minh thi thể rơi trên mặt đất, biến ảo thành giống nhau kỳ lạ Ma Long, cũng không thuộc về Thương Long nhất tộc.

	Xem tới nơi này, tất cả mọi người sắc mặt đại biến, nhất là Thương Long nhất tộc, lại là lộ ra ánh mắt phẫn nộ, bởi vì Thương Minh bổn tôn lại là Bạo Long.

	Tất cả mọi người đều bị Thương Minh lừa gạt, cũng bị cái trước cuốn vào đến nơi này trận Yêu vực đại chiến trong, làm hại Thương Long nhất tộc tổn thương nguyên khí nặng nề, dứt khoát Thương Long yêu thánh lần nữa trở về.

	Lâm Phong cũng nghĩ tới, lấy Thương Long yêu thánh tuổi thọ cùng lý lịch, đủ làm những người này tộc trưởng, thậm chí có có thể thần chủ tống giam bọn họ lúc này chính là ở nơi này Thương Long trong nhất tộc chọn lựa Thương Long yêu thánh cũng nói không chừng.

	Dĩ nhiên không chỉ là Thương Long yêu thánh trở nên mạnh mẽ, Thanh Ngưu yêu thánh, rắn cạp nong yêu thánh, đợi một chút tất cả đều trở nên mạnh mẽ, triệt để trở thành một người cao nhất thánh hoàng.

	Có thể gặp Hồ Ba tinh linh yêu lực chỗ đáng sợ, kỳ quái không thể Bạo Long tộc trưởng phải lấy được Hồ Ba, lại là nguyên nhân này.

	Rắn cạp nong yêu thánh noi theo Thương Long yêu thánh, cũng đánh chết rắn cạp nong nhất tộc người mạnh nhất, dĩ nhiên kết quả cuối cùng cùng Thương Long nhất tộc chênh lệch không bao nhiêu, tất cả đều là Bạo Long người nhất tộc, hoặc là nói phái tới nằm vùng.

	Bạo Long tộc trưởng gặp sự việc bại lộ, chính là muốn chạy khỏi nơi này, sau này có chính là cơ hội kéo nhau trở lại, đáng tiếc hắn gặp Lâm Phong, liền không có cái này cơ hội lựa chọn.

	Lâm Phong cầm chặt hai cánh tay, tức giận hóa vì ba tôn, hai cái phân thân cộng thêm một cái bổn tôn, đem Bạo Long tộc trưởng thật chặt vây quanh ở trong đó.

	"Hống, lấy mạng đổi mạng đi, ha ha" . Bạo Long tộc trưởng gặp mình không có chạy trốn có thể, đột nhiên sắc mặt dữ tợn tàn nhẫn độc, cầm chặt vuốt rồng, khí tức trong người ngay tức thì mạnh múc, hóa thành rồng lớn Bạo Long tộc thân thể cao lớn bành trướng, sắp nổ.

	"Mọi người mau lui, mau" .

	Lâm Phong sắc mặt biến đổi lớn, hướng về phía sau lưng tất cả yêu thú gầm thét lên tiếng, đồng thời một chưởng vỗ ra, đem trên bả vai Hồ Ba ném ra, Thanh Ngưu yêu thánh tiếp lấy Hồ Ba, tất cả đều dùng hết toàn bộ lực lượng lui về phía sau.

	Mà Lâm Phong chính là gầm thét lên tiếng, thời không đạo nghĩa cuốn mở, thời gian sử dụng không trung lồng giam đem Bạo Long tộc trưởng nhốt lại, cũng chính là cái này ngay tức thì, Bạo Long tộc trưởng tự bạo.

	Oanh oanh oanh. . .

	Kinh khủng tiếng nổ tất cả mọi người đều không nghe được, bởi vì đã đạt đến thính lực phạm vi ra, chỉ có thể nhìn được một cổ màu đen đáng sợ ngọn lửa xuyên thấu Lâm Phong thời không lồng giam, đem Lâm Phong triệt triệt để để nuốt mất, rồi sau đó dư lực đánh vào mở, bao gồm Thanh Ngưu yêu thánh ở bên trong tất cả nhân yêu thánh tất cả đều hướng bay ra ngoài, chớ nói chi là tất cả yêu thú.

	Cái này cổ kinh khủng năng lượng kéo dài ước chừng 10 phút mới chậm rãi tiêu tán, dẫu sao thánh linh hoàng cường giả tự bạo đáng sợ trình độ, có thể tưởng tượng được, huống chi lại là long tộc.

	Đợi đáng sợ năng lượng tiêu tán sau đó, trước mắt sớm đã không có Lâm Phong nửa điểm bóng người.

	Hồ Ba sắc mặt nhất thời ủy khuất, quệt mồm Sừng khóc ồ lên, trong suốt nước mắt chảy xuống.

	"Oa oa, ba ba chết rồi. Oa oa" . Hồ Ba nằm ở Thanh Ngưu yêu thánh trên mình ủy khuất khóc lên, một cổ thương tâm muốn chết tình cảm cũng theo Hồ Ba truyền vào mỗi một yêu thú trong lòng, lại tất cả đều đi theo Hồ Ba khóc ồ lên, có yêu thú thậm chí cũng rất kỳ quái, rõ ràng đối với Lâm Phong không cảm giác, nhưng là Hồ Ba khóc, bọn họ lại cũng ủy khuất.

	Thanh Ngưu yêu thánh không khỏi thổn thức, đây chính là yêu vương chỗ đáng sợ, có thể ảnh hưởng yêu thú tâm cảnh, cùng ngay tức thì sửa đổi yêu thú thể chất, để cho nó trở nên mạnh mẽ.

	"Hồ Ba không khóc, ba ba không có chết" .

	Liền tại tất cả người rơi vào trong lòng lúc tuyệt vọng, một tiếng sang sãng tiếng cười truyền lọt vào trong tai, rồi sau đó Lâm Phong mặt tươi cười xuất hiện ở Hồ Ba trước người, ôm lấy Hồ Ba, nhìn cái này cùng mình giống nhau như đúc trẻ nít nhỏ, Lâm Phong cảm thấy một vẻ hạnh phúc cảm.

	Lâm che trời, lâm quỳnh thánh là hai đứa con trai mình, nhưng là bọn họ trưởng thành mình cũng không có làm chứng đến, bọn họ tuổi thơ cũng cùng mình không có quan hệ, cho nên nhìn thấy Hồ Ba, Lâm Phong không nhịn được nghĩ muốn thương yêu Hồ Ba.

	Dù là Hồ Ba không phải mình ruột thịt, nhưng là nhưng là mình vũ hồn trên thế giới tạo ra tới mới yêu vương, mới tinh linh.

	"À ư, ba ba không chết, ư" .

	Hồ Ba giơ lên tay non nớt, vui vẻ cười, ngây ngô cảm giác cũng chọc cho tất cả yêu thú cũng thoải mái cười lớn, rất nhiều yêu thú thủ lãnh suy nghĩ, có như vậy một cái yêu vương cùng như vậy một người cường giả người giúp, hẳn là Yêu vực kết quả tốt nhất.

	"Yêu vương trở về vị trí cũ, tất cả mọi người cúi chào" .
