Chương 212: Mời lệnh bài 
 Converter Dzung Kiều cầu khen thưởng 

	"Cái. . . Cái gì, ngươi là Lâm Phong?"
	"Thần lục đông phương, tổng cộng hai mươi bốn lãnh vực, trong đó tương đối nổi danh chính là Ma vực, cũng chính là chỗ này, trừ cái này ra, Linh vực, Ngân vực, Thần vực, vô danh vùng biển, Yêu vực, cái này cũng coi như tương đối nổi tiếng lãnh vực, do những thứ này lãnh vực phái ra một ít tinh anh tham gia thi đấu" .

	"Mà đây trận thi đấu trước ba tên cường giả sẽ đem đại biểu thần lục đông phương tôn nghiêm cùng mặt mũi, đi phượng tê nhân sâm núi thêm thần lục 4 phương tiến hành thi đấu, đến lúc đó tất cả thần lục trên, trừ thần lục trung tâm cường giả cùng thế lực, tất cả đều tập trung ở phượng tê núi" .

	"Khi đó, chính là lần này giải thi đấu trước ba người là ta đông phương nêu cao tên tuổi lập uy thời khắc, ngươi có lẽ không biết, chúng ta thần lục trên, 4 phương lẫn nhau cũng không đủ hài hòa, chợt có va chạm, riêng mình cẩn thận đưa đến đại chiến lại là khi thì cũng có" .

	"Loại cuộc sống này đi qua mấy chục ngàn năm, rốt cuộc chúng ta tứ phương cường giả đỉnh phong nghĩ ra một cái biện pháp, đó chính là cử hành lần này đỉnh cấp giải thi đấu, thông qua loại phương thức này tới chọn ra lợi hại nhất địa vực" .

	Ông già hướng Lâm Phong không nhanh không chậm giải thích, cho Lâm Phong giải thích lúc này Phong Ma cũng ở một bên nghiêm túc nghe, nếu như loại này giải thi đấu nếu có thể tham gia nói, hắn làm là Ma vực ma chủ, không cần lệnh bài cũng có thể trực tiếp tham gia.

	Nhưng là Lâm Phong không giống nhau, Lâm Phong cũng không là cái nào lĩnh vực thủ lãnh, cũng không phải là thế lực kia đầu mục, cho nên chỉ có thể tiếp được mời lệnh bài.

	Nhưng mà loại mời mọc này lệnh bài cũng cũng không phải là người nào cũng có thể có tư cách nhận, vậy cũng là toàn bộ đại lục nổi bật nhất thiên tài, Lâm Phong hiển nhiên là một cái trong số đó.

	"Lâm Phong, cái này thi đấu tham gia cũng tốt" . Phong Ma đi lên, hướng về phía Lâm Phong nhỏ giọng thì thầm.

	Lâm Phong tán đồng gật đầu một cái, chính là nhận ông già trong tay mời lệnh bài, đồng thời ôm quyền nói: "Đa tạ tiền bối mời tiểu tử tham gia thi đấu, đa tạ" .

	"Hề hề, không cần nói cám ơn, ta cũng bất quá là nghe theo chúng ta điện chủ mà thôi" . Ông già khoát tay một cái, nhàn nhạt cười nói.

	Quả nhiên, nghe lời của lão giả, Lâm Phong có thể khẳng định, Thì lão nhất định là phát hiện mình, cho nên mới đưa cái này mời lệnh bài, chẳng qua là Thì lão cùng mình không phải là trời sanh đối thủ sao? Lão bởi vì sao muốn làm như vậy?

	Lâm Phong trong lòng mặc dù nghi ngờ, nhưng là không hề đem cái này nghi ngờ biểu lộ ở trên mặt.

	"Tốt lắm, Lâm Phong anh bạn trẻ đã nhận được lệnh bài, bọn ta lúc này cáo từ, thiếu chủ, chúng ta đi thôi" .

	Cầm đầu Huyền điện trưởng lão trầm giọng quát một tiếng, sau đó hướng về phía Lâm Phong ôm quyền cười một tiếng, hướng về phía Cao Địch quát lên.

	Cao Địch sắc mặt vẫn tái nhợt như cũ, sâu đậm liếc nhìn Lâm Phong, cuối cùng yên lặng đi theo mấy cái Huyền điện trưởng lão sau lưng, như vậy thật giống như hắn không phải thiếu chủ, ngược lại là một cái người hầu vậy.

	"Cái này con rối thiếu chủ, thật không tốt làm" .

	Người Huyền điện đi liền sau đó, Ma vực đại trưởng lão không nhịn được vuốt chòm râu thở dài, ông già nói bị Lâm Phong chú ý tới, không nhịn được kinh ngạc đứng lên.

	"Lâm Phong, thật ra thì giá cao dẫn đường cũng là một cái số khổ đứa trẻ, hắn chẳng qua là Huyền điện dùng để làm bia đỡ đạn mà thôi, chẳng qua là chính hắn không biết" .

	Ma vực trưởng lão vừa nói, mặt đầy than thở vẻ, Lâm Phong sắc mặt hơi kinh hãi, lại là như vậy. . .

	"Đại trưởng lão, cái này đỉnh cấp giải thi đấu, đều có có ai cái này tư cách tham gia?" Lâm Phong cuối cùng nhất vẫn là không nhịn được trong lòng nghi ngờ, chính là hỏi lên.

	Đại trưởng lão cười híp mắt liếc nhìn Lâm Phong, sau đó nói: "Có thể tham gia tự nhiên đều là lĩnh vực thần chủ hoặc là lãnh chúa, hay hoặc là phái ra trưởng lão tham gia, mà Ma vực, chính là do ta Tứ sư đệ tham gia" .

	Đại trưởng lão vừa nói, đưa mắt liếc về phía phía sau mình ông cụ áo bào tím, ông cụ áo bào tím ánh mắt hiền hòa nhìn Lâm Phong một cái, cười nhạt.

	"Thì ra là như vậy" . Lâm Phong nhìn ông lão áo bào tím thực lực, thánh linh hoàng tầng 3 thực lực, như vậy thực lực tham gia loại này giải thi đấu, vậy là đủ rồi.

	"Đúng rồi, Lâm Phong, ngươi nhận cái này mời lệnh bài, hẳn là do Thần vực ban hành, ta phỏng đoán Thần vực đã nhận được lệnh bài kia" .

	"Tiền bối, Huyền điện cũng sẽ đích thân đem lệnh bài kia phát cho có tư cách người tham gia sao?" Lâm Phong kinh ngạc hỏi liền một tiếng, nhìn đại trưởng lão.

	"Không, dĩ nhiên sẽ không, Huyền điện không có những cái kia thời gian, cho nên liền có chúng ta những thứ này lãnh vực hạ phát, Ma vực phụ trách mấy cái lãnh vực, đúng rồi, Linh vực phụ trách cho Yêu vực đưa đi lệnh bài kia, hề hề" .

	Đại trưởng lão vừa nói, vẻ kiêu ngạo nụ cười thản nhiên, mà Lâm Phong nghe được lời của Đại trường lão sau đó, chính là sắc mặt kịch biến, một cổ cảm giác không ổn từ đáy lòng thoan thăng đi ra.

	"Phong Ma, giúp ta cùng U U nói một tiếng, ta xử lý chút sự việc, sau này trở lại, cáo từ" .

	Lâm Phong bước chân một tháp, cả người biến mất ở ma trong phủ hạ, Phong Ma sắc mặt kinh ngạc nhìn Lâm Phong hốt hoảng như vậy, không biết rốt cuộc đi làm cái gì chuyện.

	. . .

	"Đây là Yêu vực? Làm sao an tĩnh như thế?"

	Lúc này, Yêu vực rừng rậm bầu trời, hai cái trường bào ông già hư không đạp lập, mắt nhìn xuống Yêu vực hết thảy, trên mặt lộ ra vẻ ngưng trọng cùng kinh ngạc.

	"Nghe nằm vùng ở chỗ này tai mắt người nói, Yêu vực tựa hồ xảy ra một đại sự, bọn họ lão yêu vương qua đời, nhưng mà hôm đó chúng ta Tam trưởng lão đi tới nơi này, nhưng là lại lần nữa cảm thấy vậy cổ kinh khủng tang thương hơi thở" .

	"Chưa chắc, ta nếu như đoán không lầm, Yêu vực thật đã phát sinh biến đổi lớn, ngươi xem ngày xưa Yêu vực, tất cả yêu thú và tinh linh đều là đi ra hoạt động, nhưng mà hôm nay rất ít có thể thấy tung tích, điều này nói rõ cái gì. . ." .

	"Hề hề, ta biết, xem ra Yêu vực đã không đáng để lo liền" .

	" Ừ, chúng ta trở về lập tức hướng thần chủ đại nhân báo cáo, liền nói Yêu vực lão yêu vương đã chết" .

	Hai cái ông già vừa nói, trên mặt nổi lên vẻ hưng phấn, Yêu vực vẫn là Linh vực muốn có được địa giới, hôm nay chuyện này rốt cuộc có thể thực hiện, làm sao không kích động?

	"Đi, chúng ta đi vào trước xem xem, xem 1 chút phải chăng như chúng ta nghĩ như vậy" .Chương 212: Mời lệnh bài 
 Converter Dzung Kiều cầu khen thưởng 

	"Cái. . . Cái gì, ngươi là Lâm Phong?"

	Nghe được Huyền điện trưởng lão câu hỏi, Cao Địch sắc mặt nhất thời đại biến, vẻ kiêu ngạo không thể tin nhìn Lâm Phong hỏi.

	Lâm Phong cũng có chút ngạc nhiên, bất quá mơ hồ cảm thấy Thì lão có thể đã biết mình ở Ma vực, chính là phái người đi tới Ma vực, nhìn Huyền điện những người này ý, rõ ràng cho thấy đến tìm mình.

	"Ta là Lâm Phong" . Lâm Phong không có giấu giếm mình thân phận, nhàn nhạt gật đầu đáp, Phong Ma có chút khẩn trương nhìn Lâm Phong, Lâm Phong cứ như vậy nói cho Huyền điện, chính hắn thân phận.

	"Hề hề, thật sự là Lâm Phong anh bạn trẻ, vậy chúng ta sẽ tới đúng rồi" .

	Lâm Phong trả lời vừa dứt, sang sãng tiếng cười chính là truyền khắp mở, Huyền điện cầm đầu trưởng lão, cũng chính là thánh linh hoàng tầng 4 ông già vẻ kiêu ngạo rực rỡ nụ cười nhìn Lâm Phong.

	Quả nhiên, thật sự là đến tìm mình, Lâm Phong trong lòng yên lặng suy nghĩ, trên mặt nhưng là một như thường lệ dửng dưng.

	"À? Tìm ta có việc gì thế?" Lâm Phong nhỏ nhíu mày đầu nhìn cụ già, trầm giọng hỏi.

	Cụ già cười nhạt, sau đó từ trong trường bào mặt lấy ra 1 bản lệnh bài, có khắc lớn như vậy huyền chữ, trong đó huyền chữ trên hiện đầy thời không lực, rất mãnh liệt hơi thở, Lâm Phong cũng không nhịn được kinh ngạc, dựa vào một cái trên lệnh bài mặt thời không đạo nghĩa, đủ để để cho một chút thành tựu thánh hoàng đột phá đến đại thành thánh hoàng.

	"Lâm Phong anh bạn trẻ, đây là ta Huyền điện mời lệnh bài, mời Lâm Phong anh bạn trẻ đi Huyền điện tham gia trăm năm một lần giải thi đấu" .

	Ông già vừa nói, mặt đầy rực rỡ nụ cười, mà những thứ khác Ma vực trưởng lão nghe đến chỗ này, từng cái không nhịn được tràn đầy vẻ kinh ngạc, đưa mắt nhìn về phía liền Lâm Phong, trong lòng rất là kinh ngạc.

	Lâm Phong thấy tất cả Ma vực trưởng lão mặt đầy kinh ngạc, mình cũng không nhịn được nổi lên nghi ngờ, không biết cái này giải thi đấu rốt cuộc là cái gì tính chất thi đấu.

	Tựa hồ nhìn thấu Lâm Phong nghi ngờ trên mặt, Huyền điện trưởng lão không nhịn được cởi mở cười một tiếng nói: "Lâm Phong anh bạn trẻ thiết mạc nghi ngờ, lão phu vậy thì hướng ngươi giới thiệu một chút cái này cuộc tranh tài tình huống" .

	"Được, đa tạ tiền bối, tiểu tử rửa tai lắng nghe" . Lâm Phong tạm thời bỏ mặc mình cùng Thì lão bây giờ đến tột cùng là kẻ địch vẫn là bằng hữu, cái này cụ già cho mình giảng giải, mình vẫn là phải lễ độ đếm đối đãi.

	"Nói tới cái này giải thi đấu, thật ra thì cũng rất đơn giản, chính là thần lục đông phương tất cả cường hãn thần linh tiến hành thi đấu" .

	"Thần lục đông phương, tổng cộng hai mươi bốn lãnh vực, trong đó tương đối nổi danh chính là Ma vực, cũng chính là chỗ này, trừ cái này ra, Linh vực, Ngân vực, Thần vực, vô danh vùng biển, Yêu vực, cái này cũng coi như tương đối nổi tiếng lãnh vực, do những thứ này lãnh vực phái ra một ít tinh anh tham gia thi đấu" .

	"Mà đây trận thi đấu trước ba tên cường giả sẽ đem đại biểu thần lục đông phương tôn nghiêm cùng mặt mũi, đi phượng tê nhân sâm núi thêm thần lục 4 phương tiến hành thi đấu, đến lúc đó tất cả thần lục trên, trừ thần lục trung tâm cường giả cùng thế lực, tất cả đều tập trung ở phượng tê núi" .

	"Khi đó, chính là lần này giải thi đấu trước ba người là ta đông phương nêu cao tên tuổi lập uy thời khắc, ngươi có lẽ không biết, chúng ta thần lục trên, 4 phương lẫn nhau cũng không đủ hài hòa, chợt có va chạm, riêng mình cẩn thận đưa đến đại chiến lại là khi thì cũng có" .

	"Loại cuộc sống này đi qua mấy chục ngàn năm, rốt cuộc chúng ta tứ phương cường giả đỉnh phong nghĩ ra một cái biện pháp, đó chính là cử hành lần này đỉnh cấp giải thi đấu, thông qua loại phương thức này tới chọn ra lợi hại nhất địa vực" .

	Ông già hướng Lâm Phong không nhanh không chậm giải thích, cho Lâm Phong giải thích lúc này Phong Ma cũng ở một bên nghiêm túc nghe, nếu như loại này giải thi đấu nếu có thể tham gia nói, hắn làm là Ma vực ma chủ, không cần lệnh bài cũng có thể trực tiếp tham gia.

	Nhưng là Lâm Phong không giống nhau, Lâm Phong cũng không là cái nào lĩnh vực thủ lãnh, cũng không phải là thế lực kia đầu mục, cho nên chỉ có thể tiếp được mời lệnh bài.

	Nhưng mà loại mời mọc này lệnh bài cũng cũng không phải là người nào cũng có thể có tư cách nhận, vậy cũng là toàn bộ đại lục nổi bật nhất thiên tài, Lâm Phong hiển nhiên là một cái trong số đó.

	"Lâm Phong, cái này thi đấu tham gia cũng tốt" . Phong Ma đi lên, hướng về phía Lâm Phong nhỏ giọng thì thầm.

	Lâm Phong tán đồng gật đầu một cái, chính là nhận ông già trong tay mời lệnh bài, đồng thời ôm quyền nói: "Đa tạ tiền bối mời tiểu tử tham gia thi đấu, đa tạ" .

	"Hề hề, không cần nói cám ơn, ta cũng bất quá là nghe theo chúng ta điện chủ mà thôi" . Ông già khoát tay một cái, nhàn nhạt cười nói.

	Quả nhiên, nghe lời của lão giả, Lâm Phong có thể khẳng định, Thì lão nhất định là phát hiện mình, cho nên mới đưa cái này mời lệnh bài, chẳng qua là Thì lão cùng mình không phải là trời sanh đối thủ sao? Lão bởi vì sao muốn làm như vậy?

	Lâm Phong trong lòng mặc dù nghi ngờ, nhưng là không hề đem cái này nghi ngờ biểu lộ ở trên mặt.

	"Tốt lắm, Lâm Phong anh bạn trẻ đã nhận được lệnh bài, bọn ta lúc này cáo từ, thiếu chủ, chúng ta đi thôi" .

	Cầm đầu Huyền điện trưởng lão trầm giọng quát một tiếng, sau đó hướng về phía Lâm Phong ôm quyền cười một tiếng, hướng về phía Cao Địch quát lên.

	Cao Địch sắc mặt vẫn tái nhợt như cũ, sâu đậm liếc nhìn Lâm Phong, cuối cùng yên lặng đi theo mấy cái Huyền điện trưởng lão sau lưng, như vậy thật giống như hắn không phải thiếu chủ, ngược lại là một cái người hầu vậy.

	"Cái này con rối thiếu chủ, thật không tốt làm" .

	Người Huyền điện đi liền sau đó, Ma vực đại trưởng lão không nhịn được vuốt chòm râu thở dài, ông già nói bị Lâm Phong chú ý tới, không nhịn được kinh ngạc đứng lên.

	"Lâm Phong, thật ra thì giá cao dẫn đường cũng là một cái số khổ đứa trẻ, hắn chẳng qua là Huyền điện dùng để làm bia đỡ đạn mà thôi, chẳng qua là chính hắn không biết" .

	Ma vực trưởng lão vừa nói, mặt đầy than thở vẻ, Lâm Phong sắc mặt hơi kinh hãi, lại là như vậy. . .

	"Đại trưởng lão, cái này đỉnh cấp giải thi đấu, đều có có ai cái này tư cách tham gia?" Lâm Phong cuối cùng nhất vẫn là không nhịn được trong lòng nghi ngờ, chính là hỏi lên.

	Đại trưởng lão cười híp mắt liếc nhìn Lâm Phong, sau đó nói: "Có thể tham gia tự nhiên đều là lĩnh vực thần chủ hoặc là lãnh chúa, hay hoặc là phái ra trưởng lão tham gia, mà Ma vực, chính là do ta Tứ sư đệ tham gia" .

	Đại trưởng lão vừa nói, đưa mắt liếc về phía phía sau mình ông cụ áo bào tím, ông cụ áo bào tím ánh mắt hiền hòa nhìn Lâm Phong một cái, cười nhạt.

	"Thì ra là như vậy" . Lâm Phong nhìn ông lão áo bào tím thực lực, thánh linh hoàng tầng 3 thực lực, như vậy thực lực tham gia loại này giải thi đấu, vậy là đủ rồi.

	"Đúng rồi, Lâm Phong, ngươi nhận cái này mời lệnh bài, hẳn là do Thần vực ban hành, ta phỏng đoán Thần vực đã nhận được lệnh bài kia" .

	"Tiền bối, Huyền điện cũng sẽ đích thân đem lệnh bài kia phát cho có tư cách người tham gia sao?" Lâm Phong kinh ngạc hỏi liền một tiếng, nhìn đại trưởng lão.

	"Không, dĩ nhiên sẽ không, Huyền điện không có những cái kia thời gian, cho nên liền có chúng ta những thứ này lãnh vực hạ phát, Ma vực phụ trách mấy cái lãnh vực, đúng rồi, Linh vực phụ trách cho Yêu vực đưa đi lệnh bài kia, hề hề" .

	Đại trưởng lão vừa nói, vẻ kiêu ngạo nụ cười thản nhiên, mà Lâm Phong nghe được lời của Đại trường lão sau đó, chính là sắc mặt kịch biến, một cổ cảm giác không ổn từ đáy lòng thoan thăng đi ra.

	"Phong Ma, giúp ta cùng U U nói một tiếng, ta xử lý chút sự việc, sau này trở lại, cáo từ" .

	Lâm Phong bước chân một tháp, cả người biến mất ở ma trong phủ hạ, Phong Ma sắc mặt kinh ngạc nhìn Lâm Phong hốt hoảng như vậy, không biết rốt cuộc đi làm cái gì chuyện.

	. . .

	"Đây là Yêu vực? Làm sao an tĩnh như thế?"

	Lúc này, Yêu vực rừng rậm bầu trời, hai cái trường bào ông già hư không đạp lập, mắt nhìn xuống Yêu vực hết thảy, trên mặt lộ ra vẻ ngưng trọng cùng kinh ngạc.

	"Nghe nằm vùng ở chỗ này tai mắt người nói, Yêu vực tựa hồ xảy ra một đại sự, bọn họ lão yêu vương qua đời, nhưng mà hôm đó chúng ta Tam trưởng lão đi tới nơi này, nhưng là lại lần nữa cảm thấy vậy cổ kinh khủng tang thương hơi thở" .

	"Chưa chắc, ta nếu như đoán không lầm, Yêu vực thật đã phát sinh biến đổi lớn, ngươi xem ngày xưa Yêu vực, tất cả yêu thú và tinh linh đều là đi ra hoạt động, nhưng mà hôm nay rất ít có thể thấy tung tích, điều này nói rõ cái gì. . ." .

	"Hề hề, ta biết, xem ra Yêu vực đã không đáng để lo liền" .

	" Ừ, chúng ta trở về lập tức hướng thần chủ đại nhân báo cáo, liền nói Yêu vực lão yêu vương đã chết" .

	Hai cái ông già vừa nói, trên mặt nổi lên vẻ hưng phấn, Yêu vực vẫn là Linh vực muốn có được địa giới, hôm nay chuyện này rốt cuộc có thể thực hiện, làm sao không kích động?

	"Đi, chúng ta đi vào trước xem xem, xem 1 chút phải chăng như chúng ta nghĩ như vậy" .
