Chương 357: Ngươi không được, ngươi cũng không được! 
 Converter Dzung Kiều cầu phiếu 

	"Vẫn là các người tự mình tới đi" .
	Xôn xao nổi lên, tất cả mọi người cũng trợn to mắt nhìn Lâm Phong, giống như nhìn một người ngu vậy, Lâm Phong nhất định chính là tự tìm cái chết, đối phó một cái rưỡi thần hoàng còn không biết thành bại, lại đồng thời khiêu khích hai đại thần bán thần hoàng, để cho hai hơn nửa thần hoàng đồng loạt ra tay?

	"Không biết tự lượng sức mình" . Một người học trò lẩm bẩm lên tiếng, hung hăng trợn mắt nhìn mắt Lâm Phong.

	"Ngươi có năng lực, ngươi cũng đi khiêu chiến bán thần hoàng đi?" Hắn lời nói xong, một bên một người nữ đệ tử liền không nhịn được phản bác hơn nữa đáp lại châm chọc diễn cảm, để cho tên nam tử này đệ tử sắc mặt biệt hồng.

	"Đúng vậy, ngươi liền khiêu khích cũng không dám, liền cuộc tranh tài tham gia tư cách cũng không có, nếu không ngươi có thể đứng ở chỗ này?" Lại là một người nữ đệ tử mặt coi thường nhìn nam đệ tử, sau đó một mặt mê luyến nhìn về Lâm Phong.

	Trong chốc lát, Lâm Phong tại tất cả nữ đệ tử trong mắt, chính là một cái hoàn mỹ anh hùng,

	"Thằng nhóc , ngươi biết ngươi đang nói chuyện với ai không?" Lâm Phong cuồng vọng lời bàn đưa tới thiên thần cao cao tại thượng hoàng quát mắng thanh, bực này áp lực đủ để nghiền ép tất cả mọi người, chớ nói chi là Lâm Phong.

	Lâm Phong chỉ cảm thấy máu thịt đều phải nổ tung, sắc mặt đỏ lên, hô hấp trầm trọng, nhưng là Lâm Phong ánh mắt cũng càng ngày càng âm trầm, càng thêm tin chắc mình giết tất cả Thiên Thần phủ đệ tử không có bất kỳ sai lầm nào, đây cũng là một lần làm nhục, Lâm Phong vẫn sẽ nhớ ở trong lòng.

	"Hụ hụ hụ, ngươi là thiên thần cao cao tại thượng hoàng, ngươi tự nhiên có thể một chưởng vỗ chết ta, nhưng bây giờ là khiêu chiến thi đấu, ngươi muốn phá hư quy củ sao?" Lâm Phong chịu đựng trong cơ thể nhảy lên đằng huyết dịch, ngẩng đầu lên lạnh lùng hướng về phía Thiên thần hoàng giận dữ hét, một chút tôn sùng thần hoàng tư thái cũng không có, để cho người cảm thấy Lâm Phong thô bạo, cho dù là đối mặt thần hoàng cường giả cũng là như vậy.

	Nghe Lâm Phong nếu, Thiên thần hoàng chân mày không nhịn được khơi mào tới, một bên Lôi thần hoàng chính là hư nheo lại đôi mắt, sát ý nồng nặc rất nhiều, theo bản năng nắm chặt quả đấm.

	Thiên thần hoàng tằng hắng một cái, chặn lại Lôi thần hoàng khí thế, sau đó hướng về phía Lâm Phong nhàn nhạt quát lên: "Ta sẽ không phá hư quy củ, chẳng qua là dạy ngươi một chút quy củ mà thôi" .

	"Hề hề, là như vậy à, vậy thì phiền toái ngươi, bất quá, dường như ta không cần ngươi giáo quy củ, ngài vẫn là quản một chút mình trong phủ đệ tử đi, hề hề" .

	Lâm Phong nghe Thiên thần hoàng nếu, lạnh lùng cười một tiếng, sau đó cũng không đi xem Thiên thần hoàng sắc mặt như thế nào khó khăn xem, mà là đi tới trong chiến trường ương, nhìn về phía hai cái bán thần hoàng.

	"Ta đi" .

	Rốt cuộc, kỳ lân Bằng không nhịn được trong lòng lửa giận, trực tiếp một bước bước ra, đi tới Lâm Phong đối diện, không nói hai lời, trực tiếp ra nặng tay, không lưu tình chút nào, cũng không cho Lâm Phong lưu lực, hắn chính là muốn Lâm Phong chết.

	Chỉ có chết, mới có thể hóa giải bọn họ trên người làm nhục, chỉ có chết, mới có thể vãn hồi bọn họ bán thần hoàng oai phong.

	"Ngươi là quỳ xuống nhận sai, hay là thật muốn ta giết ngươi?" Kỳ lân Bằng nắm quyền trái, chiếu hậu thổ nặng nề như vậy hơi thở, mơ hồ có thể thấy một đạo kỳ lân hiện lên trong đó.

	"Ngươi có thể giết ta sao?" Lâm Phong nghe kỳ lân Bằng nếu, không nhịn được lạnh lùng cười một tiếng nói.

	Nhất thời kỳ lân Bằng nổi giận, lại nữa cùng Lâm Phong nói nhảm, một quyền đánh ra, kỳ lân bóng thú chạy Lâm Phong cắn xé đi, kinh khủng thần thú hơi thở để cho Lâm Phong sắc mặt nhất thời biến đổi.

	Quả nhiên bán thần hoàng không phải tùy ý có thể khiêu chiến, như vậy cường giả thật sự là quá mạnh mẽ, nhưng là Lâm Phong vẫn kiên trì mình ý tưởng, bây giờ chỉ có bán thần hoàng cường giả mới có thể trợ giúp mình trưởng thành.

	Lâm Phong cũng không thối lui, hai tay kết mười, ánh sáng màu trắng hóa thành một đạo to lớn ấn quang, đánh vào kỳ lân thần thú trên, ngay tức thì màu trắng ấn khổng lồ bị đánh bể, to lớn lực phản chấn đem Lâm Phong đẩy lui mấy chục mét mới miễn cưỡng dừng lại.

	Kỳ lân Bằng sắc mặt giễu cợt nhìn Lâm Phong, ở hắn trong mắt, Lâm Phong quả nhiên là không biết tự lượng sức mình, có lẽ Lâm Phong đúng là so đỉnh cấp tầng 9 cường giả mạnh rất nhiều, nhưng vậy thì như thế nào? Bán thần hoàng cường giả uy nghiêm, há có thể là như thế dễ dàng bị xâm phạm?

	Kỳ lân Bằng căn bản không cho Lâm Phong lui về phía sau cơ hội, lại lần nữa bước ra một bước, một chưởng vỗ ra, có bán thần hoàng lực uy hiếp một chưởng đánh vào Lâm Phong trước người.

	Lâm Phong sắc mặt âm trầm tới cực điểm, ngay sau đó cắn chặt răng, hai quả đấm đánh ra, bá đạo quyền uy lực đột hiển đi ra, hai quả đấm đối kháng một chưởng, Lâm Phong lần này không có rơi xuống gió, ngược lại là kỳ lân Bằng bị đẩy lui ước chừng mấy mét sau đó mới đứng lại.

	"Tới ta xuất thủ chứ ?" Lâm Phong sang sãng cười một tiếng, một bước bước ra, chỉ một cái đâm ra, cái này chỉ một cái tựa như đâm phá trong thiên địa quy tắc, một đạo mênh mông mãi mãi hơi thở thấm vào nhập Lâm Phong cái này chỉ một cái lên, vô cùng sắc bén chỉ một cái ngay tức thì điểm vào kỳ lân Bằng trên ngực.

	Chẳng qua là một chút, kỳ lân Bằng sắc mặt nhưng là biến đổi lớn, hắn cảm giác được có chừng mấy trăm mấy ngàn loại đạo nghĩa ở hắn trong thân thể tán loạn, hơi lơ là liền có thể phế hắn kinh mạch.

	Kỳ lân Bằng sắc mặt hoàn toàn thay đổi, mới bắt đầu coi trọng Lâm Phong, thằng nhóc này lớn lên quá kinh khủng, nếu như lại cho hắn mấy năm thời gian, trở thành thần hoàng, bọn họ há chẳng phải là đều phải bị đánh chết?

	Kỳ lân Bằng căn bản không dám nghĩ tới đây, bất đắc dĩ, hắn chỉ có thể cắn chặt răng, thi triển ra thần công.

	"Kỳ lân quyết" . Kỳ lân Bằng gầm lên lên tiếng, một đạo trăm trượng kỳ lân thần thú đột ngột xuất hiện ở Lâm Phong sau lưng, so mãnh hổ nóng nảy trăm lần, trực tiếp muốn cắn Lâm Phong nơi cổ, đạt tới một kích có thể chết người.

	Lâm Phong không có nhìn kỳ lân thần thú, mà là khóe miệng dâng lên một tia lạnh lùng sát ý, xem tới nơi này kỳ lân Bằng thầm nói một tiếng không ổn, nhưng mà hết thảy đã trễ rồi.

	Kỳ lân thần thú bay đến Lâm Phong sau lưng chưa đủ 10m địa phương, Lâm Phong lúc này tay trái chớp mắt màu xám tro Phù Đồ hơi thở, một cái 2m chiều dài màu xám tro kiếm to ánh sáng lớn thả, giống như vạn trượng ánh sáng vào lúc này khắc nổ vậy, một đạo màu xám tro tàn khốc ánh sáng lướt qua, cái này trăm trượng kỳ lân thần thú bóng người bị bổ ngang thành 2 đầu, tiêu tản ra.

	Chung quanh kỳ lân hơi thở ngay tức thì tiêu tán, chỉ có Lâm Phong trong tay cầm Phù Đồ kiếm như cũ chiến ý bàng bạc, rất nhiều một bộ chém chết kỳ lân Bằng tư thế.

	Kỳ lân Bằng sắc mặt ảm đạm tới cực điểm, ho khan vô số thanh, sắc mặt nổi lên một tia tái nhợt, một hớp máu đen cũng phun ra ngoài, thần thú ánh sáng bị giết, hắn cũng đi theo bị trọng thương.

	Đây là hắn tuyệt đối không dám nghĩ, Lâm Phong lại như thế khủng bố, chính là tầng 8 đỉnh cấp, thật liền có thể bị thương nặng bán thần hoàng liền sao?

	"Ta tới giúp ngươi" . Thiết huyền nhìn kỳ lân Bằng rơi xuống hạ phong, nhất thời nóng nảy, cũng không nhịn được ra tay, hắn là từ phía sau lưng đánh lén Lâm Phong, hắn chỉ có một ý tưởng, đánh chết Lâm Phong, hết thảy đều giải quyết.

	Nhưng là Lâm Phong há có thể để cho hắn được như ý! !

	"Ma La phạm thiên quyết!" .

	"Đế ấn quyết" .

	"Bá đạo vương quyền" .

	Lâm Phong một hơi thi triển 3 loại chính xác thần công, kinh khủng năng lượng chấn động chín phương, muốn dựa vào đánh lén Lâm Phong đắc thủ thiết huyền, trực tiếp bị 3 loại kinh khủng năng lượng đẩy lui trăm mét, sắc mặt dị thường nặng nề.

	Vô số người cũng thấy đờ ra, chỉ cảm thấy trước mắt là ảo giác, cũng không muốn đi tin tưởng, cái này. . .

	Hai hơn nửa thần hoàng cấp cường giả khác, đều không địch Lâm Phong?

	Đây là muốn ồn ào dạng nào?

	Thiết huyền cùng kỳ lân Bằng đứng chung một chỗ, lạnh lùng trừng mắt nhìn Lâm Phong, còn muốn ra tay, nhưng lại cảm thấy sỉ nhục.

	Lâm Phong khóe miệng dâng lên một tia nhàn nhạt cười

	Lâm Phong vừa nói, chỉ chỉ thiết huyền.

	"Ngươi cũng không được! !" .

	Lâm Phong bên phải ngón tay chỉ kỳ lân Bằng, rồi sau đó khẽ lắc đầu một cái, trên mặt không có châm chọc, nhưng lại thắng tựa như châm chọc.

	Ngươi không được, ngươi cũng không được! !

	Hai câu này từ Lâm Phong miệng nói ra, lại không có một người dám phản bác, coi như muốn phải phản bác, nhưng nhìn trước Lâm Phong kinh khủng sức chiến đấu, cũng gắng gượng nín trở về, trong sân không có ai còn dám nghi ngờ Lâm Phong nửa điểm, như vậy sức chiến đấu kinh khủng, cái nào thánh linh hoàng có?

	"Quả nhiên, hắn trúng độc, tốt lắm" .

	Chỗ tối, Đế Thư sắc mặt âm trầm tới cực điểm, cẩn thận xem ra, đôi mắt bên trong ma quang tựa như có thể chiếm đoạt hết thảy, hắn hơi thở cực độ không ổn định, tựa như tùy thời tùy khắc đều phải bộc phát ra một cổ năng lượng thật lớn, nhưng lại nhịn được.

	"Lâm Phong, nhưng còn có người khiêu chiến?"Chương 357: Ngươi không được, ngươi cũng không được! 
 Converter Dzung Kiều cầu phiếu 

	"Vẫn là các người tự mình tới đi" .

	Lâm Phong hai tay bao bọc, mắt lạnh nhìn kỳ lân Bằng cùng thiết huyền nói.

	Hai hơn nửa thần hoàng sắc mặt dữ tợn tới cực điểm, Lâm Phong quá kiêu ngạo, nếu như không tiêu diệt hắn oai phong, trừ năm đại thần hoàng trở ra, ai còn có thể thu thập Lâm Phong?

	"Nếu ngươi chủ động muốn chết, ta thành toàn cho ngươi" . Thiết huyền sắc mặt dữ tợn, cắn nát răng gầm thét lên tiếng, chính là chuẩn bị ra tay, giết Lâm Phong, được lợi hồi một ít mặt mũi.

	"Chậm, hay là để ta đi" . Kỳ lân Bằng cũng căm ghét Lâm Phong, cho nên hắn ngăn cản thiết huyền, hắn muốn xuất thủ.

	"Kỳ lân, ta phái Tru Tiên cùng Lâm Phong có thù không đợi trời chung, cho nên ta không thể để cho" . Thiết huyền sắc mặt âm trầm nhìn kỳ lân Bằng nói.

	Kỳ lân Bằng tự nhiên biết, nhưng vẫn là gật đầu cười nói: "Ta cũng cùng hắn có chút cừu hận, vẫn là do ta làm dùm đi" .

	"Để ta đi, hắn không đáng giá ngươi ra tay" .

	"Hay là để ta đi, ngươi nhìn liền tốt" .

	Hai người cũng muốn ra tay, trong chốc lát lại thảo luận không ra cái kết quả, rốt cuộc do ai ra tay, cái này cũng có thể nhìn ra làm là cường giả cao ngạo, bọn họ căn bản không muốn Lâm Phong thực lực như thế nào, bọn họ chỉ muốn do ai ra tay giết một con kiến mà thôi, cái này chính là cường giả tâm tính.

	Lâm Phong có chút không nhịn được liếc mắt hai người, rồi sau đó khóe miệng dâng lên một tia lạnh lùng nụ cười nói: "Không cần tranh luận, các người cùng lên đi! !" .

	Xôn xao nổi lên, tất cả mọi người cũng trợn to mắt nhìn Lâm Phong, giống như nhìn một người ngu vậy, Lâm Phong nhất định chính là tự tìm cái chết, đối phó một cái rưỡi thần hoàng còn không biết thành bại, lại đồng thời khiêu khích hai đại thần bán thần hoàng, để cho hai hơn nửa thần hoàng đồng loạt ra tay?

	"Không biết tự lượng sức mình" . Một người học trò lẩm bẩm lên tiếng, hung hăng trợn mắt nhìn mắt Lâm Phong.

	"Ngươi có năng lực, ngươi cũng đi khiêu chiến bán thần hoàng đi?" Hắn lời nói xong, một bên một người nữ đệ tử liền không nhịn được phản bác hơn nữa đáp lại châm chọc diễn cảm, để cho tên nam tử này đệ tử sắc mặt biệt hồng.

	"Đúng vậy, ngươi liền khiêu khích cũng không dám, liền cuộc tranh tài tham gia tư cách cũng không có, nếu không ngươi có thể đứng ở chỗ này?" Lại là một người nữ đệ tử mặt coi thường nhìn nam đệ tử, sau đó một mặt mê luyến nhìn về Lâm Phong.

	Trong chốc lát, Lâm Phong tại tất cả nữ đệ tử trong mắt, chính là một cái hoàn mỹ anh hùng,

	"Thằng nhóc , ngươi biết ngươi đang nói chuyện với ai không?" Lâm Phong cuồng vọng lời bàn đưa tới thiên thần cao cao tại thượng hoàng quát mắng thanh, bực này áp lực đủ để nghiền ép tất cả mọi người, chớ nói chi là Lâm Phong.

	Lâm Phong chỉ cảm thấy máu thịt đều phải nổ tung, sắc mặt đỏ lên, hô hấp trầm trọng, nhưng là Lâm Phong ánh mắt cũng càng ngày càng âm trầm, càng thêm tin chắc mình giết tất cả Thiên Thần phủ đệ tử không có bất kỳ sai lầm nào, đây cũng là một lần làm nhục, Lâm Phong vẫn sẽ nhớ ở trong lòng.

	"Hụ hụ hụ, ngươi là thiên thần cao cao tại thượng hoàng, ngươi tự nhiên có thể một chưởng vỗ chết ta, nhưng bây giờ là khiêu chiến thi đấu, ngươi muốn phá hư quy củ sao?" Lâm Phong chịu đựng trong cơ thể nhảy lên đằng huyết dịch, ngẩng đầu lên lạnh lùng hướng về phía Thiên thần hoàng giận dữ hét, một chút tôn sùng thần hoàng tư thái cũng không có, để cho người cảm thấy Lâm Phong thô bạo, cho dù là đối mặt thần hoàng cường giả cũng là như vậy.

	Nghe Lâm Phong nếu, Thiên thần hoàng chân mày không nhịn được khơi mào tới, một bên Lôi thần hoàng chính là hư nheo lại đôi mắt, sát ý nồng nặc rất nhiều, theo bản năng nắm chặt quả đấm.

	Thiên thần hoàng tằng hắng một cái, chặn lại Lôi thần hoàng khí thế, sau đó hướng về phía Lâm Phong nhàn nhạt quát lên: "Ta sẽ không phá hư quy củ, chẳng qua là dạy ngươi một chút quy củ mà thôi" .

	"Hề hề, là như vậy à, vậy thì phiền toái ngươi, bất quá, dường như ta không cần ngươi giáo quy củ, ngài vẫn là quản một chút mình trong phủ đệ tử đi, hề hề" .

	Lâm Phong nghe Thiên thần hoàng nếu, lạnh lùng cười một tiếng, sau đó cũng không đi xem Thiên thần hoàng sắc mặt như thế nào khó khăn xem, mà là đi tới trong chiến trường ương, nhìn về phía hai cái bán thần hoàng.

	"Ta đi" .

	Rốt cuộc, kỳ lân Bằng không nhịn được trong lòng lửa giận, trực tiếp một bước bước ra, đi tới Lâm Phong đối diện, không nói hai lời, trực tiếp ra nặng tay, không lưu tình chút nào, cũng không cho Lâm Phong lưu lực, hắn chính là muốn Lâm Phong chết.

	Chỉ có chết, mới có thể hóa giải bọn họ trên người làm nhục, chỉ có chết, mới có thể vãn hồi bọn họ bán thần hoàng oai phong.

	"Ngươi là quỳ xuống nhận sai, hay là thật muốn ta giết ngươi?" Kỳ lân Bằng nắm quyền trái, chiếu hậu thổ nặng nề như vậy hơi thở, mơ hồ có thể thấy một đạo kỳ lân hiện lên trong đó.

	"Ngươi có thể giết ta sao?" Lâm Phong nghe kỳ lân Bằng nếu, không nhịn được lạnh lùng cười một tiếng nói.

	Nhất thời kỳ lân Bằng nổi giận, lại nữa cùng Lâm Phong nói nhảm, một quyền đánh ra, kỳ lân bóng thú chạy Lâm Phong cắn xé đi, kinh khủng thần thú hơi thở để cho Lâm Phong sắc mặt nhất thời biến đổi.

	Quả nhiên bán thần hoàng không phải tùy ý có thể khiêu chiến, như vậy cường giả thật sự là quá mạnh mẽ, nhưng là Lâm Phong vẫn kiên trì mình ý tưởng, bây giờ chỉ có bán thần hoàng cường giả mới có thể trợ giúp mình trưởng thành.

	Lâm Phong cũng không thối lui, hai tay kết mười, ánh sáng màu trắng hóa thành một đạo to lớn ấn quang, đánh vào kỳ lân thần thú trên, ngay tức thì màu trắng ấn khổng lồ bị đánh bể, to lớn lực phản chấn đem Lâm Phong đẩy lui mấy chục mét mới miễn cưỡng dừng lại.

	Kỳ lân Bằng sắc mặt giễu cợt nhìn Lâm Phong, ở hắn trong mắt, Lâm Phong quả nhiên là không biết tự lượng sức mình, có lẽ Lâm Phong đúng là so đỉnh cấp tầng 9 cường giả mạnh rất nhiều, nhưng vậy thì như thế nào? Bán thần hoàng cường giả uy nghiêm, há có thể là như thế dễ dàng bị xâm phạm?

	Kỳ lân Bằng căn bản không cho Lâm Phong lui về phía sau cơ hội, lại lần nữa bước ra một bước, một chưởng vỗ ra, có bán thần hoàng lực uy hiếp một chưởng đánh vào Lâm Phong trước người.

	Lâm Phong sắc mặt âm trầm tới cực điểm, ngay sau đó cắn chặt răng, hai quả đấm đánh ra, bá đạo quyền uy lực đột hiển đi ra, hai quả đấm đối kháng một chưởng, Lâm Phong lần này không có rơi xuống gió, ngược lại là kỳ lân Bằng bị đẩy lui ước chừng mấy mét sau đó mới đứng lại.

	"Tới ta xuất thủ chứ ?" Lâm Phong sang sãng cười một tiếng, một bước bước ra, chỉ một cái đâm ra, cái này chỉ một cái tựa như đâm phá trong thiên địa quy tắc, một đạo mênh mông mãi mãi hơi thở thấm vào nhập Lâm Phong cái này chỉ một cái lên, vô cùng sắc bén chỉ một cái ngay tức thì điểm vào kỳ lân Bằng trên ngực.

	Chẳng qua là một chút, kỳ lân Bằng sắc mặt nhưng là biến đổi lớn, hắn cảm giác được có chừng mấy trăm mấy ngàn loại đạo nghĩa ở hắn trong thân thể tán loạn, hơi lơ là liền có thể phế hắn kinh mạch.

	Kỳ lân Bằng sắc mặt hoàn toàn thay đổi, mới bắt đầu coi trọng Lâm Phong, thằng nhóc này lớn lên quá kinh khủng, nếu như lại cho hắn mấy năm thời gian, trở thành thần hoàng, bọn họ há chẳng phải là đều phải bị đánh chết?

	Kỳ lân Bằng căn bản không dám nghĩ tới đây, bất đắc dĩ, hắn chỉ có thể cắn chặt răng, thi triển ra thần công.

	"Kỳ lân quyết" . Kỳ lân Bằng gầm lên lên tiếng, một đạo trăm trượng kỳ lân thần thú đột ngột xuất hiện ở Lâm Phong sau lưng, so mãnh hổ nóng nảy trăm lần, trực tiếp muốn cắn Lâm Phong nơi cổ, đạt tới một kích có thể chết người.

	Lâm Phong không có nhìn kỳ lân thần thú, mà là khóe miệng dâng lên một tia lạnh lùng sát ý, xem tới nơi này kỳ lân Bằng thầm nói một tiếng không ổn, nhưng mà hết thảy đã trễ rồi.

	Kỳ lân thần thú bay đến Lâm Phong sau lưng chưa đủ 10m địa phương, Lâm Phong lúc này tay trái chớp mắt màu xám tro Phù Đồ hơi thở, một cái 2m chiều dài màu xám tro kiếm to ánh sáng lớn thả, giống như vạn trượng ánh sáng vào lúc này khắc nổ vậy, một đạo màu xám tro tàn khốc ánh sáng lướt qua, cái này trăm trượng kỳ lân thần thú bóng người bị bổ ngang thành 2 đầu, tiêu tản ra.

	Chung quanh kỳ lân hơi thở ngay tức thì tiêu tán, chỉ có Lâm Phong trong tay cầm Phù Đồ kiếm như cũ chiến ý bàng bạc, rất nhiều một bộ chém chết kỳ lân Bằng tư thế.

	Kỳ lân Bằng sắc mặt ảm đạm tới cực điểm, ho khan vô số thanh, sắc mặt nổi lên một tia tái nhợt, một hớp máu đen cũng phun ra ngoài, thần thú ánh sáng bị giết, hắn cũng đi theo bị trọng thương.

	Đây là hắn tuyệt đối không dám nghĩ, Lâm Phong lại như thế khủng bố, chính là tầng 8 đỉnh cấp, thật liền có thể bị thương nặng bán thần hoàng liền sao?

	"Ta tới giúp ngươi" . Thiết huyền nhìn kỳ lân Bằng rơi xuống hạ phong, nhất thời nóng nảy, cũng không nhịn được ra tay, hắn là từ phía sau lưng đánh lén Lâm Phong, hắn chỉ có một ý tưởng, đánh chết Lâm Phong, hết thảy đều giải quyết.

	Nhưng là Lâm Phong há có thể để cho hắn được như ý! !

	"Ma La phạm thiên quyết!" .

	"Đế ấn quyết" .

	"Bá đạo vương quyền" .

	Lâm Phong một hơi thi triển 3 loại chính xác thần công, kinh khủng năng lượng chấn động chín phương, muốn dựa vào đánh lén Lâm Phong đắc thủ thiết huyền, trực tiếp bị 3 loại kinh khủng năng lượng đẩy lui trăm mét, sắc mặt dị thường nặng nề.

	Vô số người cũng thấy đờ ra, chỉ cảm thấy trước mắt là ảo giác, cũng không muốn đi tin tưởng, cái này. . .

	Hai hơn nửa thần hoàng cấp cường giả khác, đều không địch Lâm Phong?

	Đây là muốn ồn ào dạng nào?

	Thiết huyền cùng kỳ lân Bằng đứng chung một chỗ, lạnh lùng trừng mắt nhìn Lâm Phong, còn muốn ra tay, nhưng lại cảm thấy sỉ nhục.

	Lâm Phong khóe miệng dâng lên một tia nhàn nhạt cười

	Lâm Phong vừa nói, chỉ chỉ thiết huyền.

	"Ngươi cũng không được! !" .

	Lâm Phong bên phải ngón tay chỉ kỳ lân Bằng, rồi sau đó khẽ lắc đầu một cái, trên mặt không có châm chọc, nhưng lại thắng tựa như châm chọc.

	Ngươi không được, ngươi cũng không được! !

	Hai câu này từ Lâm Phong miệng nói ra, lại không có một người dám phản bác, coi như muốn phải phản bác, nhưng nhìn trước Lâm Phong kinh khủng sức chiến đấu, cũng gắng gượng nín trở về, trong sân không có ai còn dám nghi ngờ Lâm Phong nửa điểm, như vậy sức chiến đấu kinh khủng, cái nào thánh linh hoàng có?

	"Quả nhiên, hắn trúng độc, tốt lắm" .

	Chỗ tối, Đế Thư sắc mặt âm trầm tới cực điểm, cẩn thận xem ra, đôi mắt bên trong ma quang tựa như có thể chiếm đoạt hết thảy, hắn hơi thở cực độ không ổn định, tựa như tùy thời tùy khắc đều phải bộc phát ra một cổ năng lượng thật lớn, nhưng lại nhịn được.

	"Lâm Phong, nhưng còn có người khiêu chiến?"
