Chương 937: Đã sớm bị an bài tốt đối thủ. . . 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Ba vị, chúng ta trò chuyện một chút" .
	Huống chi Lâm Phong liền là muốn hiểu một chút chân thật Thiên Đạo Uyển, nếu như chỉ nghe lão nô lời của một bên, vậy thì trúng lão nô vòng bộ, cho nên Lâm Phong sẽ kết hợp hai phe nói, sau đó đoán được toàn bộ Thiên Đạo Uyển tình huống.

	Đạo Thành Tử nghe Lâm Phong nếu sau đó, cười khổ một tiếng, hắn rất rõ ràng Lâm Phong là không thể nào mắc lừa, chỉ có thể bọn họ bị lừa, không có biện pháp khác, ba người chỉ có thể có sao nói vậy.

	"Chủ thượng, Thiên Đạo Uyển phân là hai cái hệ phái, một cái chính là chúng ta ba người lãnh đạo đạo chi nhất mạch, mà ngoài ra chính là lão nô cầm đầu thiên chi nhất mạch, cái này hắn hẳn trước nhất cùng ngài nói chứ ?" Đạo Thành Tử vừa nói, sau đó dùng ánh mắt liếc Lâm Phong, chú ý Lâm Phong sắc mặt biến hóa.

	Nhưng mà Lâm Phong sắc mặt không có bất kỳ biến hóa, bình thản như nước, Đạo Thành Tử lần này vậy không đoán được Lâm Phong rốt cuộc có biết chuyện này hay không, hắn chỉ có thể căn cứ lão nô tính cách đặc điểm, đánh cuộc một lần lão nô cùng Lâm Phong nói chuyện này.

	Đạo Thành Tử không có biện pháp, chỉ có thể tiếp tục nói: "Hai cái hệ phái từ xưa không cùng, từ lão tổ tông thời đại sau này, lão tổ tông con một cùng lão tổ tông tuyển ra chàng trai tài giỏi đẹp trai bây giờ, liền xảy ra khác nhau, chính là bởi vì làm cho này cái, ra đời thiên chi nhất mạch cùng đạo chi nhất mạch" .

	"Chúng ta đứng ở chàng trai tài giỏi đẹp trai một đội này ngũ lên, mà lão nô nhưng là giúp đỡ lão tổ tông con một, hôm nay thời gian vội vã trôi qua, triệu năm thời gian, Thiên Đạo Uyển trải qua bốn cái chủ tử, ngài là thứ năm, mà ngài vẫn là chàng trai tài giỏi đẹp trai, cho nên chúng ta ba cái bao gồm toàn bộ đạo chi nhất mạch, đều là giúp đỡ ngài" .

	"Chúng ta thành ý ngài hẳn hoàn toàn rõ ràng, bởi vì là chúng ta đại biểu chính là chàng trai tài giỏi đẹp trai lợi ích, mà lão nô chỉ biết thành là lão tổ tông hậu bối người bảo vệ, hơn nữa ngài hẳn còn chưa biết đi, lão tổ tông đời sau tự, ngay tại Thiên Đạo Uyển" .

	"Ngài không có xuất hiện trước, lão nô thì có ý tạo hắn là mới chủ thượng, nhưng là bởi vì là Không Tổ một mực tìm chủ nhân mới, cho nên hắn chỉ có thể tạm ngừng cái kế hoạch này, chuyển là khống chế ngài tới thực hành hắn kế hoạch" .

	"Nhưng hắn sẽ không nghĩ tới ngài như vậy ưu tú, đem hắn kế hoạch hoàn toàn bị làm rối loạn" .

	Đạo Thành Tử vừa nói, hắn đã bỏ mặc Lâm Phong nghe chưa từng nghe qua những thứ này, nhưng là hắn nhất định phải nói ra, cho thấy hắn thật lòng chân ý, từ Lâm Phong đối phó lão nô sau đó, ba cái thái thượng trưởng lão đã quyết định, giúp đỡ Lâm Phong, lại nữa cùng lão nô như nhau suy nghĩ khống chế Lâm Phong đường ngang ngõ tắt.

	Đàng hoàng trợ giúp Lâm Phong, trợ giúp Thiên Đạo Uyển quật khởi đi về phía phục hưng, đây chính là bây giờ ba cái ông lão ý tưởng.

	Lâm Phong từ đầu tới đuôi một mực lắng nghe Đạo Thành Tử mà nói, trong lòng mặc dù cảm thấy khiếp sợ nhưng sắc mặt rất là bình thản, những nội dung này rất nhiều đều là lão nô không có tự mình nói, ví dụ như lão tổ tông còn có hậu bối truyền thừa, hôm nay cũng ở đây Thiên Đạo Uyển.

	Đây là một cái đặc biệt có giá trị tin tức, nếu như mình bây giờ còn không biết, rất có thể bị cái này Thiên Đạo Uyển lão tổ tông hậu bối trong bóng tối hãm hại cũng sẽ không đoán được là ai.

	Xem ra hai bên cũng che giấu một ít nội dung, vô luận là lão nô vẫn là ba cái thái thượng trưởng lão, lẫn nhau bây giờ cũng đang mưu hại đối phương, càng muốn mượn tay mình tới diệt trừ hoặc là nói áp chế đối phương, từ đó để cho phe mình quật khởi.

	Nhưng mà Lâm Phong không phải người ngu, bản thân có mình cân nhắc, nhất là ở lớn như vậy Cổ Tông bên trong, nếu như không kềm chế thế lực khắp nơi giữ thăng bằng, mình cái này chủ thượng không ra nửa năm, thì sẽ chết thế nào cũng không biết.

	Nửa đời trước vì chiến đấu tăng lên mình lịch duyệt, mà mình nửa đời sau nhưng phải dựa vào chính mình lịch duyệt còn tăng lên chiến đấu, đây chính là không cùng tuổi tác đoạn, người cần phải làm sự việc.

	Lúc còn trẻ có thể buông thả có thể ngông cuồng, có thể bá đạo có thể phách lối, cũng có thể lấy ưu việt tư thái đối phó tử địch, nhưng người đều là sẽ biến hóa, Lâm Phong hôm nay tâm tính chín muồi một ít, nhưng cũng biết làm một ít chuyện khác người, vậy cũng là bởi vì là mình còn còn có một viên nhiệt huyết sôi trào lòng.

	"Trừ những thứ này ra, còn có những thứ khác sao?" Lâm Phong tiếp tục ngẩng đầu nhìn ba cái ông già, nhất là Đạo Thành Tử, hắn là Tam lão đứng đầu.

	Đạo Thành Tử quan sát Lâm Phong, hắn không biết Lâm Phong là ý gì, chỉ có thể dựa vào chính mình tâm tư tới suy đoán.

	"Còn có chính là lão tổ tông có một cái truyền thừa, nếu như đạt được cái này truyền thừa người có thể chân chính trên ý nghĩa thành là Thiên Đạo Uyển chủ thượng, sẽ không tồn tại bất kỳ tranh cãi, hơn nữa cái này truyền thừa còn sẽ cho người thực lực tiến hơn một bước" .

	"Dĩ nhiên tiền đề dưới tình huống, ngài nếu qua lão tổ tông con cháu hậu bối cửa ải này, nếu không ngài không thể nào đạt được cái này truyền thừa" . Đạo Thành Tử vừa nói, sắc mặt có chút nặng nề, nhất là nhắc tới lão tổ tông con cháu hậu bối thời điểm sắc mặt nặng hơn.

	Lâm Phong quan sát ông lão thần sắc biến hóa, chính là không khó đoán được cái này lão tổ tông hậu bối chỉ sợ cũng không phải một nhân vật đơn giản.

	"Ta đạt được cái này truyền thừa như thế nào, không có được thì như thế nào?" Lâm Phong nhìn chằm chằm Đạo Thành Tử, nhàn nhạt hỏi, sắc mặt rất bình tĩnh, không chút nào bởi vì là truyền thừa mà hưng phấn.

	Còn có Lâm Phong vấn đề, càng làm cho Đạo Thành Tử trong chốc lát không cách nào trả lời, bởi vì là hắn chưa bao giờ gặp Lâm Phong người như vậy, biết có một cái có thể tăng lên thực lực truyền thừa, lại vẫn như vậy bình tĩnh, thậm chí còn có chút xem thường ý.

	"Ngài nếu đạt được truyền thừa sẽ đem hoàn toàn nắm trong tay Thiên Đạo Uyển, hơn nữa rất có thể ngài cảnh giới từ thần đế một tầng đột phá thần đế tầng 2" .

	Đạo Thành Tử mặc dù khó hiểu, nhưng vẫn là thành thật trả lời trước Lâm Phong vấn đề.

	Nghe vậy, Lâm Phong sắc mặt không thay đổi, trong lòng nhưng có chút hiểu ra, Thiên Đạo Uyển lão tổ tông xác thực rất cường hãn, hắn truyền thừa lại có thể để cho thần đế đột phá, mà đây ở Tán Tôn trong truyền thừa mặt là không làm được.

	Có thể gặp, ngày xưa trên lịch sử cái này Thiên Đạo Uyển lão tổ tông sẽ có bao nhiêu ngạo mạn.

	"Cái đó con cháu hậu bối tên gì?" Lâm Phong ngẩng đầu lên, hỏi ra hắn chân chính cũng muốn hỏi vấn đề, cũng chính là duy nhất có thể trở ngại mình đạt được truyền thừa hậu bối.

	Đạo Thành Tử liếc nhìn bên cạnh Đạo Huyền Tử cùng với Đạo Phu Tử, ba cái mặt của lão giả sắc đều có chút cẩn thận, nhưng trầm tư sau này vẫn là nói cho Lâm Phong một cái đáp án chuẩn xác.

	"Hắn là Sát Thù" . Đạo Thành Tử trầm giọng đáp.

	"Sát Thù? Là ai ? " Lâm Phong rất là nghi ngờ, không biết cái này kêu Sát Thù đệ tử, đối với hắn rất là xa lạ, hơn nữa toàn bộ đại lục trên, cũng chưa từng truyền qua cái này Sát Thù chiến tích.

	Đạo Thành Tử không khó hiểu Lâm Phong không biết cái này số 1 người, đừng nói là Lâm Phong không biết, nếu như không phải là bởi vì là bọn họ ba người một mực sống ở thành Lang Tà, bọn họ vậy sẽ không biết.

	"Sát Thù, chính là ngài ban đầu ở Thiên Uyển bên trong, nghe được cái đầu tiên mang giết ma mặt nạ người, chính là cái đó đồ sát thi trăm dặm người điên" .

	Đạo Thành Tử vừa nói, sâu hô giọng, loại này người tàn nhẫn có lẽ không phải là trẻ tuổi đồng lứa.

	Lâm Phong sắc mặt hơi đổi một chút, bỗng nhiên cảm giác ban đầu đi tới Thiên Uyển đi mang mặt nạ tham gia thi đấu, đều là một loại trò lừa bịp, mục đích chính là vì mình cùng cái này Sát Thù sinh ra nào đó liên lạc, ví dụ như đều là mang qua giết ma mặt nạ.

	"Ngươi nói như vậy, nói cách khác ban đầu Thiên Uyển thần tôn biết cái này Sát Thù?" Lâm Phong ngẩng đầu lên, ánh mắt rất là ngưng trọng hỏi thành tử.

	Đạo Thành Tử rất kiên định gật đầu, chuyện này hắn còn chưa đến nỗi lừa dối Lâm Phong.

	Thấy Đạo Thành Tử sắc mặt rất là kiên định, Lâm Phong đối với Thiên Uyển thần tôn sinh ra một ít hoài nghi, bất quá cũng có thể hiểu hết thảy các thứ này, nhưng đối với Lâm Phong tự mình tới nói, đây có thể lại là tính toán mình.

	Sát Thù, mình phải phải đối mặt đối thủ, đây là trúng mục tiêu đã định trước, chỉ phải tự làm Thiên Đạo Uyển chủ thượng, thì phải cùng cái này Sát Thù phân ra một cái thắng bại.

	"Hắn bây giờ nơi nào?" Lâm Phong tiếp tục hỏi.

	"Không biết, đã rất nhiều năm không có tung tích, ban đầu rời đi Thiên Đạo Uyển đi thành Thiên Đông, hôm nay cũng không biết tung tích" .Chương 937: Đã sớm bị an bài tốt đối thủ. . . 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Ba vị, chúng ta trò chuyện một chút" .

	Lâm Phong ngồi ở trước bệ cửa sổ mặt trên ghế, trong tay bưng ly trà, nhưng là không uống, mà là mắt không chớp nhìn chằm chằm trước mắt ba cái thái thượng trưởng lão, Đạo Thành Tử, Đạo Huyền Tử cùng với Đạo Phu Tử.

	Ba cái ông già đứng ở một xếp, tỏ ra hơi có chút khẩn trương, suy nghĩ một chút đường đường thần đế tầng 4 ba cái siêu cấp cường giả, đứng ở Lâm Phong trước người nhưng là cùng đứa bé như nhau, sẽ có bao nhiêu buồn cười, nhưng là đây chính là Lâm Phong mang cho áp lực của bọn họ.

	Nhất là nghe Lâm Phong câu hỏi sau đó, ba cái thái thượng trưởng lão tim đập nhất thời tăng tốc độ, bọn họ rất rõ ràng, Lâm Phong nhất định là ở lão nô nơi đó nghe nói cái gì bí mật, nếu không không thể nào kêu gọi bọn họ ba người hiểu tình huống một chút, mặc dù Lâm Phong để cho bọn họ tùy tiện trò chuyện một chút, nhưng là ba người mỗi người đều biết, lời ngầm ý chính là, thành thật khai báo một chút.

	Cầm đầu Đạo Thành Tử sắc mặt nhất là ngưng trọng, hắn nhìn Lâm Phong, mấy lần há miệng muốn nói xảy ra cái gì, nhưng cuối cùng cũng ngậm miệng lại, bởi vì là hắn không biết nói gì.

	"Mời chủ thượng chỉ giáo" . Đạo Thành Tử sâu hô giọng, sau đó ngẩng đầu nhìn Lâm Phong, cứ việc Lâm Phong nếu rất ý tứ rõ ràng, nhưng là Đạo Thành Tử không dám nói bậy, rất sợ có chuyện gì Lâm Phong không biết cũng cho nói ra ngoài.

	"Ta không việc gì chỉ giáo, ở lão nô nơi đó nghe một ít có liên quan Thiên Đạo Uyển nội dung, không biết là thật còn chưa là thật, cho nên tìm các người hiểu một chút" . Lâm Phong không sẽ bị lừa, mặc dù ba cái lão gia sống triệu năm, nhưng mà Lâm Phong nhưng cũng không sợ.

	Huống chi Lâm Phong liền là muốn hiểu một chút chân thật Thiên Đạo Uyển, nếu như chỉ nghe lão nô lời của một bên, vậy thì trúng lão nô vòng bộ, cho nên Lâm Phong sẽ kết hợp hai phe nói, sau đó đoán được toàn bộ Thiên Đạo Uyển tình huống.

	Đạo Thành Tử nghe Lâm Phong nếu sau đó, cười khổ một tiếng, hắn rất rõ ràng Lâm Phong là không thể nào mắc lừa, chỉ có thể bọn họ bị lừa, không có biện pháp khác, ba người chỉ có thể có sao nói vậy.

	"Chủ thượng, Thiên Đạo Uyển phân là hai cái hệ phái, một cái chính là chúng ta ba người lãnh đạo đạo chi nhất mạch, mà ngoài ra chính là lão nô cầm đầu thiên chi nhất mạch, cái này hắn hẳn trước nhất cùng ngài nói chứ ?" Đạo Thành Tử vừa nói, sau đó dùng ánh mắt liếc Lâm Phong, chú ý Lâm Phong sắc mặt biến hóa.

	Nhưng mà Lâm Phong sắc mặt không có bất kỳ biến hóa, bình thản như nước, Đạo Thành Tử lần này vậy không đoán được Lâm Phong rốt cuộc có biết chuyện này hay không, hắn chỉ có thể căn cứ lão nô tính cách đặc điểm, đánh cuộc một lần lão nô cùng Lâm Phong nói chuyện này.

	Đạo Thành Tử không có biện pháp, chỉ có thể tiếp tục nói: "Hai cái hệ phái từ xưa không cùng, từ lão tổ tông thời đại sau này, lão tổ tông con một cùng lão tổ tông tuyển ra chàng trai tài giỏi đẹp trai bây giờ, liền xảy ra khác nhau, chính là bởi vì làm cho này cái, ra đời thiên chi nhất mạch cùng đạo chi nhất mạch" .

	"Chúng ta đứng ở chàng trai tài giỏi đẹp trai một đội này ngũ lên, mà lão nô nhưng là giúp đỡ lão tổ tông con một, hôm nay thời gian vội vã trôi qua, triệu năm thời gian, Thiên Đạo Uyển trải qua bốn cái chủ tử, ngài là thứ năm, mà ngài vẫn là chàng trai tài giỏi đẹp trai, cho nên chúng ta ba cái bao gồm toàn bộ đạo chi nhất mạch, đều là giúp đỡ ngài" .

	"Chúng ta thành ý ngài hẳn hoàn toàn rõ ràng, bởi vì là chúng ta đại biểu chính là chàng trai tài giỏi đẹp trai lợi ích, mà lão nô chỉ biết thành là lão tổ tông hậu bối người bảo vệ, hơn nữa ngài hẳn còn chưa biết đi, lão tổ tông đời sau tự, ngay tại Thiên Đạo Uyển" .

	"Ngài không có xuất hiện trước, lão nô thì có ý tạo hắn là mới chủ thượng, nhưng là bởi vì là Không Tổ một mực tìm chủ nhân mới, cho nên hắn chỉ có thể tạm ngừng cái kế hoạch này, chuyển là khống chế ngài tới thực hành hắn kế hoạch" .

	"Nhưng hắn sẽ không nghĩ tới ngài như vậy ưu tú, đem hắn kế hoạch hoàn toàn bị làm rối loạn" .

	Đạo Thành Tử vừa nói, hắn đã bỏ mặc Lâm Phong nghe chưa từng nghe qua những thứ này, nhưng là hắn nhất định phải nói ra, cho thấy hắn thật lòng chân ý, từ Lâm Phong đối phó lão nô sau đó, ba cái thái thượng trưởng lão đã quyết định, giúp đỡ Lâm Phong, lại nữa cùng lão nô như nhau suy nghĩ khống chế Lâm Phong đường ngang ngõ tắt.

	Đàng hoàng trợ giúp Lâm Phong, trợ giúp Thiên Đạo Uyển quật khởi đi về phía phục hưng, đây chính là bây giờ ba cái ông lão ý tưởng.

	Lâm Phong từ đầu tới đuôi một mực lắng nghe Đạo Thành Tử mà nói, trong lòng mặc dù cảm thấy khiếp sợ nhưng sắc mặt rất là bình thản, những nội dung này rất nhiều đều là lão nô không có tự mình nói, ví dụ như lão tổ tông còn có hậu bối truyền thừa, hôm nay cũng ở đây Thiên Đạo Uyển.

	Đây là một cái đặc biệt có giá trị tin tức, nếu như mình bây giờ còn không biết, rất có thể bị cái này Thiên Đạo Uyển lão tổ tông hậu bối trong bóng tối hãm hại cũng sẽ không đoán được là ai.

	Xem ra hai bên cũng che giấu một ít nội dung, vô luận là lão nô vẫn là ba cái thái thượng trưởng lão, lẫn nhau bây giờ cũng đang mưu hại đối phương, càng muốn mượn tay mình tới diệt trừ hoặc là nói áp chế đối phương, từ đó để cho phe mình quật khởi.

	Nhưng mà Lâm Phong không phải người ngu, bản thân có mình cân nhắc, nhất là ở lớn như vậy Cổ Tông bên trong, nếu như không kềm chế thế lực khắp nơi giữ thăng bằng, mình cái này chủ thượng không ra nửa năm, thì sẽ chết thế nào cũng không biết.

	Nửa đời trước vì chiến đấu tăng lên mình lịch duyệt, mà mình nửa đời sau nhưng phải dựa vào chính mình lịch duyệt còn tăng lên chiến đấu, đây chính là không cùng tuổi tác đoạn, người cần phải làm sự việc.

	Lúc còn trẻ có thể buông thả có thể ngông cuồng, có thể bá đạo có thể phách lối, cũng có thể lấy ưu việt tư thái đối phó tử địch, nhưng người đều là sẽ biến hóa, Lâm Phong hôm nay tâm tính chín muồi một ít, nhưng cũng biết làm một ít chuyện khác người, vậy cũng là bởi vì là mình còn còn có một viên nhiệt huyết sôi trào lòng.

	"Trừ những thứ này ra, còn có những thứ khác sao?" Lâm Phong tiếp tục ngẩng đầu nhìn ba cái ông già, nhất là Đạo Thành Tử, hắn là Tam lão đứng đầu.

	Đạo Thành Tử quan sát Lâm Phong, hắn không biết Lâm Phong là ý gì, chỉ có thể dựa vào chính mình tâm tư tới suy đoán.

	"Còn có chính là lão tổ tông có một cái truyền thừa, nếu như đạt được cái này truyền thừa người có thể chân chính trên ý nghĩa thành là Thiên Đạo Uyển chủ thượng, sẽ không tồn tại bất kỳ tranh cãi, hơn nữa cái này truyền thừa còn sẽ cho người thực lực tiến hơn một bước" .

	"Dĩ nhiên tiền đề dưới tình huống, ngài nếu qua lão tổ tông con cháu hậu bối cửa ải này, nếu không ngài không thể nào đạt được cái này truyền thừa" . Đạo Thành Tử vừa nói, sắc mặt có chút nặng nề, nhất là nhắc tới lão tổ tông con cháu hậu bối thời điểm sắc mặt nặng hơn.

	Lâm Phong quan sát ông lão thần sắc biến hóa, chính là không khó đoán được cái này lão tổ tông hậu bối chỉ sợ cũng không phải một nhân vật đơn giản.

	"Ta đạt được cái này truyền thừa như thế nào, không có được thì như thế nào?" Lâm Phong nhìn chằm chằm Đạo Thành Tử, nhàn nhạt hỏi, sắc mặt rất bình tĩnh, không chút nào bởi vì là truyền thừa mà hưng phấn.

	Còn có Lâm Phong vấn đề, càng làm cho Đạo Thành Tử trong chốc lát không cách nào trả lời, bởi vì là hắn chưa bao giờ gặp Lâm Phong người như vậy, biết có một cái có thể tăng lên thực lực truyền thừa, lại vẫn như vậy bình tĩnh, thậm chí còn có chút xem thường ý.

	"Ngài nếu đạt được truyền thừa sẽ đem hoàn toàn nắm trong tay Thiên Đạo Uyển, hơn nữa rất có thể ngài cảnh giới từ thần đế một tầng đột phá thần đế tầng 2" .

	Đạo Thành Tử mặc dù khó hiểu, nhưng vẫn là thành thật trả lời trước Lâm Phong vấn đề.

	Nghe vậy, Lâm Phong sắc mặt không thay đổi, trong lòng nhưng có chút hiểu ra, Thiên Đạo Uyển lão tổ tông xác thực rất cường hãn, hắn truyền thừa lại có thể để cho thần đế đột phá, mà đây ở Tán Tôn trong truyền thừa mặt là không làm được.

	Có thể gặp, ngày xưa trên lịch sử cái này Thiên Đạo Uyển lão tổ tông sẽ có bao nhiêu ngạo mạn.

	"Cái đó con cháu hậu bối tên gì?" Lâm Phong ngẩng đầu lên, hỏi ra hắn chân chính cũng muốn hỏi vấn đề, cũng chính là duy nhất có thể trở ngại mình đạt được truyền thừa hậu bối.

	Đạo Thành Tử liếc nhìn bên cạnh Đạo Huyền Tử cùng với Đạo Phu Tử, ba cái mặt của lão giả sắc đều có chút cẩn thận, nhưng trầm tư sau này vẫn là nói cho Lâm Phong một cái đáp án chuẩn xác.

	"Hắn là Sát Thù" . Đạo Thành Tử trầm giọng đáp.

	"Sát Thù? Là ai ? " Lâm Phong rất là nghi ngờ, không biết cái này kêu Sát Thù đệ tử, đối với hắn rất là xa lạ, hơn nữa toàn bộ đại lục trên, cũng chưa từng truyền qua cái này Sát Thù chiến tích.

	Đạo Thành Tử không khó hiểu Lâm Phong không biết cái này số 1 người, đừng nói là Lâm Phong không biết, nếu như không phải là bởi vì là bọn họ ba người một mực sống ở thành Lang Tà, bọn họ vậy sẽ không biết.

	"Sát Thù, chính là ngài ban đầu ở Thiên Uyển bên trong, nghe được cái đầu tiên mang giết ma mặt nạ người, chính là cái đó đồ sát thi trăm dặm người điên" .

	Đạo Thành Tử vừa nói, sâu hô giọng, loại này người tàn nhẫn có lẽ không phải là trẻ tuổi đồng lứa.

	Lâm Phong sắc mặt hơi đổi một chút, bỗng nhiên cảm giác ban đầu đi tới Thiên Uyển đi mang mặt nạ tham gia thi đấu, đều là một loại trò lừa bịp, mục đích chính là vì mình cùng cái này Sát Thù sinh ra nào đó liên lạc, ví dụ như đều là mang qua giết ma mặt nạ.

	"Ngươi nói như vậy, nói cách khác ban đầu Thiên Uyển thần tôn biết cái này Sát Thù?" Lâm Phong ngẩng đầu lên, ánh mắt rất là ngưng trọng hỏi thành tử.

	Đạo Thành Tử rất kiên định gật đầu, chuyện này hắn còn chưa đến nỗi lừa dối Lâm Phong.

	Thấy Đạo Thành Tử sắc mặt rất là kiên định, Lâm Phong đối với Thiên Uyển thần tôn sinh ra một ít hoài nghi, bất quá cũng có thể hiểu hết thảy các thứ này, nhưng đối với Lâm Phong tự mình tới nói, đây có thể lại là tính toán mình.

	Sát Thù, mình phải phải đối mặt đối thủ, đây là trúng mục tiêu đã định trước, chỉ phải tự làm Thiên Đạo Uyển chủ thượng, thì phải cùng cái này Sát Thù phân ra một cái thắng bại.

	"Hắn bây giờ nơi nào?" Lâm Phong tiếp tục hỏi.

	"Không biết, đã rất nhiều năm không có tung tích, ban đầu rời đi Thiên Đạo Uyển đi thành Thiên Đông, hôm nay cũng không biết tung tích" .
