Chương 683: Ngươi nít ranh Khương Hiên! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Lang Tà, Lâm Phong chuyện này. . ." .
	Phục Tô Dung có thể giết, Lâm Phong mình thực lực đủ để giết Phục Tô Vinh, mình giận dữ lúc dựa vào kiếm tổ địch có thể cùng Ngôn Chấn cái này thượng vị thần tôn chống lại, thì như thế nào không giết được một cái trung vị thần tôn Phục Tô Vinh? Như vậy mà đối phương có bối cảnh, Tử Điến thần tôn, lão quái vật cấp cường giả khác.

	Lần này không có cách nào, Lâm Phong biết rõ Phục Tô Dung không thể nào giết chết, tối thiểu bây giờ là không thể làm gì, trừ phi có một ngày Tử Điến thần tôn chết, hay hoặc là Phục Tô Dung chọc giận Tử Điến thần tôn, để cho người sau lại nữa che chở Phục Tô Dung, nhưng cái này tỷ lệ tương đối nhỏ.

	Lâm Phong bắt đầu lâm vào trầm tư trong, là có nên hay không buông tha là Thiên Cơ lão nhân cùng nhiều như vậy chết đi Cửu Tiêu cường giả báo thù chấp niệm? Có phải hay không hẳn mặc cho Phục Tô Dung phách lối ngông cuồng? Có phải hay không mặc cho mình tiếp tục như vậy sa đọa đi xuống? Bị người khi dễ?

	Cái này câu trả lời là phủ định, Lâm Phong biết rõ mình nhân vật, cũng biết trong lòng mình chấp niệm, nếu như buông tha mà nói, như vậy Lâm Phong cơ hồ có thể tuyên cáo xông Vĩnh Hằng quốc độ thất bại, trực tiếp áo não tỉnh hồn lục tốt lắm, ngoan ngoãn làm một cái Thần lục ngài chúa tể.

	Lâm Phong không cần người khác che chở, tự mình một người giống vậy có thể có quật khởi một ngày, mặc dù đây là ở giữa có chút dài, nhưng mà Lâm Phong có thể chờ, Lâm Phong có thể nhịn hổ thẹn mang nặng, giống như Lang Tà thần tôn dạy bảo mình vậy, nhẫn nại.

	Phòng rộng rãi Lâm Phong nghĩ thông suốt, nhất thời cảm giác trong lòng đè ép mấy trăm ngàn đá lớn tất cả đều bị nghiền, Lâm Phong một mực ưu buồn sắc mặt trở nên nụ cười tăng nhiều, hai tròng mắt chỗ sâu lo lắng vậy biến mất, ánh mắt bắt đầu gia tăng ánh sáng.

	Tổ Địch cùng Lang Tà thần tôn tất cả đều nhìn Lâm Phong, cái này đột nhiên biến hóa mặc dù rất nhỏ, nhưng là rất kỹ càng chu đáo, để cho hai cái ông già cũng có thể rõ ràng cảm giác được Lâm Phong trong lòng chất chứa đồ đều biến mất hết, mưa qua trời trong.

	"Đa tạ hai vị tiền bối chỉ điểm, ta, rõ ràng liền" . Lâm Phong đem Khương Hiên ôm tới đất lên, sau đó ôm chặt hai quả đấm nặng nề hướng về phía hai cái ông già thi lễ một cái, nụ cười trên mặt phá lệ sáng chói.

	Lâm Phong thi lễ ngược lại để cho Lang Tà thần tôn sắc mặt có chút không nén giận được, hắn không có chỉ giáo cái gì, ngược lại hắn nói đều là ích kỷ mà nói, một vị cân nhắc thành Lang Tà cùng Khương gia tộc người an nguy, từ đó lo lắng Lâm Phong, lại để cho Lâm Phong trong lòng áp lực tiêu trừ, hắn thấy thẹn với.

	Tổ Địch lão giả giống như vậy, hắn cảm giác được mình thân là Lâm Phong vũ khí trong tay, lại không giúp được Lâm Phong một tia một chút nào, mặt chỉ cảm thấy cháy sạch hoảng.

	"Không muốn hành lễ, chúng ta đảm đương không nổi" . Tổ Địch lão giả biểu tình khổ sở lắc đầu hướng về phía Lâm Phong quát lên.

	"Hai vị tiền bối quyết định không có sai, đổi lại là ta cũng sẽ làm như vậy, không thể nào bởi vì là một cái hạ vị thần tôn mà đi giết thượng vị thần tôn, cái này căn bản không thực tế" .

	" Ừ, ngươi rõ ràng là tốt, chúng ta trong lòng cảm giác áy náy sẽ ít một chút" . Lang Tà thần tôn gặp Lâm Phong như vậy thông cảm bọn họ, không kiềm được sắc mặt mừng rỡ, vội vàng hướng Lâm Phong ôm quyền vừa nói.

	Đồng thời hắn đối với Lâm Phong vậy bắt đầu nhìn với cặp mắt khác xưa, thằng nhóc này quả nhiên không đơn giản à, coi như tạm thời bị làm nhục cùng ủy khuất, nhưng cũng không có nghĩa là ngày sau cũng biết như vậy oa oa nang nang còn sống, tất nhiên sẽ sống rả rích tung.

	"Anh cả, ta đã đáp ứng Lâm Phong, để cho hắn đi Tê Dương Thai" . Tổ Địch lão giả xem tới nơi này, bỗng nhiên nghĩ tới đã từng đối với Lâm Phong đã nói, hắn để cho Lâm Phong tới thành Lang Tà, mục đích là vì Tê Dương Thai, bây giờ thời cơ cũng không sai biệt lắm, chính là đối với Lang Tà thần tôn nói ra.

	Lâm Phong liếc nhìn Tổ Địch cụ già, trên mặt mặc dù không có biểu tình gì, trong lòng nhưng là cảm kích ông lão, bỏ mặc nói thế nào cụ già không có quên tự mình tới thành Lang Tà mục đích là cái gì.

	Lang Tà thần tôn khẽ nhíu mày dậy, nhìn Tổ Địch lão giả, lại nhìn hi vọng Lâm Phong, không nhịn được bật cười nói: " Được a, ta nói 2 người các ngươi làm sao có thể chủ động tới thành Lang Tà, nguyên lai hết thảy đều có dự mưu à" .

	"Em trai, đây chính là ngươi không đúng, ngươi làm sao có thể đem nhà mình thánh địa tu luyện để lộ ra ngoài vậy?" Lang Tà thần tôn không phải tức giận trợn mắt nhìn Tổ Địch cụ già quát lên, như vậy thật ra thì không có nhiều ít tức giận ở trên mặt, có thể nhìn ra, Lang Tà thần tôn cũng không thèm để ý Lâm Phong đi Tê Dương Thai.

	"Cháu nhỏ, ngươi già sư phải đi Tê Dương Thai tu luyện, chuyện này giao cho ngươi nha, ông nội bỏ mặc" .

	Lang Tà thần tôn đột nhiên nhìn về phía một mực không nói gì Khương Hiên, trên khuôn mặt già nua nhiều một tia ý vị sâu xa nụ cười, Khương Hiên nghe ông nội nói, rất nhanh liền phản ứng lại, đều nói ngươi nít ranh, đúng là không giả.

	Lang Tà thần tôn cứng rắn kéo Tổ Địch lão giả đi nói chuyện cũ, 2 anh em đã ước chừng một trăm ngàn năm không có gặp mặt, cần tăng tiến một chút tình cảm, cho dù là anh em ruột cũng cần tăng tiến cảm tình, nếu không thì sẽ không thạo.

	Tổ Địch cụ già không có cách nào, chỉ có thể là tạm thời thu hồi kiếm tổ địch, bởi vì là không có hắn cái này kiếm tổ chi hồn kiếm tổ địch, cùng thông thường thần tôn khí không có bất kỳ khác biệt, đối với Lâm Phong vô dụng.

	Hai cái ông già rời đi nơi này, lưu lại chỉ có một lớn một nhỏ Lâm Phong cùng Khương Hiên.

	Lâm Phong tựa hồ rõ ràng liền mình muốn đi Tê Dương Thai tựa hồ cần Khương Hiên đáp ứng, không kiềm được cười khổ một tiếng, nguyên lai sự việc chỉ đơn giản như vậy? Thành Lang Tà mấu chốt nhất thánh địa tu luyện lại do Khương Hiên nói coi là?

	"Cái đó, đứa nhỏ à. . ." .

	Lâm Phong lúng túng sờ một cái lỗ mũi, nhìn về phía dưới người Khương Hiên, không tốt lắm ý tứ cầu cái này đứa nhỏ.

	Bất quá Lâm Phong yêu cầu còn cũng không có nói ra, Khương Hiên trên khuôn mặt nhỏ nhắn đột nhiên nhiều một ít vẻ mệt mỏi, đứa nhỏ chống cằm buồn bực thở dài nói: "Ai, mệt chết đi được, ta muốn nghỉ ngơi" .

	Lâm Phong: ". . ." .

	"Đứa nhỏ, anh Lâm Phong lãnh địa ngươi đi chơi, có được hay không?"

	Lâm Phong một mặt hắc tuyến, nhưng mà vậy chỉ có thể nhịn trong lòng 'Tức giận', bắt đầu chọc cười dẫn Khương Hiên lên làm.

	Nhưng mà Khương Hiên rõ ràng cho thấy ngươi nít ranh, hơn nữa đầy đủ không tốt, nếu không không thể nào hãm hại liền hơn mười cái lão sư, hắn muốn là tức giận sẽ chết người, dĩ nhiên hắn nếu như chẳng qua là bướng bỉnh muốn đùa bỡn người, giống như Lâm Phong như vậy.

	Khương Hiên chống cằm, trên mặt không đánh nổi tinh thần thở dài nói: "Ta còn không có lão sư dạy ta, không muốn chơi" .

	Lâm Phong nhất thời rõ ràng, cái này đứa nhỏ một mực đang đánh mình chủ ý, lời này rõ ràng cho thấy muốn mình đồng ý làm hắn lão sư, nếu không hết thảy các thứ này không bàn nữa.

	Nhưng mà Lâm Phong đã suy tính rất rõ ràng, không muốn lưu ở thành Lang Tà, nếu trả thù không đạt tới, như vậy thì cần phải rời đi nơi này xa xa, cho mình lưu một ít không gian, ngày sau mạnh mẽ sau đó mới trở lại, nhưng nếu như phải làm Khương Hiên lời của lão sư, như vậy tới thiếu một đoạn thời gian là không thể rời đi thành Lang Tà.

	Lâm Phong có chút khó xử, mình cần dùng Tê Dương Thai tới ngưng luyện mình hỗn độn thân thể, đem hỗn độn thân thể năng lực hoàn toàn phát huy được, nhưng cũng không muốn ở lại thành Lang Tà.

	Lâm vào tình cảnh lưỡng nan.

	"Ai, ta trước hay là về ngủ, anh Lâm Phong, tạm biệt nha" .

	Cái này đứa nhỏ liền lão sư cũng không gọi, rõ ràng cho thấy chắc chắn liền Lâm Phong nhất định sẽ đáp ứng hắn yêu cầu, cho nên hắn vậy dùng tới lạt mềm buộc chặt đo lường.

	Lâm Phong đứng tại chỗ sờ lỗ mũi cười khổ, cái này đứa nhỏ lúc nào cũng biết dùng mưu kế à!

	"Thật là phí đầu óc à!" .Chương 683: Ngươi nít ranh Khương Hiên! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Lang Tà, Lâm Phong chuyện này. . ." .

	Tổ Địch sắc mặt lão nhân có chút phức tạp nặng nề nhìn Lang Tà thần tôn, muốn nói gì, nhưng còn chưa có nói xong liền bị Lang Tà thần tôn lấy tay cắt đứt, hắn liếc mắt Lâm Phong sau đó hướng về phía Tổ Địch lão nhân nói: "Hắn sự việc, ngươi ta đều không thể dính vào" .

	"Tại sao?" Tổ Địch lão giả sắc mặt có chút khó hiểu cùng kinh ngạc, không hiểu Lang Tà thần tôn lời nói ý.

	Lâm Phong nhưng là từ Lang Tà thần tôn nếu nghe được một tia thứ khác, nhưng lại không xác định.

	"Ngươi cảm thấy Lâm Phong dựa vào mình có thể hay không giải quyết chuyện này?" Lang Tà thần tôn tiếp tục trầm giọng hỏi Tổ Địch lão giả.

	Tổ Địch lão giả lắc đầu một cái, hắn phải chuyện thật cầu đúng vậy trả lời, ông già ánh mắt có chút phức tạp nói: "Không thể, có Tử Điến cái đó lão già kia ở đây, Lâm Phong không thể nào giải quyết" .

	"Không sai, chỉ cần Tử Điến thần tôn che chở Phục Tô Dung, Lâm Phong trả thù kế hoạch liền không cách nào thực hiện, cho nên ta mới nói ngươi ta cũng không cần để ý" .

	"Có thể là đại ca, ngươi liền có thể nhịn được khẩu khí này?" Tổ Địch lão giả nghe Lang Tà thần tôn mà nói, trong lòng hết sức không cam lòng, không nhịn được lại uống lên tiếng hỏi ngược lại Lang Tà thần tôn.

	Lang Tà thần tôn cười khổ một tiếng, lắc đầu nói: "Nếu không ngươi có thể làm sao? Giết Tử Điến thần tôn? Thành Lang Tà có bốn lớn thượng vị thần tôn, đây đã là trời cao ban ơn, đây cũng là thành Lang Tà có thể bình an vô sự nguyên nhân, ngươi chẳng lẽ muốn Khương Dịch Thiên cùng Khương Dịch Trạch hai anh em, hơn nữa anh cả ngươi ta, chúng ta ba cái đi giết Tử Điến thần tôn?"

	"Ngươi không phải không biết Tử Điến thần tôn thực lực, hắn cùng ta xấp xỉ, nếu như giết hắn, đối với thành Lang Tà mà nói, đó chính là tự đoạn một cánh tay ngươi hiểu không?"

	"Ta không thể nào bởi vì là Lâm Phong sự việc mà đi giết Tử Điến thần tôn, trợ giúp Lâm Phong trả thù, cái này không thực tế, ta phải là thành Lang Tà cân nhắc, vậy phải là chúng ta Khương gia cân nhắc, Tổ Địch, một điểm này ngươi hiểu không?"

	Lang Tà thần tôn giọng ngưng trọng là Tổ Địch lão giả lặp đi lặp lại giải thích, đem ở giữa chỗ hiểm tất cả đều nói ra, đối với lần này Tổ Địch lão giả phản bác không ra một câu nói, hắn biết Lang Tà thần tôn những lời này đều là thật, hơn nữa thành Lang Tà không thể nào mất đi một cái thượng vị thần tôn, cái này cùng tự đoạn một cánh tay không có bất kỳ khác biệt.

	Tổ Địch cụ già dáng vẻ tỏ ra có chút thất lạc, nhìn về phía Lâm Phong ánh mắt hơn phân nửa có chút phức tạp và áy náy,

	Lâm Phong đối với lần này ngược lại là tương đối thấy mở, mình không khỏi không thừa nhận Lang Tà thần tôn làm không sai, suy tính vậy rất chu đáo, bọn họ không thể nào bởi vì là mình liền giết Tử Điến thần tôn.

	Dù là mình sâu Khương Hiên thích cùng lệ thuộc vào.

	Lâm Phong bắt đầu hoài niệm cùng nữ nhân mình yêu thích cửa song túc song tê cuộc sống, không cần xem sắc mặt của người khác, vậy không cần cân nhắc vấn đề an toàn, như vậy cuộc sống nên có hạnh phúc dường nào?

	Nhưng mà thực tế thì tàn khốc, nếu như mình không có đạt tới người mạnh nhất, cuối cùng có một ngày là sẽ bị người phát hiện, thế ngoại Đào Nguyên cũng sẽ bị người một đêm bây giờ phá xấu xa, hạnh phúc sinh hoạt có thể sẽ biến thành ác mộng, Lâm Phong không muốn nhìn thấy nữ nhân mình yêu thích và người thân cửa một đêm bây giờ rời đi mình, bị người đánh chết.

	Cho nên Lâm Phong cứng rắn muốn chống to lớn áp lực cùng chết, cũng phải để cho mình trở nên mạnh nhất, đạt tới mạnh nhất người kia mới có thể bảo vệ nữ nhân mình yêu thích cửa.

	Nhưng mà đi qua Vĩnh Hằng quốc độ một nhóm, Lâm Phong mới thật sự cảm thấy, bình thường mình đi tới chỗ nào cũng thuận buồm xuôi gió tình huống đã biến mất, mình bây giờ vô luận tới chỗ nào cũng biết đụng vách tường, cũng biết bị ngược, cũng biết bị dạy bảo, cũng biết thừa nhận làm nhục cùng không cam lòng, một điểm này không cách nào thay đổi.

	Làm thói quen đỉnh cấp người, ngài chúa tể, bây giờ Lâm Phong phải thích ứng cuộc sống bây giờ, ưu thế này đã một chút xíu bị tiêu diệt, thậm chí bắt đầu chuyển đổi thành là hoàn cảnh xấu.

	Phục Tô Dung có thể giết, Lâm Phong mình thực lực đủ để giết Phục Tô Vinh, mình giận dữ lúc dựa vào kiếm tổ địch có thể cùng Ngôn Chấn cái này thượng vị thần tôn chống lại, thì như thế nào không giết được một cái trung vị thần tôn Phục Tô Vinh? Như vậy mà đối phương có bối cảnh, Tử Điến thần tôn, lão quái vật cấp cường giả khác.

	Lần này không có cách nào, Lâm Phong biết rõ Phục Tô Dung không thể nào giết chết, tối thiểu bây giờ là không thể làm gì, trừ phi có một ngày Tử Điến thần tôn chết, hay hoặc là Phục Tô Dung chọc giận Tử Điến thần tôn, để cho người sau lại nữa che chở Phục Tô Dung, nhưng cái này tỷ lệ tương đối nhỏ.

	Lâm Phong bắt đầu lâm vào trầm tư trong, là có nên hay không buông tha là Thiên Cơ lão nhân cùng nhiều như vậy chết đi Cửu Tiêu cường giả báo thù chấp niệm? Có phải hay không hẳn mặc cho Phục Tô Dung phách lối ngông cuồng? Có phải hay không mặc cho mình tiếp tục như vậy sa đọa đi xuống? Bị người khi dễ?

	Cái này câu trả lời là phủ định, Lâm Phong biết rõ mình nhân vật, cũng biết trong lòng mình chấp niệm, nếu như buông tha mà nói, như vậy Lâm Phong cơ hồ có thể tuyên cáo xông Vĩnh Hằng quốc độ thất bại, trực tiếp áo não tỉnh hồn lục tốt lắm, ngoan ngoãn làm một cái Thần lục ngài chúa tể.

	Lâm Phong không cần người khác che chở, tự mình một người giống vậy có thể có quật khởi một ngày, mặc dù đây là ở giữa có chút dài, nhưng mà Lâm Phong có thể chờ, Lâm Phong có thể nhịn hổ thẹn mang nặng, giống như Lang Tà thần tôn dạy bảo mình vậy, nhẫn nại.

	Phòng rộng rãi Lâm Phong nghĩ thông suốt, nhất thời cảm giác trong lòng đè ép mấy trăm ngàn đá lớn tất cả đều bị nghiền, Lâm Phong một mực ưu buồn sắc mặt trở nên nụ cười tăng nhiều, hai tròng mắt chỗ sâu lo lắng vậy biến mất, ánh mắt bắt đầu gia tăng ánh sáng.

	Tổ Địch cùng Lang Tà thần tôn tất cả đều nhìn Lâm Phong, cái này đột nhiên biến hóa mặc dù rất nhỏ, nhưng là rất kỹ càng chu đáo, để cho hai cái ông già cũng có thể rõ ràng cảm giác được Lâm Phong trong lòng chất chứa đồ đều biến mất hết, mưa qua trời trong.

	"Đa tạ hai vị tiền bối chỉ điểm, ta, rõ ràng liền" . Lâm Phong đem Khương Hiên ôm tới đất lên, sau đó ôm chặt hai quả đấm nặng nề hướng về phía hai cái ông già thi lễ một cái, nụ cười trên mặt phá lệ sáng chói.

	Lâm Phong thi lễ ngược lại để cho Lang Tà thần tôn sắc mặt có chút không nén giận được, hắn không có chỉ giáo cái gì, ngược lại hắn nói đều là ích kỷ mà nói, một vị cân nhắc thành Lang Tà cùng Khương gia tộc người an nguy, từ đó lo lắng Lâm Phong, lại để cho Lâm Phong trong lòng áp lực tiêu trừ, hắn thấy thẹn với.

	Tổ Địch lão giả giống như vậy, hắn cảm giác được mình thân là Lâm Phong vũ khí trong tay, lại không giúp được Lâm Phong một tia một chút nào, mặt chỉ cảm thấy cháy sạch hoảng.

	"Không muốn hành lễ, chúng ta đảm đương không nổi" . Tổ Địch lão giả biểu tình khổ sở lắc đầu hướng về phía Lâm Phong quát lên.

	"Hai vị tiền bối quyết định không có sai, đổi lại là ta cũng sẽ làm như vậy, không thể nào bởi vì là một cái hạ vị thần tôn mà đi giết thượng vị thần tôn, cái này căn bản không thực tế" .

	" Ừ, ngươi rõ ràng là tốt, chúng ta trong lòng cảm giác áy náy sẽ ít một chút" . Lang Tà thần tôn gặp Lâm Phong như vậy thông cảm bọn họ, không kiềm được sắc mặt mừng rỡ, vội vàng hướng Lâm Phong ôm quyền vừa nói.

	Đồng thời hắn đối với Lâm Phong vậy bắt đầu nhìn với cặp mắt khác xưa, thằng nhóc này quả nhiên không đơn giản à, coi như tạm thời bị làm nhục cùng ủy khuất, nhưng cũng không có nghĩa là ngày sau cũng biết như vậy oa oa nang nang còn sống, tất nhiên sẽ sống rả rích tung.

	"Anh cả, ta đã đáp ứng Lâm Phong, để cho hắn đi Tê Dương Thai" . Tổ Địch lão giả xem tới nơi này, bỗng nhiên nghĩ tới đã từng đối với Lâm Phong đã nói, hắn để cho Lâm Phong tới thành Lang Tà, mục đích là vì Tê Dương Thai, bây giờ thời cơ cũng không sai biệt lắm, chính là đối với Lang Tà thần tôn nói ra.

	Lâm Phong liếc nhìn Tổ Địch cụ già, trên mặt mặc dù không có biểu tình gì, trong lòng nhưng là cảm kích ông lão, bỏ mặc nói thế nào cụ già không có quên tự mình tới thành Lang Tà mục đích là cái gì.

	Lang Tà thần tôn khẽ nhíu mày dậy, nhìn Tổ Địch lão giả, lại nhìn hi vọng Lâm Phong, không nhịn được bật cười nói: " Được a, ta nói 2 người các ngươi làm sao có thể chủ động tới thành Lang Tà, nguyên lai hết thảy đều có dự mưu à" .

	"Em trai, đây chính là ngươi không đúng, ngươi làm sao có thể đem nhà mình thánh địa tu luyện để lộ ra ngoài vậy?" Lang Tà thần tôn không phải tức giận trợn mắt nhìn Tổ Địch cụ già quát lên, như vậy thật ra thì không có nhiều ít tức giận ở trên mặt, có thể nhìn ra, Lang Tà thần tôn cũng không thèm để ý Lâm Phong đi Tê Dương Thai.

	"Cháu nhỏ, ngươi già sư phải đi Tê Dương Thai tu luyện, chuyện này giao cho ngươi nha, ông nội bỏ mặc" .

	Lang Tà thần tôn đột nhiên nhìn về phía một mực không nói gì Khương Hiên, trên khuôn mặt già nua nhiều một tia ý vị sâu xa nụ cười, Khương Hiên nghe ông nội nói, rất nhanh liền phản ứng lại, đều nói ngươi nít ranh, đúng là không giả.

	Lang Tà thần tôn cứng rắn kéo Tổ Địch lão giả đi nói chuyện cũ, 2 anh em đã ước chừng một trăm ngàn năm không có gặp mặt, cần tăng tiến một chút tình cảm, cho dù là anh em ruột cũng cần tăng tiến cảm tình, nếu không thì sẽ không thạo.

	Tổ Địch cụ già không có cách nào, chỉ có thể là tạm thời thu hồi kiếm tổ địch, bởi vì là không có hắn cái này kiếm tổ chi hồn kiếm tổ địch, cùng thông thường thần tôn khí không có bất kỳ khác biệt, đối với Lâm Phong vô dụng.

	Hai cái ông già rời đi nơi này, lưu lại chỉ có một lớn một nhỏ Lâm Phong cùng Khương Hiên.

	Lâm Phong tựa hồ rõ ràng liền mình muốn đi Tê Dương Thai tựa hồ cần Khương Hiên đáp ứng, không kiềm được cười khổ một tiếng, nguyên lai sự việc chỉ đơn giản như vậy? Thành Lang Tà mấu chốt nhất thánh địa tu luyện lại do Khương Hiên nói coi là?

	"Cái đó, đứa nhỏ à. . ." .

	Lâm Phong lúng túng sờ một cái lỗ mũi, nhìn về phía dưới người Khương Hiên, không tốt lắm ý tứ cầu cái này đứa nhỏ.

	Bất quá Lâm Phong yêu cầu còn cũng không có nói ra, Khương Hiên trên khuôn mặt nhỏ nhắn đột nhiên nhiều một ít vẻ mệt mỏi, đứa nhỏ chống cằm buồn bực thở dài nói: "Ai, mệt chết đi được, ta muốn nghỉ ngơi" .

	Lâm Phong: ". . ." .

	"Đứa nhỏ, anh Lâm Phong lãnh địa ngươi đi chơi, có được hay không?"

	Lâm Phong một mặt hắc tuyến, nhưng mà vậy chỉ có thể nhịn trong lòng 'Tức giận', bắt đầu chọc cười dẫn Khương Hiên lên làm.

	Nhưng mà Khương Hiên rõ ràng cho thấy ngươi nít ranh, hơn nữa đầy đủ không tốt, nếu không không thể nào hãm hại liền hơn mười cái lão sư, hắn muốn là tức giận sẽ chết người, dĩ nhiên hắn nếu như chẳng qua là bướng bỉnh muốn đùa bỡn người, giống như Lâm Phong như vậy.

	Khương Hiên chống cằm, trên mặt không đánh nổi tinh thần thở dài nói: "Ta còn không có lão sư dạy ta, không muốn chơi" .

	Lâm Phong nhất thời rõ ràng, cái này đứa nhỏ một mực đang đánh mình chủ ý, lời này rõ ràng cho thấy muốn mình đồng ý làm hắn lão sư, nếu không hết thảy các thứ này không bàn nữa.

	Nhưng mà Lâm Phong đã suy tính rất rõ ràng, không muốn lưu ở thành Lang Tà, nếu trả thù không đạt tới, như vậy thì cần phải rời đi nơi này xa xa, cho mình lưu một ít không gian, ngày sau mạnh mẽ sau đó mới trở lại, nhưng nếu như phải làm Khương Hiên lời của lão sư, như vậy tới thiếu một đoạn thời gian là không thể rời đi thành Lang Tà.

	Lâm Phong có chút khó xử, mình cần dùng Tê Dương Thai tới ngưng luyện mình hỗn độn thân thể, đem hỗn độn thân thể năng lực hoàn toàn phát huy được, nhưng cũng không muốn ở lại thành Lang Tà.

	Lâm vào tình cảnh lưỡng nan.

