Chương 765: Bắt đầu trả thù! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Lâm Phong, cùng chúng ta đi" .
	Hai người đàn ông sắc mặt bỗng nhiên đại biến, nhất là nghe được Lâm Phong suy đoán là thật sau đó, sắc mặt lại là nổi lên vẻ bối rối, cho nên hai người đàn ông chính là dùng hết toàn lực chuẩn bị đem Lâm Phong đẩy vào trong cốc, chỉ cần Lâm Phong vào Tuyệt Quang cốc, cả đời này cũng đừng nghĩ ở trên cao tới.

	Nhưng mà hai cái hạ vị thần tôn đệ tử, như thế nào có thể đem Lâm Phong đẩy vào trong cốc? Coi như Lâm Phong bị phong ấn pháp lực cùng nguyên khí, bị xiềng chân còng lại, nhưng là muốn tính toán Lâm Phong, vẫn là non nớt một chút, hoặc là hẳn như thế nói, Kim Luân thần tôn chỉ phái ra hai người đệ tử, cái này khó tránh khỏi tỏ ra có chút kiêu ngạo cùng tự đại.

	"Xem ra, ta rất lâu không giết người, cho tới thật là nhiều người đều quên ta?" Lâm Phong hí ngược nỉ non một tiếng, khóe miệng hơi dâng lên một tia độ cong, kẽo kẹt hai tiếng, ừng ực, hai cây máu dầm dề đầu người cút trên đất, trên đầu mắt mở thật to, còn duy trì rung động cùng không thể tin thần sắc.

	Nhưng mà bọn họ đã bị Lâm Phong cường lực dưới bẻ gãy đầu lâu, Lâm Phong sâu hô giọng, cúi đầu xuống liếc nhìn dưới chân bị buộc lại dù sao cũng cân xiềng chân, trên mặt lại là lộ ra mãnh liệt châm chọc nụ cười.

	"Để cho ngươi đi theo ta ma luyện lâu như vậy, đem ta khí lực cùng sức chịu đựng cũng tăng cường rất nhiều, cám ơn ngươi, chỉ tiếc, bây giờ ta chưa dùng tới ngươi" . Lâm Phong nụ cười đang nồng hướng về phía xiềng chân nỉ non một tiếng, ngay sau đó chậm rãi đưa tay thả ở sau lưng, cầm chặt kiếm tổ địch, chậm rãi rút ra kiếm tổ địch.

	Ông minh thanh truyền khắp toàn bộ Tuyệt Quang cốc trong ngoài, kiếm tổ chi hồn hơi thở bung ra, Lâm Phong phách hô lên thanh, một kiếm rơi thẳng xiềng chân chính giữa ở giữa, chỉ nghe rắc rắc một tiếng ô thiết thanh âm tan vỡ, tiếp đó Lâm Phong một bước bước ra, lần nữa thu được tự do.

	"Thành Kim Luân người, sẽ không nghĩ tới sau lưng ta thanh kiếm này là kiếm tổ địch, Tà thần tôn lại cũng không có cùng bọn họ nói? Không có lấy đi ta kiếm tổ địch, ha ha" .

	Lâm Phong đứng ở trên không, quan sát cái này Ngũ Tuyệt cốc, trên mặt lộ ra hí ngược ý.

	"Kim Luân thần tôn, muốn đem ta nhốt vào Tuyệt Quang cốc, sau đó thần không biết quỷ không hay xử tử ta, ha ha, ngươi biện pháp không tệ, chỉ tiếc ngươi tìm lộn người!" .

	"Lão đồng nghiệp, bây giờ nên là ngươi đùa giỡn một chút uy phong lúc" . Lâm Phong toét miệng cười một tiếng, rồi sau đó đem vũ hồn thế giới cửa mở ra, chỉ nghe một tiếng nổ vang lớn, ngay sau đó mà đến chính là ma thú tiếng gầm nhỏ, hỗn độn thú ừ đạt thân thể từ Lâm Phong trong cơ thể thoát ra, xuất hiện ở đây Tuyệt Quang cốc phía trên.

	"Hống hống!" . Hỗn độn thú nhìn về phía Lâm Phong phát ra tiếng gầm nhỏ, thanh âm mang hưng phấn cùng kích động, còn có hồi lâu đều không từng xuất hiện qua cảm giác nhiệt huyết sôi trào, suy nghĩ hắn ngày xưa đi theo Tán Tôn ngang dọc tứ phương một màn, hôm nay liền muốn lại lần nữa ôn lại một chút.

	"Lão đồng nghiệp, chu vi ngàn dặm bên trong, ta không hy vọng khi nhìn đến bất kỳ thần tôn trở lên cường giả, ngươi rõ ràng nên làm như thế nào chứ ?" Lâm Phong toét miệng nanh cười ra tiếng, sát cơ trên mặt cực kỳ kinh khủng, Tuyệt Quang cốc bên trong tất cả tù phạm tất cả đều đánh hơi được như vậy khủng bố cho tới làm người ta tuyệt vọng sát khí.

	Hỗn độn thú rõ ràng Lâm Phong ý, nhất thời ngửa mặt lên trời gầm thét, tám chỉ móng nhanh chóng di chuyển chớp mắt bây giờ liền biến mất ở Lâm Phong trong tầm mắt, mà xa xa chỉ có thể nhìn được huyết quang nổi lên, tràn ngập sát cơ.

	Lâm Phong khóe miệng dâng lên một tia lạnh lùng độ cong, mình biết, thành Kim Luân lập tức phải lại lần nữa gặp một lần đại nạn, hơn nữa lần này đại nạn có thể so với chết mấy chục thần tôn muốn kinh khủng nhiều.

	"Ha ha, bị nhốt hơn nửa tháng, cũng nên để cho Kim Luân thần tôn biết một chút, đem ta làm tù nhân hậu quả chứ ? Ngươi nói thế nào, Tổ Địch tiền bối?" Lâm Phong vừa nói, liếc nhìn nắm trong tay kiếm tổ địch.

	Thanh âm ông ông truyền ra, kiếm tổ địch đồng ý Lâm Phong ý, Lâm Phong biết tiếp theo, chuyện đùa liền muốn bắt đầu, bởi vì là giết hại, tới.

	"Tuyệt Quang cốc, không nên tống giam nhiều như vậy phạm nhân" . Lâm Phong nhìn về phía dưới chân một mảnh đen nhánh Tuyệt Quang cốc, lan tràn tử khí Tuyệt Vọng cốc làm Lâm Phong không thích.

	Bỗng nhiên ở giữa Lâm Phong một kiếm vung ra, từ kiếm tổ địch trên nhảy ra một đạo màu xanh lưỡi kiếm ánh sáng, dẫu có dù sao cũng mét, ở trên bầu trời kiếm quang cùng chân trời hóa thành một cái tuyến, oanh oanh vang lớn, toàn bộ Tuyệt Quang cốc bị Lâm Phong một kiếm chặt đứt, vô số đá lớn sụp đổ xuống, đất đai bắt đầu đung đưa.

	Tuyệt Quang cốc phá hủy, bị Lâm Phong một kiếm chém đứt sống lưng, chặt đứt có thể chú ý tất cả mọi người trận pháp, kiếm tổ địch cường hãn, không gì sánh kịp.

	Nháy mắt tức thì vô số bóng đen từ Tuyệt Quang cốc bên trong tung người bay ra, những thứ này đều là bị nhốt ở chỗ này phạm nhân, Lâm Phong đếm đủ có hơn mấy trăm người, mỗi một người cơ hồ đều là thần tôn cấp cường giả khác, hơn nữa cùng thành Kim Luân có thù không đợi trời chung.

	Cái gọi là địch nhân kẻ địch liền là bạn, như vậy những tù phạm này, căn bản không cần Lâm Phong nói chuyện, liền sẽ đối phó thành Kim Luân.

	"Các anh em, Kim Luân lão nhi khi dễ chúng ta mấy ngàn năm, lần này chúng ta sẽ làm cho hắn thành Kim Luân nợ máu trả bằng máu!" . Cả người phi màu vàng trường bào cụ già gầm thét lên tiếng, nắm quả đấm phát ra kẽo kẹt tiếng vang, dường như nhảy trời cao, chạy thành Kim Luân đám người dày đặc khu bay đi, hắn đi theo phía sau tất cả đều là Tuyệt Quang cốc phạm nhân.

	Lâm Phong trên mặt cực kỳ rực rỡ, lần này mình muốn Kim Luân thần tôn xem một chút, rốt cuộc là âm mưu của hắn lợi hại, vẫn là mình phen này đại náo càng có thể muốn mạng hắn!

	Lâm Phong chạy Đông Phương bay lên, tốc độ tăng lên tới nhanh nhất, mặc dù vẫn là không có bỏ phong tỏa nguyên khí, có thể là có Tổ Địch lão giả giúp đỡ, Lâm Phong thực lực chỉ so với trước đó yếu đi một thành mà thôi.

	Không ra bao lâu, Lâm Phong xuất hiện ở Tuyệt Thủy cốc, không nói hai lời, một kiếm chặt xuống, một đạo lưỡi kiếm giống như một cái rồng khổng lồ nặng nề đập vào Tuyệt Thủy cốc trên, oanh oanh vang lớn, Tuyệt Thủy cốc phá hủy, xấp xỉ một ngàn người tù nhân tất cả đều bay ra ngoài, dật tán bốn phương.

	Lâm Phong tiếp theo xuất hiện ở Tuyệt Vọng cốc bầu trời, nhìn địa phương quen thuộc này, Lâm Phong có lòng cảm khái còn có tức giận, mình một lần kia ảo cảnh suýt nữa để cho mình chết, như vậy lần này cũng không nên tiếp tục để cho Tuyệt Vọng cốc tồn tại.

	"Tiêu Thiên, ta phương các người đi ra ngoài, còn dư lại liền xem các ngươi" . Lâm Phong nhìn xuống trong cốc, gầm thét lên tiếng, một kiếm vung ra chặt đứt Tuyệt Vọng cốc.

	Tuyệt Vọng cốc sụp đổ!Chương 765: Bắt đầu trả thù! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Lâm Phong, cùng chúng ta đi" .

	Lâm Phong từ Trần Quang Vũ nơi đó rời đi không bao lâu, còn chưa cùng trở lại Tuyệt Vọng cốc, từ ngoài cốc lại xuất hiện hai cái người đàn ông áo đen, cản lại Lâm Phong đi về phía trước đường.

	"Các người là người nào?" Phụ trách hộ tống Lâm Phong trở về mấy người đệ tử sắc mặt có chút không tốt, bọn họ bị Trần Quang Vũ phân phó, nhất định phải không sanh sự bưng đem Lâm Phong đưa vào Tuyệt Vọng cốc, nếu không thì là bọn họ không làm tròn bổn phận.

	"À, chúng ta là thành Kim Luân đệ tử, đem Lâm Phong giao cho chúng ta là được" . Hai người đàn ông hai mắt nhìn nhau một cái, trong lòng bắt đầu cẩn thận, đối phương cũng không phải là thành Kim Luân đệ tử, mà là tùy thân đi theo Trần Quang Vũ thủ hạ, đối với Trần Quang Vũ, bọn họ không dám có bất kỳ không tôn kính.

	Hơn nữa trước khi tới, bọn họ nhận được đặc biệt ra lệnh, phàm là gặp phải Trần Quang Vũ thủ hạ, nhất định không thể dùng thủ đoạn cứng rắn, phải dùng mưu trí đem bọn họ lừa gạt đi, nếu như không làm như vậy, cưỡng ép mang đi Lâm Phong, như vậy mấy cái này Trần Quang Vũ thủ hạ trở về sau đó nhất định sẽ hướng Trần Quang Vũ báo cáo, như vậy Kim Luân thần tôn động tác nhỏ liền làm sao.

	Cho nên hai người đàn ông đối với những thủ hạ này trong thái độ hết sức tôn kính, hơn nữa giọng vô cùng nhu hòa, sợ bị nhìn ra một chút không đúng đầu mối.

	Phụ trách hộ tống Lâm Phong mấy tên thủ hạ trố mắt nhìn nhau, rồi sau đó kinh ngạc lên tiếng hỏi: "Thành Kim Luân đệ tử? Có chuyện?"

	"À, là như vầy, bởi vì là Lâm Phong đã vượt qua Tuyệt Vọng cốc đóng một cái, cho nên chúng ta sẽ gặp đem hắn mang tới Tuyệt Thủy cốc, đợi ba ngày sau, chúng ta tự nhiên sẽ thả người" . Hai người đệ tử là trả lời như vậy, mấy tên thủ hạ nghe như vậy trả lời, đầu tiên là do dự chốc lát.

	"Các người trở về đi thôi, không cần phải để ý đến ta" . Lâm Phong liếc nhìn sau lưng mấy cái Trần Quang Vũ thủ hạ, trầm giọng quát lên, mấy người trầm tư chốc lát lúc này mới gật đầu một cái, yên lòng đem Lâm Phong giao cho cái này hai người đệ tử.

	"Đi thôi" . Hai cái thành Kim Luân đệ tử nhận lấy Lâm Phong, nhìn mấy tên thủ hạ dần dần cách xa cốc khẩu, lúc này mới yên lòng, xoay đầu lại, hai người đệ tử sắc mặt nhất thời trở nên lạnh lùng hết sức.

	"Đi thôi, Lâm Phong, cùng chúng ta đi Tuyệt Quang cốc" . Chàng trai cầm đầu cười lạnh một tiếng, đẩy Lâm Phong một chút, Lâm Phong đi ở phía trước, nghe được chàng trai tiếng quát, trong lòng nhất thời căng thẳng, cùng lúc đó Lâm Phong cũng nghĩ đến cái này mờ ám trong đó, không nhịn được cười lạnh.

	Lâm Phong cũng không có lên tiếng, mà là rất bình tĩnh theo con đường núi này đi về phía trước, hai người đệ tử liền ở sau lưng phụ trách đặt giải trừ, đại khái 10 phút sau này, Lâm Phong đi tới một cái so sánh xa lạ thung lũng, thung lũng này một mảnh đen nhánh, đưa tay không thấy được năm ngón đen nhánh.

	"Vào đi thôi" . Sau lưng hai người đàn ông trầm hát lên tiếng, ánh mắt lạnh lùng nhìn Lâm Phong.

	Lâm Phong liếc mắt dưới chân vạn trượng thung lũng không gặp đáy cốc, lại là trước đó chưa từng có đen nhánh một mảnh, Lâm Phong chân mày nhỏ chọn, cười hỏi: "Đây chính là Tuyệt Quang cốc?"

	"Không sai, chính là Tuyệt Quang cốc" . Hai người không nhịn được gật đầu một cái, hướng về phía Lâm Phong quát ra thanh.

	"Các người mới vừa cùng bọn họ nói, phải đem ta mang tới Tuyệt Thủy cốc, bây giờ vì sao là Tuyệt Quang cốc? Trong này rốt cuộc có âm mưu gì?" Lâm Phong toét miệng cười một tiếng, trên mặt nhiều hơn rất nhiều nụ cười sáng lạng, nhưng ánh mắt chỗ sâu đã càng ngày càng âm trầm.

	Đến lúc này kẻ ngu cũng có thể phát hiện cái này thành Kim Luân rất có thể sẽ đối mình chân chính ra tay, muốn ở bên trong ba ngày giết mình, diệt trừ mối họa, chỉ có như vậy mới có thể giữ được thành Kim Luân mặt mũi cùng tôn nghiêm, cái này cũng phải là Kim Luân thần tôn chủ ý.

	Hai người đàn ông sắc mặt bỗng nhiên đại biến, nhất là nghe được Lâm Phong suy đoán là thật sau đó, sắc mặt lại là nổi lên vẻ bối rối, cho nên hai người đàn ông chính là dùng hết toàn lực chuẩn bị đem Lâm Phong đẩy vào trong cốc, chỉ cần Lâm Phong vào Tuyệt Quang cốc, cả đời này cũng đừng nghĩ ở trên cao tới.

	Nhưng mà hai cái hạ vị thần tôn đệ tử, như thế nào có thể đem Lâm Phong đẩy vào trong cốc? Coi như Lâm Phong bị phong ấn pháp lực cùng nguyên khí, bị xiềng chân còng lại, nhưng là muốn tính toán Lâm Phong, vẫn là non nớt một chút, hoặc là hẳn như thế nói, Kim Luân thần tôn chỉ phái ra hai người đệ tử, cái này khó tránh khỏi tỏ ra có chút kiêu ngạo cùng tự đại.

	"Xem ra, ta rất lâu không giết người, cho tới thật là nhiều người đều quên ta?" Lâm Phong hí ngược nỉ non một tiếng, khóe miệng hơi dâng lên một tia độ cong, kẽo kẹt hai tiếng, ừng ực, hai cây máu dầm dề đầu người cút trên đất, trên đầu mắt mở thật to, còn duy trì rung động cùng không thể tin thần sắc.

	Nhưng mà bọn họ đã bị Lâm Phong cường lực dưới bẻ gãy đầu lâu, Lâm Phong sâu hô giọng, cúi đầu xuống liếc nhìn dưới chân bị buộc lại dù sao cũng cân xiềng chân, trên mặt lại là lộ ra mãnh liệt châm chọc nụ cười.

	"Để cho ngươi đi theo ta ma luyện lâu như vậy, đem ta khí lực cùng sức chịu đựng cũng tăng cường rất nhiều, cám ơn ngươi, chỉ tiếc, bây giờ ta chưa dùng tới ngươi" . Lâm Phong nụ cười đang nồng hướng về phía xiềng chân nỉ non một tiếng, ngay sau đó chậm rãi đưa tay thả ở sau lưng, cầm chặt kiếm tổ địch, chậm rãi rút ra kiếm tổ địch.

	Ông minh thanh truyền khắp toàn bộ Tuyệt Quang cốc trong ngoài, kiếm tổ chi hồn hơi thở bung ra, Lâm Phong phách hô lên thanh, một kiếm rơi thẳng xiềng chân chính giữa ở giữa, chỉ nghe rắc rắc một tiếng ô thiết thanh âm tan vỡ, tiếp đó Lâm Phong một bước bước ra, lần nữa thu được tự do.

	"Thành Kim Luân người, sẽ không nghĩ tới sau lưng ta thanh kiếm này là kiếm tổ địch, Tà thần tôn lại cũng không có cùng bọn họ nói? Không có lấy đi ta kiếm tổ địch, ha ha" .

	Lâm Phong đứng ở trên không, quan sát cái này Ngũ Tuyệt cốc, trên mặt lộ ra hí ngược ý.

	"Kim Luân thần tôn, muốn đem ta nhốt vào Tuyệt Quang cốc, sau đó thần không biết quỷ không hay xử tử ta, ha ha, ngươi biện pháp không tệ, chỉ tiếc ngươi tìm lộn người!" .

	"Lão đồng nghiệp, bây giờ nên là ngươi đùa giỡn một chút uy phong lúc" . Lâm Phong toét miệng cười một tiếng, rồi sau đó đem vũ hồn thế giới cửa mở ra, chỉ nghe một tiếng nổ vang lớn, ngay sau đó mà đến chính là ma thú tiếng gầm nhỏ, hỗn độn thú ừ đạt thân thể từ Lâm Phong trong cơ thể thoát ra, xuất hiện ở đây Tuyệt Quang cốc phía trên.

	"Hống hống!" . Hỗn độn thú nhìn về phía Lâm Phong phát ra tiếng gầm nhỏ, thanh âm mang hưng phấn cùng kích động, còn có hồi lâu đều không từng xuất hiện qua cảm giác nhiệt huyết sôi trào, suy nghĩ hắn ngày xưa đi theo Tán Tôn ngang dọc tứ phương một màn, hôm nay liền muốn lại lần nữa ôn lại một chút.

	"Lão đồng nghiệp, chu vi ngàn dặm bên trong, ta không hy vọng khi nhìn đến bất kỳ thần tôn trở lên cường giả, ngươi rõ ràng nên làm như thế nào chứ ?" Lâm Phong toét miệng nanh cười ra tiếng, sát cơ trên mặt cực kỳ kinh khủng, Tuyệt Quang cốc bên trong tất cả tù phạm tất cả đều đánh hơi được như vậy khủng bố cho tới làm người ta tuyệt vọng sát khí.

	Hỗn độn thú rõ ràng Lâm Phong ý, nhất thời ngửa mặt lên trời gầm thét, tám chỉ móng nhanh chóng di chuyển chớp mắt bây giờ liền biến mất ở Lâm Phong trong tầm mắt, mà xa xa chỉ có thể nhìn được huyết quang nổi lên, tràn ngập sát cơ.

	Lâm Phong khóe miệng dâng lên một tia lạnh lùng độ cong, mình biết, thành Kim Luân lập tức phải lại lần nữa gặp một lần đại nạn, hơn nữa lần này đại nạn có thể so với chết mấy chục thần tôn muốn kinh khủng nhiều.

	"Ha ha, bị nhốt hơn nửa tháng, cũng nên để cho Kim Luân thần tôn biết một chút, đem ta làm tù nhân hậu quả chứ ? Ngươi nói thế nào, Tổ Địch tiền bối?" Lâm Phong vừa nói, liếc nhìn nắm trong tay kiếm tổ địch.

	Thanh âm ông ông truyền ra, kiếm tổ địch đồng ý Lâm Phong ý, Lâm Phong biết tiếp theo, chuyện đùa liền muốn bắt đầu, bởi vì là giết hại, tới.

	"Tuyệt Quang cốc, không nên tống giam nhiều như vậy phạm nhân" . Lâm Phong nhìn về phía dưới chân một mảnh đen nhánh Tuyệt Quang cốc, lan tràn tử khí Tuyệt Vọng cốc làm Lâm Phong không thích.

	Bỗng nhiên ở giữa Lâm Phong một kiếm vung ra, từ kiếm tổ địch trên nhảy ra một đạo màu xanh lưỡi kiếm ánh sáng, dẫu có dù sao cũng mét, ở trên bầu trời kiếm quang cùng chân trời hóa thành một cái tuyến, oanh oanh vang lớn, toàn bộ Tuyệt Quang cốc bị Lâm Phong một kiếm chặt đứt, vô số đá lớn sụp đổ xuống, đất đai bắt đầu đung đưa.

	Tuyệt Quang cốc phá hủy, bị Lâm Phong một kiếm chém đứt sống lưng, chặt đứt có thể chú ý tất cả mọi người trận pháp, kiếm tổ địch cường hãn, không gì sánh kịp.

	Nháy mắt tức thì vô số bóng đen từ Tuyệt Quang cốc bên trong tung người bay ra, những thứ này đều là bị nhốt ở chỗ này phạm nhân, Lâm Phong đếm đủ có hơn mấy trăm người, mỗi một người cơ hồ đều là thần tôn cấp cường giả khác, hơn nữa cùng thành Kim Luân có thù không đợi trời chung.

	Cái gọi là địch nhân kẻ địch liền là bạn, như vậy những tù phạm này, căn bản không cần Lâm Phong nói chuyện, liền sẽ đối phó thành Kim Luân.

	"Các anh em, Kim Luân lão nhi khi dễ chúng ta mấy ngàn năm, lần này chúng ta sẽ làm cho hắn thành Kim Luân nợ máu trả bằng máu!" . Cả người phi màu vàng trường bào cụ già gầm thét lên tiếng, nắm quả đấm phát ra kẽo kẹt tiếng vang, dường như nhảy trời cao, chạy thành Kim Luân đám người dày đặc khu bay đi, hắn đi theo phía sau tất cả đều là Tuyệt Quang cốc phạm nhân.

	Lâm Phong trên mặt cực kỳ rực rỡ, lần này mình muốn Kim Luân thần tôn xem một chút, rốt cuộc là âm mưu của hắn lợi hại, vẫn là mình phen này đại náo càng có thể muốn mạng hắn!

	Lâm Phong chạy Đông Phương bay lên, tốc độ tăng lên tới nhanh nhất, mặc dù vẫn là không có bỏ phong tỏa nguyên khí, có thể là có Tổ Địch lão giả giúp đỡ, Lâm Phong thực lực chỉ so với trước đó yếu đi một thành mà thôi.

	Không ra bao lâu, Lâm Phong xuất hiện ở Tuyệt Thủy cốc, không nói hai lời, một kiếm chặt xuống, một đạo lưỡi kiếm giống như một cái rồng khổng lồ nặng nề đập vào Tuyệt Thủy cốc trên, oanh oanh vang lớn, Tuyệt Thủy cốc phá hủy, xấp xỉ một ngàn người tù nhân tất cả đều bay ra ngoài, dật tán bốn phương.

	Lâm Phong tiếp theo xuất hiện ở Tuyệt Vọng cốc bầu trời, nhìn địa phương quen thuộc này, Lâm Phong có lòng cảm khái còn có tức giận, mình một lần kia ảo cảnh suýt nữa để cho mình chết, như vậy lần này cũng không nên tiếp tục để cho Tuyệt Vọng cốc tồn tại.

	"Tiêu Thiên, ta phương các người đi ra ngoài, còn dư lại liền xem các ngươi" . Lâm Phong nhìn xuống trong cốc, gầm thét lên tiếng, một kiếm vung ra chặt đứt Tuyệt Vọng cốc.

	Tuyệt Vọng cốc sụp đổ!
