Chương 1024: Đính hôn nghi thức bắt đầu! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Lâm công tử, ngươi tới thật là tấu xảo" .
	"Ha ha, có lẽ không thể nào, bất quá không phải còn có ta sao? Ta dù sao cũng là ban đầu một thành viên, ta có thể cho ngươi giải thích rõ" . Sở Xuân Thu lắc đầu một cái, hắn thừa nhận Lâm Phong giải thích Thanh Tâm Nguyệt sẽ không tin tưởng, bất quá hắn Sở Xuân Thu cứu Thanh Tâm Nguyệt, một điểm này người sau là rõ ràng, cho nên hắn có thể là Lâm Phong giải thích rõ.

	"Tốt lắm, đi tiền điện đi, ta không cần giải thích rõ, ta sẽ để cho Thanh Lăng Hiên chính bọn họ nói ra chân tướng, bởi vì làm cái này dễ dàng hơn để cho Thanh Tâm Nguyệt tin tưởng" . Lâm Phong lắc đầu một cái, xoay người lại trực tiếp chạy tiền điện đi tới, cùng này mình giải thích, không bằng Thanh Lăng Hiên tự mình nói ra chân tướng.

	Sở Xuân Thu bỉu môi cười một tiếng, Lâm Phong vẫn không có một chút thay đổi, đổi tự do phóng khoáng cố chấp lúc này thật sự là một chút cũng không hàm hồ.

	Sở Xuân Thu đi theo lên, đi theo Lâm Phong chạy tiền điện đi tới, mà giờ khắc này tiền điện như cũ rơi vào xôn xao trong, càng ngày càng nhiều người đang lo lắng cho môn chủ vì sao còn chưa tới, bây giờ buổi trưa canh ba đều đã đến.

	"Môn chủ đến!" .

	Buổi trưa canh ba đến đồng thời, cao phía dưới đài bỗng nhiên truyền ra một âm thanh điếc tai thanh âm, ngay sau đó tất cả mọi người chính là đều thấy được ăn mặc mũ phượng khăn quàng vai Thanh Tâm Nguyệt ở mấy cái thị nữ và thị vệ cùng đi, từng bước một bước lên nhập trên đài cao.

	Thanh Hư Đoạn thấy Thanh Tâm Nguyệt cuối cùng vẫn phải tới, không kiềm được thở phào nhẹ nhõm, hắn kế hoạch cuối cùng là có thể tiếp tục tiến hành tiếp, chưa đến nỗi trước thời hạn cắt đứt, đính hôn nghi thức có thể mở ra.

	"Bắt đầu đi" . Thanh Tâm Nguyệt mặt không cảm giác hướng về phía phụ trách chủ trì lần này nghi thức ông già quát một tiếng, nhặt lên nàng thật dài màu đỏ tà áo, ngồi ở ngai vàng trên, đặc biệt thuộc về môn chủ vị trí.

	Chủ trì ông già cung kính gật đầu, sau đó xoay người lại, trên mặt chất đầy nụ cười hô: "Ta tuyên bố, đính hôn nghi thức chính thức bắt đầu!"

	Theo chủ trì ông lão một tiếng hô to, Thanh Tâm Nguyệt cùng Thanh Lăng Hiên đính hôn nghi thức rốt cục thì chính thức bắt đầu, hết thảy cũng biết dựa theo nề nếp đường dây tiến hành.

	Thanh Lăng Hiên đứng ở một bên đã sớm không nhịn được kích động trong lòng và vui sướng tình, hận không thể giờ phút này liền xông lên trên đài cao đi dắt Thanh Tâm Nguyệt tay, sau đó ôm Thanh Tâm Nguyệt nhập động phòng, sớm một ngày đem tình vợ chồng làm, để tránh sinh ra sóng gió.

	"Môn chủ làm sao mới đến?" Thanh Hư Đoạn liếc nhìn thị nữ sau lưng, truyền âm hỏi.

	Thị nữ mặt lộ vẻ khó xử, bởi vì là Thanh Tâm Nguyệt đã cảnh cáo nàng không cho phép đem khuê phòng trước một màn nói ra, nhưng Thanh Hư Đoạn áp lực chân thực khủng bố, nàng chỉ là một nho nhỏ thị nữ thôi, như thế nào có thể đủ chống cự Thanh Hư Đoạn, cho nên nàng chỉ có thể nói đi ra.

	Nghe được nguyên do Thanh Hư Đoạn sắc mặt bỗng nhiên đại biến, tim càng là nhanh nhảy lên, Lâm Phong? Tới?

	Thanh Hư Đoạn yên lặng không nói, sau đó hai tròng mắt thật chặt nhìn về phía cao người phía dưới đài nhóm trong, mỗi một người hắn cũng chăm chú nhìn, cuối cùng hắn ánh mắt phong tỏa ở hai cái ăn mặc trường bào màu đen trên người, hắn cơ hồ muốn nghẹt thở.

	Hắn không sợ Lâm Phong, nhưng mà hắn sợ Lâm Phong gây chuyện, đem hắn kế hoạch toàn bộ đánh loạn, vốn là hắn liền trong lòng có thẹn, Lâm Phong không vì bất kỳ chỗ tốt đi ngay Cử cốc cứu người, thậm chí quá giang mình, có thể nói người như vậy, là Thanh Tâm Nguyệt cao nhất bạn lữ, gả cho người như vậy, hắn vậy đồng ý.

	Chẳng qua là kế hoạch xa xa đều không có thay đổi mau, chiến giới sắp mở, Thanh Lăng Triều bổn tôn sắp trở về, cho nên hắn muốn tranh đoạt từng giây đoạt quyền, cho nên không thể không hy sinh Thanh Tâm Nguyệt thậm chí thiếu nợ sau Lâm Phong, cho nên nếu như giờ phút này Lâm Phong xuất hiện gây chuyện nói, tất nhiên sẽ phá xấu xa hắn kế hoạch.

	Đồng thời hắn vừa muốn một vấn đề rất nghiêm trọng, hắn rõ ràng nói với phái Thái Thanh và đế quốc Nhật Quang, không cho phép người bất kỳ đem chuyện này nói ra, vì sao bây giờ Lâm Phong biết?

	Bỗng nhiên, Thanh Hư Đoạn nhìn về phía đối diện trên đại điện râu bạc ông già, cũng chính là Thanh Lăng Triều phân thân, sắc mặt phức tạp.

	Thanh Tâm Nguyệt là hắn kế hoạch lấy ngành, như vậy Thanh Lăng Triều giống vậy cầm Lâm Phong làm kế hoạch một số, dùng để đánh cờ.

	Thanh Hư Đoạn nghĩ tới đây, mồ hôi lạnh trực tiếp làm ướt vạt áo, hôm nay thật sự là như vậy, sợ rằng hôm nay định trước khó mà thiện đoạn.

	"Ta tự mình chủ trì, ngươi đi xuống đi" .

	Thanh Hư Đoạn ngồi không yên cái ghế, trực tiếp cắt dứt chủ trì ông già, ngay sau đó hắn tự mình ra sân, chủ trì lần này đính hôn nghi thức.

	Thanh Hư Đoạn cách làm đưa tới rất nhiều người tiếng hoan hô, Thái thượng môn chủ chủ trì môn chủ hôn sự, đây chính là cực lớn vinh hạnh, đồng thời cũng là phái Thái Thanh một đại thịnh đời.

	Tên này chủ trì ông già không dám chút nào câu oán hận, đàng hoàng lui xuống, đem vị trí nhường cho Thanh Hư Đoạn, Thanh Hư Đoạn đứng ở cao giữa đài, liếc mắt đối diện Thanh Lăng Triều, Thanh Lăng Triều hé miệng cười một tiếng, trong mắt tràn đầy tự tin.

	Mà so sánh với Thanh Lăng Triều dửng dưng, Thanh Hư Đoạn giờ phút này cũng rất nóng nảy, hắn dời đi ánh mắt, sau đó trầm giọng quát lên: "Lần này đính hôn nghi thức chính là chúng ta môn chủ cùng với ta đệ tử Thanh Lăng Hiên giữa hôn sự, cho nên đối với phái Thái Thanh mà nói rất là trọng yếu" .

	"Ở trọng yếu như vậy cuộc sống, cho nên ta không muốn có người bất kỳ đem tin tức này khuếch tán ra, dẫu sao liên quan rằng với phái Thái Thanh hưng suy" .

	"Cho nên, đài cao dưới các người, trở về đi thôi" . Thanh Hư Đoạn nói tới chỗ này, sắc mặt âm trầm, hắn không muốn để cho Lâm Phong phá xấu xa, lại không thể trực tiếp một chút tên Lâm Phong, như vậy há chẳng phải là trực tiếp để cho Lâm Phong bại lộ, cho nên hắn chỉ có thể mượn những người khác đuổi đi Lâm Phong.

	Chẳng qua là hắn nghĩ quá tốt đẹp, lại không nói Lâm Phong có đi hay không, chính là những đệ tử này cũng không muốn đi, nghe hắn nếu sau đó, liền nghị luận lên tiếng không ngừng lải nhải đứng lên, nhưng không có bất kỳ người rời đi cao phía dưới đài.

	Tất cả mọi người đều không rời đi, Thanh Hư Đoạn càng thêm cuống cuồng, mà nhìn Thanh Hư Đoạn cuống cuồng, Thanh Lăng Triều sắc mặt lại rực rỡ đứng lên, tựa hồ khoảng cách thắng lợi lại có một ít chắc chắn.

	"Xin hỏi ngài, tại sao chúng ta đi, đối với phái Thái Thanh an nguy có chỗ tốt? Chúng ta khó khăn mang còn biết hại tông môn sao?"

	"Đúng vậy, Thái thượng môn chủ, ngài có phải hay không có cái gì lo âu?"

	"Không có chuyện gì, Thái thượng môn chủ, chúng ta chỉ lẳng lặng nhìn, tuyệt đối không phá xấu xa, không làm loạn, ngài yên tâm đi" .

	. . .

	Càng ngày càng nhiều đệ tử nói ra, ngược lại là phản tới an ủi Thanh Hư Đoạn không cần quá mức lo âu, cái này làm cho Thanh Hư Đoạn càng thêm khó làm, nhưng mà hắn lại không thể nói tiếp, phá hư đính hôn nghi thức, cũng không phải là điềm tốt.

	"Tốt lắm, vậy cứ như vậy đi, tiếp theo xin mời Thanh Lăng Hiên lên đài" . Thanh Hư Đoạn gật đầu một cái, sau đó mắt nhìn Thanh Lăng Hiên, tỏ ý hắn bắt đầu ra sân, làm làm nhân vật chính sẽ phải bị hắn không chịu thua kém.

	Nếu Lâm Phong đã tới, như vậy Thanh Lăng Hiên nơi này lại không thể yếu đi bất kỳ khí thế, muốn gánh lên cái này cây cờ lớn, muốn cưới Thanh Tâm Nguyệt, không bỏ ra một ít tại sao có thể?

	"Tuân lệnh!" . Thanh Lăng Hiên chó sói quát một tiếng, không ức chế được kích động trong lòng bước nhanh chạy đài cao đi tới, lại không thể quá mức mất đi dáng vẻ, cho nên hắn dùng ngắn nhất thời gian đi lên, lại không hiện lên quá đói khát.

	Đứng ở trên đài cao, Thanh Lăng Hiên nhìn về phía Thanh Tâm Nguyệt nơi đó.

	"Môn chủ, ngươi cũng xuống đi" . Thanh Lăng Hiên hướng về phía Thanh Tâm Nguyệt khoát tay một cái, hơi khẽ khom người bày tỏ đối với môn chủ tôn kính, mà không phải là tôn kính Thanh Tâm Nguyệt.

	Dẫu sao Thanh Tâm Nguyệt là nàng nữ học trò, là vãn bối, hắn tôn kính chẳng qua là môn chủ vị trí này, bởi vì là vị trí này cực kỳ thần thánh không thể xâm phạm.

	Thanh Tâm Nguyệt mặt không cảm giác từ ngai vàng trên đi xuống, một bên thị nữ muốn đỡ, lại bị Thanh Tâm Nguyệt một cái tát đẩy ra, bị sợ thị nữ không dám cử động nữa phân nửa, chỉ có thể dừng tại chỗ.

	Một màn này rất nhiều Thanh Tâm Nguyệt cũng không muốn đính hôn nghi thức, nhất là và Thanh Lăng Hiên.

	Dưới đài vậy có rất nhiều đệ tử đỏ con mắt, trong mắt bọn họ nữ thần chỉ như vậy bị Thanh Lăng Hiên đoạt đi? Nhưng bọn họ trừ ghen tỵ và hận, tựa hồ cũng không dám có những thứ khác xa xỉ ý tưởng.

	Thanh Tâm Nguyệt đứng ở Thanh Lăng Hiên đối diện, Thanh Lăng Hiên thâm tình các loại nhìn hắn nữ thần trong mộng và muốn có được cô gái, nhưng Thanh Tâm Nguyệt từ đầu đến cuối mặt không cảm giác, cũng không đi xem Thanh Lăng Hiên, lại càng không xem Thanh Hư Đoạn.

	Thanh Hư Đoạn trong lòng không biết làm sao thở dài, Thanh Tâm Nguyệt sợ rằng hận tới chính hắn, nhưng cái này không có đường lui.

	"Dắt tay, nghi thức bắt đầu!"

	Thanh Hư Đoạn trầm giọng quát một tiếng, xoay người lại nhìn về phía cái này một đôi người mới!

	Chín đại thái thượng trường lão vậy đứng dậy, đối với môn chủ tôn kính, bọn họ cũng đi xuống, vây cái này một đôi người mới, dùng ánh mắt chứng kiến một màn này phát sinh.

	Không khí chung quanh bỗng nhiên khẩn trương, rất nhiều người tim đập rộn lên, chờ đợi một màn này.

	Lâm Phong thân thể đi về trước nghiêng liền nghiêng, trước khi đi mấy bước, đứng ở cao phía dưới đài phía trước nhất, mắt nhìn một màn này.Chương 1024: Đính hôn nghi thức bắt đầu! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Lâm công tử, ngươi tới thật là tấu xảo" .

	Lúng túng không khí từ đầu đến cuối không có tản đi, nhưng Thanh Tâm Nguyệt vẫn là không nhịn được loại này nói không ra lời mùi vị, liền dẫn đầu phá vỡ cái này nặng nề không khí, không mặn không lạt cười một tiếng, trong giọng nói có chút u oán, cũng có chút thất lạc.

	Sở Xuân Thu nhìn hai người, hắn càng ngày càng cảm thấy Lâm Phong và Thanh Tâm Nguyệt quan hệ có chút không đơn giản, nhất là Thanh Tâm Nguyệt đối với Lâm Phong nhất định là có nơi hảo cảm, nếu không không gặp được Lâm Phong sau đó như vậy, u oán đồng thời cũng có chút đùa bỡn công chúa nóng nảy.

	Sở Xuân Thu không có giải thích, bởi vì là Lâm Phong không nói gì, hắn liền không muốn nói chuyện nhiều, dù sao sự thật nhất định sẽ bị vạch trần, liền xem Lâm Phong như thế nào lựa chọn.

	"Ta chỉ muốn hỏi một cái vấn đề, có thể không?" Lâm Phong hé miệng cười một tiếng, nụ cười trong hơi hơi mang theo vẻ khổ sở, đồng thời còn có cố chấp, nhìn chằm chằm Thanh Tâm Nguyệt.

	Thanh Tâm Nguyệt hơi dời đi ánh mắt, không dám nhìn chằm chằm Lâm Phong ánh mắt, nhưng nàng gật đầu yên lặng nói: "Ngươi hỏi" .

	"Anh ngươi ở đâu?" Lâm Phong nhìn chằm chằm Thanh Tâm Nguyệt ánh mắt từ đầu đến cuối không có dời ra chỗ khác, cao giọng hỏi.

	Đột ngột vấn đề để cho Thanh Tâm Nguyệt có chút ứng phó không kịp, mặt nàng sắc hơi có chút biến hóa, ánh mắt càng có chút run động, nhưng rất nhanh nàng liền bình tĩnh lại, sau đó lãnh đạm nói: "Lâm công tử, ta không có anh, ta chỉ có một người" .

	"Ngươi có nổi khổ?" Lâm Phong không để ý đến Thanh Tâm Nguyệt trả lời, như cũ trầm giọng hỏi.

	Thanh Tâm Nguyệt lãnh đạm lắc đầu, sau đó trầm giọng nói: "Ta không biết ngươi đang nói gì, tốt lắm, ta còn có việc, đi trước" .

	"Ngoài ra Lâm công tử tùy tiện tới ta khuê phòng tựa hồ có chút không tốt, cho nên ngươi hay là đi bên ngoài điện đi, vừa vặn làm chứng ta cùng Thanh Lăng Hiên đính hôn nghi thức" . Thanh Tâm Nguyệt nhàn nhạt vừa nói, sau đó bắt đầu từ Lâm Phong bên người đi tới, hai người đụng một cái bả vai, nhưng không có thể ngăn cản Thanh Tâm Nguyệt rời đi quyết định.

	Thanh Tâm Nguyệt ăn mặc 3m có thừa quá vô cùng bào, màu đỏ thẫm hồng bào cùng với màu vàng kim mũ phượng, hết thảy cũng tỏ ra như vậy ung dung hoa quý, sau lưng càng là theo chân bốn cái trang phục lộng lẫy ăn mặc thị nữ còn có hai tên hộ vệ, đều là nửa bước thần đế cường giả.

	Thanh Tâm Nguyệt từ Lâm Phong bên người đi tới, thẳng đến biến mất ở hậu điện, từ đầu đến cuối Lâm Phong cũng không nói một câu, cũng không có hướng Thanh Tâm Nguyệt giải thích lần này cứu vấn đề.

	Chỉ chốc lát sau, Sở Xuân Thu đi tới Lâm Phong trước người, nhàn nhạt hỏi: "Ngươi vì sao không nói ra nguyên nhân?"

	"Ngươi cảm thấy ta nói ra, nàng sẽ tin sao?" Lâm Phong cười khổ lắc đầu một cái, sau đó nhìn Sở Xuân Thu hỏi.

	"Ha ha, có lẽ không thể nào, bất quá không phải còn có ta sao? Ta dù sao cũng là ban đầu một thành viên, ta có thể cho ngươi giải thích rõ" . Sở Xuân Thu lắc đầu một cái, hắn thừa nhận Lâm Phong giải thích Thanh Tâm Nguyệt sẽ không tin tưởng, bất quá hắn Sở Xuân Thu cứu Thanh Tâm Nguyệt, một điểm này người sau là rõ ràng, cho nên hắn có thể là Lâm Phong giải thích rõ.

	"Tốt lắm, đi tiền điện đi, ta không cần giải thích rõ, ta sẽ để cho Thanh Lăng Hiên chính bọn họ nói ra chân tướng, bởi vì làm cái này dễ dàng hơn để cho Thanh Tâm Nguyệt tin tưởng" . Lâm Phong lắc đầu một cái, xoay người lại trực tiếp chạy tiền điện đi tới, cùng này mình giải thích, không bằng Thanh Lăng Hiên tự mình nói ra chân tướng.

	Sở Xuân Thu bỉu môi cười một tiếng, Lâm Phong vẫn không có một chút thay đổi, đổi tự do phóng khoáng cố chấp lúc này thật sự là một chút cũng không hàm hồ.

	Sở Xuân Thu đi theo lên, đi theo Lâm Phong chạy tiền điện đi tới, mà giờ khắc này tiền điện như cũ rơi vào xôn xao trong, càng ngày càng nhiều người đang lo lắng cho môn chủ vì sao còn chưa tới, bây giờ buổi trưa canh ba đều đã đến.

	"Môn chủ đến!" .

	Buổi trưa canh ba đến đồng thời, cao phía dưới đài bỗng nhiên truyền ra một âm thanh điếc tai thanh âm, ngay sau đó tất cả mọi người chính là đều thấy được ăn mặc mũ phượng khăn quàng vai Thanh Tâm Nguyệt ở mấy cái thị nữ và thị vệ cùng đi, từng bước một bước lên nhập trên đài cao.

	Thanh Hư Đoạn thấy Thanh Tâm Nguyệt cuối cùng vẫn phải tới, không kiềm được thở phào nhẹ nhõm, hắn kế hoạch cuối cùng là có thể tiếp tục tiến hành tiếp, chưa đến nỗi trước thời hạn cắt đứt, đính hôn nghi thức có thể mở ra.

	"Bắt đầu đi" . Thanh Tâm Nguyệt mặt không cảm giác hướng về phía phụ trách chủ trì lần này nghi thức ông già quát một tiếng, nhặt lên nàng thật dài màu đỏ tà áo, ngồi ở ngai vàng trên, đặc biệt thuộc về môn chủ vị trí.

	Chủ trì ông già cung kính gật đầu, sau đó xoay người lại, trên mặt chất đầy nụ cười hô: "Ta tuyên bố, đính hôn nghi thức chính thức bắt đầu!"

	Theo chủ trì ông lão một tiếng hô to, Thanh Tâm Nguyệt cùng Thanh Lăng Hiên đính hôn nghi thức rốt cục thì chính thức bắt đầu, hết thảy cũng biết dựa theo nề nếp đường dây tiến hành.

	Thanh Lăng Hiên đứng ở một bên đã sớm không nhịn được kích động trong lòng và vui sướng tình, hận không thể giờ phút này liền xông lên trên đài cao đi dắt Thanh Tâm Nguyệt tay, sau đó ôm Thanh Tâm Nguyệt nhập động phòng, sớm một ngày đem tình vợ chồng làm, để tránh sinh ra sóng gió.

	"Môn chủ làm sao mới đến?" Thanh Hư Đoạn liếc nhìn thị nữ sau lưng, truyền âm hỏi.

	Thị nữ mặt lộ vẻ khó xử, bởi vì là Thanh Tâm Nguyệt đã cảnh cáo nàng không cho phép đem khuê phòng trước một màn nói ra, nhưng Thanh Hư Đoạn áp lực chân thực khủng bố, nàng chỉ là một nho nhỏ thị nữ thôi, như thế nào có thể đủ chống cự Thanh Hư Đoạn, cho nên nàng chỉ có thể nói đi ra.

	Nghe được nguyên do Thanh Hư Đoạn sắc mặt bỗng nhiên đại biến, tim càng là nhanh nhảy lên, Lâm Phong? Tới?

	Thanh Hư Đoạn yên lặng không nói, sau đó hai tròng mắt thật chặt nhìn về phía cao người phía dưới đài nhóm trong, mỗi một người hắn cũng chăm chú nhìn, cuối cùng hắn ánh mắt phong tỏa ở hai cái ăn mặc trường bào màu đen trên người, hắn cơ hồ muốn nghẹt thở.

	Hắn không sợ Lâm Phong, nhưng mà hắn sợ Lâm Phong gây chuyện, đem hắn kế hoạch toàn bộ đánh loạn, vốn là hắn liền trong lòng có thẹn, Lâm Phong không vì bất kỳ chỗ tốt đi ngay Cử cốc cứu người, thậm chí quá giang mình, có thể nói người như vậy, là Thanh Tâm Nguyệt cao nhất bạn lữ, gả cho người như vậy, hắn vậy đồng ý.

	Chẳng qua là kế hoạch xa xa đều không có thay đổi mau, chiến giới sắp mở, Thanh Lăng Triều bổn tôn sắp trở về, cho nên hắn muốn tranh đoạt từng giây đoạt quyền, cho nên không thể không hy sinh Thanh Tâm Nguyệt thậm chí thiếu nợ sau Lâm Phong, cho nên nếu như giờ phút này Lâm Phong xuất hiện gây chuyện nói, tất nhiên sẽ phá xấu xa hắn kế hoạch.

	Đồng thời hắn vừa muốn một vấn đề rất nghiêm trọng, hắn rõ ràng nói với phái Thái Thanh và đế quốc Nhật Quang, không cho phép người bất kỳ đem chuyện này nói ra, vì sao bây giờ Lâm Phong biết?

	Bỗng nhiên, Thanh Hư Đoạn nhìn về phía đối diện trên đại điện râu bạc ông già, cũng chính là Thanh Lăng Triều phân thân, sắc mặt phức tạp.

	Thanh Tâm Nguyệt là hắn kế hoạch lấy ngành, như vậy Thanh Lăng Triều giống vậy cầm Lâm Phong làm kế hoạch một số, dùng để đánh cờ.

	Thanh Hư Đoạn nghĩ tới đây, mồ hôi lạnh trực tiếp làm ướt vạt áo, hôm nay thật sự là như vậy, sợ rằng hôm nay định trước khó mà thiện đoạn.

	"Ta tự mình chủ trì, ngươi đi xuống đi" .

	Thanh Hư Đoạn ngồi không yên cái ghế, trực tiếp cắt dứt chủ trì ông già, ngay sau đó hắn tự mình ra sân, chủ trì lần này đính hôn nghi thức.

	Thanh Hư Đoạn cách làm đưa tới rất nhiều người tiếng hoan hô, Thái thượng môn chủ chủ trì môn chủ hôn sự, đây chính là cực lớn vinh hạnh, đồng thời cũng là phái Thái Thanh một đại thịnh đời.

	Tên này chủ trì ông già không dám chút nào câu oán hận, đàng hoàng lui xuống, đem vị trí nhường cho Thanh Hư Đoạn, Thanh Hư Đoạn đứng ở cao giữa đài, liếc mắt đối diện Thanh Lăng Triều, Thanh Lăng Triều hé miệng cười một tiếng, trong mắt tràn đầy tự tin.

	Mà so sánh với Thanh Lăng Triều dửng dưng, Thanh Hư Đoạn giờ phút này cũng rất nóng nảy, hắn dời đi ánh mắt, sau đó trầm giọng quát lên: "Lần này đính hôn nghi thức chính là chúng ta môn chủ cùng với ta đệ tử Thanh Lăng Hiên giữa hôn sự, cho nên đối với phái Thái Thanh mà nói rất là trọng yếu" .

	"Ở trọng yếu như vậy cuộc sống, cho nên ta không muốn có người bất kỳ đem tin tức này khuếch tán ra, dẫu sao liên quan rằng với phái Thái Thanh hưng suy" .

	"Cho nên, đài cao dưới các người, trở về đi thôi" . Thanh Hư Đoạn nói tới chỗ này, sắc mặt âm trầm, hắn không muốn để cho Lâm Phong phá xấu xa, lại không thể trực tiếp một chút tên Lâm Phong, như vậy há chẳng phải là trực tiếp để cho Lâm Phong bại lộ, cho nên hắn chỉ có thể mượn những người khác đuổi đi Lâm Phong.

	Chẳng qua là hắn nghĩ quá tốt đẹp, lại không nói Lâm Phong có đi hay không, chính là những đệ tử này cũng không muốn đi, nghe hắn nếu sau đó, liền nghị luận lên tiếng không ngừng lải nhải đứng lên, nhưng không có bất kỳ người rời đi cao phía dưới đài.

	Tất cả mọi người đều không rời đi, Thanh Hư Đoạn càng thêm cuống cuồng, mà nhìn Thanh Hư Đoạn cuống cuồng, Thanh Lăng Triều sắc mặt lại rực rỡ đứng lên, tựa hồ khoảng cách thắng lợi lại có một ít chắc chắn.

	"Xin hỏi ngài, tại sao chúng ta đi, đối với phái Thái Thanh an nguy có chỗ tốt? Chúng ta khó khăn mang còn biết hại tông môn sao?"

	"Đúng vậy, Thái thượng môn chủ, ngài có phải hay không có cái gì lo âu?"

	"Không có chuyện gì, Thái thượng môn chủ, chúng ta chỉ lẳng lặng nhìn, tuyệt đối không phá xấu xa, không làm loạn, ngài yên tâm đi" .

	. . .

	Càng ngày càng nhiều đệ tử nói ra, ngược lại là phản tới an ủi Thanh Hư Đoạn không cần quá mức lo âu, cái này làm cho Thanh Hư Đoạn càng thêm khó làm, nhưng mà hắn lại không thể nói tiếp, phá hư đính hôn nghi thức, cũng không phải là điềm tốt.

	"Tốt lắm, vậy cứ như vậy đi, tiếp theo xin mời Thanh Lăng Hiên lên đài" . Thanh Hư Đoạn gật đầu một cái, sau đó mắt nhìn Thanh Lăng Hiên, tỏ ý hắn bắt đầu ra sân, làm làm nhân vật chính sẽ phải bị hắn không chịu thua kém.

	Nếu Lâm Phong đã tới, như vậy Thanh Lăng Hiên nơi này lại không thể yếu đi bất kỳ khí thế, muốn gánh lên cái này cây cờ lớn, muốn cưới Thanh Tâm Nguyệt, không bỏ ra một ít tại sao có thể?

	"Tuân lệnh!" . Thanh Lăng Hiên chó sói quát một tiếng, không ức chế được kích động trong lòng bước nhanh chạy đài cao đi tới, lại không thể quá mức mất đi dáng vẻ, cho nên hắn dùng ngắn nhất thời gian đi lên, lại không hiện lên quá đói khát.

	Đứng ở trên đài cao, Thanh Lăng Hiên nhìn về phía Thanh Tâm Nguyệt nơi đó.

