Chương 1043: Người tổ giáng thế? 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Tướng công, ngươi hù chết ta, đột nhiên biến mất, không có bất kỳ khí tức gì tồn lưu!"
	Lâm Phong sắc mặt trở nên âm trầm, mà Thanh Phượng sắc mặt nhưng là tái nhợt, ở cái thế giới này vốn là an toàn nhất, nhưng đột ngột trời đất biến đổi lớn, hết thảy cũng giống như là ngày tận thế tới, hơn nữa ngay tại tới.

	"Oa!"

	"Oa!"

	Ngay tại Lâm Phong và Thanh Phượng cũng đang cảnh giác nhìn bốn phương lúc đó, hai tiếng tiếng khóc của trẻ sơ sinh truyền khắp bốn phương, giống như là từ chín tầng trời bên ngoài truyền tới thanh âm như nhau, cực kỳ đáng sợ, thậm chí có thể nói là cực kỳ kinh khủng, giống như một tiếng thần anh đề khóc.

	"Ra đời, Ha ha, ra đời" .

	Rất lớn tiếng nụ cười, xuất từ Lâm Hải giọng, Lâm Phong đứng ở sân bên ngoài nghe được ba tiếng cười, sắc mặt bỗng nhiên đại biến, mình và Liễu Phỉ đứa trẻ lại đã xuất thế.

	Lâm Phong không để ý hết thảy, càng bất kể gió này mây đột biến tình huống, trực tiếp chạy tới bên trong phòng, một màn trước mắt để cho hắn hoàn toàn kinh hãi, Liễu Phỉ yếu ớt nằm ở trên giường, đang đắp chăn, mà còn không có mở mắt trẻ sơ sinh ngay tại Nguyệt Mộng Hà trong ngực nằm, trừ một tiếng khóc ra, chỉ có nụ cười.

	Nhưng để cho Lâm Phong khiếp sợ là khác một đứa bé sơ sinh ngay tại Hỏa Vũ trong ngực ôm, hai cái giống nhau như đúc trẻ sơ sinh, liền tiếng khóc đều giống nhau.

	Lâm Phong hoàn toàn sửng sờ tại chỗ, cái này, đây là sanh đôi?

	Thanh Phượng vậy đi tới bên trong phòng, thấy một màn trước mắt vậy cảm giác khiếp sợ, Liễu Phỉ lại sinh sanh đôi, hai cái trẻ sơ sinh?

	"Phong nhi, mau xem, nhiều giống như ngươi" . Nguyệt Mộng Hà cưng chìu ôm trong ngực trẻ sơ sinh, ngay sau đó liếc nhìn Lâm Phong, Lâm Phong đi tới Nguyệt Mộng Hà trước người, cúi đầu xuống nhìn mình và Liễu Phỉ đứa trẻ.

	Ánh mắt còn không có mở ra, nhưng đại khái dáng vẻ và cặp mắt mình giống nhau như đúc, cực kỳ tuấn mỹ, cái mũi nhỏ vậy vô cùng mông vểnh, giống như mình, cũng giống Liễu Phỉ, còn có đứa bé sơ sinh môi hồng một chút xíu, rất là đáng yêu.

	"Đây là, bé trai?" Lâm Phong theo bản năng hỏi một câu, trong lòng rất là kích động.

	" Ừ, bé trai, đây là con trai ngươi" . Nguyệt Mộng Hà tương đối kích động, cách nhiều năm như vậy, nàng lại thêm một cái cháu trai, hơn nữa còn là khả ái như vậy cháu nhỏ.

	Lâm Phong lại xoay người nhìn về phía Hỏa Vũ ôm trẻ sơ sinh, so sánh bé trai sơ sinh, cái này rõ ràng chính là bé gái, da so bé trai sơ sinh càng phải trắng noãn một ít, hơn nữa nhỏ hình dáng càng giống như Liễu Phỉ, sau khi lớn lên cũng sẽ là một cái người đẹp bán thành phẩm, không kém gì Liễu Phỉ.

	"Tướng công, ta, ta lợi hại?"

	Liễu Phỉ yếu ớt há miệng, mình khen mình một câu, mặc dù sắc mặt có chút tái nhợt, nhưng là nàng cho Lâm Phong sinh một nam một nữ, coi như là lớn nhất thành công.

	Lâm Phong một cái bước dài chạy đến Liễu Phỉ trước người, cầm Liễu Phỉ hai cái tay nhỏ bé lạnh như băng, đầy mặt vẻ áy náy nhìn Liễu Phỉ, khổ sở nói: "Phỉ nhi, tướng công không tốt, không có thể cùng ở bên người ngươi, cùng nhau làm chứng con chúng ta xuất thế, tướng công có tội" .

	"Đừng, tướng công, ngươi là người đàn ông, người đàn ông hẳn ở bên ngoài bận bịu đại sự nghiệp, cha đã không dạy ta nhiều ít đạo lý lớn, nhưng là hắn một mực đã cảnh cáo ta, người đàn ông bên ngoài, người phụ nữ phải nhiều yên lặng giúp đỡ, không thể đùa bỡn nhỏ tính tình" .

	"Nhiều năm như vậy, ta một mực nghe lời của cha, cho nên Phỉ nhi không trách ngươi, hụ hụ hụ!"

	Liễu Phỉ nói tới chỗ này, không nhịn được ho khan một tiếng, cái này tằng hắng một tiếng dẫn động tới Lâm Phong lòng, Lâm Phong càng ngày càng áy náy, thời khắc quan trọng nhất mình vẫn không thể nào bầu bạn ở Liễu Phỉ bên người, không có thể cùng nhau làm chứng hai đứa bé xuất thế.

	Liễu Phỉ thống khổ có thể tưởng tượng được, người phụ nữ sanh con thống khổ không kém chút nào người đàn ông xông xáo bên ngoài chịu đau đớn, Lâm Phong không cách nào tưởng tượng, Liễu Phỉ dựa vào cái gì ý chí gắng gượng xuống, sanh đôi xuất thế tất nhiên thống khổ không chịu nổi.

	Lâm Phong gắt gao ôm Liễu Phỉ, thật lâu cũng không nói gì, càng không có để ý tới bên ngoài giống như ngày tận thế giống vậy khí tượng.

	Cũng không biết qua bao lâu, Liễu Phỉ chân thực chịu đựng không nổi Lâm Phong như vậy ấm áp, lúc này mới yếu ớt lấy tay đẩy ra Lâm Phong, sau đó yếu ớt cười nói: "Mau, cho chúng ta đứa trẻ lấy cái tên chữ" .

	"Đúng vậy, tướng công, 2 đứa bé cũng còn không có tên chữ vậy" . Hỏa Vũ vội vàng lên tiếng, chậm tách ra cái này không khí ngột ngạt, nàng cũng không muốn Lâm Phong quá mức áy náy, chuyện này đúng là Lâm Phong sai, nhưng Liễu Phỉ không trách tội Lâm Phong, người khác vừa có thể nói gì vậy ?

	Chỉ có Lâm Hải đầy mặt không vui ý, hắn đã cảnh cáo Lâm Phong, người phụ nữ thời khắc quan trọng nhất chính là chuyển dạ, vào lúc này nếu như không bầu bạn bên người nữ nhân, các nàng liền không cảm giác được an toàn cùng ấm áp, ban đầu Nguyệt Mộng Hà sinh Lâm Phong, hắn liền không có thể ở bên người, cho nên cái này tiếc nuối hắn không muốn Lâm Phong vậy xuất hiện, chỉ tiếc Lâm Phong cũng cùng hắn như nhau, không có hết sức một người đàn ông chức trách.

	Nhưng Liễu Phỉ không trách tội, không oán trách, ai cũng không có tư cách nói gì, dẫu sao hai người là quan hệ vợ chồng.

	Lâm Phong sâu hô giọng, sau đó đứng dậy, nhìn về phía hai cái trẻ sơ sinh.

	"Ta ban đầu cùng Phỉ nhi đã thương lượng xong, nếu như là cô gái liền kêu Lâm Tư Điềm, bé trai liền kêu Lâm Tư Phàm, hôm nay bé trai bé gái đều có, như vậy hai cái danh tự này xem ra đều cần liền" . Lâm Phong vừa nói sau đó nhìn về phía Liễu Phỉ, Liễu Phỉ gật đầu một cái, ban đầu thật có qua như vậy thảo luận.

	Lâm Tư Phàm và Lâm Tư Điềm, đây chính là Lâm Phong tên của hài tử, từ nay về sau, Lâm Phong lại thêm một vị công chúa và một vị tiểu công tử, Lâm Tư Phàm cũng sẽ là kế Lâm Hằng mà sau đó, cái thứ tư con trai, Lâm Tư Điềm chính là cái thứ hai con gái.

	"Lâm Phong, ta khuyên ngươi, tốt nhất đem cậu con trai tên chữ đổi là Lâm Tổ!"

	Ngay tại Lâm Phong quyết định như vậy lúc đó, Băng Linh thanh âm đột ngột truyền vào Lâm Phong trong tai, để cho Lâm Phong sắc mặt nhất thời biến đổi.

	"Tại sao?" Lâm Phong cho Băng Linh truyền âm hỏi, không có quấy rối bên trong nhà tất cả mọi người.

	Băng Linh giọng rõ ràng trở nên ngưng trọng rất nhiều, vậy nặng nề rất nhiều.

	"Trước ngươi gặp được trời đất dị tượng chứ ? Kim sấm cuồn cuộn, sấm tím dây dưa trời , mây đen dày đặt, thần anh đề khóc, trời đất hỗn loạn, đây hoàn toàn chính là đại nhân vật giáng thế điềm" .

	"Như quả không ra ngoài dự liệu, con trai ngươi sẽ là tương lai rung trời động địa nhân vật lớn, chỉ sợ sẽ là trong truyền thuyết người tổ giáng thế!"

	Băng Linh vừa nói, giọng dị thường ngưng trọng, chưa bao giờ có chi nghiêm túc, liền trước đàm phán cũng không có nghiêm túc như vậy, có thể gặp Băng Linh tâm tình của giờ khắc này cực kỳ khẩn trương.

	Lâm Phong nhưng là sắc mặt mờ mịt còn có một chút khó hiểu, người tổ giáng thế? Con trai mình là người tổ? Tương lai nhân vật lớn?

	"Ngươi có thể chắc chắn?" Lâm Phong tiếp tục hỏi Băng Linh, giọng nói vô cùng độ âm trầm.

	"Ta là sáng lập nguyên linh một trong, há có thể lừa gạt ngươi? Con trai ngươi trăm phần trăm chính là tương lai người tổ, cũng chính là phục hưng loài người lần tổ" .

	"Ha ha, người như vậy tổ sợ rằng triệu năm cũng không ra được một cái, Lâm Phong, ngươi kiếm, chờ đi, tương lai luôn có một ngày con trai ngươi nổi danh động đất đai" .

	Băng Linh vừa nói, sắc mặt cực kỳ nghiêm túc, chỉ tiếc Lâm Phong như cũ không thấy được.

	Nhưng Lâm Phong có thể tưởng tượng được tương lai một ngày, con trai mình thành làm người tổ ngày hôm đó, quát đại lục, mưa gió Lôi Động, không gì không thể một ngày.

	Đây là mình mơ ước, lại bị con trai mình cướp đi, mạng hắn chính là người tổ, mà mình không phải là.

	Nhưng Lâm Phong trong mắt không có ghen tị, chỉ có hâm mộ và yêu, yêu con trai mình, hâm mộ con trai mình.

	"Lâm Phong, ngươi bây giờ có thể dò tra một chút mới ra đời bé trai sơ sinh thực lực?" Băng Linh đột ngột nói lên một cái đề nghị, để cho Lâm Phong sắc mặt hơi đổi một chút, nhưng Lâm Phong không có lập tức tra xem, mà là suy nghĩ rất lâu, mới chậm rãi đi tới Nguyệt Mộng Hà trước người.

	Lâm Phong nhắm mắt lại, tiếp đó mở mắt ra lại tình, trong mắt hai đạo ánh sáng màu vàng thoáng qua, Lâm Phong đưa ra chỉ một cái, phía trên hiện đầy sáng thế lực, điểm vào đứa bé sơ sinh nơi mi tâm.

	Nhưng sáng thế lực điểm đi vào, giống như là một giọt nước tiến vào trong biển, không có tung lên chút gợn sóng nào, như vậy một màn phát sinh, để cho Lâm Phong hoàn toàn cảm giác khiếp sợ.

	Nhìn mình không thấu bé trai sơ sinh thực lực, bây giờ đã nhìn không thấu.

	"Ha ha, cảm thấy sao? Con trai ngươi thực lực sợ rằng đã không dứt thần tôn, nhưng còn không có đạt tới thần đế, cho nên ta để cho ngươi đổi tên là Lâm Tổ, một chút tật xấu cũng không có" .

	Băng Linh vừa nói, giọng nhiều cùng nhau mong đợi, nàng vậy đặc biệt đang mong đợi hưng tộc người người tổ, có lẽ không qua mấy năm, là có thể thấy được.

	Lâm Tổ, Lâm Phong trong miệng đọc mấy lần sau đó, chính là ngẩng đầu lên hướng về phía bên trong nhà tất cả mọi người quát lên: "Bé gái kêu Lâm Tư Điềm, bé trai sơ sinh liền kêu Lâm Tổ!"

	"Cái gì? Lâm Tổ? Tại sao?"

	"Tướng công, làm sao đột nhiên nghĩ đổi tên chữ?"

	"Lâm Tổ, rất khó nghe ai" .

	Lâm Phong tuyên bố tên mới, đưa tới mấy nữ nhất trí phản đối, nhưng Lâm Phong vẫn là quyết định đổi tên là Lâm Tổ.

	Nguyệt Mộng Hà và Lâm Hải trừng mắt trợn mắt nhìn Lâm Phong, không biết thằng nhóc này rốt cuộc lại giở trò quỷ gì, rõ ràng rất tốt tên chữ, nếu không phải là đổi thành rừng tổ.

	"Cha, mẹ, nghe tướng công, hắn muốn đổi, liền đổi, bất quá là một cái tên mà thôi" .

	Liễu Phỉ yếu ớt thanh âm một lần nữa truyền vào tất cả mọi người trong tai, vô luận là Hỏa Vũ vẫn là Hoang Nữ hay hoặc giả là Thanh Phượng đều ngậm miệng lại.

	Liễu Phỉ đồng ý, các nàng cũng không thể nói gì nữa, chẳng qua là các nàng trong lòng đã có ý tưởng, nhất định phải muốn tên rất hay, ngày sau bọn hắn đứa trẻ nhất định phải dậy cái xinh đẹp tên chữ.Chương 1043: Người tổ giáng thế? 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Tướng công, ngươi hù chết ta, đột nhiên biến mất, không có bất kỳ khí tức gì tồn lưu!"

	Thanh Phượng nhìn Lâm Phong, sắc mặt vẫn có một ít tái nhợt, bất mãn hướng về phía Lâm Phong khẽ kêu trước, Lâm Phong ôm Thanh Phượng, bình phục nàng tâm tình, Thanh Phượng đã động bào thai, không thể tiếp tục làm kịch liệt vận động, càng không thể tùy tiện tiêu hao nguyên khí, nếu không thai nhi không yên, dễ dàng trợt thai.

	Lâm Phong ôm lấy Thanh Phượng, sau đó tung người bay lên chạy thẳng tới nhà phương hướng bay đi, tốc độ không chút nào chậm lại, bởi vì là Liễu Phỉ và con mình sắp xuất thế, mình đáp ứng cha bảy ngày bên trong tất thuộc về, bây giờ đúng lúc là ngày thứ sáu, hoàn toàn có thể ở trước ngày mai về đến nhà.

	Thanh Phượng ở Lâm Phong trong ngực, chân chân thật thật cảm thấy người đàn ông thành thục hơi thở, đều đều hô hấp ra hơi nóng đánh vào mặt nàng lên, để cho khuôn mặt nhỏ nhắn của nàng có chút mắc cở đỏ bừng, làm là yêu tộc đại lão học trò, nàng chính là thật phượng thân, nhưng vẫn sa vào ở Lâm Phong trên mình, Lâm Phong mị lực, quá mạnh mẽ, không thể ngăn trở!

	Trải qua mấy giờ phi hành, Lâm Phong và Thanh Phượng rốt cuộc bay trở về nhà, vội vã hàng rơi xuống đất, sau đó buông xuống Thanh Phượng.

	Lâm Phong và Thanh Phượng đi sân trong đi, đột ngột biến đổi lớn liền phát sinh ở giờ phút này.

	Ùng ùng!

	Trời đất biến đổi lớn, kinh khủng năng lượng bỗng nhiên tràn đầy toàn bộ võ hồn thế giới, trên bầu trời mây đen dày đặt, màu vàng kim sấm sét giống như từng cái rồng sấm như nhau cực kỳ đáng sợ, không chỉ là màu vàng kim sấm sét, còn có màu tím trình độ cao nhất thiên lôi, quanh quẩn ở trên trời, cực kỳ dọa người.

	Kinh khủng hơi thở đột ngột biến hóa, để cho Lâm Phong vậy cảm giác khiếp sợ, đây rốt cuộc là nơi nào xuất hiện năng lượng? Mới vừa còn không có, mình hàng rơi xuống đất, liền xuất hiện kinh khủng năng lượng, huống chi đây là đang mình võ hồn thế giới, mình chính là chúa tể, lại không có dự liệu được như vậy năng lượng xuất hiện?

	Lâm Phong không cách nào hiểu, chân thực không cách nào hiểu, đồng thời vừa sợ ngạc và sợ hãi, đây rốt cuộc muốn phát sinh cái gì? Chẳng lẽ có cái gì tai nạn xuất hiện?

	Lâm Phong sắc mặt trở nên âm trầm, mà Thanh Phượng sắc mặt nhưng là tái nhợt, ở cái thế giới này vốn là an toàn nhất, nhưng đột ngột trời đất biến đổi lớn, hết thảy cũng giống như là ngày tận thế tới, hơn nữa ngay tại tới.

	"Oa!"

	"Oa!"

	Ngay tại Lâm Phong và Thanh Phượng cũng đang cảnh giác nhìn bốn phương lúc đó, hai tiếng tiếng khóc của trẻ sơ sinh truyền khắp bốn phương, giống như là từ chín tầng trời bên ngoài truyền tới thanh âm như nhau, cực kỳ đáng sợ, thậm chí có thể nói là cực kỳ kinh khủng, giống như một tiếng thần anh đề khóc.

	"Ra đời, Ha ha, ra đời" .

	Rất lớn tiếng nụ cười, xuất từ Lâm Hải giọng, Lâm Phong đứng ở sân bên ngoài nghe được ba tiếng cười, sắc mặt bỗng nhiên đại biến, mình và Liễu Phỉ đứa trẻ lại đã xuất thế.

	Lâm Phong không để ý hết thảy, càng bất kể gió này mây đột biến tình huống, trực tiếp chạy tới bên trong phòng, một màn trước mắt để cho hắn hoàn toàn kinh hãi, Liễu Phỉ yếu ớt nằm ở trên giường, đang đắp chăn, mà còn không có mở mắt trẻ sơ sinh ngay tại Nguyệt Mộng Hà trong ngực nằm, trừ một tiếng khóc ra, chỉ có nụ cười.

	Nhưng để cho Lâm Phong khiếp sợ là khác một đứa bé sơ sinh ngay tại Hỏa Vũ trong ngực ôm, hai cái giống nhau như đúc trẻ sơ sinh, liền tiếng khóc đều giống nhau.

	Lâm Phong hoàn toàn sửng sờ tại chỗ, cái này, đây là sanh đôi?

	Thanh Phượng vậy đi tới bên trong phòng, thấy một màn trước mắt vậy cảm giác khiếp sợ, Liễu Phỉ lại sinh sanh đôi, hai cái trẻ sơ sinh?

	"Phong nhi, mau xem, nhiều giống như ngươi" . Nguyệt Mộng Hà cưng chìu ôm trong ngực trẻ sơ sinh, ngay sau đó liếc nhìn Lâm Phong, Lâm Phong đi tới Nguyệt Mộng Hà trước người, cúi đầu xuống nhìn mình và Liễu Phỉ đứa trẻ.

	Ánh mắt còn không có mở ra, nhưng đại khái dáng vẻ và cặp mắt mình giống nhau như đúc, cực kỳ tuấn mỹ, cái mũi nhỏ vậy vô cùng mông vểnh, giống như mình, cũng giống Liễu Phỉ, còn có đứa bé sơ sinh môi hồng một chút xíu, rất là đáng yêu.

	"Đây là, bé trai?" Lâm Phong theo bản năng hỏi một câu, trong lòng rất là kích động.

	" Ừ, bé trai, đây là con trai ngươi" . Nguyệt Mộng Hà tương đối kích động, cách nhiều năm như vậy, nàng lại thêm một cái cháu trai, hơn nữa còn là khả ái như vậy cháu nhỏ.

	Lâm Phong lại xoay người nhìn về phía Hỏa Vũ ôm trẻ sơ sinh, so sánh bé trai sơ sinh, cái này rõ ràng chính là bé gái, da so bé trai sơ sinh càng phải trắng noãn một ít, hơn nữa nhỏ hình dáng càng giống như Liễu Phỉ, sau khi lớn lên cũng sẽ là một cái người đẹp bán thành phẩm, không kém gì Liễu Phỉ.

	"Tướng công, ta, ta lợi hại?"

	Liễu Phỉ yếu ớt há miệng, mình khen mình một câu, mặc dù sắc mặt có chút tái nhợt, nhưng là nàng cho Lâm Phong sinh một nam một nữ, coi như là lớn nhất thành công.

	Lâm Phong một cái bước dài chạy đến Liễu Phỉ trước người, cầm Liễu Phỉ hai cái tay nhỏ bé lạnh như băng, đầy mặt vẻ áy náy nhìn Liễu Phỉ, khổ sở nói: "Phỉ nhi, tướng công không tốt, không có thể cùng ở bên người ngươi, cùng nhau làm chứng con chúng ta xuất thế, tướng công có tội" .

	"Đừng, tướng công, ngươi là người đàn ông, người đàn ông hẳn ở bên ngoài bận bịu đại sự nghiệp, cha đã không dạy ta nhiều ít đạo lý lớn, nhưng là hắn một mực đã cảnh cáo ta, người đàn ông bên ngoài, người phụ nữ phải nhiều yên lặng giúp đỡ, không thể đùa bỡn nhỏ tính tình" .

	"Nhiều năm như vậy, ta một mực nghe lời của cha, cho nên Phỉ nhi không trách ngươi, hụ hụ hụ!"

	Liễu Phỉ nói tới chỗ này, không nhịn được ho khan một tiếng, cái này tằng hắng một tiếng dẫn động tới Lâm Phong lòng, Lâm Phong càng ngày càng áy náy, thời khắc quan trọng nhất mình vẫn không thể nào bầu bạn ở Liễu Phỉ bên người, không có thể cùng nhau làm chứng hai đứa bé xuất thế.

	Liễu Phỉ thống khổ có thể tưởng tượng được, người phụ nữ sanh con thống khổ không kém chút nào người đàn ông xông xáo bên ngoài chịu đau đớn, Lâm Phong không cách nào tưởng tượng, Liễu Phỉ dựa vào cái gì ý chí gắng gượng xuống, sanh đôi xuất thế tất nhiên thống khổ không chịu nổi.

	Lâm Phong gắt gao ôm Liễu Phỉ, thật lâu cũng không nói gì, càng không có để ý tới bên ngoài giống như ngày tận thế giống vậy khí tượng.

	Cũng không biết qua bao lâu, Liễu Phỉ chân thực chịu đựng không nổi Lâm Phong như vậy ấm áp, lúc này mới yếu ớt lấy tay đẩy ra Lâm Phong, sau đó yếu ớt cười nói: "Mau, cho chúng ta đứa trẻ lấy cái tên chữ" .

	"Đúng vậy, tướng công, 2 đứa bé cũng còn không có tên chữ vậy" . Hỏa Vũ vội vàng lên tiếng, chậm tách ra cái này không khí ngột ngạt, nàng cũng không muốn Lâm Phong quá mức áy náy, chuyện này đúng là Lâm Phong sai, nhưng Liễu Phỉ không trách tội Lâm Phong, người khác vừa có thể nói gì vậy ?

	Chỉ có Lâm Hải đầy mặt không vui ý, hắn đã cảnh cáo Lâm Phong, người phụ nữ thời khắc quan trọng nhất chính là chuyển dạ, vào lúc này nếu như không bầu bạn bên người nữ nhân, các nàng liền không cảm giác được an toàn cùng ấm áp, ban đầu Nguyệt Mộng Hà sinh Lâm Phong, hắn liền không có thể ở bên người, cho nên cái này tiếc nuối hắn không muốn Lâm Phong vậy xuất hiện, chỉ tiếc Lâm Phong cũng cùng hắn như nhau, không có hết sức một người đàn ông chức trách.

	Nhưng Liễu Phỉ không trách tội, không oán trách, ai cũng không có tư cách nói gì, dẫu sao hai người là quan hệ vợ chồng.

	Lâm Phong sâu hô giọng, sau đó đứng dậy, nhìn về phía hai cái trẻ sơ sinh.

	"Ta ban đầu cùng Phỉ nhi đã thương lượng xong, nếu như là cô gái liền kêu Lâm Tư Điềm, bé trai liền kêu Lâm Tư Phàm, hôm nay bé trai bé gái đều có, như vậy hai cái danh tự này xem ra đều cần liền" . Lâm Phong vừa nói sau đó nhìn về phía Liễu Phỉ, Liễu Phỉ gật đầu một cái, ban đầu thật có qua như vậy thảo luận.

	Lâm Tư Phàm và Lâm Tư Điềm, đây chính là Lâm Phong tên của hài tử, từ nay về sau, Lâm Phong lại thêm một vị công chúa và một vị tiểu công tử, Lâm Tư Phàm cũng sẽ là kế Lâm Hằng mà sau đó, cái thứ tư con trai, Lâm Tư Điềm chính là cái thứ hai con gái.

	"Lâm Phong, ta khuyên ngươi, tốt nhất đem cậu con trai tên chữ đổi là Lâm Tổ!"

	Ngay tại Lâm Phong quyết định như vậy lúc đó, Băng Linh thanh âm đột ngột truyền vào Lâm Phong trong tai, để cho Lâm Phong sắc mặt nhất thời biến đổi.

	"Tại sao?" Lâm Phong cho Băng Linh truyền âm hỏi, không có quấy rối bên trong nhà tất cả mọi người.

	Băng Linh giọng rõ ràng trở nên ngưng trọng rất nhiều, vậy nặng nề rất nhiều.

	"Trước ngươi gặp được trời đất dị tượng chứ ? Kim sấm cuồn cuộn, sấm tím dây dưa trời , mây đen dày đặt, thần anh đề khóc, trời đất hỗn loạn, đây hoàn toàn chính là đại nhân vật giáng thế điềm" .

	"Như quả không ra ngoài dự liệu, con trai ngươi sẽ là tương lai rung trời động địa nhân vật lớn, chỉ sợ sẽ là trong truyền thuyết người tổ giáng thế!"

	Băng Linh vừa nói, giọng dị thường ngưng trọng, chưa bao giờ có chi nghiêm túc, liền trước đàm phán cũng không có nghiêm túc như vậy, có thể gặp Băng Linh tâm tình của giờ khắc này cực kỳ khẩn trương.

	Lâm Phong nhưng là sắc mặt mờ mịt còn có một chút khó hiểu, người tổ giáng thế? Con trai mình là người tổ? Tương lai nhân vật lớn?

	"Ngươi có thể chắc chắn?" Lâm Phong tiếp tục hỏi Băng Linh, giọng nói vô cùng độ âm trầm.

	"Ta là sáng lập nguyên linh một trong, há có thể lừa gạt ngươi? Con trai ngươi trăm phần trăm chính là tương lai người tổ, cũng chính là phục hưng loài người lần tổ" .

	"Ha ha, người như vậy tổ sợ rằng triệu năm cũng không ra được một cái, Lâm Phong, ngươi kiếm, chờ đi, tương lai luôn có một ngày con trai ngươi nổi danh động đất đai" .

	Băng Linh vừa nói, sắc mặt cực kỳ nghiêm túc, chỉ tiếc Lâm Phong như cũ không thấy được.

	Nhưng Lâm Phong có thể tưởng tượng được tương lai một ngày, con trai mình thành làm người tổ ngày hôm đó, quát đại lục, mưa gió Lôi Động, không gì không thể một ngày.

	Đây là mình mơ ước, lại bị con trai mình cướp đi, mạng hắn chính là người tổ, mà mình không phải là.

	Nhưng Lâm Phong trong mắt không có ghen tị, chỉ có hâm mộ và yêu, yêu con trai mình, hâm mộ con trai mình.

	"Lâm Phong, ngươi bây giờ có thể dò tra một chút mới ra đời bé trai sơ sinh thực lực?" Băng Linh đột ngột nói lên một cái đề nghị, để cho Lâm Phong sắc mặt hơi đổi một chút, nhưng Lâm Phong không có lập tức tra xem, mà là suy nghĩ rất lâu, mới chậm rãi đi tới Nguyệt Mộng Hà trước người.

	Lâm Phong nhắm mắt lại, tiếp đó mở mắt ra lại tình, trong mắt hai đạo ánh sáng màu vàng thoáng qua, Lâm Phong đưa ra chỉ một cái, phía trên hiện đầy sáng thế lực, điểm vào đứa bé sơ sinh nơi mi tâm.

	Nhưng sáng thế lực điểm đi vào, giống như là một giọt nước tiến vào trong biển, không có tung lên chút gợn sóng nào, như vậy một màn phát sinh, để cho Lâm Phong hoàn toàn cảm giác khiếp sợ.

	Nhìn mình không thấu bé trai sơ sinh thực lực, bây giờ đã nhìn không thấu.

	"Ha ha, cảm thấy sao? Con trai ngươi thực lực sợ rằng đã không dứt thần tôn, nhưng còn không có đạt tới thần đế, cho nên ta để cho ngươi đổi tên là Lâm Tổ, một chút tật xấu cũng không có" .

	Băng Linh vừa nói, giọng nhiều cùng nhau mong đợi, nàng vậy đặc biệt đang mong đợi hưng tộc người người tổ, có lẽ không qua mấy năm, là có thể thấy được.

