Chương 858: Người không làm chết, cũng sẽ không chết! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Lấy ngươi tốc độ, ở rạng sáng thì có thể đến" .
	Lâm Phong không để ý tới những người này, dùng thần thức hỏi dò Túng Ma cốc tình huống, nhưng mà cũng không có bất kỳ dị thường, thậm chí cũng không cảm giác được bên trong tồn tại hơi thở, Lâm Phong nhưng rất rõ ràng, hết thảy đều là cái này màu tím sương mù giở trò quỷ, sương mù cô lập thần thức hỏi dò.

	Lâm Phong có chút kinh ngạc, mình như vậy thực lực, thần thức cũng không dò xét được, đủ thấy cái này Túng Ma cốc chỗ đáng sợ, quả nhiên là thượng cổ tông tộc một trong, mặc dù bị bị diệt, nhưng di hài đất vậy rất khủng bố, bất quá như vậy tình huống, càng ngày càng kích thích Lâm Phong tò mò.

	"Lần này, nhất định phải dò xét một lần" . Lâm Phong lẩm bẩm một tiếng, sau đó cả người nhảy xuống, ngay tức thì biến mất ở màu tím sương mù trong.

	Vô số người thấy một màn này, sắc mặt nhất thời đại biến, còn có chút hâm mộ.

	"Lại tiến vào một người,

	Xem ra hắn chí ít cũng là thượng vị thần tôn" . Một cái hạ vị thần tôn mặt đầy kích động vừa nói, bọn họ cũng không biết thượng vị thần tôn cũng chia hết mấy cấp bậc, đơn thuần nhận là thượng vị thần tôn đã là lợi hại nhất cấp bậc.

	"Từ hôm qua đến bây giờ, đã nhảy vào đi không dưới trăm người, xem ra tất cả thượng vị thần tôn đều bị hấp dẫn đến Túng Ma cốc liền" .

	"Ai, không nghĩ tới, đại lục trên ẩn núp nhiều như vậy thượng vị thần tôn, vốn là chẳng qua là lấy là mỗi một đế quốc quốc chủ là thượng vị thần tôn, mỗi một thành trì thành chủ là thượng vị thần tôn, bây giờ nhìn lại, sai hoàn toàn à" . Một người đàn ông có chút cảm khái lắc đầu, ban đầu hiểu cách cục toàn bộ bị lật đổ.

	"Dùng ngươi đầu óc suy nghĩ một chút, từ cổ chí kim, truyền thừa không dưới triệu năm, làm sao có thể chỉ tồn tại mười mấy thượng vị thần tôn? Có lẽ mấy trăm cái thượng vị thần tôn đều là thiếu" .

	"Tốt lắm, không nên ồn ào, không có thực lực hạ đi vào trong, liền ở bên ngoài tìm ít thứ đi, vậy so mất hứng mà về tốt hơn" .

	. . .

	Cấp tốc rơi xuống cảm, Lâm Phong vậy đã thành thói quen, có thể bằng vào sáng thế lực cảm giác chung quanh trăm mét bên trong, sẽ không xuất hiện nguy hiểm, có cái gì chướng ngại vật cũng có thể hoàn mỹ tránh thoát.

	Ùm một tiếng, Lâm Phong hai cái chân nặng nề rơi vào Túng Ma cốc để, Lâm Phong cả người chấn động một cái, trong lòng nhưng là cảm giác được để, cũng có để.

	Một màn trước mắt để cho Lâm Phong nhiều hơn thiếu vẫn là có chút kinh hãi, ở phía trên không thấy được bên trong tình huống, chỉ có thể biết đây là một tòa thung lũng, ở vào hai toà cao ngất trong dãy núi ở giữa, nhưng mà nhảy vào mới phát hiện, đây lại là một cái miệng to động.

	Cái gọi là lớn miệng động liền là cả hang núi miệng là hướng lên trời miệng, cũng không phải là tài nghệ cửa hang, hơn nữa cửa hang không có biên tuyến, hoàn toàn có thể bọc lại toàn bộ cửa hang.

	Túng Ma cốc lại là một cái miệng to động, Lâm Phong hai chân giẫm ở trên đất là cứng rắn nham thạch, bất quá nhưng là nhàn nhạt lộ một tia màu đỏ, đã khô cạn, tựa hồ có chút giống vết máu.

	Lâm Phong sờ một cái trên đá dấu vết, đích xác là vết máu, từ dưới chân lan tràn đến bốn phía vô số khoảng cách, cơ hồ tất cả đều có máu.

	Lâm Phong một lần nữa bị rung động, rốt cuộc Túng Ma cốc trêu chọc người nào, có bốn vị thần đế cấp bậc tông môn lại cũng sẽ bị toàn bộ tiêu diệt, đến tột cùng là một cái dạng gì nhân vật kinh khủng mới có thể đạt tới?

	"Túng Ma cốc chu vi ba nghìn dặm, phân là bất đồng khu vực, sâu nhất khu vực là nguy hiểm nhất, cũng là cơ hội nhất có thể phát sinh khu vực" . Lâm Phong liếc mắt da bò bản đồ, có mục tiêu mới, đó chính là sâu nhất tầng khu vực.

	Lâm Phong vờn quanh bốn phương, mình chỗ đứng thuộc về khu vực trung tâm, dẫu sao mình là từ phía trên nhảy xuống, ở vào miệng to động trung tâm, mình có thể lựa chọn đi về trước, cũng có thể lựa chọn sau lưng đi.

	"Phía trên bản đồ không có ghi rõ Túng Ma cốc bên trong ngọn cờ, hẳn chế tạo bản đồ vậy không biết bên trong có cái gì, chẳng qua là đánh dấu đại khái hình dạng bề mặt trái đất" .

	"Vậy thì một con đường đi tới cùng, chạy dưới chân con đường này, đi thẳng" . Lâm Phong làm ra quyết định, chạy dưới chân điều này thẳng đạo lý, đi thẳng đi xuống, tổng sẽ đạt tới chỗ sâu.

	Lâm Phong thu hồi bản đồ, sau đó trên người phụ thần thức, lần này coi như không quay đầu lại ngắm nhìn, vậy không cần lo lắng đột nhiên có người tập kích mình, hoặc là đụng phải bên trong linh oán tập kích mình.

	Lâm Phong bình thường nhịp bước hỏi dò bốn phía hình dạng bề mặt trái đất, bởi vì là màu tím sương mù bao phủ duyên cớ, cho nên toàn bộ Túng Ma cốc tỏ ra có chút âm u đáng sợ, dưới chân đá cũng chiếu trước màu tím, tựa như mình thuộc về U Minh trong địa ngục.

	Lâm Phong chạy trước mặt đạo đi thẳng, đại khái nửa giờ sau đó, Lâm Phong cũng không biết mình rốt cuộc đi lại nhiều ít chặng đường, nếu như lấy bình thường suy luận suy tính, chí ít cũng đã là trăm dặm.

	"Nơi này mặc dù không phải là thủ phủ, nhưng cũng không biết là nơi trung tâm cạn tầng vùng" .

	Lâm Phong lời còn chưa dứt, đột nhiên nghe được cách vách truyền đến tiếng bước chân, đặng đặng thanh âm có chút gấp rút, cũng không phải là người ở trấn định trong có thể đi ra nhịp bước, nói cách khác cách vách hẳn xảy ra sự việc.

	Toàn bộ Túng Ma cốc bị chia làm vô số khu vực, mà khu vực bây giờ đều bị ăn mòn tường đá ngăn cách, mỗi một khu vực có thể vô hạn kéo dài, nhưng là hai bên trái phải chỉ có mấy ngàn thước không gian, ở nơi này chút bên trong không gian trừ nham thạch cùng với hiện lên màu tím cỏ dại ra, chỉ còn lại rời rác màu trắng thi hài, bị đá đầu khô lâu, có thể ở nơi này trên tảng đá lăn mấy trăm vòng.

	Trừ tiếng bước chân tăng nhanh ra, Lâm Phong còn nghe được đối diện truyền đến thanh âm chém giết, vũ khí lẫn nhau vật lộn phát ra đồ sắt va chạm thanh âm.

	Lâm Phong nhìn trước mắt bị ăn mòn tường đá, cũng không phải là gió thổi không lọt, mà là mang một ít dong miệng, lớn dong miệng có chừng mười mấy mét chiều rộng, lẫn nhau bây giờ có thể tạt qua.

	Lâm Phong đi ra tường đá, xuất hiện ở cách vách Túng Ma cốc, chính là thấy được hai cái người đàn ông áo bào đen đã đánh khó bỏ khó phân, hai món vũ khí trên không trung luân phiên động, đao sắc bén phong đụng vào nhau, 2 người đã vết thương chồng chất.

	Phốc một tiếng, 2 người đao trong tay cơ hồ đồng thời cắm vào lồng ngực của đối phương trên, huyết dịch bắn bay đến Lâm Phong dưới chân, Lâm Phong hơi nhấc chân, máu ngay tức thì khô khốc, trở thành trên nham thạch một cái nhỏ lấm tấm mà thôi.

	Nhưng hai cái mạng ngay tại Lâm Phong dưới sự làm chứng trôi qua, nhất theo sau thời gian dời đổi chỉ có thể đổi thành hai cổ thi hài.

	"Rốt cuộc dạng gì bảo vật đáng giá 2 người liều mạng như vậy mạng?" Lâm Phong đi tới trước, một cước đá bay hai cây mang máu đao, nhìn một người trong đó trong chặt siết chặt một quả lệnh bài.

	Lâm Phong đẩy tay ra, đưa lệnh bài lấy ra, nhưng là có chút lăng như vậy, lệnh bài kia phơi bày màu mận chín 2 loại màu sắc, hơn nữa lẫn nhau bây giờ hoảng hốt, phía trên chỉ có một dẫn đường văn, ý là số 3.

	"Cái này một cái lệnh bài có ích lợi gì?" Lâm Phong chân thực không rõ ràng, 2 người vì cái này cái một cái cũ nát lệnh bài, còn như cái này cái liều mạng?

	Lâm Phong cười nhạt, chuẩn bị đưa lệnh bài vứt bỏ.

	"Ngươi, đem lệnh bài trong tay giao ra!" .

	Đột nhiên, một tiếng gầm thét từ Lâm Phong sau lưng vang lên, chấn động toàn bộ Túng Ma cốc cũng run lên một cái, Lâm Phong vừa mới chuẩn bị vứt bỏ lệnh bài, nghe sau lưng tiếng rống giận, Lâm Phong chân mày gạt gạt, thu hồi lệnh bài.

	Xoay người lại, Lâm Phong lại thấy được một cái cùng hai cái chết đi người đàn ông áo bào đen, ăn mặc giống nhau như đúc chàng trai, trong tay xách một cái chiều rộng đao, Lâm Phong liếc nhìn hắn cảnh giới, sơ tôn thượng vị thần tôn cảnh giới.

	"Làm sao? Có chuyện?" Lâm Phong nhàn nhạt hỏi chàng trai, không có tức giận, vậy không cần thiết, đối với sơ tôn, Lâm Phong đã lười ra tay.

	"Dĩ nhiên, thức thời, đem lệnh bài giao ra" . Người đàn ông áo bào đen cả vú lấp miệng em trợn mắt nhìn Lâm Phong, đầy mặt kiêu ngạo, hướng về phía Lâm Phong tức giận, sắc mặt vậy cực kỳ cậy mạnh.

	Lâm Phong xem đến đây, sắc mặt ngược lại là hơi phát sanh biến hóa.

	"Ta nếu không đóng vậy?" Lâm Phong nghiền ngẫm hơn nữa hí ngược nhìn chàng trai, táy máy trong tay màu đỏ tím lệnh bài.

	"Vậy, ngươi liền cùng bọn họ như nhau, biến thành xương khô!" . Chàng trai cao ngạo giận quát một tiếng, trên cao nhìn xuống trợn mắt nhìn Lâm Phong, thượng vị thần tôn nhưng mà cái thế giới này người mạnh nhất, hắn còn sợ ai?

	Lâm Phong rõ ràng người đàn ông này ý nghĩ trong lòng, không nhịn được có chút buồn cười, nếu như đổi thành trước kia, mình vậy nhận là thượng vị thần tôn chính là lợi hại nhất, nhưng nhìn nhiều như vậy thần đế cùng bán thần đế, mới hiểu được, thượng vị thần tôn là đỉnh cấp người cười nhạo.

	"Lệnh bài này, còn như các người giằng co sao?" Lâm Phong nắm lệnh bài, ánh mắt dần dần ngưng trọng đi xuống, hỏi chàng trai.

	Nhưng, chàng trai không thức thời, thậm chí không nhìn ra Lâm Phong đã ngưng trọng xuống diễn cảm, như cũ mặt đầy kiều hừ gầm thét lên tiếng nói: "Mau, đem lệnh bài giao ra, nếu không để cho ngươi thành là ta vong hồn dưới đao!" .

	Lâm Phong ánh mắt một chút xíu đổi âm trầm, trong lòng duy nhất một tia có lòng tốt cũng đã biến mất.

	Người không làm chết, cũng sẽ không chết!

	Phốc!

	Đổ máu bay, người chết!

	Lâm Phong lạnh nhạt hình bóng đối ứng chàng trai chết không nhắm mắt hai tròng mắt, Lâm Phong nắm lệnh bài, bóng người biến mất không gặp.

	. . .Chương 858: Người không làm chết, cũng sẽ không chết! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Lấy ngươi tốc độ, ở rạng sáng thì có thể đến" .

	Lâm Phong ở trên không toàn lực phi hành, Tổ Địch lão giả ở bên trong chiếc nhẫn cùng Lâm Phong đối thoại, 2 người chỉ như vậy đang chat đi tới Túng Ma cốc.

	Rạng sáng, thời tiết có chút âm lãnh, chân trời chỉ cúp vài tia ánh nắng đỏ rực, mặt trời nóng rực còn không có dâng lên, không cảm giác được ánh mặt trời chiếu rọi vùng đất ấm áp, hơn nữa ở Túng Ma cốc chỉ có âm u kinh khủng, liền tính ra ánh mặt trời, cũng là như vậy.

	Lâm Phong rơi trên mặt đất, trước mắt vừa nhìn vô tận đều là lồi lõm dãy núi, có đỉnh núi đủ có mấy chục ngàn thước cao, mà có thung lũng nhưng thuộc về độ cao so với mặt biển trở xuống mấy ngàn gạo, hơn nữa thiên nhiên mây tía bình phong che chở, núi cao trên lại là sương mù bao phủ, trên dưới 2 loại màu sắc sương mù, để cho Lâm Phong cảm giác thán phục.

	Màu xanh chân trời, màu trắng mây mù cùng với màu tím cốc sương mù, 3 loại màu sắc xuống Túng Ma cốc tỏ ra có chút đáng sợ, bởi vì là Túng Ma cốc liền là có màu tím sương mù dưới.

	Túng Ma cốc ba cái cổ văn bị khắc chung một chỗ vượt qua trăm thước cao đá lớn trên, đá đã cũ kỹ rất, phía trên còn có bị binh khí chém xấu dấu vết, nhưng đá lại không có vỡ vụn, đủ thấy tảng đá này bản thân liền không giống tầm thường, chỉ là không có người cầm cái này một hòn đá.

	Đá dưới tất cả đều là đằng mạn, chợt vừa thấy cho là màu tím rắn độc đóng đầy đất đai, có chút dọa người.

	Đứng ở đá phía trước, nhìn trước mắt sương mù này dưới Túng Ma cốc, Lâm Phong trực quan liếc nhìn, có chừng mấy ngàn thước độ sâu, có lẽ sâu hơn, bởi vì là từ bên trong không ngừng đi lên mặt dâng lên một loạt buồn nôn khí cùng với hôi thúi hơi thở.

	Bên ngoài hội tụ Túng Ma cốc người vậy càng ngày càng nhiều, bất quá Lâm Phong tạm thời không thấy thượng vị thần tôn cấp bậc người, đều là một ít hạ vị thần tôn chiếm đa số, thậm chí còn có thần hoàng cấp bậc, bọn họ cũng chỉ là ở Túng Ma cốc bên bờ đào ba thước tìm bảo bối.

	Lâm Phong không để ý tới những người này, dùng thần thức hỏi dò Túng Ma cốc tình huống, nhưng mà cũng không có bất kỳ dị thường, thậm chí cũng không cảm giác được bên trong tồn tại hơi thở, Lâm Phong nhưng rất rõ ràng, hết thảy đều là cái này màu tím sương mù giở trò quỷ, sương mù cô lập thần thức hỏi dò.

	Lâm Phong có chút kinh ngạc, mình như vậy thực lực, thần thức cũng không dò xét được, đủ thấy cái này Túng Ma cốc chỗ đáng sợ, quả nhiên là thượng cổ tông tộc một trong, mặc dù bị bị diệt, nhưng di hài đất vậy rất khủng bố, bất quá như vậy tình huống, càng ngày càng kích thích Lâm Phong tò mò.

	"Lần này, nhất định phải dò xét một lần" . Lâm Phong lẩm bẩm một tiếng, sau đó cả người nhảy xuống, ngay tức thì biến mất ở màu tím sương mù trong.

	Vô số người thấy một màn này, sắc mặt nhất thời đại biến, còn có chút hâm mộ.

	"Lại tiến vào một người,

	Xem ra hắn chí ít cũng là thượng vị thần tôn" . Một cái hạ vị thần tôn mặt đầy kích động vừa nói, bọn họ cũng không biết thượng vị thần tôn cũng chia hết mấy cấp bậc, đơn thuần nhận là thượng vị thần tôn đã là lợi hại nhất cấp bậc.

	"Từ hôm qua đến bây giờ, đã nhảy vào đi không dưới trăm người, xem ra tất cả thượng vị thần tôn đều bị hấp dẫn đến Túng Ma cốc liền" .

	"Ai, không nghĩ tới, đại lục trên ẩn núp nhiều như vậy thượng vị thần tôn, vốn là chẳng qua là lấy là mỗi một đế quốc quốc chủ là thượng vị thần tôn, mỗi một thành trì thành chủ là thượng vị thần tôn, bây giờ nhìn lại, sai hoàn toàn à" . Một người đàn ông có chút cảm khái lắc đầu, ban đầu hiểu cách cục toàn bộ bị lật đổ.

	"Dùng ngươi đầu óc suy nghĩ một chút, từ cổ chí kim, truyền thừa không dưới triệu năm, làm sao có thể chỉ tồn tại mười mấy thượng vị thần tôn? Có lẽ mấy trăm cái thượng vị thần tôn đều là thiếu" .

	"Tốt lắm, không nên ồn ào, không có thực lực hạ đi vào trong, liền ở bên ngoài tìm ít thứ đi, vậy so mất hứng mà về tốt hơn" .

	. . .

	Cấp tốc rơi xuống cảm, Lâm Phong vậy đã thành thói quen, có thể bằng vào sáng thế lực cảm giác chung quanh trăm mét bên trong, sẽ không xuất hiện nguy hiểm, có cái gì chướng ngại vật cũng có thể hoàn mỹ tránh thoát.

	Ùm một tiếng, Lâm Phong hai cái chân nặng nề rơi vào Túng Ma cốc để, Lâm Phong cả người chấn động một cái, trong lòng nhưng là cảm giác được để, cũng có để.

	Một màn trước mắt để cho Lâm Phong nhiều hơn thiếu vẫn là có chút kinh hãi, ở phía trên không thấy được bên trong tình huống, chỉ có thể biết đây là một tòa thung lũng, ở vào hai toà cao ngất trong dãy núi ở giữa, nhưng mà nhảy vào mới phát hiện, đây lại là một cái miệng to động.

	Cái gọi là lớn miệng động liền là cả hang núi miệng là hướng lên trời miệng, cũng không phải là tài nghệ cửa hang, hơn nữa cửa hang không có biên tuyến, hoàn toàn có thể bọc lại toàn bộ cửa hang.

	Túng Ma cốc lại là một cái miệng to động, Lâm Phong hai chân giẫm ở trên đất là cứng rắn nham thạch, bất quá nhưng là nhàn nhạt lộ một tia màu đỏ, đã khô cạn, tựa hồ có chút giống vết máu.

	Lâm Phong sờ một cái trên đá dấu vết, đích xác là vết máu, từ dưới chân lan tràn đến bốn phía vô số khoảng cách, cơ hồ tất cả đều có máu.

	Lâm Phong một lần nữa bị rung động, rốt cuộc Túng Ma cốc trêu chọc người nào, có bốn vị thần đế cấp bậc tông môn lại cũng sẽ bị toàn bộ tiêu diệt, đến tột cùng là một cái dạng gì nhân vật kinh khủng mới có thể đạt tới?

	"Túng Ma cốc chu vi ba nghìn dặm, phân là bất đồng khu vực, sâu nhất khu vực là nguy hiểm nhất, cũng là cơ hội nhất có thể phát sinh khu vực" . Lâm Phong liếc mắt da bò bản đồ, có mục tiêu mới, đó chính là sâu nhất tầng khu vực.

	Lâm Phong vờn quanh bốn phương, mình chỗ đứng thuộc về khu vực trung tâm, dẫu sao mình là từ phía trên nhảy xuống, ở vào miệng to động trung tâm, mình có thể lựa chọn đi về trước, cũng có thể lựa chọn sau lưng đi.

	"Phía trên bản đồ không có ghi rõ Túng Ma cốc bên trong ngọn cờ, hẳn chế tạo bản đồ vậy không biết bên trong có cái gì, chẳng qua là đánh dấu đại khái hình dạng bề mặt trái đất" .

	"Vậy thì một con đường đi tới cùng, chạy dưới chân con đường này, đi thẳng" . Lâm Phong làm ra quyết định, chạy dưới chân điều này thẳng đạo lý, đi thẳng đi xuống, tổng sẽ đạt tới chỗ sâu.

	Lâm Phong thu hồi bản đồ, sau đó trên người phụ thần thức, lần này coi như không quay đầu lại ngắm nhìn, vậy không cần lo lắng đột nhiên có người tập kích mình, hoặc là đụng phải bên trong linh oán tập kích mình.

	Lâm Phong bình thường nhịp bước hỏi dò bốn phía hình dạng bề mặt trái đất, bởi vì là màu tím sương mù bao phủ duyên cớ, cho nên toàn bộ Túng Ma cốc tỏ ra có chút âm u đáng sợ, dưới chân đá cũng chiếu trước màu tím, tựa như mình thuộc về U Minh trong địa ngục.

	Lâm Phong chạy trước mặt đạo đi thẳng, đại khái nửa giờ sau đó, Lâm Phong cũng không biết mình rốt cuộc đi lại nhiều ít chặng đường, nếu như lấy bình thường suy luận suy tính, chí ít cũng đã là trăm dặm.

	"Nơi này mặc dù không phải là thủ phủ, nhưng cũng không biết là nơi trung tâm cạn tầng vùng" .

	Lâm Phong lời còn chưa dứt, đột nhiên nghe được cách vách truyền đến tiếng bước chân, đặng đặng thanh âm có chút gấp rút, cũng không phải là người ở trấn định trong có thể đi ra nhịp bước, nói cách khác cách vách hẳn xảy ra sự việc.

	Toàn bộ Túng Ma cốc bị chia làm vô số khu vực, mà khu vực bây giờ đều bị ăn mòn tường đá ngăn cách, mỗi một khu vực có thể vô hạn kéo dài, nhưng là hai bên trái phải chỉ có mấy ngàn thước không gian, ở nơi này chút bên trong không gian trừ nham thạch cùng với hiện lên màu tím cỏ dại ra, chỉ còn lại rời rác màu trắng thi hài, bị đá đầu khô lâu, có thể ở nơi này trên tảng đá lăn mấy trăm vòng.

	Trừ tiếng bước chân tăng nhanh ra, Lâm Phong còn nghe được đối diện truyền đến thanh âm chém giết, vũ khí lẫn nhau vật lộn phát ra đồ sắt va chạm thanh âm.

	Lâm Phong nhìn trước mắt bị ăn mòn tường đá, cũng không phải là gió thổi không lọt, mà là mang một ít dong miệng, lớn dong miệng có chừng mười mấy mét chiều rộng, lẫn nhau bây giờ có thể tạt qua.

	Lâm Phong đi ra tường đá, xuất hiện ở cách vách Túng Ma cốc, chính là thấy được hai cái người đàn ông áo bào đen đã đánh khó bỏ khó phân, hai món vũ khí trên không trung luân phiên động, đao sắc bén phong đụng vào nhau, 2 người đã vết thương chồng chất.

	Phốc một tiếng, 2 người đao trong tay cơ hồ đồng thời cắm vào lồng ngực của đối phương trên, huyết dịch bắn bay đến Lâm Phong dưới chân, Lâm Phong hơi nhấc chân, máu ngay tức thì khô khốc, trở thành trên nham thạch một cái nhỏ lấm tấm mà thôi.

	Nhưng hai cái mạng ngay tại Lâm Phong dưới sự làm chứng trôi qua, nhất theo sau thời gian dời đổi chỉ có thể đổi thành hai cổ thi hài.

	"Rốt cuộc dạng gì bảo vật đáng giá 2 người liều mạng như vậy mạng?" Lâm Phong đi tới trước, một cước đá bay hai cây mang máu đao, nhìn một người trong đó trong chặt siết chặt một quả lệnh bài.

	Lâm Phong đẩy tay ra, đưa lệnh bài lấy ra, nhưng là có chút lăng như vậy, lệnh bài kia phơi bày màu mận chín 2 loại màu sắc, hơn nữa lẫn nhau bây giờ hoảng hốt, phía trên chỉ có một dẫn đường văn, ý là số 3.

	"Cái này một cái lệnh bài có ích lợi gì?" Lâm Phong chân thực không rõ ràng, 2 người vì cái này cái một cái cũ nát lệnh bài, còn như cái này cái liều mạng?

	Lâm Phong cười nhạt, chuẩn bị đưa lệnh bài vứt bỏ.

	"Ngươi, đem lệnh bài trong tay giao ra!" .

	Đột nhiên, một tiếng gầm thét từ Lâm Phong sau lưng vang lên, chấn động toàn bộ Túng Ma cốc cũng run lên một cái, Lâm Phong vừa mới chuẩn bị vứt bỏ lệnh bài, nghe sau lưng tiếng rống giận, Lâm Phong chân mày gạt gạt, thu hồi lệnh bài.

	Xoay người lại, Lâm Phong lại thấy được một cái cùng hai cái chết đi người đàn ông áo bào đen, ăn mặc giống nhau như đúc chàng trai, trong tay xách một cái chiều rộng đao, Lâm Phong liếc nhìn hắn cảnh giới, sơ tôn thượng vị thần tôn cảnh giới.

	"Làm sao? Có chuyện?" Lâm Phong nhàn nhạt hỏi chàng trai, không có tức giận, vậy không cần thiết, đối với sơ tôn, Lâm Phong đã lười ra tay.

	"Dĩ nhiên, thức thời, đem lệnh bài giao ra" . Người đàn ông áo bào đen cả vú lấp miệng em trợn mắt nhìn Lâm Phong, đầy mặt kiêu ngạo, hướng về phía Lâm Phong tức giận, sắc mặt vậy cực kỳ cậy mạnh.

	Lâm Phong xem đến đây, sắc mặt ngược lại là hơi phát sanh biến hóa.

	"Ta nếu không đóng vậy?" Lâm Phong nghiền ngẫm hơn nữa hí ngược nhìn chàng trai, táy máy trong tay màu đỏ tím lệnh bài.

	"Vậy, ngươi liền cùng bọn họ như nhau, biến thành xương khô!" . Chàng trai cao ngạo giận quát một tiếng, trên cao nhìn xuống trợn mắt nhìn Lâm Phong, thượng vị thần tôn nhưng mà cái thế giới này người mạnh nhất, hắn còn sợ ai?

	Lâm Phong rõ ràng người đàn ông này ý nghĩ trong lòng, không nhịn được có chút buồn cười, nếu như đổi thành trước kia, mình vậy nhận là thượng vị thần tôn chính là lợi hại nhất, nhưng nhìn nhiều như vậy thần đế cùng bán thần đế, mới hiểu được, thượng vị thần tôn là đỉnh cấp người cười nhạo.

	"Lệnh bài này, còn như các người giằng co sao?" Lâm Phong nắm lệnh bài, ánh mắt dần dần ngưng trọng đi xuống, hỏi chàng trai.

	Nhưng, chàng trai không thức thời, thậm chí không nhìn ra Lâm Phong đã ngưng trọng xuống diễn cảm, như cũ mặt đầy kiều hừ gầm thét lên tiếng nói: "Mau, đem lệnh bài giao ra, nếu không để cho ngươi thành là ta vong hồn dưới đao!" .

	Lâm Phong ánh mắt một chút xíu đổi âm trầm, trong lòng duy nhất một tia có lòng tốt cũng đã biến mất.

	Người không làm chết, cũng sẽ không chết!

	Phốc!

	Đổ máu bay, người chết!

	Lâm Phong lạnh nhạt hình bóng đối ứng chàng trai chết không nhắm mắt hai tròng mắt, Lâm Phong nắm lệnh bài, bóng người biến mất không gặp.

	. . .
