Chương 1162: Khước từ không hết hôn sự! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Có phải hay không cảm thấy rất đáng sợ?"
	"Không hiểu sao? Ngươi trước đồ sát ta phượng hoàng nhất tộc tướng sĩ, bọn họ tất cả hài cốt đều ở chỗ này, trước mắt ngươi nhìn thấy dáng vóc to hài cốt, đều là bọn họ, mà ngươi đã gặp tộc người hài cốt, dĩ nhiên là tộc người tướng sĩ" .

	"Ý ngươi là nói, những thứ này xương khô đều là ta trước giết chết phượng hoàng tộc tướng sĩ?"

	" Ừ, bọn họ đều là ngươi giết chết, tổng cộng bốn trăm năm mươi vị thần đế cường giả, còn có 4 màu phượng hoàng và ba thải phượng hoàng, hai cái thần tổ cảnh" .

	7 màu phượng hoàng nói cho Lâm Phong con số chính xác, để cho Lâm Phong có một cái hơn nữa trực quan và phán đoán chuẩn xác, mình đi qua ải thứ ba và cửa thứ tư lúc này giết liên tục hơn bốn trăm phượng hoàng tộc tướng sĩ, không một ngoại lệ đều là thần đế cấp cường giả khác.

	Trong đó lại bao gồm ba thải, 4 màu như vậy thần tổ cấp bậc phượng hoàng tộc cường giả, cũng là hai ải thủ quan người.

	"Ta giết bọn họ, ngươi cái này phượng hoàng tộc thủ lãnh, muốn đem ta làm thế nào? Giết lấy an ủi bọn họ trên trời có linh thiêng?" Lâm Phong dứt khoát hỏi ra đối phương tâm tư, cũng không cần như thế một chút xíu thổ lộ ý nghĩa, nếu như muốn muốn giết mình nói, như vậy cứ việc giết, cũng không cần dông dài như vậy.

	"Ha ha, không hổ là địa tổ người mang tới, quả nhiên có cá tính" . Đàn ông gầy nhom cười một tiếng, trên mặt nhưng cũng không có lộ ra quá nhiều ý định giết người, dù là Lâm Phong giết nhiều như vậy phượng hoàng nhất tộc tộc nhân, hắn cũng không có tức giận.

	Có thể hắn càng như vậy, Lâm Phong liền càng không hiểu cái này cổ chiến trường tồn tại ý nghĩa rốt cuộc là cái gì, hơn nữa cùng chiến giới căn bản không thuộc về song song thế giới, nói cách khác chiến giới hôm nay căn bản không biết trong này còn có nhân tộc, như vậy trong chiến trường cổ lại là như thế nào giữ tộc người bất diệt?

	Còn có mình giết nhiều như vậy phượng hoàng tộc tộc nhân, cái này phượng hoàng nhất tộc thủ lãnh nhưng nhìn như không hề tức giận, tựa hồ giống như là nói một kiện cùng bọn họ không có chút quan hệ nào sự việc vậy, đây cũng là vì sao? Các loại nghi ngờ cũng chất ở Lâm Phong trên đầu.

	"Tu La, không cần phải sinh ra đa nghi như vậy hỏi, cái thế giới này rất là phức tạp, ngươi vĩnh viễn cũng sẽ không hoàn toàn biết rõ, một tia không rơi biết rõ, cho nên ngươi có thể làm, chính là làm xong mình thôi" .

	Đàn ông gầy nhom có thể nhìn ra Lâm Phong suy nghĩ trong lòng, một điểm này Lâm Phong cũng không kinh hãi, phàm là thực lực mạnh thần tổ cũng có thể nhìn thấu trong lòng mình suy nghĩ, Vĩnh Hằng quốc độ trên Phục Hạo chính là như vậy.

	"Tiền bối, không nói những lời nhảm nhí này, ta đã tới ải thứ bảy, tiếp theo cần phải làm sao?" Lâm Phong dời đề tài, không muốn ở nơi này chút vô dụng đề tài tiếp tục lãng phí thời gian, nếu đối phương không có giết mình tâm tư, như vậy dây dưa cái đề tài này cũng không dùng.

	"Ngươi muốn làm gì? Khiêu chiến ta?" Đàn ông gầy nhom không trả lời, mà là hỏi ngược lại Lâm Phong, hơn nữa cười tủm tỉm nhìn Lâm Phong, hắn rất muốn biết Lâm Phong là dạng gì tâm tư.

	Lâm Phong đứng tại chỗ, nhìn ngang 7 màu phượng hoàng, hơi cắn môi, thần sắc vẫn là rất ngưng trọng, tiếp tục khiêu chiến 7 màu Phượng Hoàng tỷ lệ thành công có thể nói một chút cũng không có, chỉ có bại, không có thắng.

	Lần này khiêu chiến 6 màu phượng hoàng cũng đã gần ép khô Lâm Phong tất cả lá bài tẩy, nếu như không phải là thời khắc mấu chốt Chiến thần kiếm cùng mình huyết dịch có liên hệ kỳ diệu, sợ rằng mình cũng có thể ngã ở 6 màu Phượng Hoàng quả đấm dưới.

	Đánh nhau 6 màu phượng hoàng còn như vậy khó khăn, chớ nói chi là đối trận phượng hoàng nhất tộc tộc trưởng, nếu là không có huyền niệm chiến đấu, lãng phí thể lực căn bản không trị giá được, huống chi mình đi vào là rèn luyện, cái gọi là rèn luyện cũng chính là khai thác cực hạn của mình một chút, hôm nay mục đích đã đạt đến.

	"Ta có thể đi ra ngoài sao?"

	Hồi lâu sau, Lâm Phong ngẩng đầu lên hỏi đàn ông gầy nhom, nếu không đáng giá được chiến đấu, như vậy dĩ nhiên là cần sắp đi ra ngoài.

	Đàn ông gầy nhom, cũng chính là 7 màu phượng hoàng nhàn nhạt gật đầu, dĩ nhiên có thể đi ra ngoài, thuận lợi xông vào ải thứ bảy, tự nhiên cũng có thể buông tha chiến đấu, hơn nữa đây là Lâm Phong rất khôn khéo quyết định, nếu như sẽ đối quyết hắn mà nói, có lẽ Lâm Phong thật sẽ chết.

	Bởi vì là hắn thật không cầm được lặn giấu ở trong lòng tức giận, có lẽ thật sẽ là chết đi phượng hoàng nhất tộc tộc nhân trả thù, đến lúc đó Lâm Phong một chút cơ hội còn sống cũng không có, mà bây giờ thật sớm thối lui ra, mới là cử chỉ sáng suốt.

	"Tự nhiên có thể đi ra ngoài, bất quá xuất hiện ở trước khi đi, trước đem hôn sự của ngươi làm!" 7 màu phượng hoàng gật đầu, nhưng sau đó còn nói ra một câu nói, để cho Lâm Phong mặt nhất thời biến đổi, theo bản năng hỏi: "Hôn sự? Cái gì hôn sự?"

	"Đương nhiên là ngươi và Thanh Hoàng Thiên hôn sự, làm sao? Thu thư của nàng vật, liền muốn không thừa nhận hôn sự?"

	7 màu Phượng Hoàng sắc mặt nhất thời biến đổi, Lâm Phong giết phượng hoàng tộc người, hắn có thể không truy cứu, dù sao cũng là qua cửa, chết đều ở đây khó tránh khỏi, nhưng chuyện này hắn nhưng sẽ không bỏ qua Lâm Phong, nếu như Lâm Phong dám không tuân thủ, như vậy hắn sẽ không chút do dự một quyền giết Lâm Phong.

	Nam tử hán đại trượng phu, liền chút chuyện này cũng không dám thừa nhận, còn sống làm gì?

	Lâm Phong bây giờ hoàn toàn thuộc về lăng như vậy trong, mình và Thanh Hoàng Thiên hôn sự? Lúc nào mình muốn kết hôn Thanh Hoàng Thiên? Chẳng lẽ. . .

	Bỗng nhiên lúc này, Lâm Phong khổ sở bật cười lên, tín vật, vậy tất nhiên là cái này cái ví, Thanh Hoàng Thiên cho mình cái ví, chẳng lẽ chính là ý nghĩa nàng đem mình phó thác cho mình sao?

	Lâm Phong không cách nào tưởng tượng, cái này mới vừa rời đi võ hồn thế giới, mình ba đứa bé mới vừa mới sinh ra, hậu cung lại phải tăng thêm phụ nữ? Mình cái này tựa hồ chơi hơi lớn!

	Lâm Phong sẽ không nghĩ tới, mình dùng đặc thù phương thức thông qua cửa thứ năm, nhưng đổi lấy như vậy kết quả, cưới gả? Hơn nữa còn là cưới phượng hoàng nhất tộc cô gái, không thể khước từ, một khi khước từ vậy tất nhiên sẽ đưa tới 7 màu Phượng Hoàng sấm sét cơn giận, huống chi hết thảy các thứ này đều là bởi vì vì mình cái miệng này lên, muốn không thừa nhận cái này kiện hôn sự cũng không thể.

	Nếu như biết như vậy kết quả, Lâm Phong mình thà không thông qua cửa thứ năm, hay hoặc là thà và Thanh Hoàng Thiên đại chiến một tràng, cũng không nguyện ý sinh ra như vậy kết quả.

	Qua cửa, nhưng bỗng dưng vô cớ nhiều một cọc hôn sự!

	Thở dài, Lâm Phong vốn đang là thật cao hứng, xông vào ải thứ bảy, có thể tất cả đều bị chuyện hôn sự này cho làm đầu óc mê muội, một chút cũng không cao hứng nổi.

	"Tu La, ta biết ngươi vô tình cưới Thanh Hoàng Thiên, nhưng ngươi mới có thể cảm giác được cô gái này đơn thuần, mặc dù địa vị là 5 màu phượng hoàng, nhưng là một tờ giấy trắng, ở về tình cảm trống không một mảnh, ngươi lời ngon tiếng ngọt, đối với nàng căn bản không có bất kỳ sức đề kháng" .

	"Hơn nữa đứa nhỏ này rất khốc, nàng ra đời không quá nửa năm, phụ thân liền chết trận, ba năm sau, mẹ nàng bởi vì là một tràng bệnh nặng vậy rời đi nhân thế, nàng là cô nhi, từ nhỏ đến lớn cũng không dám và người khác nói nhiều, chớ nói chi là cùng người đàn ông nói chuyện" .

	"Ai, bởi vì làm cái này gặp gỡ, mới đưa đến nàng ở phương diện tình cảm trống không một mảnh, bởi vì là không có gia tộc trưởng bối truyền thụ nàng kinh nghiệm và minh biện thị phi năng lực, cho nên, Tu La, ngươi nếu dám thua nàng, thường nói minh ngươi lòng dạ lãnh khốc, làm người dối trá" .

	7 màu Phượng Hoàng giọng rất là lạnh lùng, hắn nếu lại là lấp kín Lâm Phong muốn muốn cơ hội phản bác, hơn nữa nói được liền một điểm này, Lâm Phong cũng sẽ không nói những thứ khác tới giải bày, hôn sự đã đặt, hơn nữa bởi vì là hắn nói gặp gỡ, Lâm Phong vậy rất đồng tình Thanh Hoàng Thiên.

	Chẳng qua là hôn nhân đại sự, không phải trò đùa, huống chi đối phương là phượng hoàng nhất tộc, huyết mạch cao quý, một điểm này Lâm Phong không khỏi không thừa nhận, cùng tộc người thông gia liền càng trọng yếu.

	Mình không ghét Thanh Hoàng Thiên, hơn nữa còn có một ít trìu mến đối phương, chẳng qua là đây cũng không phải là là có thể để cho mình cam tâm tình nguyện cưới vợ Thanh Hoàng Thiên.

	"Tiền bối, cho ta một đoạn thời gian đi, để cho ta cùng nàng sống chung một đoạn thời gian, có lẽ qua đoạn này thời gian sau đó, Thanh Hoàng Thiên thích những người đàn ông khác, vậy nói không chừng" .

	Lâm Phong chỉ có thể nghĩ như vậy, đem hy vọng ký thác cho đối phương, có lẽ Thanh Hoàng Thiên chẳng qua là tạm thời bị mình lời ngon tiếng ngọt mê mẫn tâm hồn thiếu nữ, cùng thanh tỉnh sau đó thì sẽ khôi phục bình thường.

	7 màu phượng hoàng nhìn chằm chằm Lâm Phong nhìn hồi lâu, cuối cùng vậy khẽ gật đầu, hắn đồng ý cái này cách làm, dẫu sao hắn không muốn để cho phượng hoàng nhất tộc cùng tộc người thông gia, bởi vì là ý vị này huyết mạch sẽ bị làm loãng, càng sẽ ra đời tộc người cùng phượng hoàng nhất tộc hỗn hợp huyết mạch, một khi mới huyết mạch xuất thế, từ khi người này tộc cùng phượng hoàng nhất tộc liền là người một nhà, muốn chia nhỏ cũng cắt không ngừng.

	"Ngươi lúc rời đi, mang theo Thanh Hoàng Thiên đứa nhỏ này, nàng bây giờ đang ở cửa thứ năm chờ ngươi, ngươi đi đi!"

	7 màu phượng hoàng uống câu, sau đó hắn vung tay lên, Lâm Phong chỉ cảm thấy được hoa mắt một cái, cảnh tượng trước mắt lại lần nữa thay đổi.Chương 1162: Khước từ không hết hôn sự! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Có phải hay không cảm thấy rất đáng sợ?"

	Lâm Phong trước người rất đột ngột xuất hiện một cái gầy nhom người đàn ông trung niên, chàng trai khoác trường bào màu tím, đỉnh đầu bảy màu vương miện, lóng lánh ánh sáng 7 màu rất là nhức mắt, Lâm Phong chỉ có thể đưa tay ra ngăn trở đôi mắt, sợ bị ánh sáng mạnh kích thích.

	Trải qua sáu quan cố gắng, Lâm Phong rốt cục thì gặp được phượng hoàng nhất tộc người thống trị cao nhất, 7 màu phượng hoàng.

	"Đây là địa phương nào?" Lâm Phong hỏi một câu, lòng nhưng là bình phục lại, bỏ mặc nói thế nào đã vượt qua trước mặt sáu quan, đi vào cửa ải cuối cùng, đã là thu được thắng lợi, Lâm Phong mình không cho mình quá nhiều áp lực.

	"Cổ chiến trường!" Đàn ông gầy nhom toét miệng cười một tiếng, nụ cười có chút đáng sợ, nhất là hắn còn có hai cây tương đối nhọn răng, ngược lại không giống như phượng hoàng nhất tộc vương giả, mà là quỷ hút máu!

	Lâm Phong chân mày nhỏ chọn, trong lòng nhưng là tràn đầy khiếp sợ, thật lâu đều khó bình phục tâm tình, cổ chiến trường? Đây là mình trước đã tới cổ chiến trường? Nhưng mà tại sao chênh lệch to lớn như vậy, trước khi cổ chiến trường cho dù cũng có loại này xơ xác tiêu điều hơi thở, trong không khí nổi lơ lửng mùi máu tanh, nhưng mà chí ít coi như bình thường chiến trường.

	Nhưng mà nơi này không chỉ có tất cả đều là màu máu đất đai, hơn nữa lại là khắp nơi trắng xương khô, có lớn có nhỏ, lớn xương khô có chừng thành hơn trăm ngàn gạo, thậm chí chục nghìn mét xương khô cũng có, mà đứa nhỏ hài cốt cũng không qua hơn một thước mà thôi, rất hiển nhiên là tộc người.

	Cửa thứ tư và ải thứ bảy bất quá chênh lệch mấy giờ mà thôi, lại lần nữa tiến vào cái này cổ chiến trường nhưng lại là một phen cảnh tượng, có thể so với vượt qua mấy trăm năm như nhau, lại trải qua không cách nào nói rõ thảm thiết chiến tranh.

	"Rất khiếp sợ sao? Ngươi cái này người đầu têu cũng cảm thấy được khiếp sợ?" Đàn ông gầy nhom tiếp tục cười lạnh, liếc mắt Lâm Phong sắc mặt, đích xác rất khó khăn xem.

	Nghe vậy, Lâm Phong nhìn về phía 7 màu phượng hoàng, không hiểu người sau là ý gì, tựa hồ trong lời nói có lời.

	"Ngươi đây là ý gì?"

	"Không hiểu sao? Ngươi trước đồ sát ta phượng hoàng nhất tộc tướng sĩ, bọn họ tất cả hài cốt đều ở chỗ này, trước mắt ngươi nhìn thấy dáng vóc to hài cốt, đều là bọn họ, mà ngươi đã gặp tộc người hài cốt, dĩ nhiên là tộc người tướng sĩ" .

	"Ý ngươi là nói, những thứ này xương khô đều là ta trước giết chết phượng hoàng tộc tướng sĩ?"

	" Ừ, bọn họ đều là ngươi giết chết, tổng cộng bốn trăm năm mươi vị thần đế cường giả, còn có 4 màu phượng hoàng và ba thải phượng hoàng, hai cái thần tổ cảnh" .

	7 màu phượng hoàng nói cho Lâm Phong con số chính xác, để cho Lâm Phong có một cái hơn nữa trực quan và phán đoán chuẩn xác, mình đi qua ải thứ ba và cửa thứ tư lúc này giết liên tục hơn bốn trăm phượng hoàng tộc tướng sĩ, không một ngoại lệ đều là thần đế cấp cường giả khác.

	Trong đó lại bao gồm ba thải, 4 màu như vậy thần tổ cấp bậc phượng hoàng tộc cường giả, cũng là hai ải thủ quan người.

	"Ta giết bọn họ, ngươi cái này phượng hoàng tộc thủ lãnh, muốn đem ta làm thế nào? Giết lấy an ủi bọn họ trên trời có linh thiêng?" Lâm Phong dứt khoát hỏi ra đối phương tâm tư, cũng không cần như thế một chút xíu thổ lộ ý nghĩa, nếu như muốn muốn giết mình nói, như vậy cứ việc giết, cũng không cần dông dài như vậy.

	"Ha ha, không hổ là địa tổ người mang tới, quả nhiên có cá tính" . Đàn ông gầy nhom cười một tiếng, trên mặt nhưng cũng không có lộ ra quá nhiều ý định giết người, dù là Lâm Phong giết nhiều như vậy phượng hoàng nhất tộc tộc nhân, hắn cũng không có tức giận.

	Có thể hắn càng như vậy, Lâm Phong liền càng không hiểu cái này cổ chiến trường tồn tại ý nghĩa rốt cuộc là cái gì, hơn nữa cùng chiến giới căn bản không thuộc về song song thế giới, nói cách khác chiến giới hôm nay căn bản không biết trong này còn có nhân tộc, như vậy trong chiến trường cổ lại là như thế nào giữ tộc người bất diệt?

	Còn có mình giết nhiều như vậy phượng hoàng tộc tộc nhân, cái này phượng hoàng nhất tộc thủ lãnh nhưng nhìn như không hề tức giận, tựa hồ giống như là nói một kiện cùng bọn họ không có chút quan hệ nào sự việc vậy, đây cũng là vì sao? Các loại nghi ngờ cũng chất ở Lâm Phong trên đầu.

	"Tu La, không cần phải sinh ra đa nghi như vậy hỏi, cái thế giới này rất là phức tạp, ngươi vĩnh viễn cũng sẽ không hoàn toàn biết rõ, một tia không rơi biết rõ, cho nên ngươi có thể làm, chính là làm xong mình thôi" .

	Đàn ông gầy nhom có thể nhìn ra Lâm Phong suy nghĩ trong lòng, một điểm này Lâm Phong cũng không kinh hãi, phàm là thực lực mạnh thần tổ cũng có thể nhìn thấu trong lòng mình suy nghĩ, Vĩnh Hằng quốc độ trên Phục Hạo chính là như vậy.

	"Tiền bối, không nói những lời nhảm nhí này, ta đã tới ải thứ bảy, tiếp theo cần phải làm sao?" Lâm Phong dời đề tài, không muốn ở nơi này chút vô dụng đề tài tiếp tục lãng phí thời gian, nếu đối phương không có giết mình tâm tư, như vậy dây dưa cái đề tài này cũng không dùng.

	"Ngươi muốn làm gì? Khiêu chiến ta?" Đàn ông gầy nhom không trả lời, mà là hỏi ngược lại Lâm Phong, hơn nữa cười tủm tỉm nhìn Lâm Phong, hắn rất muốn biết Lâm Phong là dạng gì tâm tư.

	Lâm Phong đứng tại chỗ, nhìn ngang 7 màu phượng hoàng, hơi cắn môi, thần sắc vẫn là rất ngưng trọng, tiếp tục khiêu chiến 7 màu Phượng Hoàng tỷ lệ thành công có thể nói một chút cũng không có, chỉ có bại, không có thắng.

	Lần này khiêu chiến 6 màu phượng hoàng cũng đã gần ép khô Lâm Phong tất cả lá bài tẩy, nếu như không phải là thời khắc mấu chốt Chiến thần kiếm cùng mình huyết dịch có liên hệ kỳ diệu, sợ rằng mình cũng có thể ngã ở 6 màu Phượng Hoàng quả đấm dưới.

	Đánh nhau 6 màu phượng hoàng còn như vậy khó khăn, chớ nói chi là đối trận phượng hoàng nhất tộc tộc trưởng, nếu là không có huyền niệm chiến đấu, lãng phí thể lực căn bản không trị giá được, huống chi mình đi vào là rèn luyện, cái gọi là rèn luyện cũng chính là khai thác cực hạn của mình một chút, hôm nay mục đích đã đạt đến.

	"Ta có thể đi ra ngoài sao?"

	Hồi lâu sau, Lâm Phong ngẩng đầu lên hỏi đàn ông gầy nhom, nếu không đáng giá được chiến đấu, như vậy dĩ nhiên là cần sắp đi ra ngoài.

	Đàn ông gầy nhom, cũng chính là 7 màu phượng hoàng nhàn nhạt gật đầu, dĩ nhiên có thể đi ra ngoài, thuận lợi xông vào ải thứ bảy, tự nhiên cũng có thể buông tha chiến đấu, hơn nữa đây là Lâm Phong rất khôn khéo quyết định, nếu như sẽ đối quyết hắn mà nói, có lẽ Lâm Phong thật sẽ chết.

	Bởi vì là hắn thật không cầm được lặn giấu ở trong lòng tức giận, có lẽ thật sẽ là chết đi phượng hoàng nhất tộc tộc nhân trả thù, đến lúc đó Lâm Phong một chút cơ hội còn sống cũng không có, mà bây giờ thật sớm thối lui ra, mới là cử chỉ sáng suốt.

	"Tự nhiên có thể đi ra ngoài, bất quá xuất hiện ở trước khi đi, trước đem hôn sự của ngươi làm!" 7 màu phượng hoàng gật đầu, nhưng sau đó còn nói ra một câu nói, để cho Lâm Phong mặt nhất thời biến đổi, theo bản năng hỏi: "Hôn sự? Cái gì hôn sự?"

	"Đương nhiên là ngươi và Thanh Hoàng Thiên hôn sự, làm sao? Thu thư của nàng vật, liền muốn không thừa nhận hôn sự?"

	7 màu Phượng Hoàng sắc mặt nhất thời biến đổi, Lâm Phong giết phượng hoàng tộc người, hắn có thể không truy cứu, dù sao cũng là qua cửa, chết đều ở đây khó tránh khỏi, nhưng chuyện này hắn nhưng sẽ không bỏ qua Lâm Phong, nếu như Lâm Phong dám không tuân thủ, như vậy hắn sẽ không chút do dự một quyền giết Lâm Phong.

	Nam tử hán đại trượng phu, liền chút chuyện này cũng không dám thừa nhận, còn sống làm gì?

	Lâm Phong bây giờ hoàn toàn thuộc về lăng như vậy trong, mình và Thanh Hoàng Thiên hôn sự? Lúc nào mình muốn kết hôn Thanh Hoàng Thiên? Chẳng lẽ. . .

	Bỗng nhiên lúc này, Lâm Phong khổ sở bật cười lên, tín vật, vậy tất nhiên là cái này cái ví, Thanh Hoàng Thiên cho mình cái ví, chẳng lẽ chính là ý nghĩa nàng đem mình phó thác cho mình sao?

	Lâm Phong không cách nào tưởng tượng, cái này mới vừa rời đi võ hồn thế giới, mình ba đứa bé mới vừa mới sinh ra, hậu cung lại phải tăng thêm phụ nữ? Mình cái này tựa hồ chơi hơi lớn!

	Lâm Phong sẽ không nghĩ tới, mình dùng đặc thù phương thức thông qua cửa thứ năm, nhưng đổi lấy như vậy kết quả, cưới gả? Hơn nữa còn là cưới phượng hoàng nhất tộc cô gái, không thể khước từ, một khi khước từ vậy tất nhiên sẽ đưa tới 7 màu Phượng Hoàng sấm sét cơn giận, huống chi hết thảy các thứ này đều là bởi vì vì mình cái miệng này lên, muốn không thừa nhận cái này kiện hôn sự cũng không thể.

	Nếu như biết như vậy kết quả, Lâm Phong mình thà không thông qua cửa thứ năm, hay hoặc là thà và Thanh Hoàng Thiên đại chiến một tràng, cũng không nguyện ý sinh ra như vậy kết quả.

	Qua cửa, nhưng bỗng dưng vô cớ nhiều một cọc hôn sự!

	Thở dài, Lâm Phong vốn đang là thật cao hứng, xông vào ải thứ bảy, có thể tất cả đều bị chuyện hôn sự này cho làm đầu óc mê muội, một chút cũng không cao hứng nổi.

	"Tu La, ta biết ngươi vô tình cưới Thanh Hoàng Thiên, nhưng ngươi mới có thể cảm giác được cô gái này đơn thuần, mặc dù địa vị là 5 màu phượng hoàng, nhưng là một tờ giấy trắng, ở về tình cảm trống không một mảnh, ngươi lời ngon tiếng ngọt, đối với nàng căn bản không có bất kỳ sức đề kháng" .

	"Hơn nữa đứa nhỏ này rất khốc, nàng ra đời không quá nửa năm, phụ thân liền chết trận, ba năm sau, mẹ nàng bởi vì là một tràng bệnh nặng vậy rời đi nhân thế, nàng là cô nhi, từ nhỏ đến lớn cũng không dám và người khác nói nhiều, chớ nói chi là cùng người đàn ông nói chuyện" .

	"Ai, bởi vì làm cái này gặp gỡ, mới đưa đến nàng ở phương diện tình cảm trống không một mảnh, bởi vì là không có gia tộc trưởng bối truyền thụ nàng kinh nghiệm và minh biện thị phi năng lực, cho nên, Tu La, ngươi nếu dám thua nàng, thường nói minh ngươi lòng dạ lãnh khốc, làm người dối trá" .

	7 màu Phượng Hoàng giọng rất là lạnh lùng, hắn nếu lại là lấp kín Lâm Phong muốn muốn cơ hội phản bác, hơn nữa nói được liền một điểm này, Lâm Phong cũng sẽ không nói những thứ khác tới giải bày, hôn sự đã đặt, hơn nữa bởi vì là hắn nói gặp gỡ, Lâm Phong vậy rất đồng tình Thanh Hoàng Thiên.

	Chẳng qua là hôn nhân đại sự, không phải trò đùa, huống chi đối phương là phượng hoàng nhất tộc, huyết mạch cao quý, một điểm này Lâm Phong không khỏi không thừa nhận, cùng tộc người thông gia liền càng trọng yếu.

	Mình không ghét Thanh Hoàng Thiên, hơn nữa còn có một ít trìu mến đối phương, chẳng qua là đây cũng không phải là là có thể để cho mình cam tâm tình nguyện cưới vợ Thanh Hoàng Thiên.

	"Tiền bối, cho ta một đoạn thời gian đi, để cho ta cùng nàng sống chung một đoạn thời gian, có lẽ qua đoạn này thời gian sau đó, Thanh Hoàng Thiên thích những người đàn ông khác, vậy nói không chừng" .

	Lâm Phong chỉ có thể nghĩ như vậy, đem hy vọng ký thác cho đối phương, có lẽ Thanh Hoàng Thiên chẳng qua là tạm thời bị mình lời ngon tiếng ngọt mê mẫn tâm hồn thiếu nữ, cùng thanh tỉnh sau đó thì sẽ khôi phục bình thường.

	7 màu phượng hoàng nhìn chằm chằm Lâm Phong nhìn hồi lâu, cuối cùng vậy khẽ gật đầu, hắn đồng ý cái này cách làm, dẫu sao hắn không muốn để cho phượng hoàng nhất tộc cùng tộc người thông gia, bởi vì là ý vị này huyết mạch sẽ bị làm loãng, càng sẽ ra đời tộc người cùng phượng hoàng nhất tộc hỗn hợp huyết mạch, một khi mới huyết mạch xuất thế, từ khi người này tộc cùng phượng hoàng nhất tộc liền là người một nhà, muốn chia nhỏ cũng cắt không ngừng.

	"Ngươi lúc rời đi, mang theo Thanh Hoàng Thiên đứa nhỏ này, nàng bây giờ đang ở cửa thứ năm chờ ngươi, ngươi đi đi!"

	7 màu phượng hoàng uống câu, sau đó hắn vung tay lên, Lâm Phong chỉ cảm thấy được hoa mắt một cái, cảnh tượng trước mắt lại lần nữa thay đổi.
