Chương 284: Các phe lấy lòng! 
 Converter Dzung Kiều cầu khen thưởng 

	"Luật hình trưởng lão, ngươi đi ra?"
	Theo hắn rời đi, còn dư lại hai cái phó sơn chủ cũng ngại quá ở lại chỗ này, nhưng là trước khi rời đi, vẫn là đi tới Lâm Phong trước người.

	"Lâm Phong anh bạn trẻ, ta là núi Kiếm phó sơn chủ, Kiếm Nham, có cơ hội có thể tới ta chỗ ở, ngươi ta lấy ngang vai vế bàn về chi, thảo luận một ít trong vấn đề tu luyện, xin không nên cự tuyệt à" .

	"Đa tạ tiền bối mời, có thời gian, Lâm Phong sẽ tự từng cái bái tạ, không chỉ là ngài, còn có hai vị phó sơn chủ, tất cả đại trưởng lão, tiểu tử cũng biết quấy nhiễu, chẳng qua là hy vọng khi đó, mọi người không muốn chê ta phiền mới là à" . Lâm Phong ôm quả đấm, hướng về phía tất cả mọi người cười nói.

	Nghe vậy, Kiếm Nham sắc mặt nhất thời lý ra vẻ hài lòng, rồi sau đó bước chân đạp một cái, rời đi hình phạt đường.

	"Anh bạn trẻ, ta là phó sơn chủ, Đặng Gia, có thời gian có thể tới ta chỗ ở, ngươi ta ngang vai vế bàn về chi" .

	"Anh bạn trẻ, ta là hộ sơn trưởng lão, Đường phàm, có thời gian có thể tới ta chỗ ở, ngươi ta ngang vai vế bàn về chi" .

	"Anh bạn trẻ, ta là hộ các trưởng lão, ổ đẹp trai rồng, có thời gian có thể tới ta chỗ ở, ngươi ta ngang vai vế bàn về chi" .

	Theo Kiếm Nham dứt lời, liên tục hết mấy núi Kiếm cao tầng cơ hồ tất cả đều nói ra lời giống vậy, để cho vô số núi Kiếm đệ tử vẻ kiêu ngạo vẻ kinh hãi.

	Lâm Phong cũng có chút giật mình, những đại nhân vật này đều đang như vậy phản ứng, Lâm Phong tự nhiên không biết mình ở chỗ này đợi ba ngày ba đêm, là tất cả núi Kiếm đệ tử đều không cách nào sánh bằng, nếu không Lâm Phong cũng không biết cũng đi theo kinh hãi.

	Dĩ nhiên Lâm Phong còn có rất lễ phép từng cái đáp lễ, đạt được rất nhiều nhân vật lớn hài lòng sau đó, Lâm Phong mới dám buông lỏng, gặp những thứ này người đều đi, Lâm Phong lại nhìn mắt chung quanh núi Kiếm đệ tử, đều là vẻ kiêu ngạo hâm mộ nhìn mình.

	Lâm Phong hiền hòa hướng về phía tất cả đệ tử khẽ gật đầu, rồi sau đó bước ra một bước, biến mất ở hình phạt đường, chạy thẳng tới Mộng Tình mấy người chỗ ở sân đi.

	Mà giờ khắc này ở bên trong viện, nhưng phát sinh không hòa hài một màn.

	"Lâm Phong vậy? Lâm Phong không ra, liền phái ra hắn người phụ nữ đối phó ta sao? Hừ" .

	Lục Ly hung thần ác sát cầm chặt hai quả đấm, cả người sát ý ngút trời, toàn bộ sân cũng rơi vào một mảnh khủng bố trong.

	Sân trước, cả người đồ trắng Mộng Tình thần sắc lạnh nhạt nhìn Lục Ly, cả người hơi thở bộc phát âm lạnh lên, Mộng Tình bên người còn có Thiên Si cùng Mạnh Tân cùng với Mạnh Kha 2 anh em, đều là vẻ kiêu ngạo tức giận nhìn Lục Ly.

	"Lục Ly, ngươi tự mình trốn ra được, không chịu đối diện tường suy nghĩ, đã là xúc phạm núi Kiếm đại kỵ, lúc này còn dám tới gây chuyện, Lâm Phong là ta núi Kiếm khách quý, ngươi có thể không nên hồ nháo!" .

	Mạnh Tân bộ mặt tức giận trừng mắt nhìn Lục Ly, hắn giờ phút này hận chết Lục Ly, nếu không phải bởi vì là Lục Ly cùng Lục Nghị 2 anh em, hắn thì như thế nào có thể suýt nữa bị chủ sự trưởng lão xử phạt, thậm chí muốn vận dụng xử tử lăng trì như vậy thủ đoạn hèn hạ?

	Nhưng đồng thời, nếu như không phải là Lâm Phong đại ca cứu hắn, hắn giờ phút này sợ là chỉ còn lại một bộ xương trắng, cho nên đối với Lục Ly, trước kia có như vậy vẻ tôn kính đều biến mất hết.

	Lục Ly nghe Mạnh Tân tiếng hét phẫn nộ cùng với trên mặt giễu cợt, nhất thời sắc mặt âm trầm lạnh độc, hắn thật sự là không dám tưởng tượng, hôm nay núi Kiếm một cái đệ tử bình thường, cũng dám rầy hắn sao?

	"Được, hề hề, thật tốt, Mạnh Kha, đây chính là em trai ngươi, hôm nay em trai ta đã bị Lâm Phong giết, em trai ngươi, liền cho em trai ta chết theo đi, hừ" .

	Lời còn chưa dứt, Lục Ly trực tiếp nhấc chân một bước bước ra, đồng thời một quyền đánh ra, mang lăn lộn sát ý khí lưu, Mạnh Tân rên lên một tiếng, bị cổ khí thế này chấn động lùi lại mấy bước, trợn mắt nhìn đôi mắt thấy Lục Ly khí thế kinh khủng chạy tới mình.

	Mạnh Kha sắc mặt đại biến, tay trái chợt một vung, một đạo ánh sáng quăng ra, nổ vang ở Lục Ly trước người, lúc này, Mạnh Kha bước ra một bước, một cái tay đem Mạnh Tân mang về.

	"Mạnh Tân, nghe đại ca nói, đi mau, đi nói cho Lâm Phong đại ca cứu giúp chúng ta" .

	"Nhưng mà, đại ca, ngươi. . ." . Mạnh Tân vẻ kiêu ngạo khẩn trương nhìn Mạnh Kha, muốn nói điều gì, nhưng là trực tiếp bị Mạnh Kha cắt đứt.

	"Đi nhanh, đừng để cho ta tức giận" . Mạnh Kha hung hăng đẩy một chút Mạnh Tân, ngay sau đó một bước bước ra, chạy thẳng tới Lục Ly đi, hắn mặc dù chỉ có thánh linh hoàng tầng 3 thực lực, nhưng là mấy chiêu bên trong, vẫn sẽ không bại bởi Lục Ly.

	"Hề hề, thật không tệ, các người 2 anh em, xem ra đều là chuẩn bị cho em trai ta Lục Nghị chôn theo, vậy ta sẽ không khách khí!" . Cơ hồ là cắn nát răng, Lục Ly nanh cười một tiếng, rồi sau đó cầm chặt hai quả đấm, chạy thẳng tới Mạnh Kha đuổi ra ngoài.

	Mạnh Kha sắc mặt đã là ảm đạm, nhưng là vẫn kiên trì tới cùng, không chịu buông tha.

	"Mạnh Kha, lui ra đi, ta đi đối phó hắn" .

	Ngay tại lúc này, Mạnh Kha chỉ cảm thấy cả người bị một cổ khí băng hàn đông lại, rồi sau đó bị một cổ Khinh Nhu thêm nhẹ nhàng khoan khoái hơi thở đẩy ra, chỉ gặp cả người đồ trắng Mộng Tình bay ra ngoài, đi tới Lục Ly trước người, một chưởng bổ ra, mang sương lạnh.

	"Hừ, nếu Lâm Phong đem ngươi mang theo bên người, có thể gặp hắn đối với ngươi coi trọng, ta hôm nay liền giết hắn người phụ nữ, Ha ha, ta muốn cho Lâm Phong sống không bằng chết, ha ha! !" .

	Lục Ly đã là cặp mắt máu đỏ, em trai ruột chết tin tức truyền vào hắn trong tai lúc này hắn cũng đã đánh mất phần lớn lý trí, hôm nay cuối cùng một tia cũng mất, hắn trong mắt chỉ có một mục đích, đó chính là muốn cho Lâm Phong nợ máu trả bằng máu, muốn cho Lâm Phong sống không bằng chết, hối hận cả đời! !

	"Hừ, vậy thì mỏi mắt mong chờ đi" . Mộng Tình lạnh lùng quát một tiếng, rồi sau đó đôi mắt trên cũng trùm lên một tia sương lạnh, toàn bộ sân ngay tức thì bị đóng băng, Thiên Si cùng Mạnh Kha không thể không vận dụng nguyên khí chống cự.Chương 284: Các phe lấy lòng! 
 Converter Dzung Kiều cầu khen thưởng 

	"Luật hình trưởng lão, ngươi đi ra?"

	Hình phạt trưởng lão sau khi đi ra, liền lập tức có một cái phó sơn chủ tiến lên câu hỏi, mang trên mặt một tia dịu dàng nụ cười, không dám có nửa tơ bất kính, có thể gặp hình phạt thực lực của trưởng lão cùng địa vị cũng không kém gì cái này sơn chủ.

	" Ừ, lão phu đi ra, các người những người này quan tâm sợ không phải lão phu, mà là vị này anh bạn trẻ đi, à?"

	Hình phạt trưởng lão gật đầu cười một tiếng, rồi sau đó giọng khá là nghiền ngẫm liếc nhìn trước mắt phó sơn chủ, cuối cùng chỉ chỉ sau lưng Lâm Phong, nhìn vòng quanh 4 phương.

	Nhất thời, mấy người toàn đều lộ ra vẻ lúng túng nụ cười, sờ lỗ mũi nhìn Lâm Phong, đúng là, bọn họ chú ý nhất vẫn là Lâm Phong, dù sao đối với một cái có thể ở hình phạt đường ba ngày ba đêm yêu nghiệt, bọn họ chưa bao giờ thấy qua.

	"Hình phạt trưởng lão nói đùa, chúng ta thật ra thì. . ." . Mặc dù trong lòng là nghĩ như vậy, nhưng là trước mắt cái này phó sơn chủ vẫn là cứng rắn chống mặt mũi, bất quá lời nói không rơi, chính là bị hình phạt trưởng lão khoát tay cắt đứt.

	"Tốt lắm, lão phu cùng Lâm Phong anh bạn trẻ ở nội đường lấy cờ kết bạn, đối chiến ba ngày ba đêm, tinh thần rất là mệt mỏi, các người tất cả đi xuống đi, có chuyện gì, sáng mai rồi hãy nói" .

	Hình phạt trưởng lão nói tới chỗ này, chính là xoay người lại, vẻ kiêu ngạo nụ cười ấm áp hướng về phía Lâm Phong nói: "Anh bạn trẻ, chúng ta cái này cờ còn không hạ hoàn, ngày sau có cơ hội, có thể không nên để lại tiếc nuối à, ha ha" .

	"Dám không tuân theo hình phạt trưởng lão lệnh? Hì hì" . Lâm Phong cũng ôm lấy quả đấm, giọng nho nhỏ hài hước liền một lần, hai người gật đầu một cái, rồi sau đó hình phạt trưởng lão một bước bước ra, ngay tức thì biến mất ở trước mắt, ngay sau đó hình phạt đường cửa một tiếng nổ lại lần nữa đóng kín.

	Ba cái phó sơn chủ trố mắt nhìn nhau, cuối cùng chỉ có thể thở dài, rồi sau đó sâu đậm liếc nhìn Lâm Phong, trong mắt lộ ra một tia phức tạp, nhưng là càng nhiều hơn chính là vẻ hài lòng.

	"Chúng ta cũng đi thôi, Lâm Phong anh bạn trẻ chỉ sợ cũng mệt mỏi, cũng sẽ không quấy rầy hắn" . Một cái trong đó phó sơn chủ trầm giọng quát một tiếng, ánh mắt sâu đậm liếc nhìn Lâm Phong sau đó, chính là một bước bước ra, rời đi hình phạt đường.

	Theo hắn rời đi, còn dư lại hai cái phó sơn chủ cũng ngại quá ở lại chỗ này, nhưng là trước khi rời đi, vẫn là đi tới Lâm Phong trước người.

	"Lâm Phong anh bạn trẻ, ta là núi Kiếm phó sơn chủ, Kiếm Nham, có cơ hội có thể tới ta chỗ ở, ngươi ta lấy ngang vai vế bàn về chi, thảo luận một ít trong vấn đề tu luyện, xin không nên cự tuyệt à" .

	"Đa tạ tiền bối mời, có thời gian, Lâm Phong sẽ tự từng cái bái tạ, không chỉ là ngài, còn có hai vị phó sơn chủ, tất cả đại trưởng lão, tiểu tử cũng biết quấy nhiễu, chẳng qua là hy vọng khi đó, mọi người không muốn chê ta phiền mới là à" . Lâm Phong ôm quả đấm, hướng về phía tất cả mọi người cười nói.

	Nghe vậy, Kiếm Nham sắc mặt nhất thời lý ra vẻ hài lòng, rồi sau đó bước chân đạp một cái, rời đi hình phạt đường.

	"Anh bạn trẻ, ta là phó sơn chủ, Đặng Gia, có thời gian có thể tới ta chỗ ở, ngươi ta ngang vai vế bàn về chi" .

	"Anh bạn trẻ, ta là hộ sơn trưởng lão, Đường phàm, có thời gian có thể tới ta chỗ ở, ngươi ta ngang vai vế bàn về chi" .

	"Anh bạn trẻ, ta là hộ các trưởng lão, ổ đẹp trai rồng, có thời gian có thể tới ta chỗ ở, ngươi ta ngang vai vế bàn về chi" .

	Theo Kiếm Nham dứt lời, liên tục hết mấy núi Kiếm cao tầng cơ hồ tất cả đều nói ra lời giống vậy, để cho vô số núi Kiếm đệ tử vẻ kiêu ngạo vẻ kinh hãi.

	Lâm Phong cũng có chút giật mình, những đại nhân vật này đều đang như vậy phản ứng, Lâm Phong tự nhiên không biết mình ở chỗ này đợi ba ngày ba đêm, là tất cả núi Kiếm đệ tử đều không cách nào sánh bằng, nếu không Lâm Phong cũng không biết cũng đi theo kinh hãi.

	Dĩ nhiên Lâm Phong còn có rất lễ phép từng cái đáp lễ, đạt được rất nhiều nhân vật lớn hài lòng sau đó, Lâm Phong mới dám buông lỏng, gặp những thứ này người đều đi, Lâm Phong lại nhìn mắt chung quanh núi Kiếm đệ tử, đều là vẻ kiêu ngạo hâm mộ nhìn mình.

	Lâm Phong hiền hòa hướng về phía tất cả đệ tử khẽ gật đầu, rồi sau đó bước ra một bước, biến mất ở hình phạt đường, chạy thẳng tới Mộng Tình mấy người chỗ ở sân đi.

	Mà giờ khắc này ở bên trong viện, nhưng phát sinh không hòa hài một màn.

	"Lâm Phong vậy? Lâm Phong không ra, liền phái ra hắn người phụ nữ đối phó ta sao? Hừ" .

	Lục Ly hung thần ác sát cầm chặt hai quả đấm, cả người sát ý ngút trời, toàn bộ sân cũng rơi vào một mảnh khủng bố trong.

	Sân trước, cả người đồ trắng Mộng Tình thần sắc lạnh nhạt nhìn Lục Ly, cả người hơi thở bộc phát âm lạnh lên, Mộng Tình bên người còn có Thiên Si cùng Mạnh Tân cùng với Mạnh Kha 2 anh em, đều là vẻ kiêu ngạo tức giận nhìn Lục Ly.

	"Lục Ly, ngươi tự mình trốn ra được, không chịu đối diện tường suy nghĩ, đã là xúc phạm núi Kiếm đại kỵ, lúc này còn dám tới gây chuyện, Lâm Phong là ta núi Kiếm khách quý, ngươi có thể không nên hồ nháo!" .

	Mạnh Tân bộ mặt tức giận trừng mắt nhìn Lục Ly, hắn giờ phút này hận chết Lục Ly, nếu không phải bởi vì là Lục Ly cùng Lục Nghị 2 anh em, hắn thì như thế nào có thể suýt nữa bị chủ sự trưởng lão xử phạt, thậm chí muốn vận dụng xử tử lăng trì như vậy thủ đoạn hèn hạ?

	Nhưng đồng thời, nếu như không phải là Lâm Phong đại ca cứu hắn, hắn giờ phút này sợ là chỉ còn lại một bộ xương trắng, cho nên đối với Lục Ly, trước kia có như vậy vẻ tôn kính đều biến mất hết.

	Lục Ly nghe Mạnh Tân tiếng hét phẫn nộ cùng với trên mặt giễu cợt, nhất thời sắc mặt âm trầm lạnh độc, hắn thật sự là không dám tưởng tượng, hôm nay núi Kiếm một cái đệ tử bình thường, cũng dám rầy hắn sao?

	"Được, hề hề, thật tốt, Mạnh Kha, đây chính là em trai ngươi, hôm nay em trai ta đã bị Lâm Phong giết, em trai ngươi, liền cho em trai ta chết theo đi, hừ" .

	Lời còn chưa dứt, Lục Ly trực tiếp nhấc chân một bước bước ra, đồng thời một quyền đánh ra, mang lăn lộn sát ý khí lưu, Mạnh Tân rên lên một tiếng, bị cổ khí thế này chấn động lùi lại mấy bước, trợn mắt nhìn đôi mắt thấy Lục Ly khí thế kinh khủng chạy tới mình.

	Mạnh Kha sắc mặt đại biến, tay trái chợt một vung, một đạo ánh sáng quăng ra, nổ vang ở Lục Ly trước người, lúc này, Mạnh Kha bước ra một bước, một cái tay đem Mạnh Tân mang về.

	"Mạnh Tân, nghe đại ca nói, đi mau, đi nói cho Lâm Phong đại ca cứu giúp chúng ta" .

	"Nhưng mà, đại ca, ngươi. . ." . Mạnh Tân vẻ kiêu ngạo khẩn trương nhìn Mạnh Kha, muốn nói điều gì, nhưng là trực tiếp bị Mạnh Kha cắt đứt.

	"Đi nhanh, đừng để cho ta tức giận" . Mạnh Kha hung hăng đẩy một chút Mạnh Tân, ngay sau đó một bước bước ra, chạy thẳng tới Lục Ly đi, hắn mặc dù chỉ có thánh linh hoàng tầng 3 thực lực, nhưng là mấy chiêu bên trong, vẫn sẽ không bại bởi Lục Ly.

	"Hề hề, thật không tệ, các người 2 anh em, xem ra đều là chuẩn bị cho em trai ta Lục Nghị chôn theo, vậy ta sẽ không khách khí!" . Cơ hồ là cắn nát răng, Lục Ly nanh cười một tiếng, rồi sau đó cầm chặt hai quả đấm, chạy thẳng tới Mạnh Kha đuổi ra ngoài.

	Mạnh Kha sắc mặt đã là ảm đạm, nhưng là vẫn kiên trì tới cùng, không chịu buông tha.

	"Mạnh Kha, lui ra đi, ta đi đối phó hắn" .

	Ngay tại lúc này, Mạnh Kha chỉ cảm thấy cả người bị một cổ khí băng hàn đông lại, rồi sau đó bị một cổ Khinh Nhu thêm nhẹ nhàng khoan khoái hơi thở đẩy ra, chỉ gặp cả người đồ trắng Mộng Tình bay ra ngoài, đi tới Lục Ly trước người, một chưởng bổ ra, mang sương lạnh.

	"Hừ, nếu Lâm Phong đem ngươi mang theo bên người, có thể gặp hắn đối với ngươi coi trọng, ta hôm nay liền giết hắn người phụ nữ, Ha ha, ta muốn cho Lâm Phong sống không bằng chết, ha ha! !" .

	Lục Ly đã là cặp mắt máu đỏ, em trai ruột chết tin tức truyền vào hắn trong tai lúc này hắn cũng đã đánh mất phần lớn lý trí, hôm nay cuối cùng một tia cũng mất, hắn trong mắt chỉ có một mục đích, đó chính là muốn cho Lâm Phong nợ máu trả bằng máu, muốn cho Lâm Phong sống không bằng chết, hối hận cả đời! !

	"Hừ, vậy thì mỏi mắt mong chờ đi" . Mộng Tình lạnh lùng quát một tiếng, rồi sau đó đôi mắt trên cũng trùm lên một tia sương lạnh, toàn bộ sân ngay tức thì bị đóng băng, Thiên Si cùng Mạnh Kha không thể không vận dụng nguyên khí chống cự.
