Chương 581: Triệu đến? 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Ba ngày sau, hai phe yêu cầu cũng lẫn nhau đáp ứng, liên minh chính thức bắt đầu.
	Hôm sau, thánh triều Long Đô phái ra ba mươi thần hoàng cường giả công kích Thiên Thai, Thiên Thai phương diện chính diện nghênh kích, Đại Hoang triều trợ giúp Thiên Thai chung nhau gặp địch, toàn bộ Thần lục đều bị hai phe đại chiến thổi phồng, bầu không khí khẩn trương cực độ.

	Hai phía đội ngũ ước chừng chiến một ngày một đêm, cuối cùng Thiên Thai hy sinh ba tên thần hoàng, thánh triều Long Đô hy sinh năm tên thần hoàng, chỉ như vậy kết thúc chiến đấu, một cuộc chiến đấu, lắng xuống Thần lục mọi người tò mò trong lòng.

	Nhưng là thật đã chết rồi người sao? Chỉ có Lâm Phong cùng Long Dịch Thiên 2 người lòng biết rõ.

	Sự việc cứ như vậy đi qua, ngoại giới cũng lấy là thánh triều Long Đô cùng Thiên Thai giữa mâu thuẫn càng ngày càng sâu, hơn nữa tất cả mọi người đều không biết thánh triều Long Đô nội bộ rối loạn, bây giờ thánh triều Long Đô tổng thể thực lực hạ xuống rất nhiều, nhưng là có Huyết Nhiễm bí mật gia nhập liên minh, Long Dịch Thiên liền không cần lo lắng.

	Lâm Phong cái này mấy ngày rất dễ dàng, có Jessin trợ giúp, mỗi ngày là trời chiếc yếu một chút đệ tử cùng trưởng lão tiến hành quang chi chúc phúc, thực lực của những người này tất cả đều không có cùng trình độ tăng lên, thực lực một chút xíu tăng cường, Thiên Thai tổng thể thực lực cũng một chút xíu tăng cường.

	Nhưng là Lâm Phong như vậy ngừng cuộc sống cũng không có kéo dài bao lâu, vốn là yên tĩnh nhiều ngày bách giới đại liên minh lại lần nữa người đâu triệu đến Lâm Phong, bất quá có lẽ liên minh đã biết Lâm Phong tính tình nóng nảy, cũng biết lần trước Lâm Phong giết liền bốn lớn người phán quyết, cho nên lần này phái tới người phán quyết, thái độ rõ ràng đã khá nhiều.

	Bất quá dù sao cũng là người phán quyết, trong ngày thường mặt chỉ cao khí ngang cuộc sống nhiều, bây giờ hạ thấp tư thái, để cho người nhìn chân thực không được tự nhiên.

	Lâm Phong ở đại sảnh tiếp đãi cái này hai cái người phán quyết, Lâm Phong biết có một số việc cũng không thể làm quá mức, nhất là Vấn Ngạo Tuyết vẫn còn ở bên trong liên minh mặt, mình làm quá mức, có thể liên minh người tất cả đều đem tức giận thả vào Vấn Ngạo Tuyết trên mình, mình đã cảm thấy thiếu nợ Ngạo Tuyết, Lâm Phong lại không thể làm như vậy.

	"Hai vị, tới đây có chuyện gì?" Lâm Phong để cho người cua hai ly trà, hai người mặc áo dài trắng người phán quyết ngồi ở trên ghế.

	Hai người liếc mắt nhìn nhau, sau đó nam tử trẻ tuổi ôm quyền đầu, giọng rất cứng rắn nói: "Lâm thiên chủ, ngươi đã gia nhập liên minh, cho nên có một số việc phải tuân thủ" .

	"À? Ta tuân thủ cái gì vậy?" Lâm Phong nghe vậy, sắc mặt có chút kinh ngạc, dĩ nhiên đây là giả vờ.

	Chàng trai trên mặt lộ ra một nụ cười châm biếm, hắn há có thể không biết Lâm Phong là giả bộ đi nữa, nhưng là hắn phải cũng phải chứa, nếu không thì sẽ giống như trước khi bốn cái người phán quyết như vậy, chết thảm ở Lâm Phong trong tay.

	"Lâm thiên chủ, ngài đại biểu Cửu Tiêu, cho nên ngài làm nơi là đều đưa là Cửu Tiêu người phụ trách, hôm nay 2 người chúng ta tới đây, chính là Phó minh chủ yêu cầu, để cho ngài nhất định phải đi một chuyến trụ sở chính" .

	"Đi trụ sở chính, làm gì đi?" Lâm Phong nghe chàng trai nói, không nhịn được chân mày nhỏ chọn hỏi.

	Chàng trai mặt không đổi sắc, tiếp tục nói: "Đương nhiên là để cho mọi người chúng ta biết ngài một chút, liên minh chúng ta có rất nhiều trong thế giới thiên kiêu, cũng muốn biết một chút về ngài phong thái, Vấn Ngạo Tuyết cô nương nói qua, ngài là Cửu Tiêu đệ nhất quân, cho nên rất nhiều người cũng muốn biết một chút về" .

	"Không sai, Lâm thiên chủ, cho nên ngài không thể rơi xuống những người này mặt mũi, chủ yếu nhất là Vấn Ngạo Tuyết cô nương ủng hộ ngài, nếu như ngài không đi, như vậy cái này Vấn Ngạo Tuyết cô nương. . ." .

	Một cái khác người phán quyết cũng lên tiếng, nói tới lời lúc này trên mặt cố giả dạng làm một bộ suy tư dáng vẻ, nhưng là Lâm Phong có thể nghe được, đây là phép khích tướng, hơn nữa đem Vấn Ngạo Tuyết dời ra ngoài, nếu như mình không đi, Vấn Ngạo Tuyết khó tránh khỏi sẽ rơi xuống mặt mũi, sau này lại liên minh không có cách nào lẫn vào.

	Lâm Phong có thể không để ý tới những cái kia các thế giới thiên kiêu, nhưng là không thể bỏ mặc Vấn Ngạo Tuyết mặt mũi.

	"Được, ta đáp ứng các người, ta đi" . Lâm Phong cuối cùng gật đầu một cái, đồng ý bách giới đại liên minh triệu đến, mình đáp ứng đi trước.

	Nghe vậy, 2 người sắc mặt mừng rỡ, Lâm Phong thật đồng ý, vậy bọn họ nhiệm vụ cũng coi là hoàn thành, 2 người đứng dậy, hướng về phía Lâm Phong ôm quyền, một người trong đó trầm giọng nói: "Lâm thiên chủ, chúng ta liền cung kính chờ đợi đại giá của ngài liền" .

	"Đây là địa chỉ, mời ngài dựa theo địa chỉ đi trước, ngày tháng chính là 3 ngày sau, trùng hợp cũng là bách giới đại liên minh thành lập ngàn năm khánh điển" .

	2 người vừa nói, đem địa chỉ giao cho Lâm Phong, sau đó chính là cáo biệt Lâm Phong, rời đi Thiên Thai.

	Lâm Phong mắt nhìn hai người rời đi Thiên Thai, thẳng đến biến mất không gặp, nhìn về phía địa chỉ này, bỗng nhiên Lâm Phong chân mày gạt gạt, địa chỉ này. . .

	"Lâm Phong, ngươi đáp ứng?"

	Ngay tại Lâm Phong trầm tư lúc đó, Vấn Ngạo Tuyết vội vàng từ bên ngoài xông tới, nhìn Lâm Phong trong tay cầm tờ giấy, chính là mặt liền biến sắc, gấp gáp hỏi.

	Lâm Phong ngẩng đầu lên, liếc nhìn Vấn Ngạo Tuyết dung nhan xinh đẹp lên lộ ra vẻ lo âu, không kiềm được hé miệng cười nói: "Ngạo Tuyết, đừng lo lắng, ta không có sao" .

	"Lệnh bài vậy?" Vấn Ngạo Tuyết đến gần Lâm Phong bên người, trầm giọng hỏi.

	Nghe vậy, Lâm Phong sắc mặt khẽ run, nghi ngờ hỏi: "Cái gì lệnh bài?"

	"Đương nhiên là liên minh mời lệnh bài à?" Vấn Ngạo Tuyết ý thức được có cái gì không đúng, nhưng vẫn đáp.

	Lâm Phong nghe đến chỗ này, trong lòng không nhịn được lạnh lùng, nụ cười trên mặt cũng lạnh mấy phần.

	"Xem ra, lần này ta thật sự là đáp ứng đối!" . Lâm Phong sắc mặt lạnh như băng, nắm chặt chặt cái này tờ giấy trầm giọng quát lên.

	Vấn Ngạo Tuyết thở dài, nàng biết đây chính là liên minh cố ý, cố ý không cho lệnh bài, mặc dù chiêu này rất già bộ, nhưng là không thể không nói rất thực dụng, chỉ cần không có lệnh bài, chính là không có tư cách đi tham gia đám tiệc, như vậy cũng chính là có thể được mọi người giễu cợt.

	Mà lấy Lâm Phong nóng nảy, muốn người làm nhục hắn?

	Có lẽ, đây chính là chôn xuống một cái mìn định giờ.

	"Ngạo Tuyết, địa chỉ này tại sao là ở Thiên Đế triều?" Lâm Phong nắm trong tay tờ giấy, trên mặt lộ ra vẻ kinh ngạc cùng tò mò hỏi.

	Vấn Ngạo Tuyết cũng biết Lâm Phong sẽ hỏi ra như vậy vấn đề, nàng cũng chỉ có thể nói thật nói thật.

	"Lâm Phong, Thiên Đế cũng gia nhập bách giới đại liên minh, hơn nữa còn là cha hắn Thiên Quỳ mời hắn gia nhập" . Vấn Ngạo Tuyết vừa nói, trên mặt lộ ra một vẻ lo âu, ba ngày sau khánh điển, Thiên Đế nhất định sẽ đích thân tới, như vậy Lâm Phong có thể nói rất nguy hiểm.

	Lâm Phong nghe Vấn Ngạo Tuyết mà nói, cảm giác có chút kinh ngạc, nguyên lai thiên đế cha Thiên Quỳ cũng chưa chết, mà là ở bách giới đại liên minh trong.

	"Nguyên lai Thiên Quỳ không có chết?" Lâm Phong nỉ non một tiếng, trong lòng có chút phức tạp, mình ban đầu vì Hiên Viên ma hoàng, Ma Miện sự việc hoàn toàn cùng Thiên Đế kết làm cừu hận, bây giờ Hiên Viên ma hoàng lợi dụng mình sau đó, đem mình vứt bỏ, phảng phất vứt bỏ một chiếc giày tử như thế dễ dàng, để cho Lâm Phong lòng nguội lạnh.

	Lâm Phong có chút hối hận trợ giúp Hiên Viên ma hoàng, đem Thiên Đế hoàn toàn đắc tội, đắc tội Thiên Đế, tất nhiên mà đắc tội với Thiên Quỳ.

	Thiên Quỳ năm đó thực lực liền so Hiên Viên ma hoàng cao rất nhiều, như vậy bây giờ Lâm Phong bảo thủ phỏng đoán, Thiên Quỳ cha chí ít cũng là thần hoàng cửu trọng thực lực, thậm chí có có thể đã đạt đến bán thần tôn tầng thứ.

	"Lâm Phong. . ." . Vấn Ngạo Tuyết sắc mặt ưu buồn nhìn Lâm Phong, nhưng không biết khuyên như thế nào Lâm Phong, giờ phút này Lâm Phong trong lòng tất nhiên là phức tạp nhất.

	Lâm Phong lắc đầu một cái, khóe miệng dâng lên một tia độ cong, nhìn Vấn Ngạo Tuyết, cười nói: "Không có sao, nếu xuất hiện, thì đi ứng đối" .

	" Ừ, ta cùng ngươi đứng chung một chỗ, đối mặt!" . Vấn Ngạo Tuyết gật đầu một cái, gương mặt tuyệt đẹp lên lộ ra một tia thẹn thùng cùng đắc ý.
