Chương 379: Kịch chiến Thiết Huyền thống lĩnh! 
 Converter Dzung Kiều cầu phiếu 

	"Muốn, nếu như Ma Phong có thể thắng liền ta, ta không nói có thể nói" .
	Thiết Huyền bay ngược trăm mét sau đó, hai chân thật giống như rót đầy súc lực, gắt gao đặt ở giữa không trung trên, rồi sau đó cặp mắt bỗng nhiên biến thành đất vàng một màu sắc giống vậy, thân thể cũng xảy ra vi diệu biến hóa, khôi giáp phát ra ken két thanh âm.

	"Mau xem, Thiết Huyền thống lĩnh muốn thi triển hắn tuyệt kỹ?"

	"Thiết Huyền thống lĩnh lại bị Ma Phong chèn ép đến nơi này cái đến nước?"

	"Quả nhiên cái này Ma Phong không phải nhân vật đơn giản, nếu không như thế nào có thể để cho Hoang thần hoàng tiền bối như vậy sùng bái?"

	Vô số cường giả nhìn trên bầu trời Thiết Huyền, mặt đầy tiếng kinh hô cùng tiếng than thở.

	Lâm Phong đứng ở Thiết Huyền trước người trăm mét ra, có thể cảm giác đến Thiết Huyền trên mình truyền tới khí tức kinh khủng, đây là thuộc về, Huyền Vũ hơi thở.

	Thượng cổ thần thú, Huyền Vũ hơi thở, mạnh nhất lực phòng ngự, không người có thể địch.

	Một tiếng nổ, liền tại tất cả người một mặt khiếp sợ đồng thời, Thiết Huyền trên người khôi giáp ầm ầm vỡ vụn, thà nói vỡ vụn không bằng nói là lần nữa chỉnh hợp, mới khôi giáp xuất hiện ở Thiết Huyền trên mình, đất màu hoàng kim khôi giáp tản ra ánh sáng chói mắt Trạch, to lớn Huyền Vũ hình vẽ cũng chậm rãi hiện lên khôi giáp trên.

	"Huyền Vũ đòn nghiêm trọng!" .

	Một tiếng rống giận truyền tới, Thiết Huyền 2 tay đánh ra, tựa như trên song chưởng không còn là chưởng lực, mà là một đạo thượng cổ thần thú Huyền Vũ bản thể, đủ để đập bể bất kỳ năng lượng nào.

	Lâm Phong cảm giác được chưa bao giờ có đánh vào cảm, tựa như thân thể đều không phải là mình, nguy cơ, tuyệt đối nguy cơ.

	Lâm Phong gầm lên lên tiếng, kiếm phù đồ chớp mắt ra, bị Lâm Phong nắm trong tay, cùng lúc đó lớn Phù Đồ quyết thật giác bị Lâm Phong thi triển ra.

	Nháy mắt tức thì, kiếm phù đồ giống như là bị truyền thụ năng lượng nào đó, thân kiếm bắt đầu mơ hồ tỏa sáng, cuối cùng một đạo màu xám trắng Phù Đồ hơi thở ánh bây giờ trên thân kiếm, kiếm thể lại là ông minh một tiếng, thật giống như thượng cổ Phù Đồ thú ở kêu to.

	Mạnh nhất phòng thủ, gặp phải Lâm Phong từ trước tới nay thi triển ra một kích mạnh nhất, kết quả ai có thể chiến thắng, không người có thể chắc chắn, nhưng mà tất cả mọi người cũng đều chỉ có thể trơ mắt nhìn lượng cổ hủy thiên diệt địa năng lượng đụng vào nhau .

	Oanh oanh vang lớn, kinh khủng năng lượng chấn động 4 phương, ngoài trăm dặm nơi cực âm, kinh khủng màu tím cực âm khí tựa như cũng đi theo chấn động lên, nhưng lại khôi phục bình tĩnh.

	Lâm Phong cùng Thiết Huyền 2 người, tất cả đều bị đánh bay ra ngoài, kinh khủng đối kháng năng lượng liền Hoang thần hoàng đều không ước chừng muốn tự cố phòng thủ, để tránh bị đập tổn thương.

	Tới khắp chung quanh ba trăm cái cường giả, lại là bất đồng trình độ bị đánh vào, đáng sợ công thủ một kích, để cho thành phố trong ao tất cả mọi người đều không có thể may mắn tránh khỏi.

	Cái này cổ va chạm kéo dài ước chừng 10 phút, lượng cổ năng lượng mới triệt tiêu lẫn nhau, kiếm phù đồ ông một tiếng nhẹ vang, cắm ở trên mặt đất, Thiết Huyền đất trên người màu vàng khôi giáp biến mất, vẫn là ban đầu khôi giáp, chỉ bất quá thời khắc này Thiết Huyền xanh cả mặt, khóe miệng rỉ ra một tia vết máu, rất hiển nhiên hắn bị thương.

	Mà nhìn lại Lâm Phong, không có bị thương, nhưng là Lâm Phong tiêu hao cũng là to lớn, Lâm Phong đối mặt đan nữ thời điểm cũng không có như thế toàn lực ứng phó.

	Thiết Huyền, không thể không nói, thành phố trong ao bảy hơn nửa thần hoàng, hắn là mạnh nhất một cái.

	"Ma Phong, từ nay về sau, ta Thiết Huyền phục ngươi, nếu sau này có ai không phục ngươi, thần hoàng trở xuống, ta tất cả thu thập chi!" .

	Thiết Huyền tiếng rống giận truyền khắp toàn bộ thành trì, hắn nếu cũng giống là một cái uy hiếp vậy, không có ai còn dám khiêu khích Lâm Phong.

	Có lẽ Lâm Phong đánh bại Thiết Huyền, như cũ có người không phục, nói thí dụ như đi theo lừa gạt điềm mà đến hai cái bán thần hoàng, nhưng mà Thiết Huyền lên tiếng, vị này Đại thống lĩnh nếu, người bất kỳ cũng không dám không nghe.

	Lâm Phong nhìn về phía Thiết Huyền, cảm kích cười một tiếng.

	"Ma Phong, đi thử nghiệm thành là thành chủ đi, Hiên Viên thành trì, cần ngươi như vậy một vị thành chủ, mặc dù ngươi chưa thành thần hoàng, nhưng sớm có một ngày, ngươi sẽ thành công" .

	Thiết Huyền đứng dậy, lau đi khóe miệng một tia vết máu, hướng về phía Lâm Phong toét miệng cười nói.

	Nghe vậy, Lâm Phong gật đầu một cái, rồi sau đó nhìn về phía Hoang thần hoàng, trong mắt mang vẻ hỏi thăm.

	Hoang thần hoàng có chút khiếp sợ, Lâm Phong thực lực coi là thật thật là mạnh à, mới vừa hắn đều cảm giác một tia vượt qua bán thần hoàng thực lực, đó là thuộc về Lâm Phong, nếu như Lâm Phong tiến lên trước một bước, hắn thậm chí có có thể đánh chết hoặc là bị thương nặng nhất phẩm thần hoàng.

	"Được, ta tuyên bố, tiếp theo. . ." .

	Hoang thần hoàng mang trên mặt nụ cười, chuẩn bị tuyên bố Ma Phong thử nghiệm thành là thành chủ, nhưng mà lời còn chưa dứt, cả ngày Hiên Viên thành trì phương nam truyền tới ánh sáng màu lam chói mắt, cùng với một đám đông nghịt đội ngũ đang ngồi thiên toa tới.

	"Hoang thần hoàng, bọn ta tới tăng viện, ngươi không nghênh đón lại không nói, lại vì một cái cửu trọng đỉnh cấp phế vật, để cho hắn thành là thành chủ, ngươi là vì sao rắp tâm?"

	Oanh. . .

	Kinh khủng năng lượng cuốn tới, Lâm Phong nháy mắt tức thì cảm giác được hô hấp đều phải ngưng, nhìn về phía trên bầu trời xuất hiện màu xanh da trời hộ thể thần quang, lại là một vị thần hoàng, hơn nữa còn là chí cường.

	Chí ít sẽ không so Hoang thần hoàng yếu.

	Hoang thần hoàng nghe được như vậy nghiêm khắc mắng thanh, sắc mặt nhất thời âm trầm xuống, hắn trấn thủ biên ải mấy trăm năm, chưa bao giờ có người dám như thế rầy hắn.

	"Người tới, nhưng mà Thiên Đế hướng sai phái thần hoàng?"Chương 379: Kịch chiến Thiết Huyền thống lĩnh! 
 Converter Dzung Kiều cầu phiếu 

	"Muốn, nếu như Ma Phong có thể thắng liền ta, ta không nói có thể nói" .

	"Hơn nữa, nếu như có ai gan dám phản đối, ta cũng sẽ trợ giúp Ma Phong trấn áp bọn họ!" .

	Một tiếng thét điên cuồng thanh truyền tới, tên này người đàn ông vạm vỡ ăn mặc khôi giáp, khí thế nhưng vô cùng là bàng bạc, dáng dấp mặc dù không coi là anh tuấn, nhưng lại một loại hạo nhiên chính khí ở trong đó.

	Hoang thần hoàng trên mặt lộ ra vẻ yên tâm vui vẻ, rồi sau đó gật đầu một cái nói: "Được, Thiết Huyền nếu như có thể làm được cam kết, ta cũng không thể nói gì được, hơn nữa Thiết Huyền là trong các ngươi bảy nửa thần hoàng trong mạnh nhất, hắn nếu đánh bại, các người tự nhiên cũng không đánh lại Ma Phong" .

	"Thiết Huyền thống lĩnh không bị thua!" .

	"Thiết Huyền thống lĩnh, giương cao ta Hiên Viên thành trì oai!" .

	"Thiết Huyền thống lĩnh, đánh bại Ma Phong, hắn không phải ngươi đối thủ, mặc dù ta rất kính nể hắn" .

	Thành trì phía dưới truyền tới vô số tiếng rống giận, nhưng là không có một cái là đối với Lâm Phong thân phận nói lên chất vấn, nếu như lừa gạt điềm còn sống, tất nhiên sẽ nói, Lâm Phong chính là thôn Tội Đồ tội đồ, Ma hoàng nghiệt chủng đời sau, hủy xấu xa đạo chính thống truyền nhân, không xứng thành là thành chủ.

	Hiển nhiên thân ở Hiên Viên thành trì mỗi một cường giả, trong lòng vốn cũng không có đối với Ma hoàng địch ý, ngược lại có rất nhiều kính ý, nhất là vượt ở thành trì sinh hoạt thời gian càng lâu, đối với Ma hoàng kính nể tình vượt đủ.

	Thành trì phía dưới mấy trăm tên cường giả nhanh chóng tản ra, ước chừng làm thành một đạo đường kính ngàn thước không gian, đủ Thiết Huyền cùng Lâm Phong hai người đối chiến.

	Thiết Huyền thống lĩnh ôm hai quả đấm, đôi mắt cuồn cuộn truyền tới ngạo ý, nhìn về phía Lâm Phong hét: "Ma Phong, mời! !" .

	"Được !" . Lâm Phong thấy Thiết Huyền bất diệt chiến ý, mình chiến máu cũng bị hoàn toàn đốt đứng lên, một cổ ý chí chiến đấu bất khuất bị kích ra, Lâm Phong thân hình chớp mắt, biến mất ở thành trì đỉnh, đi tới Thiết Huyền đối diện, chưa đủ trăm mét.

	"Mời" . Lâm Phong sâu hô giọng, cả người trường bào Liệt động, mái tóc dài bay lượn, trán ở giữa lộ ra một cổ lãnh ngạo cùng tất thắng tín niệm.

	Đã từng, thánh linh hoàng ở trước mặt mình, chính là một tòa núi cao, nhưng mà mình phóng qua, hơn nữa mình chính là thánh linh hoàng trong cường đại nhất tồn tại, không người có thể địch.

	Bây giờ, bán thần hoàng ở trước mặt mình, lại cũng phi một tòa núi cao, chỉ có thể tính là là đá lớn, mình đá văng ra chính là, bán thần hoàng, mình không phải là không có đã đánh bại, cũng không phải là không có từng giết.

	Oanh. . .

	Một tiếng bạo liệt tiếng xé gió vang lên, đại chiến bắt đầu, Lâm Phong một bước bước ra, một quyền chạy Thiết Huyền ngực đánh tới, kinh khủng quyền lực đủ để đánh xuyên chừng mấy tòa Đại Sơn.

	Thiết Huyền khôi giáp trên chiến ý cuồn cuộn mà động, tựa như giáng thế Chiến thần, một quyền đánh ra, một tiếng cự thú gầm to truyền ra, chấn nhiếp chín phương thiên.

	Oanh oanh. . .

	2 món quyền ảnh oanh chung một chỗ, lượng cổ kinh khủng quyền lực lẫn nhau triệt tiêu, cuối cùng Lâm Phong bàn tay buông, hóa quyền thành chưởng, đế ấn quyết thi triển ra, màu trắng đại ấn ngay tức thì trở nên lớn, đánh vào Thiết Huyền trên mình.

	Thiết Huyền hừ lạnh một tiếng, cánh tay trái vừa đỡ, một đạo Huyền Vũ hình vẽ nổi lên, kinh khủng lực phòng ngự đem đế ấn quyết năng lực triệt tiêu.

	"Quả nhiên không đơn giản, có thể cùng ta đánh một trận" . Thiết Huyền sang sãng cười lớn một tiếng, rồi sau đó một bước bước ra, chui vào trời cao, hai cánh tay đánh ra, giống như 2 món rồng khổng lồ lăn lộn giáng thế, hủy thiên diệt địa năng lượng để cho mấy trăm cường giả đều là mặt lộ vẻ vẻ sợ hãi.

	Lâm Phong nheo mắt lại, trên tay nhưng tơ không chút do dự, Ma La phạm thiên quyết bị Lâm Phong thi triển ra, kinh khủng à khí xuyên qua toàn bộ trời đất, tất cả sinh vật tất cả là bụi bậm, một đôi ma đồng ngắm nhìn song long.

	Một tiếng nổ vang lớn, Thiết Huyền rên lên một tiếng, một đầu chạy sau lưng ngã xuống, Lâm Phong bước ra một bước, một quyền đánh ra, khí thế cuồn cuộn tới, Thiết Huyền cảnh ngộ nhưng có chút không ổn.

	Nhưng mà Thiết Huyền cũng không có gấp, hắn tự nhiên biết Ma Phong khó có thể đối phó, cái này lúc trước chém chết không rõ sinh vật là có thể nhìn ra, cho nên hắn không có nửa điểm khinh thị Ma Phong tâm tư.

	Thiết Huyền bay ngược trăm mét sau đó, hai chân thật giống như rót đầy súc lực, gắt gao đặt ở giữa không trung trên, rồi sau đó cặp mắt bỗng nhiên biến thành đất vàng một màu sắc giống vậy, thân thể cũng xảy ra vi diệu biến hóa, khôi giáp phát ra ken két thanh âm.

	"Mau xem, Thiết Huyền thống lĩnh muốn thi triển hắn tuyệt kỹ?"

	"Thiết Huyền thống lĩnh lại bị Ma Phong chèn ép đến nơi này cái đến nước?"

	"Quả nhiên cái này Ma Phong không phải nhân vật đơn giản, nếu không như thế nào có thể để cho Hoang thần hoàng tiền bối như vậy sùng bái?"

	Vô số cường giả nhìn trên bầu trời Thiết Huyền, mặt đầy tiếng kinh hô cùng tiếng than thở.

	Lâm Phong đứng ở Thiết Huyền trước người trăm mét ra, có thể cảm giác đến Thiết Huyền trên mình truyền tới khí tức kinh khủng, đây là thuộc về, Huyền Vũ hơi thở.

	Thượng cổ thần thú, Huyền Vũ hơi thở, mạnh nhất lực phòng ngự, không người có thể địch.

	Một tiếng nổ, liền tại tất cả người một mặt khiếp sợ đồng thời, Thiết Huyền trên người khôi giáp ầm ầm vỡ vụn, thà nói vỡ vụn không bằng nói là lần nữa chỉnh hợp, mới khôi giáp xuất hiện ở Thiết Huyền trên mình, đất màu hoàng kim khôi giáp tản ra ánh sáng chói mắt Trạch, to lớn Huyền Vũ hình vẽ cũng chậm rãi hiện lên khôi giáp trên.

	"Huyền Vũ đòn nghiêm trọng!" .

	Một tiếng rống giận truyền tới, Thiết Huyền 2 tay đánh ra, tựa như trên song chưởng không còn là chưởng lực, mà là một đạo thượng cổ thần thú Huyền Vũ bản thể, đủ để đập bể bất kỳ năng lượng nào.

	Lâm Phong cảm giác được chưa bao giờ có đánh vào cảm, tựa như thân thể đều không phải là mình, nguy cơ, tuyệt đối nguy cơ.

	Lâm Phong gầm lên lên tiếng, kiếm phù đồ chớp mắt ra, bị Lâm Phong nắm trong tay, cùng lúc đó lớn Phù Đồ quyết thật giác bị Lâm Phong thi triển ra.

	Nháy mắt tức thì, kiếm phù đồ giống như là bị truyền thụ năng lượng nào đó, thân kiếm bắt đầu mơ hồ tỏa sáng, cuối cùng một đạo màu xám trắng Phù Đồ hơi thở ánh bây giờ trên thân kiếm, kiếm thể lại là ông minh một tiếng, thật giống như thượng cổ Phù Đồ thú ở kêu to.

	Mạnh nhất phòng thủ, gặp phải Lâm Phong từ trước tới nay thi triển ra một kích mạnh nhất, kết quả ai có thể chiến thắng, không người có thể chắc chắn, nhưng mà tất cả mọi người cũng đều chỉ có thể trơ mắt nhìn lượng cổ hủy thiên diệt địa năng lượng đụng vào nhau .

	Oanh oanh vang lớn, kinh khủng năng lượng chấn động 4 phương, ngoài trăm dặm nơi cực âm, kinh khủng màu tím cực âm khí tựa như cũng đi theo chấn động lên, nhưng lại khôi phục bình tĩnh.

	Lâm Phong cùng Thiết Huyền 2 người, tất cả đều bị đánh bay ra ngoài, kinh khủng đối kháng năng lượng liền Hoang thần hoàng đều không ước chừng muốn tự cố phòng thủ, để tránh bị đập tổn thương.

	Tới khắp chung quanh ba trăm cái cường giả, lại là bất đồng trình độ bị đánh vào, đáng sợ công thủ một kích, để cho thành phố trong ao tất cả mọi người đều không có thể may mắn tránh khỏi.

	Cái này cổ va chạm kéo dài ước chừng 10 phút, lượng cổ năng lượng mới triệt tiêu lẫn nhau, kiếm phù đồ ông một tiếng nhẹ vang, cắm ở trên mặt đất, Thiết Huyền đất trên người màu vàng khôi giáp biến mất, vẫn là ban đầu khôi giáp, chỉ bất quá thời khắc này Thiết Huyền xanh cả mặt, khóe miệng rỉ ra một tia vết máu, rất hiển nhiên hắn bị thương.

	Mà nhìn lại Lâm Phong, không có bị thương, nhưng là Lâm Phong tiêu hao cũng là to lớn, Lâm Phong đối mặt đan nữ thời điểm cũng không có như thế toàn lực ứng phó.

	Thiết Huyền, không thể không nói, thành phố trong ao bảy hơn nửa thần hoàng, hắn là mạnh nhất một cái.

	"Ma Phong, từ nay về sau, ta Thiết Huyền phục ngươi, nếu sau này có ai không phục ngươi, thần hoàng trở xuống, ta tất cả thu thập chi!" .

	Thiết Huyền tiếng rống giận truyền khắp toàn bộ thành trì, hắn nếu cũng giống là một cái uy hiếp vậy, không có ai còn dám khiêu khích Lâm Phong.

	Có lẽ Lâm Phong đánh bại Thiết Huyền, như cũ có người không phục, nói thí dụ như đi theo lừa gạt điềm mà đến hai cái bán thần hoàng, nhưng mà Thiết Huyền lên tiếng, vị này Đại thống lĩnh nếu, người bất kỳ cũng không dám không nghe.

	Lâm Phong nhìn về phía Thiết Huyền, cảm kích cười một tiếng.

	"Ma Phong, đi thử nghiệm thành là thành chủ đi, Hiên Viên thành trì, cần ngươi như vậy một vị thành chủ, mặc dù ngươi chưa thành thần hoàng, nhưng sớm có một ngày, ngươi sẽ thành công" .

	Thiết Huyền đứng dậy, lau đi khóe miệng một tia vết máu, hướng về phía Lâm Phong toét miệng cười nói.

	Nghe vậy, Lâm Phong gật đầu một cái, rồi sau đó nhìn về phía Hoang thần hoàng, trong mắt mang vẻ hỏi thăm.

	Hoang thần hoàng có chút khiếp sợ, Lâm Phong thực lực coi là thật thật là mạnh à, mới vừa hắn đều cảm giác một tia vượt qua bán thần hoàng thực lực, đó là thuộc về Lâm Phong, nếu như Lâm Phong tiến lên trước một bước, hắn thậm chí có có thể đánh chết hoặc là bị thương nặng nhất phẩm thần hoàng.

	"Được, ta tuyên bố, tiếp theo. . ." .

	Hoang thần hoàng mang trên mặt nụ cười, chuẩn bị tuyên bố Ma Phong thử nghiệm thành là thành chủ, nhưng mà lời còn chưa dứt, cả ngày Hiên Viên thành trì phương nam truyền tới ánh sáng màu lam chói mắt, cùng với một đám đông nghịt đội ngũ đang ngồi thiên toa tới.

	"Hoang thần hoàng, bọn ta tới tăng viện, ngươi không nghênh đón lại không nói, lại vì một cái cửu trọng đỉnh cấp phế vật, để cho hắn thành là thành chủ, ngươi là vì sao rắp tâm?"

	Oanh. . .

	Kinh khủng năng lượng cuốn tới, Lâm Phong nháy mắt tức thì cảm giác được hô hấp đều phải ngưng, nhìn về phía trên bầu trời xuất hiện màu xanh da trời hộ thể thần quang, lại là một vị thần hoàng, hơn nữa còn là chí cường.

	Chí ít sẽ không so Hoang thần hoàng yếu.

	Hoang thần hoàng nghe được như vậy nghiêm khắc mắng thanh, sắc mặt nhất thời âm trầm xuống, hắn trấn thủ biên ải mấy trăm năm, chưa bao giờ có người dám như thế rầy hắn.

	"Người tới, nhưng mà Thiên Đế hướng sai phái thần hoàng?"
