Chương 521: mở ra trả thù! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Lâm Phong nói chuyện Hơi có chút nghẹn ngào, lời nói ở giữa càng lộ ra vẻ hưng phấn cùng áy náy.
	"Thật xin lỗi, để cho các người chịu khổ, càng không có ở các người cần ta thời điểm bầu bạn ngươi, thật xin lỗi, Tâm nhi, Diệp nhi" .

	 hồi lâu sau, Lâm Phong mới sâu hô giọng, áy náy hai tròng mắt nhìn hai cô gái nói.

	 nghe vậy, Thu Nguyệt Tâm cùng Đoạn Hân Diệp đối mặt cười một tiếng, bình thản cười nói: "Không có chuyện gì, ngươi muốn không ngừng trở nên mạnh mẽ, chỉ có ngươi trở thành mạnh nhất, chúng ta mới có thể an toàn, sẽ không giống hôm nay như vậy" .

	" Ừ, ta sẽ, nhất định sẽ, sẽ không để cho các người bị một tổn thương chút nào" . Lâm Phong trịnh trọng gật đầu, giống như là lại biến hóa hai cô gái vừa nói, cũng giống là đối 2 đứa bé vừa nói, càng giống như là đối với mình nhấn mạnh lòng kiên định.

	"Tướng công, Thần vực thánh điện. . ." .

	"Ta biết, các người không cần lo lắng, ta sẽ không tha thứ những người này, xem ra ta rất lâu không trở lại, có vài người, đã quên ta lợi hại!" .

	"Bây giờ, nên là hướng bọn họ chứng minh một ít thứ lúc" .

	Lâm Phong cắt đứt Thu Nguyệt Tâm không nói xong nói, hai tròng mắt chậm rãi trở nên âm trầm, đem trong ngực trẻ sơ sinh đưa đến Đoạn Hân Diệp nơi đó, sau đó hướng về phía hai cô gái nói: "Bên ngoài có cường giả hộ tống các người đi Thần thành, nơi này liền giao cho ta, Không cần lo lắng" .

	Lâm Phong vừa nói, bắt ở hai nàng Tay, chạy cửa phòng đi tới.

	 "Tướng công, ngươi không có việc gì, Đúng không?" Thu Nguyệt Tâm mặt rầu rỉ nhìn Lâm Phong, hỏi nhỏ.

	 "dĩ nhiên, tướng công Là ai, ngươi không biết sao?" Lâm Phong mặt đầy nhu tình, nhàn nhạt cười nói.

	 "nhưng mà, nghe nói bọn họ là trong truyền thuyết thần hoàng?" Đoạn Hân Diệp một mặt lo lắng nhìn Lâm Phong, nàng không hy vọng Lâm Phong vì các nàng thiệp hiểm.

	 "Truyền thuyết thần hoàng, Hề hề, con bé ngốc, trong mắt ngươi truyền thuyết, ông xã không biết giết bao nhiêu, yên tâm đi" . Lâm Phong hài hước cười một tiếng, sờ Đoạn Hân Diệp đầu cười nói.

	Đoạn Hân Diệp sắc mặt buồn bã, nàng dĩ nhiên biết Lâm Phong khẳng định rất lợi hại, nhưng là như thế lơ đãng hỏi, nàng khẳng định mình tướng công đã là thần hoàng cường giả, nhưng mà các nàng. . . bất quá thánh linh hoàng tầng 1 mà thôi.

	Lâm Phong không nhìn thấy Đoạn Hân Diệp trên mặt đau tim thần sắc, đem các nàng đưa đến ngoài cửa, nơi này Huyền Vũ thần thú đều chờ ở chỗ này.

	Âm Cửu đi nhanh hồi ngoài cửa phòng, hướng về phía Lâm Phong trầm giọng nói: " đi mau, Ta "Ha ha, người bên ngoài cũng đổi thành Âm Linh điện Người, không muốn lãng phí thời gian" .

	Người quen biết biết, các tiền bối, mời các người Nhiều hơn bảo vệ Tâm nhi cùng Diệp nhi, còn có ta 2 đứa bé" . Lâm Phong ôm quả đấm, hướng về phía Huyền Vũ thần thú mấy cái lão nhân nói.

	Nghe vậy, Huyền Vũ thần thú gật đầu một cái, đem hai cô gái cùng trẻ sơ sinh cũng mạ lên một tầng phòng ngự che chở, trong này mưa gió Cũng Ăn mòn không được, sẽ không làm thương tổn các nàng.

	"Lâm Phong, mình cẩn thận, Thiên Diễn thánh triều cũng phái tới Cường giả, phỏng đoán bọn họ cũng sắp đến rồi, ngươi không muốn mù quáng làm việc, chúng ta liền đi" . Huyền Vũ thần thú biết hắn khuyên không được Lâm Phong, hơn nữa bọn họ bảo vệ Cái này Lâm Phong người phụ nữ, không thể lãng phí thời gian.

	Cho nên bọn họ rời đi, ngồi thiên toa rời đi, nhìn Rời đi bốn người, Lâm Phong trái tim này cuối cùng là Để xuống.

	 "Chúng ta cũng đi thôi" . Âm Cửu hướng về phía Lâm Phong thở dài vừa nói, Lâm Phong không nói gì, nhưng là chuẩn bị đi cứu bị giam ở Thần vực trong thánh điện mặt người quen và các bạn.

	 nhưng mà hai người còn chưa đi ra sân, sân bên ngoài đã đứng đầy mười mấy thần hoàng cấp cường giả khác, từ thần hoàng nhị trọng đến thần hoàng tầng năm bất đồng, đem sân vây nước chảy không lọt, Phía sau của bọn họ Còn có mười mấy loài cá lĩnh vực lãnh chúa cùng thần chủ.

	Âm Cửu ánh mắt đại biến, biết hắn đã lộ tẩy, trong lòng không nhịn được khẩn trương.

	từ trong những người này đi ra Một cái chàng trai áo bào xanh, Đan Thanh Dương.

	Đan Thanh Dương ánh mắt nghiền ngẫm liếc nhìn Âm Cửu, cười lạnh nói: "Đa tạ Âm Cửu huynh đệ, là chúng ta đem Lâm Phong mang vào, chúng ta vô cùng cảm kích!" .

	Đan Thanh Dương vừa nói, ôm quả đấm nhắm ngay Âm Cửu, thật giống như hết thảy các thứ này thật sự là Âm Cửu mưu đồ vậy.

	 "Ngươi ngậm máu phun người, Lâm Phong, ta. . ." . Âm Cửu sắc mặt đại biến, sắc mặt có chút kinh hoảng nhìn về bên cạnh Lâm Phong, rất sợ Lâm Phong tin tưởng.

	Nhưng lời của hắn không có nói ra, chính là bị Lâm Phong lấy tay cắt đứt, trầm giọng nói: "Như vậy mưu kế, ta sẽ không tin, ngươi không cần khẩn trương" .

	 "Cám ơn" . Âm Cửu Xoa xoa mồ hôi lạnh, hắn rất sợ Lâm Phong tin tưởng Đan Thanh Dương kế ly gián, Nếu như vậy hắn nhưng chính là chính phản cũng không phải là người.

	"Ha ha, Lâm Phong không hổ chính là Lâm Phong, quả nhiên không lừa được ngươi" . Đan Thanh Dương sắc mặt hài hước cười to lên, sau lưng hắn nhưng mà đứng mười mấy thần hoàng, còn có một chút bán thần hoàng, hắn Đã không sợ nữa, mặc dù hắn bất quá thần hoàng nhị trọng thực lực, nhưng hắn đoán Lâm Phong giờ phút này nghĩ là như thế nào chạy trốn, mà không phải là giết hắn.

	Nhưng là, hắn thật nghĩ lầm rồi.

	"Đan Thanh Dương, xem ra, Ngươi thật sự rất muốn chết" . Lâm Phong ánh mắt lãnh đạm nhìn Đan Thanh Dương, trong hai tròng mắt sát khí một chút xíu càng sâu, Lâm Phong cầm chặt quả đấm, mắt không chớp Nhìn Đan Thanh Dương.

	 Đan Thanh Dương sắc mặt nhất thời tái nhợt, theo bản năng Lui về phía sau ba bốn bước, rồi sau đó giọng run rẩy quát lên: "Ngươi, ngươi dám, ngươi dám giết ta, ta sau lưng nhưng có, nhưng có mười mấy thần hoàng" .

	 Đan Thanh Dương trong lòng run rẩy, nhưng vẫn là không nhịn được nhắm mắt uy hiếp Lâm Phong, hy vọng Lâm Phong không muốn hành động thiếu suy nghĩ, nhưng mà Lâm Phong nếu là như thế liền thỏa hiệp, vậy coi như Không phải Lâm Phong.

	 "Mười mấy thần hoàng, Ta muốn giết ngươi, ai dám ngăn cản ta?" Lâm Phong tàn nhẫn toét miệng cười một tiếng, nửa hơi bây giờ Lâm Phong bóng người tại chỗ biến mất, chạy thẳng tới Đan Thanh Dương đi.

	Đan Thanh Dương sắc mặt ảm đạm tới cực điểm, liều mạng lui về phía sau, đồng thời lớn tiếng hô: "Đan điện sư thúc, cứu ta à" .

	"Hừ, cuồng vọng đứa nhỏ, để mạng lại!" .

	Đan Thanh Dương vừa dứt lời, liền từ mười mấy thần hoàng trong bay ra hai đại thần hoàng, đều là thần hoàng tứ trọng thực lực, cũng coi là thực lực khủng bố.

	Nhưng mà hôm nay Lâm Phong đã đột phá đến thần hoàng tứ trọng, cái này hai cái thần hoàng tứ trọng vừa có thể Nại Hà mình?

	Lâm Phong hai quả đấm đánh ra, đánh vào hai đại thần hoàng trên cánh tay, hai cái cụ già rên lên một tiếng, tất cả đều bay rớt ra ngoài, Lâm Phong một bước bước ra, tay trái gắt gao cầm không ngừng liều mạng lui về phía sau Đan Thanh Dương, lạnh giọng quát lên: "Ngươi, không nên tới, không nên tới đụng chạm, ta Lâm Phong, nghịch lân!" .

	Lời còn chưa dứt, Lâm Phong ánh mắt âm ngoan, tay trái hung hãn nắm lấy Đi, Đan Thanh Dương trợn to hai mắt, con ngươi Suýt nữa trừng ra ngoài, hắn sắc mặt ảm đạm đến Không có chút máu, bị Lâm Phong bóp gảy cổ, Lâm Phong một cước đá ra, Đan Thanh Dương thi thể vỡ ra, hóa thành huyết vụ đầy trời.

	 rào rào. . .

	Lâm Phong cường thế đánh giết Đan Thanh Dương, đánh lui hai đại thần hoàng tứ trọng cường giả sau đó, mười mấy lĩnh vực lãnh chúa cùng thần chủ cơ hồ hù tè trong quần, bọn họ lấy Là Lâm Phong đơn giản so bọn họ mạnh một chút xíu mà thôi, nhưng là bây giờ xem ra. . .

	 dị vực lãnh chúa cùng nặng vực thần chủ sắc mặt ảm đạm tới cực điểm, bọn họ biết lỗi rồi chuyện gì, chính là chuẩn bị chạy trốn.

	Nhưng mà bọn họ một bước mới vừa bước ra, 2 món ánh mắt âm lạnh liền nhắm ngay bọn họ, để cho bọn họ vạn niệm câu hôi.

	 "Các người, dám làm nhục phụ nữ của ta, không cần hồi các người chỗ ở lĩnh vực!" .

	Hai tiếng nổ tiếng vang lên, hai tá bán thần hoàng cường giả thi thể vỡ ra, ngay cả một cặn bã cũng không có để lại tới, toàn chết.Chương 521: mở ra trả thù! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Lâm Phong nói chuyện Hơi có chút nghẹn ngào, lời nói ở giữa càng lộ ra vẻ hưng phấn cùng áy náy.

	Hưng phấn là mình lại thêm 2 đứa bé, ruột thịt xương thịt, áy náy là mình lại không có thể ở người phụ nữ cần nhất mình thời điểm bầu bạn các nàng, không có trợ giúp các nàng vượt qua thống khổ nhất lúc này Lâm Phong có thẹn với tướng công hai chữ.

	Thu Nguyệt Tâm ôm thật chặt con gái mình, trên mặt mang một tia yêu thương đẹp, đôi ánh mắt sáng hướng về phía Lâm Phong cười nói: "Kêu Niệm nhi, lâm Niệm nhi" .

	 "Lâm Niệm nhi?" Lâm Phong nỉ non một tiếng, từ Thu Nguyệt Tâm trong ngực từ từ đem con gái mình ôm vào trong ngực, Lâm Phong mặc dù có hai con trai, nhưng mà cái này hai con trai ra đời thậm chí trưởng thành mình đều không ở bên người, cho nên đối với hộ lý đứa trẻ, không có nửa điểm kinh nghiệm.

	Nhưng mà Lâm Phong bây giờ rất vui vẻ, lại là Kích động, bản thân có con gái, rốt cuộc có con gái, đây là Mình con gái lớn, lâm Niệm nhi!

	Mình trông đợi nhiều ít năm có thể có một đứa con gái, hôm nay thực hiện nguyện vọng này, ôm vào trong ngực bé gái mà tựa như cũng biết trước mắt là cha mình vậy, lại mềm Nộn khóe miệng dâng lên hơi nụ cười, y Nha lên tiếng.

	Lâm Phong kích động chảy xuống nước mắt, không ngừng gật đầu cười nói: "Được, được , Niệm nhi, Niệm nhi, ta con gái bảo bối" .

	Lâm Phong Chậm rãi đem lâm Niệm nhi đưa về Thu Nguyệt Tâm trong ngực, sau đó nhìn về Đoạn Hân Diệp trong ngực bé trai sơ sinh, ánh mắt Nhiều Một tia ánh sáng.

	Đoạn Hân Diệp Nhẹ nhàng nói chuyện, rất sợ đánh thức trong giấc mộng Lâm Hằng.

	"Mãi mãi Mà, Lâm Hằng" . Đoạn Hân Diệp cũng đem Đứa trẻ thận trọng đưa vào đại hán trước mắt này trong ngực, Lâm Phong cường tráng hai tay nhận lấy mình con trai thứ ba, Trong lòng Như cũ cao hứng không dứt.

	 "Lâm Hằng, Ta con trai bảo bối, ngươi kêu Lâm Hằng" . Lâm Phong rất sợ bị thương mình con trai nhỏ, chỉ là nhẹ nhàng lấy tay chỉ một cái cái này Nhu Thủy giống vậy trẻ sơ sinh da, Lâm Hằng như cũ ngủ tiếp, tựa như không có cảm giác được cha đang vuốt ve hắn.

	"Đứa nhỏ rất có thể ăn sao" . Đoạn Hân Diệp nhìn mình con trai, đầy mặt hạnh phúc.

	Lâm Phong nghe vậy, nhẹ nhàng gật đầu, yêu thương nhìn mình 2 đứa bé, mới ra đời đứa trẻ.

	"Thật xin lỗi, để cho các người chịu khổ, càng không có ở các người cần ta thời điểm bầu bạn ngươi, thật xin lỗi, Tâm nhi, Diệp nhi" .

	 hồi lâu sau, Lâm Phong mới sâu hô giọng, áy náy hai tròng mắt nhìn hai cô gái nói.

	 nghe vậy, Thu Nguyệt Tâm cùng Đoạn Hân Diệp đối mặt cười một tiếng, bình thản cười nói: "Không có chuyện gì, ngươi muốn không ngừng trở nên mạnh mẽ, chỉ có ngươi trở thành mạnh nhất, chúng ta mới có thể an toàn, sẽ không giống hôm nay như vậy" .

	" Ừ, ta sẽ, nhất định sẽ, sẽ không để cho các người bị một tổn thương chút nào" . Lâm Phong trịnh trọng gật đầu, giống như là lại biến hóa hai cô gái vừa nói, cũng giống là đối 2 đứa bé vừa nói, càng giống như là đối với mình nhấn mạnh lòng kiên định.

	"Tướng công, Thần vực thánh điện. . ." .

	"Ta biết, các người không cần lo lắng, ta sẽ không tha thứ những người này, xem ra ta rất lâu không trở lại, có vài người, đã quên ta lợi hại!" .

	"Bây giờ, nên là hướng bọn họ chứng minh một ít thứ lúc" .

	Lâm Phong cắt đứt Thu Nguyệt Tâm không nói xong nói, hai tròng mắt chậm rãi trở nên âm trầm, đem trong ngực trẻ sơ sinh đưa đến Đoạn Hân Diệp nơi đó, sau đó hướng về phía hai cô gái nói: "Bên ngoài có cường giả hộ tống các người đi Thần thành, nơi này liền giao cho ta, Không cần lo lắng" .

	Lâm Phong vừa nói, bắt ở hai nàng Tay, chạy cửa phòng đi tới.

	 "Tướng công, ngươi không có việc gì, Đúng không?" Thu Nguyệt Tâm mặt rầu rỉ nhìn Lâm Phong, hỏi nhỏ.

	 "dĩ nhiên, tướng công Là ai, ngươi không biết sao?" Lâm Phong mặt đầy nhu tình, nhàn nhạt cười nói.

	 "nhưng mà, nghe nói bọn họ là trong truyền thuyết thần hoàng?" Đoạn Hân Diệp một mặt lo lắng nhìn Lâm Phong, nàng không hy vọng Lâm Phong vì các nàng thiệp hiểm.

	 "Truyền thuyết thần hoàng, Hề hề, con bé ngốc, trong mắt ngươi truyền thuyết, ông xã không biết giết bao nhiêu, yên tâm đi" . Lâm Phong hài hước cười một tiếng, sờ Đoạn Hân Diệp đầu cười nói.

	Đoạn Hân Diệp sắc mặt buồn bã, nàng dĩ nhiên biết Lâm Phong khẳng định rất lợi hại, nhưng là như thế lơ đãng hỏi, nàng khẳng định mình tướng công đã là thần hoàng cường giả, nhưng mà các nàng. . . bất quá thánh linh hoàng tầng 1 mà thôi.

	Lâm Phong không nhìn thấy Đoạn Hân Diệp trên mặt đau tim thần sắc, đem các nàng đưa đến ngoài cửa, nơi này Huyền Vũ thần thú đều chờ ở chỗ này.

	Âm Cửu đi nhanh hồi ngoài cửa phòng, hướng về phía Lâm Phong trầm giọng nói: " đi mau, Ta "Ha ha, người bên ngoài cũng đổi thành Âm Linh điện Người, không muốn lãng phí thời gian" .

	Người quen biết biết, các tiền bối, mời các người Nhiều hơn bảo vệ Tâm nhi cùng Diệp nhi, còn có ta 2 đứa bé" . Lâm Phong ôm quả đấm, hướng về phía Huyền Vũ thần thú mấy cái lão nhân nói.

	Nghe vậy, Huyền Vũ thần thú gật đầu một cái, đem hai cô gái cùng trẻ sơ sinh cũng mạ lên một tầng phòng ngự che chở, trong này mưa gió Cũng Ăn mòn không được, sẽ không làm thương tổn các nàng.

	"Lâm Phong, mình cẩn thận, Thiên Diễn thánh triều cũng phái tới Cường giả, phỏng đoán bọn họ cũng sắp đến rồi, ngươi không muốn mù quáng làm việc, chúng ta liền đi" . Huyền Vũ thần thú biết hắn khuyên không được Lâm Phong, hơn nữa bọn họ bảo vệ Cái này Lâm Phong người phụ nữ, không thể lãng phí thời gian.

	Cho nên bọn họ rời đi, ngồi thiên toa rời đi, nhìn Rời đi bốn người, Lâm Phong trái tim này cuối cùng là Để xuống.

	 "Chúng ta cũng đi thôi" . Âm Cửu hướng về phía Lâm Phong thở dài vừa nói, Lâm Phong không nói gì, nhưng là chuẩn bị đi cứu bị giam ở Thần vực trong thánh điện mặt người quen và các bạn.

	 nhưng mà hai người còn chưa đi ra sân, sân bên ngoài đã đứng đầy mười mấy thần hoàng cấp cường giả khác, từ thần hoàng nhị trọng đến thần hoàng tầng năm bất đồng, đem sân vây nước chảy không lọt, Phía sau của bọn họ Còn có mười mấy loài cá lĩnh vực lãnh chúa cùng thần chủ.

	Âm Cửu ánh mắt đại biến, biết hắn đã lộ tẩy, trong lòng không nhịn được khẩn trương.

	từ trong những người này đi ra Một cái chàng trai áo bào xanh, Đan Thanh Dương.

	Đan Thanh Dương ánh mắt nghiền ngẫm liếc nhìn Âm Cửu, cười lạnh nói: "Đa tạ Âm Cửu huynh đệ, là chúng ta đem Lâm Phong mang vào, chúng ta vô cùng cảm kích!" .

	Đan Thanh Dương vừa nói, ôm quả đấm nhắm ngay Âm Cửu, thật giống như hết thảy các thứ này thật sự là Âm Cửu mưu đồ vậy.

	 "Ngươi ngậm máu phun người, Lâm Phong, ta. . ." . Âm Cửu sắc mặt đại biến, sắc mặt có chút kinh hoảng nhìn về bên cạnh Lâm Phong, rất sợ Lâm Phong tin tưởng.

	Nhưng lời của hắn không có nói ra, chính là bị Lâm Phong lấy tay cắt đứt, trầm giọng nói: "Như vậy mưu kế, ta sẽ không tin, ngươi không cần khẩn trương" .

	 "Cám ơn" . Âm Cửu Xoa xoa mồ hôi lạnh, hắn rất sợ Lâm Phong tin tưởng Đan Thanh Dương kế ly gián, Nếu như vậy hắn nhưng chính là chính phản cũng không phải là người.

	"Ha ha, Lâm Phong không hổ chính là Lâm Phong, quả nhiên không lừa được ngươi" . Đan Thanh Dương sắc mặt hài hước cười to lên, sau lưng hắn nhưng mà đứng mười mấy thần hoàng, còn có một chút bán thần hoàng, hắn Đã không sợ nữa, mặc dù hắn bất quá thần hoàng nhị trọng thực lực, nhưng hắn đoán Lâm Phong giờ phút này nghĩ là như thế nào chạy trốn, mà không phải là giết hắn.

	Nhưng là, hắn thật nghĩ lầm rồi.

	"Đan Thanh Dương, xem ra, Ngươi thật sự rất muốn chết" . Lâm Phong ánh mắt lãnh đạm nhìn Đan Thanh Dương, trong hai tròng mắt sát khí một chút xíu càng sâu, Lâm Phong cầm chặt quả đấm, mắt không chớp Nhìn Đan Thanh Dương.

	 Đan Thanh Dương sắc mặt nhất thời tái nhợt, theo bản năng Lui về phía sau ba bốn bước, rồi sau đó giọng run rẩy quát lên: "Ngươi, ngươi dám, ngươi dám giết ta, ta sau lưng nhưng có, nhưng có mười mấy thần hoàng" .

	 Đan Thanh Dương trong lòng run rẩy, nhưng vẫn là không nhịn được nhắm mắt uy hiếp Lâm Phong, hy vọng Lâm Phong không muốn hành động thiếu suy nghĩ, nhưng mà Lâm Phong nếu là như thế liền thỏa hiệp, vậy coi như Không phải Lâm Phong.

	 "Mười mấy thần hoàng, Ta muốn giết ngươi, ai dám ngăn cản ta?" Lâm Phong tàn nhẫn toét miệng cười một tiếng, nửa hơi bây giờ Lâm Phong bóng người tại chỗ biến mất, chạy thẳng tới Đan Thanh Dương đi.

	Đan Thanh Dương sắc mặt ảm đạm tới cực điểm, liều mạng lui về phía sau, đồng thời lớn tiếng hô: "Đan điện sư thúc, cứu ta à" .

	"Hừ, cuồng vọng đứa nhỏ, để mạng lại!" .

	Đan Thanh Dương vừa dứt lời, liền từ mười mấy thần hoàng trong bay ra hai đại thần hoàng, đều là thần hoàng tứ trọng thực lực, cũng coi là thực lực khủng bố.

	Nhưng mà hôm nay Lâm Phong đã đột phá đến thần hoàng tứ trọng, cái này hai cái thần hoàng tứ trọng vừa có thể Nại Hà mình?

	Lâm Phong hai quả đấm đánh ra, đánh vào hai đại thần hoàng trên cánh tay, hai cái cụ già rên lên một tiếng, tất cả đều bay rớt ra ngoài, Lâm Phong một bước bước ra, tay trái gắt gao cầm không ngừng liều mạng lui về phía sau Đan Thanh Dương, lạnh giọng quát lên: "Ngươi, không nên tới, không nên tới đụng chạm, ta Lâm Phong, nghịch lân!" .

	Lời còn chưa dứt, Lâm Phong ánh mắt âm ngoan, tay trái hung hãn nắm lấy Đi, Đan Thanh Dương trợn to hai mắt, con ngươi Suýt nữa trừng ra ngoài, hắn sắc mặt ảm đạm đến Không có chút máu, bị Lâm Phong bóp gảy cổ, Lâm Phong một cước đá ra, Đan Thanh Dương thi thể vỡ ra, hóa thành huyết vụ đầy trời.

	 rào rào. . .

	Lâm Phong cường thế đánh giết Đan Thanh Dương, đánh lui hai đại thần hoàng tứ trọng cường giả sau đó, mười mấy lĩnh vực lãnh chúa cùng thần chủ cơ hồ hù tè trong quần, bọn họ lấy Là Lâm Phong đơn giản so bọn họ mạnh một chút xíu mà thôi, nhưng là bây giờ xem ra. . .

	 dị vực lãnh chúa cùng nặng vực thần chủ sắc mặt ảm đạm tới cực điểm, bọn họ biết lỗi rồi chuyện gì, chính là chuẩn bị chạy trốn.

	Nhưng mà bọn họ một bước mới vừa bước ra, 2 món ánh mắt âm lạnh liền nhắm ngay bọn họ, để cho bọn họ vạn niệm câu hôi.

	 "Các người, dám làm nhục phụ nữ của ta, không cần hồi các người chỗ ở lĩnh vực!" .

	Hai tiếng nổ tiếng vang lên, hai tá bán thần hoàng cường giả thi thể vỡ ra, ngay cả một cặn bã cũng không có để lại tới, toàn chết.
