Hình đường chủ sững sờ tại nguyên chỗ, có chút không nghe rõ.

	"Đánh cái gì?"
	Như thế lớn kiến trúc, không ngừng uốn éo người, mặt ngoài bôi lên vật, cát, bị đánh từng tầng từng tầng rớt xuống, bụi đất tung bay , khiến cho người kinh dị.

	Mấu chốt nhất là. . . Như thế vật lớn, thế mà đối một thanh niên làm điệu làm bộ, đủ kiểu lấy lòng, đồng thời lộ ra một mặt oan ức. . . Hình đường chủ, Liêu điện chủ hai người đều cảm giác đến thế giới quan của bản thân đổ sụp.

	"Nguyễn hội trưởng, Trần hội phó, Hứa hội phó!" Đi tới gần, Liêu điện chủ giới thiệu: "Đây là chúng ta Chiến sư đường hình đường chủ!"

	"Ngưỡng mộ đại danh đã lâu. . ."

	Ba vị Khải Linh sư công hội cường giả liền vội vàng khom người.

	"Cùng thuộc một thành, nhưng vẫn không tới tiếp kiến qua, Hình mỗ hổ thẹn. . ."

	Khách sáo vài câu, hình đường chủ nhìn về phía trước: "Vị này Tôn Cường Khải Linh sư, hình như chưa bao giờ thấy qua. . ."

	"Hắn vừa tới Thanh Nguyên thành, khải linh chi thuật, để cho chúng ta ngước nhìn, đường chủ nếu quả thật muốn linh hồn tinh khiết, tu vi nhanh chóng tiến bộ, tìm hắn khải linh, tất nhiên có thể tạo được hiệu quả tốt hơn!" Nguyễn hội trưởng nói.

	Trước mắt vị danh sư này đường đường chủ, thực lực quá mạnh, để nàng khải linh, thật là có rất lớn áp lực.

	"Chỉ sợ còn muốn làm phiền hội trưởng giới thiệu. . ."

	Hình đường chủ gấp vội vàng gật đầu.

	"Ta cùng hắn cũng là mới quen, nếu như đối phương không nguyện ý, vậy liền không có biện pháp. . ."

	Nguyễn hội trưởng lên tiếng.

	"Đúng rồi, Nguyễn hội trưởng, còn không có hỏi một chút, vị này Tôn Cường Khải Linh sư, tại sao phải đánh công hội?" Một bên Liêu điện chủ hỏi.

	Chuyện này để hắn làm sao đều nghĩ mãi mà không rõ.

	Đã khải linh thành công, tại sao phải giáo huấn đối phương?

	"Khải Linh sư công hội, mới vừa bị khải linh, còn không có gì năng lực phán đoán, vừa rồi trực tiếp đạp chết mất hai người, lúc này mới dẫn hắn giận dữ!" Nguyễn hội trưởng cười khổ.

	"Giẫm chết người?" Liêu điện chủ cùng hình đường chủ đồng thời sững sờ.

	"Đúng vậy a, Tề Bắc song hùng Tàng Hư cùng Đạo Khấu, đều bị tại chỗ đạp chết rồi. . ." Nguyễn hội trưởng đem chuyện vừa rồi kỹ càng nói một lần.

	"Tề Bắc song hùng xú danh rõ ràng, giết người vô số, không nghĩ tới thế mà chết tại nơi này. . ."

	Nghe xong đi qua, hai vị Chiến sư, đồng thời sửng sốt, một hồi cười khổ.

	Tề Bắc song hùng danh khí không nhỏ, nếu không phải thực lực mạnh mẽ, lại thêm giấu ở đầm lầy bên trong, khẳng định sớm đã bị người chém giết, căn bản không có khả năng sống đến bây giờ.

	Lần trước Thanh Nguyên đế quốc hoàng thất, từng phái người đi vây quét qua một lần, kết quả vẫn là để hắn đào thoát, cuối cùng không giải quyết được gì.

	Không nghĩ tới bọn họ, lại dám đến Thanh Nguyên thành, cuối cùng. . . Lại bị một cái nhà cứ thế mà giẫm chết. . . Thật được cho báo ứng xác đáng.

	Mấy người đang tại cảm khái, liền nghe đến phía trước thanh niên trách mắng tiếng vang lên.

	"Được rồi, đừng ở chỗ này giả bộ ủy khuất, cùng Nguyễn hội trưởng ký kết khế ước đi!"

	Trương Huyền tràn đầy tức giận.

	Cây nhỏ không tu không thẳng tắp, người không sửa chữa ngân oai hùng!

	Đến cùng là mới vừa khải linh, trí tuệ quá thấp, không hảo hảo quản giáo, há không khắp nơi giết người?

	Hắn luôn luôn không thích gây chuyện, làm việc ổn trọng, làm sao lại làm ra như vậy một tên!

	Chỉ tiếc rèn sắt không thành thép ah!

	Thấy hắn tức giận, công hội lại không dám phản kháng, tràn đầy ủy khuất đem thon dài cái cổ vươn đi ra, đi tới Nguyễn hội trưởng gần.

	Rất nhanh, ký kết khế ước.

	"Đa tạ Tôn sư!"

	Thuần phục công hội, nguyễn sẽ thở dài một hơi, đối thanh niên trước mắt ôm quyền.

	"Không cần khách khí. . ." Trương Huyền liền vội khoát khoát tay: "Cái tên này ngang bướng khó sửa đổi, tùy ý giết người, về sau ngươi chỉ sợ muốn phí tâm!"

	"Tề Bắc song hùng danh khí không tính là quá tốt, bị giết cũng được cho chết chưa hết tội, yên tâm đi, đến tiếp sau sự tình chúng ta Khải Linh sư công hội xử lý là được, Tôn sư không cần lo lắng!" Nguyễn hội trưởng cười cười.

	Như thế quang minh chính đại chém giết hai vị Nguyên Thần cảnh cường giả, quả thực sẽ tạo thành khủng hoảng, bất quá đối với Khải Linh sư công hội tới nói, chưa hẳn không phải chuyện tốt.

	Khải Linh sư coi như dựa vào Danh Sư đường quy củ, không ai dám tìm phiền toái, dù sao sức chiến đấu yếu kém, sẽ khiến không ít người thầm ngấp nghé, nhưng công hội vừa vặn giẫm chết hai vị Nguyên Thần cảnh cường giả, một khi tin tức truyền ra, đủ có thể khiến vô số giở trò linh tinh người, chùn bước.

	Loại sự tình này, đối với các nàng tới nói, trăm lợi mà không có một hại.

	"Bất kể nói thế nào, bọn họ đều giống như chết tại tay ta, đây là hai ngàn linh thạch thượng phẩm, nếu có cơ hội, giao cho bọn hắn hậu nhân hoặc là truyền nhân!"

	Trương Huyền lắc đầu.

	Mặc dù hắn không muốn giết cái này cái gọi là Tề Bắc song hùng, nhưng đối phương nhưng bởi vì bản thân mà chết, cứ việc trừng phạt đúng tội, chết chưa hết tội, cũng chờ với gián tiếp chết tại trong tay mình, trong lòng băn khoăn.

	Gây chuyện, không phải hắn nguyện mà thôi.

	Chỉ muốn an tĩnh làm mỹ nam tử, kết quả nhưng dẫn đến lần lượt phiền phức, suy nghĩ một chút đều tâm tắc.

	"Cái này. . . Cũng tốt, chuyện này chúng ta sẽ thật dễ xử lý. . ." Thấy hắn lần này thái độ, Nguyễn hội trưởng chần chờ một chút, vẫn là tiếp nhận linh thạch, nhẹ gật đầu, đối thanh niên trước mắt, càng thêm bội phục.

	Làm việc có chịu trách nhiệm, đây mới là thật danh sư.

	Không nói cái khác, nghe nói năm đó Khổng sư, cũng là chọc không ít tai họa, kết quả để vô số nhân thần phục, thành vạn thế chi sư.

	"Vậy làm phiền. . ."

	Thở phào nhẹ nhõm, Trương Huyền nhớ tới một việc, nói tiếp: "Đúng rồi, ngươi nhìn con người của ta tương đối là ít nổi danh, không muốn để cho rất nhiều người biết được việc này, còn xin Nguyễn hội trưởng loại bỏ ảnh hưởng. . ."

	"Khiêm tốn?"

	Nguyễn hội trưởng da mặt run lên.

	Vừa đến liền đem toàn bộ công hội biến thành như vậy, còn tưởng là trận giết hai vị Nguyên Thần cảnh cường giả. . . Cái này gọi khiêm tốn?

	Chỉ sợ không có người so ngươi càng cao điệu đi!

	Bất quá, đối phương đã có yêu cầu này, vẫn gật đầu: "Còn xin Tôn sư yên tâm, chuyện này chúng ta sẽ cảnh cáo chung quanh, bên dưới phong khẩu lệnh, để hắn tận lực không cần truyền ra ngoài. . ."

	Tin tức không truyền ra ngoài, đối với các nàng cũng có chỗ tốt, có thể để người ta hiểu lầm công hội bên trong nắm giữ khải linh siêu cấp đại cao thủ, càng thêm an toàn.

	"Đúng rồi, Tôn sư, ta đến giới thiệu cho ngươi một chút!"

	Thương nghị vài câu, Nguyễn hội trưởng một chỉ cách đó không xa: "Hai cái vị này theo thứ tự là Chiến sư đường đường chủ Hình Thiên Minh, cùng tâm điện điện chủ, Liêu Bất Tẫn."

	"Chiến sư đường đường chủ?"

	Trương Huyền sững sờ.

	Đến Thanh Nguyên đế quốc một chuyện trọng yếu nhất, chính là dẫn đầu huyền huyền người biết, cùng Chiến sư đường người giao lưu, vốn cho rằng ba ngày sau mới có thể gặp mặt, không nghĩ tới ở đây gặp được.

	"Đúng, hình đường chủ, Liêu điện chủ, vị này chính là Tôn Cường Khải Linh sư, mặt khác, hắn còn là một vị danh sư." Nguyễn hội trưởng nói.

	"Danh sư?" Hình đường chủ nhìn qua: "Không biết Tôn sư, ở đâu cái Danh Sư đường?"

	"Ta. . ." Đang muốn nói mình theo Hồng Viễn đế quốc mà đến, Trương Huyền còn không ra khỏi miệng, ngừng lại.

	Vừa nói như vậy, đối phương khẳng định liền biết mình thân phận, trước đó nói bậy thành Tôn Cường sự tình, liền sẽ bị tại chỗ vạch trần, đến lúc đó, sẽ càng thêm xấu hổ.

	"Ta theo gia sư học tập, hiện nay còn không có gia nhập qua Danh Sư đường phân bộ. . . Chỉ là tại một cái nhất đẳng đế quốc Danh Sư đường, khảo hạch qua đẳng cấp. . ."

	Vội vàng đổi giọng.

	Nói như vậy, cũng không tính là lời nói dối.

	Thật sự là hắn không gia nhập qua Danh Sư đường, một đường bản thân học tập, trưởng thành đến hiện tại.

	"Thì ra là thế. . ."

	Hình đường chủ biến sắc.

	Không gia nhập Danh Sư đường tán tu danh sư, toàn bộ đại lục cũng có rất nhiều, chẳng có gì lạ.

	Bất quá, không gia nhập qua Danh Sư đường, chỉ bằng vào cùng lão sư học tập, trẻ tuổi như vậy liền có loại thực lực này, đối khải linh chức nghiệp càng là nắm giữ lợi hại như vậy, đối phương vị lão sư này, khẳng định không đơn giản!

	"Nghe nói Tôn sư đối khải linh chức nghiệp nắm giữ cực kỳ cao thâm, cho nên, cố ý tới, muốn mời ngươi giúp ta vững chắc nguyên thần. . ."

	Hàn huyên một lát, hình đường chủ mặt mũi mong đợi nhìn qua.

	"Ta?" Trương Huyền sửng sốt.

	Thông qua học tập, hắn biết Khải Linh sư nắm giữ loại năng lực này, chỉ bất quá, không nghĩ tới cái thứ nhất qua tìm đến mình, lại là. . . Vị này Chiến sư đường đường chủ.

	"Đúng, chỉ cần Tôn sư có thể đáp ứng, tại hạ vô cùng cảm kích. . ."

	Hình đường chủ vội nói.

	"Kỳ thật cũng không có gì, cái này đơn giản. Bất quá. . . Tại hạ một kiện binh khí, lâm vào ngủ say, cần đánh thức, hình đường chủ nếu như có thể chờ lời nói, không ngại đợi ta đem hắn đánh thức, sẽ giúp ngươi như thế nào?"

	Trương Huyền nói.

	Đối phương đã như vậy thành khẩn chạy qua tìm đến mình, hỗ trợ vững chắc nguyên thần, không tính là gì. . . Tiện tay mà thôi mà thôi.

	Đương nhiên, điều kiện tiên quyết là, trước đem Kim Nguyên đỉnh cứu sống lại nói.

	"Cái này. . ."

	Liếc mắt nhìn nhau, hình đường chủ cùng Liêu điện chủ từng người cau mày.

	Đánh thức ngủ say binh khí linh tính, trước đó bọn họ nghe qua, liền xem như Khải Linh sư, cũng không rất dễ dàng, hơn nữa mấu chốt nhất là tiêu hao rất nhiều, một khi thi triển, vô cùng có khả năng rất nhiều ngày không cách nào khải linh, mà chuyện của bọn hắn, lại không thể bị dở dang.

	"Tôn sư , có thể hay không mượn một bước nói chuyện?"

	Chần chờ một chút, hình đường chủ nói.

	"Các ngươi trò chuyện, mới vừa cùng công hội ký kết xong khế ước, ta còn muốn cùng nó làm quen một chút. . ."

	Nghe nói như thế, Nguyễn hội trưởng biết bọn họ khẳng định có chuyện quan trọng gì muốn nói, thức thời cười cười, ôm quyền rời đi.

	Trần hội phó cùng Hứa hội phó cũng theo sát ở phía sau đi xa.

	"Không biết chuyện gì, thần bí như vậy?"

	Thấy đường đường Chiến sư đường đường chủ, muốn cùng mình nói riêng, Trương Huyền lắc đầu, bàn tay vung lên, ở chung quanh tạo thành một cái cách âm kết giới, nhìn lại.

	"Nói đến thật có lỗi, ta Chiến sư đường, gần đây gặp chút phiền phức, ta cần phải nhanh một chút để nguyên thần trở nên càng thêm tinh khiết, mới có thể thông qua tâm điện tâm ma khảo nghiệm, cấp tốc tăng thực lực lên, ứng đối nguy hiểm. . . Nếu không, đem gặp được cực phiền toái lớn! Cho nên. . . Còn hi vọng Tôn sư có thể trước giúp ta khải linh, chỉ cần có chỗ nhu cầu, Chiến sư đường tất nhiên sẽ không chối từ!"

	Hình đường chủ cắn răng, nói.

	"Phiền toái lớn. . ."

	Trương Huyền sững sờ, lập tức hoảng sợ.

	Đến cùng gặp cái dạng gì sự tình, gặp dạng gì kẻ địch, để Chiến sư đường đường chủ, đều vội vã như thế?

	Có thể chế tạo ra như thế phiền phức người, có phần quá nghịch thiên đi!

	Trong nháy mắt, Trương Huyền đối với người này, phục sát đất.

P/S : Kiểu này lại Mình phục mình quá :vHình đường chủ sững sờ tại nguyên chỗ, có chút không nghe rõ.

	"Đánh cái gì?"

	"Công hội . . ." Cúi đầu nhìn thoáng qua, Liêu điện chủ một lần nữa xác nhận lòng bàn tay trên ngọc bài nội dung, mở miệng nói.

	"Công hội? Cái gì công hội?" Hình đường chủ trợn tròn con mắt: "Nguyễn hội trưởng đắc tội cái khác công hội?"

	"Không phải, là nhìn người khác ẩu đánh các nàng bản thân công hội . . . Hình như, hình như Khải Linh sư công hội, toàn bộ bị người khải linh thành công, sống lại!"

	Liêu điện chủ nói.

	"Bị người khải linh?"

	Hình đường chủ con mắt trợn tròn.

	Mặc dù không phải Khải Linh sư, nhưng cũng biết công hội là tử vật, hơn nữa thể tích như thế lớn, khải linh độ khó khăn, so vũ khí lớn hơn, cái đồ chơi này đều có thể khải linh thành công. . . Đến cùng là vị nào Khải Linh sư như thế nghịch thiên?

	"Nghe nói là một vị theo nơi khác tới Khải Linh sư, gọi Tôn Cường!" Liêu điện chủ nói tiếp.

	"Tôn Cường?" Hình đường chủ lắc đầu.

	Đối Khải Linh sư biết đến không nhiều, cái tên này, càng là chưa từng nghe thấy.

	"Đúng rồi, vị này Tôn Cường liền công hội loại này tử vật đều có thể khải linh thành công, nếu như giúp ta vững chắc nguyên thần, có thể hay không hiệu quả càng lớn?" Con mắt đột nhiên sáng lên, hình đường chủ nói.

	"Không sai!"

	Liêu điện chủ liền vội vàng gật đầu.

	Nguyễn hội trưởng đám người thực lực, hắn biết rõ, tuyệt đối làm không được khải linh như thế lớn công hội, vị này Tôn Cường đã có thể làm đến, nói rõ tại khải linh trên chức nghiệp, đã vượt qua các nàng.

	Nếu có thể mời hắn ra tay, đường chủ có lẽ thật có thể thông qua khảo hạch, nhận được truyền thừa, hóa giải lần này tình thế nguy hiểm.

	"Đi qua nhìn một chút!"

	Tràn đầy kích động, hai người không còn ngừng, tăng thêm tốc độ.

	Không lâu sau, quả nhiên thấy Khải Linh sư công hội cao lớn kiến trúc đứng sừng sững ở cách đó không xa, một thanh niên lơ lửng không trung, một mặt tức giận chỉ vào đối phương, lớn tiếng trách mắng.

	Trước người, thì tràn đầy ủy khuất thấp thon dài cổ, thỉnh thoảng dùng to lớn đầu lâu, nhờ một chút người sau góc áo.

	"Cái này. . ."

	Mặc dù nghe nói Khải Linh sư công hội bị người khải linh tin tức, tận mắt thấy, vẫn như cũ cảm thấy tràn đầy rung động.

	Như thế lớn kiến trúc, không ngừng uốn éo người, mặt ngoài bôi lên vật, cát, bị đánh từng tầng từng tầng rớt xuống, bụi đất tung bay , khiến cho người kinh dị.

	Mấu chốt nhất là. . . Như thế vật lớn, thế mà đối một thanh niên làm điệu làm bộ, đủ kiểu lấy lòng, đồng thời lộ ra một mặt oan ức. . . Hình đường chủ, Liêu điện chủ hai người đều cảm giác đến thế giới quan của bản thân đổ sụp.

	"Nguyễn hội trưởng, Trần hội phó, Hứa hội phó!" Đi tới gần, Liêu điện chủ giới thiệu: "Đây là chúng ta Chiến sư đường hình đường chủ!"

	"Ngưỡng mộ đại danh đã lâu. . ."

	Ba vị Khải Linh sư công hội cường giả liền vội vàng khom người.

	"Cùng thuộc một thành, nhưng vẫn không tới tiếp kiến qua, Hình mỗ hổ thẹn. . ."

	Khách sáo vài câu, hình đường chủ nhìn về phía trước: "Vị này Tôn Cường Khải Linh sư, hình như chưa bao giờ thấy qua. . ."

	"Hắn vừa tới Thanh Nguyên thành, khải linh chi thuật, để cho chúng ta ngước nhìn, đường chủ nếu quả thật muốn linh hồn tinh khiết, tu vi nhanh chóng tiến bộ, tìm hắn khải linh, tất nhiên có thể tạo được hiệu quả tốt hơn!" Nguyễn hội trưởng nói.

	Trước mắt vị danh sư này đường đường chủ, thực lực quá mạnh, để nàng khải linh, thật là có rất lớn áp lực.

	"Chỉ sợ còn muốn làm phiền hội trưởng giới thiệu. . ."

	Hình đường chủ gấp vội vàng gật đầu.

	"Ta cùng hắn cũng là mới quen, nếu như đối phương không nguyện ý, vậy liền không có biện pháp. . ."

	Nguyễn hội trưởng lên tiếng.

	"Đúng rồi, Nguyễn hội trưởng, còn không có hỏi một chút, vị này Tôn Cường Khải Linh sư, tại sao phải đánh công hội?" Một bên Liêu điện chủ hỏi.

	Chuyện này để hắn làm sao đều nghĩ mãi mà không rõ.

	Đã khải linh thành công, tại sao phải giáo huấn đối phương?

	"Khải Linh sư công hội, mới vừa bị khải linh, còn không có gì năng lực phán đoán, vừa rồi trực tiếp đạp chết mất hai người, lúc này mới dẫn hắn giận dữ!" Nguyễn hội trưởng cười khổ.

	"Giẫm chết người?" Liêu điện chủ cùng hình đường chủ đồng thời sững sờ.

	"Đúng vậy a, Tề Bắc song hùng Tàng Hư cùng Đạo Khấu, đều bị tại chỗ đạp chết rồi. . ." Nguyễn hội trưởng đem chuyện vừa rồi kỹ càng nói một lần.

	"Tề Bắc song hùng xú danh rõ ràng, giết người vô số, không nghĩ tới thế mà chết tại nơi này. . ."

	Nghe xong đi qua, hai vị Chiến sư, đồng thời sửng sốt, một hồi cười khổ.

	Tề Bắc song hùng danh khí không nhỏ, nếu không phải thực lực mạnh mẽ, lại thêm giấu ở đầm lầy bên trong, khẳng định sớm đã bị người chém giết, căn bản không có khả năng sống đến bây giờ.

	Lần trước Thanh Nguyên đế quốc hoàng thất, từng phái người đi vây quét qua một lần, kết quả vẫn là để hắn đào thoát, cuối cùng không giải quyết được gì.

	Không nghĩ tới bọn họ, lại dám đến Thanh Nguyên thành, cuối cùng. . . Lại bị một cái nhà cứ thế mà giẫm chết. . . Thật được cho báo ứng xác đáng.

	Mấy người đang tại cảm khái, liền nghe đến phía trước thanh niên trách mắng tiếng vang lên.

	"Được rồi, đừng ở chỗ này giả bộ ủy khuất, cùng Nguyễn hội trưởng ký kết khế ước đi!"

	Trương Huyền tràn đầy tức giận.

	Cây nhỏ không tu không thẳng tắp, người không sửa chữa ngân oai hùng!

	Đến cùng là mới vừa khải linh, trí tuệ quá thấp, không hảo hảo quản giáo, há không khắp nơi giết người?

	Hắn luôn luôn không thích gây chuyện, làm việc ổn trọng, làm sao lại làm ra như vậy một tên!

	Chỉ tiếc rèn sắt không thành thép ah!

	Thấy hắn tức giận, công hội lại không dám phản kháng, tràn đầy ủy khuất đem thon dài cái cổ vươn đi ra, đi tới Nguyễn hội trưởng gần.

	Rất nhanh, ký kết khế ước.

	"Đa tạ Tôn sư!"

	Thuần phục công hội, nguyễn sẽ thở dài một hơi, đối thanh niên trước mắt ôm quyền.

	"Không cần khách khí. . ." Trương Huyền liền vội khoát khoát tay: "Cái tên này ngang bướng khó sửa đổi, tùy ý giết người, về sau ngươi chỉ sợ muốn phí tâm!"

	"Tề Bắc song hùng danh khí không tính là quá tốt, bị giết cũng được cho chết chưa hết tội, yên tâm đi, đến tiếp sau sự tình chúng ta Khải Linh sư công hội xử lý là được, Tôn sư không cần lo lắng!" Nguyễn hội trưởng cười cười.

	Như thế quang minh chính đại chém giết hai vị Nguyên Thần cảnh cường giả, quả thực sẽ tạo thành khủng hoảng, bất quá đối với Khải Linh sư công hội tới nói, chưa hẳn không phải chuyện tốt.

	Khải Linh sư coi như dựa vào Danh Sư đường quy củ, không ai dám tìm phiền toái, dù sao sức chiến đấu yếu kém, sẽ khiến không ít người thầm ngấp nghé, nhưng công hội vừa vặn giẫm chết hai vị Nguyên Thần cảnh cường giả, một khi tin tức truyền ra, đủ có thể khiến vô số giở trò linh tinh người, chùn bước.

	Loại sự tình này, đối với các nàng tới nói, trăm lợi mà không có một hại.

	"Bất kể nói thế nào, bọn họ đều giống như chết tại tay ta, đây là hai ngàn linh thạch thượng phẩm, nếu có cơ hội, giao cho bọn hắn hậu nhân hoặc là truyền nhân!"

	Trương Huyền lắc đầu.

	Mặc dù hắn không muốn giết cái này cái gọi là Tề Bắc song hùng, nhưng đối phương nhưng bởi vì bản thân mà chết, cứ việc trừng phạt đúng tội, chết chưa hết tội, cũng chờ với gián tiếp chết tại trong tay mình, trong lòng băn khoăn.

	Gây chuyện, không phải hắn nguyện mà thôi.

	Chỉ muốn an tĩnh làm mỹ nam tử, kết quả nhưng dẫn đến lần lượt phiền phức, suy nghĩ một chút đều tâm tắc.

	"Cái này. . . Cũng tốt, chuyện này chúng ta sẽ thật dễ xử lý. . ." Thấy hắn lần này thái độ, Nguyễn hội trưởng chần chờ một chút, vẫn là tiếp nhận linh thạch, nhẹ gật đầu, đối thanh niên trước mắt, càng thêm bội phục.

	Làm việc có chịu trách nhiệm, đây mới là thật danh sư.

	Không nói cái khác, nghe nói năm đó Khổng sư, cũng là chọc không ít tai họa, kết quả để vô số nhân thần phục, thành vạn thế chi sư.

	"Vậy làm phiền. . ."

	Thở phào nhẹ nhõm, Trương Huyền nhớ tới một việc, nói tiếp: "Đúng rồi, ngươi nhìn con người của ta tương đối là ít nổi danh, không muốn để cho rất nhiều người biết được việc này, còn xin Nguyễn hội trưởng loại bỏ ảnh hưởng. . ."

	"Khiêm tốn?"

	Nguyễn hội trưởng da mặt run lên.

	Vừa đến liền đem toàn bộ công hội biến thành như vậy, còn tưởng là trận giết hai vị Nguyên Thần cảnh cường giả. . . Cái này gọi khiêm tốn?

	Chỉ sợ không có người so ngươi càng cao điệu đi!

	Bất quá, đối phương đã có yêu cầu này, vẫn gật đầu: "Còn xin Tôn sư yên tâm, chuyện này chúng ta sẽ cảnh cáo chung quanh, bên dưới phong khẩu lệnh, để hắn tận lực không cần truyền ra ngoài. . ."

	Tin tức không truyền ra ngoài, đối với các nàng cũng có chỗ tốt, có thể để người ta hiểu lầm công hội bên trong nắm giữ khải linh siêu cấp đại cao thủ, càng thêm an toàn.

	"Đúng rồi, Tôn sư, ta đến giới thiệu cho ngươi một chút!"

	Thương nghị vài câu, Nguyễn hội trưởng một chỉ cách đó không xa: "Hai cái vị này theo thứ tự là Chiến sư đường đường chủ Hình Thiên Minh, cùng tâm điện điện chủ, Liêu Bất Tẫn."

	"Chiến sư đường đường chủ?"

	Trương Huyền sững sờ.

	Đến Thanh Nguyên đế quốc một chuyện trọng yếu nhất, chính là dẫn đầu huyền huyền người biết, cùng Chiến sư đường người giao lưu, vốn cho rằng ba ngày sau mới có thể gặp mặt, không nghĩ tới ở đây gặp được.

	"Đúng, hình đường chủ, Liêu điện chủ, vị này chính là Tôn Cường Khải Linh sư, mặt khác, hắn còn là một vị danh sư." Nguyễn hội trưởng nói.

	"Danh sư?" Hình đường chủ nhìn qua: "Không biết Tôn sư, ở đâu cái Danh Sư đường?"

	"Ta. . ." Đang muốn nói mình theo Hồng Viễn đế quốc mà đến, Trương Huyền còn không ra khỏi miệng, ngừng lại.

	Vừa nói như vậy, đối phương khẳng định liền biết mình thân phận, trước đó nói bậy thành Tôn Cường sự tình, liền sẽ bị tại chỗ vạch trần, đến lúc đó, sẽ càng thêm xấu hổ.

	"Ta theo gia sư học tập, hiện nay còn không có gia nhập qua Danh Sư đường phân bộ. . . Chỉ là tại một cái nhất đẳng đế quốc Danh Sư đường, khảo hạch qua đẳng cấp. . ."

	Vội vàng đổi giọng.

	Nói như vậy, cũng không tính là lời nói dối.

	Thật sự là hắn không gia nhập qua Danh Sư đường, một đường bản thân học tập, trưởng thành đến hiện tại.

	"Thì ra là thế. . ."

	Hình đường chủ biến sắc.

	Không gia nhập Danh Sư đường tán tu danh sư, toàn bộ đại lục cũng có rất nhiều, chẳng có gì lạ.

	Bất quá, không gia nhập qua Danh Sư đường, chỉ bằng vào cùng lão sư học tập, trẻ tuổi như vậy liền có loại thực lực này, đối khải linh chức nghiệp càng là nắm giữ lợi hại như vậy, đối phương vị lão sư này, khẳng định không đơn giản!

	"Nghe nói Tôn sư đối khải linh chức nghiệp nắm giữ cực kỳ cao thâm, cho nên, cố ý tới, muốn mời ngươi giúp ta vững chắc nguyên thần. . ."

	Hàn huyên một lát, hình đường chủ mặt mũi mong đợi nhìn qua.

	"Ta?" Trương Huyền sửng sốt.

	Thông qua học tập, hắn biết Khải Linh sư nắm giữ loại năng lực này, chỉ bất quá, không nghĩ tới cái thứ nhất qua tìm đến mình, lại là. . . Vị này Chiến sư đường đường chủ.

	"Đúng, chỉ cần Tôn sư có thể đáp ứng, tại hạ vô cùng cảm kích. . ."

	Hình đường chủ vội nói.

