Chương 1132: Đừng làm rộn, để cho ta ngủ một hồi nữa. . . 
 Converter Dzung Kiều cầu khen thưởng 

	Đỗ gia.
	. . .

	Buổi sáng tỉnh lại sau đó, Mưu Huy Dương cảm giác được trong tay mình nắm một cái mềm hồ hồ vật kiện, không nhịn được nhẹ nhàng nhéo một cái.

	" Ừ, chồng đừng làm rộn, để cho ta ngủ một hồi nữa. . ." Trong giấc mộng Tạ Mẫn đưa tay đem Mưu Huy Dương tay bài mở, lẩm bẩm một câu sau lại ngủ thật say.

	Tối hôm qua hai người đều rất điên cuồng từ phòng tắm một mực chiến đấu đến trên giường, cuối cùng Tạ Mẫn là ở không có sức nhận chịu mưu đồ cần phải cái đó mới thỏa mãn ngừng lại.

	"Con bé này trễ nhất mệt thật không nhẹ." Mưu Huy Dương đầy mắt nhu tình nhìn lại ngủ mất Tạ Mẫn, cũng không có quấy rầy nàng, bất quá hắn ánh mắt nhưng vẫn dừng lại ở Tạ Mẫn vậy sáng bóng * thể lên.Chương 1132: Đừng làm rộn, để cho ta ngủ một hồi nữa. . . 
 Converter Dzung Kiều cầu khen thưởng 

	Đỗ gia.

	"Đại ca, cái đó sát tinh làm sao chỉ như vậy rời đi, ngươi có đáp ứng hay không liền hắn yêu cầu?" Thấy Đỗ Thế Vinh từ gian phòng đi ra, Đỗ Thế Nghiễm liền vội vàng hỏi.

	"Nơi này không phải chỗ nói chuyện, các người cũng đến phòng họp tới." Không trả lời Đỗ Thế Nghiễm câu hỏi, Đỗ Thế Vinh đối với gia tộc những người khác sau khi nói xong, dẫn đầu hướng phòng họp đi tới.

	Đỗ gia phòng họp là một cái rất phòng khách rộng rãi, ở giữa đại sảnh bày 1 bản trường điều hình lớn bàn họp, Đỗ Thế Vinh đi tới thượng thủ chủ vị ngồi xuống: "Ta biết mọi người trong lòng cũng rất kỳ quái, vậy Mưu Huy Dương tại sao cứ như vậy đi."

	"Đúng vậy, đại ca, thằng nhóc kia lúc tới liền là một bộ không đạt mục đích không bỏ qua dáng điệu, hắn sao chịu như thế dễ dàng rời đi, chẳng lẽ đại ca ngươi thật đáp ứng hắn trước kia nói lên yêu cầu?" Đỗ Thế Nghiễm tiếp lời hỏi.

	"Không sai, ta đáp ứng hắn trước kia nói lên những cái kia yêu cầu, bắt đầu từ bây giờ chúng ta độc nhất. . ."

	"Đại ca, thằng nhóc kia chỉ là một nông dân nhỏ mà thôi, mà chúng ta Đỗ gia nhưng mà bước lên với nhất lưu thế gia mới giàu, tại sao có thể khuất phục với một cái nông dân nhỏ đâu ?" Bất đồng Đỗ Thế Vinh nói xong, Đỗ Thế Nghiễm đánh liền đoạn hắn nói, vạn phần bất mãn chất vấn.

	Mình nói bị Đỗ Thế Nghiễm cắt đứt, Đỗ Thế Vinh cũng không giống như ngày thường nổi giận, mà là cười đối với mình anh em hỏi: "Em hai, trước kia tìm người đối phó Mưu Huy Dương sự việc, vẫn luôn là ngươi phụ trách đúng không?"

	"Đúng vậy, chuyện này đúng là ta phụ trách, có thể. . ."

	Nghĩ đến tại đối phó Mưu Huy Dương lúc đó, một lần cũng không có thành công, vì thế, Đỗ gia còn hao tốn tiền không ít mới, Đỗ Thế Nghiễm liền không nói được.

	Nhìn em hai mặt đầy khổ sở lại dáng vẻ bất đắc dĩ, Đỗ Thế Vinh cười khổ nói: "Em hai, ta muốn ngươi so với gia tộc trong người bất kỳ đều biết Mưu Huy Dương có đáng sợ dường nào đi. Theo ta biết, ngươi sau đến tìm hai cái người tu chân đi đối phó Mưu Huy Dương, đều bị hắn toàn bộ giết đi, mà hai người kia môn phái sau đó còn phái sáu vị Kim đan kỳ cao thủ đi tìm Mưu Huy Dương đòi giải thích, hai bên một lời không hợp động tới tay, đối phương bị giết một người người còn lại đều bị đánh trọng thương, cuối cùng, môn phái kia cứng rắn là kinh sợ, đến bây giờ đều không dám nữa phái người đi."

	Có thể tới chỗ này đều là Đỗ gia tuyệt đối cao tầng, đối với Tu Chân giới sự việc bọn họ nhiều ít đều biết một ít, nghe Đỗ Thế Vinh lời này sau đó, những thứ này Đỗ gia cao tầng đều bị hung hãn rung động đến.

	"Mỗi gia chủ, ngươi mới vừa nói những thứ này đều là thật?" Rung động hơn có người khó có thể tin hỏi.

	"Có phải là thật hay không, ta muốn chuyện này đời rộng hẳn rõ ràng nhất bất quá, các người có thể hỏi hắn." Đỗ Thế Vinh vừa nói chỉ chỉ nghe mình nói sau đó, duy nhất không có gì ngoài ý muốn biểu tình Đỗ Thế Nghiễm.

	Xem đến mọi người cũng nhìn sang mình, Đỗ Thế Nghiễm có chút lúng túng nói: "Mới vừa rồi đại ca nói đều là thật, ta nguyên vốn lấy là Mưu Huy Dương lần này hung hăng đánh môn phái kia mặt, sẽ gặp phải môn phái kia như lôi đình tàn bạo trả thù, nhưng mà ở lại thôn Long Oa người hồi báo, đến bây giờ môn phái kia đều không ở phái người đi thôn Long Oa tìm Mưu Huy Dương bọn họ phiền toái, xem ra là thật kinh sợ."

	"Điều này sao có thể?"

	"Đúng vậy, Tu Chân giới môn phái, đó là bực nào siêu nhiên tồn tại, chính là quốc gia đối với bọn họ cũng đặc biệt dễ dàng tha thứ, làm sao có thể sợ một cái nông dân, coi như là Mưu Huy Dương thằng nhóc kia lợi hại hơn nữa, có thể lợi hại đến cùng môn phái tu chân chống đỡ được?"

	"Đúng vậy, đường đường môn phái tu chân, biết sợ một cái ở nông thôn nông dân nhỏ, mình môn phái Kim đan kỳ cao thủ bị giết, cũng không đi tìm đối phương trả thù, lúc nào những cái kia môn phái tu chân trở nên dễ nói chuyện như vậy."

	"Được rồi cái rắm nói, những con chó N kia cũng tất cả đều là hắn mềm sợ ác túng hóa, không dám đi tìm Mưu Huy Dương trả thù, nhưng đặc biệt đem tổn thất cũng coi là ở trên đầu chúng ta, trước bọn họ môn phái chết vậy 2 người đệ tử, liền hướng gia tộc chúng ta yêu cầu bồi thường, lần này bọn họ ở đó Mưu Huy Dương trên tay ăn lớn như vậy thua thiệt, ta phỏng đoán qua không được bao lâu, bọn họ lại sẽ hướng chúng ta Đỗ gia tìm phải bồi thường, lần này chết nhưng mà Kim đan kỳ cao thủ, chúng ta Đỗ gia sao có thể bồi thường dậy à?" Một cái trông coi Đỗ gia kế toán cao tầng nghe xong, nhìn Đỗ Thế Nghiễm một cái giọng tức tối nói.

	Ám sát Mưu Huy Dương chuyện này, là Đỗ Thế Nghiễm một tay thúc đẩy, cũng là hắn thi hành, xem đến mọi người nghe xong đều nhìn về mình, Đỗ Thế Nghiễm thật sự là không lời chống đỡ, mặt đầy đều là thần sắc khó xử.

	"Các người nói, chúng ta Đỗ gia cùng những cái kia môn phái tu chân so sánh, ai mạnh ai yếu?" Xem xuống phía dưới trong gia tộc những người đó dáng vẻ, Đỗ Thế Vinh hỏi.

	"Người ta có thể lấy lực một người, đánh tu chân giới một cái tông môn rắm cũng không dám ở thả một cái, cái này ai mạnh ai yếu còn phải hỏi sao?" Một cái tính bộc trực Đỗ gia cao tầng nghe xong, lớn tiếng nói.

	Lời này cũng nói ra những người khác ý nghĩ trong lòng, nghe xong mọi người cũng không nhịn được gật đầu bày tỏ đồng ý.

	"Cho nên, ở ta nghe Mưu Huy Dương đem toàn bộ sự việc đối với ta nói một lần sau đó, ta đáp ứng hắn nói ra yêu cầu, sau này chúng ta Đỗ gia quy thuận cùng hắn."

	"Gia chủ, chúng ta Đỗ gia bây giờ nói thế nào cũng là Bắc Kinh nhất lưu gia tộc, quy thuận với một cái gấu con nông dân nhỏ, cái này có phải hay không thật mất thể diện à?"

	"Đúng vậy, hắn lợi hại hơn nữa, vừa không có tại tu chân giới cái đó pháp chế không quản được địa phương, vẫn là cuộc sống ở chúng ta cái thế giới này, lấy gia tộc chúng ta quyền thế chưa chắc liền không thu thập được hắn."

	"Các người những người này thật là ngây thơ, Mưu Huy Dương mặc dù cuộc sống ở chúng ta cái thế giới này, có thể các người đừng quên người ta là một người có vượt qua chúng ta cái thế giới này năng lực người tu chân, thật muốn đem người ta chọc tức, hắn lặng lẽ lặn xuống Bắc Kinh tới, đem chúng ta Đỗ gia giết một gà chó không dư thừa, lại có người nào biết là hắn làm?"

	Mới vừa rồi những cái kia còn đặc biệt bất mãn người, nghe lời này sau đó, cũng cảm giác được mình cổ từng trận lạnh cả người. Đúng vậy, mình các người chỉ muốn đến Đỗ gia ở nơi này trong thế tục quyền thế bao lớn, nhưng quên mất người ta cùng mình các người căn bản là hai cái thế giới người, có có thể không thèm chú ý đến cái này thế gian quy tắc lực lượng, thật muốn đem đối phương cho chọc giận, mình các người là chết thế nào cũng không biết.

	Thấy mới vừa rồi những cái kia còn tất tất người nghe mình nói sau đó, cũng không lên tiếng nữa, người nọ nói tiếp: "Chúng ta quy thuận với người nọ, nhưng ngược lại người kia cũng sẽ chiếu cố chúng ta độc nhất, nếu là chúng ta Đỗ gia thật gặp cái gì bỏ mình tồn vong việc lớn, người nọ hắn có thể nhìn chúng ta bỏ mặc? Cho nên, ta cảm thấy gia chủ cái quyết định này thật là anh minh, cùng người nọ có tầng quan hệ này, cái này nói không chừng cũng là chúng ta Đỗ gia mượn dùng uy thế của hắn một người nữa lên nấc thang thời cơ."

	Đỗ Thế Vinh nói: "Lão tam nói không sai, Mưu Huy Dương nói, bình thường hắn sẽ không can thiệp chúng ta chuyện của Đỗ gia tình, chẳng qua là ở hắn xí nghiệp gặp phải phiền toái, hắn lại không muốn dùng Tu Chân giới thủ đoạn giải quyết, chúng ta Đỗ gia có thể ra mặt đem phiền toái giải quyết hết là được. Dĩ nhiên, sau này chúng ta Đỗ gia nếu là gặp phải cái gì không giải quyết được phiền toái, chỉ cần không phải cùng quốc gia luật pháp pháp quy tương bội, là chánh nghĩa, hắn cũng sẽ ra tay trợ giúp chúng ta giải quyết. . ."

	"Cái này thật đúng là không tệ, cứ như vậy nói, môn phái kia người tìm tới làm phiền chúng ta nữa lúc này chúng ta thì có thể làm cho thằng nhóc kia hỗ trợ giải quyết, đây coi như là chúng ta Đỗ gia uổng công lấy được một cái siêu cấp cao thủ bảo vệ, loại này chuyện tốt có thể rơi vào chúng ta Đỗ gia trên đầu, ta làm sao có một loại bị trên trời rơi xuống tới hãm nhi bánh đập trúng cảm giác à! Ha ha. . ."

	"Đỗ Tử Đằng thằng nhóc kia đâu, ta tối nay làm sao vẫn không có thấy hắn?"

	"Ta nghe người phía dưới nói, có người thấy thằng nhóc kia lái xe đưa Mưu Huy Dương hai người đi."

	"Được được được , không nghĩ tới thằng nhóc kia lại cùng Mưu Huy Dương còn có như thế tầng 1 quan hệ, vẫn là thằng nhóc kia nhìn chính xác à, chúng ta những ông già này cũng không bằng hắn, một hồi chờ tử đằng thằng nhóc kia sau khi trở lại, các người nói cho hắn, Mưu Huy Dương hai người ở Bắc Kinh đoạn này thời gian, liền do hắn đi cùng, nhất định đem vị kia cho phục vụ tốt." Đỗ Thế Vinh hướng về phía trong gia tộc những người khác nói.

	. . .

	Buổi sáng tỉnh lại sau đó, Mưu Huy Dương cảm giác được trong tay mình nắm một cái mềm hồ hồ vật kiện, không nhịn được nhẹ nhàng nhéo một cái.

	" Ừ, chồng đừng làm rộn, để cho ta ngủ một hồi nữa. . ." Trong giấc mộng Tạ Mẫn đưa tay đem Mưu Huy Dương tay bài mở, lẩm bẩm một câu sau lại ngủ thật say.

	Tối hôm qua hai người đều rất điên cuồng từ phòng tắm một mực chiến đấu đến trên giường, cuối cùng Tạ Mẫn là ở không có sức nhận chịu mưu đồ cần phải cái đó mới thỏa mãn ngừng lại.

	"Con bé này trễ nhất mệt thật không nhẹ." Mưu Huy Dương đầy mắt nhu tình nhìn lại ngủ mất Tạ Mẫn, cũng không có quấy rầy nàng, bất quá hắn ánh mắt nhưng vẫn dừng lại ở Tạ Mẫn vậy sáng bóng * thể lên.Chương 1132: Đừng làm rộn, để cho ta ngủ một hồi nữa. . . 
 Converter Dzung Kiều cầu khen thưởng 

	Đỗ gia.

	"Đại ca, cái đó sát tinh làm sao chỉ như vậy rời đi, ngươi có đáp ứng hay không liền hắn yêu cầu?" Thấy Đỗ Thế Vinh từ gian phòng đi ra, Đỗ Thế Nghiễm liền vội vàng hỏi.

	"Nơi này không phải chỗ nói chuyện, các người cũng đến phòng họp tới." Không trả lời Đỗ Thế Nghiễm câu hỏi, Đỗ Thế Vinh đối với gia tộc những người khác sau khi nói xong, dẫn đầu hướng phòng họp đi tới.

	Đỗ gia phòng họp là một cái rất phòng khách rộng rãi, ở giữa đại sảnh bày 1 bản trường điều hình lớn bàn họp, Đỗ Thế Vinh đi tới thượng thủ chủ vị ngồi xuống: "Ta biết mọi người trong lòng cũng rất kỳ quái, vậy Mưu Huy Dương tại sao cứ như vậy đi."

	"Đúng vậy, đại ca, thằng nhóc kia lúc tới liền là một bộ không đạt mục đích không bỏ qua dáng điệu, hắn sao chịu như thế dễ dàng rời đi, chẳng lẽ đại ca ngươi thật đáp ứng hắn trước kia nói lên yêu cầu?" Đỗ Thế Nghiễm tiếp lời hỏi.

	"Không sai, ta đáp ứng hắn trước kia nói lên những cái kia yêu cầu, bắt đầu từ bây giờ chúng ta độc nhất. . ."

	"Đại ca, thằng nhóc kia chỉ là một nông dân nhỏ mà thôi, mà chúng ta Đỗ gia nhưng mà bước lên với nhất lưu thế gia mới giàu, tại sao có thể khuất phục với một cái nông dân nhỏ đâu ?" Bất đồng Đỗ Thế Vinh nói xong, Đỗ Thế Nghiễm đánh liền đoạn hắn nói, vạn phần bất mãn chất vấn.

	Mình nói bị Đỗ Thế Nghiễm cắt đứt, Đỗ Thế Vinh cũng không giống như ngày thường nổi giận, mà là cười đối với mình anh em hỏi: "Em hai, trước kia tìm người đối phó Mưu Huy Dương sự việc, vẫn luôn là ngươi phụ trách đúng không?"

	"Đúng vậy, chuyện này đúng là ta phụ trách, có thể. . ."

	Nghĩ đến tại đối phó Mưu Huy Dương lúc đó, một lần cũng không có thành công, vì thế, Đỗ gia còn hao tốn tiền không ít mới, Đỗ Thế Nghiễm liền không nói được.

	Nhìn em hai mặt đầy khổ sở lại dáng vẻ bất đắc dĩ, Đỗ Thế Vinh cười khổ nói: "Em hai, ta muốn ngươi so với gia tộc trong người bất kỳ đều biết Mưu Huy Dương có đáng sợ dường nào đi. Theo ta biết, ngươi sau đến tìm hai cái người tu chân đi đối phó Mưu Huy Dương, đều bị hắn toàn bộ giết đi, mà hai người kia môn phái sau đó còn phái sáu vị Kim đan kỳ cao thủ đi tìm Mưu Huy Dương đòi giải thích, hai bên một lời không hợp động tới tay, đối phương bị giết một người người còn lại đều bị đánh trọng thương, cuối cùng, môn phái kia cứng rắn là kinh sợ, đến bây giờ đều không dám nữa phái người đi."

	Có thể tới chỗ này đều là Đỗ gia tuyệt đối cao tầng, đối với Tu Chân giới sự việc bọn họ nhiều ít đều biết một ít, nghe Đỗ Thế Vinh lời này sau đó, những thứ này Đỗ gia cao tầng đều bị hung hãn rung động đến.

	"Mỗi gia chủ, ngươi mới vừa nói những thứ này đều là thật?" Rung động hơn có người khó có thể tin hỏi.

	"Có phải là thật hay không, ta muốn chuyện này đời rộng hẳn rõ ràng nhất bất quá, các người có thể hỏi hắn." Đỗ Thế Vinh vừa nói chỉ chỉ nghe mình nói sau đó, duy nhất không có gì ngoài ý muốn biểu tình Đỗ Thế Nghiễm.

	Xem đến mọi người cũng nhìn sang mình, Đỗ Thế Nghiễm có chút lúng túng nói: "Mới vừa rồi đại ca nói đều là thật, ta nguyên vốn lấy là Mưu Huy Dương lần này hung hăng đánh môn phái kia mặt, sẽ gặp phải môn phái kia như lôi đình tàn bạo trả thù, nhưng mà ở lại thôn Long Oa người hồi báo, đến bây giờ môn phái kia đều không ở phái người đi thôn Long Oa tìm Mưu Huy Dương bọn họ phiền toái, xem ra là thật kinh sợ."

	"Điều này sao có thể?"

	"Đúng vậy, Tu Chân giới môn phái, đó là bực nào siêu nhiên tồn tại, chính là quốc gia đối với bọn họ cũng đặc biệt dễ dàng tha thứ, làm sao có thể sợ một cái nông dân, coi như là Mưu Huy Dương thằng nhóc kia lợi hại hơn nữa, có thể lợi hại đến cùng môn phái tu chân chống đỡ được?"

	"Đúng vậy, đường đường môn phái tu chân, biết sợ một cái ở nông thôn nông dân nhỏ, mình môn phái Kim đan kỳ cao thủ bị giết, cũng không đi tìm đối phương trả thù, lúc nào những cái kia môn phái tu chân trở nên dễ nói chuyện như vậy."

	"Được rồi cái rắm nói, những con chó N kia cũng tất cả đều là hắn mềm sợ ác túng hóa, không dám đi tìm Mưu Huy Dương trả thù, nhưng đặc biệt đem tổn thất cũng coi là ở trên đầu chúng ta, trước bọn họ môn phái chết vậy 2 người đệ tử, liền hướng gia tộc chúng ta yêu cầu bồi thường, lần này bọn họ ở đó Mưu Huy Dương trên tay ăn lớn như vậy thua thiệt, ta phỏng đoán qua không được bao lâu, bọn họ lại sẽ hướng chúng ta Đỗ gia tìm phải bồi thường, lần này chết nhưng mà Kim đan kỳ cao thủ, chúng ta Đỗ gia sao có thể bồi thường dậy à?" Một cái trông coi Đỗ gia kế toán cao tầng nghe xong, nhìn Đỗ Thế Nghiễm một cái giọng tức tối nói.

	Ám sát Mưu Huy Dương chuyện này, là Đỗ Thế Nghiễm một tay thúc đẩy, cũng là hắn thi hành, xem đến mọi người nghe xong đều nhìn về mình, Đỗ Thế Nghiễm thật sự là không lời chống đỡ, mặt đầy đều là thần sắc khó xử.

	"Các người nói, chúng ta Đỗ gia cùng những cái kia môn phái tu chân so sánh, ai mạnh ai yếu?" Xem xuống phía dưới trong gia tộc những người đó dáng vẻ, Đỗ Thế Vinh hỏi.

