Chương 493: Di chuyển kim ti nam mộc 
 Converter Dzung Kiều cầu phiếu 

	/*Dzung Kiều : xem hình kim ti nam mộc <a href="http://img4.cache.netease.com/home/2012/5/2/20120502160835ae0e7.jpg">http://img4.cache.netease.com/home/2012/5/2/20120502160835ae0e7.jpg</a>  */
	Cây bạch quả trái cây tục xưng bạch quả, ngân hạnh lại tên cây bạch quả, theo 《 Bản thảo cương mục 》 ghi lại: "Bạch quả đồ ăn chín có ấm phổi, ích khí, đặt suyễn thấu, thu nhỏ lại liền, chỉ trắng trọc; đồ ăn sống hàng đàm, khử độc sát trùng " tác dụng, nhưng sanh bạch quả ở trong chứa có khinh tình chua độc tố, độc tính rất mạnh, gặp nóng sau độc tính giảm nhỏ, cố sinh ngân hạnh quả đồ ăn sống giao dịch trúng độc không thích hợp ăn sống.

	Cây bạch quả sinh trưởng so với chậm, tuổi thọ vô cùng dài, tự nhiên dưới điều kiện từ trồng đến kết ngân hạnh quả muốn hơn hai mươi năm, bốn mươi năm sau mới có thể rộng lượng kết quả, vì vậy lại có người đem nó gọi là "Ông cháu cây", ý chính là đời ông nội trồng cây mà đời cháu mới có thể ăn được nó kết trái cây, cây bạch quả vẫn là cây ở giữa lão thọ tinh, cái thưởng thức, kinh tế, thuốc dùng giá trị làm một thể.

	"Chú Chu, vậy gỗ lim nhưng mà không thấy nhiều loại cây, ngươi nói ở núi Long Thủ trong phát hiện gỗ lim, đây là thật sao?" Mưu Huy Dương có chút không dám tin tưởng nói.

	"Cây cối này ta cũng biết rất thưa thớt, nhưng ta đúng là núi Long Thủ phát hiện nam cây, bất quá cây kia cũng không nhiều, tất cả lớn nhỏ tổng cộng cũng không đến trăm cây, nếu là ngươi không tin, ta bây giờ liền có thể mang ngươi đi xem xem." Thấy Mưu Huy Dương không tin, thứ hai tiền đề ra lúc này liền mang Mưu Huy Dương bọn họ đi xem.

	"Được, vậy chúng ta ngày hôm nay sẽ tới cái trước xa sau gần, đi trước núi Long Thủ đào gỗ lim, sau đó sẽ trở lại đào cây bạch quả." Lần nữa xác định núi Long Thủ trong có cây gỗ lim, Mưu Huy Dương trong lòng hết sức cao hứng, tự nhiên nếu muốn đào gỗ lim loại này trân quý loại cây.

	Đang quyết định ở biệt thự các loại thực trân quý cây cối lúc này Mưu Huy Dương liền ở trên mạng điều tra nhiều trân quý loại cây tài liệu, cái này gỗ lim lúc ấy hắn còn nặng lưu ý qua.

	Gỗ lim màu màu da cam nhạt hơi xám, hoa văn đạm nhã điềm đạm nho nhã, mộc tính ổn định, không vểnh lên không rách, cộng thêm nó phẩm chất dịu dàng nhu hòa, đông ấm hạ mát, gặp nước sau còn biết phát ra từng cơn mùi thơm, ở cổ đại nhưng mà hoàng gia cung điện, số ít chùa miếu kiến trúc mới có thể sử dụng, chính là bây giờ cũng là một loại cực cao đương vật liệu gỗ.

	Nếu Mưu Huy Dương quyết định đi trước đào cây gỗ lim, mọi người ngay tại Chu Nhất Thương dưới sự hướng dẫn muốn núi Long Thủ đi, cân nhắc đến núi Long Thủ ở giữa tính nguy hiểm, lại xuất phát thời điểm Mưu Huy Dương đem Đại Lão Hắc, Tiểu Bạch, Da Đen cùng với 2 con chim thương ưng cũng mang theo.

	Khi mọi người cảm thấy thứ hai trước nói chỗ kia sinh trưởng gỗ lim địa phương, đã không sai biệt lắm mau đến 12h.

	Cũng may chỗ này chẳng qua là ở núi Long Thủ trung hạ bộ mới ngưng, nơi này nguy hiểm tương đối cũng không lớn lắm, làm Mưu Huy Dương thấy Chu Nhất Thương nói gỗ lim, cả người thiếu chút nữa hưng phấn thiếu chút nữa nhảy cỡn lên.

	Mưu Huy Dương bởi vì là gỗ lim trình độ trân quý, đối với nó ấn tượng hết sức sâu sắc, Chu Nhất Thương phát hiện những thứ này gỗ lim cũng không phải là thông thường gỗ lim, mà là kim ti nam, kim ti nam lại tên tử kim nam cây, kim lòng nam, là một loại cao lớn thường xanh lá Kiều Mộc, thân cây thông dường như, lá quanh năm không cám ơn, là rất tốt xanh hoá loại cây.

	Mưu Huy Dương ở trên mạng thấy có người nói cái này kim ti nam là một loại một số gần như tuyệt tích cây gỗ lim loại , Mưu Huy Dương không nghĩ tới ở nơi này long sơn trong còn sinh trưởng gần trăm cây nhiều như vậy.

	Những thứ này kim ti nam trong lớn nhất một cây, cây chiều cao hơn 30m, cây đường kính cũng có 2m cỡ đó, tàng cây đổi là chung hình, thân cây thông dường như, kim ti nam mộc sơ kỳ sinh trưởng tốc độ rất chậm chạp, cái này cây kim ti nam cây cối có thể vừa được hơn 30m, tới bớt ở chỗ này sinh trưởng ba trăm năm tả hữu thời gian.

	Ở nơi này mảnh cây gỗ lim trong rừng, mười mấy gạo đến hai mươi mấy thước cao kim ti nam cây cối chiếm cái này mảnh cây gỗ lim lâm hơn nửa, còn dư lại những cái kia mười gạo cười một tiếng nhỏ cây gỗ lim miêu cũng có hơn hai mươi cây.

	Lớn cây gỗ lim không tốt vận đưa về nhà, Mưu Huy Dương quyết định liền đào những cái kia chừng mười thước cao kim ti nam cây cối, cùng một ít mấy thước cao cây gỗ lim miêu, hắn phải đem những cái kia mấy thước cao cây gỗ lim miêu di chuyển đến trong không gian, lấy không gian đối với thực vật tăng cường hiệu quả, hắn tin tưởng những thứ này cây gỗ lim miêu di chuyển đến không gian sau đó, không chỉ có sinh trưởng tốc độ sẽ nhanh hơn, gỗ lim chất lượng cũng lấy được lớn hơn tăng lên.

	Ở về đến nhà động thủ đào kim ti nam mộc lúc này Mưu Huy Dương đem Đại Lão Hắc cùng Da Đen lưu lại bảo vệ mọi người, để cho Tiểu Bạch cùng 2 con chim thương ưng đi bắt một ít thịt rừng trở về làm bữa trưa, chính hắn thì từ túi leo núi trong, cầm ra nồi chén gáo chậu cùng rau, tìm một con suối lưu trải qua quyên lưu, bắt đầu cho mọi người chuẩn bị bữa trưa.

	Ở trong núi lớn này, Tiểu Bạch cùng 2 con chim thương ưng phát huy trọn vẹn bọn họ ưu thế, không bao lâu thời gian liền đem con mồi mang theo trở lại.

	2 con chim thương ưng bắt thỏ rừng cùng gà rừng, mà Tiểu Bạch thì phát huy trọn vẹn nó sói vương tác dụng, đem trong núi bầy sói triệu tập tới, lúc trở lại một đám chó sói mang về ba con dê núi hoang.

	"Có bầy sói."

	Làm Tiểu Bạch mang mười mấy con chó sói kéo ba con dê núi hoang lúc trở lại, cũng bị sợ sợ hãi kêu, Chu Nhất Thương lại là đem súng cũng giơ lên.

	"Chú Chu đừng bắn." Thấy Chu Nhất Thương động tác, Mưu Huy Dương sợ hết hồn, nhanh chóng lớn tiếng kêu lên.

	"Tiểu Dương, ngươi đây là ý gì?" Chu Nhất Thương nghe được tiếng kêu sau cũng không có đem súng buông xuống, vẫn dùng súng liếc bầy sói rất là nghi ngờ hỏi.

	"Chú Chu, còn có mọi người cũng đừng kinh hoảng, những thứ này chó sói đều là tiểu Bạch thủ hạ, các người không thấy bọn họ đây là cho chúng ta đưa con mồi đã tới sao?" Mưu Huy Dương hề hề cười nói.

	Xem đến mọi người không tin, Mưu Huy Dương lại nói: "Chú Chu, chú ngày đó nói Tiểu Bạch là núi Long Thủ một đám chó sói vương, lúc này thật đúng là bị chú nói trúng, bất quá nó đám này chó sói bây giờ chỉ còn lại có cái này mười mấy con liền mà thôi."

	Sau khi nói xong, Mưu Huy Dương đi tới một con chó sói bên người, ở hắn trên đầu sờ một cái, mà con chó sói kia ở Mưu Huy Dương sờ nàng thời điểm không chỉ không có hướng hắn phát động công kích, ngược lại giống như một con cún nhỏ tựa như rất là ôn thuận, mọi người thấy nơi này mới tin Mưu Huy Dương mà nói, đem giơ người chuyện để xuống.Chương 493: Di chuyển kim ti nam mộc 
 Converter Dzung Kiều cầu phiếu 

	/*Dzung Kiều : xem hình kim ti nam mộc <a href="http://img4.cache.netease.com/home/2012/5/2/20120502160835ae0e7.jpg">http://img4.cache.netease.com/home/2012/5/2/20120502160835ae0e7.jpg</a>  */

	Ở có ở trong biệt thự trồng cây thời điểm hắn đi ngay trên Net điều tra, khoa học cũng phát hiện trái lựu có hấp thu lưu, fluorine hóa khinh, hống chờ năng lực, có thể lọc sạch không khí, cho nên đối với ở phía trước viện loại một lượng cây cây lựu Mưu Huy Dương cũng không có phản đối.

	Đối với ở trong vườn loại cây hòe chuyện, Mưu Huy Dương lại không có đáp ứng, dân gian đối với cây hòe còn có một loại khác giải thích, nói hòe tử mộc trong mang quỷ, dễ dàng trêu chọc một ít không làm không tịnh đồ.

	Mưu Huy Dương không đáp ứng cũng không phải là cần phải làm cho này cái nói chuyện, lấy hắn bây giờ tu vi, coi như là trêu chọc tới những thứ đó, hắn cũng có thể ung dung đem những thứ đó tiêu diệt. Mưu Huy Dương sở dĩ không đáp ứng, là hắn cho rằng cái này cây hòe cây hình không chỉ có không đẹp xem, cũng không có cái gì kinh tế giá trị, hắn ý tưởng là dự định ở trong biệt thự loại một ít, giống như tháng tám quế, cây long não, gỗ lim, hồng đậu sam, ngân hạnh loại này cây hình vừa dễ coi lại có kinh tế giá trị cây cối.

	Cùng cha mẹ đạt thành nhất trí ý kiến sau đó, Mưu Huy Dương đi ngay trong thôn đi dạo một vòng, tìm hơn 30 thân thể cường tráng nam được thôn dân ngày mai giúp mình một cái cây cối.

	Bị tìm được thôn dân nghe nói là giúp Mưu Huy Dương di chuyển cây cối, một chút cũng không do dự đáp ứng, thấy mình tìm thôn dân cũng đáp ứng ngày mai tới hỗ trợ, Mưu Huy Dương rất vui vẻ, bất quá hắn cũng không có bạc đãi những thôn dân này, cân nhắc đến việc này rất mệt mỏi người, Mưu Huy Dương cho tới giúp thôn dân lái ra mỗi người mỗi ngày một trăm năm mươi nguyên tiền công.

	Ngày thứ hai điểm tâm sau đó, Mưu Huy Dương mang ở trong thôn tìm hơn 30 người, cầm đào cây cùng vận cây cần hạo đầu, xẻng, đào cuốc đất, sợi dây, còn có giang tử liền lên núi.

	Bây giờ đã là cuối mùa thu, trên núi lá rụng cây cối lá cây đã bắt đầu hiện lên hoàng, để cho chỗ ở đỉnh núi giống như là phủ thêm tầng 1 loãng hoàng sắc xiêm áo. Bất quá những cái kia thường xanh cây cối nhưng bắt cái này cuối thu khí sảng thời tiết, rút ra phát cuối cùng khều một cái thu sao, mới vừa mọc ra thu sao cành lá một mảnh non xanh lá, đổi thành sinh cơ bừng bừng. Xa xa nhìn lại, thôn Long Oa chung quanh trên núi hoàng xanh lá tương ở giữa, lại tăng lên một phen kiểu khác cảnh trí.

	Mới vừa đi ra thôn lúc này Chu Nhất Thương đi tới Mưu Huy Dương bên cạnh hỏi: "Tiểu Dương, thôn chúng ta chung quanh trên núi thích hợp trồng đến trong sân loại cây cũng không thiếu, ngươi dự định ở trong sân của biệt thự trồng cái gì cây, nói ra chúng ta thật là trực tiếp đi có cái loại đó cây đỉnh núi, tránh cho đi oan uổng đường."

	"Chú Chu, cháu muốn ở trong biệt thự trồng cái loại đó tàng cây đoan trang, cây hình xinh đẹp tuyệt trần cây lớn, trong lòng cũng có mấy trong cây cối dự chọn loại cây, đó chính là tháng tám quế, cây long não, gỗ lim, hồng đậu sam, ngân hạnh. . ." Mưu Huy Dương nghe xong lập tức đem chết ý tưởng nói ra.

	"Cây hoa quế, cây long não những thứ này người trong thôn trồng không thiếu, những thứ này cũng quá bình thường, ngươi biệt thự kia như vậy đẹp ở nơi này chút bình thường cây cối cũng không xứng đôi, còn như hồng đậu sam thôn chúng ta chung quanh cùng với núi Long Thủ vòng ngoài ta cũng không thấy qua loại cây này. Bất quá chúng ta thôn chung quanh trên núi lại có ngươi nói cây bạch quả ở núi Long Thủ trong ta còn thấy qua mấy bụi nam cây, ta cảm thấy cái này 2 loại cây liền tương đối thích hợp." Chu Nhất Thương nghe nói suy nghĩ một chút nói.

	Cây bạch quả trái cây tục xưng bạch quả, ngân hạnh lại tên cây bạch quả, theo 《 Bản thảo cương mục 》 ghi lại: "Bạch quả đồ ăn chín có ấm phổi, ích khí, đặt suyễn thấu, thu nhỏ lại liền, chỉ trắng trọc; đồ ăn sống hàng đàm, khử độc sát trùng " tác dụng, nhưng sanh bạch quả ở trong chứa có khinh tình chua độc tố, độc tính rất mạnh, gặp nóng sau độc tính giảm nhỏ, cố sinh ngân hạnh quả đồ ăn sống giao dịch trúng độc không thích hợp ăn sống.

	Cây bạch quả sinh trưởng so với chậm, tuổi thọ vô cùng dài, tự nhiên dưới điều kiện từ trồng đến kết ngân hạnh quả muốn hơn hai mươi năm, bốn mươi năm sau mới có thể rộng lượng kết quả, vì vậy lại có người đem nó gọi là "Ông cháu cây", ý chính là đời ông nội trồng cây mà đời cháu mới có thể ăn được nó kết trái cây, cây bạch quả vẫn là cây ở giữa lão thọ tinh, cái thưởng thức, kinh tế, thuốc dùng giá trị làm một thể.

	"Chú Chu, vậy gỗ lim nhưng mà không thấy nhiều loại cây, ngươi nói ở núi Long Thủ trong phát hiện gỗ lim, đây là thật sao?" Mưu Huy Dương có chút không dám tin tưởng nói.

	"Cây cối này ta cũng biết rất thưa thớt, nhưng ta đúng là núi Long Thủ phát hiện nam cây, bất quá cây kia cũng không nhiều, tất cả lớn nhỏ tổng cộng cũng không đến trăm cây, nếu là ngươi không tin, ta bây giờ liền có thể mang ngươi đi xem xem." Thấy Mưu Huy Dương không tin, thứ hai tiền đề ra lúc này liền mang Mưu Huy Dương bọn họ đi xem.

	"Được, vậy chúng ta ngày hôm nay sẽ tới cái trước xa sau gần, đi trước núi Long Thủ đào gỗ lim, sau đó sẽ trở lại đào cây bạch quả." Lần nữa xác định núi Long Thủ trong có cây gỗ lim, Mưu Huy Dương trong lòng hết sức cao hứng, tự nhiên nếu muốn đào gỗ lim loại này trân quý loại cây.

	Đang quyết định ở biệt thự các loại thực trân quý cây cối lúc này Mưu Huy Dương liền ở trên mạng điều tra nhiều trân quý loại cây tài liệu, cái này gỗ lim lúc ấy hắn còn nặng lưu ý qua.

	Gỗ lim màu màu da cam nhạt hơi xám, hoa văn đạm nhã điềm đạm nho nhã, mộc tính ổn định, không vểnh lên không rách, cộng thêm nó phẩm chất dịu dàng nhu hòa, đông ấm hạ mát, gặp nước sau còn biết phát ra từng cơn mùi thơm, ở cổ đại nhưng mà hoàng gia cung điện, số ít chùa miếu kiến trúc mới có thể sử dụng, chính là bây giờ cũng là một loại cực cao đương vật liệu gỗ.

	Nếu Mưu Huy Dương quyết định đi trước đào cây gỗ lim, mọi người ngay tại Chu Nhất Thương dưới sự hướng dẫn muốn núi Long Thủ đi, cân nhắc đến núi Long Thủ ở giữa tính nguy hiểm, lại xuất phát thời điểm Mưu Huy Dương đem Đại Lão Hắc, Tiểu Bạch, Da Đen cùng với 2 con chim thương ưng cũng mang theo.

	Khi mọi người cảm thấy thứ hai trước nói chỗ kia sinh trưởng gỗ lim địa phương, đã không sai biệt lắm mau đến 12h.

	Cũng may chỗ này chẳng qua là ở núi Long Thủ trung hạ bộ mới ngưng, nơi này nguy hiểm tương đối cũng không lớn lắm, làm Mưu Huy Dương thấy Chu Nhất Thương nói gỗ lim, cả người thiếu chút nữa hưng phấn thiếu chút nữa nhảy cỡn lên.

	Mưu Huy Dương bởi vì là gỗ lim trình độ trân quý, đối với nó ấn tượng hết sức sâu sắc, Chu Nhất Thương phát hiện những thứ này gỗ lim cũng không phải là thông thường gỗ lim, mà là kim ti nam, kim ti nam lại tên tử kim nam cây, kim lòng nam, là một loại cao lớn thường xanh lá Kiều Mộc, thân cây thông dường như, lá quanh năm không cám ơn, là rất tốt xanh hoá loại cây.

	Mưu Huy Dương ở trên mạng thấy có người nói cái này kim ti nam là một loại một số gần như tuyệt tích cây gỗ lim loại , Mưu Huy Dương không nghĩ tới ở nơi này long sơn trong còn sinh trưởng gần trăm cây nhiều như vậy.

	Những thứ này kim ti nam trong lớn nhất một cây, cây chiều cao hơn 30m, cây đường kính cũng có 2m cỡ đó, tàng cây đổi là chung hình, thân cây thông dường như, kim ti nam mộc sơ kỳ sinh trưởng tốc độ rất chậm chạp, cái này cây kim ti nam cây cối có thể vừa được hơn 30m, tới bớt ở chỗ này sinh trưởng ba trăm năm tả hữu thời gian.

	Ở nơi này mảnh cây gỗ lim trong rừng, mười mấy gạo đến hai mươi mấy thước cao kim ti nam cây cối chiếm cái này mảnh cây gỗ lim lâm hơn nửa, còn dư lại những cái kia mười gạo cười một tiếng nhỏ cây gỗ lim miêu cũng có hơn hai mươi cây.

	Lớn cây gỗ lim không tốt vận đưa về nhà, Mưu Huy Dương quyết định liền đào những cái kia chừng mười thước cao kim ti nam cây cối, cùng một ít mấy thước cao cây gỗ lim miêu, hắn phải đem những cái kia mấy thước cao cây gỗ lim miêu di chuyển đến trong không gian, lấy không gian đối với thực vật tăng cường hiệu quả, hắn tin tưởng những thứ này cây gỗ lim miêu di chuyển đến không gian sau đó, không chỉ có sinh trưởng tốc độ sẽ nhanh hơn, gỗ lim chất lượng cũng lấy được lớn hơn tăng lên.

	Ở về đến nhà động thủ đào kim ti nam mộc lúc này Mưu Huy Dương đem Đại Lão Hắc cùng Da Đen lưu lại bảo vệ mọi người, để cho Tiểu Bạch cùng 2 con chim thương ưng đi bắt một ít thịt rừng trở về làm bữa trưa, chính hắn thì từ túi leo núi trong, cầm ra nồi chén gáo chậu cùng rau, tìm một con suối lưu trải qua quyên lưu, bắt đầu cho mọi người chuẩn bị bữa trưa.

	Ở trong núi lớn này, Tiểu Bạch cùng 2 con chim thương ưng phát huy trọn vẹn bọn họ ưu thế, không bao lâu thời gian liền đem con mồi mang theo trở lại.

	2 con chim thương ưng bắt thỏ rừng cùng gà rừng, mà Tiểu Bạch thì phát huy trọn vẹn nó sói vương tác dụng, đem trong núi bầy sói triệu tập tới, lúc trở lại một đám chó sói mang về ba con dê núi hoang.

	"Có bầy sói."

	Làm Tiểu Bạch mang mười mấy con chó sói kéo ba con dê núi hoang lúc trở lại, cũng bị sợ sợ hãi kêu, Chu Nhất Thương lại là đem súng cũng giơ lên.

	"Chú Chu đừng bắn." Thấy Chu Nhất Thương động tác, Mưu Huy Dương sợ hết hồn, nhanh chóng lớn tiếng kêu lên.

	"Tiểu Dương, ngươi đây là ý gì?" Chu Nhất Thương nghe được tiếng kêu sau cũng không có đem súng buông xuống, vẫn dùng súng liếc bầy sói rất là nghi ngờ hỏi.

	"Chú Chu, còn có mọi người cũng đừng kinh hoảng, những thứ này chó sói đều là tiểu Bạch thủ hạ, các người không thấy bọn họ đây là cho chúng ta đưa con mồi đã tới sao?" Mưu Huy Dương hề hề cười nói.

	Xem đến mọi người không tin, Mưu Huy Dương lại nói: "Chú Chu, chú ngày đó nói Tiểu Bạch là núi Long Thủ một đám chó sói vương, lúc này thật đúng là bị chú nói trúng, bất quá nó đám này chó sói bây giờ chỉ còn lại có cái này mười mấy con liền mà thôi."

	Sau khi nói xong, Mưu Huy Dương đi tới một con chó sói bên người, ở hắn trên đầu sờ một cái, mà con chó sói kia ở Mưu Huy Dương sờ nàng thời điểm không chỉ không có hướng hắn phát động công kích, ngược lại giống như một con cún nhỏ tựa như rất là ôn thuận, mọi người thấy nơi này mới tin Mưu Huy Dương mà nói, đem giơ người chuyện để xuống.Chương 493: Di chuyển kim ti nam mộc 
 Converter Dzung Kiều cầu phiếu 

	/*Dzung Kiều : xem hình kim ti nam mộc <a href="http://img4.cache.netease.com/home/2012/5/2/20120502160835ae0e7.jpg">http://img4.cache.netease.com/home/2012/5/2/20120502160835ae0e7.jpg</a>  */

	Ở có ở trong biệt thự trồng cây thời điểm hắn đi ngay trên Net điều tra, khoa học cũng phát hiện trái lựu có hấp thu lưu, fluorine hóa khinh, hống chờ năng lực, có thể lọc sạch không khí, cho nên đối với ở phía trước viện loại một lượng cây cây lựu Mưu Huy Dương cũng không có phản đối.

	Đối với ở trong vườn loại cây hòe chuyện, Mưu Huy Dương lại không có đáp ứng, dân gian đối với cây hòe còn có một loại khác giải thích, nói hòe tử mộc trong mang quỷ, dễ dàng trêu chọc một ít không làm không tịnh đồ.

	Mưu Huy Dương không đáp ứng cũng không phải là cần phải làm cho này cái nói chuyện, lấy hắn bây giờ tu vi, coi như là trêu chọc tới những thứ đó, hắn cũng có thể ung dung đem những thứ đó tiêu diệt. Mưu Huy Dương sở dĩ không đáp ứng, là hắn cho rằng cái này cây hòe cây hình không chỉ có không đẹp xem, cũng không có cái gì kinh tế giá trị, hắn ý tưởng là dự định ở trong biệt thự loại một ít, giống như tháng tám quế, cây long não, gỗ lim, hồng đậu sam, ngân hạnh loại này cây hình vừa dễ coi lại có kinh tế giá trị cây cối.

	Cùng cha mẹ đạt thành nhất trí ý kiến sau đó, Mưu Huy Dương đi ngay trong thôn đi dạo một vòng, tìm hơn 30 thân thể cường tráng nam được thôn dân ngày mai giúp mình một cái cây cối.

	Bị tìm được thôn dân nghe nói là giúp Mưu Huy Dương di chuyển cây cối, một chút cũng không do dự đáp ứng, thấy mình tìm thôn dân cũng đáp ứng ngày mai tới hỗ trợ, Mưu Huy Dương rất vui vẻ, bất quá hắn cũng không có bạc đãi những thôn dân này, cân nhắc đến việc này rất mệt mỏi người, Mưu Huy Dương cho tới giúp thôn dân lái ra mỗi người mỗi ngày một trăm năm mươi nguyên tiền công.

	Ngày thứ hai điểm tâm sau đó, Mưu Huy Dương mang ở trong thôn tìm hơn 30 người, cầm đào cây cùng vận cây cần hạo đầu, xẻng, đào cuốc đất, sợi dây, còn có giang tử liền lên núi.

	Bây giờ đã là cuối mùa thu, trên núi lá rụng cây cối lá cây đã bắt đầu hiện lên hoàng, để cho chỗ ở đỉnh núi giống như là phủ thêm tầng 1 loãng hoàng sắc xiêm áo. Bất quá những cái kia thường xanh cây cối nhưng bắt cái này cuối thu khí sảng thời tiết, rút ra phát cuối cùng khều một cái thu sao, mới vừa mọc ra thu sao cành lá một mảnh non xanh lá, đổi thành sinh cơ bừng bừng. Xa xa nhìn lại, thôn Long Oa chung quanh trên núi hoàng xanh lá tương ở giữa, lại tăng lên một phen kiểu khác cảnh trí.

	Mới vừa đi ra thôn lúc này Chu Nhất Thương đi tới Mưu Huy Dương bên cạnh hỏi: "Tiểu Dương, thôn chúng ta chung quanh trên núi thích hợp trồng đến trong sân loại cây cũng không thiếu, ngươi dự định ở trong sân của biệt thự trồng cái gì cây, nói ra chúng ta thật là trực tiếp đi có cái loại đó cây đỉnh núi, tránh cho đi oan uổng đường."

	"Chú Chu, cháu muốn ở trong biệt thự trồng cái loại đó tàng cây đoan trang, cây hình xinh đẹp tuyệt trần cây lớn, trong lòng cũng có mấy trong cây cối dự chọn loại cây, đó chính là tháng tám quế, cây long não, gỗ lim, hồng đậu sam, ngân hạnh. . ." Mưu Huy Dương nghe xong lập tức đem chết ý tưởng nói ra.

	"Cây hoa quế, cây long não những thứ này người trong thôn trồng không thiếu, những thứ này cũng quá bình thường, ngươi biệt thự kia như vậy đẹp ở nơi này chút bình thường cây cối cũng không xứng đôi, còn như hồng đậu sam thôn chúng ta chung quanh cùng với núi Long Thủ vòng ngoài ta cũng không thấy qua loại cây này. Bất quá chúng ta thôn chung quanh trên núi lại có ngươi nói cây bạch quả ở núi Long Thủ trong ta còn thấy qua mấy bụi nam cây, ta cảm thấy cái này 2 loại cây liền tương đối thích hợp." Chu Nhất Thương nghe nói suy nghĩ một chút nói.

