Chương 1362: Phòng vệ tỉnh thành tựu 
 Converter Dzung Kiều cầu khen thưởng 

	Oanh oanh. . .
	"f15 máy bay chiến đấu chạy tới, người Hoa thật giống như sợ máy bay chiến đấu, cũng không có ở truy kích, bất quá chỉ có năm chiếc máy bay trực thăng võ trang Apache rút lui đến chiến đấu cơ bảo vệ phạm vi, còn lại máy bay trực thăng toàn bộ bị kích hủy."

	f15 sức chiến đấu có thể so với máy bay trực thăng mạnh hơn nhiều, nghe được máy bay chiến đấu chạy tới đem còn dư lại máy bay trực thăng võ trang Apache cứu, toàn bộ phòng vệ tỉnh người cũng cao giọng hoan hô lên.

	"Quá tốt, đem vậy đáng giận người Hoa làm chết!"

	". . ."

	"Máy bay chiến đấu đem người Hoa đuổi đi, người Hoa hướng bộ đội trên đất liền đi!"

	Ở nghe được cái này tình báo sau đó, toàn bộ phòng vệ tỉnh người đều yên tĩnh lại, rất nhiều người cũng ở trong lòng nghĩ đến, chẳng lẽ người Hoa kia là người ngu, mình đưa tới cửa đi tìm chết.

	"Seinen Shoujo tướng quân hạ lệnh công kích, người Hoa trên thân kiếm phát ra giống như cực quang giống vậy ánh sáng, công phá bộ đội trên đất liền phòng ngự, công vào bộ đội trên đất liền chiến trận."

	"Người Hoa giết xuyên toàn bộ lữ đoàn thứ năm trận địa, lữ đoàn dài Seinen Shoujo tướng quân tuyên bố không đỡ được vậy người Hoa công kích, thỉnh cầu rút lui!"

	Takeji Ichio khi nhận được Seinen Shoujo thỉnh cầu rút lui báo cáo sau đó, không chỉ có không để cho lữ đoàn thứ năm rút lui, vẫn còn cho Seinen Shoujo xuống một đạo chính là chiến tới người cuối cùng, cũng phải đem Mưu Huy Dương đánh chết nghiêm lệnh, chính là đạo mệnh lệnh này, để cho lữ đoàn thứ năm thương vong thảm trọng, cuối cùng đưa đến lữ đoàn thứ năm bị bại.

	"Bộ đội trên đất liền bị đánh tan, quân đội bắt đầu tháo lui."

	Ở Takeji Ichio phát ra cái mệnh lệnh này sau không lâu, một cái gay go đến mức tận cùng tin tức truyền tới phòng vệ tỉnh, để cho bể đầu sứt trán Takeji Ichio, sắc mặt âm trầm đáng sợ, trong mắt thỉnh thoảng thoáng qua một đạo mang đậm đà sát cơ hung quang, để cho phòng vệ tỉnh tất cả mọi người đều câm như hến, liền thở mạnh cũng không dám một chút.

	"f15 máy bay chiến đấu truy kích người Hoa, người Hoa bắt đầu hướng trên núi chạy trốn!" Đây là, một cái hơi có lợi tình báo truyền tới.

	Nghe được cái này tình báo sau đó, Takeji Ichio vậy không đầy khói mù khuôn mặt rốt cuộc hơi trời tạnh liền một chút. Nếu vậy người Hoa sợ hãi f15 máy bay chiến đấu, vậy chuyện kế tiếp thì dễ làm.

	Takeji Ichio trên mặt lộ ra nụ cười dữ tợn, đối với bên người một vị tướng quân nói: "Nếu vậy người Hoa sợ f15 máy bay chiến đấu, đã nói lên máy bay chiến đấu có thể cho hắn tạo thành hủy diệt tổn thương, lập tức cho ta ở tăng phái hai mươi, không ba mươi chiếc f15 máy bay chiến đấu, nhất định phải đem vậy người Hoa oanh diệt, vì những cái kia vì thiên hoàng bệ hạ hiến thân các dũng sĩ trả thù."

	"Tướng quân nói đúng, vậy người Hoa lợi hại hơn nữa hắn cũng là thân máu thịt, căn bản cũng không phải là cường đại f15 chiến đấu cơ đối thủ!"

	"Mới sáu chiếc f15 liền đem hắn đuổi đi giống như chó vậy chật vật chạy trốn, cùng tăng phái ba mươi chiếc chiến đấu cơ chạy tới, vậy người Hoa liền lên trời không đường xuống đất không cửa, cuối cùng chỉ có bị nổ thành thịt vụn kết quả."

	"Không sai, f15 chiến đấu cơ sức chiến đấu ít nhất là máy bay trực thăng võ trang Apache gấp mấy lần, bây giờ có tăng phái ba mươi chiếc đã qua, vậy người Hoa muốn không chết cũng không thể, chúng ta ngồi chờ hắn bị tiêu diệt tin tức tốt truyền về!"

	". . ."

	Phòng vệ tỉnh nhân viên ở lớn vỗ Takeji Ichio đồng thời, cũng bắt đầu thổi phồng f15 chiến đấu cơ mạnh mẽ tới, Takeji Ichio nghe được các thuộc hạ lẫn nhau thổi phồng, không chỉ không có giống như thường ngày dài một dạng nổi giận, trên mặt còn lộ ra cười đắc ý ý.

	"Người Hoa không biết dùng thủ đoạn gì, ở tìm kiếm không tới người dưới tình huống, dùng phi kiếm kích hủy một chiếc f15 máy bay chiến đấu." Đang lúc mọi người khoác lác lúc này nhân viên tình báo lại báo ra một cái tình báo mới nhất.

	Nhất thời, mới vừa rồi những cái kia trắng trợn khoác lác người, giống như là bị vặn ở cổ con vịt tựa như, còn không nói ra cũng nghẹn ở trong cổ họng.

	"Làm sao có thể, f15 máy bay chiến đấu có thể là có vĩnh không rơi xuống máy bay chiến đấu xưng vị, vậy người Hoa làm sao có thể đem nó kích hủy." Một cái chủ quản không quân tướng quân nghe xong, tức giận hét.Chương 1362: Phòng vệ tỉnh thành tựu 
 Converter Dzung Kiều cầu khen thưởng 

	Oanh oanh. . .

	Máy bay chiến đấu cùng đạn đại bác nổ sau sinh ra một đoàn đoàn ngọn lửa, trên không trung tạo thành một tràng xinh đẹp chết diễm hỏa.

	Từ kích hủy chiếc phi cơ chiến đấu thứ nhất, đến chiếc cuối cùng máy bay chiến đấu bị đánh nổ, chỉ dùng không tới 2 phút thời gian, sáu chiếc f15 máy bay chiến đấu liền toàn bộ bị kích hủy.

	. . .

	Lại không nói Mưu Huy Dương đem tất cả f15 máy bay chiến đấu kích hủy sau đó, tiếp theo biết làm gì, bây giờ để cho chúng ta qua lại cố một chút, nước NB phòng vệ tỉnh lần này trong sự kiện làm làm.

	Ở Mưu Huy Dương kích hủy chiếc thứ nhất máy bay trực thăng võ trang Apache lúc này cái tình huống này lập tức liền bị Seinen Shoujo trực tiếp trình lên phòng vệ tỉnh.

	Lần đầu tiên nhận được Mưu Huy Dương dùng một chuôi kiếm sắt kích hủy máy bay trực thăng võ trang Apache tin tức sau đó, toàn bộ phòng vệ tỉnh người cũng cho rằng đây là một cái cười nhạo, căn bản cũng không có một người tin tưởng.

	Tất cả mọi người đều cho rằng, vô luận người tu hành thật lợi hại, đang nắm giữ liền lớn tính sát thương vũ khí tân tiến quân đội trước mặt, vậy cũng là không chịu nổi một kích.

	Càng đừng gặp nói võ trang tận răng máy bay trực thăng võ trang Apache, đối mặt như vậy đại sát khí, lợi hại hơn nữa tu giả cũng cũng chỉ có ai nổ phần, làm sao có thể có người chỉ dùng một chuôi thông thường kiếm sắt, liền đem máy bay trực thăng võ trang Apache kích hủy.

	Trừ phi máy bay trực thăng võ trang Apache phía trên hỏa tiễn, tên lửa pháo, cơ pháo đều trở thành chưng bày, hoặc là máy bay trực thăng người điều khiển đầu hư, đem máy bay trực thăng treo ngừng ở nơi đó chờ người khác công kích.

	"Ngày hôm nay không phải ngày nói dối tháng tư à, làm sao có thể sẽ phát sinh như thế hoang đường sự việc!" Một cái phòng vệ tỉnh nhân viên làm việc còn làm lạ nói.

	Đừng nói những cái kia nhân viên làm việc, chính là phòng vệ tỉnh chỉ huy trưởng phòng vệ đại thần, nghe được cái này làm lạ nói, cũng tét rách khóe miệng.

	Phòng vệ đại thần Takeji Ichio đang tiếp thụ phía trên để cho mình phái một cây quân đội, đi tiêu diệt một cái TQ tu giả lúc này mặc dù hạ lệnh người lần nữa nhấn mạnh Mưu Huy Dương rất lợi hại, nhưng có trước quân quốc chủ nghĩa tình tiết Takeji Ichio, căn bản là không có đem Mưu Huy Dương để ở trong lòng.

	Takeji Ichio cho rằng lợi hại hơn nữa tu giả, đang nắm giữ liền lớn tính sát thương vũ khí tân tiến quân đội trước mặt, kia đều là không chịu nổi một kích, huống chi mình sai phái vẫn là tinh nhuệ lữ đoàn thứ năm, chỉ cần cùng lữ đoàn thứ năm cái này tinh nhuệ quân đội chạy tới, vậy Hoa Hạ tu chân nhất định sẽ bó tay chịu trói.

	Vì vậy, ở đem dưới mệnh lệnh đạt cho lữ đoàn thứ năm sau đó, Takeji Ichio liền không lại đem chuyện này để ở trong lòng.

	Chính là nhận được máy bay trực thăng bị kiếm sắt kích hủy báo cáo sau đó, hắn cũng cho rằng là cái đó xui xẻo người điều khiển quá nhớ lập công, đem máy bay trực thăng cao độ xuống quá thấp, mới bị Mưu Huy Dương may mắn kích hủy.

	Nhưng mà làm máy bay trực thăng võ trang Apache bị đánh rơi tin tức liên tiếp truyền tới phòng vệ tỉnh lúc này gần đây tự nhận thành sơn sụp đổ trước mặt đều không hoảng Takeji Ichio, lúc này mới cảm thấy tình hình nghiêm trọng, bắt đầu chú ý tới chuyện này tới.

	Xác nhận chuyện này là thật sau đó, toàn bộ phòng vệ tỉnh nhất thời trở nên so chợ bán thức ăn còn muốn náo nhiệt.

	Phòng vệ tỉnh cũng đem cao độ chú ý tới lữ đoàn thứ năm tiêu diệt người Hoa lần này hành động, vì vậy, có liên quan lữ đoàn thứ năm lần hành động này tinh bạo toàn bộ hướng phòng vệ tỉnh tụ đến.

	"Người Hoa tránh thoát máy bay trực thăng võ trang Apache cùng mặt đất pháo binh bắt đầu phản kích, bắt đầu truy kích máy bay trực thăng võ trang Apache."

	"f15 máy bay chiến đấu chạy tới, người Hoa thật giống như sợ máy bay chiến đấu, cũng không có ở truy kích, bất quá chỉ có năm chiếc máy bay trực thăng võ trang Apache rút lui đến chiến đấu cơ bảo vệ phạm vi, còn lại máy bay trực thăng toàn bộ bị kích hủy."

	f15 sức chiến đấu có thể so với máy bay trực thăng mạnh hơn nhiều, nghe được máy bay chiến đấu chạy tới đem còn dư lại máy bay trực thăng võ trang Apache cứu, toàn bộ phòng vệ tỉnh người cũng cao giọng hoan hô lên.

	"Quá tốt, đem vậy đáng giận người Hoa làm chết!"

	". . ."

	"Máy bay chiến đấu đem người Hoa đuổi đi, người Hoa hướng bộ đội trên đất liền đi!"

	Ở nghe được cái này tình báo sau đó, toàn bộ phòng vệ tỉnh người đều yên tĩnh lại, rất nhiều người cũng ở trong lòng nghĩ đến, chẳng lẽ người Hoa kia là người ngu, mình đưa tới cửa đi tìm chết.

	"Seinen Shoujo tướng quân hạ lệnh công kích, người Hoa trên thân kiếm phát ra giống như cực quang giống vậy ánh sáng, công phá bộ đội trên đất liền phòng ngự, công vào bộ đội trên đất liền chiến trận."

	"Người Hoa giết xuyên toàn bộ lữ đoàn thứ năm trận địa, lữ đoàn dài Seinen Shoujo tướng quân tuyên bố không đỡ được vậy người Hoa công kích, thỉnh cầu rút lui!"

	Takeji Ichio khi nhận được Seinen Shoujo thỉnh cầu rút lui báo cáo sau đó, không chỉ có không để cho lữ đoàn thứ năm rút lui, vẫn còn cho Seinen Shoujo xuống một đạo chính là chiến tới người cuối cùng, cũng phải đem Mưu Huy Dương đánh chết nghiêm lệnh, chính là đạo mệnh lệnh này, để cho lữ đoàn thứ năm thương vong thảm trọng, cuối cùng đưa đến lữ đoàn thứ năm bị bại.

	"Bộ đội trên đất liền bị đánh tan, quân đội bắt đầu tháo lui."

	Ở Takeji Ichio phát ra cái mệnh lệnh này sau không lâu, một cái gay go đến mức tận cùng tin tức truyền tới phòng vệ tỉnh, để cho bể đầu sứt trán Takeji Ichio, sắc mặt âm trầm đáng sợ, trong mắt thỉnh thoảng thoáng qua một đạo mang đậm đà sát cơ hung quang, để cho phòng vệ tỉnh tất cả mọi người đều câm như hến, liền thở mạnh cũng không dám một chút.

	"f15 máy bay chiến đấu truy kích người Hoa, người Hoa bắt đầu hướng trên núi chạy trốn!" Đây là, một cái hơi có lợi tình báo truyền tới.

	Nghe được cái này tình báo sau đó, Takeji Ichio vậy không đầy khói mù khuôn mặt rốt cuộc hơi trời tạnh liền một chút. Nếu vậy người Hoa sợ hãi f15 máy bay chiến đấu, vậy chuyện kế tiếp thì dễ làm.

	Takeji Ichio trên mặt lộ ra nụ cười dữ tợn, đối với bên người một vị tướng quân nói: "Nếu vậy người Hoa sợ f15 máy bay chiến đấu, đã nói lên máy bay chiến đấu có thể cho hắn tạo thành hủy diệt tổn thương, lập tức cho ta ở tăng phái hai mươi, không ba mươi chiếc f15 máy bay chiến đấu, nhất định phải đem vậy người Hoa oanh diệt, vì những cái kia vì thiên hoàng bệ hạ hiến thân các dũng sĩ trả thù."

	"Tướng quân nói đúng, vậy người Hoa lợi hại hơn nữa hắn cũng là thân máu thịt, căn bản cũng không phải là cường đại f15 chiến đấu cơ đối thủ!"

	"Mới sáu chiếc f15 liền đem hắn đuổi đi giống như chó vậy chật vật chạy trốn, cùng tăng phái ba mươi chiếc chiến đấu cơ chạy tới, vậy người Hoa liền lên trời không đường xuống đất không cửa, cuối cùng chỉ có bị nổ thành thịt vụn kết quả."

	"Không sai, f15 chiến đấu cơ sức chiến đấu ít nhất là máy bay trực thăng võ trang Apache gấp mấy lần, bây giờ có tăng phái ba mươi chiếc đã qua, vậy người Hoa muốn không chết cũng không thể, chúng ta ngồi chờ hắn bị tiêu diệt tin tức tốt truyền về!"

	". . ."

	Phòng vệ tỉnh nhân viên ở lớn vỗ Takeji Ichio đồng thời, cũng bắt đầu thổi phồng f15 chiến đấu cơ mạnh mẽ tới, Takeji Ichio nghe được các thuộc hạ lẫn nhau thổi phồng, không chỉ không có giống như thường ngày dài một dạng nổi giận, trên mặt còn lộ ra cười đắc ý ý.

	"Người Hoa không biết dùng thủ đoạn gì, ở tìm kiếm không tới người dưới tình huống, dùng phi kiếm kích hủy một chiếc f15 máy bay chiến đấu." Đang lúc mọi người khoác lác lúc này nhân viên tình báo lại báo ra một cái tình báo mới nhất.

	Nhất thời, mới vừa rồi những cái kia trắng trợn khoác lác người, giống như là bị vặn ở cổ con vịt tựa như, còn không nói ra cũng nghẹn ở trong cổ họng.

	"Làm sao có thể, f15 máy bay chiến đấu có thể là có vĩnh không rơi xuống máy bay chiến đấu xưng vị, vậy người Hoa làm sao có thể đem nó kích hủy." Một cái chủ quản không quân tướng quân nghe xong, tức giận hét.Chương 1362: Phòng vệ tỉnh thành tựu 
 Converter Dzung Kiều cầu khen thưởng 

	Oanh oanh. . .

	Máy bay chiến đấu cùng đạn đại bác nổ sau sinh ra một đoàn đoàn ngọn lửa, trên không trung tạo thành một tràng xinh đẹp chết diễm hỏa.

	Từ kích hủy chiếc phi cơ chiến đấu thứ nhất, đến chiếc cuối cùng máy bay chiến đấu bị đánh nổ, chỉ dùng không tới 2 phút thời gian, sáu chiếc f15 máy bay chiến đấu liền toàn bộ bị kích hủy.

	. . .

	Lại không nói Mưu Huy Dương đem tất cả f15 máy bay chiến đấu kích hủy sau đó, tiếp theo biết làm gì, bây giờ để cho chúng ta qua lại cố một chút, nước NB phòng vệ tỉnh lần này trong sự kiện làm làm.

	Ở Mưu Huy Dương kích hủy chiếc thứ nhất máy bay trực thăng võ trang Apache lúc này cái tình huống này lập tức liền bị Seinen Shoujo trực tiếp trình lên phòng vệ tỉnh.

	Lần đầu tiên nhận được Mưu Huy Dương dùng một chuôi kiếm sắt kích hủy máy bay trực thăng võ trang Apache tin tức sau đó, toàn bộ phòng vệ tỉnh người cũng cho rằng đây là một cái cười nhạo, căn bản cũng không có một người tin tưởng.

	Tất cả mọi người đều cho rằng, vô luận người tu hành thật lợi hại, đang nắm giữ liền lớn tính sát thương vũ khí tân tiến quân đội trước mặt, vậy cũng là không chịu nổi một kích.

	Càng đừng gặp nói võ trang tận răng máy bay trực thăng võ trang Apache, đối mặt như vậy đại sát khí, lợi hại hơn nữa tu giả cũng cũng chỉ có ai nổ phần, làm sao có thể có người chỉ dùng một chuôi thông thường kiếm sắt, liền đem máy bay trực thăng võ trang Apache kích hủy.

	Trừ phi máy bay trực thăng võ trang Apache phía trên hỏa tiễn, tên lửa pháo, cơ pháo đều trở thành chưng bày, hoặc là máy bay trực thăng người điều khiển đầu hư, đem máy bay trực thăng treo ngừng ở nơi đó chờ người khác công kích.

	"Ngày hôm nay không phải ngày nói dối tháng tư à, làm sao có thể sẽ phát sinh như thế hoang đường sự việc!" Một cái phòng vệ tỉnh nhân viên làm việc còn làm lạ nói.

	Đừng nói những cái kia nhân viên làm việc, chính là phòng vệ tỉnh chỉ huy trưởng phòng vệ đại thần, nghe được cái này làm lạ nói, cũng tét rách khóe miệng.

	Phòng vệ đại thần Takeji Ichio đang tiếp thụ phía trên để cho mình phái một cây quân đội, đi tiêu diệt một cái TQ tu giả lúc này mặc dù hạ lệnh người lần nữa nhấn mạnh Mưu Huy Dương rất lợi hại, nhưng có trước quân quốc chủ nghĩa tình tiết Takeji Ichio, căn bản là không có đem Mưu Huy Dương để ở trong lòng.

	Takeji Ichio cho rằng lợi hại hơn nữa tu giả, đang nắm giữ liền lớn tính sát thương vũ khí tân tiến quân đội trước mặt, kia đều là không chịu nổi một kích, huống chi mình sai phái vẫn là tinh nhuệ lữ đoàn thứ năm, chỉ cần cùng lữ đoàn thứ năm cái này tinh nhuệ quân đội chạy tới, vậy Hoa Hạ tu chân nhất định sẽ bó tay chịu trói.

	Vì vậy, ở đem dưới mệnh lệnh đạt cho lữ đoàn thứ năm sau đó, Takeji Ichio liền không lại đem chuyện này để ở trong lòng.

	Chính là nhận được máy bay trực thăng bị kiếm sắt kích hủy báo cáo sau đó, hắn cũng cho rằng là cái đó xui xẻo người điều khiển quá nhớ lập công, đem máy bay trực thăng cao độ xuống quá thấp, mới bị Mưu Huy Dương may mắn kích hủy.

	Nhưng mà làm máy bay trực thăng võ trang Apache bị đánh rơi tin tức liên tiếp truyền tới phòng vệ tỉnh lúc này gần đây tự nhận thành sơn sụp đổ trước mặt đều không hoảng Takeji Ichio, lúc này mới cảm thấy tình hình nghiêm trọng, bắt đầu chú ý tới chuyện này tới.

	Xác nhận chuyện này là thật sau đó, toàn bộ phòng vệ tỉnh nhất thời trở nên so chợ bán thức ăn còn muốn náo nhiệt.

	Phòng vệ tỉnh cũng đem cao độ chú ý tới lữ đoàn thứ năm tiêu diệt người Hoa lần này hành động, vì vậy, có liên quan lữ đoàn thứ năm lần hành động này tinh bạo toàn bộ hướng phòng vệ tỉnh tụ đến.

	"Người Hoa tránh thoát máy bay trực thăng võ trang Apache cùng mặt đất pháo binh bắt đầu phản kích, bắt đầu truy kích máy bay trực thăng võ trang Apache."

	"f15 máy bay chiến đấu chạy tới, người Hoa thật giống như sợ máy bay chiến đấu, cũng không có ở truy kích, bất quá chỉ có năm chiếc máy bay trực thăng võ trang Apache rút lui đến chiến đấu cơ bảo vệ phạm vi, còn lại máy bay trực thăng toàn bộ bị kích hủy."

	f15 sức chiến đấu có thể so với máy bay trực thăng mạnh hơn nhiều, nghe được máy bay chiến đấu chạy tới đem còn dư lại máy bay trực thăng võ trang Apache cứu, toàn bộ phòng vệ tỉnh người cũng cao giọng hoan hô lên.

	"Quá tốt, đem vậy đáng giận người Hoa làm chết!"

	". . ."

	"Máy bay chiến đấu đem người Hoa đuổi đi, người Hoa hướng bộ đội trên đất liền đi!"

	Ở nghe được cái này tình báo sau đó, toàn bộ phòng vệ tỉnh người đều yên tĩnh lại, rất nhiều người cũng ở trong lòng nghĩ đến, chẳng lẽ người Hoa kia là người ngu, mình đưa tới cửa đi tìm chết.

	"Seinen Shoujo tướng quân hạ lệnh công kích, người Hoa trên thân kiếm phát ra giống như cực quang giống vậy ánh sáng, công phá bộ đội trên đất liền phòng ngự, công vào bộ đội trên đất liền chiến trận."

	"Người Hoa giết xuyên toàn bộ lữ đoàn thứ năm trận địa, lữ đoàn dài Seinen Shoujo tướng quân tuyên bố không đỡ được vậy người Hoa công kích, thỉnh cầu rút lui!"

	Takeji Ichio khi nhận được Seinen Shoujo thỉnh cầu rút lui báo cáo sau đó, không chỉ có không để cho lữ đoàn thứ năm rút lui, vẫn còn cho Seinen Shoujo xuống một đạo chính là chiến tới người cuối cùng, cũng phải đem Mưu Huy Dương đánh chết nghiêm lệnh, chính là đạo mệnh lệnh này, để cho lữ đoàn thứ năm thương vong thảm trọng, cuối cùng đưa đến lữ đoàn thứ năm bị bại.

	"Bộ đội trên đất liền bị đánh tan, quân đội bắt đầu tháo lui."

	Ở Takeji Ichio phát ra cái mệnh lệnh này sau không lâu, một cái gay go đến mức tận cùng tin tức truyền tới phòng vệ tỉnh, để cho bể đầu sứt trán Takeji Ichio, sắc mặt âm trầm đáng sợ, trong mắt thỉnh thoảng thoáng qua một đạo mang đậm đà sát cơ hung quang, để cho phòng vệ tỉnh tất cả mọi người đều câm như hến, liền thở mạnh cũng không dám một chút.

	"f15 máy bay chiến đấu truy kích người Hoa, người Hoa bắt đầu hướng trên núi chạy trốn!" Đây là, một cái hơi có lợi tình báo truyền tới.

	Nghe được cái này tình báo sau đó, Takeji Ichio vậy không đầy khói mù khuôn mặt rốt cuộc hơi trời tạnh liền một chút. Nếu vậy người Hoa sợ hãi f15 máy bay chiến đấu, vậy chuyện kế tiếp thì dễ làm.

	Takeji Ichio trên mặt lộ ra nụ cười dữ tợn, đối với bên người một vị tướng quân nói: "Nếu vậy người Hoa sợ f15 máy bay chiến đấu, đã nói lên máy bay chiến đấu có thể cho hắn tạo thành hủy diệt tổn thương, lập tức cho ta ở tăng phái hai mươi, không ba mươi chiếc f15 máy bay chiến đấu, nhất định phải đem vậy người Hoa oanh diệt, vì những cái kia vì thiên hoàng bệ hạ hiến thân các dũng sĩ trả thù."

	"Tướng quân nói đúng, vậy người Hoa lợi hại hơn nữa hắn cũng là thân máu thịt, căn bản cũng không phải là cường đại f15 chiến đấu cơ đối thủ!"

	"Mới sáu chiếc f15 liền đem hắn đuổi đi giống như chó vậy chật vật chạy trốn, cùng tăng phái ba mươi chiếc chiến đấu cơ chạy tới, vậy người Hoa liền lên trời không đường xuống đất không cửa, cuối cùng chỉ có bị nổ thành thịt vụn kết quả."

	"Không sai, f15 chiến đấu cơ sức chiến đấu ít nhất là máy bay trực thăng võ trang Apache gấp mấy lần, bây giờ có tăng phái ba mươi chiếc đã qua, vậy người Hoa muốn không chết cũng không thể, chúng ta ngồi chờ hắn bị tiêu diệt tin tức tốt truyền về!"

	". . ."

	Phòng vệ tỉnh nhân viên ở lớn vỗ Takeji Ichio đồng thời, cũng bắt đầu thổi phồng f15 chiến đấu cơ mạnh mẽ tới, Takeji Ichio nghe được các thuộc hạ lẫn nhau thổi phồng, không chỉ không có giống như thường ngày dài một dạng nổi giận, trên mặt còn lộ ra cười đắc ý ý.

	"Người Hoa không biết dùng thủ đoạn gì, ở tìm kiếm không tới người dưới tình huống, dùng phi kiếm kích hủy một chiếc f15 máy bay chiến đấu." Đang lúc mọi người khoác lác lúc này nhân viên tình báo lại báo ra một cái tình báo mới nhất.

	Nhất thời, mới vừa rồi những cái kia trắng trợn khoác lác người, giống như là bị vặn ở cổ con vịt tựa như, còn không nói ra cũng nghẹn ở trong cổ họng.

	"Làm sao có thể, f15 máy bay chiến đấu có thể là có vĩnh không rơi xuống máy bay chiến đấu xưng vị, vậy người Hoa làm sao có thể đem nó kích hủy." Một cái chủ quản không quân tướng quân nghe xong, tức giận hét.Chương 1362: Phòng vệ tỉnh thành tựu 
 Converter Dzung Kiều cầu khen thưởng 

	Oanh oanh. . .

	Máy bay chiến đấu cùng đạn đại bác nổ sau sinh ra một đoàn đoàn ngọn lửa, trên không trung tạo thành một tràng xinh đẹp chết diễm hỏa.

