". . . . . Hiện tại bắt đầu vì ngài thông báo quốc tế tin tức."

	"Thủ tướng Nga Putin chính thức tuyên bố tham dự lần tiếp theo tổng thống tranh cử."
	"Ngươi là biết Phương Lâm trở về đi tìm hắn a?"

	Hồ Giai cuốn ba tất lưỡi mà nói:

	"Không có ah, thật sự là tự học."

	Lão Hồ nhíu mày nói:

	"Ta lần trước nói với ngươi chuyện kia thế nào? Chúng ta đơn vị tiểu Trịnh người không sai, trong nhà cũng rất tốt, lần trước cùng một chỗ ăn cơm xong. . . ."

	"Biết biết." Hồ Giai không nhịn được nói, trực tiếp cầm đẹp đẽ tiểu túi xách đi ra cửa.

	Lão Hồ lắc đầu than thở, hắn sức lực lại lớn, ném kỹ năng lại tinh xảo, chẳng lẽ có thể đem con gái yêu bắt lại một cái Thiên Địa Phản dạy bảo? Cũng sinh ra cảm giác bất lực. Đại thán con gái lớn không dùng được.

	. . . . .

	Lúc này Phương Lâm như cũ tại ngủ say như chết.

	Tại Tokyo trợ giúp Lâm Ngâm Tụ tìm được Fugudoku bí ẩn về sau, Lâm đại mỹ nữ phân tách đưa ra thị trường độc hoàn kế hoạch hắn cũng nhúng tay trong đó, Phương Lâm mặc dù đối thương chiến kiến thức nửa vời, nhưng mà Lâm Ngâm Tụ khôn khéo cộng thêm hắn bố cục mưu đồ, năng lực phân tích. Hai người lại là hợp tác thân mật vô gian, dễ dàng mà chĩa xuống đất liền cho đối phương lên một cái đại bộ.

	Càng thêm vô sỉ là, Phương Lâm còn dùng cường lực Ma Mị thuật khống chế một tên khác Simon công ty con tại es tập đoàn bên trong quan trọng quân cờ, tại thời điểm mấu chốt nhất bảo hắn phát ra sai lầm trí mạng tin tức tới lừa dối đối phương! Cái này trí mạng một đòn không chỉ có làm cho phía sau hắc thủ Simon công ty con tự nuốt quả đắng. Cũng làm cho Lâm Ngâm Tụ thuận lợi chiếm cứ tràng này thương chiến thắng lợi.

	Cái này thương chiến nói đến bình thản, nhưng mà khẩn trương kích thích chỗ không chút nào kém cỏi hơn Sinh Tử đánh cược một lần chiến trường, Phương Lâm tâm tư kín đáo, thường thường bất luận cái gì khả năng đều muốn suy diễn một phen, đồng thời thiết kế ra hai ba cái phương án ứng đối, tương đương với lấy lực lượng một người, cùng Simon con bậc này uy tín lâu năm công ty mỗi tháng tiêu tốn mấy trăm vạn Euro thành lập cố vấn phân tích đoàn chống lại, như vậy tâm lực hao tổn cũng là dị thường khoảng cách. Tự nhiên là muốn ngủ say như chết.

	Hồ Giai chính là tại Phương Lâm trong phòng ngủ ra ra vào vào đã quen. Vào cửa liền nghe đến Phương Lâm chìm vào giấc ngủ tiếng ngáy nhỏ nhẹ, cũng liền không gọi tỉnh hắn. Thấy được béo phải cùng bóng da cũng giống như tiểu hắc trư Barbie cũng tại nó võng nhỏ bên trên cái bụng hướng lên trời, ngủ say như chết, ngây thơ chân thành bộ dáng, liền cầm tóc tới vẩy Barbie hướng thiên mũi heo khổng. Barbie theo ngủ say bên trong bị làm tỉnh, đánh hai nhảy mũi giận dữ, nhìn thấy Hồ Giai lại biết đây là không chọc nổi, chỉ có thể rất không vui phát ra lợn con hừ hừ thanh âm. Cầm tròn xoe cái mông đối với Hồ Giai.

	Hồ Giai ha ha cười khẽ. Đem Barbie ôm vào trong ngực cầm giấy vệ sinh giúp nó đem nước mũi lau sạch sẽ. Barbie heo mắt xoay một cái, cảm thấy dạng này dựa vào hai đoàn thịt mềm cũng không tệ. Thật thoải mái, cũng liền ngoan ngoãn nghe lời,

	Phương Lâm tỉnh lại thời điểm con mắt đều trợn tròn, Hồ Giai bình thường tại hắn nơi này chạy vào chạy ra, lúc này ở nơi này ngược lại cũng không kỳ quái, hắn mặc dù đáp ứng lão Hồ không đúng Hồ Giai có ý đồ xấu gì, nhưng mà lo liệu lại là không chủ động, không cự tuyệt nguyên tắc, nếu là đưa hàng tới cửa ngược lại là cũng ai đến cũng không có cự tuyệt, hắn buồn bực là thấy Barbie tựa vào Hồ Giai sung mãn ngực, đậu xanh lớn lợn con mắt sảng đến đều nhanh híp mắt thành một cái tuyến, heo đẩy ngoài miệng nước bọt đều muốn chảy xuống, ở trong lòng mắng to sắc heo. . . . . Không, sắc long.

	Lúc này Hồ Giai nhưng cũng cảm giác được Phương Lâm tỉnh lại, lập tức nhìn qua hắn đại sẵng giọng:

	"Ngươi chạy đến nơi nào đi? Trong trường học chỉ đích danh ngươi một tuần cũng không tới?"

	Phương Lâm lại là đã sớm nghĩ kỹ lấy cớ, mỉm cười nói:

	"Ta đi Nhật Bản."

	Hồ Giai hiển nhiên không tin, chống đỡ lấy muốn Phương Lâm nói thật, Phương Lâm bất đắc dĩ buông tay nói:

	"Thật ra thì ta là đi gặp bạn trên mạng đi. . . . . Mỹ nữ kia dáng người cao gầy, gợi cảm vô cùng, còn là công ty nữ tổng giám đốc, oa!"

	Hồ Giai làm sao biết Phương Lâm nói đều là nói thật, mày liễu dựng thẳng tức giận tới mức véo hắn, Phương Lâm nhưng lưu lại một chiêu, hắn tại Nhật Bản thời điểm chuyên mua một cái tương đối đáng yêu sony máy móc chó. Lúc này cười hì hì đem ra, Hồ Giai lập tức ngạc nhiên vô cùng, nàng một cái tiểu nữ hài con nơi nào có cái gì tâm cơ, lập tức liền không truy vấn Phương Lâm chạy đi đâu.

	Phương Lâm mỉm cười nhìn cái này toàn thân trên dưới đều tràn đầy tươi mát khí tức nữ hài tử, trong lúc nhất thời trước mắt lại hiện ra gợi cảm diễm lệ Lâm Ngâm Tụ. Không khỏi thất thần nhìn xem tay trái, lại nhìn xem tay phải, thở dài.

	Hồ Giai kéo cánh tay của hắn "Phốc" một tiếng bật cười:

	"Ngươi cái này ngốc tử, tay trái tay phải đều không phân rõ ư?"

	Phương Lâm cánh tay bị cái kia mềm mại mà đầy co dãn đầy đủ đụng phải, thấy nàng cười nói tự nhiên bộ dáng, trong lúc nhất thời trong lòng một cỗ tà hỏa bay lên, rất muốn đem thanh thuần Hồ Giai nhân dịp đẩy ngã, nhưng là sự tình này một khi làm. Hồ Giai chưa chắc sẽ buồn bực, thế nhưng là lão Hồ như biết, cái kia cũng tuyệt đối không tốt lấp liếm cho qua, bởi vậy chỉ có thể thở dài, mượn cơ hội ăn ăn đậu hũ qua qua tay nghiện, chính xác đỉnh thương lên ngựa là nhất định không dám.

	. . . .

	Rất nhanh, lần nữa đi vào không gian đã đến giờ. Ba người gặp mặt trước đó Phương Lâm đã cùng lão Hồ thông qua khí, nói mình đã trợ giúp hắn mua được một bản tương đối thích hợp hắn kỹ năng đấu vật có thể rơi bổ nhào thuật. Lão Hồ nhận lấy về sau nhìn kỹ. Rất tán thành, lập tức học tập. Hơn nữa cái này Phác Suất thuật chính là Cấp D kỹ năng, ở phía trước level10 trước đó đều không cần độ thuần thục, có điểm tiềm năng cùng điểm tích lũy liền có thể trực tiếp thăng cấp, một hơi đi học đếnlevel10.

	Phác Suất thuật level10 hiệu quả: Kỹ năng đấu vật. Cúi người bắt lấy kẻ địch hai chân, sau đó về phía sau nhảy lên, lăng không đem địch nhân quẳng xuống mặt đất. Tạo thành hai bên lực lượng kém x8. 5 tổn thương. Kỹ năng đấu vật phán định điểm sửa đổi +20.

	Phác Suất thuật level4 kèm theo hiệu quả, có 50% tỷ lệ dùng kẻ địch tại bị trúng sau xuất hiện tốc độ di chuyển hạ thấp 20% hiệu quả. Duy trì liên tục 5 giây.

	Phác Suất thuật level7 kèm theo hiệu quả. Có 100% tỷ lệ dùng kẻ địch tại bị trúng sau xuất hiện tốc độ di chuyển hạ thấp 30% hiệu quả. Duy trì liên tục 10 giây.

	Phác Suất thuật level10 kèm theo hiệu quả. Phác Suất thuật phát động điều kiện yêu cầu hạ thấp . Khiến cho ngươi không cần bắt lấy kẻ địch hai chân cũng có thể thi triển Phác Suất thuật.

	Cấp D kỹ năng yếu thế như vậy có thể thấy được chút ít, chẳng qua lão Hồ bản thân lực sát thương vô cùng nó cường hãn, mục đích chỉ là muốn nhờ Phác Suất thuật tới phát động bản thân hấp thụ đối phương lực lượng biến thái năng lực. Cái này thời gian ngắn làm lạnh kỹ năng đấu vật có thể chính hợp hắn ý. Hiện nay tinh thần lực của hắn đã đạt 40 điểm. Chính là tự mình đối địch, đều có thể trực tiếp hoàn thành Phác Suất thuật + Địa Lôi Chấn + Khô Héo Đại Địa. Thiên Địa Phản + Phác Suất thuật + Lam Chi Sơn liên kỹ. Như kẻ địch sức chống cự yếu lời nói, trực tiếp liền giảm bớt 40 điểm lực lượng, bản thân thì + 40 điểm lực lượng, bậc này cứ kéo dài tình huống như thế, là vô cùng đáng sợ!

	Làm tốt những này về sau. Phương Lâm tranh thủ đi xem nhìn Phó bỉ ổi, lập tức giật mình vô cùng, chỉ thấy cái thằng này gian phòng đều đổi cái bộ dáng, xử lý sạch sẽ sạch sẽ, sáng sủa sạch sẽ bộ dáng, Phó bỉ ổi y nguyên còn có mấy phần lôi thôi keo kiệt bộ dáng, nhưng mà tốt xấu trên người cũng biết vây lên một cái trắng tạp dề, thoạt nhìn ngăn nắp không ít.

	Mỹ Mỹ ghim cái rơi búi tóc. Đang tại lo liệu việc nhà. Ăn mặc mười phần mộc mạc, thấy Phương Lâm đến rồi khoét hắn một cái. Vẻ mặt đen đến dường như Phương Lâm thiếu nàng mấy trăm vạn không trả, đem khăn lau ném đi, đụng một tiếng về gian trong đi đóng cửa lại. Hiển nhiên là Phương Lâm cái này xui khiến người sự việc đã bại lộ, Phương Lâm ngạc nhiên, tức giận giơ ngón giữa, thầm nghĩ trong lòng ngươi tính khí lại trách ban đêm còn không phải phải bồi lão tử người hầu đi ngủ muốn ngươi bày cái gì dáng vẻ liền bày cái gì dáng vẻ ngưu b cái gì.

	Ngược lại là Phó bỉ ổi mặt mày hớn hở thấy chủ nhân hấp tấp bưng trà đưa nước, nhìn hắn sinh hoạt đến như vậy thoải mái, hiển nhiên là Lytta Vesicatoria dược tính kì diệu. Tam quốc thời điểm đối với nữ nhân trinh tiết nhìn ra rất nhạt, chẳng hạn như Thái Văn Cơ bị đưa đi dân tộc Hung nô bị xxoo lại ooxx, sinh ra hai cái con lai về sau quay về Trung Nguyên cũng không có người kỳ thị nàng. Phó bỉ ổi đối từng là Trương Liêu cơ thiếp Mỹ Mỹ cũng là rất hợp ý, tâm tình khoái trá phía dưới, Đạo gia luyện kim thuật cũng lên tới level3.

	Phương Lâm ở hắn nơi đó cầm mười bình mới luyện chế đi ra không ổn định dược tề, tiện thể đem lần trước trong thế giới thu hoạch được Cam Hưng Bá chi hộ oản, huyễn hóa giới chỉ giao cho Lâm đại mỹ nữ cùng lão Hồ đi giám định. Bản thân thì dựa theo Lôi giả lưu lại phương thức liên lạc bắt đầu liên lạc.

	Chẳng qua Lôi giả không hề tại trong không gian, thay thế hắn tới là số 56, cái này thoạt nhìn mười phần vặn vẹo dị dạng quái nhân đối Phương Lâm giọng khàn khàn nói:

	"Đại nhân nói, muốn biết được chữa trị vũ khí phương pháp, 5 vạn điểm tích lũy, cộng thêm không ổn định khôi phục dược tề 50 bình."

	Phương Lâm thản nhiên nói:

	"Nha."

	Trực tiếp giao dịch điểm tích lũy cùng dược tề đi qua liền muốn rút quẻ đặt trước khế ước, số 56 trên mặt trước lộ ra ý mừng, nhưng mà chợt lạnh lùng cả giận nói:

	"5 vạn điểm tích lũy, 50 bình dược tề. Không phải 5000 điểm tích lũy, 5 bình dược tề!"

	Phương Lâm quay đầu rời đi nói:

	"Ngươi đem tin tức này bán cho người khác đi, ta từ bỏ. Ta cũng tự có liên lạc tình báo con buôn phương thức, bọn họ ra giá nhưng thấp nhiều lắm."

	Số 56 mặt cơ co giật, bởi vì cái gọi là hàng bán biết gia, cái này chữa trị vũ khí tin tức nói trân quý cũng rất là trân quý, nói không đáng một đồng cũng nói được thông, nếu là Phương Lâm thật không có đem cái kia thanh súng lục để ở trong lòng, mọi người nhất phách lưỡng tán, bọn họ thật đúng là tìm không thấy người còn lại tới mua.

	"1 vạn điểm tích lũy, 10 bình dược tề."

	Phương Lâm trực tiếp xoay người lại, giao dịch 6000 điểm tích lũy 10 bình dược tề đi qua, vô lại nói:

	"Ta chỉ có nhiều như vậy."

	Số 56 hung tợn nhìn hắn chằm chằm, trong mắt dường như muốn phun ra lửa, cuối cùng vẫn là cân nhắc một chút, cảm thấy xem như cơ bản hoàn thành Lôi giả yêu cầu. Hít sâu một hơi nói:

	"Coi như ngươi số đỏ."

	Ký kết khế ước, cam đoan giao dịch công chứng tính về sau, số 56 thản nhiên nói:

	"Vũ khí của ngươi chính là màu bạc kịch bản vũ khí, lại là súng. Duy nhất có thể chữa trị nó đồng thời bảo uy lực của nó tiến thêm một bước thế giới là. . . Súng phổ biến nhất thế giới, cơ giới hoá triệt để nhất thế giới, cái kia chính là. . ."

P/S : Hết quyển nghỉ 1 2 hôm :((". . . . . Hiện tại bắt đầu vì ngài thông báo quốc tế tin tức."

	"Thủ tướng Nga Putin chính thức tuyên bố tham dự lần tiếp theo tổng thống tranh cử."

	"Nước ta cầu thủ Yao Ming tại NBA tổng quyết tái trận thứ bảy bên trong, 25 ném 18 trúng, phạt bóng 20 phạt 20 trúng, lấy được 5 6 điểm, 24 Rebound, 11 lần cover, 10 lần trợ công khống chế cấp bốn song số liệu, ngoài ra còn có 2 lần cắt bóng, phá vỡ NBA phủ bụi nhiều năm ghi chép, thành công được tuyển tổng quyết tái mvp, đồng thời trợ giúp Houston đội Rockets lấy 121: 118 thuận lợi đánh bại vệ miện Celtic đội, thu hoạch được đội bóng trong lịch sử cái thứ ba tổng quán quân. Tracy McGrady bởi vì eo thương không thể ra sân."

	"Nước Đức Simon công ty con phát biểu tuyên bố, tuyên bố đã khống chế e. s tập đoàn 37. 4% cổ phiếu, cộng thêm trước đó cổ phiếu số lượng, trở thành đệ nhất đại cổ đông, đã thuận lợi nhập chủ e. s tập đoàn. Phân tích gia cho rằng, Simon công ty con cưỡng ép thu mua sách lược tiến hành đến không hề thuận lợi, rất có thể trước đó thu mua tiếng gió đã bị tiết lộ, e. s tập đoàn rất có thể chỉ là một cái xác không. Thu mua tin tức truyền ra về sau, Dow Jones chỉ số rút nhanh chóng, chỉ số Nikkey, Hang Seng chỉ số chịu hắn ảnh hưởng, cũng phân biệt có khác biệt mức độ bên dưới áp chế."

	Lão Hồ uể oải nằm trên ghế sa lon xỉa răng răng nhìn xem bản tin thời sự, giống như là một đầu ăn no rồi mãnh hổ an nhàn tại cửa động phơi nắng.

	"Hả? Tổng quán quân? Bốn song, đó là cái gì? e. s tập đoàn dường như có chút quen tai đây. Giai Giai, Giai Giai! Tới đem bát dọn."

	Hồ Giai đang tại khuê phòng của mình bên trong cẩn thận trang điểm ăn mặc đây, nghe tiếng nhanh chóng chạy ra là thu bát rửa sạch, tại cao cổ khăn quàng cùng giữ mình quần jean phụ trợ bên dưới, nữ hài tử khí tức thanh xuân bức người mà tới. Lão Hồ nhìn xem dần dần trưởng thành nữ nhi, trong lòng tràn đầy vui mừng, đột nhiên dâng lên một cái ý niệm trong đầu:

	"Nếu là Nhàn Văn tại, nhìn thấy nữ nhi trổ mã đến như thế xinh đẹp cái kia hẳn là thật tốt ah."

	Nhàn Văn chính là hắn vong thê tên. Lão Hồ đang nhớ lại bên trong thời điểm, thời gian trôi qua rất nhanh, Hồ Giai rất nhanh liền đem việc nhà làm xong, nhảy nhảy nhót nhót về đến phòng lần nữa ăn mặc về sau, nhìn một chút ngồi ở trên ghế sa lon lão ba, liền rón rén ý định chuồn đi, ai biết vừa mới mở cửa, lão Hồ liền đen đáy nồi đồng dạng mặt nói:

	"Đi đâu đi?"

	Hồ Giai tại cửa ra vào ngây người. Mắt to đi lòng vòng nói:

	"Ta. . . Ta đi trường học tự học."

	Lão Hồ vẻ mặt càng thêm khó coi:

	"Ngươi là biết Phương Lâm trở về đi tìm hắn a?"

	Hồ Giai cuốn ba tất lưỡi mà nói:

	"Không có ah, thật sự là tự học."

	Lão Hồ nhíu mày nói:

	"Ta lần trước nói với ngươi chuyện kia thế nào? Chúng ta đơn vị tiểu Trịnh người không sai, trong nhà cũng rất tốt, lần trước cùng một chỗ ăn cơm xong. . . ."

	"Biết biết." Hồ Giai không nhịn được nói, trực tiếp cầm đẹp đẽ tiểu túi xách đi ra cửa.

	Lão Hồ lắc đầu than thở, hắn sức lực lại lớn, ném kỹ năng lại tinh xảo, chẳng lẽ có thể đem con gái yêu bắt lại một cái Thiên Địa Phản dạy bảo? Cũng sinh ra cảm giác bất lực. Đại thán con gái lớn không dùng được.

	. . . . .

	Lúc này Phương Lâm như cũ tại ngủ say như chết.

	Tại Tokyo trợ giúp Lâm Ngâm Tụ tìm được Fugudoku bí ẩn về sau, Lâm đại mỹ nữ phân tách đưa ra thị trường độc hoàn kế hoạch hắn cũng nhúng tay trong đó, Phương Lâm mặc dù đối thương chiến kiến thức nửa vời, nhưng mà Lâm Ngâm Tụ khôn khéo cộng thêm hắn bố cục mưu đồ, năng lực phân tích. Hai người lại là hợp tác thân mật vô gian, dễ dàng mà chĩa xuống đất liền cho đối phương lên một cái đại bộ.

	Càng thêm vô sỉ là, Phương Lâm còn dùng cường lực Ma Mị thuật khống chế một tên khác Simon công ty con tại es tập đoàn bên trong quan trọng quân cờ, tại thời điểm mấu chốt nhất bảo hắn phát ra sai lầm trí mạng tin tức tới lừa dối đối phương! Cái này trí mạng một đòn không chỉ có làm cho phía sau hắc thủ Simon công ty con tự nuốt quả đắng. Cũng làm cho Lâm Ngâm Tụ thuận lợi chiếm cứ tràng này thương chiến thắng lợi.

	Cái này thương chiến nói đến bình thản, nhưng mà khẩn trương kích thích chỗ không chút nào kém cỏi hơn Sinh Tử đánh cược một lần chiến trường, Phương Lâm tâm tư kín đáo, thường thường bất luận cái gì khả năng đều muốn suy diễn một phen, đồng thời thiết kế ra hai ba cái phương án ứng đối, tương đương với lấy lực lượng một người, cùng Simon con bậc này uy tín lâu năm công ty mỗi tháng tiêu tốn mấy trăm vạn Euro thành lập cố vấn phân tích đoàn chống lại, như vậy tâm lực hao tổn cũng là dị thường khoảng cách. Tự nhiên là muốn ngủ say như chết.

	Hồ Giai chính là tại Phương Lâm trong phòng ngủ ra ra vào vào đã quen. Vào cửa liền nghe đến Phương Lâm chìm vào giấc ngủ tiếng ngáy nhỏ nhẹ, cũng liền không gọi tỉnh hắn. Thấy được béo phải cùng bóng da cũng giống như tiểu hắc trư Barbie cũng tại nó võng nhỏ bên trên cái bụng hướng lên trời, ngủ say như chết, ngây thơ chân thành bộ dáng, liền cầm tóc tới vẩy Barbie hướng thiên mũi heo khổng. Barbie theo ngủ say bên trong bị làm tỉnh, đánh hai nhảy mũi giận dữ, nhìn thấy Hồ Giai lại biết đây là không chọc nổi, chỉ có thể rất không vui phát ra lợn con hừ hừ thanh âm. Cầm tròn xoe cái mông đối với Hồ Giai.

	Hồ Giai ha ha cười khẽ. Đem Barbie ôm vào trong ngực cầm giấy vệ sinh giúp nó đem nước mũi lau sạch sẽ. Barbie heo mắt xoay một cái, cảm thấy dạng này dựa vào hai đoàn thịt mềm cũng không tệ. Thật thoải mái, cũng liền ngoan ngoãn nghe lời,

	Phương Lâm tỉnh lại thời điểm con mắt đều trợn tròn, Hồ Giai bình thường tại hắn nơi này chạy vào chạy ra, lúc này ở nơi này ngược lại cũng không kỳ quái, hắn mặc dù đáp ứng lão Hồ không đúng Hồ Giai có ý đồ xấu gì, nhưng mà lo liệu lại là không chủ động, không cự tuyệt nguyên tắc, nếu là đưa hàng tới cửa ngược lại là cũng ai đến cũng không có cự tuyệt, hắn buồn bực là thấy Barbie tựa vào Hồ Giai sung mãn ngực, đậu xanh lớn lợn con mắt sảng đến đều nhanh híp mắt thành một cái tuyến, heo đẩy ngoài miệng nước bọt đều muốn chảy xuống, ở trong lòng mắng to sắc heo. . . . . Không, sắc long.

	Lúc này Hồ Giai nhưng cũng cảm giác được Phương Lâm tỉnh lại, lập tức nhìn qua hắn đại sẵng giọng:

	"Ngươi chạy đến nơi nào đi? Trong trường học chỉ đích danh ngươi một tuần cũng không tới?"

	Phương Lâm lại là đã sớm nghĩ kỹ lấy cớ, mỉm cười nói:

	"Ta đi Nhật Bản."

	Hồ Giai hiển nhiên không tin, chống đỡ lấy muốn Phương Lâm nói thật, Phương Lâm bất đắc dĩ buông tay nói:

	"Thật ra thì ta là đi gặp bạn trên mạng đi. . . . . Mỹ nữ kia dáng người cao gầy, gợi cảm vô cùng, còn là công ty nữ tổng giám đốc, oa!"

	Hồ Giai làm sao biết Phương Lâm nói đều là nói thật, mày liễu dựng thẳng tức giận tới mức véo hắn, Phương Lâm nhưng lưu lại một chiêu, hắn tại Nhật Bản thời điểm chuyên mua một cái tương đối đáng yêu sony máy móc chó. Lúc này cười hì hì đem ra, Hồ Giai lập tức ngạc nhiên vô cùng, nàng một cái tiểu nữ hài con nơi nào có cái gì tâm cơ, lập tức liền không truy vấn Phương Lâm chạy đi đâu.

	Phương Lâm mỉm cười nhìn cái này toàn thân trên dưới đều tràn đầy tươi mát khí tức nữ hài tử, trong lúc nhất thời trước mắt lại hiện ra gợi cảm diễm lệ Lâm Ngâm Tụ. Không khỏi thất thần nhìn xem tay trái, lại nhìn xem tay phải, thở dài.

	Hồ Giai kéo cánh tay của hắn "Phốc" một tiếng bật cười:

	"Ngươi cái này ngốc tử, tay trái tay phải đều không phân rõ ư?"

	Phương Lâm cánh tay bị cái kia mềm mại mà đầy co dãn đầy đủ đụng phải, thấy nàng cười nói tự nhiên bộ dáng, trong lúc nhất thời trong lòng một cỗ tà hỏa bay lên, rất muốn đem thanh thuần Hồ Giai nhân dịp đẩy ngã, nhưng là sự tình này một khi làm. Hồ Giai chưa chắc sẽ buồn bực, thế nhưng là lão Hồ như biết, cái kia cũng tuyệt đối không tốt lấp liếm cho qua, bởi vậy chỉ có thể thở dài, mượn cơ hội ăn ăn đậu hũ qua qua tay nghiện, chính xác đỉnh thương lên ngựa là nhất định không dám.

	. . . .

	Rất nhanh, lần nữa đi vào không gian đã đến giờ. Ba người gặp mặt trước đó Phương Lâm đã cùng lão Hồ thông qua khí, nói mình đã trợ giúp hắn mua được một bản tương đối thích hợp hắn kỹ năng đấu vật có thể rơi bổ nhào thuật. Lão Hồ nhận lấy về sau nhìn kỹ. Rất tán thành, lập tức học tập. Hơn nữa cái này Phác Suất thuật chính là Cấp D kỹ năng, ở phía trước level10 trước đó đều không cần độ thuần thục, có điểm tiềm năng cùng điểm tích lũy liền có thể trực tiếp thăng cấp, một hơi đi học đếnlevel10.

	Phác Suất thuật level10 hiệu quả: Kỹ năng đấu vật. Cúi người bắt lấy kẻ địch hai chân, sau đó về phía sau nhảy lên, lăng không đem địch nhân quẳng xuống mặt đất. Tạo thành hai bên lực lượng kém x8. 5 tổn thương. Kỹ năng đấu vật phán định điểm sửa đổi +20.

	Phác Suất thuật level4 kèm theo hiệu quả, có 50% tỷ lệ dùng kẻ địch tại bị trúng sau xuất hiện tốc độ di chuyển hạ thấp 20% hiệu quả. Duy trì liên tục 5 giây.

	Phác Suất thuật level7 kèm theo hiệu quả. Có 100% tỷ lệ dùng kẻ địch tại bị trúng sau xuất hiện tốc độ di chuyển hạ thấp 30% hiệu quả. Duy trì liên tục 10 giây.

	Phác Suất thuật level10 kèm theo hiệu quả. Phác Suất thuật phát động điều kiện yêu cầu hạ thấp . Khiến cho ngươi không cần bắt lấy kẻ địch hai chân cũng có thể thi triển Phác Suất thuật.

	Cấp D kỹ năng yếu thế như vậy có thể thấy được chút ít, chẳng qua lão Hồ bản thân lực sát thương vô cùng nó cường hãn, mục đích chỉ là muốn nhờ Phác Suất thuật tới phát động bản thân hấp thụ đối phương lực lượng biến thái năng lực. Cái này thời gian ngắn làm lạnh kỹ năng đấu vật có thể chính hợp hắn ý. Hiện nay tinh thần lực của hắn đã đạt 40 điểm. Chính là tự mình đối địch, đều có thể trực tiếp hoàn thành Phác Suất thuật + Địa Lôi Chấn + Khô Héo Đại Địa. Thiên Địa Phản + Phác Suất thuật + Lam Chi Sơn liên kỹ. Như kẻ địch sức chống cự yếu lời nói, trực tiếp liền giảm bớt 40 điểm lực lượng, bản thân thì + 40 điểm lực lượng, bậc này cứ kéo dài tình huống như thế, là vô cùng đáng sợ!

