Chương 204: Giường lò nổi tiếng 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Lý Thế Dân ngồi ở trên giường đất lắc chân, hết sức thích ý.
	Mặc dù ngự thư phòng đã bắt đầu dùng các-bon lò, có thể Lý Uyên vẫn là cảm thấy lạnh, phê duyệt tấu chương không mấy cái, thì phải nắm tay đặt ở lửa than lên nướng nướng mới được.

	Mà đang ở hắn bận rộn như vậy trước lúc này một người thái giám gấp vội vã chạy tới: "Thánh thượng, Tần Vương điện hạ và Tần Thiên mang mấy cái thợ vào cung."

	"Thợ?" Lý Uyên có chút kỳ quái, êm đẹp, Lý Thế Dân và Tần Thiên mang thợ vào cung làm gì?

	"Để cho bọn họ đi vào."

	Không lâu lắm, Tần Thiên và Lý Thế Dân bọn họ vào ngự thư phòng, Lý Uyên nhìn bọn họ hai người một cái, ngưng chân mày hỏi: "2 người các ngươi muốn làm gì ?"

	Lý Thế Dân nói: "Phụ hoàng, ngày đông tới, Tần Thiên phát minh một loại giường lò, thiêu cháy thật ấm áp, cùng mùa xuân tựa như."

	"Giường lò?" Lý Uyên có chút kỳ quái, Lý Thế Dân bên này liền lại vội vàng đem giường lò cho giải thích cặn kẽ một chút, Tần Thiên đứng ở bên cạnh, không biết nói gì.

	Cùng Lý Uyên rốt cuộc rõ ràng, Lý Thế Dân mới nói: "Nhi thần suy nghĩ, phụ hoàng phê duyệt tấu chương, khẳng định rất lạnh, cho nên liền đem Tần Thiên kêu tới, cho ngài đánh giường lò, như vậy ngài ngồi ở trên giường đất, vậy ấm áp phải không ?"

	Lý Uyên vui cười mi khai: "Vẫn là Thế Dân sâu được trẫm lòng, còn lo lắng cái gì, nhanh, để cho trẫm xem xem có phải hay không giống như ngươi nói ấm áp như vậy."

	"Tuyệt đối ấm áp." Lý Thế Dân tiếp một câu, sau đó nhìn một cái Tần Thiên: "Ngươi còn lo lắng cái gì, nhanh lên đi làm giường lò à."

	Lúc này, bọn họ hai người mới đều nhìn về Tần Thiên, Tần Thiên muốn mắng mẹ, lời khen cũng để cho Lý Thế Dân nói, cuối cùng làm việc vẫn là hắn.

	"Này!"

	Giường lò Tần Thiên và hắn những người đó đều đã làm rất nhuần nhuyễn, cho nên dùng một giờ thời gian, bọn họ liền làm xong.

	Cùng giường lò tốt liền sau đó, Tần Thiên sai người ở bên ngoài đốt lửa, rất nhanh, bên trong ngự thư phòng liền dần dần ấm đứng lên.

	Lý Uyên ban đầu còn không có cảm thấy có cái gì, có thể theo nhiệt độ càng ngày càng cao, hắn liền không nhịn được đem áo khoác cho cởi.

	Không có khoan hậu áo choàng dài thoải mái, cả người cũng cảm thấy buông lỏng rất nhiều.

	"Hay, thật sự là hay à, cái này giường lò thật là đồ tốt, có thể đem bên trong nhà đổi ấm áp, ngủ phía trên còn không nóng người , tốt, được a. . ." Lý Uyên khen không dứt, đối với Tần Thiên cũng là càng tin chìu đứng lên, từ có Tần Thiên, cái này đông hạ hai cái khó chịu đựng nhất mùa, lập tức không được việc à.

	Ngày đông có giường lò, mùa hè lại phòng tự mưa, thoải mái, thoải mái à.

	"Tốt , được. . ." Lý Uyên một mực vừa nói tốt, Tần Thiên ở bên cạnh suy nghĩ, nếu tốt như vậy, thế nào vậy được ban thưởng chút gì chứ ?

	Có thể cùng bọn họ rời đi hoàng cung, Lý Uyên cũng không có nói muốn ban thưởng điểm hắn cái gì.

	Cái này làm cho Tần Thiên có một loại làm không công cảm giác, thua thiệt lớn.

	"Vương gia à, Thánh thượng có phải hay không thiếu cho ít đồ?" Đi Tần vương phủ lúc này Tần Thiên thử hỏi dò liền một câu.

	Lý Thế Dân nói: "Phụ hoàng thật giống như căn bản là không có cho đồ."

	Nói tới chỗ này lúc này Lý Thế Dân nhất thời bừng tỉnh, hắn nhìn một cái Tần Thiên, bĩu môi: "Thằng nhóc ngươi muốn cái gì à?"

	"Ta cũng không muốn cái gì, mấy cái này thợ đi theo bận rộn hơn nửa ngày, thế nào vậy được cho bọn họ điểm ban thưởng đi." Tần Thiên cười nói.

	Lý Thế Dân trợn mắt nhìn hắn một cái, nói: "Đem ta trong phủ giường lò làm xong, mỗi người thưởng năm xâu tiền, cái này được chưa?"

	Năm xâu tiền không thiếu, đối với những thứ này thợ mà nói, đơn giản là vượt qua vượt qua lời.

	Những cái kia thợ sau khi nghe mừng rỡ không thôi, Tần Thiên nơi này, mới rốt cục cảm thấy thư thái một ít.

	"Đa tạ vương gia."

	Lý Thế Dân khoát khoát tay, hắn đột nhiên cảm thấy cùng Tần Thiên cộng sự không được, tên nầy ăn không ngon thua thiệt, nếu không phải mình hào phóng, cần phải cùng hắn cãi vả không thể.

	Đi tới Tần vương phủ sau đó, những cái kia thợ lập tức liền động thủ đứng lên, bởi vì là có năm xâu tiền chỗ tốt, cho nên cũng làm rất xách sức lực, bất quá coi như như vậy, cùng bọn họ đem Tần vương phủ giường lò làm xong lúc này sắc trời đã là không còn sớm, trên đường đã bắt đầu giới nghiêm, một đội lại một đội cấm quân thị vệ ở trên đường tuần tra, xua đuổi những cái kia còn chưa về nhà người.

	Kinh triệu phủ.

	Túi bất đồng cuối cùng đem chuyện hôm nay cho giúp xong, ở phủ nha quan viên chuẩn bị trước khi rời đi, hắn đột nhiên hỏi: "Tần Thiên ngày hôm nay không có tới?"

	"Bẩm đại nhân, không có tới."

	Vừa nghe cái này, túi bất đồng nhất thời ngưng nổi lên chân mày, sắc mặt cũng trở nên phẫn nộ: "Đáng ghét, hắn lấy là mình phá một vụ án, liền rất giỏi rồi? Cũng không cần Quản phủ nha những chuyện khác? Ngày mai hắn sau khi đến, để cho hắn đến tìm bản quan."

	Túi bất đồng giận đùng đùng đi, vốn là gặp Tần Thiên còn có chút bản lãnh, cho nên chuyện trước kia cũng chỉ không nhắc chuyện cũ, chưa từng nghĩ Tần Thiên được voi đòi tiên, cả ngày hôm nay đều không tới phủ nha.

	Phải nói hắn buổi sáng ngủ nghỉ ngơi, hắn cũng sẽ không nói cái gì, có thể buổi chiều đâu, hắn cũng không thể ngủ một ngày chứ ?

	Một đám phủ nha quan viên lẫn nhau nhìn quanh, tiếp người người lắc đầu than nhẹ.

	"Cái này tần biệt giá, sao cũng không để cho người đỡ lo đây. . ."Chương 204: Giường lò nổi tiếng 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Lý Thế Dân ngồi ở trên giường đất lắc chân, hết sức thích ý.

	"Nghe nói ngươi thành thần dò xét?" Lý Thế Dân đột nhiên hỏi một câu, Tần Thiên sững sốt một chút: "Cái gì thần thám?"

	"Tối ngày hôm qua ngươi không phải phá vụ án mà, bây giờ thành Trường An cũng truyền ra, nói ngươi là thần thám."

	Tần Thiên kinh ngạc, không qua một cái vụ án nhỏ mà thôi, làm sao mình là được thần thám?

	Bất quá đây đối với hắn mà nói thật giống như vậy cũng không tệ lắm.

	"Bất quá là tận trung cương vị mà thôi."

	Lý Thế Dân gật đầu một cái: " Được a, như Đại Đường quan viên đều giống như ngươi như vậy thì tốt."

	Vừa nói, Lý Thế Dân đột nhiên lại nhớ ra cái gì đó, vì vậy liền vội vàng hỏi: "Đúng rồi, nghe bọn họ nói ngươi vốn là phải dùng tích cốt nhận thân, loại này biện pháp thật có thể nghiệm ra máu mạch quan hệ sao?"

	Tần Thiên gật đầu: "Tự nhiên là có thể, nếu như là có liên hệ máu mủ, giọt máu đến xương lên thì sẽ xông vào đi, nếu như không có liên hệ máu mủ, cũng sẽ không."

	Lý Thế Dân nghe, càng phát ra tò mò: "Ngươi làm sao biết?"

	Tần Thiên chấn động một cái, hồ đồ nói không tốt, một cái người biết quá nhiều, cũng là sẽ bị người hoài nghi à, đặc biệt là giống như mình loại này trước kia là cái nông dân.

	"Ngẫu nhiên được một bản kỳ thư, cho nên đối với phá án nghiệm thi, ít nhiều có một chút con đường."

	"Sách gì?"

	Lý Thế Dân tiếp tục truy hỏi, Tần Thiên nhưng là liền kêu liền đắng, không mang theo như vậy à.

	"《 rửa oan tập ghi 》 "

	"Có thể hay không cho bổn vương vừa thấy?"

	"Cái này. . . Dọn nhà thời điểm không biết ném đến nơi đó, vương gia muốn, đợi thuộc hạ tìm một chút, ngày khác đưa cho ngài đi."

	Đáp án này Lý Thế Dân rất là hài lòng, nhờ vậy mới không có tiếp tục hỏi tiếp.

	Hắn ở bên trong phòng ngồi như vậy, càng phát ra cảm thấy thoải mái, cho tới đều có điểm không muốn rời đi, có thể không rời đi lại không được, dứt khoát lúc thức dậy, bắt lại Tần Thiên liền đi ra ngoài.

	"Kêu ngươi thợ, chúng ta vào cung."

	Tần Thiên ngạc nhiên.

	"Vương gia, không cần gấp như vậy đi, ta cái này mới vừa dậy, cơm còn mỗi lần đây."

	"Vào cung ăn nữa."

	Tần Thiên không biết làm sao, chỉ có thể vội vàng để cho Phúc bá đem trong phủ biết làm giường lò mấy cái người làm kêu tới, thuận tiện cho hắn cầm mấy cái bánh bao tới ăn, như vậy hơi đệm đi sau một chút, mới đi theo Lý Thế Dân vào cung.

	Hoàng cung, ngự thư phòng.

	Mặc dù ngự thư phòng đã bắt đầu dùng các-bon lò, có thể Lý Uyên vẫn là cảm thấy lạnh, phê duyệt tấu chương không mấy cái, thì phải nắm tay đặt ở lửa than lên nướng nướng mới được.

	Mà đang ở hắn bận rộn như vậy trước lúc này một người thái giám gấp vội vã chạy tới: "Thánh thượng, Tần Vương điện hạ và Tần Thiên mang mấy cái thợ vào cung."

	"Thợ?" Lý Uyên có chút kỳ quái, êm đẹp, Lý Thế Dân và Tần Thiên mang thợ vào cung làm gì?

	"Để cho bọn họ đi vào."

	Không lâu lắm, Tần Thiên và Lý Thế Dân bọn họ vào ngự thư phòng, Lý Uyên nhìn bọn họ hai người một cái, ngưng chân mày hỏi: "2 người các ngươi muốn làm gì ?"

	Lý Thế Dân nói: "Phụ hoàng, ngày đông tới, Tần Thiên phát minh một loại giường lò, thiêu cháy thật ấm áp, cùng mùa xuân tựa như."

	"Giường lò?" Lý Uyên có chút kỳ quái, Lý Thế Dân bên này liền lại vội vàng đem giường lò cho giải thích cặn kẽ một chút, Tần Thiên đứng ở bên cạnh, không biết nói gì.

	Cùng Lý Uyên rốt cuộc rõ ràng, Lý Thế Dân mới nói: "Nhi thần suy nghĩ, phụ hoàng phê duyệt tấu chương, khẳng định rất lạnh, cho nên liền đem Tần Thiên kêu tới, cho ngài đánh giường lò, như vậy ngài ngồi ở trên giường đất, vậy ấm áp phải không ?"

	Lý Uyên vui cười mi khai: "Vẫn là Thế Dân sâu được trẫm lòng, còn lo lắng cái gì, nhanh, để cho trẫm xem xem có phải hay không giống như ngươi nói ấm áp như vậy."

	"Tuyệt đối ấm áp." Lý Thế Dân tiếp một câu, sau đó nhìn một cái Tần Thiên: "Ngươi còn lo lắng cái gì, nhanh lên đi làm giường lò à."

	Lúc này, bọn họ hai người mới đều nhìn về Tần Thiên, Tần Thiên muốn mắng mẹ, lời khen cũng để cho Lý Thế Dân nói, cuối cùng làm việc vẫn là hắn.

	"Này!"

	Giường lò Tần Thiên và hắn những người đó đều đã làm rất nhuần nhuyễn, cho nên dùng một giờ thời gian, bọn họ liền làm xong.

	Cùng giường lò tốt liền sau đó, Tần Thiên sai người ở bên ngoài đốt lửa, rất nhanh, bên trong ngự thư phòng liền dần dần ấm đứng lên.

	Lý Uyên ban đầu còn không có cảm thấy có cái gì, có thể theo nhiệt độ càng ngày càng cao, hắn liền không nhịn được đem áo khoác cho cởi.

	Không có khoan hậu áo choàng dài thoải mái, cả người cũng cảm thấy buông lỏng rất nhiều.

	"Hay, thật sự là hay à, cái này giường lò thật là đồ tốt, có thể đem bên trong nhà đổi ấm áp, ngủ phía trên còn không nóng người , tốt, được a. . ." Lý Uyên khen không dứt, đối với Tần Thiên cũng là càng tin chìu đứng lên, từ có Tần Thiên, cái này đông hạ hai cái khó chịu đựng nhất mùa, lập tức không được việc à.

	Ngày đông có giường lò, mùa hè lại phòng tự mưa, thoải mái, thoải mái à.

	"Tốt , được. . ." Lý Uyên một mực vừa nói tốt, Tần Thiên ở bên cạnh suy nghĩ, nếu tốt như vậy, thế nào vậy được ban thưởng chút gì chứ ?

	Có thể cùng bọn họ rời đi hoàng cung, Lý Uyên cũng không có nói muốn ban thưởng điểm hắn cái gì.

	Cái này làm cho Tần Thiên có một loại làm không công cảm giác, thua thiệt lớn.

	"Vương gia à, Thánh thượng có phải hay không thiếu cho ít đồ?" Đi Tần vương phủ lúc này Tần Thiên thử hỏi dò liền một câu.

	Lý Thế Dân nói: "Phụ hoàng thật giống như căn bản là không có cho đồ."

	Nói tới chỗ này lúc này Lý Thế Dân nhất thời bừng tỉnh, hắn nhìn một cái Tần Thiên, bĩu môi: "Thằng nhóc ngươi muốn cái gì à?"

	"Ta cũng không muốn cái gì, mấy cái này thợ đi theo bận rộn hơn nửa ngày, thế nào vậy được cho bọn họ điểm ban thưởng đi." Tần Thiên cười nói.

	Lý Thế Dân trợn mắt nhìn hắn một cái, nói: "Đem ta trong phủ giường lò làm xong, mỗi người thưởng năm xâu tiền, cái này được chưa?"

	Năm xâu tiền không thiếu, đối với những thứ này thợ mà nói, đơn giản là vượt qua vượt qua lời.

	Những cái kia thợ sau khi nghe mừng rỡ không thôi, Tần Thiên nơi này, mới rốt cục cảm thấy thư thái một ít.

	"Đa tạ vương gia."

	Lý Thế Dân khoát khoát tay, hắn đột nhiên cảm thấy cùng Tần Thiên cộng sự không được, tên nầy ăn không ngon thua thiệt, nếu không phải mình hào phóng, cần phải cùng hắn cãi vả không thể.

	Đi tới Tần vương phủ sau đó, những cái kia thợ lập tức liền động thủ đứng lên, bởi vì là có năm xâu tiền chỗ tốt, cho nên cũng làm rất xách sức lực, bất quá coi như như vậy, cùng bọn họ đem Tần vương phủ giường lò làm xong lúc này sắc trời đã là không còn sớm, trên đường đã bắt đầu giới nghiêm, một đội lại một đội cấm quân thị vệ ở trên đường tuần tra, xua đuổi những cái kia còn chưa về nhà người.

	Kinh triệu phủ.

	Túi bất đồng cuối cùng đem chuyện hôm nay cho giúp xong, ở phủ nha quan viên chuẩn bị trước khi rời đi, hắn đột nhiên hỏi: "Tần Thiên ngày hôm nay không có tới?"

	"Bẩm đại nhân, không có tới."

	Vừa nghe cái này, túi bất đồng nhất thời ngưng nổi lên chân mày, sắc mặt cũng trở nên phẫn nộ: "Đáng ghét, hắn lấy là mình phá một vụ án, liền rất giỏi rồi? Cũng không cần Quản phủ nha những chuyện khác? Ngày mai hắn sau khi đến, để cho hắn đến tìm bản quan."

	Túi bất đồng giận đùng đùng đi, vốn là gặp Tần Thiên còn có chút bản lãnh, cho nên chuyện trước kia cũng chỉ không nhắc chuyện cũ, chưa từng nghĩ Tần Thiên được voi đòi tiên, cả ngày hôm nay đều không tới phủ nha.

	Phải nói hắn buổi sáng ngủ nghỉ ngơi, hắn cũng sẽ không nói cái gì, có thể buổi chiều đâu, hắn cũng không thể ngủ một ngày chứ ?

	Một đám phủ nha quan viên lẫn nhau nhìn quanh, tiếp người người lắc đầu than nhẹ.

	"Cái này tần biệt giá, sao cũng không để cho người đỡ lo đây. . ."Chương 204: Giường lò nổi tiếng 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Lý Thế Dân ngồi ở trên giường đất lắc chân, hết sức thích ý.

	"Nghe nói ngươi thành thần dò xét?" Lý Thế Dân đột nhiên hỏi một câu, Tần Thiên sững sốt một chút: "Cái gì thần thám?"

	"Tối ngày hôm qua ngươi không phải phá vụ án mà, bây giờ thành Trường An cũng truyền ra, nói ngươi là thần thám."

	Tần Thiên kinh ngạc, không qua một cái vụ án nhỏ mà thôi, làm sao mình là được thần thám?

	Bất quá đây đối với hắn mà nói thật giống như vậy cũng không tệ lắm.

	"Bất quá là tận trung cương vị mà thôi."

	Lý Thế Dân gật đầu một cái: " Được a, như Đại Đường quan viên đều giống như ngươi như vậy thì tốt."

	Vừa nói, Lý Thế Dân đột nhiên lại nhớ ra cái gì đó, vì vậy liền vội vàng hỏi: "Đúng rồi, nghe bọn họ nói ngươi vốn là phải dùng tích cốt nhận thân, loại này biện pháp thật có thể nghiệm ra máu mạch quan hệ sao?"

	Tần Thiên gật đầu: "Tự nhiên là có thể, nếu như là có liên hệ máu mủ, giọt máu đến xương lên thì sẽ xông vào đi, nếu như không có liên hệ máu mủ, cũng sẽ không."

	Lý Thế Dân nghe, càng phát ra tò mò: "Ngươi làm sao biết?"

	Tần Thiên chấn động một cái, hồ đồ nói không tốt, một cái người biết quá nhiều, cũng là sẽ bị người hoài nghi à, đặc biệt là giống như mình loại này trước kia là cái nông dân.

	"Ngẫu nhiên được một bản kỳ thư, cho nên đối với phá án nghiệm thi, ít nhiều có một chút con đường."

	"Sách gì?"

	Lý Thế Dân tiếp tục truy hỏi, Tần Thiên nhưng là liền kêu liền đắng, không mang theo như vậy à.

	"《 rửa oan tập ghi 》 "

	"Có thể hay không cho bổn vương vừa thấy?"

	"Cái này. . . Dọn nhà thời điểm không biết ném đến nơi đó, vương gia muốn, đợi thuộc hạ tìm một chút, ngày khác đưa cho ngài đi."

	Đáp án này Lý Thế Dân rất là hài lòng, nhờ vậy mới không có tiếp tục hỏi tiếp.

	Hắn ở bên trong phòng ngồi như vậy, càng phát ra cảm thấy thoải mái, cho tới đều có điểm không muốn rời đi, có thể không rời đi lại không được, dứt khoát lúc thức dậy, bắt lại Tần Thiên liền đi ra ngoài.

	"Kêu ngươi thợ, chúng ta vào cung."

	Tần Thiên ngạc nhiên.

	"Vương gia, không cần gấp như vậy đi, ta cái này mới vừa dậy, cơm còn mỗi lần đây."

	"Vào cung ăn nữa."

	Tần Thiên không biết làm sao, chỉ có thể vội vàng để cho Phúc bá đem trong phủ biết làm giường lò mấy cái người làm kêu tới, thuận tiện cho hắn cầm mấy cái bánh bao tới ăn, như vậy hơi đệm đi sau một chút, mới đi theo Lý Thế Dân vào cung.

	Hoàng cung, ngự thư phòng.

	Mặc dù ngự thư phòng đã bắt đầu dùng các-bon lò, có thể Lý Uyên vẫn là cảm thấy lạnh, phê duyệt tấu chương không mấy cái, thì phải nắm tay đặt ở lửa than lên nướng nướng mới được.

	Mà đang ở hắn bận rộn như vậy trước lúc này một người thái giám gấp vội vã chạy tới: "Thánh thượng, Tần Vương điện hạ và Tần Thiên mang mấy cái thợ vào cung."

	"Thợ?" Lý Uyên có chút kỳ quái, êm đẹp, Lý Thế Dân và Tần Thiên mang thợ vào cung làm gì?

	"Để cho bọn họ đi vào."

	Không lâu lắm, Tần Thiên và Lý Thế Dân bọn họ vào ngự thư phòng, Lý Uyên nhìn bọn họ hai người một cái, ngưng chân mày hỏi: "2 người các ngươi muốn làm gì ?"

	Lý Thế Dân nói: "Phụ hoàng, ngày đông tới, Tần Thiên phát minh một loại giường lò, thiêu cháy thật ấm áp, cùng mùa xuân tựa như."

	"Giường lò?" Lý Uyên có chút kỳ quái, Lý Thế Dân bên này liền lại vội vàng đem giường lò cho giải thích cặn kẽ một chút, Tần Thiên đứng ở bên cạnh, không biết nói gì.

	Cùng Lý Uyên rốt cuộc rõ ràng, Lý Thế Dân mới nói: "Nhi thần suy nghĩ, phụ hoàng phê duyệt tấu chương, khẳng định rất lạnh, cho nên liền đem Tần Thiên kêu tới, cho ngài đánh giường lò, như vậy ngài ngồi ở trên giường đất, vậy ấm áp phải không ?"

	Lý Uyên vui cười mi khai: "Vẫn là Thế Dân sâu được trẫm lòng, còn lo lắng cái gì, nhanh, để cho trẫm xem xem có phải hay không giống như ngươi nói ấm áp như vậy."

	"Tuyệt đối ấm áp." Lý Thế Dân tiếp một câu, sau đó nhìn một cái Tần Thiên: "Ngươi còn lo lắng cái gì, nhanh lên đi làm giường lò à."

	Lúc này, bọn họ hai người mới đều nhìn về Tần Thiên, Tần Thiên muốn mắng mẹ, lời khen cũng để cho Lý Thế Dân nói, cuối cùng làm việc vẫn là hắn.

	"Này!"

	Giường lò Tần Thiên và hắn những người đó đều đã làm rất nhuần nhuyễn, cho nên dùng một giờ thời gian, bọn họ liền làm xong.

	Cùng giường lò tốt liền sau đó, Tần Thiên sai người ở bên ngoài đốt lửa, rất nhanh, bên trong ngự thư phòng liền dần dần ấm đứng lên.

	Lý Uyên ban đầu còn không có cảm thấy có cái gì, có thể theo nhiệt độ càng ngày càng cao, hắn liền không nhịn được đem áo khoác cho cởi.

	Không có khoan hậu áo choàng dài thoải mái, cả người cũng cảm thấy buông lỏng rất nhiều.

	"Hay, thật sự là hay à, cái này giường lò thật là đồ tốt, có thể đem bên trong nhà đổi ấm áp, ngủ phía trên còn không nóng người , tốt, được a. . ." Lý Uyên khen không dứt, đối với Tần Thiên cũng là càng tin chìu đứng lên, từ có Tần Thiên, cái này đông hạ hai cái khó chịu đựng nhất mùa, lập tức không được việc à.

	Ngày đông có giường lò, mùa hè lại phòng tự mưa, thoải mái, thoải mái à.

	"Tốt , được. . ." Lý Uyên một mực vừa nói tốt, Tần Thiên ở bên cạnh suy nghĩ, nếu tốt như vậy, thế nào vậy được ban thưởng chút gì chứ ?

	Có thể cùng bọn họ rời đi hoàng cung, Lý Uyên cũng không có nói muốn ban thưởng điểm hắn cái gì.

	Cái này làm cho Tần Thiên có một loại làm không công cảm giác, thua thiệt lớn.

	"Vương gia à, Thánh thượng có phải hay không thiếu cho ít đồ?" Đi Tần vương phủ lúc này Tần Thiên thử hỏi dò liền một câu.

	Lý Thế Dân nói: "Phụ hoàng thật giống như căn bản là không có cho đồ."

	Nói tới chỗ này lúc này Lý Thế Dân nhất thời bừng tỉnh, hắn nhìn một cái Tần Thiên, bĩu môi: "Thằng nhóc ngươi muốn cái gì à?"

	"Ta cũng không muốn cái gì, mấy cái này thợ đi theo bận rộn hơn nửa ngày, thế nào vậy được cho bọn họ điểm ban thưởng đi." Tần Thiên cười nói.

	Lý Thế Dân trợn mắt nhìn hắn một cái, nói: "Đem ta trong phủ giường lò làm xong, mỗi người thưởng năm xâu tiền, cái này được chưa?"

	Năm xâu tiền không thiếu, đối với những thứ này thợ mà nói, đơn giản là vượt qua vượt qua lời.

	Những cái kia thợ sau khi nghe mừng rỡ không thôi, Tần Thiên nơi này, mới rốt cục cảm thấy thư thái một ít.

	"Đa tạ vương gia."

	Lý Thế Dân khoát khoát tay, hắn đột nhiên cảm thấy cùng Tần Thiên cộng sự không được, tên nầy ăn không ngon thua thiệt, nếu không phải mình hào phóng, cần phải cùng hắn cãi vả không thể.

	Đi tới Tần vương phủ sau đó, những cái kia thợ lập tức liền động thủ đứng lên, bởi vì là có năm xâu tiền chỗ tốt, cho nên cũng làm rất xách sức lực, bất quá coi như như vậy, cùng bọn họ đem Tần vương phủ giường lò làm xong lúc này sắc trời đã là không còn sớm, trên đường đã bắt đầu giới nghiêm, một đội lại một đội cấm quân thị vệ ở trên đường tuần tra, xua đuổi những cái kia còn chưa về nhà người.

	Kinh triệu phủ.

	Túi bất đồng cuối cùng đem chuyện hôm nay cho giúp xong, ở phủ nha quan viên chuẩn bị trước khi rời đi, hắn đột nhiên hỏi: "Tần Thiên ngày hôm nay không có tới?"

	"Bẩm đại nhân, không có tới."

	Vừa nghe cái này, túi bất đồng nhất thời ngưng nổi lên chân mày, sắc mặt cũng trở nên phẫn nộ: "Đáng ghét, hắn lấy là mình phá một vụ án, liền rất giỏi rồi? Cũng không cần Quản phủ nha những chuyện khác? Ngày mai hắn sau khi đến, để cho hắn đến tìm bản quan."

	Túi bất đồng giận đùng đùng đi, vốn là gặp Tần Thiên còn có chút bản lãnh, cho nên chuyện trước kia cũng chỉ không nhắc chuyện cũ, chưa từng nghĩ Tần Thiên được voi đòi tiên, cả ngày hôm nay đều không tới phủ nha.

	Phải nói hắn buổi sáng ngủ nghỉ ngơi, hắn cũng sẽ không nói cái gì, có thể buổi chiều đâu, hắn cũng không thể ngủ một ngày chứ ?

	Một đám phủ nha quan viên lẫn nhau nhìn quanh, tiếp người người lắc đầu than nhẹ.

	"Cái này tần biệt giá, sao cũng không để cho người đỡ lo đây. . ."Chương 204: Giường lò nổi tiếng 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Lý Thế Dân ngồi ở trên giường đất lắc chân, hết sức thích ý.

	"Nghe nói ngươi thành thần dò xét?" Lý Thế Dân đột nhiên hỏi một câu, Tần Thiên sững sốt một chút: "Cái gì thần thám?"

	"Tối ngày hôm qua ngươi không phải phá vụ án mà, bây giờ thành Trường An cũng truyền ra, nói ngươi là thần thám."

	Tần Thiên kinh ngạc, không qua một cái vụ án nhỏ mà thôi, làm sao mình là được thần thám?

