Chương 47: Bị cướp 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Trường An đã rất lâu không có mưa.
	Nàng lời này mở miệng, Tần Thiên trong lòng nhưng là một vui mừng như điên, loại chuyện này, hắn quá cầu cũng không được.

	Tần Thiên lưu lại, Đường Dung đi thay quần áo, Tần Thiên ở bên ngoài thỉnh thoảng nghiêng đầu trộm xem, gặp Đường Dung cởi ra áo quần, lộ ra nõn nà vậy da thịt, để cho người hận không thể xông lên cắn một cái.

	Đường Dung quần áo vượt cởi vượt thiếu, Tần Thiên rất nhanh liền có phản ứng sinh lý, hơn nữa thật lâu không đi.

	Sau khi đổi lại y phục xong, Đường Dung gặp Tần Thiên còn ướt, vội vàng tới đây giúp hắn thoát y: "Ngươi làm sao thẫn thờ đứng trước, nhanh chóng đổi, có thể kẹp trước lạnh."

	Không nói lời nào, Đường Dung liền đem Tần Thiên quần áo cỡi xuống, mùa hè, Tần Thiên mặc quần áo rất ít, Đường Dung cởi một kiện sau đó, đột nhiên thấy Tần Thiên phía dưới cổ trước cái nhỏ lều vải, không kiềm được trong lòng cuồng loạn.

	"Hắn là tốt?" Đường Dung gò má ửng đỏ, nàng rất khiếp sợ, vậy rất ngượng ngùng, Tần Thiên cũng không có bất kỳ vấn đề, vậy mới vừa rồi mình hết thảy há chẳng phải là đều bị hắn cho thấy được?

	Nàng có một loại bị lừa dối tức giận, ngay sau đó một cái tát liền quất tới: "Lưu manh!"

	Tần Thiên bất thình lình bị tát một bạt tai, một tát này cũng làm hắn cho rút ra bối rối, cái gì lưu manh, mình rõ ràng chuẩn bị rời đi, là ngươi không để cho có được hay không?

	Người phụ nữ quá giỏi thay đổi.

	Đối mặt Đường Dung loại chuyện này, Tần Thiên có chút khóc cười không thể, cái này cũng chuyện gì à?

	Tần Thiên rất ủy khuất, đặc biệt ủy khuất, Đường Dung nhìn hắn dáng vẻ, đột nhiên có chút đau lòng, muốn nói chút gì lúc này cửa nhưng két một tiếng mở ra.

	"Cô gia, cô gia, xảy ra chuyện lớn." Tiểu Thanh từ bên ngoài chạy vào.

	"Xảy ra chuyện gì?"

	"Mới rồi có người tới đưa tin, nói chúng ta áp vận nước hoa xe bị một bọn cường đạo cho cướp."

	"Cái gì?" Tần Thiên không nghĩ tới kinh kỳ vùng lân cận, lại có ngông cuồng như vậy cường đạo, không kịp cùng Đường Dung nhiều lời, Tần Thiên lập tức liền lại xông ra ngoài.

	Những hoa kia hạt sương nhưng có mấy trăm bình, đổi tiền không sai biệt lắm mấy trăm xâu, đây tuyệt đối không phải số tiền nhỏ, hắn phải mau sớm cùng Tần Thúc Bảo bọn họ nói một chút mới được.

	Dĩ nhiên, trọng yếu nhất, vẫn là mượn dùng bọn họ binh lực, đem đám kia tên cướp bắt lại.

	Tần Thiên vội vàng rời đi, Đường Dung nhìn hắn rời đi hình bóng, đột nhiên mừng đến chảy nước mắt.

	Tiểu Thanh đứng ở bên cạnh có chút không hiểu: "Tiểu thư, chúng ta nước hoa bị người cho cướp, ngươi cái này là khóc hay là cười à?"

	Tiểu Thanh có chút mộng, Đường Dung nhưng là có một loại không nói ra được thư thái và hưng phấn, vốn lấy là mình gả cho cái giả người đàn ông, không nghĩ tới không phải, là mình suy nghĩ nhiều.

	Như vậy, bỏ mặc Tần Thiên là nghĩ như thế nào, mình tương lai cuối cùng là có chạy đầu chứ ?

	Mùa hè mưa tới nhanh, đi cũng nhanh.

	Đại khái sau giờ ngọ không bao lâu, mưa liền ngừng, Đường Dung ngồi ở trong phòng chờ Tần Thiên trở về, nàng có rất nhiều lời muốn đối với Tần Thiên nói, đó là nàng tích dằn xuống đáy lòng thật lâu nói.

	Chẳng qua là Tần Thiên cho đến rất khuya mới trở về.

	Tần Thiên lúc trở lại đêm đã khuya, bên trong nhà đèn sáng, nhìn trong phòng đèn, Tần Thiên trong lòng ấm áp, có một người phụ nữ là mình sáng một ngọn đèn, hẳn là một kiện để cho người rất chuyện hạnh phúc tình chứ ?

	Tần Thiên đẩy cửa đi vào, Đường Dung nằm ở trên bàn mơ màng buồn ngủ, nghe được tiếng vang đột nhiên ngẩng đầu lên, thấy là Tần Thiên trở về nhất thời vui mừng, vội vàng nghênh đón: "Tướng công ngươi đã về rồi?"

	Đường Dung động tác hôn thân mật, Tần Thiên đột nhiên đều có điểm không thích ứng.

	"Đúng vậy, phu nhân còn không có nghỉ ngơi?"

	"Chờ ngươi đấy!"

	"Cùng ta? Có chuyện gì không?"

	Đường Dung do dự một chút, bên trong nhà đột nhiên yên tĩnh lại, hồi lâu sau, Đường Dung mới mở miệng nói: "Tướng công có phải hay không không thích ta?"

	Lời nói này mang 3 điểm u oán, Tần Thiên nhưng là đột nhiên cẩn thận: "Làm sao biết, ngươi là ta phu nhân, ta là yêu mến ngươi."

	"Gạt người, ngươi nếu thích ta, ban đầu cầu hôn lúc này vì sao phải nhún nhường, viết một bài cái gì đâm một cái nhảy một cái đáp, ngươi rõ ràng là không muốn cưới ta, cho nên mới làm như vậy."

	Đường Dung càng thương cảm, Tần Thiên nhưng là ở trong nháy mắt ở giữa rõ ràng liền rất nhiều chuyện, trách không thể hai người quan hệ từ về nhà thăm bố mẹ sau đó thay đổi, nguyên lai là Đường Dung lấy là mình không thích nàng, trong lòng tức giận, cho nên không phản ứng mình à.

	Đây thật là oan uổng.

	"Khi đó đúng là không thích phu nhân."

	Một câu lời còn chưa nói hết, Đường Dung nước mắt đột nhiên liền chảy xuống.

	"Ngươi. . ."

	Đường Dung rất thương tâm, có thể vừa lúc đó, Tần Thiên đem nàng ôm ở trong ngực, Đường Dung vùng vẫy hai cái, tiếp đột nhiên lại nằm ở Tần Thiên trên ngực khóc.Chương 47: Bị cướp 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Trường An đã rất lâu không có mưa.

	Thôn Tần gia cũng là như vậy.

	Một trận mưa lớn đột nhiên xâm nhập tới, ngay tức thì đem khoảng thời gian này úc nóng quét một cái sạch.

	Mưa to rào rào hạ, Đường Dung tâm tình cũng không khỏi khá hơn.

	Gần đây trầm ổn nàng nhìn mưa to ở phòng bếp nhảy cẫng hoan hô, Tần Thiên cho tới bây giờ không có gặp nàng cái bộ dáng này qua, mà lúc này Đường Dung là như vậy vui vẻ, như vậy hưng phấn, nàng tựa như đem tất cả đè ở mình vật trên người cho hết ném tháo xuống.

	Có lẽ, đây mới là nàng nhất chân thật nhất mình.

	Tần Thiên nhìn Đường Dung, đột nhiên bắt được tay nàng, sau đó kéo nàng liền vọt vào mưa bên trong.

	Hắn biết Đường Dung là tưởng tượng đứa bé như nhau vọt vào trong mưa, chẳng qua là dù là hắn đã tan mất rất nhiều áp lực, có thể vẫn là có chỗ cố kỵ.

	Đã như vậy, vậy thì do hắn tới giúp nàng hoàn thành đi.

	Đường Dung sững sốt một chút, ngay sau đó liền đi theo Tần Thiên ở trong mưa chạy như điên.

	Mưa to xâm nhập tới, rất nhanh đem hai người quần áo cũng cho bị ướt, có thể bọn họ cũng không để bụng, có thể ở trong mưa tận tình phát tiết một lần, vì sao còn phải quan tâm những đồ thế tục kia?

	Từ phòng bếp đến phòng ngủ hai người chạy thời gian rất dài, trở lại trong phòng lúc này hai người đều có điểm thở hồng hộc, nước mưa theo phát sao chảy xuống, hai người lẫn nhau nhìn, đột nhiên cũng không nhịn được vui vẻ cười to đứng lên.

	Bọn họ cho tới bây giờ không có giống hiện ở đây sao ung dung qua, bọn họ trước kia, cũng sống quá mệt mỏi.

	Bởi vì là không dám lộ ra chân thật nhất mình, không dám biểu đạt mình muốn biểu đạt tình cảm.

	Tiếng cười kéo dài rất lâu, Đường Dung nhìn Tần Thiên, nội tâm đột nhiên rất kích động, ở một khắc kia, nàng thậm chí ở đáy lòng âm thầm thề, dù là Tần Thiên không phải người đàn ông, nàng đời này vậy cùng đặt hắn.

	Bởi vì là cùng hắn chung một chỗ, thật để cho nàng cảm thấy rất có ý tứ, đây là nàng lúc trước mười mấy năm trong năm tháng nơi cho tới bây giờ chưa từng có.

	Tình yêu nam nữ không có thì đã có sao, chỉ cần hắn đối với mình tốt là được.

	"Hắt hắt xì. . ." Đường Dung ánh mắt có chút mê ly, đột nhiên hắt hơi một cái, Tần Thiên gặp nàng như vậy, nhất thời có chút láo, hắn chỉ lo hưng phấn, nhưng quên mất thân thể khỏe mạnh vấn đề.

	"Nhanh lên thay quần áo đi."

	Vừa nói, Tần Thiên xoay người chuẩn bị đi ra ngoài, có thể hắn vừa mới chuyển thân, Đường Dung đột nhiên kéo lại hắn.

	"Bên ngoài hạ lớn như vậy mưa, ngươi đi ra ngoài làm chi? Chúng ta là vợ chồng, ngươi còn sợ thẹn thùng sao?" Dù sao Tần Thiên không phải người đàn ông, cho nên Đường Dung cũng không có quá để ý trai gái phòng bị.

	Nàng lời này mở miệng, Tần Thiên trong lòng nhưng là một vui mừng như điên, loại chuyện này, hắn quá cầu cũng không được.

	Tần Thiên lưu lại, Đường Dung đi thay quần áo, Tần Thiên ở bên ngoài thỉnh thoảng nghiêng đầu trộm xem, gặp Đường Dung cởi ra áo quần, lộ ra nõn nà vậy da thịt, để cho người hận không thể xông lên cắn một cái.

	Đường Dung quần áo vượt cởi vượt thiếu, Tần Thiên rất nhanh liền có phản ứng sinh lý, hơn nữa thật lâu không đi.

	Sau khi đổi lại y phục xong, Đường Dung gặp Tần Thiên còn ướt, vội vàng tới đây giúp hắn thoát y: "Ngươi làm sao thẫn thờ đứng trước, nhanh chóng đổi, có thể kẹp trước lạnh."

	Không nói lời nào, Đường Dung liền đem Tần Thiên quần áo cỡi xuống, mùa hè, Tần Thiên mặc quần áo rất ít, Đường Dung cởi một kiện sau đó, đột nhiên thấy Tần Thiên phía dưới cổ trước cái nhỏ lều vải, không kiềm được trong lòng cuồng loạn.

	"Hắn là tốt?" Đường Dung gò má ửng đỏ, nàng rất khiếp sợ, vậy rất ngượng ngùng, Tần Thiên cũng không có bất kỳ vấn đề, vậy mới vừa rồi mình hết thảy há chẳng phải là đều bị hắn cho thấy được?

	Nàng có một loại bị lừa dối tức giận, ngay sau đó một cái tát liền quất tới: "Lưu manh!"

	Tần Thiên bất thình lình bị tát một bạt tai, một tát này cũng làm hắn cho rút ra bối rối, cái gì lưu manh, mình rõ ràng chuẩn bị rời đi, là ngươi không để cho có được hay không?

	Người phụ nữ quá giỏi thay đổi.

	Đối mặt Đường Dung loại chuyện này, Tần Thiên có chút khóc cười không thể, cái này cũng chuyện gì à?

	Tần Thiên rất ủy khuất, đặc biệt ủy khuất, Đường Dung nhìn hắn dáng vẻ, đột nhiên có chút đau lòng, muốn nói chút gì lúc này cửa nhưng két một tiếng mở ra.

	"Cô gia, cô gia, xảy ra chuyện lớn." Tiểu Thanh từ bên ngoài chạy vào.

	"Xảy ra chuyện gì?"

	"Mới rồi có người tới đưa tin, nói chúng ta áp vận nước hoa xe bị một bọn cường đạo cho cướp."

	"Cái gì?" Tần Thiên không nghĩ tới kinh kỳ vùng lân cận, lại có ngông cuồng như vậy cường đạo, không kịp cùng Đường Dung nhiều lời, Tần Thiên lập tức liền lại xông ra ngoài.

	Những hoa kia hạt sương nhưng có mấy trăm bình, đổi tiền không sai biệt lắm mấy trăm xâu, đây tuyệt đối không phải số tiền nhỏ, hắn phải mau sớm cùng Tần Thúc Bảo bọn họ nói một chút mới được.

	Dĩ nhiên, trọng yếu nhất, vẫn là mượn dùng bọn họ binh lực, đem đám kia tên cướp bắt lại.

	Tần Thiên vội vàng rời đi, Đường Dung nhìn hắn rời đi hình bóng, đột nhiên mừng đến chảy nước mắt.

	Tiểu Thanh đứng ở bên cạnh có chút không hiểu: "Tiểu thư, chúng ta nước hoa bị người cho cướp, ngươi cái này là khóc hay là cười à?"

	Tiểu Thanh có chút mộng, Đường Dung nhưng là có một loại không nói ra được thư thái và hưng phấn, vốn lấy là mình gả cho cái giả người đàn ông, không nghĩ tới không phải, là mình suy nghĩ nhiều.

	Như vậy, bỏ mặc Tần Thiên là nghĩ như thế nào, mình tương lai cuối cùng là có chạy đầu chứ ?

	Mùa hè mưa tới nhanh, đi cũng nhanh.

	Đại khái sau giờ ngọ không bao lâu, mưa liền ngừng, Đường Dung ngồi ở trong phòng chờ Tần Thiên trở về, nàng có rất nhiều lời muốn đối với Tần Thiên nói, đó là nàng tích dằn xuống đáy lòng thật lâu nói.

	Chẳng qua là Tần Thiên cho đến rất khuya mới trở về.

	Tần Thiên lúc trở lại đêm đã khuya, bên trong nhà đèn sáng, nhìn trong phòng đèn, Tần Thiên trong lòng ấm áp, có một người phụ nữ là mình sáng một ngọn đèn, hẳn là một kiện để cho người rất chuyện hạnh phúc tình chứ ?

	Tần Thiên đẩy cửa đi vào, Đường Dung nằm ở trên bàn mơ màng buồn ngủ, nghe được tiếng vang đột nhiên ngẩng đầu lên, thấy là Tần Thiên trở về nhất thời vui mừng, vội vàng nghênh đón: "Tướng công ngươi đã về rồi?"

	Đường Dung động tác hôn thân mật, Tần Thiên đột nhiên đều có điểm không thích ứng.

	"Đúng vậy, phu nhân còn không có nghỉ ngơi?"

	"Chờ ngươi đấy!"

	"Cùng ta? Có chuyện gì không?"

	Đường Dung do dự một chút, bên trong nhà đột nhiên yên tĩnh lại, hồi lâu sau, Đường Dung mới mở miệng nói: "Tướng công có phải hay không không thích ta?"

	Lời nói này mang 3 điểm u oán, Tần Thiên nhưng là đột nhiên cẩn thận: "Làm sao biết, ngươi là ta phu nhân, ta là yêu mến ngươi."

	"Gạt người, ngươi nếu thích ta, ban đầu cầu hôn lúc này vì sao phải nhún nhường, viết một bài cái gì đâm một cái nhảy một cái đáp, ngươi rõ ràng là không muốn cưới ta, cho nên mới làm như vậy."

	Đường Dung càng thương cảm, Tần Thiên nhưng là ở trong nháy mắt ở giữa rõ ràng liền rất nhiều chuyện, trách không thể hai người quan hệ từ về nhà thăm bố mẹ sau đó thay đổi, nguyên lai là Đường Dung lấy là mình không thích nàng, trong lòng tức giận, cho nên không phản ứng mình à.

	Đây thật là oan uổng.

	"Khi đó đúng là không thích phu nhân."

	Một câu lời còn chưa nói hết, Đường Dung nước mắt đột nhiên liền chảy xuống.

	"Ngươi. . ."

	Đường Dung rất thương tâm, có thể vừa lúc đó, Tần Thiên đem nàng ôm ở trong ngực, Đường Dung vùng vẫy hai cái, tiếp đột nhiên lại nằm ở Tần Thiên trên ngực khóc.Chương 47: Bị cướp 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Trường An đã rất lâu không có mưa.

	Thôn Tần gia cũng là như vậy.

	Một trận mưa lớn đột nhiên xâm nhập tới, ngay tức thì đem khoảng thời gian này úc nóng quét một cái sạch.

	Mưa to rào rào hạ, Đường Dung tâm tình cũng không khỏi khá hơn.

	Gần đây trầm ổn nàng nhìn mưa to ở phòng bếp nhảy cẫng hoan hô, Tần Thiên cho tới bây giờ không có gặp nàng cái bộ dáng này qua, mà lúc này Đường Dung là như vậy vui vẻ, như vậy hưng phấn, nàng tựa như đem tất cả đè ở mình vật trên người cho hết ném tháo xuống.

	Có lẽ, đây mới là nàng nhất chân thật nhất mình.

	Tần Thiên nhìn Đường Dung, đột nhiên bắt được tay nàng, sau đó kéo nàng liền vọt vào mưa bên trong.

	Hắn biết Đường Dung là tưởng tượng đứa bé như nhau vọt vào trong mưa, chẳng qua là dù là hắn đã tan mất rất nhiều áp lực, có thể vẫn là có chỗ cố kỵ.

	Đã như vậy, vậy thì do hắn tới giúp nàng hoàn thành đi.

	Đường Dung sững sốt một chút, ngay sau đó liền đi theo Tần Thiên ở trong mưa chạy như điên.

