Chương 169: Sợ tội tự sát 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Thành Trường An.
	"Thánh thượng, xảy ra chuyện lớn." Lô Triển Đình vội vả nói, bên này, Lô Hành vậy vội vàng đứng dậy: "Thánh thượng, tiểu nữ Lô Hoa Nương bị người bắt cóc, trước đây không lâu, tiểu nữ vị hôn phu Tần Thiên nhận được tên bắt cóc tin, muốn Tần Thiên đơn độc đi cứu người, Tần Thiên đã đi, thần nghĩ tới nghĩ lui, lo lắng Tần Thiên và tiểu nữ an nguy, lúc này mới vào cung tới hướng Thánh thượng tìm xin giúp đỡ."

	Lô Hành đem tình huống nói một lần, Lý Uyên nhưng là sững sốt một chút: "Tần Thiên phu nhân không phải Đường Dung sao, làm sao thành con gái ngươi?"

	Lô Hành nói: "Tiểu nữ si yêu Tần Thiên, là sợ bọn họ hai người nháo xảy ra chuyện gì tới, cho nên thần liền đồng ý chuyện của bọn họ, bất quá Thánh thượng, bây giờ không phải là lúc nói chuyện này à, vậy Tần Thiên đơn độc đến nơi hẹn, chỉ sợ dữ nhiều lành ít, xin Thánh thượng phái người đi trước cứu."

	Lý Uyên chân mày hơi chăm chú, đột nhiên rõ ràng Lý Thế Dân vì sao phải tới thay Đường Dung cầu cáo mệnh, chỉ sợ là Đường Dung không đồng ý hôn sự này, Tần Thiên không có cách nào, mới cầu Lý Thế Dân tới muốn một cáo mệnh trấn an Đường Dung chứ ?

	Hắn trước ngược lại không nghĩ tới, bất quá bây giờ biết, hắn nhưng cảm thấy cái này cáo mệnh càng không thể cho, như bởi vì là chút chuyện này thì tùy ban thưởng cáo mệnh, tối tăm Đại Đường cáo mệnh vậy giá quá rẻ chứ ?

	Ngự thư phòng bầu không khí có chút ngưng trọng, Lý Thế Dân đứng ở bên cạnh, đột nhiên nói: "Phụ hoàng, vậy Tần Thiên là đã cứu ngài mạng người, lúc này hắn một người một ngựa đi phó hội, sợ thật sẽ xảy ra chuyện, vẫn là sớm phái người đi tốt."

	Lý Kiến Thành bên này, thần sắc hơi động.

	Hắn không nghĩ tới Tần Thiên lại thật đơn độc đi, hắn cảm thấy Tần Thiên đi tốt, đi, không thì chẳng khác nào là chịu chết mà, bất quá hắn cảm giác được mình hẳn còn làm chút gì.

	"Phụ hoàng, phái người đi là nhất định phải phái người đi, bất quá như cứ như vậy đi, chỉ sợ tên bắt cóc gặp không đường có thể lui mà giết người diệt khẩu à, ngược lại không như tạm ngừng chốc lát lại đi, khi đó nói không chừng mới có thể có chuyển cơ."

	"Phụ hoàng, không thể, phải lập tức phái người đi trước mới được, nếu không Tần Thiên coi như mất mạng."

	"Tần vương, vậy Tần Thiên là người thông minh, vậy như vậy dễ chết, vẫn là phải chiếu cố đến Lô cô nương an nguy mới phải."

	Hai người nói như vậy, Lô Hành chân mày hơi đông lại một cái, đứng ra nói: "Xin Thánh thượng sớm phái người đi, đi chậm, coi như ai cũng không cứu được à."

	Lý Uyên đối với Lô Hoa Nương an nguy cũng không để bụng, đối với thế gia, bất kể là Thôi gia vẫn là Lô gia, hắn cũng không có hảo cảm gì, Lô Hoa Nương chết thì chết.

	Nhưng Tần Thiên không thể chết được à, cho nên, hắn lập tức phân phó nói: " Người đâu, để cho hoàng gia thân quân đi cứu người, có thể ngăn cản Tần Thiên, nhất định phải ngăn lại hắn."

	Lý Uyên phân phó sau đó, trong cung thị vệ trần kiếm lập tức dẫn năm mươi tên thiên tử thân quân hướng bên ngoài thành chạy tới, trong cung bên này, Lý Thế Dân và Lô Hành bọn họ mặc dù cũng dựa theo Tần Thiên nói đi làm, có thể trong lòng rốt cuộc có chút bất an.

	Bọn họ hoàn toàn không hiểu rõ Tần Thiên phải làm gì, chỉ như vậy là có thể đem Lô Hoa Nương cho cứu ra?

	Chỉ bằng Tần Thiên một người đi, là có thể cứu người?

	Bọn họ càng nghĩ càng cảm giác được mình chỉ số thông minh gặp phải làm nhục.

	Cho nên rời đi hoàng cung sau đó, hai người không hẹn mà cùng, vậy đều mang riêng mình người ra thành Trường An.

	Lý Kiến Thành nơi này, nhưng thật ra là cố ý trì hoãn thời gian, bất quá hắn phụ hoàng lo âu Tần Thiên, cái này làm cho hắn cảm thấy rất không ổn, vạn nhất thật đem Tần Thiên cản lại, vậy Tần Thiên không phải lại sống đến giờ?

	Nghĩ tới nghĩ lui, hắn cảm thấy chỉ có đem việc này cho biết Thôi gia, bức bách Thôi gia mới được, đem Thôi gia ép, bọn họ nói không chừng sẽ trực tiếp giết Lô Hoa Nương diệt khẩu.

	Lô Hoa Nương chết, Tần Thiên cùng Thôi gia oán thù thì càng không cỡi được.

	Thôi gia, Thôi Đồng biết được triều đình phái binh cứu viện Lô Hoa Nương sau đó, nhất thời lo lắng không thôi, vạn nhất không có thể giết Tần Thiên, ngược lại bị triều đình thân quân bao vây, vậy bọn họ Thôi gia có thể gặp phiền toái.

	Vừa đọc dậy, Thôi Đồng lập tức phân phó một tên đầy tớ sao đường tắt, ngựa chiến gia roi chạy tới phế trạch, để cho Thôi Nguyên Hạo nhanh giết người rời đi.

	Người làm lĩnh mệnh sau đó cỡi khoái mã rời đi thành Trường An, hướng phế trạch chạy tới.

	Bất quá cùng hắn chạy tới phế trạch sau đó, nhưng phát hiện phế trạch bên trong hết sức yên lặng, thậm chí liền vết máu đều không làm sao thấy được.

	Hắn cảm thấy rất kỳ quái, đang muốn tìm tòi tra một chút phế trạch lúc này đột nhiên nghe phía bên ngoài có động tĩnh truyền tới, người nọ không dám chần chờ, vội vàng tìm một chỗ núp vào.

	Mà đang ở hắn mới vừa tìm tốt chỗ trốn, phế trạch cửa liền bị người cho một chân đạp mở ra.

	"Tìm tòi, nhất định phải tìm được Lô Hoa Nương và Đường Mộc, sống thì thấy người, chết phải thấy thi thể." Trần kiếm sau khi đi vào cao giọng hô, mà ngay tại lúc này, một người thị vệ vội vả chạy tới: " Sếp, phát hiện một cổ thi thể, hình như là. . . Thôi gia công tử."

	"Thôi Nguyên Hạo?" Trần kiếm thần sắc đột nhiên động một cái, vội vàng dẫn người đi trước tra xem, trốn Thôi gia người làm, nhưng là trong lòng trầm xuống.Chương 169: Sợ tội tự sát 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Thành Trường An.

	Lý Thế Dân dựa theo Tần Thiên theo như lời, ở Tần Thiên cách mở 2 tiếng sau đó, vội vã vào hoàng cung.

	Mà đang ở Lý Thế Dân vào hoàng cung sau đó, đông cung bên này, Lý Kiến Thành đã nhận được tin tức, ngay sau đó vậy vội vàng vào cung.

	Thôi gia động thủ sự việc, Lý Kiến Thành đã biết được, cho nên hắn đoán được Lý Thế Dân vào cung có thể là vì cứu Lô Hoa Nương sự việc, cho nên hắn cảm giác được mình có cần phải vào cung tùy thời ứng biến.

	Hai người một trước một sau vào hoàng cung, đi tới ngự thư phòng sau đó, Lý Uyên gặp 2 anh em bọn họ đồng thời vào cung, trong lòng liền đoán được bọn họ chỉ sợ lại muốn gây chuyện, không khỏi được có chút chán ghét.

	Bất quá hắn vẫn là nhịn xuống, hỏi: "Các người hai người lúc này vào cung, nhưng mà có chuyện gì?"

	Lý Kiến Thành nhìn một cái Lý Thế Dân, ở hắn xem ra, Lý Thế Dân là thật có chuyện, cho nên Lý Thế Dân sẽ mở miệng, có thể Lý Thế Dân chỉ là dựa theo Tần Thiên nói vào cung, còn như những thứ khác nhưng là không có nói, vì vậy Lý Thế Dân cũng không biết nói cái gì cho phải, cho nên chẳng qua là đứng ở một bên, không hề lời nói.

	Hai người cũng không nói lời nào, cái này thì để cho Lý Uyên cảm thấy kỳ quái.

	"Các người hai người rốt cuộc có chuyện gì?" Lý Uyên giọng lạnh lùng, Lý Thế Dân nhưng như cũ không mở miệng, Lý Kiến Thành bên này nhưng là đột nhiên kỳ quái.

	Lý Uyên chân mày hơi chăm chú: "Thái tử ngươi nói trước."

	Lý Kiến Thành âm thầm kêu khổ, hắn vậy không có chuyện gì à.

	Bất quá, cái này cũng không làm khó được Lý Kiến Thành, hắn vội vàng đứng dậy, nói: "Phụ hoàng, nhi thần là tới lắng nghe phụ hoàng dạy bảo, phụ hoàng nhưng có chuyện gì, cứ phân phó nhi thần đi làm."

	Lý do này miễn cưỡng vậy nói được, bất quá tương đương với chưa nói, Lý Uyên liếc mắt, sau đó nhìn về Lý Thế Dân nói: "Ngươi tới là vì cái gì?"

	"Nhi thần cũng là tới lắng nghe phụ hoàng dạy bảo."

	Nghe được Lý Thế Dân cùng tự mình nói vậy, Lý Kiến Thành nhất thời tức giận muốn rút ra người, Lý Uyên bên này nhưng là đột nhiên hồ nghi, trong đầu nghĩ bọn họ hai người ngày hôm nay rốt cuộc gây là kia ra?

	Đang suy nghĩ, một người thái giám gấp vội vã chạy vào: "Thánh thượng, Lô gia Lô Triển Đình và Lô Hành hai người cầu gặp."

	Nghe được người Lô gia tới, Lý Uyên nhờ vậy mới không có cùng Lý Thế Dân bọn họ tiếp tục làm tiếp, phân phó nói: "Tuyên bọn họ đi vào."

	Không lâu lắm, Lô Triển Đình và Lô Hành hai người đi tới liền ngự thư phòng.

	"Các người vào cung có chuyện gì không?"

	"Thánh thượng, xảy ra chuyện lớn." Lô Triển Đình vội vả nói, bên này, Lô Hành vậy vội vàng đứng dậy: "Thánh thượng, tiểu nữ Lô Hoa Nương bị người bắt cóc, trước đây không lâu, tiểu nữ vị hôn phu Tần Thiên nhận được tên bắt cóc tin, muốn Tần Thiên đơn độc đi cứu người, Tần Thiên đã đi, thần nghĩ tới nghĩ lui, lo lắng Tần Thiên và tiểu nữ an nguy, lúc này mới vào cung tới hướng Thánh thượng tìm xin giúp đỡ."

	Lô Hành đem tình huống nói một lần, Lý Uyên nhưng là sững sốt một chút: "Tần Thiên phu nhân không phải Đường Dung sao, làm sao thành con gái ngươi?"

	Lô Hành nói: "Tiểu nữ si yêu Tần Thiên, là sợ bọn họ hai người nháo xảy ra chuyện gì tới, cho nên thần liền đồng ý chuyện của bọn họ, bất quá Thánh thượng, bây giờ không phải là lúc nói chuyện này à, vậy Tần Thiên đơn độc đến nơi hẹn, chỉ sợ dữ nhiều lành ít, xin Thánh thượng phái người đi trước cứu."

	Lý Uyên chân mày hơi chăm chú, đột nhiên rõ ràng Lý Thế Dân vì sao phải tới thay Đường Dung cầu cáo mệnh, chỉ sợ là Đường Dung không đồng ý hôn sự này, Tần Thiên không có cách nào, mới cầu Lý Thế Dân tới muốn một cáo mệnh trấn an Đường Dung chứ ?

	Hắn trước ngược lại không nghĩ tới, bất quá bây giờ biết, hắn nhưng cảm thấy cái này cáo mệnh càng không thể cho, như bởi vì là chút chuyện này thì tùy ban thưởng cáo mệnh, tối tăm Đại Đường cáo mệnh vậy giá quá rẻ chứ ?

	Ngự thư phòng bầu không khí có chút ngưng trọng, Lý Thế Dân đứng ở bên cạnh, đột nhiên nói: "Phụ hoàng, vậy Tần Thiên là đã cứu ngài mạng người, lúc này hắn một người một ngựa đi phó hội, sợ thật sẽ xảy ra chuyện, vẫn là sớm phái người đi tốt."

	Lý Kiến Thành bên này, thần sắc hơi động.

	Hắn không nghĩ tới Tần Thiên lại thật đơn độc đi, hắn cảm thấy Tần Thiên đi tốt, đi, không thì chẳng khác nào là chịu chết mà, bất quá hắn cảm giác được mình hẳn còn làm chút gì.

	"Phụ hoàng, phái người đi là nhất định phải phái người đi, bất quá như cứ như vậy đi, chỉ sợ tên bắt cóc gặp không đường có thể lui mà giết người diệt khẩu à, ngược lại không như tạm ngừng chốc lát lại đi, khi đó nói không chừng mới có thể có chuyển cơ."

	"Phụ hoàng, không thể, phải lập tức phái người đi trước mới được, nếu không Tần Thiên coi như mất mạng."

	"Tần vương, vậy Tần Thiên là người thông minh, vậy như vậy dễ chết, vẫn là phải chiếu cố đến Lô cô nương an nguy mới phải."

	Hai người nói như vậy, Lô Hành chân mày hơi đông lại một cái, đứng ra nói: "Xin Thánh thượng sớm phái người đi, đi chậm, coi như ai cũng không cứu được à."

	Lý Uyên đối với Lô Hoa Nương an nguy cũng không để bụng, đối với thế gia, bất kể là Thôi gia vẫn là Lô gia, hắn cũng không có hảo cảm gì, Lô Hoa Nương chết thì chết.

	Nhưng Tần Thiên không thể chết được à, cho nên, hắn lập tức phân phó nói: " Người đâu, để cho hoàng gia thân quân đi cứu người, có thể ngăn cản Tần Thiên, nhất định phải ngăn lại hắn."

	Lý Uyên phân phó sau đó, trong cung thị vệ trần kiếm lập tức dẫn năm mươi tên thiên tử thân quân hướng bên ngoài thành chạy tới, trong cung bên này, Lý Thế Dân và Lô Hành bọn họ mặc dù cũng dựa theo Tần Thiên nói đi làm, có thể trong lòng rốt cuộc có chút bất an.

	Bọn họ hoàn toàn không hiểu rõ Tần Thiên phải làm gì, chỉ như vậy là có thể đem Lô Hoa Nương cho cứu ra?

	Chỉ bằng Tần Thiên một người đi, là có thể cứu người?

	Bọn họ càng nghĩ càng cảm giác được mình chỉ số thông minh gặp phải làm nhục.

	Cho nên rời đi hoàng cung sau đó, hai người không hẹn mà cùng, vậy đều mang riêng mình người ra thành Trường An.

	Lý Kiến Thành nơi này, nhưng thật ra là cố ý trì hoãn thời gian, bất quá hắn phụ hoàng lo âu Tần Thiên, cái này làm cho hắn cảm thấy rất không ổn, vạn nhất thật đem Tần Thiên cản lại, vậy Tần Thiên không phải lại sống đến giờ?

	Nghĩ tới nghĩ lui, hắn cảm thấy chỉ có đem việc này cho biết Thôi gia, bức bách Thôi gia mới được, đem Thôi gia ép, bọn họ nói không chừng sẽ trực tiếp giết Lô Hoa Nương diệt khẩu.

	Lô Hoa Nương chết, Tần Thiên cùng Thôi gia oán thù thì càng không cỡi được.

	Thôi gia, Thôi Đồng biết được triều đình phái binh cứu viện Lô Hoa Nương sau đó, nhất thời lo lắng không thôi, vạn nhất không có thể giết Tần Thiên, ngược lại bị triều đình thân quân bao vây, vậy bọn họ Thôi gia có thể gặp phiền toái.

	Vừa đọc dậy, Thôi Đồng lập tức phân phó một tên đầy tớ sao đường tắt, ngựa chiến gia roi chạy tới phế trạch, để cho Thôi Nguyên Hạo nhanh giết người rời đi.

	Người làm lĩnh mệnh sau đó cỡi khoái mã rời đi thành Trường An, hướng phế trạch chạy tới.

	Bất quá cùng hắn chạy tới phế trạch sau đó, nhưng phát hiện phế trạch bên trong hết sức yên lặng, thậm chí liền vết máu đều không làm sao thấy được.

	Hắn cảm thấy rất kỳ quái, đang muốn tìm tòi tra một chút phế trạch lúc này đột nhiên nghe phía bên ngoài có động tĩnh truyền tới, người nọ không dám chần chờ, vội vàng tìm một chỗ núp vào.

	Mà đang ở hắn mới vừa tìm tốt chỗ trốn, phế trạch cửa liền bị người cho một chân đạp mở ra.

	"Tìm tòi, nhất định phải tìm được Lô Hoa Nương và Đường Mộc, sống thì thấy người, chết phải thấy thi thể." Trần kiếm sau khi đi vào cao giọng hô, mà ngay tại lúc này, một người thị vệ vội vả chạy tới: " Sếp, phát hiện một cổ thi thể, hình như là. . . Thôi gia công tử."

	"Thôi Nguyên Hạo?" Trần kiếm thần sắc đột nhiên động một cái, vội vàng dẫn người đi trước tra xem, trốn Thôi gia người làm, nhưng là trong lòng trầm xuống.Chương 169: Sợ tội tự sát 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Thành Trường An.

	Lý Thế Dân dựa theo Tần Thiên theo như lời, ở Tần Thiên cách mở 2 tiếng sau đó, vội vã vào hoàng cung.

	Mà đang ở Lý Thế Dân vào hoàng cung sau đó, đông cung bên này, Lý Kiến Thành đã nhận được tin tức, ngay sau đó vậy vội vàng vào cung.

	Thôi gia động thủ sự việc, Lý Kiến Thành đã biết được, cho nên hắn đoán được Lý Thế Dân vào cung có thể là vì cứu Lô Hoa Nương sự việc, cho nên hắn cảm giác được mình có cần phải vào cung tùy thời ứng biến.

	Hai người một trước một sau vào hoàng cung, đi tới ngự thư phòng sau đó, Lý Uyên gặp 2 anh em bọn họ đồng thời vào cung, trong lòng liền đoán được bọn họ chỉ sợ lại muốn gây chuyện, không khỏi được có chút chán ghét.

	Bất quá hắn vẫn là nhịn xuống, hỏi: "Các người hai người lúc này vào cung, nhưng mà có chuyện gì?"

	Lý Kiến Thành nhìn một cái Lý Thế Dân, ở hắn xem ra, Lý Thế Dân là thật có chuyện, cho nên Lý Thế Dân sẽ mở miệng, có thể Lý Thế Dân chỉ là dựa theo Tần Thiên nói vào cung, còn như những thứ khác nhưng là không có nói, vì vậy Lý Thế Dân cũng không biết nói cái gì cho phải, cho nên chẳng qua là đứng ở một bên, không hề lời nói.

	Hai người cũng không nói lời nào, cái này thì để cho Lý Uyên cảm thấy kỳ quái.

	"Các người hai người rốt cuộc có chuyện gì?" Lý Uyên giọng lạnh lùng, Lý Thế Dân nhưng như cũ không mở miệng, Lý Kiến Thành bên này nhưng là đột nhiên kỳ quái.

	Lý Uyên chân mày hơi chăm chú: "Thái tử ngươi nói trước."

	Lý Kiến Thành âm thầm kêu khổ, hắn vậy không có chuyện gì à.

	Bất quá, cái này cũng không làm khó được Lý Kiến Thành, hắn vội vàng đứng dậy, nói: "Phụ hoàng, nhi thần là tới lắng nghe phụ hoàng dạy bảo, phụ hoàng nhưng có chuyện gì, cứ phân phó nhi thần đi làm."

	Lý do này miễn cưỡng vậy nói được, bất quá tương đương với chưa nói, Lý Uyên liếc mắt, sau đó nhìn về Lý Thế Dân nói: "Ngươi tới là vì cái gì?"

	"Nhi thần cũng là tới lắng nghe phụ hoàng dạy bảo."

	Nghe được Lý Thế Dân cùng tự mình nói vậy, Lý Kiến Thành nhất thời tức giận muốn rút ra người, Lý Uyên bên này nhưng là đột nhiên hồ nghi, trong đầu nghĩ bọn họ hai người ngày hôm nay rốt cuộc gây là kia ra?

	Đang suy nghĩ, một người thái giám gấp vội vã chạy vào: "Thánh thượng, Lô gia Lô Triển Đình và Lô Hành hai người cầu gặp."

	Nghe được người Lô gia tới, Lý Uyên nhờ vậy mới không có cùng Lý Thế Dân bọn họ tiếp tục làm tiếp, phân phó nói: "Tuyên bọn họ đi vào."

	Không lâu lắm, Lô Triển Đình và Lô Hành hai người đi tới liền ngự thư phòng.

	"Các người vào cung có chuyện gì không?"

	"Thánh thượng, xảy ra chuyện lớn." Lô Triển Đình vội vả nói, bên này, Lô Hành vậy vội vàng đứng dậy: "Thánh thượng, tiểu nữ Lô Hoa Nương bị người bắt cóc, trước đây không lâu, tiểu nữ vị hôn phu Tần Thiên nhận được tên bắt cóc tin, muốn Tần Thiên đơn độc đi cứu người, Tần Thiên đã đi, thần nghĩ tới nghĩ lui, lo lắng Tần Thiên và tiểu nữ an nguy, lúc này mới vào cung tới hướng Thánh thượng tìm xin giúp đỡ."

	Lô Hành đem tình huống nói một lần, Lý Uyên nhưng là sững sốt một chút: "Tần Thiên phu nhân không phải Đường Dung sao, làm sao thành con gái ngươi?"

	Lô Hành nói: "Tiểu nữ si yêu Tần Thiên, là sợ bọn họ hai người nháo xảy ra chuyện gì tới, cho nên thần liền đồng ý chuyện của bọn họ, bất quá Thánh thượng, bây giờ không phải là lúc nói chuyện này à, vậy Tần Thiên đơn độc đến nơi hẹn, chỉ sợ dữ nhiều lành ít, xin Thánh thượng phái người đi trước cứu."

	Lý Uyên chân mày hơi chăm chú, đột nhiên rõ ràng Lý Thế Dân vì sao phải tới thay Đường Dung cầu cáo mệnh, chỉ sợ là Đường Dung không đồng ý hôn sự này, Tần Thiên không có cách nào, mới cầu Lý Thế Dân tới muốn một cáo mệnh trấn an Đường Dung chứ ?

	Hắn trước ngược lại không nghĩ tới, bất quá bây giờ biết, hắn nhưng cảm thấy cái này cáo mệnh càng không thể cho, như bởi vì là chút chuyện này thì tùy ban thưởng cáo mệnh, tối tăm Đại Đường cáo mệnh vậy giá quá rẻ chứ ?

	Ngự thư phòng bầu không khí có chút ngưng trọng, Lý Thế Dân đứng ở bên cạnh, đột nhiên nói: "Phụ hoàng, vậy Tần Thiên là đã cứu ngài mạng người, lúc này hắn một người một ngựa đi phó hội, sợ thật sẽ xảy ra chuyện, vẫn là sớm phái người đi tốt."

	Lý Kiến Thành bên này, thần sắc hơi động.

	Hắn không nghĩ tới Tần Thiên lại thật đơn độc đi, hắn cảm thấy Tần Thiên đi tốt, đi, không thì chẳng khác nào là chịu chết mà, bất quá hắn cảm giác được mình hẳn còn làm chút gì.

	"Phụ hoàng, phái người đi là nhất định phải phái người đi, bất quá như cứ như vậy đi, chỉ sợ tên bắt cóc gặp không đường có thể lui mà giết người diệt khẩu à, ngược lại không như tạm ngừng chốc lát lại đi, khi đó nói không chừng mới có thể có chuyển cơ."

	"Phụ hoàng, không thể, phải lập tức phái người đi trước mới được, nếu không Tần Thiên coi như mất mạng."

	"Tần vương, vậy Tần Thiên là người thông minh, vậy như vậy dễ chết, vẫn là phải chiếu cố đến Lô cô nương an nguy mới phải."

	Hai người nói như vậy, Lô Hành chân mày hơi đông lại một cái, đứng ra nói: "Xin Thánh thượng sớm phái người đi, đi chậm, coi như ai cũng không cứu được à."

	Lý Uyên đối với Lô Hoa Nương an nguy cũng không để bụng, đối với thế gia, bất kể là Thôi gia vẫn là Lô gia, hắn cũng không có hảo cảm gì, Lô Hoa Nương chết thì chết.

	Nhưng Tần Thiên không thể chết được à, cho nên, hắn lập tức phân phó nói: " Người đâu, để cho hoàng gia thân quân đi cứu người, có thể ngăn cản Tần Thiên, nhất định phải ngăn lại hắn."

	Lý Uyên phân phó sau đó, trong cung thị vệ trần kiếm lập tức dẫn năm mươi tên thiên tử thân quân hướng bên ngoài thành chạy tới, trong cung bên này, Lý Thế Dân và Lô Hành bọn họ mặc dù cũng dựa theo Tần Thiên nói đi làm, có thể trong lòng rốt cuộc có chút bất an.

	Bọn họ hoàn toàn không hiểu rõ Tần Thiên phải làm gì, chỉ như vậy là có thể đem Lô Hoa Nương cho cứu ra?

	Chỉ bằng Tần Thiên một người đi, là có thể cứu người?

	Bọn họ càng nghĩ càng cảm giác được mình chỉ số thông minh gặp phải làm nhục.

	Cho nên rời đi hoàng cung sau đó, hai người không hẹn mà cùng, vậy đều mang riêng mình người ra thành Trường An.

	Lý Kiến Thành nơi này, nhưng thật ra là cố ý trì hoãn thời gian, bất quá hắn phụ hoàng lo âu Tần Thiên, cái này làm cho hắn cảm thấy rất không ổn, vạn nhất thật đem Tần Thiên cản lại, vậy Tần Thiên không phải lại sống đến giờ?

	Nghĩ tới nghĩ lui, hắn cảm thấy chỉ có đem việc này cho biết Thôi gia, bức bách Thôi gia mới được, đem Thôi gia ép, bọn họ nói không chừng sẽ trực tiếp giết Lô Hoa Nương diệt khẩu.

	Lô Hoa Nương chết, Tần Thiên cùng Thôi gia oán thù thì càng không cỡi được.

	Thôi gia, Thôi Đồng biết được triều đình phái binh cứu viện Lô Hoa Nương sau đó, nhất thời lo lắng không thôi, vạn nhất không có thể giết Tần Thiên, ngược lại bị triều đình thân quân bao vây, vậy bọn họ Thôi gia có thể gặp phiền toái.

	Vừa đọc dậy, Thôi Đồng lập tức phân phó một tên đầy tớ sao đường tắt, ngựa chiến gia roi chạy tới phế trạch, để cho Thôi Nguyên Hạo nhanh giết người rời đi.

	Người làm lĩnh mệnh sau đó cỡi khoái mã rời đi thành Trường An, hướng phế trạch chạy tới.

	Bất quá cùng hắn chạy tới phế trạch sau đó, nhưng phát hiện phế trạch bên trong hết sức yên lặng, thậm chí liền vết máu đều không làm sao thấy được.

	Hắn cảm thấy rất kỳ quái, đang muốn tìm tòi tra một chút phế trạch lúc này đột nhiên nghe phía bên ngoài có động tĩnh truyền tới, người nọ không dám chần chờ, vội vàng tìm một chỗ núp vào.

	Mà đang ở hắn mới vừa tìm tốt chỗ trốn, phế trạch cửa liền bị người cho một chân đạp mở ra.

	"Tìm tòi, nhất định phải tìm được Lô Hoa Nương và Đường Mộc, sống thì thấy người, chết phải thấy thi thể." Trần kiếm sau khi đi vào cao giọng hô, mà ngay tại lúc này, một người thị vệ vội vả chạy tới: " Sếp, phát hiện một cổ thi thể, hình như là. . . Thôi gia công tử."

	"Thôi Nguyên Hạo?" Trần kiếm thần sắc đột nhiên động một cái, vội vàng dẫn người đi trước tra xem, trốn Thôi gia người làm, nhưng là trong lòng trầm xuống.Chương 169: Sợ tội tự sát 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Thành Trường An.

	Lý Thế Dân dựa theo Tần Thiên theo như lời, ở Tần Thiên cách mở 2 tiếng sau đó, vội vã vào hoàng cung.

