Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Cửa sông thành tình hình tai nạn lấy được khống chế.
	"Chúng ta chỉ như vậy đi, bất kể là Ngô Đại Đính cũng hoặc là là Dã đảng những người đó, sợ rằng cũng sẽ không tin tưởng, cho nên chúng ta muốn mê muội bọn họ một chút, tìm mấy người giả trang chúng ta, đi kinh thành phương hướng, chuyện này, có thể giao cho Vương Hân đi làm, đồng thời, để cho Vương Hân vậy đi theo cùng đi, như vậy càng có thể làm cho người tin tưởng."

	"Còn nữa, những người còn lại chia ba đường, Trình Xử Mặc và Úy Trì Bảo Lâm hai người đi trung quân doanh dời cứu binh, chạy tới thành Tương Dương, vậy Sơn nam đạo đô đốc Vạn Niên trong tay có một ít binh mã, vạn nhất ép bọn họ, chỉ sợ bọn họ phải mạo hiểm làm việc, có binh mã đoạn hậu, đối với chúng ta mà nói là chuyện tốt."

	Tần Thiên đưa cái này nói xong, Lý Thế Dân gật đầu một cái, Lý Thế Dân sau khi gật đầu, Trình Xử Mặc và Úy Trì Bảo Lâm hai người lập tức liền đồng ý.

	Bên này, Tần Thiên lại tiếp tục nói: "Tần Hoài Ngọc ở lại cửa sông thành, tiếp tục giám thị Ngô Đại Đính, ta và Nhị gia mười tám bọn họ, đi đường mòn chạy tới thành Tương Dương, lặng lẽ đợi thời cơ."

	Tần Thiên đem bọn họ những người này phân công cho an bài một chút, hắn an bài có thể nói là giọt nước cũng không lọt.

	Mà hắn như thế sau khi nói xong, Lý Thế Dân vậy rất là đồng ý.

	"Ngày hôm nay chúng ta liền bắt đầu hành động đi."

	Bọn họ người thiếu, muốn lặng lẽ rời đi, cũng không phải là khó khăn gì sự việc, hơn nữa có Vương Hân người phụ nữ này giúp bọn họ che chở, hết thảy tự nhiên cũng chỉ càng thêm không là vấn đề.

	Còn như Vương Hân, nghe xong Lý Thế Dân an bài sau đó, cũng không chút nào chần chờ, vội vàng liền đồng ý.

	----------------------

	Lý Thế Dân và Tần Thiên bọn họ bên này làm hành động thời điểm, phủ thứ sử Ngô Đại Đính nhưng là đột nhiên thở dài một cái.

	Tần Thiên các người phải đi, đối với hắn mà nói là chuyện tốt, nhưng đồng thời lại chưa tính là tốt biết bao sự việc.

	Hắn đi tới hậu viện, đem mình mấy đứa bé kêu tới.

	Hắn có ba đứa bé, tuổi tác cũng không coi là quá lớn, cũng đang đứng ở vỡ lòng giai đoạn.

	Mấy hài tử này rất thông minh, học chữ đi học cái gì, cũng so hắn cái này lão thân phụ mạnh, nếu như sau này tham gia khoa cử thi, nói không chừng bọn họ Ngô gia muốn một môn tầng 3 sĩ.

	Hắn quét một vòng, cuối cùng nhìn về lão đại Ngô bác, nói: "Bác mà, ngươi tuổi tác cũng không nhỏ, cha đưa ngươi đi thành Tương Dương đi học như thế nào?"

	Thành Tương Dương cách bọn họ nơi này không hề coi là xa, cỡi ngựa nói cũng chỉ mấy ngày chặng đường, bất quá đối với một đứa con nít mà nói, chỉ như vậy để cho hắn rời nhà, hắn thật là có điểm bỏ không được.

	Ngô bác muốn khóc, nhưng cuối cùng nhưng ráng nhịn xuống, chẳng qua là ánh mắt có chút ướt át.

	Nhìn ủy khuất như vậy nhi tử, Ngô Đại Đính đột nhiên đem hắn kéo vào trong ngực.

	Hắn vậy không có cách nào à, muốn gia nhập Dã đảng, phải có đầu danh trạng mới được, mà đây đầu danh trạng, trừ tiền tài ra, còn nữa chính là, phải để cho mình xương thịt đi thành Tương Dương làm người thế chấp.

	Dù là Dã đảng lần này không có cần Ngô Đại Đính tiền tài, nhưng muốn hắn nhi tử đi làm con tin cái này, nhưng là không thể thiếu được.

	Dĩ nhiên, đối với Ngô Đại Đính mà nói, hắn cũng chỉ là có chút bỏ không được xương thịt chia lìa thôi, nếu như không phải là không đành lòng chia lìa, hắn vẫn là rất tình nguyện để cho mình nhi tử đi làm con tin.

	Nói là làm người thế chấp, thật ra thì đi thành Tương Dương sau đó, cũng sẽ bị an bài đến một cái tư thục bên trong đi, ở nơi này tư thục bên trong, có những thứ khác rất nhiều Dã đảng thành viên đứa trẻ, bọn họ ở chỗ này sẽ rất tốt lão sư giáo sư các loại các dạng kiến thức.

	Mấy năm sau đó, cùng bọn họ đi ra, học thức năng lực cái gì, nhất định so với người khác rất là không giống nhau.

	Đây cũng là Dương lão ban đầu nói ra, bọn họ muốn từ nhỏ liền là bọn họ Dã đảng đào tạo một nhóm người có thể xài được, mười mấy năm sau, những đứa nhỏ này lớn lên, bọn họ ắt sẽ tại Đại đường trên sân khấu thi triển hoài bão.

	Mà hắn nhi tử lúc đi ra, nhất định là một cái rất có mới học người, Ngô Đại Đính dĩ nhiên là hy vọng thấy, ai có thể lại nhẫn tâm theo mình nhi tử chia lìa đâu ?

	Phụ tử hai người ôm, vậy Ngô bác rốt cuộc vẫn là không nhịn được khóc.

	Cuối hè gió đã có chút lạnh lẻo, mắt xem thì phải nhập thu, cửa sông thành thu đi tới không hề coi là sớm, nhưng vẫn có liền như vậy một chút thu ý.

	Thu ý nồng, thiếu người buồn.

	Như vậy theo mình nhi tử đem sự việc sau khi nói xong, Ngô Đại Đính trở về lại thư phòng, đem mình thân tín tìm tới.

	"Ngươi phái người đi theo Tần Thiên và Lý Thế Dân những người đó, xem xem bọn họ có phải hay không thật hồi kinh."

	Cái yêu cầu này, cũng không phải là bởi vì Ngô Đại Đính sanh tính cẩn thận, sợ Tần Thiên các người không phải thật rời đi, mà là Dã đảng người ở lúc rời đi, cố ý dặn dò hắn, muốn hắn thời khắc chú ý Tần Thiên đám người chiều hướng, coi như Tần Thiên các người phải rời khỏi, vậy phải giám thị 5-6 ngày mới được.

	Dã đảng người, mới là thật cẩn thận tỉ mỉ.

	Ngô Đại Đính như vậy an bài xong xuôi sau đó, tên thân tín kia cũng không chút nào chần chờ, gật đầu cũng đồng ý xuống.

	Thân tín thối lui, Ngô Đại Đính mới rốt cục thở phào nhẹ nhõm, đã nhiều năm như vậy, hắn vẫn luôn cảm giác được mình rất khó lại kéo lên một bước, có thể đương cơ sẽ lúc tới, hắn phát hiện mình vận khí lại tốt không được, có Tần Thiên ở thành Trường An giúp hắn nói hạng, có Dã đảng âm thầm nâng đỡ, hắn nhập thành Trường An, trong tầm tay à.

Converter Dzung Kiều cầu ủng hộ bộ Nam Tống Đệ Nhất Nằm Vùng <a href="https://truyen.tangthuvien.vn/doc-truyen/nam-tong-de-nhat-ngoa-de">https://truyen.tangthuvien.vn/doc-truyen/nam-tong-de-nhat-ngoa-de</a>Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Cửa sông thành tình hình tai nạn lấy được khống chế.

	Phủ thứ sử Ngô Đại Đính cuối cùng là thở phào nhẹ nhõm.

	Mà ngay tại lúc này, Lý Thế Dân và Tần Thiên các người viếng thăm.

	Vốn là, giống như bọn họ người như vậy, Ngô Đại Đính là sẽ không dễ dàng thấy, nhưng khi biết trong đó có Tần Thiên sau đó, hắn nhưng cũng không dám không gặp.

	Hắn nếu không phải gặp, hắn tin tưởng những người này dám trực tiếp vọt vào phủ nha tới.

	Hơn nữa chính là đánh hắn, hắn cũng không dám như thế nào.

	Rất nhanh, hắn liền sai người đem Tần Thiên các người mời tới đây.

	"Ngô đại nhân, hôm nay tình hình tai nạn lấy được khống chế, bọn ta vậy thì không cần tiếp tục lưu lại, ngày mai chúng ta chuẩn bị rời đi, ngày hôm nay đặc biệt tới cáo từ."

	Nghe được Tần Thiên các người phải đi, Ngô Đại Đính trong lòng liền có chút nhỏ hưng phấn, những người này đi, thì chẳng khác nào đưa đi Ôn thần à, hắn muốn gia nhập Dã đảng cũng chỉ dễ dàng.

	"Cửa sông thành tình hình tai nạn có thể có được giải quyết, chư vị có thể nói là công không thể không có, sau này ta sẽ xây một cái công lao bia, đem chư vị tên chữ cũng cho khắc lên."

	Tần Thiên cười yếu ớt: "Ngô đại nhân khách khí, ta từ kinh thành ở đây, ở kinh thành bên kia biết không thiếu bằng hữu, Ngô đại nhân làm nơi là, ta sẽ nói cho những người bạn nầy, để cho bọn họ giúp Ngô đại nhân nói một ít lời."

	"À, Tần công tử còn có quan hệ như vậy, đó thật đúng là vô cùng cảm kích."

	Ngô Đại Đính là một người thông minh, hắn biết, nếu như mình cự tuyệt Tần Thiên như vậy tốt ý, vậy khẳng định sẽ bị người hoài nghi, thành tựu trong quan trường người, chỉ có ưa chuộng quyền lực mới là bình thường tình huống.

	Mà hắn lúc này nội tâm cũng đích xác là hưng phấn, bởi vì Tần Thiên tuy nói là biết những người khác, nhưng hắn biết, Tần Thiên nói nhưng thật ra là mình, trở lại thành Trường An sau đó, Tần Thiên có thể phải giúp mình nói mấy câu.

	Chỉ cần Tần Thiên chịu hỗ trợ, vậy hắn ở cửa sông thành thứ sử trên vị trí này, sợ cũng ngồi không lâu dài.

	Như vậy sau khi nói xong, Tần Thiên và Lý Thế Dân bọn họ liền đứng dậy cáo từ.

	Rời đi phủ nha sau đó, Lý Thế Dân và Tần Thiên liền bắt đầu thương nghị chuyện kế tiếp.

	"Chúng ta chỉ như vậy đi, bất kể là Ngô Đại Đính cũng hoặc là là Dã đảng những người đó, sợ rằng cũng sẽ không tin tưởng, cho nên chúng ta muốn mê muội bọn họ một chút, tìm mấy người giả trang chúng ta, đi kinh thành phương hướng, chuyện này, có thể giao cho Vương Hân đi làm, đồng thời, để cho Vương Hân vậy đi theo cùng đi, như vậy càng có thể làm cho người tin tưởng."

	"Còn nữa, những người còn lại chia ba đường, Trình Xử Mặc và Úy Trì Bảo Lâm hai người đi trung quân doanh dời cứu binh, chạy tới thành Tương Dương, vậy Sơn nam đạo đô đốc Vạn Niên trong tay có một ít binh mã, vạn nhất ép bọn họ, chỉ sợ bọn họ phải mạo hiểm làm việc, có binh mã đoạn hậu, đối với chúng ta mà nói là chuyện tốt."

	Tần Thiên đưa cái này nói xong, Lý Thế Dân gật đầu một cái, Lý Thế Dân sau khi gật đầu, Trình Xử Mặc và Úy Trì Bảo Lâm hai người lập tức liền đồng ý.

	Bên này, Tần Thiên lại tiếp tục nói: "Tần Hoài Ngọc ở lại cửa sông thành, tiếp tục giám thị Ngô Đại Đính, ta và Nhị gia mười tám bọn họ, đi đường mòn chạy tới thành Tương Dương, lặng lẽ đợi thời cơ."

	Tần Thiên đem bọn họ những người này phân công cho an bài một chút, hắn an bài có thể nói là giọt nước cũng không lọt.

	Mà hắn như thế sau khi nói xong, Lý Thế Dân vậy rất là đồng ý.

	"Ngày hôm nay chúng ta liền bắt đầu hành động đi."

	Bọn họ người thiếu, muốn lặng lẽ rời đi, cũng không phải là khó khăn gì sự việc, hơn nữa có Vương Hân người phụ nữ này giúp bọn họ che chở, hết thảy tự nhiên cũng chỉ càng thêm không là vấn đề.

	Còn như Vương Hân, nghe xong Lý Thế Dân an bài sau đó, cũng không chút nào chần chờ, vội vàng liền đồng ý.

	----------------------

	Lý Thế Dân và Tần Thiên bọn họ bên này làm hành động thời điểm, phủ thứ sử Ngô Đại Đính nhưng là đột nhiên thở dài một cái.

	Tần Thiên các người phải đi, đối với hắn mà nói là chuyện tốt, nhưng đồng thời lại chưa tính là tốt biết bao sự việc.

	Hắn đi tới hậu viện, đem mình mấy đứa bé kêu tới.

	Hắn có ba đứa bé, tuổi tác cũng không coi là quá lớn, cũng đang đứng ở vỡ lòng giai đoạn.

	Mấy hài tử này rất thông minh, học chữ đi học cái gì, cũng so hắn cái này lão thân phụ mạnh, nếu như sau này tham gia khoa cử thi, nói không chừng bọn họ Ngô gia muốn một môn tầng 3 sĩ.

	Hắn quét một vòng, cuối cùng nhìn về lão đại Ngô bác, nói: "Bác mà, ngươi tuổi tác cũng không nhỏ, cha đưa ngươi đi thành Tương Dương đi học như thế nào?"

	Thành Tương Dương cách bọn họ nơi này không hề coi là xa, cỡi ngựa nói cũng chỉ mấy ngày chặng đường, bất quá đối với một đứa con nít mà nói, chỉ như vậy để cho hắn rời nhà, hắn thật là có điểm bỏ không được.

	Ngô bác muốn khóc, nhưng cuối cùng nhưng ráng nhịn xuống, chẳng qua là ánh mắt có chút ướt át.

	Nhìn ủy khuất như vậy nhi tử, Ngô Đại Đính đột nhiên đem hắn kéo vào trong ngực.

	Hắn vậy không có cách nào à, muốn gia nhập Dã đảng, phải có đầu danh trạng mới được, mà đây đầu danh trạng, trừ tiền tài ra, còn nữa chính là, phải để cho mình xương thịt đi thành Tương Dương làm người thế chấp.

	Dù là Dã đảng lần này không có cần Ngô Đại Đính tiền tài, nhưng muốn hắn nhi tử đi làm con tin cái này, nhưng là không thể thiếu được.

	Dĩ nhiên, đối với Ngô Đại Đính mà nói, hắn cũng chỉ là có chút bỏ không được xương thịt chia lìa thôi, nếu như không phải là không đành lòng chia lìa, hắn vẫn là rất tình nguyện để cho mình nhi tử đi làm con tin.

	Nói là làm người thế chấp, thật ra thì đi thành Tương Dương sau đó, cũng sẽ bị an bài đến một cái tư thục bên trong đi, ở nơi này tư thục bên trong, có những thứ khác rất nhiều Dã đảng thành viên đứa trẻ, bọn họ ở chỗ này sẽ rất tốt lão sư giáo sư các loại các dạng kiến thức.

	Mấy năm sau đó, cùng bọn họ đi ra, học thức năng lực cái gì, nhất định so với người khác rất là không giống nhau.

	Đây cũng là Dương lão ban đầu nói ra, bọn họ muốn từ nhỏ liền là bọn họ Dã đảng đào tạo một nhóm người có thể xài được, mười mấy năm sau, những đứa nhỏ này lớn lên, bọn họ ắt sẽ tại Đại đường trên sân khấu thi triển hoài bão.

	Mà hắn nhi tử lúc đi ra, nhất định là một cái rất có mới học người, Ngô Đại Đính dĩ nhiên là hy vọng thấy, ai có thể lại nhẫn tâm theo mình nhi tử chia lìa đâu ?

	Phụ tử hai người ôm, vậy Ngô bác rốt cuộc vẫn là không nhịn được khóc.

	Cuối hè gió đã có chút lạnh lẻo, mắt xem thì phải nhập thu, cửa sông thành thu đi tới không hề coi là sớm, nhưng vẫn có liền như vậy một chút thu ý.

	Thu ý nồng, thiếu người buồn.

	Như vậy theo mình nhi tử đem sự việc sau khi nói xong, Ngô Đại Đính trở về lại thư phòng, đem mình thân tín tìm tới.

	"Ngươi phái người đi theo Tần Thiên và Lý Thế Dân những người đó, xem xem bọn họ có phải hay không thật hồi kinh."

	Cái yêu cầu này, cũng không phải là bởi vì Ngô Đại Đính sanh tính cẩn thận, sợ Tần Thiên các người không phải thật rời đi, mà là Dã đảng người ở lúc rời đi, cố ý dặn dò hắn, muốn hắn thời khắc chú ý Tần Thiên đám người chiều hướng, coi như Tần Thiên các người phải rời khỏi, vậy phải giám thị 5-6 ngày mới được.

	Dã đảng người, mới là thật cẩn thận tỉ mỉ.

	Ngô Đại Đính như vậy an bài xong xuôi sau đó, tên thân tín kia cũng không chút nào chần chờ, gật đầu cũng đồng ý xuống.

	Thân tín thối lui, Ngô Đại Đính mới rốt cục thở phào nhẹ nhõm, đã nhiều năm như vậy, hắn vẫn luôn cảm giác được mình rất khó lại kéo lên một bước, có thể đương cơ sẽ lúc tới, hắn phát hiện mình vận khí lại tốt không được, có Tần Thiên ở thành Trường An giúp hắn nói hạng, có Dã đảng âm thầm nâng đỡ, hắn nhập thành Trường An, trong tầm tay à.

Converter Dzung Kiều cầu ủng hộ bộ Nam Tống Đệ Nhất Nằm Vùng <a href="https://truyen.tangthuvien.vn/doc-truyen/nam-tong-de-nhat-ngoa-de">https://truyen.tangthuvien.vn/doc-truyen/nam-tong-de-nhat-ngoa-de</a>Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Cửa sông thành tình hình tai nạn lấy được khống chế.

	Phủ thứ sử Ngô Đại Đính cuối cùng là thở phào nhẹ nhõm.

	Mà ngay tại lúc này, Lý Thế Dân và Tần Thiên các người viếng thăm.

	Vốn là, giống như bọn họ người như vậy, Ngô Đại Đính là sẽ không dễ dàng thấy, nhưng khi biết trong đó có Tần Thiên sau đó, hắn nhưng cũng không dám không gặp.

	Hắn nếu không phải gặp, hắn tin tưởng những người này dám trực tiếp vọt vào phủ nha tới.

	Hơn nữa chính là đánh hắn, hắn cũng không dám như thế nào.

	Rất nhanh, hắn liền sai người đem Tần Thiên các người mời tới đây.

	"Ngô đại nhân, hôm nay tình hình tai nạn lấy được khống chế, bọn ta vậy thì không cần tiếp tục lưu lại, ngày mai chúng ta chuẩn bị rời đi, ngày hôm nay đặc biệt tới cáo từ."

	Nghe được Tần Thiên các người phải đi, Ngô Đại Đính trong lòng liền có chút nhỏ hưng phấn, những người này đi, thì chẳng khác nào đưa đi Ôn thần à, hắn muốn gia nhập Dã đảng cũng chỉ dễ dàng.

	"Cửa sông thành tình hình tai nạn có thể có được giải quyết, chư vị có thể nói là công không thể không có, sau này ta sẽ xây một cái công lao bia, đem chư vị tên chữ cũng cho khắc lên."

	Tần Thiên cười yếu ớt: "Ngô đại nhân khách khí, ta từ kinh thành ở đây, ở kinh thành bên kia biết không thiếu bằng hữu, Ngô đại nhân làm nơi là, ta sẽ nói cho những người bạn nầy, để cho bọn họ giúp Ngô đại nhân nói một ít lời."

	"À, Tần công tử còn có quan hệ như vậy, đó thật đúng là vô cùng cảm kích."

	Ngô Đại Đính là một người thông minh, hắn biết, nếu như mình cự tuyệt Tần Thiên như vậy tốt ý, vậy khẳng định sẽ bị người hoài nghi, thành tựu trong quan trường người, chỉ có ưa chuộng quyền lực mới là bình thường tình huống.

	Mà hắn lúc này nội tâm cũng đích xác là hưng phấn, bởi vì Tần Thiên tuy nói là biết những người khác, nhưng hắn biết, Tần Thiên nói nhưng thật ra là mình, trở lại thành Trường An sau đó, Tần Thiên có thể phải giúp mình nói mấy câu.

	Chỉ cần Tần Thiên chịu hỗ trợ, vậy hắn ở cửa sông thành thứ sử trên vị trí này, sợ cũng ngồi không lâu dài.

	Như vậy sau khi nói xong, Tần Thiên và Lý Thế Dân bọn họ liền đứng dậy cáo từ.

	Rời đi phủ nha sau đó, Lý Thế Dân và Tần Thiên liền bắt đầu thương nghị chuyện kế tiếp.

	"Chúng ta chỉ như vậy đi, bất kể là Ngô Đại Đính cũng hoặc là là Dã đảng những người đó, sợ rằng cũng sẽ không tin tưởng, cho nên chúng ta muốn mê muội bọn họ một chút, tìm mấy người giả trang chúng ta, đi kinh thành phương hướng, chuyện này, có thể giao cho Vương Hân đi làm, đồng thời, để cho Vương Hân vậy đi theo cùng đi, như vậy càng có thể làm cho người tin tưởng."

	"Còn nữa, những người còn lại chia ba đường, Trình Xử Mặc và Úy Trì Bảo Lâm hai người đi trung quân doanh dời cứu binh, chạy tới thành Tương Dương, vậy Sơn nam đạo đô đốc Vạn Niên trong tay có một ít binh mã, vạn nhất ép bọn họ, chỉ sợ bọn họ phải mạo hiểm làm việc, có binh mã đoạn hậu, đối với chúng ta mà nói là chuyện tốt."

	Tần Thiên đưa cái này nói xong, Lý Thế Dân gật đầu một cái, Lý Thế Dân sau khi gật đầu, Trình Xử Mặc và Úy Trì Bảo Lâm hai người lập tức liền đồng ý.

	Bên này, Tần Thiên lại tiếp tục nói: "Tần Hoài Ngọc ở lại cửa sông thành, tiếp tục giám thị Ngô Đại Đính, ta và Nhị gia mười tám bọn họ, đi đường mòn chạy tới thành Tương Dương, lặng lẽ đợi thời cơ."

	Tần Thiên đem bọn họ những người này phân công cho an bài một chút, hắn an bài có thể nói là giọt nước cũng không lọt.

	Mà hắn như thế sau khi nói xong, Lý Thế Dân vậy rất là đồng ý.

	"Ngày hôm nay chúng ta liền bắt đầu hành động đi."

	Bọn họ người thiếu, muốn lặng lẽ rời đi, cũng không phải là khó khăn gì sự việc, hơn nữa có Vương Hân người phụ nữ này giúp bọn họ che chở, hết thảy tự nhiên cũng chỉ càng thêm không là vấn đề.

	Còn như Vương Hân, nghe xong Lý Thế Dân an bài sau đó, cũng không chút nào chần chờ, vội vàng liền đồng ý.

	----------------------

	Lý Thế Dân và Tần Thiên bọn họ bên này làm hành động thời điểm, phủ thứ sử Ngô Đại Đính nhưng là đột nhiên thở dài một cái.

	Tần Thiên các người phải đi, đối với hắn mà nói là chuyện tốt, nhưng đồng thời lại chưa tính là tốt biết bao sự việc.

	Hắn đi tới hậu viện, đem mình mấy đứa bé kêu tới.

	Hắn có ba đứa bé, tuổi tác cũng không coi là quá lớn, cũng đang đứng ở vỡ lòng giai đoạn.

	Mấy hài tử này rất thông minh, học chữ đi học cái gì, cũng so hắn cái này lão thân phụ mạnh, nếu như sau này tham gia khoa cử thi, nói không chừng bọn họ Ngô gia muốn một môn tầng 3 sĩ.

	Hắn quét một vòng, cuối cùng nhìn về lão đại Ngô bác, nói: "Bác mà, ngươi tuổi tác cũng không nhỏ, cha đưa ngươi đi thành Tương Dương đi học như thế nào?"

	Thành Tương Dương cách bọn họ nơi này không hề coi là xa, cỡi ngựa nói cũng chỉ mấy ngày chặng đường, bất quá đối với một đứa con nít mà nói, chỉ như vậy để cho hắn rời nhà, hắn thật là có điểm bỏ không được.

	Ngô bác muốn khóc, nhưng cuối cùng nhưng ráng nhịn xuống, chẳng qua là ánh mắt có chút ướt át.

	Nhìn ủy khuất như vậy nhi tử, Ngô Đại Đính đột nhiên đem hắn kéo vào trong ngực.

	Hắn vậy không có cách nào à, muốn gia nhập Dã đảng, phải có đầu danh trạng mới được, mà đây đầu danh trạng, trừ tiền tài ra, còn nữa chính là, phải để cho mình xương thịt đi thành Tương Dương làm người thế chấp.

	Dù là Dã đảng lần này không có cần Ngô Đại Đính tiền tài, nhưng muốn hắn nhi tử đi làm con tin cái này, nhưng là không thể thiếu được.

	Dĩ nhiên, đối với Ngô Đại Đính mà nói, hắn cũng chỉ là có chút bỏ không được xương thịt chia lìa thôi, nếu như không phải là không đành lòng chia lìa, hắn vẫn là rất tình nguyện để cho mình nhi tử đi làm con tin.

	Nói là làm người thế chấp, thật ra thì đi thành Tương Dương sau đó, cũng sẽ bị an bài đến một cái tư thục bên trong đi, ở nơi này tư thục bên trong, có những thứ khác rất nhiều Dã đảng thành viên đứa trẻ, bọn họ ở chỗ này sẽ rất tốt lão sư giáo sư các loại các dạng kiến thức.

	Mấy năm sau đó, cùng bọn họ đi ra, học thức năng lực cái gì, nhất định so với người khác rất là không giống nhau.

	Đây cũng là Dương lão ban đầu nói ra, bọn họ muốn từ nhỏ liền là bọn họ Dã đảng đào tạo một nhóm người có thể xài được, mười mấy năm sau, những đứa nhỏ này lớn lên, bọn họ ắt sẽ tại Đại đường trên sân khấu thi triển hoài bão.

	Mà hắn nhi tử lúc đi ra, nhất định là một cái rất có mới học người, Ngô Đại Đính dĩ nhiên là hy vọng thấy, ai có thể lại nhẫn tâm theo mình nhi tử chia lìa đâu ?

	Phụ tử hai người ôm, vậy Ngô bác rốt cuộc vẫn là không nhịn được khóc.

	Cuối hè gió đã có chút lạnh lẻo, mắt xem thì phải nhập thu, cửa sông thành thu đi tới không hề coi là sớm, nhưng vẫn có liền như vậy một chút thu ý.

	Thu ý nồng, thiếu người buồn.

	Như vậy theo mình nhi tử đem sự việc sau khi nói xong, Ngô Đại Đính trở về lại thư phòng, đem mình thân tín tìm tới.

	"Ngươi phái người đi theo Tần Thiên và Lý Thế Dân những người đó, xem xem bọn họ có phải hay không thật hồi kinh."

	Cái yêu cầu này, cũng không phải là bởi vì Ngô Đại Đính sanh tính cẩn thận, sợ Tần Thiên các người không phải thật rời đi, mà là Dã đảng người ở lúc rời đi, cố ý dặn dò hắn, muốn hắn thời khắc chú ý Tần Thiên đám người chiều hướng, coi như Tần Thiên các người phải rời khỏi, vậy phải giám thị 5-6 ngày mới được.

	Dã đảng người, mới là thật cẩn thận tỉ mỉ.

	Ngô Đại Đính như vậy an bài xong xuôi sau đó, tên thân tín kia cũng không chút nào chần chờ, gật đầu cũng đồng ý xuống.

	Thân tín thối lui, Ngô Đại Đính mới rốt cục thở phào nhẹ nhõm, đã nhiều năm như vậy, hắn vẫn luôn cảm giác được mình rất khó lại kéo lên một bước, có thể đương cơ sẽ lúc tới, hắn phát hiện mình vận khí lại tốt không được, có Tần Thiên ở thành Trường An giúp hắn nói hạng, có Dã đảng âm thầm nâng đỡ, hắn nhập thành Trường An, trong tầm tay à.

Converter Dzung Kiều cầu ủng hộ bộ Nam Tống Đệ Nhất Nằm Vùng <a href="https://truyen.tangthuvien.vn/doc-truyen/nam-tong-de-nhat-ngoa-de">https://truyen.tangthuvien.vn/doc-truyen/nam-tong-de-nhat-ngoa-de</a>Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Cửa sông thành tình hình tai nạn lấy được khống chế.

	Phủ thứ sử Ngô Đại Đính cuối cùng là thở phào nhẹ nhõm.

	Mà ngay tại lúc này, Lý Thế Dân và Tần Thiên các người viếng thăm.

	Vốn là, giống như bọn họ người như vậy, Ngô Đại Đính là sẽ không dễ dàng thấy, nhưng khi biết trong đó có Tần Thiên sau đó, hắn nhưng cũng không dám không gặp.

	Hắn nếu không phải gặp, hắn tin tưởng những người này dám trực tiếp vọt vào phủ nha tới.

