Chương 112: Người chết 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Ấm áp thơm các tài nghệ so tài tiếp tục đi xuống.
	Tần Thiên gặp người đồ đen lại do dự, chân mày hơi chăm chú, lạnh lùng nói: "Giết."

	Lời mới vừa dứt, người đồ đen nhất thời sợ xuất mồ hôi lạnh cả người, vội vàng hô: "Đừng giết, đừng giết, là Thôi Nguyên Hạo phái chúng ta tới, chúng ta đều là hắn trong phủ phủ binh, mong rằng Tần công tử tha mạng à."

	"Thôi Nguyên Hạo?" Tần Thiên hơi giật mình một cái, hắn vốn là cho là thái tử người, dẫu sao thái tử lõm sâu quyền lực trong nước xoáy, đối với loại này ám sát sự việc hẳn là quen cửa quen nẻo, hắn phái người tới giết mình, lại không quá bình thường.

	Chẳng qua là hắn không nghĩ tới Thôi gia lại vậy sẽ phái người tới.

	Xem ra, những thế gia kia vậy không đơn giản à, loại chuyện này vậy không bớt làm.

	"Tần công tử tha mạng, tiểu nhân cũng là phụng mệnh làm việc à. . ."

	"Giết!"

	Ra lệnh một tiếng, Hồ Thập Bát đại đao đã rơi xuống, ngay sau đó tên quần áo đen kia liền đầu người rơi xuống đất, Tần Thiên lộ ra một tia cười nhạt, một cái muốn mạng hắn người, lại vẫn hy vọng xa vời có thể sống, thật là quá ngây thơ rồi.

	Hắn Tần Thiên là không biết cầm mạng mình đùa giỡn.

	Người có thể nhân từ, nhưng nhân từ là đối với mình thân nhân bạn bè, mà không phải là đối với địch nhân, nhân từ đối với địch nhân, chính là tàn nhẫn đối với mình.

	Hai người quần áo đen cứ như vậy bị giết, Tần Thiên và Hồ Thập Bát bọn họ cũng không một chút phản ứng, ban đầu tấn công thành Vân châu lúc này bọn họ liền gặp qua mổ giết.

	Đi qua chiến tranh tẩy rửa sau đó, người chết máu tanh coi là cái gì?

	Chẳng qua là bọn họ không cảm thấy có cái gì, Đường Dung và tiểu Thanh hai người nhưng là bị dọa sợ.

	Các nàng rốt cuộc là thâm khuê dặm người phụ nữ, trong ngày thường đơn giản chính là hoa điểu trùng cá, thi từ thư họa, vậy gặp qua như vậy máu tanh?

	"Tướng công, người chết, cái này. . . Đây có thể như thế nào cho phải à?"

	Đường Dung sợ nhào tới Tần Thiên trong ngực, Tần Thiên vỗ một cái nàng bả vai, nói: "Không có sao, không có sao à, có tướng công ở đây, hết thảy cũng biết tốt."

	Đêm lạnh như nước, núi xa xa lâm truyền đến mấy tiếng dã thú tiếng hô, muốn đến là ngửi thấy mùi máu tanh.Chương 112: Người chết 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Ấm áp thơm các tài nghệ so tài tiếp tục đi xuống.

	Chỉ bất quá Cửu công chúa như cũ đối với Tần Thiên vậy 2 bài thơ nhớ không quên, cho tới dù là Thôi Nguyên Hạo ngày hôm nay làm ra không thiếu kiệt tác, cũng là không có thể đưa tới Cửu công chúa chút nào hứng thú.

	Cái này làm cho Thôi Nguyên Hạo trong lòng đặc biệt khó chịu.

	Mình bị Tần Thiên đoạt người phụ nữ không tính là, lại vẫn bị hắn đoạt tài hoa ngọn gió?

	Hắn liền buồn bực, không phải đôi câu thơ sao, còn như Cửu công chúa nhớ không quên sao?

	Thôi Nguyên Hạo đối với Tần Thiên hận ý đột nhiên dày đặc rất nhiều.

	Hồi đến phủ sau đó, hắn liền lập tức đem trong phủ mấy tên thân tín phủ binh kêu tới.

	Dẫn đầu phủ binh kêu Trương Hổ, thân thủ không tệ, làm người vậy rất đặc biệt thông minh.

	"Thiếu gia, có gì phân phó?"

	"Ngươi mang mấy người, ra khỏi thành đuổi kịp Tần Thiên bọn họ, tìm một cơ hội giúp ta làm bọn họ."

	Trương Hổ thần sắc khẽ động, bất quá ngay sau đó liền gật đầu đồng ý, loại chuyện này, bọn họ trước kia cũng không phải chưa làm qua, dọc đường giết chết Tần Thiên, cái này có gì à?

	Trương Hổ trở về sau đó hơi làm lối ăn mặc, liền dẫn người rời đi thành Trường An, Thôi Nguyên Hạo nơi này, chính là lộ ra một tia cười nhạt: "Hừ, không phải cỏ dại người, ta để cho ngươi biến thành người chết, xem ngươi có còn hay không năng lực đi công danh vạn dặm bên ngoài."

	Từ Trường An đi bắc đi, thời tiết càng ngày càng hơn lạnh, gió rét xào xạc, thu ý càng dày đặc.

	Tần Thiên bọn họ đi 4-5 ngày chặng đường sau đó, đã là cách xa thành Trường An, đi tới một mảnh tương đối ít người khói địa phương.

	Chỗ này nhiều núi rừng, đường khó đi, bọn họ sợ rằng phải ở chỗ này đi lên 4-5 ngày.

	Ngày này chạng vạng tối, Tần Thiên bọn họ đoàn người đi mệt mỏi, trước mặt lại không có chòm xóm người ta có thể tá túc, cho nên cũng chỉ có thể tại chỗ nghỉ ngơi một đêm, cùng ngày mai sau khi trời sáng sẽ đi đi đường.

	Dừng lại sau đó, Hồ Thập Bát và Tần Ngũ bọn họ chém một ít củi đốt, lại bắt mấy con thịt rừng, lại đem mang hộ tới Túy mỹ nhân ôm một vò đi ra.

	Cùng thịt rừng nướng chín sau đó, liền Túy mỹ nhân tới ăn, ngược lại cũng vẫn không tệ.

	Chỉ bất quá Tần Thiên ăn tới, nhưng cảm thấy kém rất nhiều, không có biện pháp, bọn họ vậy chưa từng nghĩ muốn dọc đường nướng, cho nên gia vị gì cũng không có đợi, cái này nướng đi ra ngoài thịt rừng, ăn không khỏi quá nhạt một ít.

	Tần Thiên suy nghĩ, cùng lại đi ngang qua thành trấn lúc này bọn họ không thể gấp trước lên đường, phải nghĩ biện pháp mua một ít gia vị mới được, còn phải mua chảo, nếu không chỉ ăn thịt rừng, ăn dạ dày khó chịu.

	Mà đang ở mấy người ngồi ở đống lửa chung quanh như vậy vừa ăn vừa nói chuyện lúc này xa xa đột nhiên truyền tới từng cơn tiếng vó ngựa vang.

	Ngay sau đó, liền gặp sáu tên người đồ đen từ phía sau đuổi theo.

	Thấy những người quần áo đen này, Hồ Thập Bát nhất thời phi thân lên: "Công tử, chỉ sợ người tới không tốt, bất quá ngươi không cần lo lắng."

	Tần Thiên cười yếu ớt gật đầu, như cũ đi nhậu nhẹt, đối với chạy tới sáu tên người đồ đen, tựa như gặp vậy không gặp vậy.

	Trương Hổ dẫn người phi thân xuống ngựa, rất nhanh đem Tần Thiên mấy người bọn họ vây lại.

	"Tần Thiên, tiến lên nhận lấy cái chết." Trương Hổ cao quát một tiếng, Tần Thiên nhưng là rót một ly rượu nhàn nhạt uống một hớp: "Khẩu khí thật là lớn à."

	Trương Hổ ngưng mi, trong lòng đột nhiên có chút bất an, hắn làm loại chuyện này rất nhiều lần, có thể giống như Tần Thiên như vậy trấn định, nhưng vẫn là lần đầu tiên gặp phải.

	Vậy dưới tình huống, những người đó gặp phải thích khách, cũng biết rất hốt hoảng.

	Hắn nhìn Tần Thiên người bên người, 2 phụ nữ, hai cái đại hán, người phụ nữ tự nhiên không cần lo lắng, duy nhất cần phải cẩn thận, cũng chính là vậy hai cái đại hán.

	Bất quá bọn họ có sáu người, muốn giết Tần Thiên không khó lắm.

	Như vậy phân tích sau đó, Trương Hổ lòng tin tăng lên gấp bội, cười lạnh một tiếng sau đó, giơ đao liền hướng Tần Thiên đánh tới.

	Bất quá, ngay tại Trương Hổ bổ nhào lúc tới, Hồ Thập Bát đột nhiên động.

	Theo sát, là hắn vậy một chuôi đại đao.

	Đại đao phát rét, Trương Hổ dùng cũng là đao, nhưng hắn đao cùng Hồ Thập Bát đao so với, nhưng là kém xa lắc.

	Chốc lát bây giờ, hai đao đụng nhau, chỉ nghe đùng một thanh âm vang lên, Trương Hổ đại đao liền cắt đứt hai khúc, Trương Hổ cả kinh thất sắc, hồ đồ nói không tốt, đang muốn lui về phía sau.

	Đao khí đã tới, một tiếng hét thảm không thể phát ra, Trương Hổ đã là bị rơi xuống đại đao chém thành hai nửa.

	Còn dư lại năm tên người đồ đen thấy loại chuyện này, trong bụng nhất thời run lên, Trương Hổ là đầu bọn họ, là bọn họ trong những người này lợi hại nhất, bây giờ nhưng như vậy tùy tiện bị giết.

	Vậy bọn họ mấy người này, nơi đó là đại hán này đối thủ?

	Mấy người nhìn nhau một cái, sau đó liền lập tức xoay người chạy trốn.

	Bất quá, ngay tại bọn họ trốn lúc đi, bên cạnh Tần Ngũ đột nhiên phi thân lên, một súng chọn hạ một người, người nọ từ lập tức bay xuống, trên đất lăn mấy vòng sau đó, còn chưa kịp phản ứng, Hồ Thập Bát đại đao đã là đột nhiên gác ở trên cổ hắn.

	"Tha mạng, hảo hán tha mạng. . ."

	Lúc này, Tần Thiên mới chậm rãi từ bên cạnh đống lửa đứng lên, nhìn cái đó cầu xin tha thứ người đồ đen hỏi: "Ai phái các người tới?"

	Bị hỏi cái vấn đề này, người đồ đen ngược lại là do dự một chút, bọn họ làm là Thôi gia phủ binh, nếu là bị người biết hắn bán đứng Thôi Nguyên Hạo, vậy người nhà hắn chỉ sợ sẽ không có kết quả tốt à.

	Tần Thiên gặp người đồ đen lại do dự, chân mày hơi chăm chú, lạnh lùng nói: "Giết."

	Lời mới vừa dứt, người đồ đen nhất thời sợ xuất mồ hôi lạnh cả người, vội vàng hô: "Đừng giết, đừng giết, là Thôi Nguyên Hạo phái chúng ta tới, chúng ta đều là hắn trong phủ phủ binh, mong rằng Tần công tử tha mạng à."

	"Thôi Nguyên Hạo?" Tần Thiên hơi giật mình một cái, hắn vốn là cho là thái tử người, dẫu sao thái tử lõm sâu quyền lực trong nước xoáy, đối với loại này ám sát sự việc hẳn là quen cửa quen nẻo, hắn phái người tới giết mình, lại không quá bình thường.

	Chẳng qua là hắn không nghĩ tới Thôi gia lại vậy sẽ phái người tới.

	Xem ra, những thế gia kia vậy không đơn giản à, loại chuyện này vậy không bớt làm.

	"Tần công tử tha mạng, tiểu nhân cũng là phụng mệnh làm việc à. . ."

	"Giết!"

	Ra lệnh một tiếng, Hồ Thập Bát đại đao đã rơi xuống, ngay sau đó tên quần áo đen kia liền đầu người rơi xuống đất, Tần Thiên lộ ra một tia cười nhạt, một cái muốn mạng hắn người, lại vẫn hy vọng xa vời có thể sống, thật là quá ngây thơ rồi.

	Hắn Tần Thiên là không biết cầm mạng mình đùa giỡn.

	Người có thể nhân từ, nhưng nhân từ là đối với mình thân nhân bạn bè, mà không phải là đối với địch nhân, nhân từ đối với địch nhân, chính là tàn nhẫn đối với mình.

	Hai người quần áo đen cứ như vậy bị giết, Tần Thiên và Hồ Thập Bát bọn họ cũng không một chút phản ứng, ban đầu tấn công thành Vân châu lúc này bọn họ liền gặp qua mổ giết.

	Đi qua chiến tranh tẩy rửa sau đó, người chết máu tanh coi là cái gì?

	Chẳng qua là bọn họ không cảm thấy có cái gì, Đường Dung và tiểu Thanh hai người nhưng là bị dọa sợ.

	Các nàng rốt cuộc là thâm khuê dặm người phụ nữ, trong ngày thường đơn giản chính là hoa điểu trùng cá, thi từ thư họa, vậy gặp qua như vậy máu tanh?

	"Tướng công, người chết, cái này. . . Đây có thể như thế nào cho phải à?"

	Đường Dung sợ nhào tới Tần Thiên trong ngực, Tần Thiên vỗ một cái nàng bả vai, nói: "Không có sao, không có sao à, có tướng công ở đây, hết thảy cũng biết tốt."

	Đêm lạnh như nước, núi xa xa lâm truyền đến mấy tiếng dã thú tiếng hô, muốn đến là ngửi thấy mùi máu tanh.Chương 112: Người chết 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Ấm áp thơm các tài nghệ so tài tiếp tục đi xuống.

	Chỉ bất quá Cửu công chúa như cũ đối với Tần Thiên vậy 2 bài thơ nhớ không quên, cho tới dù là Thôi Nguyên Hạo ngày hôm nay làm ra không thiếu kiệt tác, cũng là không có thể đưa tới Cửu công chúa chút nào hứng thú.

	Cái này làm cho Thôi Nguyên Hạo trong lòng đặc biệt khó chịu.

	Mình bị Tần Thiên đoạt người phụ nữ không tính là, lại vẫn bị hắn đoạt tài hoa ngọn gió?

	Hắn liền buồn bực, không phải đôi câu thơ sao, còn như Cửu công chúa nhớ không quên sao?

	Thôi Nguyên Hạo đối với Tần Thiên hận ý đột nhiên dày đặc rất nhiều.

	Hồi đến phủ sau đó, hắn liền lập tức đem trong phủ mấy tên thân tín phủ binh kêu tới.

	Dẫn đầu phủ binh kêu Trương Hổ, thân thủ không tệ, làm người vậy rất đặc biệt thông minh.

	"Thiếu gia, có gì phân phó?"

	"Ngươi mang mấy người, ra khỏi thành đuổi kịp Tần Thiên bọn họ, tìm một cơ hội giúp ta làm bọn họ."

	Trương Hổ thần sắc khẽ động, bất quá ngay sau đó liền gật đầu đồng ý, loại chuyện này, bọn họ trước kia cũng không phải chưa làm qua, dọc đường giết chết Tần Thiên, cái này có gì à?

	Trương Hổ trở về sau đó hơi làm lối ăn mặc, liền dẫn người rời đi thành Trường An, Thôi Nguyên Hạo nơi này, chính là lộ ra một tia cười nhạt: "Hừ, không phải cỏ dại người, ta để cho ngươi biến thành người chết, xem ngươi có còn hay không năng lực đi công danh vạn dặm bên ngoài."

	Từ Trường An đi bắc đi, thời tiết càng ngày càng hơn lạnh, gió rét xào xạc, thu ý càng dày đặc.

	Tần Thiên bọn họ đi 4-5 ngày chặng đường sau đó, đã là cách xa thành Trường An, đi tới một mảnh tương đối ít người khói địa phương.

	Chỗ này nhiều núi rừng, đường khó đi, bọn họ sợ rằng phải ở chỗ này đi lên 4-5 ngày.

	Ngày này chạng vạng tối, Tần Thiên bọn họ đoàn người đi mệt mỏi, trước mặt lại không có chòm xóm người ta có thể tá túc, cho nên cũng chỉ có thể tại chỗ nghỉ ngơi một đêm, cùng ngày mai sau khi trời sáng sẽ đi đi đường.

	Dừng lại sau đó, Hồ Thập Bát và Tần Ngũ bọn họ chém một ít củi đốt, lại bắt mấy con thịt rừng, lại đem mang hộ tới Túy mỹ nhân ôm một vò đi ra.

	Cùng thịt rừng nướng chín sau đó, liền Túy mỹ nhân tới ăn, ngược lại cũng vẫn không tệ.

	Chỉ bất quá Tần Thiên ăn tới, nhưng cảm thấy kém rất nhiều, không có biện pháp, bọn họ vậy chưa từng nghĩ muốn dọc đường nướng, cho nên gia vị gì cũng không có đợi, cái này nướng đi ra ngoài thịt rừng, ăn không khỏi quá nhạt một ít.

	Tần Thiên suy nghĩ, cùng lại đi ngang qua thành trấn lúc này bọn họ không thể gấp trước lên đường, phải nghĩ biện pháp mua một ít gia vị mới được, còn phải mua chảo, nếu không chỉ ăn thịt rừng, ăn dạ dày khó chịu.

	Mà đang ở mấy người ngồi ở đống lửa chung quanh như vậy vừa ăn vừa nói chuyện lúc này xa xa đột nhiên truyền tới từng cơn tiếng vó ngựa vang.

	Ngay sau đó, liền gặp sáu tên người đồ đen từ phía sau đuổi theo.

	Thấy những người quần áo đen này, Hồ Thập Bát nhất thời phi thân lên: "Công tử, chỉ sợ người tới không tốt, bất quá ngươi không cần lo lắng."

	Tần Thiên cười yếu ớt gật đầu, như cũ đi nhậu nhẹt, đối với chạy tới sáu tên người đồ đen, tựa như gặp vậy không gặp vậy.

	Trương Hổ dẫn người phi thân xuống ngựa, rất nhanh đem Tần Thiên mấy người bọn họ vây lại.

	"Tần Thiên, tiến lên nhận lấy cái chết." Trương Hổ cao quát một tiếng, Tần Thiên nhưng là rót một ly rượu nhàn nhạt uống một hớp: "Khẩu khí thật là lớn à."

	Trương Hổ ngưng mi, trong lòng đột nhiên có chút bất an, hắn làm loại chuyện này rất nhiều lần, có thể giống như Tần Thiên như vậy trấn định, nhưng vẫn là lần đầu tiên gặp phải.

	Vậy dưới tình huống, những người đó gặp phải thích khách, cũng biết rất hốt hoảng.

	Hắn nhìn Tần Thiên người bên người, 2 phụ nữ, hai cái đại hán, người phụ nữ tự nhiên không cần lo lắng, duy nhất cần phải cẩn thận, cũng chính là vậy hai cái đại hán.

	Bất quá bọn họ có sáu người, muốn giết Tần Thiên không khó lắm.

	Như vậy phân tích sau đó, Trương Hổ lòng tin tăng lên gấp bội, cười lạnh một tiếng sau đó, giơ đao liền hướng Tần Thiên đánh tới.

	Bất quá, ngay tại Trương Hổ bổ nhào lúc tới, Hồ Thập Bát đột nhiên động.

	Theo sát, là hắn vậy một chuôi đại đao.

	Đại đao phát rét, Trương Hổ dùng cũng là đao, nhưng hắn đao cùng Hồ Thập Bát đao so với, nhưng là kém xa lắc.

	Chốc lát bây giờ, hai đao đụng nhau, chỉ nghe đùng một thanh âm vang lên, Trương Hổ đại đao liền cắt đứt hai khúc, Trương Hổ cả kinh thất sắc, hồ đồ nói không tốt, đang muốn lui về phía sau.

	Đao khí đã tới, một tiếng hét thảm không thể phát ra, Trương Hổ đã là bị rơi xuống đại đao chém thành hai nửa.

	Còn dư lại năm tên người đồ đen thấy loại chuyện này, trong bụng nhất thời run lên, Trương Hổ là đầu bọn họ, là bọn họ trong những người này lợi hại nhất, bây giờ nhưng như vậy tùy tiện bị giết.

	Vậy bọn họ mấy người này, nơi đó là đại hán này đối thủ?

	Mấy người nhìn nhau một cái, sau đó liền lập tức xoay người chạy trốn.

	Bất quá, ngay tại bọn họ trốn lúc đi, bên cạnh Tần Ngũ đột nhiên phi thân lên, một súng chọn hạ một người, người nọ từ lập tức bay xuống, trên đất lăn mấy vòng sau đó, còn chưa kịp phản ứng, Hồ Thập Bát đại đao đã là đột nhiên gác ở trên cổ hắn.

	"Tha mạng, hảo hán tha mạng. . ."

	Lúc này, Tần Thiên mới chậm rãi từ bên cạnh đống lửa đứng lên, nhìn cái đó cầu xin tha thứ người đồ đen hỏi: "Ai phái các người tới?"

	Bị hỏi cái vấn đề này, người đồ đen ngược lại là do dự một chút, bọn họ làm là Thôi gia phủ binh, nếu là bị người biết hắn bán đứng Thôi Nguyên Hạo, vậy người nhà hắn chỉ sợ sẽ không có kết quả tốt à.

	Tần Thiên gặp người đồ đen lại do dự, chân mày hơi chăm chú, lạnh lùng nói: "Giết."

	Lời mới vừa dứt, người đồ đen nhất thời sợ xuất mồ hôi lạnh cả người, vội vàng hô: "Đừng giết, đừng giết, là Thôi Nguyên Hạo phái chúng ta tới, chúng ta đều là hắn trong phủ phủ binh, mong rằng Tần công tử tha mạng à."

	"Thôi Nguyên Hạo?" Tần Thiên hơi giật mình một cái, hắn vốn là cho là thái tử người, dẫu sao thái tử lõm sâu quyền lực trong nước xoáy, đối với loại này ám sát sự việc hẳn là quen cửa quen nẻo, hắn phái người tới giết mình, lại không quá bình thường.

	Chẳng qua là hắn không nghĩ tới Thôi gia lại vậy sẽ phái người tới.

	Xem ra, những thế gia kia vậy không đơn giản à, loại chuyện này vậy không bớt làm.

	"Tần công tử tha mạng, tiểu nhân cũng là phụng mệnh làm việc à. . ."

	"Giết!"

	Ra lệnh một tiếng, Hồ Thập Bát đại đao đã rơi xuống, ngay sau đó tên quần áo đen kia liền đầu người rơi xuống đất, Tần Thiên lộ ra một tia cười nhạt, một cái muốn mạng hắn người, lại vẫn hy vọng xa vời có thể sống, thật là quá ngây thơ rồi.

	Hắn Tần Thiên là không biết cầm mạng mình đùa giỡn.

	Người có thể nhân từ, nhưng nhân từ là đối với mình thân nhân bạn bè, mà không phải là đối với địch nhân, nhân từ đối với địch nhân, chính là tàn nhẫn đối với mình.

	Hai người quần áo đen cứ như vậy bị giết, Tần Thiên và Hồ Thập Bát bọn họ cũng không một chút phản ứng, ban đầu tấn công thành Vân châu lúc này bọn họ liền gặp qua mổ giết.

	Đi qua chiến tranh tẩy rửa sau đó, người chết máu tanh coi là cái gì?

	Chẳng qua là bọn họ không cảm thấy có cái gì, Đường Dung và tiểu Thanh hai người nhưng là bị dọa sợ.

	Các nàng rốt cuộc là thâm khuê dặm người phụ nữ, trong ngày thường đơn giản chính là hoa điểu trùng cá, thi từ thư họa, vậy gặp qua như vậy máu tanh?

	"Tướng công, người chết, cái này. . . Đây có thể như thế nào cho phải à?"

	Đường Dung sợ nhào tới Tần Thiên trong ngực, Tần Thiên vỗ một cái nàng bả vai, nói: "Không có sao, không có sao à, có tướng công ở đây, hết thảy cũng biết tốt."

	Đêm lạnh như nước, núi xa xa lâm truyền đến mấy tiếng dã thú tiếng hô, muốn đến là ngửi thấy mùi máu tanh.Chương 112: Người chết 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Ấm áp thơm các tài nghệ so tài tiếp tục đi xuống.

	Chỉ bất quá Cửu công chúa như cũ đối với Tần Thiên vậy 2 bài thơ nhớ không quên, cho tới dù là Thôi Nguyên Hạo ngày hôm nay làm ra không thiếu kiệt tác, cũng là không có thể đưa tới Cửu công chúa chút nào hứng thú.

	Cái này làm cho Thôi Nguyên Hạo trong lòng đặc biệt khó chịu.

	Mình bị Tần Thiên đoạt người phụ nữ không tính là, lại vẫn bị hắn đoạt tài hoa ngọn gió?

	Hắn liền buồn bực, không phải đôi câu thơ sao, còn như Cửu công chúa nhớ không quên sao?

	Thôi Nguyên Hạo đối với Tần Thiên hận ý đột nhiên dày đặc rất nhiều.

