Chương 182: Trú tại Trường An 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Thu mưa vẫn còn rơi, Thiết Ngưu đi theo Lý Thế Dân rời đi Tần gia trang viên.
	Tần Phi Yến ở thành đông hiện đang quản mấy cửa hàng, có nước hoa trải, có lá trà trải, còn có một cái quán rượu, bất quá quán rượu cũng không có rượu, hắn chỉ là một đại lý địa phương, những cái kia khách sạn và nhà hàng đem số lượng cần báo cho Tần Phi Yến, Tần Phi Yến lại sai người cầm những cái kia nợ bộ tới Tần gia trang viên tửu trang đem cần số lượng vận làm cho.

	Bất quá những cái kia khách sạn mua rượu tiền đều là cho liền Tần Phi Yến.

	Những thứ này cửa hàng, hơn nữa những cái kia khách sạn bữa ăn sáng, bánh bao nguyên liệu bí mật tiền, hẳn là có một bạc triệu, chẳng qua là những cửa hàng này vậy cực kỳ cần tiền bạc lưu thông à.

	Vạn nhất cầm chặn, coi như ảnh hưởng danh dự.

	Tần Thiên trong lòng suy nghĩ, nhưng cũng không nói ra, cảm thấy vẫn là ngày mai đi một chuyến thành Trường An tốt.

	---------------

	Mưa thu lại xuống một đêm, sáng sớm ngày kế, Tần Thiên liền để cho Hồ Thập Bát ngăn trong phủ tiền mặt, lại mang theo Tần Ngũ cùng chung đi thành Trường An.

	Đi tới thành đông sau đó, Tần Thiên đem tình huống cùng Tần Phi Yến nói một lần, Tần Phi Yến đối với mua sắm nhà sự việc là tán thành, dẫu sao bọn họ sau này ở Trường An đợi lâu mà nói, vẫn là có cái phủ đệ tốt.

	Bất quá, cùng nàng tra xét xong nợ bộ sau đó, nhưng là bất đắc dĩ lắc đầu một cái: "Có thể sống động vốn không nhiều, cũng chỉ năm ngàn xâu tiền, sợ rằng không đủ à."

	Còn thiếu năm ngàn xâu, mà đây năm ngàn xâu bỏ mặc đối với người nào mà nói, đều là một khoản số nợ không nhỏ.

	Thậm chí đối với rất nhiều người dân mà nói, bọn họ cả đời có thể đều không gặp qua nhiều tiền như vậy.

	Đối với Tần Thiên mà nói, năm ngàn xâu tiền vậy rất nhiều, muốn hắn 1 hồi lâu lấy ra, còn thật không phải là một chuyện dễ dàng.

	Bất quá dựa theo bọn họ bây giờ buôn bán kiếm tiền trình độ, cho hắn 7-8 ngày, không sai biệt lắm cũng có thể lấy ra.

	"Tần Ngũ, đi theo cái đó thương nhân nói một chút, cho chúng ta chậm mấy ngày."

	Tần Ngũ lắc đầu: "Anh Thiên, cái đó thương nhân nói, ngày hôm nay nếu như không lấy được tiền đi, hắn có thể sẽ tăng giá, cũng có thể sẽ không bán, hoặc là bán cho những người khác, 7-8 ngày, hắn vậy chịu à."

	Từ cổ chí kim, giá phòng biến hóa đều có điểm cao thâm khó lường, để cho người hoàn toàn không đoán ra, thậm chí không tìm ra cái gì quy luật tới.

	Nghe nói như vậy sau đó, Tần Thiên liền có chút đau đầu, ngày hôm nay để cho hắn làm tới năm ngàn xâu tiền, hắn từ vậy làm à?

	Trong nhà còn có, là có thể bán lấy tiền, bất quá 1 hồi lâu ở giữa cũng không tốt bán, hơn nữa bây giờ trong ruộng đều có hoa màu, bán vậy không có lợi lắm à.

	Nghĩ tới nghĩ lui, Tần Thiên chỉ có thể lần nữa đi vào Tứ Hải cư.

	Lúc này Tứ Hải cư do Lô Phong quản lý, Lô Hoa Nương chỉ ở Lô phủ chờ lập gia đình, nơi này làm ăn nàng tạm thời bỏ mặc.

	Lô Phong gặp Tần Thiên tới, vội vàng liền đi ra ngoài đón, đây chính là sau này bọn họ Lô gia cô gia à, có thể không dám thờ ơ.

	"Tần công tử, nhưng mà có chuyện gì?"

	Tần Thiên có chút ngại quá, do dự một chút, nói: "Lô chưởng quỹ, các người cái này Tứ Hải cư tiền mặt có thể đầy đủ?"

	Nói tới chỗ này, Tần Thiên sờ mình một chút lỗ mũi: "Muốn mượn ít tiền, ở thành Trường An mua chỗ nhà."

	Nghe được Tần Thiên muốn mượn tiền, Lô Phong thần sắc ngược lại cũng không có cái gì biến hóa, sau này cũng là người một nhà, mượn chút tiền coi là cái gì à, hơn nữa hắn cảm thấy Tần Thiên mua nhà, vậy nhất định là vì an trí nhà nàng tiểu thư.

	"Tần công tử muốn mượn nhiều ít?"

	"Năm ngàn xâu."

	Nghe được năm ngàn xâu mấy con số này lúc này Lô Phong gò má bất thình lình co quắp một cái, năm ngàn xâu, cũng không phải là một cái số tiền nhỏ à, bất quá rất nhanh, Lô Phong vẫn là mang nụ cười nói: "Không có vấn đề."

	Lô Phong rất sung sướng, Tần Thiên rất nhanh lấy được rồi năm ngàn xâu tiền, thậm chí liền giấy nợ cũng không có đánh.

	Bắt được tiền sau đó, hắn đi nhìn một chút cái đó nhà, nhà cách đông tây hai thành rất gần, đi bộ nói cũng chỉ nửa giờ, có phương tiện thay đi bộ không sai biệt lắm một nén nhang là có thể đến.

	Hơn nữa, cái nhà này cũng đích xác quá lớn, một cái đều có điểm nhìn không thấy bờ bến, duy nhất không tốt chính là nhà ít một chút, rất nhiều địa phương vậy vẫn là đất hoang, chưa kịp thiết kế, tựa hồ nơi này chủ nhân bố trí nhà bố trí một nửa ngừng lại.Chương 182: Trú tại Trường An 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Thu mưa vẫn còn rơi, Thiết Ngưu đi theo Lý Thế Dân rời đi Tần gia trang viên.

	Nhìn bọn họ hai người rời đi hình bóng, Tần Thiên đột nhiên nghĩ mắng mẹ.

	Không phúc hậu, hắn cảm thấy Lý Thế Dân người này quá không phúc hậu, làm sao cái gì cũng mượn à, lại liền người vậy mượn.

	Đáng thương hắn Thiết Ngưu, sau này đi theo Lý Thế Dân phải chịu khổ.

	Tần Thiên thở dài thở ngắn, trong lòng hết sức khó chịu, nhưng lại vậy không có biện pháp nào.

	Lý Thế Dân mong muốn người, mình có thể không cho sao?

	"Thiết Ngưu à Thiết Ngưu, không nghĩ tới ngươi lại là từ ta nơi này đi ra người thứ nhất."

	Tần Thiên trong lòng suy nghĩ, ngoài miệng nhưng là lộ ra một tia cười yếu ớt, tiếp đi liền đem cáo mệnh sự việc cùng Đường Dung nói một lần.

	Đường Dung gặp cáo mệnh cầu xuống, tự nhiên vui mừng đặc biệt.

	"Tháng sau mùng tám, là cha ta sinh nhật, ta phải mặc vào cáo mệnh phục đi chúc thọ."

	Đường Dung mừng rỡ, có cái này cáo mệnh, nàng lại đi đến Đường gia, xem cái đó Liễu thị còn dám hay không tìm nàng phiền toái, còn dám, một cái tát lên đã qua, hung hãn rút ra.

	Tần Thiên gặp Đường Dung cố ý khoe khoang, cũng là không biết làm sao cười khổ, nhưng lại nói không được cái gì.

	Bất quá nghĩ đến tháng sau mùng tám là hắn cha vợ sinh nhật, hắn liền ít nhiều có chút lo lắng, bởi vì là tháng sau mười sáu, là hắn ngày đón dâu Lô Hoa Nương, cái này Trình Giảo Kim ở tới mua chữ lúc này đã hướng hắn tiết lộ qua.

	Bởi vì trước kia cáo mệnh không có xuống, là lấy không dám đối với Đường Dung nói.

	Vậy Đường Dục biết mình lại phải lấy vợ sau đó, không biết sẽ nghĩ như thế nào hắn người con rể này.

	Thiếu không được, lại phải một hồi lúng túng đi.

	Làm người khó khăn à.

	Tần Thiên trong lòng than thầm, lúc này, Tần Ngũ từ bên ngoài chạy vào: "Anh Thiên, phu nhân."

	"Gấp như vậy, nhưng mà nhà tìm được?"

	"Tìm được, ở thành Trường An trên đường Liễu Lâm, có chừng hai ba trăm mẫu lớn nhỏ, là một cái thương nhân tất cả, bất quá hắn bây giờ nóng lòng rời tay, cho nên giá cả so giá thị trường còn muốn lấy rẻ một chút, chỉ cần anh Thiên có thể cầm ra 40 nghìn xâu tiền mặt, hắn lập tức liền đem khế ước mua bán nhà khế đất cũng sang tên nhà cho ngươi."

	Nghe được lập tức muốn 40 nghìn xâu tiền, Tần Thiên và Đường Dung hai người đều là không nhịn được hít một hơi khí lạnh, 40 nghìn xâu à, đây có thể tuyệt đối không phải một cái số tiền nhỏ.

	Suy nghĩ một chút cũng để cho người cảm thấy đau lòng.

	Có thể vừa nghĩ tới hai ba trăm mẫu lớn nhỏ, hai người lại cũng không nhịn được có chút không nhịn được cám dỗ.

	Hai ba trăm mẫu là cái gì khái niệm, thật rất lớn à, bọn họ chính là ở bên trong cỡi ngựa nói, sợ cũng được một nén nhang thời gian mới có thể nhiêu một vòng chứ ?

	Nếu có thể có một cái lớn như vậy nhà, vậy bọn họ làm cái gì ở bên trong không được?

	Tần Thiên nhìn một cái Đường Dung, Đường Dung trong ánh mắt mang một tia bày chi không đi dục vọng.

	"Tướng công, muốn không muốn liền chứ ?" Đường Dung rất phá của, đặc biệt phá của, ban đầu mua nô lệ, mua ruộng đất chính là một chuyện vọng động tình, lần này cũng có chút không ngoại lệ.

	Bất quá Tần Thiên vậy thật muốn, huống chi cái giá cả này, đúng là coi là là đặc biệt hợp lý.

	"Phu nhân, nhà chúng ta tiền mặt có nhiều như vậy sao?"

	Đường Dung đứng dậy từ đầu giường cầm một cái sổ sách tới đây, lật xem sau đó, thần sắc khẽ hơi trầm xuống một cái, có chút mất mác nói: "Tướng công, chúng ta trong phủ bây giờ chỉ có 30 nghìn xâu tiền mặt, bất quá chị quản những cái kia cửa hàng bên trong, hẳn cũng có một ít, không sai biệt lắm đủ chứ."

	Tần Phi Yến ở thành đông hiện đang quản mấy cửa hàng, có nước hoa trải, có lá trà trải, còn có một cái quán rượu, bất quá quán rượu cũng không có rượu, hắn chỉ là một đại lý địa phương, những cái kia khách sạn và nhà hàng đem số lượng cần báo cho Tần Phi Yến, Tần Phi Yến lại sai người cầm những cái kia nợ bộ tới Tần gia trang viên tửu trang đem cần số lượng vận làm cho.

	Bất quá những cái kia khách sạn mua rượu tiền đều là cho liền Tần Phi Yến.

	Những thứ này cửa hàng, hơn nữa những cái kia khách sạn bữa ăn sáng, bánh bao nguyên liệu bí mật tiền, hẳn là có một bạc triệu, chẳng qua là những cửa hàng này vậy cực kỳ cần tiền bạc lưu thông à.

	Vạn nhất cầm chặn, coi như ảnh hưởng danh dự.

	Tần Thiên trong lòng suy nghĩ, nhưng cũng không nói ra, cảm thấy vẫn là ngày mai đi một chuyến thành Trường An tốt.

	---------------

	Mưa thu lại xuống một đêm, sáng sớm ngày kế, Tần Thiên liền để cho Hồ Thập Bát ngăn trong phủ tiền mặt, lại mang theo Tần Ngũ cùng chung đi thành Trường An.

	Đi tới thành đông sau đó, Tần Thiên đem tình huống cùng Tần Phi Yến nói một lần, Tần Phi Yến đối với mua sắm nhà sự việc là tán thành, dẫu sao bọn họ sau này ở Trường An đợi lâu mà nói, vẫn là có cái phủ đệ tốt.

	Bất quá, cùng nàng tra xét xong nợ bộ sau đó, nhưng là bất đắc dĩ lắc đầu một cái: "Có thể sống động vốn không nhiều, cũng chỉ năm ngàn xâu tiền, sợ rằng không đủ à."

	Còn thiếu năm ngàn xâu, mà đây năm ngàn xâu bỏ mặc đối với người nào mà nói, đều là một khoản số nợ không nhỏ.

	Thậm chí đối với rất nhiều người dân mà nói, bọn họ cả đời có thể đều không gặp qua nhiều tiền như vậy.

	Đối với Tần Thiên mà nói, năm ngàn xâu tiền vậy rất nhiều, muốn hắn 1 hồi lâu lấy ra, còn thật không phải là một chuyện dễ dàng.

	Bất quá dựa theo bọn họ bây giờ buôn bán kiếm tiền trình độ, cho hắn 7-8 ngày, không sai biệt lắm cũng có thể lấy ra.

	"Tần Ngũ, đi theo cái đó thương nhân nói một chút, cho chúng ta chậm mấy ngày."

	Tần Ngũ lắc đầu: "Anh Thiên, cái đó thương nhân nói, ngày hôm nay nếu như không lấy được tiền đi, hắn có thể sẽ tăng giá, cũng có thể sẽ không bán, hoặc là bán cho những người khác, 7-8 ngày, hắn vậy chịu à."

	Từ cổ chí kim, giá phòng biến hóa đều có điểm cao thâm khó lường, để cho người hoàn toàn không đoán ra, thậm chí không tìm ra cái gì quy luật tới.

	Nghe nói như vậy sau đó, Tần Thiên liền có chút đau đầu, ngày hôm nay để cho hắn làm tới năm ngàn xâu tiền, hắn từ vậy làm à?

	Trong nhà còn có, là có thể bán lấy tiền, bất quá 1 hồi lâu ở giữa cũng không tốt bán, hơn nữa bây giờ trong ruộng đều có hoa màu, bán vậy không có lợi lắm à.

	Nghĩ tới nghĩ lui, Tần Thiên chỉ có thể lần nữa đi vào Tứ Hải cư.

	Lúc này Tứ Hải cư do Lô Phong quản lý, Lô Hoa Nương chỉ ở Lô phủ chờ lập gia đình, nơi này làm ăn nàng tạm thời bỏ mặc.

	Lô Phong gặp Tần Thiên tới, vội vàng liền đi ra ngoài đón, đây chính là sau này bọn họ Lô gia cô gia à, có thể không dám thờ ơ.

	"Tần công tử, nhưng mà có chuyện gì?"

	Tần Thiên có chút ngại quá, do dự một chút, nói: "Lô chưởng quỹ, các người cái này Tứ Hải cư tiền mặt có thể đầy đủ?"

	Nói tới chỗ này, Tần Thiên sờ mình một chút lỗ mũi: "Muốn mượn ít tiền, ở thành Trường An mua chỗ nhà."

	Nghe được Tần Thiên muốn mượn tiền, Lô Phong thần sắc ngược lại cũng không có cái gì biến hóa, sau này cũng là người một nhà, mượn chút tiền coi là cái gì à, hơn nữa hắn cảm thấy Tần Thiên mua nhà, vậy nhất định là vì an trí nhà nàng tiểu thư.

	"Tần công tử muốn mượn nhiều ít?"

	"Năm ngàn xâu."

	Nghe được năm ngàn xâu mấy con số này lúc này Lô Phong gò má bất thình lình co quắp một cái, năm ngàn xâu, cũng không phải là một cái số tiền nhỏ à, bất quá rất nhanh, Lô Phong vẫn là mang nụ cười nói: "Không có vấn đề."

	Lô Phong rất sung sướng, Tần Thiên rất nhanh lấy được rồi năm ngàn xâu tiền, thậm chí liền giấy nợ cũng không có đánh.

	Bắt được tiền sau đó, hắn đi nhìn một chút cái đó nhà, nhà cách đông tây hai thành rất gần, đi bộ nói cũng chỉ nửa giờ, có phương tiện thay đi bộ không sai biệt lắm một nén nhang là có thể đến.

	Hơn nữa, cái nhà này cũng đích xác quá lớn, một cái đều có điểm nhìn không thấy bờ bến, duy nhất không tốt chính là nhà ít một chút, rất nhiều địa phương vậy vẫn là đất hoang, chưa kịp thiết kế, tựa hồ nơi này chủ nhân bố trí nhà bố trí một nửa ngừng lại.Chương 182: Trú tại Trường An 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Thu mưa vẫn còn rơi, Thiết Ngưu đi theo Lý Thế Dân rời đi Tần gia trang viên.

	Nhìn bọn họ hai người rời đi hình bóng, Tần Thiên đột nhiên nghĩ mắng mẹ.

	Không phúc hậu, hắn cảm thấy Lý Thế Dân người này quá không phúc hậu, làm sao cái gì cũng mượn à, lại liền người vậy mượn.

	Đáng thương hắn Thiết Ngưu, sau này đi theo Lý Thế Dân phải chịu khổ.

	Tần Thiên thở dài thở ngắn, trong lòng hết sức khó chịu, nhưng lại vậy không có biện pháp nào.

	Lý Thế Dân mong muốn người, mình có thể không cho sao?

	"Thiết Ngưu à Thiết Ngưu, không nghĩ tới ngươi lại là từ ta nơi này đi ra người thứ nhất."

	Tần Thiên trong lòng suy nghĩ, ngoài miệng nhưng là lộ ra một tia cười yếu ớt, tiếp đi liền đem cáo mệnh sự việc cùng Đường Dung nói một lần.

	Đường Dung gặp cáo mệnh cầu xuống, tự nhiên vui mừng đặc biệt.

	"Tháng sau mùng tám, là cha ta sinh nhật, ta phải mặc vào cáo mệnh phục đi chúc thọ."

	Đường Dung mừng rỡ, có cái này cáo mệnh, nàng lại đi đến Đường gia, xem cái đó Liễu thị còn dám hay không tìm nàng phiền toái, còn dám, một cái tát lên đã qua, hung hãn rút ra.

	Tần Thiên gặp Đường Dung cố ý khoe khoang, cũng là không biết làm sao cười khổ, nhưng lại nói không được cái gì.

	Bất quá nghĩ đến tháng sau mùng tám là hắn cha vợ sinh nhật, hắn liền ít nhiều có chút lo lắng, bởi vì là tháng sau mười sáu, là hắn ngày đón dâu Lô Hoa Nương, cái này Trình Giảo Kim ở tới mua chữ lúc này đã hướng hắn tiết lộ qua.

	Bởi vì trước kia cáo mệnh không có xuống, là lấy không dám đối với Đường Dung nói.

	Vậy Đường Dục biết mình lại phải lấy vợ sau đó, không biết sẽ nghĩ như thế nào hắn người con rể này.

	Thiếu không được, lại phải một hồi lúng túng đi.

	Làm người khó khăn à.

	Tần Thiên trong lòng than thầm, lúc này, Tần Ngũ từ bên ngoài chạy vào: "Anh Thiên, phu nhân."

	"Gấp như vậy, nhưng mà nhà tìm được?"

	"Tìm được, ở thành Trường An trên đường Liễu Lâm, có chừng hai ba trăm mẫu lớn nhỏ, là một cái thương nhân tất cả, bất quá hắn bây giờ nóng lòng rời tay, cho nên giá cả so giá thị trường còn muốn lấy rẻ một chút, chỉ cần anh Thiên có thể cầm ra 40 nghìn xâu tiền mặt, hắn lập tức liền đem khế ước mua bán nhà khế đất cũng sang tên nhà cho ngươi."

	Nghe được lập tức muốn 40 nghìn xâu tiền, Tần Thiên và Đường Dung hai người đều là không nhịn được hít một hơi khí lạnh, 40 nghìn xâu à, đây có thể tuyệt đối không phải một cái số tiền nhỏ.

	Suy nghĩ một chút cũng để cho người cảm thấy đau lòng.

	Có thể vừa nghĩ tới hai ba trăm mẫu lớn nhỏ, hai người lại cũng không nhịn được có chút không nhịn được cám dỗ.

	Hai ba trăm mẫu là cái gì khái niệm, thật rất lớn à, bọn họ chính là ở bên trong cỡi ngựa nói, sợ cũng được một nén nhang thời gian mới có thể nhiêu một vòng chứ ?

	Nếu có thể có một cái lớn như vậy nhà, vậy bọn họ làm cái gì ở bên trong không được?

	Tần Thiên nhìn một cái Đường Dung, Đường Dung trong ánh mắt mang một tia bày chi không đi dục vọng.

	"Tướng công, muốn không muốn liền chứ ?" Đường Dung rất phá của, đặc biệt phá của, ban đầu mua nô lệ, mua ruộng đất chính là một chuyện vọng động tình, lần này cũng có chút không ngoại lệ.

	Bất quá Tần Thiên vậy thật muốn, huống chi cái giá cả này, đúng là coi là là đặc biệt hợp lý.

	"Phu nhân, nhà chúng ta tiền mặt có nhiều như vậy sao?"

	Đường Dung đứng dậy từ đầu giường cầm một cái sổ sách tới đây, lật xem sau đó, thần sắc khẽ hơi trầm xuống một cái, có chút mất mác nói: "Tướng công, chúng ta trong phủ bây giờ chỉ có 30 nghìn xâu tiền mặt, bất quá chị quản những cái kia cửa hàng bên trong, hẳn cũng có một ít, không sai biệt lắm đủ chứ."

	Tần Phi Yến ở thành đông hiện đang quản mấy cửa hàng, có nước hoa trải, có lá trà trải, còn có một cái quán rượu, bất quá quán rượu cũng không có rượu, hắn chỉ là một đại lý địa phương, những cái kia khách sạn và nhà hàng đem số lượng cần báo cho Tần Phi Yến, Tần Phi Yến lại sai người cầm những cái kia nợ bộ tới Tần gia trang viên tửu trang đem cần số lượng vận làm cho.

	Bất quá những cái kia khách sạn mua rượu tiền đều là cho liền Tần Phi Yến.

	Những thứ này cửa hàng, hơn nữa những cái kia khách sạn bữa ăn sáng, bánh bao nguyên liệu bí mật tiền, hẳn là có một bạc triệu, chẳng qua là những cửa hàng này vậy cực kỳ cần tiền bạc lưu thông à.

	Vạn nhất cầm chặn, coi như ảnh hưởng danh dự.

	Tần Thiên trong lòng suy nghĩ, nhưng cũng không nói ra, cảm thấy vẫn là ngày mai đi một chuyến thành Trường An tốt.

	---------------

	Mưa thu lại xuống một đêm, sáng sớm ngày kế, Tần Thiên liền để cho Hồ Thập Bát ngăn trong phủ tiền mặt, lại mang theo Tần Ngũ cùng chung đi thành Trường An.

	Đi tới thành đông sau đó, Tần Thiên đem tình huống cùng Tần Phi Yến nói một lần, Tần Phi Yến đối với mua sắm nhà sự việc là tán thành, dẫu sao bọn họ sau này ở Trường An đợi lâu mà nói, vẫn là có cái phủ đệ tốt.

	Bất quá, cùng nàng tra xét xong nợ bộ sau đó, nhưng là bất đắc dĩ lắc đầu một cái: "Có thể sống động vốn không nhiều, cũng chỉ năm ngàn xâu tiền, sợ rằng không đủ à."

	Còn thiếu năm ngàn xâu, mà đây năm ngàn xâu bỏ mặc đối với người nào mà nói, đều là một khoản số nợ không nhỏ.

	Thậm chí đối với rất nhiều người dân mà nói, bọn họ cả đời có thể đều không gặp qua nhiều tiền như vậy.

	Đối với Tần Thiên mà nói, năm ngàn xâu tiền vậy rất nhiều, muốn hắn 1 hồi lâu lấy ra, còn thật không phải là một chuyện dễ dàng.

	Bất quá dựa theo bọn họ bây giờ buôn bán kiếm tiền trình độ, cho hắn 7-8 ngày, không sai biệt lắm cũng có thể lấy ra.

	"Tần Ngũ, đi theo cái đó thương nhân nói một chút, cho chúng ta chậm mấy ngày."

	Tần Ngũ lắc đầu: "Anh Thiên, cái đó thương nhân nói, ngày hôm nay nếu như không lấy được tiền đi, hắn có thể sẽ tăng giá, cũng có thể sẽ không bán, hoặc là bán cho những người khác, 7-8 ngày, hắn vậy chịu à."

	Từ cổ chí kim, giá phòng biến hóa đều có điểm cao thâm khó lường, để cho người hoàn toàn không đoán ra, thậm chí không tìm ra cái gì quy luật tới.

	Nghe nói như vậy sau đó, Tần Thiên liền có chút đau đầu, ngày hôm nay để cho hắn làm tới năm ngàn xâu tiền, hắn từ vậy làm à?

	Trong nhà còn có, là có thể bán lấy tiền, bất quá 1 hồi lâu ở giữa cũng không tốt bán, hơn nữa bây giờ trong ruộng đều có hoa màu, bán vậy không có lợi lắm à.

	Nghĩ tới nghĩ lui, Tần Thiên chỉ có thể lần nữa đi vào Tứ Hải cư.

	Lúc này Tứ Hải cư do Lô Phong quản lý, Lô Hoa Nương chỉ ở Lô phủ chờ lập gia đình, nơi này làm ăn nàng tạm thời bỏ mặc.

	Lô Phong gặp Tần Thiên tới, vội vàng liền đi ra ngoài đón, đây chính là sau này bọn họ Lô gia cô gia à, có thể không dám thờ ơ.

	"Tần công tử, nhưng mà có chuyện gì?"

	Tần Thiên có chút ngại quá, do dự một chút, nói: "Lô chưởng quỹ, các người cái này Tứ Hải cư tiền mặt có thể đầy đủ?"

	Nói tới chỗ này, Tần Thiên sờ mình một chút lỗ mũi: "Muốn mượn ít tiền, ở thành Trường An mua chỗ nhà."

	Nghe được Tần Thiên muốn mượn tiền, Lô Phong thần sắc ngược lại cũng không có cái gì biến hóa, sau này cũng là người một nhà, mượn chút tiền coi là cái gì à, hơn nữa hắn cảm thấy Tần Thiên mua nhà, vậy nhất định là vì an trí nhà nàng tiểu thư.

	"Tần công tử muốn mượn nhiều ít?"

	"Năm ngàn xâu."

	Nghe được năm ngàn xâu mấy con số này lúc này Lô Phong gò má bất thình lình co quắp một cái, năm ngàn xâu, cũng không phải là một cái số tiền nhỏ à, bất quá rất nhanh, Lô Phong vẫn là mang nụ cười nói: "Không có vấn đề."

	Lô Phong rất sung sướng, Tần Thiên rất nhanh lấy được rồi năm ngàn xâu tiền, thậm chí liền giấy nợ cũng không có đánh.

	Bắt được tiền sau đó, hắn đi nhìn một chút cái đó nhà, nhà cách đông tây hai thành rất gần, đi bộ nói cũng chỉ nửa giờ, có phương tiện thay đi bộ không sai biệt lắm một nén nhang là có thể đến.

