Chương 103: Nhiệm vụ rất nặng 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Tần Thiên vừa vặn ở thành đông.
	Người phụ nữ này năm đó liền bỏ trốn sự việc cũng làm được, chết sự việc, chỉ sợ vậy không làm khó được hắn chứ ?

	Hắn cho tới bây giờ không có gặp qua đối với tình yêu như thế kiên định người phụ nữ, hắn cảm thấy Lô Hoa Nương có thể là vì năm đó cái đó bỏ trốn người mới làm ra lựa chọn như vậy.

	Chỉ là năm đó cùng nàng bỏ trốn người kia là ai, hắn nhưng cho tới bây giờ chưa từng nghe nói qua.

	Muốn hỏi thăm, vậy không có thể nghe được.

	Người đàn ông này, thật sự là thật hạnh phúc à.

	Hai người ở bên trong phòng nói như vậy lúc này bên ngoài đột nhiên truyền tới trận loạt tiếng bước chân, ngay sau đó liền nghe được Lô Hoa Nương nha hoàn ở bên ngoài hô: "Tiểu thư, Thôi công tử tới."

	Nghe được Thôi Nguyên Hạo tới, Lô Hoa Nương lập tức lại nhìn hướng Tần Thiên, Tần Thiên cắn răng một cái, đột nhiên hướng Lô Hoa Nương nhào tới, ngay sau đó liền hôn lên miệng của nàng.

	Lô Hoa Nương sớm đã làm xong chuẩn bị, có thể nàng làm sao cũng không nghĩ tới Tần Thiên vậy mà sẽ cái bộ dáng này, nàng cho tới bây giờ không có cùng người đàn ông như vậy qua, không kiềm được có chút láo, muốn muốn đẩy ra Tần Thiên.

	Có thể cùng nàng đưa tay lúc này nhưng phát hiện mình cả người không có sức, đã sớm xụi lơ ở Tần Thiên trong ngực.

	Mà cùng lúc đó, nàng cửa két một tiếng mở ra, ngay sau đó liền gặp Thôi Nguyên Hạo đứng ở cửa, trợn mắt hốc mồm.

	"Các người. . ." Thôi Nguyên Hạo giận dữ, mặc dù hắn cùng Lô Hoa Nương còn không có thành thân, nhưng bọn họ hôn sự Lô gia đã đáp ứng, nhìn mình người phụ nữ nằm ở một cái khác người đàn ông trong ngực, hơn nữa còn bị người đàn ông kia hôn vào, hắn thật là muốn giận dữ.

	Lúc này, Tần Thiên mới rốt cục buông Lô Hoa Nương, Lô Hoa Nương chậm rãi chỉnh sửa một chút áo quần, hai người cũng không có vội vã mở miệng, bởi vì là hai người đều ở đây cùng Thôi Nguyên Hạo tức giận rời đi.

	Hai bên một câu nói đều không nói, chuyện này mới dễ giải quyết.

	Có thể Thôi Nguyên Hạo cũng không có rời đi, mà là chỉ Tần Thiên nói: "Ngươi là ai ?"

	Tần Thiên âm thầm kêu khổ, nhưng ngay sau đó thần sắc nhưng là đột nhiên giận dữ: "Ngươi lại là ai, không biết vào nhà trước trước mở cửa sao?"

	"Ngươi. . . Tốt. . . Tốt một đôi cẩu nam nữ."

	Thôi Nguyên Hạo bực tức rời đi, Lô Hoa Nương gian phòng rất nhanh yên tĩnh lại.

	Khi toàn bộ gian phòng chỉ còn lại bọn họ hai người lúc này Lô Hoa Nương đột nhiên có chút ngượng ngùng cúi đầu, bên trong nhà tức giận đột nhiên lúng túng.

	Tần Thiên không tự chủ sờ một môi dưới, vừa vặn bị ngẩng đầu lên Lô Hoa Nương cho thấy, không kiềm được lại là ngượng ngùng sân giận lên: "Ngươi. . ."

	Tần Thiên cười khổ, mình cũng không có hoài niệm mới vừa rồi hôn môi mùi vị cảm giác à, thuần túy là mới vừa rồi quá khẩn trương cắn môi, môi của hắn có chút đau mà thôi.

	Bất quá Tần Thiên cũng không có giải thích, hắn đổ thật thích loại cảm giác này.

	"Lô cô nương, ngươi có thể chắc chắn Thôi Nguyên Hạo nhất định sẽ đi từ hôn?"

	"Thôi gia là thế gia đại tộc, vẫn là rất trọng danh tiếng, chúng ta hai người mới vừa rồi cái dáng vẻ kia, Thôi Nguyên Hạo nhất định sẽ đi từ hôn."

	Tần Thiên ồ một tiếng, Thôi gia như vậy môn đình, muốn đến hẳn sẽ không muốn giày rách chứ ?

	"Thôi Nguyên Hạo đi từ hôn, các người Lô gia sẽ cảm thấy là sỉ nhục đi, chỉ sợ Lô cô nương muốn chịu tội."

	Những lời này Tần Thiên chẳng qua là tùy tiện nói một câu, Lô Hoa Nương nhưng là sững sốt một chút, bởi vì là nàng biết câu này nói không sai, nàng xác thực muốn chịu tội.

	Chẳng qua là nàng không nghĩ tới Tần Thiên lại như thế tỉ mỉ, còn quan tâm mình sau sự việc.

	"Vậy phát sinh loại chuyện này, chúng ta những thế gia này cô gái cũng biết bị sai đưa đến chùa Thiện Nguyện." Nói tới chỗ này, Lô Hoa Nương không có tiếp tục nói hết, bởi vì là vậy đưa đến chùa Thiện Nguyện sau đó, có thể cả đời cũng phải đối mặt Thanh Đăng cổ phật.

	Tần Thiên ngược lại không có cảm thấy cái này có gì, đưa đi sau đó, còn có thể lại đón về mà, cho nên hắn chẳng qua là ồ một tiếng.

	Lúc này, Lô Hoa Nương lại nhìn hướng Tần Thiên nói: "Chuyện này, có thể coi như là Thôi Nguyên Hạo vô cùng nhục nhã, hắn chắc chắn sẽ không từ bỏ ý đồ, không quá ta biết Tần công tử là một người có bản lãnh, cùng những cái kia quốc công gia, vương gia đều rất quen thuộc, muốn đến muốn vượt qua cửa ải này không khó."

	Tần Thiên thần sắc bình tĩnh, trong lòng nhưng là âm thầm kêu khổ, hắn ngược lại không lo lắng đắc tội Thôi Nguyên Hạo, thế gia mặc dù khổng lồ, nhưng rốt cuộc sa sút, sớm không đạt tới Trường An mới giàu.

	Có Tần Thúc Bảo những người này ở đây, Thôi gia còn thật không dám đem hắn như thế nào.

	Hắn hiện ở lo lắng chính là, chuyện này nếu là vỡ lở ra, làm sao cùng Đường Dung giải thích à.Chương 103: Nhiệm vụ rất nặng 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Tần Thiên vừa vặn ở thành đông.

	Biết được Lô Hoa Nương mời mình đi một chuyến, hắn liền trực tiếp đi theo Lô Phong vào Tứ Hải cư.

	Ở gian phòng thấy Lô Hoa Nương lúc này Tần Thiên cảm thấy nàng càng phát ra tỏ ra thanh sầu liền một ít.

	"Bà chủ Lô có chuyện gì không?"

	Tần Thiên ở Lô Hoa Nương ngồi đối diện xuống, Lô Hoa Nương khẽ nâng mắt sáng, nói: "Có chuyện, sợ rằng phải làm phiền Tần công tử."

	Tần Thiên cũng không biết Lô Hoa Nương để cho mình làm chuyện gì, bất quá đoạn này thời gian hắn cùng Lô Hoa Nương quan hệ không tệ, cho nên cũng không do dự liền đồng ý xuống.

	"Bà chủ Lô có cần gì ta làm, nói một chút là được, không cần khách khí."

	"Tần công tử cái này là đồng ý?"

	"Dĩ nhiên!"

	Lô Hoa Nương khóe miệng cười chúm chím: "Chờ một hồi làm phiền Tần công tử giả giả bộ một chút cùng ta có tư tình."

	Lời này mở miệng, Tần Thiên nhất thời sững sốt một chút, hắn có chút không có thể rõ ràng Lô Hoa Nương ý nghĩa.

	"Bà chủ Lô mới vừa nói cái gì, ta nghe không hiểu!"

	Lô Hoa Nương gò má ửng đỏ, có chút ngượng ngùng, còn là lại nói một lần: "Chờ một hồi làm phiền Tần công tử giả giả bộ một chút cùng ta có tư tình."

	"Tư tình?"

	"Không sai!"

	Tần Thiên rốt cuộc rõ ràng, có thể hắn rõ ràng sau đó lập tức liền nhảy cỡn lên, hắn đã cưới vợ à, hơn nữa hắn rất yêu Đường Dung, hai người đâu đâu vòng vo một chút rốt cuộc đi vào với nhau trong lòng, hắn làm sao có thể làm thật xin lỗi Đường Dung sự việc?

	Hơn nữa, hắn rất kỳ quái, êm đẹp, Lô Hoa Nương để cho mình làm bộ cùng nàng có tư tình làm gì?

	Lô Hoa Nương nhưng mà Lô gia người phụ nữ à, làm là năm họ bảy trong tông người phụ nữ, đó cũng không phải là tốt trêu chọc.

	Tần Thiên cười khổ một cái: "Bà chủ Lô gặp phiền toái gì?"

	"Thôi Nguyên Hạo tới cầu hôn, nhưng mà ta cũng không thích hắn, cho nên hy vọng Tần công tử có thể hỗ trợ, đem khuyên lui, chỉ cần hắn biết ta là cái tùy tiện người phụ nữ, hắn tự nhiên sẽ buông tha."

	"Cái này. . . Tần Thiên trán toát ra hừ lạnh, Thôi Nguyên Hạo, đây chính là Thôi gia công tử à, cha hắn vẫn là hộ bộ thượng thư, là thành Trường An người có mặt mũi, mình nếu là tiếp nhận chuyện này, đó không phải là muốn cùng Thôi gia kết thù?"

	Cái hố à, Tần Thiên cảm thấy Lô Hoa Nương để cho chuyện của mình làm quá gài bẫy.

	"Tần công tử muốn nói không tính toán gì hết?"

	"Cái này ngược lại không có, chính là vậy Thôi Nguyên Hạo làm là Trường An tài giỏi đẹp trai, bà chủ Lô thì thật một chút không thích?"

	"Một chút đều không thích, nếu như nếu không phải là ta gả cho hắn mà nói, ta tình nguyện chết."

	Lô Hoa Nương vừa nói lời này lúc này khóe mắt lại rưng rưng, mặt đầy điềm đạm đáng yêu, vậy bộ dáng bất kể là ai đều không nhẫn tâm cự tuyệt.

	Tần Thiên đột nhiên lưỡng nan đứng lên, đáp ứng chuyện này, chỉ sợ không tốt làm tốt, không đáp ứng, Lô Hoa Nương vạn nhất thật tìm chết có thể nên làm cái gì?

	Người phụ nữ này năm đó liền bỏ trốn sự việc cũng làm được, chết sự việc, chỉ sợ vậy không làm khó được hắn chứ ?

	Hắn cho tới bây giờ không có gặp qua đối với tình yêu như thế kiên định người phụ nữ, hắn cảm thấy Lô Hoa Nương có thể là vì năm đó cái đó bỏ trốn người mới làm ra lựa chọn như vậy.

	Chỉ là năm đó cùng nàng bỏ trốn người kia là ai, hắn nhưng cho tới bây giờ chưa từng nghe nói qua.

	Muốn hỏi thăm, vậy không có thể nghe được.

	Người đàn ông này, thật sự là thật hạnh phúc à.

	Hai người ở bên trong phòng nói như vậy lúc này bên ngoài đột nhiên truyền tới trận loạt tiếng bước chân, ngay sau đó liền nghe được Lô Hoa Nương nha hoàn ở bên ngoài hô: "Tiểu thư, Thôi công tử tới."

	Nghe được Thôi Nguyên Hạo tới, Lô Hoa Nương lập tức lại nhìn hướng Tần Thiên, Tần Thiên cắn răng một cái, đột nhiên hướng Lô Hoa Nương nhào tới, ngay sau đó liền hôn lên miệng của nàng.

	Lô Hoa Nương sớm đã làm xong chuẩn bị, có thể nàng làm sao cũng không nghĩ tới Tần Thiên vậy mà sẽ cái bộ dáng này, nàng cho tới bây giờ không có cùng người đàn ông như vậy qua, không kiềm được có chút láo, muốn muốn đẩy ra Tần Thiên.

	Có thể cùng nàng đưa tay lúc này nhưng phát hiện mình cả người không có sức, đã sớm xụi lơ ở Tần Thiên trong ngực.

	Mà cùng lúc đó, nàng cửa két một tiếng mở ra, ngay sau đó liền gặp Thôi Nguyên Hạo đứng ở cửa, trợn mắt hốc mồm.

	"Các người. . ." Thôi Nguyên Hạo giận dữ, mặc dù hắn cùng Lô Hoa Nương còn không có thành thân, nhưng bọn họ hôn sự Lô gia đã đáp ứng, nhìn mình người phụ nữ nằm ở một cái khác người đàn ông trong ngực, hơn nữa còn bị người đàn ông kia hôn vào, hắn thật là muốn giận dữ.

	Lúc này, Tần Thiên mới rốt cục buông Lô Hoa Nương, Lô Hoa Nương chậm rãi chỉnh sửa một chút áo quần, hai người cũng không có vội vã mở miệng, bởi vì là hai người đều ở đây cùng Thôi Nguyên Hạo tức giận rời đi.

	Hai bên một câu nói đều không nói, chuyện này mới dễ giải quyết.

	Có thể Thôi Nguyên Hạo cũng không có rời đi, mà là chỉ Tần Thiên nói: "Ngươi là ai ?"

	Tần Thiên âm thầm kêu khổ, nhưng ngay sau đó thần sắc nhưng là đột nhiên giận dữ: "Ngươi lại là ai, không biết vào nhà trước trước mở cửa sao?"

	"Ngươi. . . Tốt. . . Tốt một đôi cẩu nam nữ."

	Thôi Nguyên Hạo bực tức rời đi, Lô Hoa Nương gian phòng rất nhanh yên tĩnh lại.

	Khi toàn bộ gian phòng chỉ còn lại bọn họ hai người lúc này Lô Hoa Nương đột nhiên có chút ngượng ngùng cúi đầu, bên trong nhà tức giận đột nhiên lúng túng.

	Tần Thiên không tự chủ sờ một môi dưới, vừa vặn bị ngẩng đầu lên Lô Hoa Nương cho thấy, không kiềm được lại là ngượng ngùng sân giận lên: "Ngươi. . ."

	Tần Thiên cười khổ, mình cũng không có hoài niệm mới vừa rồi hôn môi mùi vị cảm giác à, thuần túy là mới vừa rồi quá khẩn trương cắn môi, môi của hắn có chút đau mà thôi.

	Bất quá Tần Thiên cũng không có giải thích, hắn đổ thật thích loại cảm giác này.

	"Lô cô nương, ngươi có thể chắc chắn Thôi Nguyên Hạo nhất định sẽ đi từ hôn?"

	"Thôi gia là thế gia đại tộc, vẫn là rất trọng danh tiếng, chúng ta hai người mới vừa rồi cái dáng vẻ kia, Thôi Nguyên Hạo nhất định sẽ đi từ hôn."

	Tần Thiên ồ một tiếng, Thôi gia như vậy môn đình, muốn đến hẳn sẽ không muốn giày rách chứ ?

	"Thôi Nguyên Hạo đi từ hôn, các người Lô gia sẽ cảm thấy là sỉ nhục đi, chỉ sợ Lô cô nương muốn chịu tội."

	Những lời này Tần Thiên chẳng qua là tùy tiện nói một câu, Lô Hoa Nương nhưng là sững sốt một chút, bởi vì là nàng biết câu này nói không sai, nàng xác thực muốn chịu tội.

	Chẳng qua là nàng không nghĩ tới Tần Thiên lại như thế tỉ mỉ, còn quan tâm mình sau sự việc.

	"Vậy phát sinh loại chuyện này, chúng ta những thế gia này cô gái cũng biết bị sai đưa đến chùa Thiện Nguyện." Nói tới chỗ này, Lô Hoa Nương không có tiếp tục nói hết, bởi vì là vậy đưa đến chùa Thiện Nguyện sau đó, có thể cả đời cũng phải đối mặt Thanh Đăng cổ phật.

	Tần Thiên ngược lại không có cảm thấy cái này có gì, đưa đi sau đó, còn có thể lại đón về mà, cho nên hắn chẳng qua là ồ một tiếng.

	Lúc này, Lô Hoa Nương lại nhìn hướng Tần Thiên nói: "Chuyện này, có thể coi như là Thôi Nguyên Hạo vô cùng nhục nhã, hắn chắc chắn sẽ không từ bỏ ý đồ, không quá ta biết Tần công tử là một người có bản lãnh, cùng những cái kia quốc công gia, vương gia đều rất quen thuộc, muốn đến muốn vượt qua cửa ải này không khó."

	Tần Thiên thần sắc bình tĩnh, trong lòng nhưng là âm thầm kêu khổ, hắn ngược lại không lo lắng đắc tội Thôi Nguyên Hạo, thế gia mặc dù khổng lồ, nhưng rốt cuộc sa sút, sớm không đạt tới Trường An mới giàu.

	Có Tần Thúc Bảo những người này ở đây, Thôi gia còn thật không dám đem hắn như thế nào.

	Hắn hiện ở lo lắng chính là, chuyện này nếu là vỡ lở ra, làm sao cùng Đường Dung giải thích à.Chương 103: Nhiệm vụ rất nặng 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Tần Thiên vừa vặn ở thành đông.

	Biết được Lô Hoa Nương mời mình đi một chuyến, hắn liền trực tiếp đi theo Lô Phong vào Tứ Hải cư.

