Chương 231: Cầu mua 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Lúc này vạch tội Tần Thiên, hiển nhiên là đầu bị cửa cho kẹp.
	"Ai nha, Tần gia tiểu tử ngươi ngày hôm nay nhưng mà xuất tẫn ngọn gió à." Trình Giảo Kim vừa tiến đến liền ồn ào, Tần Thiên vừa thấy là bọn họ 2 cái, nhất thời đem áo choàng dài cởi, ném cho Lô Hoa Nương sau liền nói: "Nhanh chóng cho ta thả đứng lên."

	Hai cái không biết xấu hổ tới, hắn thật sợ cái này hai người cùng Lý Uyên như vậy, đem mình áo bông lại cho phải đi, Lô Hoa Nương có chút kinh hoảng, cầm áo bông sẽ phải rời khỏi, lại bị Lý Thế Dân đột nhiên cản lại.

	"Chớ đi, đây chính là dùng cây bông vải làm áo choàng dài đi, nhìn như thật không tệ, tới, để cho bổn vương thử một chút."

	Vừa nói, Lý Thế Dân vậy không khách khí, trực tiếp từ Lô Hoa Nương trong tay đem áo choàng dài cho đoạt đi, sau đó cho mặc lên người, Lý Thế Dân vóc người tương đối mà nói so Tần Thiên muốn hơi mập một chút, Tần Thiên ăn mặc vừa vặn, hắn ăn mặc liền có chút sít chặt.

	Bất quá tuy là như vậy, hắn lại hết sức thích.

	"Thật ấm áp à!" Lý Thế Dân một tiếng thở dài, qua nhiều năm như vậy ngày đông, liền năm nay cái này ngày đông qua thoải mái, ngủ có giường sưởi, quần áo có áo bông, thoải mái.

	Tần Thiên nhìn Lý Thế Dân ăn mặc áo bông không ngừng kêu ấm áp, không có một chút muốn cởi ra ý nghĩa, hắn liền biết vật này sợ là không lấy về được.

	Trình Giảo Kim ở bên cạnh trơ mắt nhìn, có thể lại không dám hướng Lý Thế Dân muốn, chỉ có thể trừng mắt một cái Tần Thiên, hỏi: "Còn nữa không?"

	"Không có, cái này mới vừa làm được, ta còn không có ấm áp nóng đây." Vừa nói bĩu môi, Trình Giảo Kim nhưng là bất kể, nói: "Làm nhanh lên."

	Tần Thiên cười khổ: "Lô quốc công cũng muốn?"

	"Dĩ nhiên."

	"Năm mươi xâu tiền một kiện."

	Trình Giảo Kim ngưng mi, đùng một chút vỗ vào Tần Thiên trên bả vai: "Rẻ một chút?"

	Tần Thiên bị sợ liền một chút, vốn lấy là Trình Giảo Kim muốn chơi xấu đâu, không nghĩ tới lần này lại chịu cho tiền.

	"Xem ở Trình thúc phụ đối với ta tốt phân thượng, vậy thì bốn mươi xâu tiền đi."

	"Năm xâu tiền, ta muốn."

	Trình Giảo Kim ha ha cười, Tần Thiên có chút sững sờ, hắn cảm giác được mình thật là đánh giá quá cao Trình Giảo Kim, hắn không chơi xấu, có thể sao?

	Lý Thế Dân bên này, cười hắc hắc: "Cái này áo choàng dài bổn vương ăn mặc không tệ, ta liền mua đi."

	Vừa nói trực tiếp ném một khối ngân bánh cho Tần Thiên, Tần Thiên cười khổ, đem vậy ngân bánh tiếp sau đó, nói: "Vương gia, thà ở chỗ này tranh một cái áo choàng dài, không bằng làm một ít càng có ý nghĩa sự việc."

	Lý Thế Dân thần sắc hơi động, nói: "Ngươi lời này có ý gì?"

	"Vương gia hẳn rõ ràng, Thánh thượng tuy nói muốn rộng rãi trồng trọt cây bông vải, nhưng sang năm thật là có thể rộng rãi trồng trọt sao? Không gặp được đi, cho nên đến lúc đó, cây bông vải giá cả sẽ rất cao, khi đó, vương gia người có phải hay không cũng có thể mặc vào một kiện áo bông, coi như khó mà nói à."

	Tần Thiên chẳng qua là hơi điểm thấu liền một chút, Lý Thế Dân sau khi nghe được, thần sắc đột nhiên động một cái, hắn biết Tần Thiên nói rất có lý, cây bông vải sang năm khẳng định không thể nào lớn diện tích trồng trọt, cho dù có thương nhân từ Tây Vực mang về, vậy tuyệt đối sẽ không nhiều.

	Khi đó cây bông vải giá cả nhất định sẽ bị nâng cao, như mình có thể trồng trọt cây bông vải nói, khẳng định kiếm tiền.

	Còn nữa chính là, dưới tay hắn binh tướng không thiếu, ngày đông tùy thời cũng có thể tác chiến, nếu là không có áo bông, sợ là phải bị đông, nếu như hắn trồng áo bông, vậy liền có thể cho bọn họ những người này mỗi người một món.

	Có áo bông, rất nhiều chuyện hiệu suất cũng biết cao rất nhiều.

	Hắn ngẩng đầu nhìn một cái Tần Thiên, tiếp cũng không ở Tần phủ nhiều việc dừng lại, liền trực tiếp đi mình vương phủ chạy tới, Trình Giảo Kim nhìn một cái Tần Thiên: "Thằng nhóc ngươi à. . ."

	Trình Giảo Kim vậy vội vàng đi, có một số việc, chậm không được, chậm một bước, thì phải lạc hậu một bước.

	Tần Thiên nhìn bọn họ hai người rời đi hình bóng, rốt cuộc thở phào nhẹ nhõm, có một số việc, hắn cần phải nhắc nhở một chút Lý Thế Dân.

	Đông cung.

	Thái tử Lý Kiến Thành trở lại đông cung lúc này thần sắc ngưng trọng, băng lạnh tới cực điểm.

	Tống Công Khanh đã nghe nói triều đình lên sự việc.

	"Thái tử điện hạ, nhưng mà ở là Tần Thiên mà tức giận?"

	"Ngày hôm nay triều đình lên, rất nhiều người đều ở đây thay hắn nói chuyện, một cái nho nhỏ biệt giá, lại cũng có như vậy ảnh hưởng lực."

	Tống Công Khanh cười một tiếng: "Đều là lợi ích đổi được mà, vậy Tần Thiên chặn kiếm tiền thủ đoạn, đối với vương gia mà nói cũng không phải là chuyện tốt?"

	Thái tử gật đầu một cái.

	"Thật ra thì đối với vương gia mà nói, bây giờ còn chưa phải là tức giận lúc này hẳn mau sớm nghĩ biện pháp lấy được cây bông vải hạt giống mới được."

	"Cây bông vải hạt giống?"

	Tống Công Khanh gật đầu: "Không sai, sang năm cây bông vải sẽ rất đắt, thái tử điện hạ phải nuôi rất nhiều phủ binh, còn muốn thu xếp một ít quan viên, không có tiền là tuyệt đối không được, giống như vậy kiếm tiền thủ đoạn, thái tử điện hạ nếu không phải làm, há chẳng phải là tiện nghi những người khác?"

	"Thêm nữa, thái tử những tướng lính kia, vậy đều cần áo bông à, bất kể là thu thập lòng người, vẫn là ở ngày đông nâng cao bọn họ sức chiến đấu, cây bông vải là không thể thiếu."

	Lý Kiến Thành thần sắc hơi động, ngay sau đó vậy vội vàng an bài tới.Chương 231: Cầu mua 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Lúc này vạch tội Tần Thiên, hiển nhiên là đầu bị cửa cho kẹp.

	Tần Thiên đem rau lều lớn kỹ thuật cống hiến ra ngoài, lại đem vô dụng cây bông vải cho làm thành áo bông, vậy một kiện không phải lợi nước lợi dân?

	Trong triều quan viên rối rít khen, lúc này nói Tần Thiên không tốt, vậy đơn giản là tìm chết.

	Lý Uyên cũng không tốt nói Tần Thiên, nếu không thì muốn lạnh lòng người.

	Chẳng qua là cây bông vải hạt giống thiếu hụt, sang năm trồng làm sao cây bông vải?

	"Chư vị ái khanh, Tần ái khanh cây bông vải thật ra thì cũng không nhiều, ta Đại Đường muốn rộng rãi trồng trọt cây bông vải, những thứ này xa xa là không đủ, không biết các người có ai kế hay, có thể để cho ta Đại Đường phổ biến trồng trọt cây bông vải?"

	Lý Uyên nhìn chúng thần hỏi một câu, Lý Thế Dân đứng ra nói: "Phụ hoàng, chuyện này cũng dễ làm, cây bông vải là từ Tây Vực các nước truyền tới, đã như vậy, ta Đại Đường không bằng từ những cái kia Tây Vực cửa hàng trong tay người thu mua cây bông vải hạt, bọn họ gặp có lợi có thể toan tính, nhất định từ Tây Vực vận cây bông vải hạt tới à."

	"Thế Dân nói có đúng không sai, chẳng qua là đến lúc này một lần, khá mất thời gian ở giữa, sẽ sẽ không trễ nãi sang năm trồng trọt?"

	"Vẫn còn kịp."

	Lý Uyên gật đầu một cái: "Nếu như thế, vậy cứ như vậy đi."

	Quần thần lại một lần thương nghị, sau đó liền bãi triều.

	Mùa đông lâm triều gần đây cũng không thế nào trưởng, bãi triều thời điểm thời gian còn sớm.

	Trình Giảo Kim mới ra đại điện, liền vội vả bước nhanh hơn, Lý Thế Dân ở phía sau thấy cái này, nhất thời hừ một tiếng, hô: "Lô quốc công!"

	Trình Giảo Kim nghe được kêu, ngừng lại: "Vương gia có gì phân phó?"

	"Vội vả muốn đi làm cái gì à?"

	Trình Giảo Kim do dự một chút, nói: "Vương gia, cái này Tần Thiên lôi đi cây bông vải cũng không thiếu, có thể làm tốt mấy cái áo choàng dài đâu, ta muốn đi muốn. . . Mua một kiện."

	Lý Thế Dân cười một tiếng: "Vừa vặn bổn vương vậy có ý đó, cùng đi chứ."

	"Này!"

	Hai người nói xong liền đi Tần Thiên trong phủ chạy tới.

	Tần phủ.

	Đi qua tối ngày hôm qua và sáng hôm nay làm gấp rút, Tần Thiên rốt cuộc lại để cho người làm ra một cái áo choàng dài, cái này cái áo choàng dài ở dạng thức lên cùng trước khi cái đó không nhiều lắm khác biệt, chính là càng bó sát người liền một chút, ăn mặc ấm áp hơn và.

	Tần Thiên mới vừa mặc vào áo choàng dài thử một chút, Lý Thế Dân và Trình Giảo Kim hai người liền đi vào.

	"Ai nha, Tần gia tiểu tử ngươi ngày hôm nay nhưng mà xuất tẫn ngọn gió à." Trình Giảo Kim vừa tiến đến liền ồn ào, Tần Thiên vừa thấy là bọn họ 2 cái, nhất thời đem áo choàng dài cởi, ném cho Lô Hoa Nương sau liền nói: "Nhanh chóng cho ta thả đứng lên."

	Hai cái không biết xấu hổ tới, hắn thật sợ cái này hai người cùng Lý Uyên như vậy, đem mình áo bông lại cho phải đi, Lô Hoa Nương có chút kinh hoảng, cầm áo bông sẽ phải rời khỏi, lại bị Lý Thế Dân đột nhiên cản lại.

	"Chớ đi, đây chính là dùng cây bông vải làm áo choàng dài đi, nhìn như thật không tệ, tới, để cho bổn vương thử một chút."

	Vừa nói, Lý Thế Dân vậy không khách khí, trực tiếp từ Lô Hoa Nương trong tay đem áo choàng dài cho đoạt đi, sau đó cho mặc lên người, Lý Thế Dân vóc người tương đối mà nói so Tần Thiên muốn hơi mập một chút, Tần Thiên ăn mặc vừa vặn, hắn ăn mặc liền có chút sít chặt.

	Bất quá tuy là như vậy, hắn lại hết sức thích.

	"Thật ấm áp à!" Lý Thế Dân một tiếng thở dài, qua nhiều năm như vậy ngày đông, liền năm nay cái này ngày đông qua thoải mái, ngủ có giường sưởi, quần áo có áo bông, thoải mái.

	Tần Thiên nhìn Lý Thế Dân ăn mặc áo bông không ngừng kêu ấm áp, không có một chút muốn cởi ra ý nghĩa, hắn liền biết vật này sợ là không lấy về được.

	Trình Giảo Kim ở bên cạnh trơ mắt nhìn, có thể lại không dám hướng Lý Thế Dân muốn, chỉ có thể trừng mắt một cái Tần Thiên, hỏi: "Còn nữa không?"

	"Không có, cái này mới vừa làm được, ta còn không có ấm áp nóng đây." Vừa nói bĩu môi, Trình Giảo Kim nhưng là bất kể, nói: "Làm nhanh lên."

	Tần Thiên cười khổ: "Lô quốc công cũng muốn?"

	"Dĩ nhiên."

	"Năm mươi xâu tiền một kiện."

	Trình Giảo Kim ngưng mi, đùng một chút vỗ vào Tần Thiên trên bả vai: "Rẻ một chút?"

	Tần Thiên bị sợ liền một chút, vốn lấy là Trình Giảo Kim muốn chơi xấu đâu, không nghĩ tới lần này lại chịu cho tiền.

	"Xem ở Trình thúc phụ đối với ta tốt phân thượng, vậy thì bốn mươi xâu tiền đi."

	"Năm xâu tiền, ta muốn."

	Trình Giảo Kim ha ha cười, Tần Thiên có chút sững sờ, hắn cảm giác được mình thật là đánh giá quá cao Trình Giảo Kim, hắn không chơi xấu, có thể sao?

	Lý Thế Dân bên này, cười hắc hắc: "Cái này áo choàng dài bổn vương ăn mặc không tệ, ta liền mua đi."

	Vừa nói trực tiếp ném một khối ngân bánh cho Tần Thiên, Tần Thiên cười khổ, đem vậy ngân bánh tiếp sau đó, nói: "Vương gia, thà ở chỗ này tranh một cái áo choàng dài, không bằng làm một ít càng có ý nghĩa sự việc."

	Lý Thế Dân thần sắc hơi động, nói: "Ngươi lời này có ý gì?"

	"Vương gia hẳn rõ ràng, Thánh thượng tuy nói muốn rộng rãi trồng trọt cây bông vải, nhưng sang năm thật là có thể rộng rãi trồng trọt sao? Không gặp được đi, cho nên đến lúc đó, cây bông vải giá cả sẽ rất cao, khi đó, vương gia người có phải hay không cũng có thể mặc vào một kiện áo bông, coi như khó mà nói à."

	Tần Thiên chẳng qua là hơi điểm thấu liền một chút, Lý Thế Dân sau khi nghe được, thần sắc đột nhiên động một cái, hắn biết Tần Thiên nói rất có lý, cây bông vải sang năm khẳng định không thể nào lớn diện tích trồng trọt, cho dù có thương nhân từ Tây Vực mang về, vậy tuyệt đối sẽ không nhiều.

	Khi đó cây bông vải giá cả nhất định sẽ bị nâng cao, như mình có thể trồng trọt cây bông vải nói, khẳng định kiếm tiền.

	Còn nữa chính là, dưới tay hắn binh tướng không thiếu, ngày đông tùy thời cũng có thể tác chiến, nếu là không có áo bông, sợ là phải bị đông, nếu như hắn trồng áo bông, vậy liền có thể cho bọn họ những người này mỗi người một món.

	Có áo bông, rất nhiều chuyện hiệu suất cũng biết cao rất nhiều.

	Hắn ngẩng đầu nhìn một cái Tần Thiên, tiếp cũng không ở Tần phủ nhiều việc dừng lại, liền trực tiếp đi mình vương phủ chạy tới, Trình Giảo Kim nhìn một cái Tần Thiên: "Thằng nhóc ngươi à. . ."

	Trình Giảo Kim vậy vội vàng đi, có một số việc, chậm không được, chậm một bước, thì phải lạc hậu một bước.

	Tần Thiên nhìn bọn họ hai người rời đi hình bóng, rốt cuộc thở phào nhẹ nhõm, có một số việc, hắn cần phải nhắc nhở một chút Lý Thế Dân.

	Đông cung.

	Thái tử Lý Kiến Thành trở lại đông cung lúc này thần sắc ngưng trọng, băng lạnh tới cực điểm.

	Tống Công Khanh đã nghe nói triều đình lên sự việc.

	"Thái tử điện hạ, nhưng mà ở là Tần Thiên mà tức giận?"

	"Ngày hôm nay triều đình lên, rất nhiều người đều ở đây thay hắn nói chuyện, một cái nho nhỏ biệt giá, lại cũng có như vậy ảnh hưởng lực."

	Tống Công Khanh cười một tiếng: "Đều là lợi ích đổi được mà, vậy Tần Thiên chặn kiếm tiền thủ đoạn, đối với vương gia mà nói cũng không phải là chuyện tốt?"

	Thái tử gật đầu một cái.

	"Thật ra thì đối với vương gia mà nói, bây giờ còn chưa phải là tức giận lúc này hẳn mau sớm nghĩ biện pháp lấy được cây bông vải hạt giống mới được."

	"Cây bông vải hạt giống?"

	Tống Công Khanh gật đầu: "Không sai, sang năm cây bông vải sẽ rất đắt, thái tử điện hạ phải nuôi rất nhiều phủ binh, còn muốn thu xếp một ít quan viên, không có tiền là tuyệt đối không được, giống như vậy kiếm tiền thủ đoạn, thái tử điện hạ nếu không phải làm, há chẳng phải là tiện nghi những người khác?"

	"Thêm nữa, thái tử những tướng lính kia, vậy đều cần áo bông à, bất kể là thu thập lòng người, vẫn là ở ngày đông nâng cao bọn họ sức chiến đấu, cây bông vải là không thể thiếu."

	Lý Kiến Thành thần sắc hơi động, ngay sau đó vậy vội vàng an bài tới.Chương 231: Cầu mua 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Lúc này vạch tội Tần Thiên, hiển nhiên là đầu bị cửa cho kẹp.

	Tần Thiên đem rau lều lớn kỹ thuật cống hiến ra ngoài, lại đem vô dụng cây bông vải cho làm thành áo bông, vậy một kiện không phải lợi nước lợi dân?

	Trong triều quan viên rối rít khen, lúc này nói Tần Thiên không tốt, vậy đơn giản là tìm chết.

	Lý Uyên cũng không tốt nói Tần Thiên, nếu không thì muốn lạnh lòng người.

	Chẳng qua là cây bông vải hạt giống thiếu hụt, sang năm trồng làm sao cây bông vải?

	"Chư vị ái khanh, Tần ái khanh cây bông vải thật ra thì cũng không nhiều, ta Đại Đường muốn rộng rãi trồng trọt cây bông vải, những thứ này xa xa là không đủ, không biết các người có ai kế hay, có thể để cho ta Đại Đường phổ biến trồng trọt cây bông vải?"

	Lý Uyên nhìn chúng thần hỏi một câu, Lý Thế Dân đứng ra nói: "Phụ hoàng, chuyện này cũng dễ làm, cây bông vải là từ Tây Vực các nước truyền tới, đã như vậy, ta Đại Đường không bằng từ những cái kia Tây Vực cửa hàng trong tay người thu mua cây bông vải hạt, bọn họ gặp có lợi có thể toan tính, nhất định từ Tây Vực vận cây bông vải hạt tới à."

	"Thế Dân nói có đúng không sai, chẳng qua là đến lúc này một lần, khá mất thời gian ở giữa, sẽ sẽ không trễ nãi sang năm trồng trọt?"

	"Vẫn còn kịp."

	Lý Uyên gật đầu một cái: "Nếu như thế, vậy cứ như vậy đi."

	Quần thần lại một lần thương nghị, sau đó liền bãi triều.

	Mùa đông lâm triều gần đây cũng không thế nào trưởng, bãi triều thời điểm thời gian còn sớm.

	Trình Giảo Kim mới ra đại điện, liền vội vả bước nhanh hơn, Lý Thế Dân ở phía sau thấy cái này, nhất thời hừ một tiếng, hô: "Lô quốc công!"

	Trình Giảo Kim nghe được kêu, ngừng lại: "Vương gia có gì phân phó?"

	"Vội vả muốn đi làm cái gì à?"

	Trình Giảo Kim do dự một chút, nói: "Vương gia, cái này Tần Thiên lôi đi cây bông vải cũng không thiếu, có thể làm tốt mấy cái áo choàng dài đâu, ta muốn đi muốn. . . Mua một kiện."

	Lý Thế Dân cười một tiếng: "Vừa vặn bổn vương vậy có ý đó, cùng đi chứ."

	"Này!"

	Hai người nói xong liền đi Tần Thiên trong phủ chạy tới.

	Tần phủ.

	Đi qua tối ngày hôm qua và sáng hôm nay làm gấp rút, Tần Thiên rốt cuộc lại để cho người làm ra một cái áo choàng dài, cái này cái áo choàng dài ở dạng thức lên cùng trước khi cái đó không nhiều lắm khác biệt, chính là càng bó sát người liền một chút, ăn mặc ấm áp hơn và.

	Tần Thiên mới vừa mặc vào áo choàng dài thử một chút, Lý Thế Dân và Trình Giảo Kim hai người liền đi vào.

	"Ai nha, Tần gia tiểu tử ngươi ngày hôm nay nhưng mà xuất tẫn ngọn gió à." Trình Giảo Kim vừa tiến đến liền ồn ào, Tần Thiên vừa thấy là bọn họ 2 cái, nhất thời đem áo choàng dài cởi, ném cho Lô Hoa Nương sau liền nói: "Nhanh chóng cho ta thả đứng lên."

	Hai cái không biết xấu hổ tới, hắn thật sợ cái này hai người cùng Lý Uyên như vậy, đem mình áo bông lại cho phải đi, Lô Hoa Nương có chút kinh hoảng, cầm áo bông sẽ phải rời khỏi, lại bị Lý Thế Dân đột nhiên cản lại.

	"Chớ đi, đây chính là dùng cây bông vải làm áo choàng dài đi, nhìn như thật không tệ, tới, để cho bổn vương thử một chút."

	Vừa nói, Lý Thế Dân vậy không khách khí, trực tiếp từ Lô Hoa Nương trong tay đem áo choàng dài cho đoạt đi, sau đó cho mặc lên người, Lý Thế Dân vóc người tương đối mà nói so Tần Thiên muốn hơi mập một chút, Tần Thiên ăn mặc vừa vặn, hắn ăn mặc liền có chút sít chặt.

	Bất quá tuy là như vậy, hắn lại hết sức thích.

	"Thật ấm áp à!" Lý Thế Dân một tiếng thở dài, qua nhiều năm như vậy ngày đông, liền năm nay cái này ngày đông qua thoải mái, ngủ có giường sưởi, quần áo có áo bông, thoải mái.

	Tần Thiên nhìn Lý Thế Dân ăn mặc áo bông không ngừng kêu ấm áp, không có một chút muốn cởi ra ý nghĩa, hắn liền biết vật này sợ là không lấy về được.

	Trình Giảo Kim ở bên cạnh trơ mắt nhìn, có thể lại không dám hướng Lý Thế Dân muốn, chỉ có thể trừng mắt một cái Tần Thiên, hỏi: "Còn nữa không?"

	"Không có, cái này mới vừa làm được, ta còn không có ấm áp nóng đây." Vừa nói bĩu môi, Trình Giảo Kim nhưng là bất kể, nói: "Làm nhanh lên."

	Tần Thiên cười khổ: "Lô quốc công cũng muốn?"

	"Dĩ nhiên."

	"Năm mươi xâu tiền một kiện."

	Trình Giảo Kim ngưng mi, đùng một chút vỗ vào Tần Thiên trên bả vai: "Rẻ một chút?"

	Tần Thiên bị sợ liền một chút, vốn lấy là Trình Giảo Kim muốn chơi xấu đâu, không nghĩ tới lần này lại chịu cho tiền.

	"Xem ở Trình thúc phụ đối với ta tốt phân thượng, vậy thì bốn mươi xâu tiền đi."

	"Năm xâu tiền, ta muốn."

	Trình Giảo Kim ha ha cười, Tần Thiên có chút sững sờ, hắn cảm giác được mình thật là đánh giá quá cao Trình Giảo Kim, hắn không chơi xấu, có thể sao?

	Lý Thế Dân bên này, cười hắc hắc: "Cái này áo choàng dài bổn vương ăn mặc không tệ, ta liền mua đi."

	Vừa nói trực tiếp ném một khối ngân bánh cho Tần Thiên, Tần Thiên cười khổ, đem vậy ngân bánh tiếp sau đó, nói: "Vương gia, thà ở chỗ này tranh một cái áo choàng dài, không bằng làm một ít càng có ý nghĩa sự việc."

	Lý Thế Dân thần sắc hơi động, nói: "Ngươi lời này có ý gì?"

	"Vương gia hẳn rõ ràng, Thánh thượng tuy nói muốn rộng rãi trồng trọt cây bông vải, nhưng sang năm thật là có thể rộng rãi trồng trọt sao? Không gặp được đi, cho nên đến lúc đó, cây bông vải giá cả sẽ rất cao, khi đó, vương gia người có phải hay không cũng có thể mặc vào một kiện áo bông, coi như khó mà nói à."

	Tần Thiên chẳng qua là hơi điểm thấu liền một chút, Lý Thế Dân sau khi nghe được, thần sắc đột nhiên động một cái, hắn biết Tần Thiên nói rất có lý, cây bông vải sang năm khẳng định không thể nào lớn diện tích trồng trọt, cho dù có thương nhân từ Tây Vực mang về, vậy tuyệt đối sẽ không nhiều.

	Khi đó cây bông vải giá cả nhất định sẽ bị nâng cao, như mình có thể trồng trọt cây bông vải nói, khẳng định kiếm tiền.

	Còn nữa chính là, dưới tay hắn binh tướng không thiếu, ngày đông tùy thời cũng có thể tác chiến, nếu là không có áo bông, sợ là phải bị đông, nếu như hắn trồng áo bông, vậy liền có thể cho bọn họ những người này mỗi người một món.

	Có áo bông, rất nhiều chuyện hiệu suất cũng biết cao rất nhiều.

	Hắn ngẩng đầu nhìn một cái Tần Thiên, tiếp cũng không ở Tần phủ nhiều việc dừng lại, liền trực tiếp đi mình vương phủ chạy tới, Trình Giảo Kim nhìn một cái Tần Thiên: "Thằng nhóc ngươi à. . ."

	Trình Giảo Kim vậy vội vàng đi, có một số việc, chậm không được, chậm một bước, thì phải lạc hậu một bước.

	Tần Thiên nhìn bọn họ hai người rời đi hình bóng, rốt cuộc thở phào nhẹ nhõm, có một số việc, hắn cần phải nhắc nhở một chút Lý Thế Dân.

	Đông cung.

	Thái tử Lý Kiến Thành trở lại đông cung lúc này thần sắc ngưng trọng, băng lạnh tới cực điểm.

	Tống Công Khanh đã nghe nói triều đình lên sự việc.

	"Thái tử điện hạ, nhưng mà ở là Tần Thiên mà tức giận?"

	"Ngày hôm nay triều đình lên, rất nhiều người đều ở đây thay hắn nói chuyện, một cái nho nhỏ biệt giá, lại cũng có như vậy ảnh hưởng lực."

	Tống Công Khanh cười một tiếng: "Đều là lợi ích đổi được mà, vậy Tần Thiên chặn kiếm tiền thủ đoạn, đối với vương gia mà nói cũng không phải là chuyện tốt?"

	Thái tử gật đầu một cái.

	"Thật ra thì đối với vương gia mà nói, bây giờ còn chưa phải là tức giận lúc này hẳn mau sớm nghĩ biện pháp lấy được cây bông vải hạt giống mới được."

	"Cây bông vải hạt giống?"

	Tống Công Khanh gật đầu: "Không sai, sang năm cây bông vải sẽ rất đắt, thái tử điện hạ phải nuôi rất nhiều phủ binh, còn muốn thu xếp một ít quan viên, không có tiền là tuyệt đối không được, giống như vậy kiếm tiền thủ đoạn, thái tử điện hạ nếu không phải làm, há chẳng phải là tiện nghi những người khác?"

	"Thêm nữa, thái tử những tướng lính kia, vậy đều cần áo bông à, bất kể là thu thập lòng người, vẫn là ở ngày đông nâng cao bọn họ sức chiến đấu, cây bông vải là không thể thiếu."

	Lý Kiến Thành thần sắc hơi động, ngay sau đó vậy vội vàng an bài tới.Chương 231: Cầu mua 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Lúc này vạch tội Tần Thiên, hiển nhiên là đầu bị cửa cho kẹp.

	Tần Thiên đem rau lều lớn kỹ thuật cống hiến ra ngoài, lại đem vô dụng cây bông vải cho làm thành áo bông, vậy một kiện không phải lợi nước lợi dân?

	Trong triều quan viên rối rít khen, lúc này nói Tần Thiên không tốt, vậy đơn giản là tìm chết.

	Lý Uyên cũng không tốt nói Tần Thiên, nếu không thì muốn lạnh lòng người.

	Chẳng qua là cây bông vải hạt giống thiếu hụt, sang năm trồng làm sao cây bông vải?

