Chương 208: Lòng buồn thán tiện nguyện trời giá rét 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Trình Giảo Kim rời đi sau đó, Đường Dung và Lô Hoa Nương hai người mới vội vả chạy tới.
	Cửu công chúa cau mày, làm sao mình cứ muốn Tần Thiên?

	Nàng cưỡng bách mình không nên đi muốn cùng Tần Thiên có liên quan bất kỳ sự việc, có thể càng như vậy, nàng lại càng không nhịn được suy nghĩ, phòng tự mưa, bữa ăn sáng, giường sưởi, bia, Túy mỹ nhân. . .

	Cửu công chúa suy nghĩ một chút, đột nhiên phiền não ngồi dậy.

	Mà ngay tại lúc này, một người thị nữ vội vả báo lại: "Công chúa điện hạ, Tần Thiên tới."

	"Hắn tới làm gì?" Cửu công chúa giọng rất lạnh.

	"Công chúa điện hạ quần áo quên nhà hắn trên giường, hắn vội tới công chúa điện hạ đưa tới." Thị nữ lúc nói lời này, hơi có chút ngượng ngùng, thậm chí liền ngẩng đầu liếc mắt nhìn Cửu công chúa cũng không dám.

	Cửu công chúa nghe xong, nhất thời có chút tức giận, Tần Thiên tới đưa quần áo sẽ đưa quần áo, làm gì đem quần áo quên nhà hắn trên giường chuyện này vậy nói ra?

	Cái này không phải cố ý dụ cho người nghĩ thế nào sao?

	"Để cho hắn đi vào." Cửu công chúa giọng càng lạnh, tối tăm thị nữ nhưng là khẽ ngẩng đầu nhìn một cái Cửu công chúa, tiếp lộ ra một tia hiểu ý.

	Một cái quả phụ, hơn nữa còn là một rất trẻ tuổi quả phụ, thật giống như cũng có thể hiểu.

	Thị nữ lui ra ngoài, Cửu công chúa tức thiếu chút nữa kêu nàng trở lại quất nàng mấy bàn tay.

	Không lâu lắm, Tần Thiên vào Cửu công chúa phòng ngủ, đây là hắn lần thứ hai đi vào.

	"Công chúa điện hạ quần áo rơi vào ta trên giường đất, cho nên cố ý cho công chúa điện hạ đưa tới." Tần Thiên đem quần áo thổi phồng đi lên, Cửu công chúa nửa ỷ đầu giường, hơi ngước mắt nhìn một cái Tần Thiên, tiếp đem vậy quần áo nhận lấy ném ở bên cạnh trên đất, mặt đầy khinh thường.

	Giống như nói, Tần Thiên chạm qua đồ, nàng cảm thấy bẩn, không biết lại thêm.

	Tần Thiên ngưng mi, có một loại tuyển người chê cảm giác.

	Bất quá ở Cửu công chúa trước mặt, hắn nhưng chỉ là cười nhạt: "Cửu công chúa không cần?"

	"Không cần." Cửu công chúa mặt đầy khinh thường và chê, Tần Thiên nhưng là khom người đem vậy quần áo lại cho nhặt lên: "Mới vừa rồi lúc tới, gặp ven đường có tên ăn mày đông cả người phát run, cái này quần áo cho hắn hẳn có thể ấm áp lên một trận."

	Nghe được Tần Thiên lại muốn đem mình quần áo đưa cho một ăn xin cái, Cửu công chúa tức giận lập tức từ trên giường đứng lên, căm tức nhìn Tần Thiên: "Ngươi dám?"

	Tần Thiên mặt đầy ủy khuất: "Công chúa điện hạ không phải nói không cần sao?"

	"Bổn công chúa chính là không muốn, cũng không cho phép ngươi đưa cho ăn mày."

	"Công chúa điện hạ không để cho đưa cho ăn mày, vậy thì đưa cho bán thán ông đi, ta trong phủ mỗi ngày đều có bán thán ông tới đưa các-bon, chẳng qua là đáng thương trên mình y chính đan, lòng buồn thán tiện nguyện trời giá rét, cái này quần áo đưa cho bọn họ, thật giống như cũng không tệ."

	Tần Thiên cố ý khí Cửu công chúa, Cửu công chúa nhất thời nổi nóng không dứt, trợn mắt nhìn Tần Thiên nói: "Cho ta buông xuống."

	Tần Thiên đơn giản là đang làm nhục nàng, nàng Cửu công chúa xuyên qua quần áo, lại đưa cho cái gì ăn mày, bán thán ông, cái này làm cho nàng suy nghĩ một chút cũng cảm thấy chán ghét, muốn nổi da gà.

	Tần Thiên gặp Cửu công chúa như vậy, liền đem vậy quần áo lại đưa tới, Cửu công chúa vốn là muốn không tiếp, có thể vừa nghĩ tới không nhận, Tần Thiên liền lại phải đưa người, cũng chỉ tốt lại nhận.

	Nhận lấy sau lại muốn ném, có thể ngẩng đầu vừa thấy Tần Thiên vậy thiếu đánh dáng vẻ, cũng chỉ tốt đặt ở đầu giường.

	"Quần áo đã đưa tới, cáo từ."

	Vừa nói Tần Thiên sẽ phải rời khỏi, Cửu công chúa nhưng là đột nhiên nghĩ đến cái gì, vội vàng gọi lại hắn: "Ngươi đứng lại cho ta, mới vừa rồi nghe ngươi nói gì lòng buồn thán tiện nguyện trời giá rét, ngươi lửa kia giường lò rất phí các-bon sao?"

	"Phí, dĩ nhiên phí các-bon, người bình thường là không xài nổi."

	Cửu công chúa bĩu môi, ở nàng nhìn lại Tần Thiên hãy cùng người bình thường không việc gì khác biệt, có thể hắn lại nói ra lời này.

	"Cho ta nơi này vậy chế tạo một cái giường sưởi."

	"Công chúa muốn dùng giường sưởi, tự nhiên không có vấn đề, bất quá giá này tiền?"

	"Bổn công chúa còn không có trị tội ngươi đâu, ngươi còn dám cùng bổn công chúa nói giá tiền?" Cửu công chúa trợn mắt nhìn Tần Thiên, Tần Thiên nhưng là cười khổ: "Tại hạ thật giống như không đắc tội công chúa ngài chứ ?"

	"Xí, ngươi đắc tội bổn công chúa, ta nói cho ngươi, còn dám nói giá tiền, ta đem đầu lưỡi ngươi cắt đi."

	Bị Cửu công chúa như thế uy hiếp, Tần Thiên mặt đầy non nớt không thể yêu, mình gần đây làm thật là nhiều bồi bản sinh ý à, có thể làm ăn này không làm lại không được?

	"Cho công chúa chế tạo giường sưởi tự nhiên không có vấn đề gì, bất quá công chúa điện hạ xem ở ta bồi bản cho ngài chế tạo giường sưởi phân thượng, mong rằng công chúa điện hạ sau này thì đừng cái hố tại hạ, có yêu cầu gì ngài trực tiếp xách là được."

	Lời này mở miệng, Tần Thiên ngẩng đầu nhìn về Cửu công chúa, hắn sở dĩ xách bán thán ông, liền là muốn cho Cửu công chúa mở miệng để cho hắn cho chế tạo giường sưởi, chỉ có như vậy, hắn mới phải cùng Cửu công chúa ngửa bài.

	Nói thật, bị Cửu công chúa phụ nữ như vậy một mực nhớ, hắn thật sự là ăn không ngon ngủ không ngon à.

	Cửu công chúa nghe nói như vậy sau đó, nhưng là chân mày hơi chăm chú, trong lòng không thích.Chương 208: Lòng buồn thán tiện nguyện trời giá rét 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Trình Giảo Kim rời đi sau đó, Đường Dung và Lô Hoa Nương hai người mới vội vả chạy tới.

	"Tướng công, chuyện gì xảy ra?"

	Tần Thiên nhún nhún vai: "Xem ra Cửu công chúa là cố ý muốn hãm hại chúng ta à, bất quá chuyện tốt của nàng bị Lô quốc công cho phá hư, bất quá chúng ta vậy không thể khinh thường."

	Đường Dung gật đầu, nàng biết Cửu công chúa không phải cái loại đó chịu từ bỏ ý đồ người, một lần sao, chỉ sợ còn có lần thứ hai.

	Cùng người như vậy làm hàng xóm, sau này chỉ sợ được cẩn thận một chút một ít mới được.

	Đang như thế vừa nói, Lô Hoa Nương đột nhiên nha liền một tiếng: "Công chúa điện hạ áo khoác tại sao lại ở chỗ này?"

	Ở Tần Thiên trên giường đất, bất ngờ để Cửu công chúa áo khoác, Tần Thiên mơ hồ có chút bận tâm, Trình Giảo Kim cũng sinh nghi ngờ, Đường Dung và Lô Hoa Nương hai người chẳng lẽ vậy nghi ngờ chứ ?

	"Công chúa điện hạ sau khi đi vào quá nóng, liền cởi, lúc đi quên mất đi."

	Đường Dung gật đầu một cái: "Hay là cho hắn đưa đi tốt, miễn được nàng gây chuyện."

	"Đúng vậy, ở lại trong phủ không tiện."

	2 phụ nữ cũng không có hoài nghi cái gì, Cửu công chúa đang tìm bọn họ phiền toái đâu, làm sao có thể cùng Tần Thiên có cái gì?

	Thấy vậy, Tần Thiên mới rốt cục thở phào nhẹ nhõm, nói: "Cùng sau khi ăn cơm trưa xong, ta cho công chúa đưa tới cho."

	Phủ Cửu công chúa.

	Cửu công chúa hồi đến phủ lúc này gò má vẫn là ửng đỏ.

	Cho tới bây giờ không có người đàn ông kia dám như vậy nhẹ mỏng nàng đâu, ngày hôm nay Tần Thiên lại dám ôm nàng, thật là tức chết nàng, đáng hận hơn chính là, còn bị Trình Giảo Kim hiểu lầm.

	Nàng đường đường công chúa, làm sao có thể cùng Tần Thiên người như vậy có quan hệ thế nào?

	"Đáng ghét, đáng ghét. . ." Cửu công chúa giận đùng đùng đi gian phòng của mình đi, mà cho đến nàng vào gian phòng của mình, mới đột nhiên ý thức được rùng cả mình.

	"Ta bên ngoài bộ?" Cửu công chúa chân mày hơi chăm chú, tiếp lại hừ một tiếng: "Đáng ghét!"

	Nàng nhớ ra rồi, bất quá bây giờ nàng nhưng không thế nào muốn đi cầm.

	Sau giờ ngọ, Cửu công chúa ở mình phòng ngủ nghỉ ngơi, buổi trưa nàng cũng không thế nào ăn, bởi vì là thật ở không việc gì khẩu vị.

	Có thể làm nàng nằm ở mình xốp trên giường lúc này nhưng như cũ cảm thấy có chút lạnh, nàng đã mặc rất dầy quần áo, hơn nữa trong phòng còn có lò lửa, nhưng rùng mình vẫn là tập kích liền tới.

	Nàng nhớ lại Tần Thiên trong phòng giường sưởi, vậy cảm giác ấm áp thật tốt.

	Cửu công chúa cau mày, làm sao mình cứ muốn Tần Thiên?

	Nàng cưỡng bách mình không nên đi muốn cùng Tần Thiên có liên quan bất kỳ sự việc, có thể càng như vậy, nàng lại càng không nhịn được suy nghĩ, phòng tự mưa, bữa ăn sáng, giường sưởi, bia, Túy mỹ nhân. . .

	Cửu công chúa suy nghĩ một chút, đột nhiên phiền não ngồi dậy.

	Mà ngay tại lúc này, một người thị nữ vội vả báo lại: "Công chúa điện hạ, Tần Thiên tới."

	"Hắn tới làm gì?" Cửu công chúa giọng rất lạnh.

	"Công chúa điện hạ quần áo quên nhà hắn trên giường, hắn vội tới công chúa điện hạ đưa tới." Thị nữ lúc nói lời này, hơi có chút ngượng ngùng, thậm chí liền ngẩng đầu liếc mắt nhìn Cửu công chúa cũng không dám.

	Cửu công chúa nghe xong, nhất thời có chút tức giận, Tần Thiên tới đưa quần áo sẽ đưa quần áo, làm gì đem quần áo quên nhà hắn trên giường chuyện này vậy nói ra?

	Cái này không phải cố ý dụ cho người nghĩ thế nào sao?

	"Để cho hắn đi vào." Cửu công chúa giọng càng lạnh, tối tăm thị nữ nhưng là khẽ ngẩng đầu nhìn một cái Cửu công chúa, tiếp lộ ra một tia hiểu ý.

	Một cái quả phụ, hơn nữa còn là một rất trẻ tuổi quả phụ, thật giống như cũng có thể hiểu.

	Thị nữ lui ra ngoài, Cửu công chúa tức thiếu chút nữa kêu nàng trở lại quất nàng mấy bàn tay.

	Không lâu lắm, Tần Thiên vào Cửu công chúa phòng ngủ, đây là hắn lần thứ hai đi vào.

	"Công chúa điện hạ quần áo rơi vào ta trên giường đất, cho nên cố ý cho công chúa điện hạ đưa tới." Tần Thiên đem quần áo thổi phồng đi lên, Cửu công chúa nửa ỷ đầu giường, hơi ngước mắt nhìn một cái Tần Thiên, tiếp đem vậy quần áo nhận lấy ném ở bên cạnh trên đất, mặt đầy khinh thường.

	Giống như nói, Tần Thiên chạm qua đồ, nàng cảm thấy bẩn, không biết lại thêm.

	Tần Thiên ngưng mi, có một loại tuyển người chê cảm giác.

	Bất quá ở Cửu công chúa trước mặt, hắn nhưng chỉ là cười nhạt: "Cửu công chúa không cần?"

	"Không cần." Cửu công chúa mặt đầy khinh thường và chê, Tần Thiên nhưng là khom người đem vậy quần áo lại cho nhặt lên: "Mới vừa rồi lúc tới, gặp ven đường có tên ăn mày đông cả người phát run, cái này quần áo cho hắn hẳn có thể ấm áp lên một trận."

	Nghe được Tần Thiên lại muốn đem mình quần áo đưa cho một ăn xin cái, Cửu công chúa tức giận lập tức từ trên giường đứng lên, căm tức nhìn Tần Thiên: "Ngươi dám?"

	Tần Thiên mặt đầy ủy khuất: "Công chúa điện hạ không phải nói không cần sao?"

	"Bổn công chúa chính là không muốn, cũng không cho phép ngươi đưa cho ăn mày."

	"Công chúa điện hạ không để cho đưa cho ăn mày, vậy thì đưa cho bán thán ông đi, ta trong phủ mỗi ngày đều có bán thán ông tới đưa các-bon, chẳng qua là đáng thương trên mình y chính đan, lòng buồn thán tiện nguyện trời giá rét, cái này quần áo đưa cho bọn họ, thật giống như cũng không tệ."

	Tần Thiên cố ý khí Cửu công chúa, Cửu công chúa nhất thời nổi nóng không dứt, trợn mắt nhìn Tần Thiên nói: "Cho ta buông xuống."

	Tần Thiên đơn giản là đang làm nhục nàng, nàng Cửu công chúa xuyên qua quần áo, lại đưa cho cái gì ăn mày, bán thán ông, cái này làm cho nàng suy nghĩ một chút cũng cảm thấy chán ghét, muốn nổi da gà.

	Tần Thiên gặp Cửu công chúa như vậy, liền đem vậy quần áo lại đưa tới, Cửu công chúa vốn là muốn không tiếp, có thể vừa nghĩ tới không nhận, Tần Thiên liền lại phải đưa người, cũng chỉ tốt lại nhận.

	Nhận lấy sau lại muốn ném, có thể ngẩng đầu vừa thấy Tần Thiên vậy thiếu đánh dáng vẻ, cũng chỉ tốt đặt ở đầu giường.

	"Quần áo đã đưa tới, cáo từ."

	Vừa nói Tần Thiên sẽ phải rời khỏi, Cửu công chúa nhưng là đột nhiên nghĩ đến cái gì, vội vàng gọi lại hắn: "Ngươi đứng lại cho ta, mới vừa rồi nghe ngươi nói gì lòng buồn thán tiện nguyện trời giá rét, ngươi lửa kia giường lò rất phí các-bon sao?"

	"Phí, dĩ nhiên phí các-bon, người bình thường là không xài nổi."

	Cửu công chúa bĩu môi, ở nàng nhìn lại Tần Thiên hãy cùng người bình thường không việc gì khác biệt, có thể hắn lại nói ra lời này.

	"Cho ta nơi này vậy chế tạo một cái giường sưởi."

	"Công chúa muốn dùng giường sưởi, tự nhiên không có vấn đề, bất quá giá này tiền?"

	"Bổn công chúa còn không có trị tội ngươi đâu, ngươi còn dám cùng bổn công chúa nói giá tiền?" Cửu công chúa trợn mắt nhìn Tần Thiên, Tần Thiên nhưng là cười khổ: "Tại hạ thật giống như không đắc tội công chúa ngài chứ ?"

	"Xí, ngươi đắc tội bổn công chúa, ta nói cho ngươi, còn dám nói giá tiền, ta đem đầu lưỡi ngươi cắt đi."

	Bị Cửu công chúa như thế uy hiếp, Tần Thiên mặt đầy non nớt không thể yêu, mình gần đây làm thật là nhiều bồi bản sinh ý à, có thể làm ăn này không làm lại không được?

	"Cho công chúa chế tạo giường sưởi tự nhiên không có vấn đề gì, bất quá công chúa điện hạ xem ở ta bồi bản cho ngài chế tạo giường sưởi phân thượng, mong rằng công chúa điện hạ sau này thì đừng cái hố tại hạ, có yêu cầu gì ngài trực tiếp xách là được."

	Lời này mở miệng, Tần Thiên ngẩng đầu nhìn về Cửu công chúa, hắn sở dĩ xách bán thán ông, liền là muốn cho Cửu công chúa mở miệng để cho hắn cho chế tạo giường sưởi, chỉ có như vậy, hắn mới phải cùng Cửu công chúa ngửa bài.

	Nói thật, bị Cửu công chúa phụ nữ như vậy một mực nhớ, hắn thật sự là ăn không ngon ngủ không ngon à.

	Cửu công chúa nghe nói như vậy sau đó, nhưng là chân mày hơi chăm chú, trong lòng không thích.Chương 208: Lòng buồn thán tiện nguyện trời giá rét 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Trình Giảo Kim rời đi sau đó, Đường Dung và Lô Hoa Nương hai người mới vội vả chạy tới.

	"Tướng công, chuyện gì xảy ra?"

	Tần Thiên nhún nhún vai: "Xem ra Cửu công chúa là cố ý muốn hãm hại chúng ta à, bất quá chuyện tốt của nàng bị Lô quốc công cho phá hư, bất quá chúng ta vậy không thể khinh thường."

	Đường Dung gật đầu, nàng biết Cửu công chúa không phải cái loại đó chịu từ bỏ ý đồ người, một lần sao, chỉ sợ còn có lần thứ hai.

	Cùng người như vậy làm hàng xóm, sau này chỉ sợ được cẩn thận một chút một ít mới được.

	Đang như thế vừa nói, Lô Hoa Nương đột nhiên nha liền một tiếng: "Công chúa điện hạ áo khoác tại sao lại ở chỗ này?"

	Ở Tần Thiên trên giường đất, bất ngờ để Cửu công chúa áo khoác, Tần Thiên mơ hồ có chút bận tâm, Trình Giảo Kim cũng sinh nghi ngờ, Đường Dung và Lô Hoa Nương hai người chẳng lẽ vậy nghi ngờ chứ ?

	"Công chúa điện hạ sau khi đi vào quá nóng, liền cởi, lúc đi quên mất đi."

	Đường Dung gật đầu một cái: "Hay là cho hắn đưa đi tốt, miễn được nàng gây chuyện."

	"Đúng vậy, ở lại trong phủ không tiện."

	2 phụ nữ cũng không có hoài nghi cái gì, Cửu công chúa đang tìm bọn họ phiền toái đâu, làm sao có thể cùng Tần Thiên có cái gì?

	Thấy vậy, Tần Thiên mới rốt cục thở phào nhẹ nhõm, nói: "Cùng sau khi ăn cơm trưa xong, ta cho công chúa đưa tới cho."

	Phủ Cửu công chúa.

	Cửu công chúa hồi đến phủ lúc này gò má vẫn là ửng đỏ.

	Cho tới bây giờ không có người đàn ông kia dám như vậy nhẹ mỏng nàng đâu, ngày hôm nay Tần Thiên lại dám ôm nàng, thật là tức chết nàng, đáng hận hơn chính là, còn bị Trình Giảo Kim hiểu lầm.

	Nàng đường đường công chúa, làm sao có thể cùng Tần Thiên người như vậy có quan hệ thế nào?

	"Đáng ghét, đáng ghét. . ." Cửu công chúa giận đùng đùng đi gian phòng của mình đi, mà cho đến nàng vào gian phòng của mình, mới đột nhiên ý thức được rùng cả mình.

	"Ta bên ngoài bộ?" Cửu công chúa chân mày hơi chăm chú, tiếp lại hừ một tiếng: "Đáng ghét!"

	Nàng nhớ ra rồi, bất quá bây giờ nàng nhưng không thế nào muốn đi cầm.

	Sau giờ ngọ, Cửu công chúa ở mình phòng ngủ nghỉ ngơi, buổi trưa nàng cũng không thế nào ăn, bởi vì là thật ở không việc gì khẩu vị.

	Có thể làm nàng nằm ở mình xốp trên giường lúc này nhưng như cũ cảm thấy có chút lạnh, nàng đã mặc rất dầy quần áo, hơn nữa trong phòng còn có lò lửa, nhưng rùng mình vẫn là tập kích liền tới.

	Nàng nhớ lại Tần Thiên trong phòng giường sưởi, vậy cảm giác ấm áp thật tốt.

	Cửu công chúa cau mày, làm sao mình cứ muốn Tần Thiên?

	Nàng cưỡng bách mình không nên đi muốn cùng Tần Thiên có liên quan bất kỳ sự việc, có thể càng như vậy, nàng lại càng không nhịn được suy nghĩ, phòng tự mưa, bữa ăn sáng, giường sưởi, bia, Túy mỹ nhân. . .

	Cửu công chúa suy nghĩ một chút, đột nhiên phiền não ngồi dậy.

	Mà ngay tại lúc này, một người thị nữ vội vả báo lại: "Công chúa điện hạ, Tần Thiên tới."

	"Hắn tới làm gì?" Cửu công chúa giọng rất lạnh.

	"Công chúa điện hạ quần áo quên nhà hắn trên giường, hắn vội tới công chúa điện hạ đưa tới." Thị nữ lúc nói lời này, hơi có chút ngượng ngùng, thậm chí liền ngẩng đầu liếc mắt nhìn Cửu công chúa cũng không dám.

	Cửu công chúa nghe xong, nhất thời có chút tức giận, Tần Thiên tới đưa quần áo sẽ đưa quần áo, làm gì đem quần áo quên nhà hắn trên giường chuyện này vậy nói ra?

	Cái này không phải cố ý dụ cho người nghĩ thế nào sao?

	"Để cho hắn đi vào." Cửu công chúa giọng càng lạnh, tối tăm thị nữ nhưng là khẽ ngẩng đầu nhìn một cái Cửu công chúa, tiếp lộ ra một tia hiểu ý.

	Một cái quả phụ, hơn nữa còn là một rất trẻ tuổi quả phụ, thật giống như cũng có thể hiểu.

	Thị nữ lui ra ngoài, Cửu công chúa tức thiếu chút nữa kêu nàng trở lại quất nàng mấy bàn tay.

	Không lâu lắm, Tần Thiên vào Cửu công chúa phòng ngủ, đây là hắn lần thứ hai đi vào.

	"Công chúa điện hạ quần áo rơi vào ta trên giường đất, cho nên cố ý cho công chúa điện hạ đưa tới." Tần Thiên đem quần áo thổi phồng đi lên, Cửu công chúa nửa ỷ đầu giường, hơi ngước mắt nhìn một cái Tần Thiên, tiếp đem vậy quần áo nhận lấy ném ở bên cạnh trên đất, mặt đầy khinh thường.

	Giống như nói, Tần Thiên chạm qua đồ, nàng cảm thấy bẩn, không biết lại thêm.

	Tần Thiên ngưng mi, có một loại tuyển người chê cảm giác.

	Bất quá ở Cửu công chúa trước mặt, hắn nhưng chỉ là cười nhạt: "Cửu công chúa không cần?"

	"Không cần." Cửu công chúa mặt đầy khinh thường và chê, Tần Thiên nhưng là khom người đem vậy quần áo lại cho nhặt lên: "Mới vừa rồi lúc tới, gặp ven đường có tên ăn mày đông cả người phát run, cái này quần áo cho hắn hẳn có thể ấm áp lên một trận."

	Nghe được Tần Thiên lại muốn đem mình quần áo đưa cho một ăn xin cái, Cửu công chúa tức giận lập tức từ trên giường đứng lên, căm tức nhìn Tần Thiên: "Ngươi dám?"

	Tần Thiên mặt đầy ủy khuất: "Công chúa điện hạ không phải nói không cần sao?"

	"Bổn công chúa chính là không muốn, cũng không cho phép ngươi đưa cho ăn mày."

	"Công chúa điện hạ không để cho đưa cho ăn mày, vậy thì đưa cho bán thán ông đi, ta trong phủ mỗi ngày đều có bán thán ông tới đưa các-bon, chẳng qua là đáng thương trên mình y chính đan, lòng buồn thán tiện nguyện trời giá rét, cái này quần áo đưa cho bọn họ, thật giống như cũng không tệ."

	Tần Thiên cố ý khí Cửu công chúa, Cửu công chúa nhất thời nổi nóng không dứt, trợn mắt nhìn Tần Thiên nói: "Cho ta buông xuống."

	Tần Thiên đơn giản là đang làm nhục nàng, nàng Cửu công chúa xuyên qua quần áo, lại đưa cho cái gì ăn mày, bán thán ông, cái này làm cho nàng suy nghĩ một chút cũng cảm thấy chán ghét, muốn nổi da gà.

	Tần Thiên gặp Cửu công chúa như vậy, liền đem vậy quần áo lại đưa tới, Cửu công chúa vốn là muốn không tiếp, có thể vừa nghĩ tới không nhận, Tần Thiên liền lại phải đưa người, cũng chỉ tốt lại nhận.

	Nhận lấy sau lại muốn ném, có thể ngẩng đầu vừa thấy Tần Thiên vậy thiếu đánh dáng vẻ, cũng chỉ tốt đặt ở đầu giường.

	"Quần áo đã đưa tới, cáo từ."

	Vừa nói Tần Thiên sẽ phải rời khỏi, Cửu công chúa nhưng là đột nhiên nghĩ đến cái gì, vội vàng gọi lại hắn: "Ngươi đứng lại cho ta, mới vừa rồi nghe ngươi nói gì lòng buồn thán tiện nguyện trời giá rét, ngươi lửa kia giường lò rất phí các-bon sao?"

	"Phí, dĩ nhiên phí các-bon, người bình thường là không xài nổi."

	Cửu công chúa bĩu môi, ở nàng nhìn lại Tần Thiên hãy cùng người bình thường không việc gì khác biệt, có thể hắn lại nói ra lời này.

	"Cho ta nơi này vậy chế tạo một cái giường sưởi."

	"Công chúa muốn dùng giường sưởi, tự nhiên không có vấn đề, bất quá giá này tiền?"

	"Bổn công chúa còn không có trị tội ngươi đâu, ngươi còn dám cùng bổn công chúa nói giá tiền?" Cửu công chúa trợn mắt nhìn Tần Thiên, Tần Thiên nhưng là cười khổ: "Tại hạ thật giống như không đắc tội công chúa ngài chứ ?"

	"Xí, ngươi đắc tội bổn công chúa, ta nói cho ngươi, còn dám nói giá tiền, ta đem đầu lưỡi ngươi cắt đi."

	Bị Cửu công chúa như thế uy hiếp, Tần Thiên mặt đầy non nớt không thể yêu, mình gần đây làm thật là nhiều bồi bản sinh ý à, có thể làm ăn này không làm lại không được?

	"Cho công chúa chế tạo giường sưởi tự nhiên không có vấn đề gì, bất quá công chúa điện hạ xem ở ta bồi bản cho ngài chế tạo giường sưởi phân thượng, mong rằng công chúa điện hạ sau này thì đừng cái hố tại hạ, có yêu cầu gì ngài trực tiếp xách là được."

	Lời này mở miệng, Tần Thiên ngẩng đầu nhìn về Cửu công chúa, hắn sở dĩ xách bán thán ông, liền là muốn cho Cửu công chúa mở miệng để cho hắn cho chế tạo giường sưởi, chỉ có như vậy, hắn mới phải cùng Cửu công chúa ngửa bài.

	Nói thật, bị Cửu công chúa phụ nữ như vậy một mực nhớ, hắn thật sự là ăn không ngon ngủ không ngon à.

	Cửu công chúa nghe nói như vậy sau đó, nhưng là chân mày hơi chăm chú, trong lòng không thích.Chương 208: Lòng buồn thán tiện nguyện trời giá rét 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Trình Giảo Kim rời đi sau đó, Đường Dung và Lô Hoa Nương hai người mới vội vả chạy tới.

	"Tướng công, chuyện gì xảy ra?"

