Chương 43: Băng vệ sinh 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Người phụ nữ có hai thống khổ lớn là người đàn ông vĩnh viễn cũng không lãnh hội được.
	Chẳng qua là từ trong nhà sau khi đi ra, Tần Thiên lại chân thực nhàm chán, nghĩ đến tối hôm nay Đường Dung dùng phân tro tới hút máu, không kiềm được một hồi run rẩy, vật kia vệ sinh sao?

	Nghĩ như vậy, hắn đi liền kho hàng tìm một ít tương đối mềm bố trí, cộng thêm một ít hút bơi lội giỏi tốt miên hoa, sau đó dựa theo đời sau băng vệ sinh bộ dáng, cho Đường Dung luyện chế.

	Việc thêu thùa may vá loại chuyện này, Tần Thiên trước kia là sẽ không, bất quá có ngón tay vàng ở đây, thứ gì đều là bắt vào tay, rất nhanh quen thuộc.

	Cho nên không thời gian bao lâu, Tần Thiên liền may liền bảy tám cái, hắn cảm thấy những thứ này hẳn đủ Đường Dung lần này kinh nguyệt dùng, hơn nữa như thế một bận rộn, còn có chút khốn, vì vậy liền trực tiếp ngủ ở chỗ này liền đứng lên.

	Sáng sớm ngày kế, Đường Dung không biết mình lúc nào ngủ, lúc nàng tỉnh lại, phát hiện gối là ướt, nàng đột nhiên nghĩ đến, mình đêm qua thật giống như khóc.

	Không kiềm được một hồi không nói ra được thương tâm đập vào mặt.

	Mà ngay tại lúc này, Tiểu Thanh từ bên ngoài vội vàng chạy tới.

	"Tiểu thư, tiểu thư, ngài xem đây là cái đồ gì?"

	Tiểu Thanh cầm băng vệ sinh chạy vào, vật kia không lớn, cũng chỉ hai cái lớn chừng bàn tay, ở giữa cổ cổ, mềm nhũn, bốn phía dùng dây nhỏ cho may liền đứng lên.

	Đường Dung cũng không biết đây là cái gì, thậm chí nhìn vật này hình dáng, vậy hoàn toàn không hiểu vật này có ích lợi gì.

	"Tiểu Thanh, ngươi lại ham chơi, đây là cái đồ gì?" Đường Dung trong lòng không thoải mái, thân thể cũng không thoải mái, không kiềm được nóng nảy có chút lớn, nói chuyện lạnh lùng, tựa như mang tức giận.

	Tiểu Thanh bên này nhưng là mặt đầy ủy khuất: "Tiểu thư, đây là băng vệ sinh."

	"Băng vệ sinh?" Đường Dung càng phát ra kỳ quái, nàng cho tới bây giờ chưa từng nghe qua danh tự này, chẳng lẽ vật này cùng dì có quan hệ, có thể nàng cũng không có dì.

	"Đúng vậy tiểu thư, ngài không phải tới kinh nguyệt liền mà, đem vật này để lên, lại thoải mái vừa có thể phòng ngừa xuất hiện bất ngờ, hơn nữa còn rất vệ sinh, được không dùng." Tiểu Thanh nói hưng phấn, giống như nàng dùng qua tựa như.

	Mà lúc này bị Tiểu Thanh nói một chút băng vệ sinh công dụng, Đường Dung phát hiện vật kia thật giống như thật là có điểm giống như, vì vậy liền lấy một cái ở trong tay, sờ lên sau đó, phát hiện băng vệ sinh quả nhiên rất mềm, so tối ngày hôm qua dùng vải có thể thoải mái hơn.

	Nàng tháo ra quần áo thử một cái, phát hiện rất thoải mái, hơn nữa một chút không ảnh hưởng mình thường ngày đi đi lại lại.

	"Tiểu Thanh, đồ tốt như vậy, ngươi từ vậy có được?"

	Tiểu Thanh cười một tiếng: "Sáng sớm hôm nay cô gia kêu ta đã qua để cho ta cầm, cái này băng vệ sinh là cô gia phát minh, ngày hôm qua hắn nhưng mà luyện chế một đêm đâu, ta sáng sớm hôm nay thấy hắn lúc này hắn ánh mắt cũng sưng đỏ."

	Nghe được băng vệ sinh là Tần Thiên thức đêm cho mình làm, Đường Dung trong lòng một hồi ấm áp tấn công tới, có một cái như vậy người đàn ông là mình làm chuyện này, nàng đã không biết nên nói cái gì cho phải.

	Hận không thể lập tức vùi đầu vào người đàn ông này trong ngực tới.

	Bọn họ người phụ nữ, gần đây đều là làm là người đàn ông phụ thuộc tồn tại, người đàn ông kia chịu tiêu phí tâm tư là một người phụ nữ làm những thứ này?

	Nhưng ngay khi Đường Dung chuẩn bị hướng Tần Thiên biểu lộ trung tràng lúc này đột nhiên ý thức được một cái vấn đề, đó chính là cái này băng vệ sinh việc thêu thùa may vá hết sức không tệ, chính là tinh thông nữ hồng nàng đều có điểm tự thẹn không bằng, không có bốn năm năm kinh nghiệm, sợ là không luyện được cái này.

	Tiểu Thanh nói vật này là Tần Thiên làm, có thể hắn một cái người đàn ông làm sao biết làm cái này?

	"Chẳng lẽ. . ." Đường Dung đột nhiên có một cái không tốt ý niệm.

	Một người đàn ông lại biết làm việc thêu thùa may vá, hơn nữa người đàn ông này đối mặt mình một cái như vậy người đẹp còn có thể thờ ơ, nói hắn là người đàn ông, ai tin?

	"Chẳng lẽ hắn không phải người đàn ông?"

	Đường Dung tự nhiên không hủy bỏ Tần Thiên là người đàn ông chuyện này, nhưng nàng cũng biết, có người đàn ông có đồng tình luyến ái, có người đàn ông phương diện kia không được, vì vậy liền càng ngày càng âm nhu, hết lần này tới lần khác thích người phụ nữ làm sự việc.

	Lúc này Đường Dung cảm thấy cái này khác biệt, Tần Thiên nhất định là chiếm một cái, nếu không hắn trước đó những phản ứng kia thì hoàn toàn nói không thông.

	Mà nghĩ tới những thứ này sau đó, Đường Dung lập tức tê liệt ngồi trên mặt đất, trong lòng càng khổ đứng lên, vốn lấy là gả cho cái người trai hiền, không thể tưởng gả cho cái giả người đàn ông, mình cả đời này coi như là không hy vọng à.

	Nước mắt theo Đường Dung gò má chảy xuống, còn như đi tìm Tần Thiên tố trung tràng ý niệm, dĩ nhiên là sớm tan thành mây khói, đối với một cái giả nam nhân nói những thứ này, thì có ích lợi gì đâu ?

	"Tiểu thư, ngài khóc cái gì à, cô gia đối với ngài tốt biết bao à." Tiểu Thanh không hiểu Đường Dung làm sao đột nhiên khóc, nàng có chút lo lắng, Đường Dung khẽ than một tiếng, lau đi nước mắt sau đó, nói: "Tiểu thư đây là cao hứng."

	"Tiểu thư cao hứng khóc, ta đi nói cho cô gia. . ."Chương 43: Băng vệ sinh 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Người phụ nữ có hai thống khổ lớn là người đàn ông vĩnh viễn cũng không lãnh hội được.

	Một là sanh con, hai là tới kinh nguyệt.

	Đường Dung tới kinh nguyệt, bất quá Tần Thiên ban đầu cũng không có cảm thấy cái này có gì, mỗi người đàn bà mỗi một tháng cũng biết tới kinh nguyệt, hắn cảm thấy cái này đối với nữ nhân mà nói quá bình thường.

	Bất quá làm hắn thấy Tiểu Thanh lại là cầm vải, lại là bắt phân tro, sau đó lại là nấu nước lúc này hắn mới phát hiện tới kinh nguyệt đối với cổ đại nữ nhân mà nói là một đại sự.

	Hoặc giả nói là một kiện hết sức rườm rà, lại rất đau đớn sự việc.

	Tiểu Thanh và Đường Dung hai người dày vò đến lớn nửa đêm sau đó, Tần Thiên mới rốt cục trở lại phòng ngủ tiếp tục nghỉ ngơi.

	Chẳng qua là bị Đường Dung như thế ồn ào, hắn có chút ngủ hưng hoàn toàn không có, không biết chuyện gì, hắn tổng không nhịn được nghĩ đi Đường Dung đi nơi nào hi vọng, trông Đường Dung rất là ngượng ngùng, cũng có chút cáu giận.

	Trong chốc lát, hai người sống chung một phòng thay đổi càng phát ra lúng túng.

	Trước kia không phát sinh chuyện này lúc này Tần Thiên cũng không cảm thấy có nhiều lúng túng, nhiều nhất chính là hai người tất cả ngủ riêng thôi, có thể xảy ra chuyện này, một ít suy nghĩ liền có chút không phòng giữ được.

	Trăng đã giữa trời, Đường Dung cũng bị chuyện tối hôm nay gây ra rất ngại quá, hơn nữa luôn là bị Tần Thiên trộm xem, nàng càng không buồn ngủ, nằm ở trên giường trằn trọc trở mình.

	Mà đang ở nàng ở trên giường qua lại phiên động lúc này phía dưới đột nhiên truyền tới một hồi tiếng vang, ngay sau đó nghe cửa két một tiếng mở ra, nàng nghiêng người sang tới, vừa vặn thấy Tần Thiên bóng người biến mất ở trong màn đêm.

	Thấy Tần Thiên rời đi, nàng đột nhiên bị tổn thương lòng.

	"Chẳng lẽ chuyện tối hôm nay, để cho hắn đối với ta càng phát ra chán ghét?" Đường Dung từ trên giường ngồi dậy, không biết bắt đầu từ lúc nào, nàng lại vậy đa sầu đa cảm, đem Tần Thiên rời đi cho là Tần Thiên đối với nàng chán ghét.

	Dẫu sao tối hôm nay nàng đích xác có chút nhiều chuyện, làm trễ nãi Tần Thiên nghỉ ngơi.

	Nàng đột nhiên có chút oán hận, oán hận vì sao hết lần này tới lần khác ở tối hôm nay tới kinh nguyệt.

	Đêm đã khuya sâu, Tần Thiên chẳng qua là bởi vì là thật ở không ngủ được vừa mới nghĩ đi ra đi tới lui, đối với Đường Dung cũng không có một chút chán ghét ý nghĩa, hơn nữa hắn rất lo lắng mình lại tiếp tục đợi tiếp, dục vọng sẽ không khống chế được, hắn trước kia cho tới bây giờ không có như vậy qua, nhưng tối hôm nay nhưng luôn là sẽ nhớ tới một ít phái nữ nơi kín đáo tranh ảnh.

	Chẳng qua là từ trong nhà sau khi đi ra, Tần Thiên lại chân thực nhàm chán, nghĩ đến tối hôm nay Đường Dung dùng phân tro tới hút máu, không kiềm được một hồi run rẩy, vật kia vệ sinh sao?

	Nghĩ như vậy, hắn đi liền kho hàng tìm một ít tương đối mềm bố trí, cộng thêm một ít hút bơi lội giỏi tốt miên hoa, sau đó dựa theo đời sau băng vệ sinh bộ dáng, cho Đường Dung luyện chế.

	Việc thêu thùa may vá loại chuyện này, Tần Thiên trước kia là sẽ không, bất quá có ngón tay vàng ở đây, thứ gì đều là bắt vào tay, rất nhanh quen thuộc.

	Cho nên không thời gian bao lâu, Tần Thiên liền may liền bảy tám cái, hắn cảm thấy những thứ này hẳn đủ Đường Dung lần này kinh nguyệt dùng, hơn nữa như thế một bận rộn, còn có chút khốn, vì vậy liền trực tiếp ngủ ở chỗ này liền đứng lên.

	Sáng sớm ngày kế, Đường Dung không biết mình lúc nào ngủ, lúc nàng tỉnh lại, phát hiện gối là ướt, nàng đột nhiên nghĩ đến, mình đêm qua thật giống như khóc.

	Không kiềm được một hồi không nói ra được thương tâm đập vào mặt.

	Mà ngay tại lúc này, Tiểu Thanh từ bên ngoài vội vàng chạy tới.

	"Tiểu thư, tiểu thư, ngài xem đây là cái đồ gì?"

	Tiểu Thanh cầm băng vệ sinh chạy vào, vật kia không lớn, cũng chỉ hai cái lớn chừng bàn tay, ở giữa cổ cổ, mềm nhũn, bốn phía dùng dây nhỏ cho may liền đứng lên.

	Đường Dung cũng không biết đây là cái gì, thậm chí nhìn vật này hình dáng, vậy hoàn toàn không hiểu vật này có ích lợi gì.

	"Tiểu Thanh, ngươi lại ham chơi, đây là cái đồ gì?" Đường Dung trong lòng không thoải mái, thân thể cũng không thoải mái, không kiềm được nóng nảy có chút lớn, nói chuyện lạnh lùng, tựa như mang tức giận.

	Tiểu Thanh bên này nhưng là mặt đầy ủy khuất: "Tiểu thư, đây là băng vệ sinh."

	"Băng vệ sinh?" Đường Dung càng phát ra kỳ quái, nàng cho tới bây giờ chưa từng nghe qua danh tự này, chẳng lẽ vật này cùng dì có quan hệ, có thể nàng cũng không có dì.

	"Đúng vậy tiểu thư, ngài không phải tới kinh nguyệt liền mà, đem vật này để lên, lại thoải mái vừa có thể phòng ngừa xuất hiện bất ngờ, hơn nữa còn rất vệ sinh, được không dùng." Tiểu Thanh nói hưng phấn, giống như nàng dùng qua tựa như.

	Mà lúc này bị Tiểu Thanh nói một chút băng vệ sinh công dụng, Đường Dung phát hiện vật kia thật giống như thật là có điểm giống như, vì vậy liền lấy một cái ở trong tay, sờ lên sau đó, phát hiện băng vệ sinh quả nhiên rất mềm, so tối ngày hôm qua dùng vải có thể thoải mái hơn.

	Nàng tháo ra quần áo thử một cái, phát hiện rất thoải mái, hơn nữa một chút không ảnh hưởng mình thường ngày đi đi lại lại.

	"Tiểu Thanh, đồ tốt như vậy, ngươi từ vậy có được?"

	Tiểu Thanh cười một tiếng: "Sáng sớm hôm nay cô gia kêu ta đã qua để cho ta cầm, cái này băng vệ sinh là cô gia phát minh, ngày hôm qua hắn nhưng mà luyện chế một đêm đâu, ta sáng sớm hôm nay thấy hắn lúc này hắn ánh mắt cũng sưng đỏ."

	Nghe được băng vệ sinh là Tần Thiên thức đêm cho mình làm, Đường Dung trong lòng một hồi ấm áp tấn công tới, có một cái như vậy người đàn ông là mình làm chuyện này, nàng đã không biết nên nói cái gì cho phải.

	Hận không thể lập tức vùi đầu vào người đàn ông này trong ngực tới.

	Bọn họ người phụ nữ, gần đây đều là làm là người đàn ông phụ thuộc tồn tại, người đàn ông kia chịu tiêu phí tâm tư là một người phụ nữ làm những thứ này?

	Nhưng ngay khi Đường Dung chuẩn bị hướng Tần Thiên biểu lộ trung tràng lúc này đột nhiên ý thức được một cái vấn đề, đó chính là cái này băng vệ sinh việc thêu thùa may vá hết sức không tệ, chính là tinh thông nữ hồng nàng đều có điểm tự thẹn không bằng, không có bốn năm năm kinh nghiệm, sợ là không luyện được cái này.

	Tiểu Thanh nói vật này là Tần Thiên làm, có thể hắn một cái người đàn ông làm sao biết làm cái này?

	"Chẳng lẽ. . ." Đường Dung đột nhiên có một cái không tốt ý niệm.

	Một người đàn ông lại biết làm việc thêu thùa may vá, hơn nữa người đàn ông này đối mặt mình một cái như vậy người đẹp còn có thể thờ ơ, nói hắn là người đàn ông, ai tin?

	"Chẳng lẽ hắn không phải người đàn ông?"

	Đường Dung tự nhiên không hủy bỏ Tần Thiên là người đàn ông chuyện này, nhưng nàng cũng biết, có người đàn ông có đồng tình luyến ái, có người đàn ông phương diện kia không được, vì vậy liền càng ngày càng âm nhu, hết lần này tới lần khác thích người phụ nữ làm sự việc.

	Lúc này Đường Dung cảm thấy cái này khác biệt, Tần Thiên nhất định là chiếm một cái, nếu không hắn trước đó những phản ứng kia thì hoàn toàn nói không thông.

	Mà nghĩ tới những thứ này sau đó, Đường Dung lập tức tê liệt ngồi trên mặt đất, trong lòng càng khổ đứng lên, vốn lấy là gả cho cái người trai hiền, không thể tưởng gả cho cái giả người đàn ông, mình cả đời này coi như là không hy vọng à.

	Nước mắt theo Đường Dung gò má chảy xuống, còn như đi tìm Tần Thiên tố trung tràng ý niệm, dĩ nhiên là sớm tan thành mây khói, đối với một cái giả nam nhân nói những thứ này, thì có ích lợi gì đâu ?

	"Tiểu thư, ngài khóc cái gì à, cô gia đối với ngài tốt biết bao à." Tiểu Thanh không hiểu Đường Dung làm sao đột nhiên khóc, nàng có chút lo lắng, Đường Dung khẽ than một tiếng, lau đi nước mắt sau đó, nói: "Tiểu thư đây là cao hứng."

	"Tiểu thư cao hứng khóc, ta đi nói cho cô gia. . ."Chương 43: Băng vệ sinh 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Người phụ nữ có hai thống khổ lớn là người đàn ông vĩnh viễn cũng không lãnh hội được.

	Một là sanh con, hai là tới kinh nguyệt.

	Đường Dung tới kinh nguyệt, bất quá Tần Thiên ban đầu cũng không có cảm thấy cái này có gì, mỗi người đàn bà mỗi một tháng cũng biết tới kinh nguyệt, hắn cảm thấy cái này đối với nữ nhân mà nói quá bình thường.

	Bất quá làm hắn thấy Tiểu Thanh lại là cầm vải, lại là bắt phân tro, sau đó lại là nấu nước lúc này hắn mới phát hiện tới kinh nguyệt đối với cổ đại nữ nhân mà nói là một đại sự.

	Hoặc giả nói là một kiện hết sức rườm rà, lại rất đau đớn sự việc.

	Tiểu Thanh và Đường Dung hai người dày vò đến lớn nửa đêm sau đó, Tần Thiên mới rốt cục trở lại phòng ngủ tiếp tục nghỉ ngơi.

	Chẳng qua là bị Đường Dung như thế ồn ào, hắn có chút ngủ hưng hoàn toàn không có, không biết chuyện gì, hắn tổng không nhịn được nghĩ đi Đường Dung đi nơi nào hi vọng, trông Đường Dung rất là ngượng ngùng, cũng có chút cáu giận.

	Trong chốc lát, hai người sống chung một phòng thay đổi càng phát ra lúng túng.

	Trước kia không phát sinh chuyện này lúc này Tần Thiên cũng không cảm thấy có nhiều lúng túng, nhiều nhất chính là hai người tất cả ngủ riêng thôi, có thể xảy ra chuyện này, một ít suy nghĩ liền có chút không phòng giữ được.

	Trăng đã giữa trời, Đường Dung cũng bị chuyện tối hôm nay gây ra rất ngại quá, hơn nữa luôn là bị Tần Thiên trộm xem, nàng càng không buồn ngủ, nằm ở trên giường trằn trọc trở mình.

	Mà đang ở nàng ở trên giường qua lại phiên động lúc này phía dưới đột nhiên truyền tới một hồi tiếng vang, ngay sau đó nghe cửa két một tiếng mở ra, nàng nghiêng người sang tới, vừa vặn thấy Tần Thiên bóng người biến mất ở trong màn đêm.

	Thấy Tần Thiên rời đi, nàng đột nhiên bị tổn thương lòng.

	"Chẳng lẽ chuyện tối hôm nay, để cho hắn đối với ta càng phát ra chán ghét?" Đường Dung từ trên giường ngồi dậy, không biết bắt đầu từ lúc nào, nàng lại vậy đa sầu đa cảm, đem Tần Thiên rời đi cho là Tần Thiên đối với nàng chán ghét.

	Dẫu sao tối hôm nay nàng đích xác có chút nhiều chuyện, làm trễ nãi Tần Thiên nghỉ ngơi.

	Nàng đột nhiên có chút oán hận, oán hận vì sao hết lần này tới lần khác ở tối hôm nay tới kinh nguyệt.

	Đêm đã khuya sâu, Tần Thiên chẳng qua là bởi vì là thật ở không ngủ được vừa mới nghĩ đi ra đi tới lui, đối với Đường Dung cũng không có một chút chán ghét ý nghĩa, hơn nữa hắn rất lo lắng mình lại tiếp tục đợi tiếp, dục vọng sẽ không khống chế được, hắn trước kia cho tới bây giờ không có như vậy qua, nhưng tối hôm nay nhưng luôn là sẽ nhớ tới một ít phái nữ nơi kín đáo tranh ảnh.

	Chẳng qua là từ trong nhà sau khi đi ra, Tần Thiên lại chân thực nhàm chán, nghĩ đến tối hôm nay Đường Dung dùng phân tro tới hút máu, không kiềm được một hồi run rẩy, vật kia vệ sinh sao?

	Nghĩ như vậy, hắn đi liền kho hàng tìm một ít tương đối mềm bố trí, cộng thêm một ít hút bơi lội giỏi tốt miên hoa, sau đó dựa theo đời sau băng vệ sinh bộ dáng, cho Đường Dung luyện chế.

	Việc thêu thùa may vá loại chuyện này, Tần Thiên trước kia là sẽ không, bất quá có ngón tay vàng ở đây, thứ gì đều là bắt vào tay, rất nhanh quen thuộc.

	Cho nên không thời gian bao lâu, Tần Thiên liền may liền bảy tám cái, hắn cảm thấy những thứ này hẳn đủ Đường Dung lần này kinh nguyệt dùng, hơn nữa như thế một bận rộn, còn có chút khốn, vì vậy liền trực tiếp ngủ ở chỗ này liền đứng lên.

	Sáng sớm ngày kế, Đường Dung không biết mình lúc nào ngủ, lúc nàng tỉnh lại, phát hiện gối là ướt, nàng đột nhiên nghĩ đến, mình đêm qua thật giống như khóc.

	Không kiềm được một hồi không nói ra được thương tâm đập vào mặt.

	Mà ngay tại lúc này, Tiểu Thanh từ bên ngoài vội vàng chạy tới.

	"Tiểu thư, tiểu thư, ngài xem đây là cái đồ gì?"

	Tiểu Thanh cầm băng vệ sinh chạy vào, vật kia không lớn, cũng chỉ hai cái lớn chừng bàn tay, ở giữa cổ cổ, mềm nhũn, bốn phía dùng dây nhỏ cho may liền đứng lên.

	Đường Dung cũng không biết đây là cái gì, thậm chí nhìn vật này hình dáng, vậy hoàn toàn không hiểu vật này có ích lợi gì.

	"Tiểu Thanh, ngươi lại ham chơi, đây là cái đồ gì?" Đường Dung trong lòng không thoải mái, thân thể cũng không thoải mái, không kiềm được nóng nảy có chút lớn, nói chuyện lạnh lùng, tựa như mang tức giận.

	Tiểu Thanh bên này nhưng là mặt đầy ủy khuất: "Tiểu thư, đây là băng vệ sinh."

	"Băng vệ sinh?" Đường Dung càng phát ra kỳ quái, nàng cho tới bây giờ chưa từng nghe qua danh tự này, chẳng lẽ vật này cùng dì có quan hệ, có thể nàng cũng không có dì.

	"Đúng vậy tiểu thư, ngài không phải tới kinh nguyệt liền mà, đem vật này để lên, lại thoải mái vừa có thể phòng ngừa xuất hiện bất ngờ, hơn nữa còn rất vệ sinh, được không dùng." Tiểu Thanh nói hưng phấn, giống như nàng dùng qua tựa như.

	Mà lúc này bị Tiểu Thanh nói một chút băng vệ sinh công dụng, Đường Dung phát hiện vật kia thật giống như thật là có điểm giống như, vì vậy liền lấy một cái ở trong tay, sờ lên sau đó, phát hiện băng vệ sinh quả nhiên rất mềm, so tối ngày hôm qua dùng vải có thể thoải mái hơn.

	Nàng tháo ra quần áo thử một cái, phát hiện rất thoải mái, hơn nữa một chút không ảnh hưởng mình thường ngày đi đi lại lại.

	"Tiểu Thanh, đồ tốt như vậy, ngươi từ vậy có được?"

	Tiểu Thanh cười một tiếng: "Sáng sớm hôm nay cô gia kêu ta đã qua để cho ta cầm, cái này băng vệ sinh là cô gia phát minh, ngày hôm qua hắn nhưng mà luyện chế một đêm đâu, ta sáng sớm hôm nay thấy hắn lúc này hắn ánh mắt cũng sưng đỏ."

	Nghe được băng vệ sinh là Tần Thiên thức đêm cho mình làm, Đường Dung trong lòng một hồi ấm áp tấn công tới, có một cái như vậy người đàn ông là mình làm chuyện này, nàng đã không biết nên nói cái gì cho phải.

	Hận không thể lập tức vùi đầu vào người đàn ông này trong ngực tới.

	Bọn họ người phụ nữ, gần đây đều là làm là người đàn ông phụ thuộc tồn tại, người đàn ông kia chịu tiêu phí tâm tư là một người phụ nữ làm những thứ này?

	Nhưng ngay khi Đường Dung chuẩn bị hướng Tần Thiên biểu lộ trung tràng lúc này đột nhiên ý thức được một cái vấn đề, đó chính là cái này băng vệ sinh việc thêu thùa may vá hết sức không tệ, chính là tinh thông nữ hồng nàng đều có điểm tự thẹn không bằng, không có bốn năm năm kinh nghiệm, sợ là không luyện được cái này.

	Tiểu Thanh nói vật này là Tần Thiên làm, có thể hắn một cái người đàn ông làm sao biết làm cái này?

	"Chẳng lẽ. . ." Đường Dung đột nhiên có một cái không tốt ý niệm.

	Một người đàn ông lại biết làm việc thêu thùa may vá, hơn nữa người đàn ông này đối mặt mình một cái như vậy người đẹp còn có thể thờ ơ, nói hắn là người đàn ông, ai tin?

	"Chẳng lẽ hắn không phải người đàn ông?"

	Đường Dung tự nhiên không hủy bỏ Tần Thiên là người đàn ông chuyện này, nhưng nàng cũng biết, có người đàn ông có đồng tình luyến ái, có người đàn ông phương diện kia không được, vì vậy liền càng ngày càng âm nhu, hết lần này tới lần khác thích người phụ nữ làm sự việc.

	Lúc này Đường Dung cảm thấy cái này khác biệt, Tần Thiên nhất định là chiếm một cái, nếu không hắn trước đó những phản ứng kia thì hoàn toàn nói không thông.

	Mà nghĩ tới những thứ này sau đó, Đường Dung lập tức tê liệt ngồi trên mặt đất, trong lòng càng khổ đứng lên, vốn lấy là gả cho cái người trai hiền, không thể tưởng gả cho cái giả người đàn ông, mình cả đời này coi như là không hy vọng à.

	Nước mắt theo Đường Dung gò má chảy xuống, còn như đi tìm Tần Thiên tố trung tràng ý niệm, dĩ nhiên là sớm tan thành mây khói, đối với một cái giả nam nhân nói những thứ này, thì có ích lợi gì đâu ?

	"Tiểu thư, ngài khóc cái gì à, cô gia đối với ngài tốt biết bao à." Tiểu Thanh không hiểu Đường Dung làm sao đột nhiên khóc, nàng có chút lo lắng, Đường Dung khẽ than một tiếng, lau đi nước mắt sau đó, nói: "Tiểu thư đây là cao hứng."

	"Tiểu thư cao hứng khóc, ta đi nói cho cô gia. . ."Chương 43: Băng vệ sinh 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Người phụ nữ có hai thống khổ lớn là người đàn ông vĩnh viễn cũng không lãnh hội được.

	Một là sanh con, hai là tới kinh nguyệt.

	Đường Dung tới kinh nguyệt, bất quá Tần Thiên ban đầu cũng không có cảm thấy cái này có gì, mỗi người đàn bà mỗi một tháng cũng biết tới kinh nguyệt, hắn cảm thấy cái này đối với nữ nhân mà nói quá bình thường.

	Bất quá làm hắn thấy Tiểu Thanh lại là cầm vải, lại là bắt phân tro, sau đó lại là nấu nước lúc này hắn mới phát hiện tới kinh nguyệt đối với cổ đại nữ nhân mà nói là một đại sự.

	Hoặc giả nói là một kiện hết sức rườm rà, lại rất đau đớn sự việc.

	Tiểu Thanh và Đường Dung hai người dày vò đến lớn nửa đêm sau đó, Tần Thiên mới rốt cục trở lại phòng ngủ tiếp tục nghỉ ngơi.

	Chẳng qua là bị Đường Dung như thế ồn ào, hắn có chút ngủ hưng hoàn toàn không có, không biết chuyện gì, hắn tổng không nhịn được nghĩ đi Đường Dung đi nơi nào hi vọng, trông Đường Dung rất là ngượng ngùng, cũng có chút cáu giận.

