Chương 217: Người lương thiện bia 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Trường An tuyết vẫn còn ở rơi, tựa hồ có chút không xong không có.
	Bãi triều sau đó, quan viên người người rúc cổ đi ra ngoài, nơi này quá lạnh, hay là về nhà ấm áp một ít.

	Nhưng ngay khi những người này mới vừa đi ra hoàng cung, liền gặp Lý Thế Dân đột nhiên đưa tay ngăn cản bọn họ.

	"Chư vị, chờ một chút."

	Lý Thế Dân mở miệng, mọi người có chút hiếu kỳ, nhưng cũng còn coi là cho Lý Thế Dân mặt mũi, ngừng lại, Lý Kiến Thành vốn không dùng cho, nhưng hắn rất muốn biết Lý Thế Dân phải làm gì, cho nên cũng dừng lại.

	"Vương gia ngăn lại chúng ta, nhưng mà có chuyện gì?" Một người quan viên hỏi, mà ngay tại lúc này, chỉ gặp đông tây hai thành cái hướng kia, có rất nhiều thương nhân bị phủ nha nha dịch cho dẫn đến bên này.

	Thấy những thương nhân kia, những quan viên này lẫn nhau nhìn quanh, không rõ cho nên.

	Rất nhanh, hai bên đụng đầu.

	"Vương gia, ngươi lưu chúng ta rốt cuộc vì chuyện gì?"

	"Tần biệt giá, ngài đem chúng ta cũng gọi tới, vì cái gì à?"

	Quan viên và thương nhân ríu rít hỏi, Tần Thiên đứng dậy, nói: "Tuyết rơi nhiều vẫn còn ở rơi, Trường An rất nhiều dân chúng nghèo khó cuộc sống không tốt qua, làm làm quan nhân viên, khi có là vạn dân mưu phúc chỉ tâm, làm là thương nhân, vậy khi có lòng nhân từ, cho nên, bản quan đem chư vị ở lại chỗ này mục đích rất đơn giản, chính là hy vọng chư vị có thể đưa tay ra viện trợ, quyên một ít tiền lương đi ra, chỉ cần chịu quyên, chúng ta thì sẽ ở thành Trường An bên trong lập một khối người lương thiện bia, đem chư vị tên chữ cho khắc lên."

	Ở trước mặt những người này, Tần Thiên vậy không thế nào nói nhảm, liền trực tiếp đem hắn ý đồ nói ra.

	Mà Tần Thiên sau khi nói xong, những thương nhân kia cũng không dám làm sao phản bác, có thể những quan viên kia nhưng là căn bản không đem Tần Thiên cái này biệt giá coi ra gì.

	"Hừ, nói cho dễ nghe à, ta nếu không quyên thì như thế nào?"

	"Đúng vậy, trời lạnh như thế này, chúng ta còn không tốt hơn đây."

	"Nói nhẹ nhàng, để cho chúng ta góp tiền, ngươi làm sao không quyên à?"

	Mọi người năm mồm bảy miệng vừa nói, đối với Tần Thiên hết sức chỉ trích, Lý Thế Dân đôi mắt hơi chăm chú, gặp không thiếu quan viên mặt mũi chân thực đáng ghét, trong lòng hết sức tức giận.

	Không nhịn được liền muốn phát tác, bất quá lúc này, Tần Thiên đứng ra nói: "Quyên tiền một chuyện, toàn bằng tự nguyện, các người không quyên, ta cũng không có thể đem các người như thế nào, còn như ta quyên không quyên, ta sẽ đích thân cho mọi người câu trả lời."

	Vừa nói, Tần Thiên vẫy tay, rất nhanh, một chiếc xe ngựa lái tới, ngay sau đó liền gặp Phúc bá và Hồ Thập Bát bọn họ từ trên xe ngựa khiêng xuống liền mấy cái rương lớn.

	Mọi người tò mò nhìn, cùng mở rương ra sau đó, cả đám không khỏi được kinh ngạc đặc biệt, bởi vì làm cho này chút cái rương lập tức chứa, tất cả đều là tiền.

	"10 ngàn xâu tiền, toàn ở chỗ này, đây cũng là bản quan nơi quyên, nói ta vậy không muốn nhiều lời, nguyện ý quyên, liền lưu lại ghi danh quyên tiền, không muốn quyên, cứ vậy rời đi, chúng ta vậy tuyệt không làm khó dễ."

	Nói tới chỗ này, Lý Thế Dân cũng là đột nhiên vẫy tay, rất nhanh, một chiếc xe ngựa vậy chạy như bay đến, tiếp có người từ phía trên vậy khiêng xuống liền mấy cái rương lớn.

	"Đây là bổn vương 10 ngàn xâu tiền, là ta Đại Đường người dân, chính là 10 ngàn xâu tiền, lại coi là cái gì."

	Tần vương phủ vẫn là có tiền, bất quá 10 ngàn xâu tiền cũng không phải số tiền nhỏ.

	Tần Thiên và Lý Thế Dân hai người lái như vậy đầu sau đó, phụ thuộc vào Lý Thế Dân người tự nhiên vậy không hàm hồ, bỏ mặc nhiều ít, đều rối rít góp đứng lên.

	Thương nhân trong, có một ít có lòng nhân từ, ngược lại cũng góp không thiếu, bất quá càng nhiều người hơn, vẫn còn là giữ trông chờ thái độ.

	Còn dư lại quan viên, thì vẫn có chút do dự, hơn nữa, không ít người cũng phải xem Lý Kiến Thành thái độ.

	Tần Thiên đứng ở gió tuyết trong, khẽ ngẩng đầu nhìn một cái Lý Kiến Thành, khóe miệng còn lộ ra một tia cười nhạt, hắn cũng không nói gì, cũng chỉ là nhìn một cái Lý Kiến Thành.

	Mà đang ở cái nhìn này sau đó, Lý Kiến Thành đứng ra nói: "Đại Đường người dân, cũng là bản thái tử người dân, bản thái tử làm sao nhẫn tâm xem bọn họ bị khó khăn, đông cung quyên 10 ngàn xâu."

	Nghe được Lý Kiến Thành vậy quyên 10 ngàn xâu, những cái kia phụ thuộc vào với Lý Kiến Thành quan viên mặc dù có lòng đau, khá vậy không có biện pháp nào, vậy đều rối rít đem tiền cho góp đi ra.

	Lý Kiến Thành nhìn những tình huống này, mặc dù tức giận, nhưng vậy không thể làm gì.

	Hôm nay, Đại Đường không thiếu người dân đều nhìn đây, Tần Thiên góp, Lý Thế Dân góp, có thể như hắn cái này thái tử không quyên, vậy chỉ sợ thì phải mất đi lòng dân.

	Thậm chí là bị người lên án.

	Hắn thái tử vị không hề coi là phòng thủ kiên cố, như vậy hắn tự nhiên không hy vọng bị người nói này nói nọ.

	Rất hiển nhiên, Tần Thiên và Lý Thế Dân đem hắn cho chận ở chỗ này, chính là muốn so hắn góp tiền, muốn thiên hạ người dân trước mặt, thái tử không quyên, vậy còn là thái tử sao?

	Nếu như tư phía dưới, cũng được đi, nhưng hôm nay ở nơi này đường Chu Tước, trước cửa hoàng cung, hắn không có lựa chọn.

	Quyên tiền vẫn còn tiếp tục, thái tử quyên liền sau đó, không thiếu thương nhân vậy đều bắt đầu quyên tặng đứng lên, Lý Thế Dân thấy những tình huống này, rốt cuộc thở phào nhẹ nhõm.

	Mặc dù Lý Kiến Thành góp 10 ngàn xâu, có thể sẽ để cho Lý Kiến Thành đạt được không thiếu lòng dân giúp đỡ, đây đối với hắn là rất bất lợi, nhưng hôm nay vì Trường An người dân, hắn cũng chỉ có thể làm như vậy.

	Huống chi, loại chuyện này hắn là không ngăn được, Lý Kiến Thành nếu thật cố ý biểu hiện, trong chuyện này hắn có thể làm rất nhiều.Chương 217: Người lương thiện bia 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Trường An tuyết vẫn còn ở rơi, tựa hồ có chút không xong không có.

	Ngày này lâm triều sau đó, Lý Thế Dân liền phái người đi tất cả cấp quan viên trong phủ thu cũ nát quần áo đi.

	Cũ nát quần áo, đối với những quan viên này mà nói cũng không đáng tiền, thậm chí rất nhiều đều là bọn họ chuẩn bị ném, hoặc là ban thưởng cho người làm nô lệ đồ, cho nên Lý Thế Dân phái người tới muốn, bọn họ ngược lại cũng không cảm thấy được có cái gì, liền trực tiếp lấy ra.

	Chạng vạng tối trước, Lý Thế Dân người đã thu tập được mấy xe lớn cũ nát quần áo.

	Những thứ này cũ nát quần áo thu thập được sau đó, những người này cũng không làm dừng lại, trực tiếp cho những cái kia bị lạnh bị đông người dân đưa đi, những quần áo này mặc dù cũ nát, nhưng vào lúc này đưa qua, đối với những cái kia người dân mà nói, không thể nghi ngờ là có thể sống mạng.

	Có lẽ, liền bởi vì là một bộ quần áo, tối nay Trường An muốn thiếu chết rét rất nhiều người.

	Dĩ nhiên, cứ như vậy một chút quần áo, hiển nhiên là không đủ dùng, hơn nữa càng nhiều người hơn còn thiếu thiếu thức ăn, tiền tài đổi được càng ngày càng nặng muốn.

	Trước khi trời tối, Lý Thế Dân đem Tần Thiên gọi tới trong phủ.

	"Hôm nay bổn vương đã phụ trách chuyện này, tiền tài ngươi nhưng có nghĩ đến biện pháp?"

	"Ngày mai lâm triều sau đó, ở quan viên rời đi hoàng cung trước, mong rằng vương gia có thể đem những quan viên kia ở lại trước cửa cung, đến lúc đó, chúng ta kinh triệu phủ sẽ đem Trường An một ít trong phủ cũng cho kêu đi nơi nào."

	"Ngươi muốn làm cái gì?"

	"Quyên góp."

	Lý Thế Dân chân mày hơi đông lại một cái, nhưng cũng không có nói gì, mặc dù hắn biết để cho những người này ói tiền rất khó khăn, nhưng muốn đến hẳn sẽ có một ít người quyên tặng đi.

	Có lẽ quyên tặng tiền không đủ để giải quyết đúng sự kiện, nhưng rõ ràng lửa xém lông mày nhưng là có thể.

	Nếu như tuyết ngừng, vậy chuyện này thì càng dễ giải quyết.

	Suy nghĩ sau này, Lý Thế Dân gật đầu đồng ý.

	Bữa nay lâm triều, tuyết hơi ít đi một chút, con đường càng phát ra khó đi, đây quả thực là Đại Đường lập quốc tới nay, gặp phải lớn nhất một lần tai nạn tuyết.

	Còn như vậy tiếp tục hạ hạ đi, chính là người có tiền, sợ cũng muốn không chống nổi.

	Hôm nay than lửa giá cả đã bị lên vùn vụt rất cao, người có tiền thiêu cháy vậy có chút đau lòng.

	Trên đại điện gió rét thấu xương, cho nên Lý Uyên cũng không có cùng quần thần bàn bao lâu, liền trực tiếp tuyên bố bãi triều.

	Bãi triều sau đó, quan viên người người rúc cổ đi ra ngoài, nơi này quá lạnh, hay là về nhà ấm áp một ít.

	Nhưng ngay khi những người này mới vừa đi ra hoàng cung, liền gặp Lý Thế Dân đột nhiên đưa tay ngăn cản bọn họ.

	"Chư vị, chờ một chút."

	Lý Thế Dân mở miệng, mọi người có chút hiếu kỳ, nhưng cũng còn coi là cho Lý Thế Dân mặt mũi, ngừng lại, Lý Kiến Thành vốn không dùng cho, nhưng hắn rất muốn biết Lý Thế Dân phải làm gì, cho nên cũng dừng lại.

	"Vương gia ngăn lại chúng ta, nhưng mà có chuyện gì?" Một người quan viên hỏi, mà ngay tại lúc này, chỉ gặp đông tây hai thành cái hướng kia, có rất nhiều thương nhân bị phủ nha nha dịch cho dẫn đến bên này.

	Thấy những thương nhân kia, những quan viên này lẫn nhau nhìn quanh, không rõ cho nên.

	Rất nhanh, hai bên đụng đầu.

	"Vương gia, ngươi lưu chúng ta rốt cuộc vì chuyện gì?"

	"Tần biệt giá, ngài đem chúng ta cũng gọi tới, vì cái gì à?"

	Quan viên và thương nhân ríu rít hỏi, Tần Thiên đứng dậy, nói: "Tuyết rơi nhiều vẫn còn ở rơi, Trường An rất nhiều dân chúng nghèo khó cuộc sống không tốt qua, làm làm quan nhân viên, khi có là vạn dân mưu phúc chỉ tâm, làm là thương nhân, vậy khi có lòng nhân từ, cho nên, bản quan đem chư vị ở lại chỗ này mục đích rất đơn giản, chính là hy vọng chư vị có thể đưa tay ra viện trợ, quyên một ít tiền lương đi ra, chỉ cần chịu quyên, chúng ta thì sẽ ở thành Trường An bên trong lập một khối người lương thiện bia, đem chư vị tên chữ cho khắc lên."

	Ở trước mặt những người này, Tần Thiên vậy không thế nào nói nhảm, liền trực tiếp đem hắn ý đồ nói ra.

	Mà Tần Thiên sau khi nói xong, những thương nhân kia cũng không dám làm sao phản bác, có thể những quan viên kia nhưng là căn bản không đem Tần Thiên cái này biệt giá coi ra gì.

	"Hừ, nói cho dễ nghe à, ta nếu không quyên thì như thế nào?"

	"Đúng vậy, trời lạnh như thế này, chúng ta còn không tốt hơn đây."

	"Nói nhẹ nhàng, để cho chúng ta góp tiền, ngươi làm sao không quyên à?"

	Mọi người năm mồm bảy miệng vừa nói, đối với Tần Thiên hết sức chỉ trích, Lý Thế Dân đôi mắt hơi chăm chú, gặp không thiếu quan viên mặt mũi chân thực đáng ghét, trong lòng hết sức tức giận.

	Không nhịn được liền muốn phát tác, bất quá lúc này, Tần Thiên đứng ra nói: "Quyên tiền một chuyện, toàn bằng tự nguyện, các người không quyên, ta cũng không có thể đem các người như thế nào, còn như ta quyên không quyên, ta sẽ đích thân cho mọi người câu trả lời."

	Vừa nói, Tần Thiên vẫy tay, rất nhanh, một chiếc xe ngựa lái tới, ngay sau đó liền gặp Phúc bá và Hồ Thập Bát bọn họ từ trên xe ngựa khiêng xuống liền mấy cái rương lớn.

	Mọi người tò mò nhìn, cùng mở rương ra sau đó, cả đám không khỏi được kinh ngạc đặc biệt, bởi vì làm cho này chút cái rương lập tức chứa, tất cả đều là tiền.

	"10 ngàn xâu tiền, toàn ở chỗ này, đây cũng là bản quan nơi quyên, nói ta vậy không muốn nhiều lời, nguyện ý quyên, liền lưu lại ghi danh quyên tiền, không muốn quyên, cứ vậy rời đi, chúng ta vậy tuyệt không làm khó dễ."

	Nói tới chỗ này, Lý Thế Dân cũng là đột nhiên vẫy tay, rất nhanh, một chiếc xe ngựa vậy chạy như bay đến, tiếp có người từ phía trên vậy khiêng xuống liền mấy cái rương lớn.

	"Đây là bổn vương 10 ngàn xâu tiền, là ta Đại Đường người dân, chính là 10 ngàn xâu tiền, lại coi là cái gì."

	Tần vương phủ vẫn là có tiền, bất quá 10 ngàn xâu tiền cũng không phải số tiền nhỏ.

	Tần Thiên và Lý Thế Dân hai người lái như vậy đầu sau đó, phụ thuộc vào Lý Thế Dân người tự nhiên vậy không hàm hồ, bỏ mặc nhiều ít, đều rối rít góp đứng lên.

	Thương nhân trong, có một ít có lòng nhân từ, ngược lại cũng góp không thiếu, bất quá càng nhiều người hơn, vẫn còn là giữ trông chờ thái độ.

	Còn dư lại quan viên, thì vẫn có chút do dự, hơn nữa, không ít người cũng phải xem Lý Kiến Thành thái độ.

	Tần Thiên đứng ở gió tuyết trong, khẽ ngẩng đầu nhìn một cái Lý Kiến Thành, khóe miệng còn lộ ra một tia cười nhạt, hắn cũng không nói gì, cũng chỉ là nhìn một cái Lý Kiến Thành.

	Mà đang ở cái nhìn này sau đó, Lý Kiến Thành đứng ra nói: "Đại Đường người dân, cũng là bản thái tử người dân, bản thái tử làm sao nhẫn tâm xem bọn họ bị khó khăn, đông cung quyên 10 ngàn xâu."

	Nghe được Lý Kiến Thành vậy quyên 10 ngàn xâu, những cái kia phụ thuộc vào với Lý Kiến Thành quan viên mặc dù có lòng đau, khá vậy không có biện pháp nào, vậy đều rối rít đem tiền cho góp đi ra.

	Lý Kiến Thành nhìn những tình huống này, mặc dù tức giận, nhưng vậy không thể làm gì.

	Hôm nay, Đại Đường không thiếu người dân đều nhìn đây, Tần Thiên góp, Lý Thế Dân góp, có thể như hắn cái này thái tử không quyên, vậy chỉ sợ thì phải mất đi lòng dân.

	Thậm chí là bị người lên án.

	Hắn thái tử vị không hề coi là phòng thủ kiên cố, như vậy hắn tự nhiên không hy vọng bị người nói này nói nọ.

	Rất hiển nhiên, Tần Thiên và Lý Thế Dân đem hắn cho chận ở chỗ này, chính là muốn so hắn góp tiền, muốn thiên hạ người dân trước mặt, thái tử không quyên, vậy còn là thái tử sao?

	Nếu như tư phía dưới, cũng được đi, nhưng hôm nay ở nơi này đường Chu Tước, trước cửa hoàng cung, hắn không có lựa chọn.

	Quyên tiền vẫn còn tiếp tục, thái tử quyên liền sau đó, không thiếu thương nhân vậy đều bắt đầu quyên tặng đứng lên, Lý Thế Dân thấy những tình huống này, rốt cuộc thở phào nhẹ nhõm.

	Mặc dù Lý Kiến Thành góp 10 ngàn xâu, có thể sẽ để cho Lý Kiến Thành đạt được không thiếu lòng dân giúp đỡ, đây đối với hắn là rất bất lợi, nhưng hôm nay vì Trường An người dân, hắn cũng chỉ có thể làm như vậy.

	Huống chi, loại chuyện này hắn là không ngăn được, Lý Kiến Thành nếu thật cố ý biểu hiện, trong chuyện này hắn có thể làm rất nhiều.Chương 217: Người lương thiện bia 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Trường An tuyết vẫn còn ở rơi, tựa hồ có chút không xong không có.

	Ngày này lâm triều sau đó, Lý Thế Dân liền phái người đi tất cả cấp quan viên trong phủ thu cũ nát quần áo đi.

	Cũ nát quần áo, đối với những quan viên này mà nói cũng không đáng tiền, thậm chí rất nhiều đều là bọn họ chuẩn bị ném, hoặc là ban thưởng cho người làm nô lệ đồ, cho nên Lý Thế Dân phái người tới muốn, bọn họ ngược lại cũng không cảm thấy được có cái gì, liền trực tiếp lấy ra.

	Chạng vạng tối trước, Lý Thế Dân người đã thu tập được mấy xe lớn cũ nát quần áo.

	Những thứ này cũ nát quần áo thu thập được sau đó, những người này cũng không làm dừng lại, trực tiếp cho những cái kia bị lạnh bị đông người dân đưa đi, những quần áo này mặc dù cũ nát, nhưng vào lúc này đưa qua, đối với những cái kia người dân mà nói, không thể nghi ngờ là có thể sống mạng.

	Có lẽ, liền bởi vì là một bộ quần áo, tối nay Trường An muốn thiếu chết rét rất nhiều người.

	Dĩ nhiên, cứ như vậy một chút quần áo, hiển nhiên là không đủ dùng, hơn nữa càng nhiều người hơn còn thiếu thiếu thức ăn, tiền tài đổi được càng ngày càng nặng muốn.

	Trước khi trời tối, Lý Thế Dân đem Tần Thiên gọi tới trong phủ.

	"Hôm nay bổn vương đã phụ trách chuyện này, tiền tài ngươi nhưng có nghĩ đến biện pháp?"

	"Ngày mai lâm triều sau đó, ở quan viên rời đi hoàng cung trước, mong rằng vương gia có thể đem những quan viên kia ở lại trước cửa cung, đến lúc đó, chúng ta kinh triệu phủ sẽ đem Trường An một ít trong phủ cũng cho kêu đi nơi nào."

	"Ngươi muốn làm cái gì?"

	"Quyên góp."

	Lý Thế Dân chân mày hơi đông lại một cái, nhưng cũng không có nói gì, mặc dù hắn biết để cho những người này ói tiền rất khó khăn, nhưng muốn đến hẳn sẽ có một ít người quyên tặng đi.

	Có lẽ quyên tặng tiền không đủ để giải quyết đúng sự kiện, nhưng rõ ràng lửa xém lông mày nhưng là có thể.

	Nếu như tuyết ngừng, vậy chuyện này thì càng dễ giải quyết.

	Suy nghĩ sau này, Lý Thế Dân gật đầu đồng ý.

	Bữa nay lâm triều, tuyết hơi ít đi một chút, con đường càng phát ra khó đi, đây quả thực là Đại Đường lập quốc tới nay, gặp phải lớn nhất một lần tai nạn tuyết.

	Còn như vậy tiếp tục hạ hạ đi, chính là người có tiền, sợ cũng muốn không chống nổi.

	Hôm nay than lửa giá cả đã bị lên vùn vụt rất cao, người có tiền thiêu cháy vậy có chút đau lòng.

	Trên đại điện gió rét thấu xương, cho nên Lý Uyên cũng không có cùng quần thần bàn bao lâu, liền trực tiếp tuyên bố bãi triều.

	Bãi triều sau đó, quan viên người người rúc cổ đi ra ngoài, nơi này quá lạnh, hay là về nhà ấm áp một ít.

	Nhưng ngay khi những người này mới vừa đi ra hoàng cung, liền gặp Lý Thế Dân đột nhiên đưa tay ngăn cản bọn họ.

	"Chư vị, chờ một chút."

	Lý Thế Dân mở miệng, mọi người có chút hiếu kỳ, nhưng cũng còn coi là cho Lý Thế Dân mặt mũi, ngừng lại, Lý Kiến Thành vốn không dùng cho, nhưng hắn rất muốn biết Lý Thế Dân phải làm gì, cho nên cũng dừng lại.

	"Vương gia ngăn lại chúng ta, nhưng mà có chuyện gì?" Một người quan viên hỏi, mà ngay tại lúc này, chỉ gặp đông tây hai thành cái hướng kia, có rất nhiều thương nhân bị phủ nha nha dịch cho dẫn đến bên này.

	Thấy những thương nhân kia, những quan viên này lẫn nhau nhìn quanh, không rõ cho nên.

	Rất nhanh, hai bên đụng đầu.

	"Vương gia, ngươi lưu chúng ta rốt cuộc vì chuyện gì?"

	"Tần biệt giá, ngài đem chúng ta cũng gọi tới, vì cái gì à?"

	Quan viên và thương nhân ríu rít hỏi, Tần Thiên đứng dậy, nói: "Tuyết rơi nhiều vẫn còn ở rơi, Trường An rất nhiều dân chúng nghèo khó cuộc sống không tốt qua, làm làm quan nhân viên, khi có là vạn dân mưu phúc chỉ tâm, làm là thương nhân, vậy khi có lòng nhân từ, cho nên, bản quan đem chư vị ở lại chỗ này mục đích rất đơn giản, chính là hy vọng chư vị có thể đưa tay ra viện trợ, quyên một ít tiền lương đi ra, chỉ cần chịu quyên, chúng ta thì sẽ ở thành Trường An bên trong lập một khối người lương thiện bia, đem chư vị tên chữ cho khắc lên."

	Ở trước mặt những người này, Tần Thiên vậy không thế nào nói nhảm, liền trực tiếp đem hắn ý đồ nói ra.

	Mà Tần Thiên sau khi nói xong, những thương nhân kia cũng không dám làm sao phản bác, có thể những quan viên kia nhưng là căn bản không đem Tần Thiên cái này biệt giá coi ra gì.

	"Hừ, nói cho dễ nghe à, ta nếu không quyên thì như thế nào?"

	"Đúng vậy, trời lạnh như thế này, chúng ta còn không tốt hơn đây."

	"Nói nhẹ nhàng, để cho chúng ta góp tiền, ngươi làm sao không quyên à?"

	Mọi người năm mồm bảy miệng vừa nói, đối với Tần Thiên hết sức chỉ trích, Lý Thế Dân đôi mắt hơi chăm chú, gặp không thiếu quan viên mặt mũi chân thực đáng ghét, trong lòng hết sức tức giận.

	Không nhịn được liền muốn phát tác, bất quá lúc này, Tần Thiên đứng ra nói: "Quyên tiền một chuyện, toàn bằng tự nguyện, các người không quyên, ta cũng không có thể đem các người như thế nào, còn như ta quyên không quyên, ta sẽ đích thân cho mọi người câu trả lời."

	Vừa nói, Tần Thiên vẫy tay, rất nhanh, một chiếc xe ngựa lái tới, ngay sau đó liền gặp Phúc bá và Hồ Thập Bát bọn họ từ trên xe ngựa khiêng xuống liền mấy cái rương lớn.

	Mọi người tò mò nhìn, cùng mở rương ra sau đó, cả đám không khỏi được kinh ngạc đặc biệt, bởi vì làm cho này chút cái rương lập tức chứa, tất cả đều là tiền.

	"10 ngàn xâu tiền, toàn ở chỗ này, đây cũng là bản quan nơi quyên, nói ta vậy không muốn nhiều lời, nguyện ý quyên, liền lưu lại ghi danh quyên tiền, không muốn quyên, cứ vậy rời đi, chúng ta vậy tuyệt không làm khó dễ."

	Nói tới chỗ này, Lý Thế Dân cũng là đột nhiên vẫy tay, rất nhanh, một chiếc xe ngựa vậy chạy như bay đến, tiếp có người từ phía trên vậy khiêng xuống liền mấy cái rương lớn.

	"Đây là bổn vương 10 ngàn xâu tiền, là ta Đại Đường người dân, chính là 10 ngàn xâu tiền, lại coi là cái gì."

	Tần vương phủ vẫn là có tiền, bất quá 10 ngàn xâu tiền cũng không phải số tiền nhỏ.

	Tần Thiên và Lý Thế Dân hai người lái như vậy đầu sau đó, phụ thuộc vào Lý Thế Dân người tự nhiên vậy không hàm hồ, bỏ mặc nhiều ít, đều rối rít góp đứng lên.

	Thương nhân trong, có một ít có lòng nhân từ, ngược lại cũng góp không thiếu, bất quá càng nhiều người hơn, vẫn còn là giữ trông chờ thái độ.

	Còn dư lại quan viên, thì vẫn có chút do dự, hơn nữa, không ít người cũng phải xem Lý Kiến Thành thái độ.

	Tần Thiên đứng ở gió tuyết trong, khẽ ngẩng đầu nhìn một cái Lý Kiến Thành, khóe miệng còn lộ ra một tia cười nhạt, hắn cũng không nói gì, cũng chỉ là nhìn một cái Lý Kiến Thành.

	Mà đang ở cái nhìn này sau đó, Lý Kiến Thành đứng ra nói: "Đại Đường người dân, cũng là bản thái tử người dân, bản thái tử làm sao nhẫn tâm xem bọn họ bị khó khăn, đông cung quyên 10 ngàn xâu."

	Nghe được Lý Kiến Thành vậy quyên 10 ngàn xâu, những cái kia phụ thuộc vào với Lý Kiến Thành quan viên mặc dù có lòng đau, khá vậy không có biện pháp nào, vậy đều rối rít đem tiền cho góp đi ra.

	Lý Kiến Thành nhìn những tình huống này, mặc dù tức giận, nhưng vậy không thể làm gì.

	Hôm nay, Đại Đường không thiếu người dân đều nhìn đây, Tần Thiên góp, Lý Thế Dân góp, có thể như hắn cái này thái tử không quyên, vậy chỉ sợ thì phải mất đi lòng dân.

	Thậm chí là bị người lên án.

	Hắn thái tử vị không hề coi là phòng thủ kiên cố, như vậy hắn tự nhiên không hy vọng bị người nói này nói nọ.

	Rất hiển nhiên, Tần Thiên và Lý Thế Dân đem hắn cho chận ở chỗ này, chính là muốn so hắn góp tiền, muốn thiên hạ người dân trước mặt, thái tử không quyên, vậy còn là thái tử sao?

	Nếu như tư phía dưới, cũng được đi, nhưng hôm nay ở nơi này đường Chu Tước, trước cửa hoàng cung, hắn không có lựa chọn.

	Quyên tiền vẫn còn tiếp tục, thái tử quyên liền sau đó, không thiếu thương nhân vậy đều bắt đầu quyên tặng đứng lên, Lý Thế Dân thấy những tình huống này, rốt cuộc thở phào nhẹ nhõm.

	Mặc dù Lý Kiến Thành góp 10 ngàn xâu, có thể sẽ để cho Lý Kiến Thành đạt được không thiếu lòng dân giúp đỡ, đây đối với hắn là rất bất lợi, nhưng hôm nay vì Trường An người dân, hắn cũng chỉ có thể làm như vậy.

