Chương 75: Đường Dung leo lên quan hệ 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Vật này dùng thật tốt, ngươi từ vậy mua được?"
	Nghe được Đường Dung như thế nói, Tần Thiên nhưng là khoát tay một cái: "Vậy có thua thiệt à, bia tuy tốt, nhưng chi phí thật ra thì cũng không cao lắm, hai mươi thạch lương thực một vò, chúng ta lời kiếm có gấp mấy lần đâu, những lương thực kia giá thấp bán đi, chúng ta cũng là kiếm, trọng yếu nhất chính là, bây giờ chúng ta có chưng cất rượu giấy phép mua bán à, có cái này, sau này bán rượu kiếm tiền, coi như dễ dàng nhiều."

	Trước kia mặc dù có bia, nhưng chỉ có thể chính bọn họ uống, không thể bán, coi như vật này rất kiếm tiền, vậy không đổi được tiền, bây giờ bọn họ có mua bán quyền lực, tiền kia còn có thể ít đi?

	Mua bán này làm tuyệt đối đáng giá.

	Coi như những lương thực kia một phân tiền không được lợi, chỉ bằng cái này buôn bán rượu quyền lực, vậy tuyệt đối để cho hắn không hối hận.

	Ở cổ đại, chưng cất rượu, bán rượu, đây chính là lời nhiều nghề à.

	Tần Thiên như thế nói lúc này suy nghĩ tiếp theo phải thêm lớn bia cất tạo mới được, trừ gia tăng bia cất tạo bên ngoài, hắn không ngại nhân cơ hội đem rượu trắng cũng cho làm được.

	Mặc dù bây giờ uống rượu trắng có chút không thích hợp, nhưng bây giờ cất, cùng thả vào ngày đông uống, vậy coi như hết sức thuần hậu liền à, khẩu vị so lúc ấy cất có thể muốn tốt hơn nhiều, giá cả cũng có thể tăng lên.Chương 75: Đường Dung leo lên quan hệ 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Vật này dùng thật tốt, ngươi từ vậy mua được?"

	Băng vệ sinh dùng bớt chuyện, hơn nữa sạch sẽ vệ sinh lại thoải mái, đương nhiên được.

	Trưởng Tôn vương phi hỏi một câu, Đường Dung cười nói: "Vương phi nói đùa, vật này vậy có bán, là có bữa ta tới kinh nguyệt, tướng công ta cho phát minh, vương phi muốn là dùng thoải mái, ta để cho người cho ngươi đưa tới một ít là được."

	Nghe được là Tần Thiên phát minh, Trưởng Tôn vương phi chợt cảm thấy kinh ngạc, một người đàn ông lại phát minh vật này, thật đúng là thiên cổ không bình thường à.

	Bất quá cái này băng vệ sinh cũng đích xác dễ xài, nàng sau này sợ là không thể rời, Đường Dung nguyện ý cho, vậy không thể tốt hơn nữa.

	Hai người nói như vậy hoàn đi ra ngoài.

	Quan hệ so với trước kia hơn nữa thân mật.

	Những vương công quý tộc kia phu nhân thấy những thứ này sau đó, đều rất khiếp sợ.

	Mới vừa rồi Trưởng Tôn vương phi chuyện gì xảy ra, không ít người đều là đoán được, dẫu sao đều là phụ nữ, ai còn không rõ ràng ai à?

	Mà bọn họ đoán được sau đó, cảm thấy Đường Dung cứ như vậy đi theo, thật là không có nhãn lực sức lực, chỉ sợ Đường Dung phải bị Trưởng Tôn vương phi cho đìu hiu.

	Có thể cùng hai người bọn họ sau khi ra ngoài, nhưng phát hiện Đường Dung không chỉ không có bị đìu hiu, còn bị Trưởng Tôn vương phi càng phát ra tin chìu, bọn họ thật là không dám tin tưởng đây là thật.

	Cái này cũng thật không tưởng tượng nổi đi, là Đường Dung người này thật có cái gì mị lực, vẫn là Trưởng Tôn vương phi khí lượng tốt, bị người như thế đi theo cũng không tức giận?

	Mọi người không rõ ràng, có thể không có một người dám hỏi.

	Tiệc rượu kéo dài đại khái 4 tiếng, 4 tiếng sau đó tiệc rượu kết thúc, cả đám cùng lục tục rời đi, Tần Thiên và Đường Dung hai người nhưng là bị Lý Thế Dân cho lưu lại.

	" Được a, ngươi cái biện pháp này thật là không tệ, lập tức liền tới tay mấy ngàn thạch lương thực, những lương thực này, ngươi giá ổn định bán cho ta." Lý Thế Dân sau khi khen, đột nhiên liền đùa bỡn vô lại.

	Tần Thiên bĩu môi, nói: "Vương gia thứ lỗi, những lương thực này vẫn không thể bán cho ngươi."

	Nghe lời này một cái, Lý Thế Dân nhất thời ngưng nổi lên chân mày, trong bụng có chút khó chịu, hắn đột nhiên có một cảm giác bị lừa gạt, mình lương thực không có được, Tần Thiên nhưng là thu được chưng cất rượu tư cách, còn con mẹ nó lớn được lợi đặc biệt được lợi, mình tại sao thật giống như bị người lợi dụng?

	Bất quá Lý Thế Dân rốt cuộc có lòng dạ, trong lòng mặc dù không duyệt, nhưng cũng chỉ là ha ha cười một tiếng, hỏi: "Làm sao không thể bán cho bổn vương à?"

	Tần Thiên biết Lý Thế Dân tức giận, nhưng hắn cũng không gấp, nói: "Vương gia, mấy ngàn thạch lương thực mà thôi, đối với ngài mà nói còn kém xa chứ ?"

	"Cái này tự nhiên." Một trăm ngàn đại quân xuất chinh, không muốn biết đánh tới khi nào, lương thảo tự nhiên càng nhiều càng tốt, mấy ngàn thạch lương thực không tính thật nhiều.

	Tần Thiên gật đầu, tiếp tục nói: "Cho nên, hạ quan muốn dùng cái này mấy ngàn thạch lương thực làm kíp nổ, đem Trường An giá lương thực cho kéo xuống, ép những vương công quý tộc kia đem lương thực bán cho Vương gia, Vương gia nghĩ như thế nào?"

	Nghe Tần Thiên còn có sau kế, Lý Thế Dân ngược lại là lấy làm kinh hãi, bất quá cẩn thận suy nghĩ một chút, Tần Thiên nói cũng có đạo lý, lương thực đều ở đây những vương công quý tộc kia trong tay, từ bọn họ nơi đó mới có thể mua được đầy đủ lương thực.

	Chỉ bằng vào bia đổi cái này chút lương thực, vậy có thể đủ à?

	"Cực tốt, chẳng qua là ngươi muốn làm gì?"

	"Phô trương thanh thế!"

	Lý Thế Dân thần sắc khẽ động, tiếp lộ ra một tia cười yếu ớt.

	---------------------

	Thành Trường An lương thực giá cả cư cao không dưới.

	Mà lương thực giá cả càng cao, những cái kia trong tay có lương thực người lại càng không chịu tùy tiện bán đi, bởi vì là bọn họ cảm thấy giá cả còn có thể tăng.

	Mà càng không có ai bán, lưu thông lương thực lại càng thiếu, cung không đủ cầu, giá cả cũng chỉ càng tăng đi lên.

	Đây có thể nói là một cái tuần hoàn hiệu quả.

	Bất quá, ngay tại những vương công quý tộc kia xem chừng lúc này thành Trường An một nhà lương thực trải nhưng là đột nhiên đem lương thực giá cả kiểu vách núi cho chậm lại.

	Mà đang ở nhà này lương thực trải lương thực giá cả hạ xuống sau đó, ngay sau đó thành Trường An lại có một ít lời bàn truyền tới, nói những địa phương khác không thiếu buôn bán lương thực gặp Trường An lương thực giá cả cư cao không dưới, đã là rối rít mang lương thực hướng Trường An xuất phát, muốn kiếm một món tiền lớn.

	Những tin tức này truyền có chiêu có thức, hơn nữa mỗi ngày đều sẽ có một nhóm lương thực từ bên ngoài tiến vào thành Trường An, những lương thực này tiến vào thành Trường An sau giá cả, cũng so Trường An trước kia giá cả thấp hơn.

	Hơn nữa thấp nhiều.

	Vương công quý tộc những người đó nghe được những tin tức này sau đó, đều có điểm nóng nảy.

	Nếu quả thật có bên ngoài lương thực đi vào, vậy bọn họ ưu thế đem không còn tồn tại, mà theo càng ngày càng nhiều lương thực tràn vào, thành Trường An giá cả chỉ càng ngày sẽ càng thấp, khi đó bọn họ hao tổn cũng không thiếu.

	Trọng yếu nhất là, nếu như triều đình lại nữa thu mua lương thực của bọn họ, vậy bọn họ những lương thực kia nhưng thật ra là thả không được thời gian bao lâu.

	Giữa hè vừa qua, lương thực thì sẽ sinh trùng, cái này so với bọn họ giá thấp bán còn muốn thua thiệt.

	"Tin tức cũng chính xác sao?"

	"Chính xác, hiện nay mỗi ngày đều có vùng khác lương thực tràn vào thành Trường An, nghe nói Tần Vương điện hạ đã phái người đi theo những người đó tiến hành thương lượng, nếu như Tần Vương điện hạ từ những người đó trong tay mua lương thực, chúng ta nơi này lương thực sợ là phải đập trong tay à."

	"Hôm nay bộ mặt thành phố giá cả như thế nào?"

	"Còn không có ngã quá lợi hại, nhưng chỉ sợ vậy không bảo vệ được mấy ngày."

	Chàng trai ở phòng khách tới lui đi mấy bước, ngay sau đó, phân phó nói: "Mở nhà kho bán lương thực, thừa dịp giá cả chưa có trở về rơi, có thể bán nhiều ít bán nhiều ít."

	Không thiếu vương công quý tộc mở nhà kho bán lương thực, mà làm lương thực của bọn họ tràn vào thành Trường An thị trường sau đó, lương thực giá cả lại cũng không khống chế được, rất nhanh liền lại chậm lại.

	Tần Thiên ở thôn Tần gia nghe được tin tức này sau đó, rốt cuộc thở phào nhẹ nhõm.

	Chỉ cần lương thực giá cả chậm lại, hơn nữa vương công quý tộc tranh nhau buôn bán, lấy Lý Thế Dân người thủ đoạn, muốn thu mua đầy đủ lương thảo, tuyệt không phải việc khó gì.

	Mình cuối cùng là hoàn thành nhiệm vụ.

	Bất quá lúc này, Đường Dung nhưng là bĩu môi, nói: "Tướng công, chúng ta giá cao đổi lấy lương thực, nhưng giá thấp bán đi, mua bán này chúng ta có thể làm thua thiệt."

	Nghe được Đường Dung như thế nói, Tần Thiên nhưng là khoát tay một cái: "Vậy có thua thiệt à, bia tuy tốt, nhưng chi phí thật ra thì cũng không cao lắm, hai mươi thạch lương thực một vò, chúng ta lời kiếm có gấp mấy lần đâu, những lương thực kia giá thấp bán đi, chúng ta cũng là kiếm, trọng yếu nhất chính là, bây giờ chúng ta có chưng cất rượu giấy phép mua bán à, có cái này, sau này bán rượu kiếm tiền, coi như dễ dàng nhiều."

	Trước kia mặc dù có bia, nhưng chỉ có thể chính bọn họ uống, không thể bán, coi như vật này rất kiếm tiền, vậy không đổi được tiền, bây giờ bọn họ có mua bán quyền lực, tiền kia còn có thể ít đi?

	Mua bán này làm tuyệt đối đáng giá.

	Coi như những lương thực kia một phân tiền không được lợi, chỉ bằng cái này buôn bán rượu quyền lực, vậy tuyệt đối để cho hắn không hối hận.

	Ở cổ đại, chưng cất rượu, bán rượu, đây chính là lời nhiều nghề à.

	Tần Thiên như thế nói lúc này suy nghĩ tiếp theo phải thêm lớn bia cất tạo mới được, trừ gia tăng bia cất tạo bên ngoài, hắn không ngại nhân cơ hội đem rượu trắng cũng cho làm được.

	Mặc dù bây giờ uống rượu trắng có chút không thích hợp, nhưng bây giờ cất, cùng thả vào ngày đông uống, vậy coi như hết sức thuần hậu liền à, khẩu vị so lúc ấy cất có thể muốn tốt hơn nhiều, giá cả cũng có thể tăng lên.Chương 75: Đường Dung leo lên quan hệ 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Vật này dùng thật tốt, ngươi từ vậy mua được?"

	Băng vệ sinh dùng bớt chuyện, hơn nữa sạch sẽ vệ sinh lại thoải mái, đương nhiên được.

	Trưởng Tôn vương phi hỏi một câu, Đường Dung cười nói: "Vương phi nói đùa, vật này vậy có bán, là có bữa ta tới kinh nguyệt, tướng công ta cho phát minh, vương phi muốn là dùng thoải mái, ta để cho người cho ngươi đưa tới một ít là được."

	Nghe được là Tần Thiên phát minh, Trưởng Tôn vương phi chợt cảm thấy kinh ngạc, một người đàn ông lại phát minh vật này, thật đúng là thiên cổ không bình thường à.

	Bất quá cái này băng vệ sinh cũng đích xác dễ xài, nàng sau này sợ là không thể rời, Đường Dung nguyện ý cho, vậy không thể tốt hơn nữa.

	Hai người nói như vậy hoàn đi ra ngoài.

	Quan hệ so với trước kia hơn nữa thân mật.

	Những vương công quý tộc kia phu nhân thấy những thứ này sau đó, đều rất khiếp sợ.

	Mới vừa rồi Trưởng Tôn vương phi chuyện gì xảy ra, không ít người đều là đoán được, dẫu sao đều là phụ nữ, ai còn không rõ ràng ai à?

	Mà bọn họ đoán được sau đó, cảm thấy Đường Dung cứ như vậy đi theo, thật là không có nhãn lực sức lực, chỉ sợ Đường Dung phải bị Trưởng Tôn vương phi cho đìu hiu.

	Có thể cùng hai người bọn họ sau khi ra ngoài, nhưng phát hiện Đường Dung không chỉ không có bị đìu hiu, còn bị Trưởng Tôn vương phi càng phát ra tin chìu, bọn họ thật là không dám tin tưởng đây là thật.

	Cái này cũng thật không tưởng tượng nổi đi, là Đường Dung người này thật có cái gì mị lực, vẫn là Trưởng Tôn vương phi khí lượng tốt, bị người như thế đi theo cũng không tức giận?

	Mọi người không rõ ràng, có thể không có một người dám hỏi.

	Tiệc rượu kéo dài đại khái 4 tiếng, 4 tiếng sau đó tiệc rượu kết thúc, cả đám cùng lục tục rời đi, Tần Thiên và Đường Dung hai người nhưng là bị Lý Thế Dân cho lưu lại.

	" Được a, ngươi cái biện pháp này thật là không tệ, lập tức liền tới tay mấy ngàn thạch lương thực, những lương thực này, ngươi giá ổn định bán cho ta." Lý Thế Dân sau khi khen, đột nhiên liền đùa bỡn vô lại.

	Tần Thiên bĩu môi, nói: "Vương gia thứ lỗi, những lương thực này vẫn không thể bán cho ngươi."

	Nghe lời này một cái, Lý Thế Dân nhất thời ngưng nổi lên chân mày, trong bụng có chút khó chịu, hắn đột nhiên có một cảm giác bị lừa gạt, mình lương thực không có được, Tần Thiên nhưng là thu được chưng cất rượu tư cách, còn con mẹ nó lớn được lợi đặc biệt được lợi, mình tại sao thật giống như bị người lợi dụng?

	Bất quá Lý Thế Dân rốt cuộc có lòng dạ, trong lòng mặc dù không duyệt, nhưng cũng chỉ là ha ha cười một tiếng, hỏi: "Làm sao không thể bán cho bổn vương à?"

	Tần Thiên biết Lý Thế Dân tức giận, nhưng hắn cũng không gấp, nói: "Vương gia, mấy ngàn thạch lương thực mà thôi, đối với ngài mà nói còn kém xa chứ ?"

	"Cái này tự nhiên." Một trăm ngàn đại quân xuất chinh, không muốn biết đánh tới khi nào, lương thảo tự nhiên càng nhiều càng tốt, mấy ngàn thạch lương thực không tính thật nhiều.

	Tần Thiên gật đầu, tiếp tục nói: "Cho nên, hạ quan muốn dùng cái này mấy ngàn thạch lương thực làm kíp nổ, đem Trường An giá lương thực cho kéo xuống, ép những vương công quý tộc kia đem lương thực bán cho Vương gia, Vương gia nghĩ như thế nào?"

	Nghe Tần Thiên còn có sau kế, Lý Thế Dân ngược lại là lấy làm kinh hãi, bất quá cẩn thận suy nghĩ một chút, Tần Thiên nói cũng có đạo lý, lương thực đều ở đây những vương công quý tộc kia trong tay, từ bọn họ nơi đó mới có thể mua được đầy đủ lương thực.

	Chỉ bằng vào bia đổi cái này chút lương thực, vậy có thể đủ à?

	"Cực tốt, chẳng qua là ngươi muốn làm gì?"

	"Phô trương thanh thế!"

	Lý Thế Dân thần sắc khẽ động, tiếp lộ ra một tia cười yếu ớt.

	---------------------

	Thành Trường An lương thực giá cả cư cao không dưới.

	Mà lương thực giá cả càng cao, những cái kia trong tay có lương thực người lại càng không chịu tùy tiện bán đi, bởi vì là bọn họ cảm thấy giá cả còn có thể tăng.

	Mà càng không có ai bán, lưu thông lương thực lại càng thiếu, cung không đủ cầu, giá cả cũng chỉ càng tăng đi lên.

	Đây có thể nói là một cái tuần hoàn hiệu quả.

	Bất quá, ngay tại những vương công quý tộc kia xem chừng lúc này thành Trường An một nhà lương thực trải nhưng là đột nhiên đem lương thực giá cả kiểu vách núi cho chậm lại.

	Mà đang ở nhà này lương thực trải lương thực giá cả hạ xuống sau đó, ngay sau đó thành Trường An lại có một ít lời bàn truyền tới, nói những địa phương khác không thiếu buôn bán lương thực gặp Trường An lương thực giá cả cư cao không dưới, đã là rối rít mang lương thực hướng Trường An xuất phát, muốn kiếm một món tiền lớn.

	Những tin tức này truyền có chiêu có thức, hơn nữa mỗi ngày đều sẽ có một nhóm lương thực từ bên ngoài tiến vào thành Trường An, những lương thực này tiến vào thành Trường An sau giá cả, cũng so Trường An trước kia giá cả thấp hơn.

	Hơn nữa thấp nhiều.

	Vương công quý tộc những người đó nghe được những tin tức này sau đó, đều có điểm nóng nảy.

	Nếu quả thật có bên ngoài lương thực đi vào, vậy bọn họ ưu thế đem không còn tồn tại, mà theo càng ngày càng nhiều lương thực tràn vào, thành Trường An giá cả chỉ càng ngày sẽ càng thấp, khi đó bọn họ hao tổn cũng không thiếu.

	Trọng yếu nhất là, nếu như triều đình lại nữa thu mua lương thực của bọn họ, vậy bọn họ những lương thực kia nhưng thật ra là thả không được thời gian bao lâu.

	Giữa hè vừa qua, lương thực thì sẽ sinh trùng, cái này so với bọn họ giá thấp bán còn muốn thua thiệt.

	"Tin tức cũng chính xác sao?"

	"Chính xác, hiện nay mỗi ngày đều có vùng khác lương thực tràn vào thành Trường An, nghe nói Tần Vương điện hạ đã phái người đi theo những người đó tiến hành thương lượng, nếu như Tần Vương điện hạ từ những người đó trong tay mua lương thực, chúng ta nơi này lương thực sợ là phải đập trong tay à."

	"Hôm nay bộ mặt thành phố giá cả như thế nào?"

	"Còn không có ngã quá lợi hại, nhưng chỉ sợ vậy không bảo vệ được mấy ngày."

	Chàng trai ở phòng khách tới lui đi mấy bước, ngay sau đó, phân phó nói: "Mở nhà kho bán lương thực, thừa dịp giá cả chưa có trở về rơi, có thể bán nhiều ít bán nhiều ít."

	Không thiếu vương công quý tộc mở nhà kho bán lương thực, mà làm lương thực của bọn họ tràn vào thành Trường An thị trường sau đó, lương thực giá cả lại cũng không khống chế được, rất nhanh liền lại chậm lại.

	Tần Thiên ở thôn Tần gia nghe được tin tức này sau đó, rốt cuộc thở phào nhẹ nhõm.

	Chỉ cần lương thực giá cả chậm lại, hơn nữa vương công quý tộc tranh nhau buôn bán, lấy Lý Thế Dân người thủ đoạn, muốn thu mua đầy đủ lương thảo, tuyệt không phải việc khó gì.

	Mình cuối cùng là hoàn thành nhiệm vụ.

	Bất quá lúc này, Đường Dung nhưng là bĩu môi, nói: "Tướng công, chúng ta giá cao đổi lấy lương thực, nhưng giá thấp bán đi, mua bán này chúng ta có thể làm thua thiệt."

	Nghe được Đường Dung như thế nói, Tần Thiên nhưng là khoát tay một cái: "Vậy có thua thiệt à, bia tuy tốt, nhưng chi phí thật ra thì cũng không cao lắm, hai mươi thạch lương thực một vò, chúng ta lời kiếm có gấp mấy lần đâu, những lương thực kia giá thấp bán đi, chúng ta cũng là kiếm, trọng yếu nhất chính là, bây giờ chúng ta có chưng cất rượu giấy phép mua bán à, có cái này, sau này bán rượu kiếm tiền, coi như dễ dàng nhiều."

	Trước kia mặc dù có bia, nhưng chỉ có thể chính bọn họ uống, không thể bán, coi như vật này rất kiếm tiền, vậy không đổi được tiền, bây giờ bọn họ có mua bán quyền lực, tiền kia còn có thể ít đi?

	Mua bán này làm tuyệt đối đáng giá.

	Coi như những lương thực kia một phân tiền không được lợi, chỉ bằng cái này buôn bán rượu quyền lực, vậy tuyệt đối để cho hắn không hối hận.

	Ở cổ đại, chưng cất rượu, bán rượu, đây chính là lời nhiều nghề à.

	Tần Thiên như thế nói lúc này suy nghĩ tiếp theo phải thêm lớn bia cất tạo mới được, trừ gia tăng bia cất tạo bên ngoài, hắn không ngại nhân cơ hội đem rượu trắng cũng cho làm được.

	Mặc dù bây giờ uống rượu trắng có chút không thích hợp, nhưng bây giờ cất, cùng thả vào ngày đông uống, vậy coi như hết sức thuần hậu liền à, khẩu vị so lúc ấy cất có thể muốn tốt hơn nhiều, giá cả cũng có thể tăng lên.Chương 75: Đường Dung leo lên quan hệ 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Vật này dùng thật tốt, ngươi từ vậy mua được?"

	Băng vệ sinh dùng bớt chuyện, hơn nữa sạch sẽ vệ sinh lại thoải mái, đương nhiên được.

	Trưởng Tôn vương phi hỏi một câu, Đường Dung cười nói: "Vương phi nói đùa, vật này vậy có bán, là có bữa ta tới kinh nguyệt, tướng công ta cho phát minh, vương phi muốn là dùng thoải mái, ta để cho người cho ngươi 
