Chương 214: Ưu dân 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	10 ngàn xâu không phải là một số tiền nhỏ, nhưng Lục Phùng vẫn đáp ứng.
	Lý Kiến Thành mặc dù trong ngày thường có chút coi thường công bộ, nhưng ngày hôm nay cũng rất là vui mừng, nói: "Lục đại nhân làm việc không tệ, những công lao này bản thái tử cũng ghi nhớ, tìm một thời gian, nhất định dìu dắt Lục đại nhân."

	"Đa tạ thái tử điện hạ."

	Trong sáu bộ, công bộ yếu nhất, Lục Phùng vẫn là rất muốn di chuyển di chuyển ổ, hôm nay lấy được Lý Kiến Thành hứa hẹn, hắn cảm thấy lần này khổ cực cuối cùng không có uổng phí.

	Như vậy cùng Lý Kiến Thành lại nói mấy câu sau đó, Lục Phùng liền lui ra ngoài.

	Lục Phùng rời đi, Lý Kiến Thành mới sai người đốt giường lò, rất nhanh giường lò nóng, phòng ngủ của hắn vậy dần dần ấm áp lên.

	Lý Kiến Thành ngồi ở trên giường đất, lần đầu tiên ở ngày đông không lạnh như vậy.

	"Tần Thiên thằng nhóc này, thật đúng là có bản lãnh à, đáng tiếc không là bản thái tử sử dụng."

	Lý Kiến Thành thật ra thì vậy rất yêu tài, Tần Thiên có các loại các dạng kỳ tư diệu tưởng, chân thực để cho hắn kinh vi thiên nhân, tự nhiên cũng muốn đem hắn lôi kéo đến dưới quyền mình, đáng tiếc Tần Thiên là Tần Thúc Bảo nghĩa tử.

	Nếu là Tần Thúc Bảo nghĩa tử, vậy hắn liền rất tự nhiên cùng Lý Thế Dân trói chung một chỗ, lôi kéo, là khẳng định không được, trừ phi Tần Thúc Bảo chịu đầu dựa vào mình.

	Có thể hắn đã sớm lôi kéo qua Tần Thúc Bảo rất nhiều lần, cũng không có thành công, như vậy, lôi kéo Tần Thiên tự nhiên vậy liền không có hy vọng gì.

	Lý Kiến Thành nghĩ như vậy lúc này không nhịn được khẽ than một tiếng.

	Mà ngay lúc này, Lý Kiến Thành cửa đột nhiên mở ra, tiếp chỉ gặp thái tử phi, cùng với những thứ khác phi tần cũng tràn vào.

	"Thái tử điện hạ, ta tối hôm nay muốn cùng ngài. . ."

	"Thái tử điện hạ, tối hôm nay nên ta cùng ngài. . ."

	Lý Kiến Thành nhà thật sự là quá ấm, những thứ này phi tần tự nhiên cũng muốn tới lấy ấm áp, Lý Kiến Thành vậy có thể không nhìn ra, đây cũng là không thời gian, nếu không những thứ này phi tần gian phòng cái đó không nỡ đánh tạo một cái giường sưởi?

	Hôm nay nhìn những thứ này người đẹp từng cái một đi trong ngực mình ủi, Lý Kiến Thành một cái liền toàn kéo tới: "Đều lưu lại, đều lưu lại. . ."

	"À. . . Thái tử điện hạ. . . Ghét. . ."

	"Ha ha ha ha ha. . ."

	---------------------

	Tuyết rơi xuống nhiều cái không ngừng.

	Trường An tuyết đã rất dầy, hơn nữa đã xuống hai ngày, nhìn dáng dấp, tràng này tuyết sẽ còn tiếp tục rơi.

	Tần phủ đình viện đi dậy đường tới đã có chút khó khăn, cho tới cái này hai ngày Tần Thiên nơi đó cũng không có đi, cũng chỉ là ngây ngô ở bên trong phòng sưởi ấm.

	Phòng ngủ phong bế có chút nghiêm, bên ngoài gió ào ào quét, Tần Thiên ở bên trong phòng có chút vô cùng buồn chán, tùy ý liếc nhìn một ít sách.

	Không thể không nói, hôm nay Đại Đường đã có một ít Đường truyền kỳ mầm non, trên thị trường không hề thiếu mua truyền kỳ gian hàng, Tần Thiên trước có mua qua 2 bản.

	Bất quá một mực chưa kịp xem, hôm nay thời gian nhiều, cầm tới xem, sau khi xem, nhưng là không nói cười khổ, mặc dù là câu chuyện kịch ngắn văn, nhưng là văn ngôn văn, hơn nữa không có tiêu điểm ký hiệu, còn muốn mình đoạn câu, nhìn như hết sức không lưu loát khó hiểu.

	Hơn nữa, câu chuyện quá ngắn, hoàn toàn không đạt tới cái loại đó khoái cảm.

	Tần Thiên nhìn một hai câu chuyện sau liền đem những sách kia ném vào một bên, sách là cuốn, như thế ném một cái sau đó, lộ vẻ được càng phát ra xốc xếch, Tần Thiên ngưng mi, lòng nghĩ thế nào vậy không người dùng tuyến đựng sách?

	Nghĩ như vậy lúc này Đường Dung đột nhiên kêu một tiếng: "Bên ngoài gió thật giống như ngừng."

	Đường Dung mừng rỡ mở ra cửa sổ, bên ngoài gió xác thực ngừng, tuyết vậy ngừng, toàn bộ Tần phủ bị một mảnh trắng như tuyết bao quanh, đẹp giống như là vào bức tranh.

	Đường Dung giống như đứa bé như nhau hưng phấn, đi tới Tần Thiên bên cạnh: "Tướng công, chúng ta đánh gậy trợt tuyết chứ ?"

	Tần Thiên bị Đường Dung cho kéo đến trong sân, tuyết dầy cơ hồ có thể chìm ngập bắp chân bụng, một cái chim sẻ ở mái hiên chỗ sốt ruột ríu rít kêu.

	Tần Thiên ngẩng đầu liếc bầu trời một cái, chỉ gặp mây đen đền bù, tuyết này tựa như còn phải tiếp tục rơi.

	Thấy những thứ này, Tần Thiên thần sắc khẽ động, Đường Dung gặp hắn như vậy, nói: "Tướng công làm sao rồi?"

	Tần Thiên khẽ than một tiếng: "Tuyết lớn như vậy, hơn nữa nhìn dáng dấp tuyết này sẽ còn tiếp tục rơi, chỉ sợ nơi kinh kỳ, không thiếu dân chúng nghèo khó cuộc sống sẽ thật không tốt qua à."

	Nghe nói như vậy, Đường Dung nhất thời rõ ràng liền Tần Thiên ý nghĩa.

	"Tướng công làm là kinh triệu phủ biệt giá, quan tâm dân sanh là mình bổn phận sự việc, chẳng qua là hôm nay loại chuyện này, chúng ta có thể làm gì?"

	Đường Dung nhìn Tần Thiên, dân chúng sự việc, nói lớn không lớn, nói nhỏ không nhỏ, có quyền lại có tiền, mới phải làm, nàng tướng công, vậy chỉ là một biệt giá mà thôi.

	Ưu quốc ưu dân là tốt, nhưng cũng phải xem mình năng lực.

	Chợt lại nổi lên gió, Tần Thiên rụt cổ một cái, liền hắn người như vậy cũng không đỡ được cực lạnh, chớ nói chi là những cái kia dân chúng nghèo khó.

	Tần Thiên trong xương, còn là đồng tình dân chúng nghèo khó.

	Ở trong tuyết địa đi qua đi lại chỉ chốc lát sau, Tần Thiên nói: "Phúc bá, chuẩn bị xe."

	Phúc bá sững sốt một chút: "Thiếu gia, sắc trời đã trễ, con đường khó khăn thông, ngài đây là chuẩn bị đi kia?"

	"Tần vương phủ."

	Có lẽ, hắn Tần Thiên người vi ngôn nhẹ, không cách nào làm cho này Trường An dân chúng nghèo khó làm chút gì, nhưng Tần vương nhưng là có thể, làm là Đại Đường vương gia, hắn có người khác chỉ có thể ngưỡng vọng thực lực.

	Phúc bá nhìn một cái sắc trời, không chần chờ nữa, vội vàng là Tần Thiên chuẩn bị tới xe ngựa.

	"Thiếu gia, tuyết này có thể còn muốn rơi, ngài có thể sớm chút trở về à."

	"Yên tâm, chỉ cần vương gia đồng ý ta một ít đề nghị sau đó, ta thì sẽ lập tức trở về."

	Phúc bá vừa nghe cái này, sắc mặt nhất thời liền nhéo một cái.

	"Vương gia không đồng ý, ngài vậy sớm một chút trở lại."

	Phúc bá vừa nói, Tần Thiên nhưng là không có lại phản ứng hắn, trực tiếp chạy xe ngựa hướng Tần vương phủ chạy tới.

	Trường An tuyết rất dầy, con đường khó đi, Tần Thiên cùng nhau đi tới, thấy ven đường nằm không thiếu thi thể, mà những thi thể này, đều đã đông thành băng.

	Tuyết, tựa hồ lại phải rơi rồi .Chương 214: Ưu dân 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	10 ngàn xâu không phải là một số tiền nhỏ, nhưng Lục Phùng vẫn đáp ứng.

	Tới một cái, vì lấy lòng thái tử, hắn không có lựa chọn nào khác.

	Thứ hai, học giường sưởi kỹ thuật sau đó, chỉ cần bọn họ điên cuồng nhận việc, làm ăn hẳn sẽ rất tốt, khi đó đem cái này 10 ngàn xâu tiền kiếm về vậy không có bao nhiêu vấn đề.

	Đối với bọn họ mà nói, đây cũng không phải một cái lỗ vốn làm ăn.

	Thậm chí còn có một chút mượn gà sinh trứng cảm giác.

	Lục Phùng đồng ý sau đó, Tần Thiên lúc này mới theo hắn đi công bộ, đem một vài kỹ xảo cái gì giao cho công bộ một ít thợ, những thứ này thợ đối với một ít kỹ thuật đều là rất nhuần nhuyễn, mà rất nhiều kỹ thuật nhưng thật ra là nghĩ thông suốt.

	Giường sưởi kỹ thuật cũng không phải là đặc biệt khó khăn hiểu, chỉ cần Tần Thiên đem cần phải chú ý địa phương nói cho bọn họ sau đó, bọn họ rất nhanh là có thể vào tay.

	Như vậy dạy xong, Tần Thiên cũng không ở công bộ nhiều việc dừng lại, liền trực tiếp trở về phủ đi.

	Lục Phùng bên này, cũng không dám nhiều việc dừng lại, ngay tại Tần Thiên trở về sau đó, hắn lập tức mang thợ đi đông cung.

	Hàn tuyết bay tán loạn, gió lớn dậy hề.

	Đi tới đông cung sau đó, mặc dù thời tiết giá rét, nhưng Lục Phùng nhưng là bất kể những thứ này, như cũ để cho thợ bắt đầu cho thái tử chế tạo giường sưởi, như vậy cùng trời tối hết sức lúc này cuối cùng đem giường sưởi cho chế tạo xong rồi.

	"Thái tử điện hạ, giường sưởi tốt." Lục Phùng còn không có rời đi, hắn ở hướng thái tử giành công.

	Lý Kiến Thành mặc dù trong ngày thường có chút coi thường công bộ, nhưng ngày hôm nay cũng rất là vui mừng, nói: "Lục đại nhân làm việc không tệ, những công lao này bản thái tử cũng ghi nhớ, tìm một thời gian, nhất định dìu dắt Lục đại nhân."

	"Đa tạ thái tử điện hạ."

	Trong sáu bộ, công bộ yếu nhất, Lục Phùng vẫn là rất muốn di chuyển di chuyển ổ, hôm nay lấy được Lý Kiến Thành hứa hẹn, hắn cảm thấy lần này khổ cực cuối cùng không có uổng phí.

	Như vậy cùng Lý Kiến Thành lại nói mấy câu sau đó, Lục Phùng liền lui ra ngoài.

	Lục Phùng rời đi, Lý Kiến Thành mới sai người đốt giường lò, rất nhanh giường lò nóng, phòng ngủ của hắn vậy dần dần ấm áp lên.

	Lý Kiến Thành ngồi ở trên giường đất, lần đầu tiên ở ngày đông không lạnh như vậy.

	"Tần Thiên thằng nhóc này, thật đúng là có bản lãnh à, đáng tiếc không là bản thái tử sử dụng."

	Lý Kiến Thành thật ra thì vậy rất yêu tài, Tần Thiên có các loại các dạng kỳ tư diệu tưởng, chân thực để cho hắn kinh vi thiên nhân, tự nhiên cũng muốn đem hắn lôi kéo đến dưới quyền mình, đáng tiếc Tần Thiên là Tần Thúc Bảo nghĩa tử.

	Nếu là Tần Thúc Bảo nghĩa tử, vậy hắn liền rất tự nhiên cùng Lý Thế Dân trói chung một chỗ, lôi kéo, là khẳng định không được, trừ phi Tần Thúc Bảo chịu đầu dựa vào mình.

	Có thể hắn đã sớm lôi kéo qua Tần Thúc Bảo rất nhiều lần, cũng không có thành công, như vậy, lôi kéo Tần Thiên tự nhiên vậy liền không có hy vọng gì.

	Lý Kiến Thành nghĩ như vậy lúc này không nhịn được khẽ than một tiếng.

	Mà ngay lúc này, Lý Kiến Thành cửa đột nhiên mở ra, tiếp chỉ gặp thái tử phi, cùng với những thứ khác phi tần cũng tràn vào.

	"Thái tử điện hạ, ta tối hôm nay muốn cùng ngài. . ."

	"Thái tử điện hạ, tối hôm nay nên ta cùng ngài. . ."

	Lý Kiến Thành nhà thật sự là quá ấm, những thứ này phi tần tự nhiên cũng muốn tới lấy ấm áp, Lý Kiến Thành vậy có thể không nhìn ra, đây cũng là không thời gian, nếu không những thứ này phi tần gian phòng cái đó không nỡ đánh tạo một cái giường sưởi?

	Hôm nay nhìn những thứ này người đẹp từng cái một đi trong ngực mình ủi, Lý Kiến Thành một cái liền toàn kéo tới: "Đều lưu lại, đều lưu lại. . ."

	"À. . . Thái tử điện hạ. . . Ghét. . ."

	"Ha ha ha ha ha. . ."

	---------------------

	Tuyết rơi xuống nhiều cái không ngừng.

	Trường An tuyết đã rất dầy, hơn nữa đã xuống hai ngày, nhìn dáng dấp, tràng này tuyết sẽ còn tiếp tục rơi.

	Tần phủ đình viện đi dậy đường tới đã có chút khó khăn, cho tới cái này hai ngày Tần Thiên nơi đó cũng không có đi, cũng chỉ là ngây ngô ở bên trong phòng sưởi ấm.

	Phòng ngủ phong bế có chút nghiêm, bên ngoài gió ào ào quét, Tần Thiên ở bên trong phòng có chút vô cùng buồn chán, tùy ý liếc nhìn một ít sách.

	Không thể không nói, hôm nay Đại Đường đã có một ít Đường truyền kỳ mầm non, trên thị trường không hề thiếu mua truyền kỳ gian hàng, Tần Thiên trước có mua qua 2 bản.

	Bất quá một mực chưa kịp xem, hôm nay thời gian nhiều, cầm tới xem, sau khi xem, nhưng là không nói cười khổ, mặc dù là câu chuyện kịch ngắn văn, nhưng là văn ngôn văn, hơn nữa không có tiêu điểm ký hiệu, còn muốn mình đoạn câu, nhìn như hết sức không lưu loát khó hiểu.

	Hơn nữa, câu chuyện quá ngắn, hoàn toàn không đạt tới cái loại đó khoái cảm.

	Tần Thiên nhìn một hai câu chuyện sau liền đem những sách kia ném vào một bên, sách là cuốn, như thế ném một cái sau đó, lộ vẻ được càng phát ra xốc xếch, Tần Thiên ngưng mi, lòng nghĩ thế nào vậy không người dùng tuyến đựng sách?

	Nghĩ như vậy lúc này Đường Dung đột nhiên kêu một tiếng: "Bên ngoài gió thật giống như ngừng."

	Đường Dung mừng rỡ mở ra cửa sổ, bên ngoài gió xác thực ngừng, tuyết vậy ngừng, toàn bộ Tần phủ bị một mảnh trắng như tuyết bao quanh, đẹp giống như là vào bức tranh.

	Đường Dung giống như đứa bé như nhau hưng phấn, đi tới Tần Thiên bên cạnh: "Tướng công, chúng ta đánh gậy trợt tuyết chứ ?"

	Tần Thiên bị Đường Dung cho kéo đến trong sân, tuyết dầy cơ hồ có thể chìm ngập bắp chân bụng, một cái chim sẻ ở mái hiên chỗ sốt ruột ríu rít kêu.

	Tần Thiên ngẩng đầu liếc bầu trời một cái, chỉ gặp mây đen đền bù, tuyết này tựa như còn phải tiếp tục rơi.

	Thấy những thứ này, Tần Thiên thần sắc khẽ động, Đường Dung gặp hắn như vậy, nói: "Tướng công làm sao rồi?"

	Tần Thiên khẽ than một tiếng: "Tuyết lớn như vậy, hơn nữa nhìn dáng dấp tuyết này sẽ còn tiếp tục rơi, chỉ sợ nơi kinh kỳ, không thiếu dân chúng nghèo khó cuộc sống sẽ thật không tốt qua à."

	Nghe nói như vậy, Đường Dung nhất thời rõ ràng liền Tần Thiên ý nghĩa.

	"Tướng công làm là kinh triệu phủ biệt giá, quan tâm dân sanh là mình bổn phận sự việc, chẳng qua là hôm nay loại chuyện này, chúng ta có thể làm gì?"

	Đường Dung nhìn Tần Thiên, dân chúng sự việc, nói lớn không lớn, nói nhỏ không nhỏ, có quyền lại có tiền, mới phải làm, nàng tướng công, vậy chỉ là một biệt giá mà thôi.

	Ưu quốc ưu dân là tốt, nhưng cũng phải xem mình năng lực.

	Chợt lại nổi lên gió, Tần Thiên rụt cổ một cái, liền hắn người như vậy cũng không đỡ được cực lạnh, chớ nói chi là những cái kia dân chúng nghèo khó.

	Tần Thiên trong xương, còn là đồng tình dân chúng nghèo khó.

	Ở trong tuyết địa đi qua đi lại chỉ chốc lát sau, Tần Thiên nói: "Phúc bá, chuẩn bị xe."

	Phúc bá sững sốt một chút: "Thiếu gia, sắc trời đã trễ, con đường khó khăn thông, ngài đây là chuẩn bị đi kia?"

	"Tần vương phủ."

	Có lẽ, hắn Tần Thiên người vi ngôn nhẹ, không cách nào làm cho này Trường An dân chúng nghèo khó làm chút gì, nhưng Tần vương nhưng là có thể, làm là Đại Đường vương gia, hắn có người khác chỉ có thể ngưỡng vọng thực lực.

	Phúc bá nhìn một cái sắc trời, không chần chờ nữa, vội vàng là Tần Thiên chuẩn bị tới xe ngựa.

	"Thiếu gia, tuyết này có thể còn muốn rơi, ngài có thể sớm chút trở về à."

	"Yên tâm, chỉ cần vương gia đồng ý ta một ít đề nghị sau đó, ta thì sẽ lập tức trở về."

	Phúc bá vừa nghe cái này, sắc mặt nhất thời liền nhéo một cái.

	"Vương gia không đồng ý, ngài vậy sớm một chút trở lại."

	Phúc bá vừa nói, Tần Thiên nhưng là không có lại phản ứng hắn, trực tiếp chạy xe ngựa hướng Tần vương phủ chạy tới.

	Trường An tuyết rất dầy, con đường khó đi, Tần Thiên cùng nhau đi tới, thấy ven đường nằm không thiếu thi thể, mà những thi thể này, đều đã đông thành băng.

	Tuyết, tựa hồ lại phải rơi rồi .Chương 214: Ưu dân 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	10 ngàn xâu không phải là một số tiền nhỏ, nhưng Lục Phùng vẫn đáp ứng.

	Tới một cái, vì lấy lòng thái tử, hắn không có lựa chọn nào khác.

	Thứ hai, học giường sưởi kỹ thuật sau đó, chỉ cần bọn họ điên cuồng nhận việc, làm ăn hẳn sẽ rất tốt, khi đó đem cái này 10 ngàn xâu tiền kiếm về vậy không có bao nhiêu vấn đề.

	Đối với bọn họ mà nói, đây cũng không phải một cái lỗ vốn làm ăn.

	Thậm chí còn có một chút mượn gà sinh trứng cảm giác.

	Lục Phùng đồng ý sau đó, Tần Thiên lúc này mới theo hắn đi công bộ, đem một vài kỹ xảo cái gì giao cho công bộ một ít thợ, những thứ này thợ đối với một ít kỹ thuật đều là rất nhuần nhuyễn, mà rất nhiều kỹ thuật nhưng thật ra là nghĩ thông suốt.

	Giường sưởi kỹ thuật cũng không phải là đặc biệt khó khăn hiểu, chỉ cần Tần Thiên đem cần phải chú ý địa phương nói cho bọn họ sau đó, bọn họ rất nhanh là có thể vào tay.

	Như vậy dạy xong, Tần Thiên cũng không ở công bộ nhiều việc dừng lại, liền trực tiếp trở về phủ đi.

	Lục Phùng bên này, cũng không dám nhiều việc dừng lại, ngay tại Tần Thiên trở về sau đó, hắn lập tức mang thợ đi đông cung.

	Hàn tuyết bay tán loạn, gió lớn dậy hề.

	Đi tới đông cung sau đó, mặc dù thời tiết giá rét, nhưng Lục Phùng nhưng là bất kể những thứ này, như cũ để cho thợ bắt đầu cho thái tử chế tạo giường sưởi, như vậy cùng trời tối hết sức lúc này cuối cùng đem giường sưởi cho chế tạo xong rồi.

	"Thái tử điện hạ, giường sưởi tốt." Lục Phùng còn không có rời đi, hắn ở hướng thái tử giành công.

	Lý Kiến Thành mặc dù trong ngày thường có chút coi thường công bộ, nhưng ngày hôm nay cũng rất là vui mừng, nói: "Lục đại nhân làm việc không tệ, những công lao này bản thái tử cũng ghi nhớ, tìm một thời gian, nhất định dìu dắt Lục đại nhân."

	"Đa tạ thái tử điện hạ."

	Trong sáu bộ, công bộ yếu nhất, Lục Phùng vẫn là rất muốn di chuyển di chuyển ổ, hôm nay lấy được Lý Kiến Thành hứa hẹn, hắn cảm thấy lần này khổ cực cuối cùng không có uổng phí.

	Như vậy cùng Lý Kiến Thành lại nói mấy câu sau đó, Lục Phùng liền lui ra ngoài.

	Lục Phùng rời đi, Lý Kiến Thành mới sai người đốt giường lò, rất nhanh giường lò nóng, phòng ngủ của hắn vậy dần dần ấm áp lên.

	Lý Kiến Thành ngồi ở trên giường đất, lần đầu tiên ở ngày đông không lạnh như vậy.

	"Tần Thiên thằng nhóc này, thật đúng là có bản lãnh à, đáng tiếc không là bản thái tử sử dụng."

	Lý Kiến Thành thật ra thì vậy rất yêu tài, Tần Thiên có các loại các dạng kỳ tư diệu tưởng, chân thực để cho hắn kinh vi thiên nhân, tự nhiên cũng muốn đem hắn lôi kéo đến dưới quyền mình, đáng tiếc Tần Thiên là Tần Thúc Bảo nghĩa tử.

	Nếu là Tần Thúc Bảo nghĩa tử, vậy hắn liền rất tự nhiên cùng Lý Thế Dân trói chung một chỗ, lôi kéo, là khẳng định không được, trừ phi Tần Thúc Bảo chịu đầu dựa vào mình.

	Có thể hắn đã sớm lôi kéo qua Tần Thúc Bảo rất nhiều lần, cũng không có thành công, như vậy, lôi kéo Tần Thiên tự nhiên vậy liền không có hy vọng gì.

	Lý Kiến Thành nghĩ như vậy lúc này không nhịn được khẽ than một tiếng.

	Mà ngay lúc này, Lý Kiến Thành cửa đột nhiên mở ra, tiếp chỉ gặp thái tử phi, cùng với những thứ khác phi tần cũng tràn vào.

	"Thái tử điện hạ, ta tối hôm nay muốn cùng ngài. . ."

	"Thái tử điện hạ, tối hôm nay nên ta cùng ngài. . ."

	Lý Kiến Thành nhà thật sự là quá ấm, những thứ này phi tần tự nhiên cũng muốn tới lấy ấm áp, Lý Kiến Thành vậy có thể không nhìn ra, đây cũng là không thời gian, nếu không những thứ này phi tần gian phòng cái đó không nỡ đánh tạo một cái giường sưởi?

	Hôm nay nhìn những thứ này người đẹp từng cái một đi trong ngực mình ủi, Lý Kiến Thành một cái liền toàn kéo tới: "Đều lưu lại, đều lưu lại. . ."

	"À. . . Thái tử điện hạ. . . Ghét. . ."

	"Ha ha ha ha ha. . ."

	---------------------

	Tuyết rơi xuống nhiều cái không ngừng.

	Trường An tuyết đã rất dầy, hơn nữa đã xuống hai ngày, nhìn dáng dấp, tràng này tuyết sẽ còn tiếp tục rơi.

	Tần phủ đình viện đi dậy đường tới đã có chút khó khăn, cho tới cái này hai ngày Tần Thiên nơi đó cũng không có đi, cũng chỉ là ngây ngô ở bên trong phòng sưởi ấm.

	Phòng ngủ phong bế có chút nghiêm, bên ngoài gió ào ào quét, Tần Thiên ở bên trong phòng có chút vô cùng buồn chán, tùy ý liếc nhìn một ít sách.

	Không thể không nói, hôm nay Đại Đường đã có một ít Đường truyền kỳ mầm non, trên thị trường không hề thiếu mua truyền kỳ gian hàng, Tần Thiên trước có mua qua 2 bản.

	Bất quá một mực chưa kịp xem, hôm nay thời gian nhiều, cầm tới xem, sau khi xem, nhưng là không nói cười khổ, mặc dù là câu chuyện kịch ngắn văn, nhưng là văn ngôn văn, hơn nữa không có tiêu điểm ký hiệu, còn muốn mình đoạn câu, nhìn như hết sức không lưu loát khó hiểu.

	Hơn nữa, câu chuyện quá ngắn, hoàn toàn không đạt tới cái loại đó khoái cảm.

	Tần Thiên nhìn một hai câu chuyện sau liền đem những sách kia ném vào một bên, sách là cuốn, như thế ném một cái sau đó, lộ vẻ được càng phát ra xốc xếch, Tần Thiên ngưng mi, lòng nghĩ thế nào vậy không người dùng tuyến đựng sách?

	Nghĩ như vậy lúc này Đường Dung đột nhiên kêu một tiếng: "Bên ngoài gió thật giống như ngừng."

	Đường Dung mừng rỡ mở ra cửa sổ, bên ngoài gió xác thực ngừng, tuyết vậy ngừng, toàn bộ Tần phủ bị một mảnh trắng như tuyết bao quanh, đẹp giống như là vào bức tranh.

	Đường Dung giống như đứa bé như nhau hưng phấn, đi tới Tần Thiên bên cạnh: "Tướng công, chúng ta đánh gậy trợt tuyết chứ ?"

	Tần Thiên bị Đường Dung cho kéo đến trong sân, tuyết dầy cơ hồ có thể chìm ngập bắp chân bụng, một cái chim sẻ ở mái hiên chỗ sốt ruột ríu rít kêu.

	Tần Thiên ngẩng đầu liếc bầu trời một cái, chỉ gặp mây đen đền bù, tuyết này tựa như còn phải tiếp tục rơi.

	Thấy những thứ này, Tần Thiên thần sắc khẽ động, Đường Dung gặp hắn như vậy, nói: "Tướng công làm sao rồi?"

	Tần Thiên khẽ than một tiếng: "Tuyết lớn như vậy, hơn nữa nhìn dáng dấp tuyết này sẽ còn tiếp tục rơi, chỉ sợ nơi kinh kỳ, không thiếu dân chúng nghèo khó cuộc sống sẽ thật không tốt qua à."

	Nghe nói như vậy, Đường Dung nhất thời rõ ràng liền Tần Thiên ý nghĩa.

	"Tướng công làm là kinh triệu phủ biệt giá, quan tâm dân sanh là mình bổn phận sự việc, chẳng qua là hôm nay loại chuyện này, chúng ta có thể làm gì?"

	Đường Dung nhìn Tần Thiên, dân chúng sự việc, nói lớn không lớn, nói nhỏ không nhỏ, có quyền lại có tiền, mới phải làm, nàng tướng công, vậy chỉ là một biệt giá mà thôi.

	Ưu quốc ưu dân là tốt, nhưng cũng phải xem mình năng lực.

	Chợt lại nổi lên gió, Tần Thiên rụt cổ một cái, liền hắn người như vậy cũng không đỡ được cực lạnh, chớ nói chi là những cái kia dân chúng nghèo khó.

	Tần Thiên trong xương, còn là đồng tình dân chúng nghèo khó.

	Ở trong tuyết địa đi qua đi lại chỉ chốc lát sau, Tần Thiên nói: "Phúc bá, chuẩn bị xe."

	Phúc bá sững sốt một chút: "Thiếu gia, sắc trời đã trễ, con đường khó khăn thông, ngài đây là chuẩn bị đi kia?"

	"Tần vương phủ."

	Có lẽ, hắn Tần Thiên người vi ngôn nhẹ, không cách nào làm cho này Trường An dân chúng nghèo khó làm chút gì, nhưng Tần vương nhưng là có thể, làm là Đại Đường vương gia, hắn có người khác chỉ có thể ngưỡng vọng thực lực.

	Phúc bá nhìn một cái sắc trời, không chần chờ nữa, vội vàng là Tần Thiên chuẩn bị tới xe ngựa.

	"Thiếu gia, tuyết này có thể còn muốn rơi, ngài có thể sớm chút trở về à."

	"Yên tâm, chỉ cần vương gia đồng ý ta một ít đề nghị sau đó, ta thì sẽ lập tức trở về."

	Phúc bá vừa nghe cái này, sắc mặt nhất thời liền nhéo một cái.

	"Vương gia không đồng ý, ngài vậy sớm một chút trở lại."

	Phúc bá vừa nói, Tần Thiên nhưng là không có lại phản ứng hắn, trực tiếp chạy xe ngựa hướng Tần vương phủ chạy tới.

	Trường An tuyết rất dầy, con đường khó đi, Tần Thiên cùng nhau đi tới, thấy ven đường nằm không thiếu thi thể, mà những thi thể này, đều đã đông thành băng.

