Chương 144: Bị vạch tội 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Tần Thiên trở lại Trường An thời điểm đã là cuối hè thời tiết.
	Nhưng mà, liền chính hắn cũng không biết mình tại sao sẽ hưng phấn, là đối với Tần Thiên tín nhiệm sao?

	Có thể thư này đảm nhiệm từ đâu tới?

	Lý Kiến Thành cũng không có chú ý tới điểm này, hắn chỉ là tiếp tục nói: "Phụ hoàng, cái này Tần Thiên chưa từng phụng mệnh, liền tự mình rời đi mình quản hạt địa phương, hắn đây là kháng chỉ, chỉ sợ hắn rắp tâm không tốt à."

	Lý Kiến Thành như thế nói xong, bên cạnh Thôi Đồng liền vội vàng đi theo phụ họa: "Đúng vậy, không tuân lệnh liền vào kinh, không chừng hắn có âm mưu gì đâu, mong rằng Thánh thượng đặt phải nghiêm trị Tần Thiên à."

	Thái tử Lý Kiến Thành và Thôi Đồng hai người ngươi một câu ta một câu vừa nói, Lý Uyên chẳng qua là yên lặng không nói, cho đến bọn họ hai người sau khi nói xong, Lý Uyên mới rốt cục hỏi: "Tần Thiên hiện ở nơi nào?"

	Lý Kiến Thành nói: "Hồi phụ hoàng nói, ở Tần vương phủ."

	"Truyền Tần Thiên vào cung!"

	"Tần vương đâu ?"

	"Vậy truyền!"

	Lý Uyên ra lệnh rất nhanh truyền đi xuống, Tần vương Lý Thế Dân và Tần Thiên bọn họ ở Tần vương phủ nhận được mệnh lệnh này lúc này cũng hơi chấn động một chút.

	Theo lý thuyết, Tần Thiên mới vừa trở lại kinh thành, còn chưa kịp đi những địa phương khác đâu, làm sao hắn phụ hoàng cũng biết Tần Thiên trở về?

	Lý Thế Dân thần sắc khẽ động, nhìn một cái truyền chỉ thái giám, hỏi: "Phụ hoàng nơi đó, có thể còn có người nào?"

	Truyền chỉ thái giám đại khái tới tuổi hai mươi, dáng dấp mi thanh mục tú, ngay cả có chút âm nhu, lúc này bị Lý Thế Dân hỏi, hắn nhưng là tỏ ra có chút do dự.

	Lấy tình huống trước mắt tới xem, Lý Thế Dân muốn tranh đoạt ngôi vị hoàng đế cơ hội cơ hồ là số không, hắn có cần phải vì Lý Thế Dân đắc tội thái tử điện hạ sao?

	Lý Thế Dân gặp truyền chỉ thái giám có chút do dự, chân mày nhất thời liền ngưng đứng lên, ngay sau đó một cái tát liền quất tới: "Bổn vương muốn ngươi sống, ngươi liền sinh, bổn vương muốn ngươi chết, ngươi liền chết."

	Một tên thái giám, lại vậy học chọn đội, thật là thiếu dạy bảo.

	Lý Thế Dân một tát này cũng làm vậy truyền chỉ thái giám dọa cho bối rối, vội vàng quỳ xuống kêu: "Vương gia tha mạng, Thánh thượng nơi đó, thái tử điện hạ và Thôi Đồng Thôi đại nhân ở."

	Nghe được bọn họ hai người ở hoàng cung, Lý Thế Dân nhất thời phát hiện không tốt, cái này hai người cũng cùng Tần Thiên không hợp nhau à, bọn họ hai người ở đây, hiển nhiên là muốn tìm Tần Thiên phiền toái.

	Lý Thế Dân thần sắc ngưng trọng, Tần Thiên nhưng là cười nhạt: "Vương gia yên tâm, hạ quan đang muốn vào cung một chuyến đây."

	Lý Thế Dân cười khổ: "Ngươi tự mình trở lại, vào cung cũng không phải là đùa giỡn."

	"Hạ quan làm sao có thể coi như là tự mình trở lại, hạ quan là vì thánh thượng chữa bệnh, "

	"Ngươi?" Lý Thế Dân lắc đầu một cái, Tần Thiên nhưng là thần sắc bình tĩnh: "Vương gia đừng không tin, hạ quan cũng không dám cầm mình tánh mạng làm trò đùa, đi thôi!"

	Lý Thế Dân thấy vậy, cũng chỉ có thể nhắm mắt vào cung.

	----------------

	Trường An bầu trời mây đen dày đặt, gió lớn không dứt.

	Tần Thiên và Lý Thế Dân hai người vừa mới tới trước hoàng cung, một tiếng sét vang lên, ngay sau đó toàn bộ Trường An liền đi xuống mưa to tới.

	Mưa to đảo qua trước khi úc nóng, để cho người ta tâm tình sau đó một sướng, Tần Thiên nhìn trận mưa lớn này, lộ ra một tia cười yếu ớt: "Vương gia, điềm tốt à."

	Lý Thế Dân bĩu môi: "Thật là điềm tốt mới được."

	Hai người vừa nói nhanh chóng vào hoàng cung.

	Lý Uyên tẩm cung, Lý Kiến Thành và Thôi Đồng hai người đều ở đây, bọn họ thấy Tần Thiên lúc này trong ánh mắt đều lộ ra một tia cười trên sự đau khổ của người khác.

	"Thần Tần Thiên bái kiến Thánh thượng."

	Lý Uyên nhắm hai mắt, hỏi: "Tần Thiên, không có triều đình chiếu lệnh, ngươi tự tiện rời đi mình nơi đất quản hạt, đưa huyện Long Khẩu người dân với không để ý, ngươi có thể biết tội?"

	Lý Kiến Thành nhìn Tần Thiên hừ một tiếng, Thôi Đồng bĩu môi, Tần Thiên bên này nhưng là không hoảng hốt không vội vàng đáp: "Thánh thượng, thần nhận được triều đình chiếu lệnh, cho nên mới trở lại kinh thành."

	Lý Uyên khẽ cau mày, cái này làm cho mặt hắn da có chút đau, ngay sau đó liền lại vội vàng khôi phục lại không biểu cảm trạng thái.

	"À, ngươi nhận được chiếu lệnh, trẫm làm sao không biết?"

	Tần Thiên nói: "Triều đình hạ lệnh treo giải thưởng là bệ hạ người chữa trị, thần chính là cái này người chữa trị, Thánh thượng bệnh, thần có thể trị."

	Tần Thiên như thế vừa nói, Lý Uyên thần sắc ngược lại thì buông lỏng một chút, tựa như mình suy đoán đúng rồi vậy.

	Nơi này Lý Kiến Thành nhưng là lạnh lùng nói: "Buồn cười, ngươi Tần Thiên lại cũng không phải là đại phu, làm sao là ta phụ hoàng chữa bệnh?"

	Thôi Đồng liền vội vàng đi theo phụ họa: "Đúng vậy !"

	Lý Thế Dân ngưng mi, muốn cãi lại, lúc này, Tần Thiên nhưng là tiếp tục nói: "Chữa bệnh cũng không phải là nhất định phải là đại phu mà, chúng ta Đại Đường rất nhiều người dân thật ra thì mình thì sẽ chữa trị một ít bệnh, thật ra thì mỗi một người cũng coi là là đại phu, Thánh thượng bệnh ta vừa vặn có thể trị, cái này có vấn đề gì không?"

	Nói tới chỗ này, Tần Thiên giọng đột nhiên lạnh lẽo, nói: "Ngược lại thì hai vị, Thánh thượng đã bệnh thành bộ dáng này, coi như là một người bình thường nói có thể trị bệnh, các người cũng hẳn suy nghĩ để cho Thánh thượng thử một chút đi, đây mới là đối với Thánh thượng quan tâm à, có thể các người đâu, các người nhưng có vì thánh thượng cân nhắc?"

	Tần Thiên nếu chấn điếc phát hội, hơn nữa nghe rất có đạo lý, nếu như một người rất đặc biệt quan hệ một người khác lời an ủi, như vậy coi như là ngựa chết thành ngựa sống, bọn họ vậy thì nguyện ý.

	Có thể bọn họ làm cái gì, bọn họ căn bản cũng không có nghĩ tới Lý Uyên bệnh tình, bọn họ nghĩ, chẳng qua là như thế nào giết chết hắn Tần Thiên mà thôi.

	Lý Uyên thần sắc hơi đông lại một cái, hiển nhiên đối với Lý Kiến Thành và Thôi Đồng hai người được là có chút chán ghét, Lý Kiến Thành bên này, trong lòng khẽ hơi trầm xuống một cái, ngược lại thì Thôi Đồng, liền vội vàng nói: "Thánh thượng không giống người thường, há có thể tùy tiện để cho ngươi chữa trị, để cho một cái lang băm cho Thánh thượng xem bệnh, mới là bọn ta không chịu trách nhiệm, ngươi có thể trị bệnh sao?"Chương 144: Bị vạch tội 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Tần Thiên trở lại Trường An thời điểm đã là cuối hè thời tiết.

	Cuối hè Trường An còn có chút nóng ran, Tần Thiên trở về ngày đó, thành Trường An bầu trời chặt chẽ mây không mưa, gió lớn không ngừng.

	Đông cung thái tử biết được Tần Thiên trở lại thành Trường An tin tức sau đó, liền lập tức hướng hoàng cung chạy tới.

	Hắn đi tới hoàng cung lúc này vừa vặn gặp phải cũng phải vào cung Thôi Đồng.

	Lý Kiến Thành thấy Thôi Đồng sau đó, nhất thời rõ ràng liền ý đồ của hắn.

	Bất quá Lý Kiến Thành nhưng cũng cũng không cùng Thôi Đồng nhiều lời, tùy tiện lên tiếng chào sau đó, hai người liền lần lượt vào cung.

	Lý Uyên thân thể càng ngày càng kém, hắn buồn ngủ, nhưng mà mình nhưng thật giống như bất cứ thời khắc nào không thuộc về một loại hưng phấn trạng thái, coi như thật mệt mỏi cực kỳ ngủ rồi, cũng là rất nhanh liền tỉnh lại.

	Hơn nữa, hắn thường xuyên gặp ác mộng, cái này ngủ chất lượng cũng chỉ không thể nói tốt lắm.

	Lý Kiến Thành và Thôi Đồng hai người sau khi đi vào, Lý Uyên đang nhắm hai mắt dưỡng thần, hắn không ngủ được, cũng chỉ có thể thông qua nhắm mắt dưỡng thần tới không để cho mình còn như như vậy mệt mỏi.

	"Phụ hoàng, nhi thần có chuyện muốn tấu."

	Lúc này Lý Uyên căn bản không ý nghe cái này cái đó, Lý Kiến Thành vừa mới dứt lời, Lý Uyên chân mày liền ngưng đứng lên: "Ngày khác lại tấu."

	Lý Uyên thanh âm rất lạnh, hơn nữa còn mang một ít không nhịn được, Lý Kiến Thành tự nhiên biết là nguyên nhân gì, nhưng cũng không vì vậy thì có nơi buông tha, mà là trực tiếp nói: "Phụ hoàng, Tần Thiên hồi kinh."

	Nghe nói như vậy, Lý Uyên đột nhiên mở mắt, mà ở hắn trong ánh mắt, thấy cũng không phải là tức giận, ngược lại nhưng là hưng phấn, một loại thấy được hy vọng hưng phấn.

	Nhưng mà, liền chính hắn cũng không biết mình tại sao sẽ hưng phấn, là đối với Tần Thiên tín nhiệm sao?

	Có thể thư này đảm nhiệm từ đâu tới?

	Lý Kiến Thành cũng không có chú ý tới điểm này, hắn chỉ là tiếp tục nói: "Phụ hoàng, cái này Tần Thiên chưa từng phụng mệnh, liền tự mình rời đi mình quản hạt địa phương, hắn đây là kháng chỉ, chỉ sợ hắn rắp tâm không tốt à."

	Lý Kiến Thành như thế nói xong, bên cạnh Thôi Đồng liền vội vàng đi theo phụ họa: "Đúng vậy, không tuân lệnh liền vào kinh, không chừng hắn có âm mưu gì đâu, mong rằng Thánh thượng đặt phải nghiêm trị Tần Thiên à."

	Thái tử Lý Kiến Thành và Thôi Đồng hai người ngươi một câu ta một câu vừa nói, Lý Uyên chẳng qua là yên lặng không nói, cho đến bọn họ hai người sau khi nói xong, Lý Uyên mới rốt cục hỏi: "Tần Thiên hiện ở nơi nào?"

	Lý Kiến Thành nói: "Hồi phụ hoàng nói, ở Tần vương phủ."

	"Truyền Tần Thiên vào cung!"

	"Tần vương đâu ?"

	"Vậy truyền!"

	Lý Uyên ra lệnh rất nhanh truyền đi xuống, Tần vương Lý Thế Dân và Tần Thiên bọn họ ở Tần vương phủ nhận được mệnh lệnh này lúc này cũng hơi chấn động một chút.

	Theo lý thuyết, Tần Thiên mới vừa trở lại kinh thành, còn chưa kịp đi những địa phương khác đâu, làm sao hắn phụ hoàng cũng biết Tần Thiên trở về?

	Lý Thế Dân thần sắc khẽ động, nhìn một cái truyền chỉ thái giám, hỏi: "Phụ hoàng nơi đó, có thể còn có người nào?"

	Truyền chỉ thái giám đại khái tới tuổi hai mươi, dáng dấp mi thanh mục tú, ngay cả có chút âm nhu, lúc này bị Lý Thế Dân hỏi, hắn nhưng là tỏ ra có chút do dự.

	Lấy tình huống trước mắt tới xem, Lý Thế Dân muốn tranh đoạt ngôi vị hoàng đế cơ hội cơ hồ là số không, hắn có cần phải vì Lý Thế Dân đắc tội thái tử điện hạ sao?

	Lý Thế Dân gặp truyền chỉ thái giám có chút do dự, chân mày nhất thời liền ngưng đứng lên, ngay sau đó một cái tát liền quất tới: "Bổn vương muốn ngươi sống, ngươi liền sinh, bổn vương muốn ngươi chết, ngươi liền chết."

	Một tên thái giám, lại vậy học chọn đội, thật là thiếu dạy bảo.

	Lý Thế Dân một tát này cũng làm vậy truyền chỉ thái giám dọa cho bối rối, vội vàng quỳ xuống kêu: "Vương gia tha mạng, Thánh thượng nơi đó, thái tử điện hạ và Thôi Đồng Thôi đại nhân ở."

	Nghe được bọn họ hai người ở hoàng cung, Lý Thế Dân nhất thời phát hiện không tốt, cái này hai người cũng cùng Tần Thiên không hợp nhau à, bọn họ hai người ở đây, hiển nhiên là muốn tìm Tần Thiên phiền toái.

	Lý Thế Dân thần sắc ngưng trọng, Tần Thiên nhưng là cười nhạt: "Vương gia yên tâm, hạ quan đang muốn vào cung một chuyến đây."

	Lý Thế Dân cười khổ: "Ngươi tự mình trở lại, vào cung cũng không phải là đùa giỡn."

	"Hạ quan làm sao có thể coi như là tự mình trở lại, hạ quan là vì thánh thượng chữa bệnh, "

	"Ngươi?" Lý Thế Dân lắc đầu một cái, Tần Thiên nhưng là thần sắc bình tĩnh: "Vương gia đừng không tin, hạ quan cũng không dám cầm mình tánh mạng làm trò đùa, đi thôi!"

	Lý Thế Dân thấy vậy, cũng chỉ có thể nhắm mắt vào cung.

	----------------

	Trường An bầu trời mây đen dày đặt, gió lớn không dứt.

	Tần Thiên và Lý Thế Dân hai người vừa mới tới trước hoàng cung, một tiếng sét vang lên, ngay sau đó toàn bộ Trường An liền đi xuống mưa to tới.

	Mưa to đảo qua trước khi úc nóng, để cho người ta tâm tình sau đó một sướng, Tần Thiên nhìn trận mưa lớn này, lộ ra một tia cười yếu ớt: "Vương gia, điềm tốt à."

	Lý Thế Dân bĩu môi: "Thật là điềm tốt mới được."

	Hai người vừa nói nhanh chóng vào hoàng cung.

	Lý Uyên tẩm cung, Lý Kiến Thành và Thôi Đồng hai người đều ở đây, bọn họ thấy Tần Thiên lúc này trong ánh mắt đều lộ ra một tia cười trên sự đau khổ của người khác.

	"Thần Tần Thiên bái kiến Thánh thượng."

	Lý Uyên nhắm hai mắt, hỏi: "Tần Thiên, không có triều đình chiếu lệnh, ngươi tự tiện rời đi mình nơi đất quản hạt, đưa huyện Long Khẩu người dân với không để ý, ngươi có thể biết tội?"

	Lý Kiến Thành nhìn Tần Thiên hừ một tiếng, Thôi Đồng bĩu môi, Tần Thiên bên này nhưng là không hoảng hốt không vội vàng đáp: "Thánh thượng, thần nhận được triều đình chiếu lệnh, cho nên mới trở lại kinh thành."

	Lý Uyên khẽ cau mày, cái này làm cho mặt hắn da có chút đau, ngay sau đó liền lại vội vàng khôi phục lại không biểu cảm trạng thái.

	"À, ngươi nhận được chiếu lệnh, trẫm làm sao không biết?"

	Tần Thiên nói: "Triều đình hạ lệnh treo giải thưởng là bệ hạ người chữa trị, thần chính là cái này người chữa trị, Thánh thượng bệnh, thần có thể trị."

	Tần Thiên như thế vừa nói, Lý Uyên thần sắc ngược lại thì buông lỏng một chút, tựa như mình suy đoán đúng rồi vậy.

	Nơi này Lý Kiến Thành nhưng là lạnh lùng nói: "Buồn cười, ngươi Tần Thiên lại cũng không phải là đại phu, làm sao là ta phụ hoàng chữa bệnh?"

	Thôi Đồng liền vội vàng đi theo phụ họa: "Đúng vậy !"

	Lý Thế Dân ngưng mi, muốn cãi lại, lúc này, Tần Thiên nhưng là tiếp tục nói: "Chữa bệnh cũng không phải là nhất định phải là đại phu mà, chúng ta Đại Đường rất nhiều người dân thật ra thì mình thì sẽ chữa trị một ít bệnh, thật ra thì mỗi một người cũng coi là là đại phu, Thánh thượng bệnh ta vừa vặn có thể trị, cái này có vấn đề gì không?"

	Nói tới chỗ này, Tần Thiên giọng đột nhiên lạnh lẽo, nói: "Ngược lại thì hai vị, Thánh thượng đã bệnh thành bộ dáng này, coi như là một người bình thường nói có thể trị bệnh, các người cũng hẳn suy nghĩ để cho Thánh thượng thử một chút đi, đây mới là đối với Thánh thượng quan tâm à, có thể các người đâu, các người nhưng có vì thánh thượng cân nhắc?"

	Tần Thiên nếu chấn điếc phát hội, hơn nữa nghe rất có đạo lý, nếu như một người rất đặc biệt quan hệ một người khác lời an ủi, như vậy coi như là ngựa chết thành ngựa sống, bọn họ vậy thì nguyện ý.

	Có thể bọn họ làm cái gì, bọn họ căn bản cũng không có nghĩ tới Lý Uyên bệnh tình, bọn họ nghĩ, chẳng qua là như thế nào giết chết hắn Tần Thiên mà thôi.

	Lý Uyên thần sắc hơi đông lại một cái, hiển nhiên đối với Lý Kiến Thành và Thôi Đồng hai người được là có chút chán ghét, Lý Kiến Thành bên này, trong lòng khẽ hơi trầm xuống một cái, ngược lại thì Thôi Đồng, liền vội vàng nói: "Thánh thượng không giống người thường, há có thể tùy tiện để cho ngươi chữa trị, để cho một cái lang băm cho Thánh thượng xem bệnh, mới là bọn ta không chịu trách nhiệm, ngươi có thể trị bệnh sao?"Chương 144: Bị vạch tội 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Tần Thiên trở lại Trường An thời điểm đã là cuối hè thời tiết.

	Cuối hè Trường An còn có chút nóng ran, Tần Thiên trở về ngày đó, thành Trường An bầu trời chặt chẽ mây không mưa, gió lớn không ngừng.

	Đông cung thái tử biết được Tần Thiên trở lại thành Trường An tin tức sau đó, liền lập tức hướng hoàng cung chạy tới.

	Hắn đi tới hoàng cung lúc này vừa vặn gặp phải cũng phải vào cung Thôi Đồng.

	Lý Kiến Thành thấy Thôi Đồng sau đó, nhất thời rõ ràng liền ý đồ của hắn.

	Bất quá Lý Kiến Thành nhưng cũng cũng không cùng Thôi Đồng nhiều lời, tùy tiện lên tiếng chào sau đó, hai người liền lần lượt vào cung.

	Lý Uyên thân thể càng ngày càng kém, hắn buồn ngủ, nhưng mà mình nhưng thật giống như bất cứ thời khắc nào không thuộc về một loại hưng phấn trạng thái, coi như thật mệt mỏi cực kỳ ngủ rồi, cũng là rất nhanh liền tỉnh lại.

	Hơn nữa, hắn thường xuyên gặp ác mộng, cái này ngủ chất lượng cũng chỉ không thể nói tốt lắm.

	Lý Kiến Thành và Thôi Đồng hai người sau khi đi vào, Lý Uyên đang nhắm hai mắt dưỡng thần, hắn không ngủ được, cũng chỉ có thể thông qua nhắm mắt dưỡng thần tới không để cho mình còn như như vậy mệt mỏi.

	"Phụ hoàng, nhi thần có chuyện muốn tấu."

	Lúc này Lý Uyên căn bản không ý nghe cái này cái đó, Lý Kiến Thành vừa mới dứt lời, Lý Uyên chân mày liền ngưng đứng lên: "Ngày khác lại tấu."

	Lý Uyên thanh âm rất lạnh, hơn nữa còn mang một ít không nhịn được, Lý Kiến Thành tự nhiên biết là nguyên nhân gì, nhưng cũng không vì vậy thì có nơi buông tha, mà là trực tiếp nói: "Phụ hoàng, Tần Thiên hồi kinh."

	Nghe nói như vậy, Lý Uyên đột nhiên mở mắt, mà ở hắn trong ánh mắt, thấy cũng không phải là tức giận, ngược lại nhưng là hưng phấn, một loại thấy được hy vọng hưng phấn.

	Nhưng mà, liền chính hắn cũng không biết mình tại sao sẽ hưng phấn, là đối với Tần Thiên tín nhiệm sao?

	Có thể thư này đảm nhiệm từ đâu tới?

	Lý Kiến Thành cũng không có chú ý tới điểm này, hắn chỉ là tiếp tục nói: "Phụ hoàng, cái này Tần Thiên chưa từng phụng mệnh, liền tự mình rời đi mình quản hạt địa phương, hắn đây là kháng chỉ, chỉ sợ hắn rắp tâm không tốt à."

	Lý Kiến Thành như thế nói xong, bên cạnh Thôi Đồng liền vội vàng đi theo phụ họa: "Đúng vậy, không tuân lệnh liền vào kinh, không chừng hắn có âm mưu gì đâu, mong rằng Thánh thượng đặt phải nghiêm trị Tần Thiên à."

	Thái tử Lý Kiến Thành và Thôi Đồng hai người ngươi một câu ta một câu vừa nói, Lý Uyên chẳng qua là yên lặng không nói, cho đến bọn họ hai người sau khi nói xong, Lý Uyên mới rốt cục hỏi: "Tần Thiên hiện ở nơi nào?"

	Lý Kiến Thành nói: "Hồi phụ hoàng nói, ở Tần vương phủ."

	"Truyền Tần Thiên vào cung!"

	"Tần vương đâu ?"

	"Vậy truyền!"

	Lý Uyên ra lệnh rất nhanh truyền đi xuống, Tần vương Lý Thế Dân và Tần Thiên bọn họ ở Tần vương phủ nhận được mệnh lệnh này lúc này cũng hơi chấn động một chút.

	Theo lý thuyết, Tần Thiên mới vừa trở lại kinh thành, còn chưa kịp đi những địa phương khác đâu, làm sao hắn phụ hoàng cũng biết Tần Thiên trở về?

	Lý Thế Dân thần sắc khẽ động, nhìn một cái truyền chỉ thái giám, hỏi: "Phụ hoàng nơi đó, có thể còn có người nào?"

	Truyền chỉ thái giám đại khái tới tuổi hai mươi, dáng dấp mi thanh mục tú, ngay cả có chút âm nhu, lúc này bị Lý Thế Dân hỏi, hắn nhưng là tỏ ra có chút do dự.

	Lấy tình huống trước mắt tới xem, Lý Thế Dân muốn tranh đoạt ngôi vị hoàng đế cơ hội cơ hồ là số không, hắn có cần phải vì Lý Thế Dân đắc tội thái tử điện hạ sao?

	Lý Thế Dân gặp truyền chỉ thái giám có chút do dự, chân mày nhất thời liền ngưng đứng lên, ngay sau đó một cái tát liền quất tới: "Bổn vương muốn ngươi sống, ngươi liền sinh, bổn vương muốn ngươi chết, ngươi liền chết."

	Một tên thái giám, lại vậy học chọn đội, thật là thiếu dạy bảo.

	Lý Thế Dân một tát này cũng làm vậy truyền chỉ thái giám dọa cho bối rối, vội vàng quỳ xuống kêu: "Vương gia tha mạng, Thánh thượng nơi đó, thái tử điện hạ và Thôi Đồng Thôi đại nhân ở."

	Nghe được bọn họ hai người ở hoàng cung, Lý Thế Dân nhất thời phát hiện không tốt, cái này hai người cũng cùng Tần Thiên không hợp nhau à, bọn họ hai người ở đây, hiển nhiên là muốn tìm Tần Thiên phiền toái.

	Lý Thế Dân thần sắc ngưng trọng, Tần Thiên nhưng là cười nhạt: "Vương gia yên tâm, hạ quan đang muốn vào cung một chuyến đây."

	Lý Thế Dân cười khổ: "Ngươi tự mình trở lại, vào cung cũng không phải là đùa giỡn."

	"Hạ quan làm sao có thể coi như là tự mình trở lại, hạ quan là vì thánh thượng chữa bệnh, "

	"Ngươi?" Lý Thế Dân lắc đầu một cái, Tần Thiên nhưng là thần sắc bình tĩnh: "Vương gia đừng không tin, hạ quan cũng không dám cầm mình tánh mạng làm trò đùa, đi thôi!"

	Lý Thế Dân thấy vậy, cũng chỉ có thể nhắm mắt vào cung.

	----------------

	Trường An bầu trời mây đen dày đặt, gió lớn không dứt.

	Tần Thiên và Lý Thế Dân hai người vừa mới tới trước hoàng cung, một tiếng sét vang lên, ngay sau đó toàn bộ Trường An liền đi xuống mưa to tới.

	Mưa to đảo qua trước khi úc nóng, để cho người ta tâm tình sau đó một sướng, Tần Thiên nhìn trận mưa lớn này, lộ ra một tia cười yếu ớt: "Vương gia, điềm tốt à."

	Lý Thế Dân bĩu môi: "Thật là điềm tốt mới được."

	Hai người vừa nói nhanh chóng vào hoàng cung.

	Lý Uyên tẩm cung, Lý Kiến Thành và Thôi Đồng hai người đều ở đây, bọn họ thấy Tần Thiên lúc này trong ánh mắt đều lộ ra một tia cười trên sự đau khổ của người khác.

	"Thần Tần Thiên bái kiến Thánh thượng."

	Lý Uyên nhắm hai mắt, hỏi: "Tần Thiên, không có triều đình chiếu lệnh, ngươi tự tiện rời đi mình nơi đất quản hạt, đưa huyện Long Khẩu người dân với không để ý, ngươi có thể biết tội?"

	Lý Kiến Thành nhìn Tần Thiên hừ một tiếng, Thôi Đồng bĩu môi, Tần Thiên bên này nhưng là không hoảng hốt không vội vàng đáp: "Thánh thượng, thần nhận được triều đình chiếu lệnh, cho nên mới trở lại kinh thành."

	Lý Uyên khẽ cau mày, cái này làm cho mặt hắn da có chút đau, ngay sau đó liền lại vội vàng khôi phục lại không biểu cảm trạng thái.

	"À, ngươi nhận được chiếu lệnh, trẫm làm sao không biết?"

	Tần Thiên nói: "Triều đình hạ lệnh treo giải thưởng là bệ hạ người chữa trị, thần chính là cái này người chữa trị, Thánh thượng bệnh, thần có thể trị."

	Tần Thiên như thế vừa nói, Lý Uyên thần sắc ngược lại thì buông lỏng một chút, tựa như mình suy đoán đúng rồi vậy.

	Nơi này Lý Kiến Thành nhưng là lạnh lùng nói: "Buồn cười, ngươi Tần Thiên lại cũng không phải là đại phu, làm sao là ta phụ hoàng chữa bệnh?"

	Thôi Đồng liền vội vàng đi theo phụ họa: "Đúng vậy !"

	Lý Thế Dân ngưng mi, muốn cãi lại, lúc này, Tần Thiên nhưng là tiếp tục nói: "Chữa bệnh cũng không phải là nhất định phải là đại phu mà, chúng ta Đại Đường rất nhiều người dân thật ra thì mình thì sẽ chữa trị một ít bệnh, thật ra thì mỗi một người cũng coi là là đại phu, Thánh thượng bệnh ta vừa vặn có thể trị, cái này có vấn đề gì không?"

	Nói tới chỗ này, Tần Thiên giọng đột nhiên lạnh lẽo, nói: "Ngược lại thì hai vị, Thánh thượng đã bệnh thành bộ dáng này, coi như là một người bình thường nói có thể trị bệnh, các người cũng hẳn suy nghĩ để cho Thánh thượng thử một chút đi, đây mới là đối với Thánh thượng quan tâm à, có thể các người đâu, các người nhưng có vì thánh thượng cân nhắc?"

	Tần Thiên nếu chấn điếc phát hội, hơn nữa nghe rất có đạo lý, nếu như một người rất đặc biệt quan hệ một người khác lời an ủi, như vậy coi như là ngựa chết thành ngựa sống, bọn họ vậy thì nguyện ý.

	Có thể bọn họ làm cái gì, bọn họ căn bản cũng không có nghĩ tới Lý Uyên bệnh tình, bọn họ nghĩ, chẳng qua là như thế nào giết chết hắn Tần Thiên mà thôi.

