Chương 154: Độc phụ người 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Chim sẻ thấy Trịnh Diễm giết Lưu lang sau đó, đột nhiên lo lắng nàng sẽ giết Lô Hoa Nương.
	Nhiều năm như vậy, vẫn luôn là Lưu lang ở trấn an nàng cô quạnh, mặc dù Lưu lang chẳng qua là nàng tiết muốn công cụ, nhưng người phi cỏ cây, nhiều năm như vậy, nàng đối với Lưu lang lại làm sao có thể không có một chút cảm tình?

	"Lưu lang, rốt cuộc là ai hại ngươi?" Trịnh Diễm ngồi ở gian phòng của mình, một đôi mắt đỏ bừng, mang một cổ vô hình sát ý.

	Nàng ngưng chân mày, rất nhanh nghĩ đến, toàn bộ chùa Thiện Nguyện, Lưu lang vẫn luôn là lấy ni cô thân phận xuất hiện ở hắn trước mặt người khác, biết hắn là chàng trai, chỉ có Lô Hoa Nương một người.

	Như vậy có thể hại Lưu lang, cũng chỉ có Lô Hoa Nương.

	Nhưng tối ngày hôm qua hồi trước khi tới, nàng một mực cùng Lô Hoa Nương chung một chỗ, cho nên hại Lưu lang không thể nào là Lô Hoa Nương đây, vậy cũng chỉ có thể là Lô Hoa Nương tình nhân.

	Trịnh Diễm xuất thân thế gia, không hề đần, rất nhanh nàng liền nghĩ tới, nhất định là Lô Hoa Nương đem Lưu lang sự việc cùng mình tương dễ nói hạ, mà nàng tương thật lo lắng cho Lô Hoa Nương bị Lưu lang cho hại, cho nên liền tiên hạ thủ vi cường, trừ đi Lưu lang.

	Suy nghĩ ra một điểm này sau đó, Trịnh Diễm nắm thật chặt quả đấm: "Tốt ngươi cái Lô Hoa Nương, lại tiên hạ thủ vi cường, liền lão nương đều bị ngươi cho ám toán, đã như vậy, vậy cũng đừng trách ta không khách khí, ta muốn là ta Lưu lang trả thù, ngươi với ngươi nhân tình, cũng chết không được tử tế."

	Nghĩ như vậy, Trịnh Diễm lập tức thông qua một ít thủ đoạn, đem một ít tin tức cho tung ra trừ đi.

	Làm một ở chùa Thiện Nguyện đợi rất nhiều năm người, hắn có thể đem Lưu lang cho núp ở bên trong, tự nhiên vậy có biện pháp đem một ít tin tức cho tung ra ngoài.

	Những tin tức này tung ra ngoài sau đó, rất nhanh liền truyền đến Lô gia.

	Thậm chí có thể nói, những tin tức này dọc đường cũng không thế nào lan truyền, liền trực tiếp truyền đến gia chủ Lô gia Lô Triển Đình trong lỗ tai.

	Lô Triển Đình là Lô Hoa Nương bác trai, hắn khi nhận được những tin tức này sau đó, thần sắc đột nhiên biến đổi, ngay sau đó liền phái người đem Lô Hoa Nương cha Lô Hành cho kêu tới.

	Lô Hành hơn bốn mươi tuổi, nhìn như hơi có chút nho nhã, hơn nữa luôn là một bộ gợn sóng dáng vẻ không sợ hãi, tựa như trên đời này, liền không có chuyện gì có thể để cho hắn cuống cuồng.

	Lô Hành thấy Lô Triển Đình sau đó, nói: "Đại ca, có chuyện gì không?"

	Lô Triển Đình hừ một tiếng: "Ngươi sanh con gái ngoan con a."

	Lô Hành thần sắc hơi động, hắn cưới có một vợ một thiếp, vợ sinh một đứa con gái, thiếp sinh một đứa con trai, chỉ bất quá con gái hắn hôm nay đang chùa Thiện Nguyện chịu khổ, làm sao Lô Triển Đình nhắc tới nói?

	"Đại ca có ý gì, thứ cho ta không hiểu."

	Lô Triển Đình nói: "Ta đạt được một cái tin, nói Lô Hoa Nương ở chùa Thiện Nguyện không an phận, cùng người đàn ông tư thông, ngươi nói một chút, ban đầu nàng còn trẻ dốt nát, cùng người bỏ trốn, chúng ta sau đó nghĩ hết biện pháp mới rốt cục giải quyết chuyện này, vốn lấy là nàng có thể an phận một chút, sau đó tìm một người tốt gả cho, có thể ai có thể nghĩ lại cùng vậy Tần Thiên gây ra tư tình một chuyện tới, bây giờ lại đang chùa Thiện Nguyện cùng người đàn ông tư thông, đây nếu là truyền đi nữa, ta Lô gia mặt mũi ở chỗ nào à?"

	Nghe được con gái mình cùng người đàn ông tư thông, Lô Hành thần sắc khẽ động, nhưng sau đó liền lại tỉnh táo lại: "Đại ca từ chỗ nào được tin tức, là thật hay không, có thể chớ là người khác vu hãm tiểu nữ."

	Lô Hành chỉ có một cô con gái như vậy, hơn nữa còn là vợ hắn chánh thất sanh, hắn đối với Lô Hoa Nương sủng ái rất, hôm nay có người nói như vậy con gái hắn, hắn tự nhiên là có chút mất hứng.

	"Tin tức từ chỗ nào được ngươi không cần phải để ý đến, ta đã phái người đi điều tra, rất nhanh là có thể tra ra cái nguyên do, như sự việc thật là thật, ta lần này tuyệt không tha thứ."

	Nói tới chỗ này, Lô Triển Đình lại là khẽ than một tiếng: "Đại ca vậy không hy vọng cháu gái có cái gì, nhưng vì Lô gia mặt mũi, nên lòng dạ ác độc lúc này vẫn là phải lòng dạ ác độc, đến lúc đó ngươi chớ nhúng tay."

	Làm là gia chủ Lô gia, hắn thì có trách nhiệm bảo vệ Lô gia danh dự, Lô Hành đối với này cũng không có nói gì, chỉ khẽ chắp tay một cái sau đó, liền lui ra ngoài.

	Chùa Thiện Nguyện tạm thời an ổn, Tần Thiên bên này như cũ đang không ngừng sao trà.

	Thành Trường An bên này, thì đột nhiên hưng khởi uống trà mới làn gió.

	Lý Thế Dân làm một tên Vương gia, mỗi ngày khoản đãi quý khách không thiếu, dùng trà mới khoản đãi, những người đó tự nhiên rất nhanh sẽ phát hiện trà mới tốt.

	Khách sạn mỗi ngày lui tới, quý khách cũng là không thiếu, ông chủ khách sạn bán bọn họ trà mới, bọn họ tự nhiên cũng có thể rất nhanh hiểu được trà mới tình huống.

	Trường An người thích uống trà, đặc biệt là người có tiền.

	Là lấy hai ngày sau, trà mới liền trở thành thành Trường An người dân trong miệng thường xuyên nói tới một cái từ.

	Thiên hạ này liền lâm triều, Trình Giảo Kim đối với mấy cái đồng liêu cười nói: "Thời tiết càng ngày càng lạnh, đi trong phủ uống mấy ly Túy mỹ nhân như thế nào?"

	Từ Tần Thúc Bảo các người rời đi thành Trường An sau đó, Trình Giảo Kim ở Trường An liền lộ vẻ được nhàm chán rất nhiều, không có ai cùng hắn chơi, cũng không có ai cùng hắn uống rượu.

	Ngày hôm nay chẳng qua là đột nhiên có linh cảm, muốn mời mấy cái đồng liêu và uống.

	Bất quá hắn vậy mấy cái đồng liêu sau khi nghe, nhưng là khoát tay lia lịa lắc đầu.

	"Túy mỹ nhân mặc dù không tệ, nhưng ta bây giờ đã không uống, chúng ta chuẩn bị đi trà lâu uống trà mới."

	"Đúng vậy, trà mới mùi vị muốn càng là thuần khiết một ít, mùi trà vậy tương đối đậm đà, uống rất tốt, hơn nữa ngắn ngủi thời gian 2 ngày, trà lâu bên kia đã phát minh một cái uống trà công cụ, do người đẹp pha trà, châm trà, thậm chí là lấy miệng nhai trà, thật là thú vị vô cùng, chúng ta mới không đi uống rượu, chúng ta uống trà đi. . ."

	Một đám đồng liêu hưng phấn vừa nói, Trình Giảo Kim hơi cau mày, những người này trong ngày thường đều rất là rượu ngon, làm sao bỗng nhiên cũng đổi uống trà?

	Còn cái gì trà mới, mình tại sao chưa có nghe nói qua?

	"Mấy vị, cái này trà mới là trà gì?"

	Mọi người một mặt kinh ngạc nhìn Trình Giảo Kim, tựa như không dám tin tưởng Trình Giảo Kim lại liền trà mới là cái gì cũng không biết.Chương 154: Độc phụ người 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Chim sẻ thấy Trịnh Diễm giết Lưu lang sau đó, đột nhiên lo lắng nàng sẽ giết Lô Hoa Nương.

	Hắn phụng mệnh tới bảo vệ Lô Hoa Nương, như Lô Hoa Nương có gì ngoài ý muốn, hắn coi như không mặt mũi đi gặp Tần Thiên.

	Một khắc kia, chim sẻ đột nhiên sinh ra một cổ sát tâm tới, nếu như giết Trịnh Diễm, chuyện này không liền không cần lo lắng?

	Bất quá hắn rất nhanh lại bác bỏ cái ý nghĩ này.

	Như Trịnh Diễm bị giết, nhất định sẽ đưa tới Trịnh gia chú ý, khi đó Trịnh gia phái người điều tra, thiếu không được dính dấp đến Lô Hoa Nương trên mình.

	Cho nên cuối cùng chim sẻ chỉ có thể tiếp tục ẩn thân chùa Thiện Nguyện, âm thầm bảo vệ Lô Hoa Nương.

	Như Trịnh Diễm thật muốn giết Lô Hoa Nương, khi đó hắn động thủ nữa cũng không muộn.

	Bất quá để cho chim sẻ bất ngờ là, Lô Hoa Nương đem Lưu lang thi thể xử lý xong sau đó, cũng không có lại đi Lô Hoa Nương gian phòng, mà là trực tiếp ở gian phòng của mình ngủ rồi, tựa như chuyện gì cũng không có phát sinh qua.

	Sáng sớm ngày kế, Trịnh Diễm lại là không có cần tìm Lô Hoa Nương phiền toái.

	Cái này làm cho chim sẻ cảm thấy rất kỳ quái, bất quá Trịnh Diễm không đúng Lô Hoa Nương động thủ, điều này cũng làm cho hắn rốt cuộc thở phào nhẹ nhõm.

	Ban ngày bất tiện ẩn núp, hơn nữa hắn còn cần trở về đem tình huống cùng Tần Thiên nói một chút, cho nên chim sẻ liền rời đi chùa Thiện Nguyện.

	Mà đang ở chim sẻ rời đi chùa Thiện Nguyện lúc này Trịnh Diễm bên này, nhưng là đột nhiên sinh ra một chút hối hận tới.

	Nhiều năm như vậy, vẫn luôn là Lưu lang ở trấn an nàng cô quạnh, mặc dù Lưu lang chẳng qua là nàng tiết muốn công cụ, nhưng người phi cỏ cây, nhiều năm như vậy, nàng đối với Lưu lang lại làm sao có thể không có một chút cảm tình?

	"Lưu lang, rốt cuộc là ai hại ngươi?" Trịnh Diễm ngồi ở gian phòng của mình, một đôi mắt đỏ bừng, mang một cổ vô hình sát ý.

	Nàng ngưng chân mày, rất nhanh nghĩ đến, toàn bộ chùa Thiện Nguyện, Lưu lang vẫn luôn là lấy ni cô thân phận xuất hiện ở hắn trước mặt người khác, biết hắn là chàng trai, chỉ có Lô Hoa Nương một người.

	Như vậy có thể hại Lưu lang, cũng chỉ có Lô Hoa Nương.

	Nhưng tối ngày hôm qua hồi trước khi tới, nàng một mực cùng Lô Hoa Nương chung một chỗ, cho nên hại Lưu lang không thể nào là Lô Hoa Nương đây, vậy cũng chỉ có thể là Lô Hoa Nương tình nhân.

	Trịnh Diễm xuất thân thế gia, không hề đần, rất nhanh nàng liền nghĩ tới, nhất định là Lô Hoa Nương đem Lưu lang sự việc cùng mình tương dễ nói hạ, mà nàng tương thật lo lắng cho Lô Hoa Nương bị Lưu lang cho hại, cho nên liền tiên hạ thủ vi cường, trừ đi Lưu lang.

	Suy nghĩ ra một điểm này sau đó, Trịnh Diễm nắm thật chặt quả đấm: "Tốt ngươi cái Lô Hoa Nương, lại tiên hạ thủ vi cường, liền lão nương đều bị ngươi cho ám toán, đã như vậy, vậy cũng đừng trách ta không khách khí, ta muốn là ta Lưu lang trả thù, ngươi với ngươi nhân tình, cũng chết không được tử tế."

	Nghĩ như vậy, Trịnh Diễm lập tức thông qua một ít thủ đoạn, đem một ít tin tức cho tung ra trừ đi.

	Làm một ở chùa Thiện Nguyện đợi rất nhiều năm người, hắn có thể đem Lưu lang cho núp ở bên trong, tự nhiên vậy có biện pháp đem một ít tin tức cho tung ra ngoài.

	Những tin tức này tung ra ngoài sau đó, rất nhanh liền truyền đến Lô gia.

	Thậm chí có thể nói, những tin tức này dọc đường cũng không thế nào lan truyền, liền trực tiếp truyền đến gia chủ Lô gia Lô Triển Đình trong lỗ tai.

	Lô Triển Đình là Lô Hoa Nương bác trai, hắn khi nhận được những tin tức này sau đó, thần sắc đột nhiên biến đổi, ngay sau đó liền phái người đem Lô Hoa Nương cha Lô Hành cho kêu tới.

	Lô Hành hơn bốn mươi tuổi, nhìn như hơi có chút nho nhã, hơn nữa luôn là một bộ gợn sóng dáng vẻ không sợ hãi, tựa như trên đời này, liền không có chuyện gì có thể để cho hắn cuống cuồng.

	Lô Hành thấy Lô Triển Đình sau đó, nói: "Đại ca, có chuyện gì không?"

	Lô Triển Đình hừ một tiếng: "Ngươi sanh con gái ngoan con a."

	Lô Hành thần sắc hơi động, hắn cưới có một vợ một thiếp, vợ sinh một đứa con gái, thiếp sinh một đứa con trai, chỉ bất quá con gái hắn hôm nay đang chùa Thiện Nguyện chịu khổ, làm sao Lô Triển Đình nhắc tới nói?

	"Đại ca có ý gì, thứ cho ta không hiểu."

	Lô Triển Đình nói: "Ta đạt được một cái tin, nói Lô Hoa Nương ở chùa Thiện Nguyện không an phận, cùng người đàn ông tư thông, ngươi nói một chút, ban đầu nàng còn trẻ dốt nát, cùng người bỏ trốn, chúng ta sau đó nghĩ hết biện pháp mới rốt cục giải quyết chuyện này, vốn lấy là nàng có thể an phận một chút, sau đó tìm một người tốt gả cho, có thể ai có thể nghĩ lại cùng vậy Tần Thiên gây ra tư tình một chuyện tới, bây giờ lại đang chùa Thiện Nguyện cùng người đàn ông tư thông, đây nếu là truyền đi nữa, ta Lô gia mặt mũi ở chỗ nào à?"

	Nghe được con gái mình cùng người đàn ông tư thông, Lô Hành thần sắc khẽ động, nhưng sau đó liền lại tỉnh táo lại: "Đại ca từ chỗ nào được tin tức, là thật hay không, có thể chớ là người khác vu hãm tiểu nữ."

	Lô Hành chỉ có một cô con gái như vậy, hơn nữa còn là vợ hắn chánh thất sanh, hắn đối với Lô Hoa Nương sủng ái rất, hôm nay có người nói như vậy con gái hắn, hắn tự nhiên là có chút mất hứng.

	"Tin tức từ chỗ nào được ngươi không cần phải để ý đến, ta đã phái người đi điều tra, rất nhanh là có thể tra ra cái nguyên do, như sự việc thật là thật, ta lần này tuyệt không tha thứ."

	Nói tới chỗ này, Lô Triển Đình lại là khẽ than một tiếng: "Đại ca vậy không hy vọng cháu gái có cái gì, nhưng vì Lô gia mặt mũi, nên lòng dạ ác độc lúc này vẫn là phải lòng dạ ác độc, đến lúc đó ngươi chớ nhúng tay."

	Làm là gia chủ Lô gia, hắn thì có trách nhiệm bảo vệ Lô gia danh dự, Lô Hành đối với này cũng không có nói gì, chỉ khẽ chắp tay một cái sau đó, liền lui ra ngoài.

	Chùa Thiện Nguyện tạm thời an ổn, Tần Thiên bên này như cũ đang không ngừng sao trà.

	Thành Trường An bên này, thì đột nhiên hưng khởi uống trà mới làn gió.

	Lý Thế Dân làm một tên Vương gia, mỗi ngày khoản đãi quý khách không thiếu, dùng trà mới khoản đãi, những người đó tự nhiên rất nhanh sẽ phát hiện trà mới tốt.

	Khách sạn mỗi ngày lui tới, quý khách cũng là không thiếu, ông chủ khách sạn bán bọn họ trà mới, bọn họ tự nhiên cũng có thể rất nhanh hiểu được trà mới tình huống.

	Trường An người thích uống trà, đặc biệt là người có tiền.

	Là lấy hai ngày sau, trà mới liền trở thành thành Trường An người dân trong miệng thường xuyên nói tới một cái từ.

	Thiên hạ này liền lâm triều, Trình Giảo Kim đối với mấy cái đồng liêu cười nói: "Thời tiết càng ngày càng lạnh, đi trong phủ uống mấy ly Túy mỹ nhân như thế nào?"

	Từ Tần Thúc Bảo các người rời đi thành Trường An sau đó, Trình Giảo Kim ở Trường An liền lộ vẻ được nhàm chán rất nhiều, không có ai cùng hắn chơi, cũng không có ai cùng hắn uống rượu.

	Ngày hôm nay chẳng qua là đột nhiên có linh cảm, muốn mời mấy cái đồng liêu và uống.

	Bất quá hắn vậy mấy cái đồng liêu sau khi nghe, nhưng là khoát tay lia lịa lắc đầu.

	"Túy mỹ nhân mặc dù không tệ, nhưng ta bây giờ đã không uống, chúng ta chuẩn bị đi trà lâu uống trà mới."

	"Đúng vậy, trà mới mùi vị muốn càng là thuần khiết một ít, mùi trà vậy tương đối đậm đà, uống rất tốt, hơn nữa ngắn ngủi thời gian 2 ngày, trà lâu bên kia đã phát minh một cái uống trà công cụ, do người đẹp pha trà, châm trà, thậm chí là lấy miệng nhai trà, thật là thú vị vô cùng, chúng ta mới không đi uống rượu, chúng ta uống trà đi. . ."

	Một đám đồng liêu hưng phấn vừa nói, Trình Giảo Kim hơi cau mày, những người này trong ngày thường đều rất là rượu ngon, làm sao bỗng nhiên cũng đổi uống trà?

	Còn cái gì trà mới, mình tại sao chưa có nghe nói qua?

	"Mấy vị, cái này trà mới là trà gì?"

	Mọi người một mặt kinh ngạc nhìn Trình Giảo Kim, tựa như không dám tin tưởng Trình Giảo Kim lại liền trà mới là cái gì cũng không biết.Chương 154: Độc phụ người 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Chim sẻ thấy Trịnh Diễm giết Lưu lang sau đó, đột nhiên lo lắng nàng sẽ giết Lô Hoa Nương.

	Hắn phụng mệnh tới bảo vệ Lô Hoa Nương, như Lô Hoa Nương có gì ngoài ý muốn, hắn coi như không mặt mũi đi gặp Tần Thiên.

	Một khắc kia, chim sẻ đột nhiên sinh ra một cổ sát tâm tới, nếu như giết Trịnh Diễm, chuyện này không liền không cần lo lắng?

	Bất quá hắn rất nhanh lại bác bỏ cái ý nghĩ này.

	Như Trịnh Diễm bị giết, nhất định sẽ đưa tới Trịnh gia chú ý, khi đó Trịnh gia phái người điều tra, thiếu không được dính dấp đến Lô Hoa Nương trên mình.

	Cho nên cuối cùng chim sẻ chỉ có thể tiếp tục ẩn thân chùa Thiện Nguyện, âm thầm bảo vệ Lô Hoa Nương.

	Như Trịnh Diễm thật muốn giết Lô Hoa Nương, khi đó hắn động thủ nữa cũng không muộn.

	Bất quá để cho chim sẻ bất ngờ là, Lô Hoa Nương đem Lưu lang thi thể xử lý xong sau đó, cũng không có lại đi Lô Hoa Nương gian phòng, mà là trực tiếp ở gian phòng của mình ngủ rồi, tựa như chuyện gì cũng không có phát sinh qua.

	Sáng sớm ngày kế, Trịnh Diễm lại là không có cần tìm Lô Hoa Nương phiền toái.

	Cái này làm cho chim sẻ cảm thấy rất kỳ quái, bất quá Trịnh Diễm không đúng Lô Hoa Nương động thủ, điều này cũng làm cho hắn rốt cuộc thở phào nhẹ nhõm.

	Ban ngày bất tiện ẩn núp, hơn nữa hắn còn cần trở về đem tình huống cùng Tần Thiên nói một chút, cho nên chim sẻ liền rời đi chùa Thiện Nguyện.

	Mà đang ở chim sẻ rời đi chùa Thiện Nguyện lúc này Trịnh Diễm bên này, nhưng là đột nhiên sinh ra một chút hối hận tới.

	Nhiều năm như vậy, vẫn luôn là Lưu lang ở trấn an nàng cô quạnh, mặc dù Lưu lang chẳng qua là nàng tiết muốn công cụ, nhưng người phi cỏ cây, nhiều năm như vậy, nàng đối với Lưu lang lại làm sao có thể không có một chút cảm tình?

	"Lưu lang, rốt cuộc là ai hại ngươi?" Trịnh Diễm ngồi ở gian phòng của mình, một đôi mắt đỏ bừng, mang một cổ vô hình sát ý.

	Nàng ngưng chân mày, rất nhanh nghĩ đến, toàn bộ chùa Thiện Nguyện, Lưu lang vẫn luôn là lấy ni cô thân phận xuất hiện ở hắn trước mặt người khác, biết hắn là chàng trai, chỉ có Lô Hoa Nương một người.

	Như vậy có thể hại Lưu lang, cũng chỉ có Lô Hoa Nương.

	Nhưng tối ngày hôm qua hồi trước khi tới, nàng một mực cùng Lô Hoa Nương chung một chỗ, cho nên hại Lưu lang không thể nào là Lô Hoa Nương đây, vậy cũng chỉ có thể là Lô Hoa Nương tình nhân.

	Trịnh Diễm xuất thân thế gia, không hề đần, rất nhanh nàng liền nghĩ tới, nhất định là Lô Hoa Nương đem Lưu lang sự việc cùng mình tương dễ nói hạ, mà nàng tương thật lo lắng cho Lô Hoa Nương bị Lưu lang cho hại, cho nên liền tiên hạ thủ vi cường, trừ đi Lưu lang.

	Suy nghĩ ra một điểm này sau đó, Trịnh Diễm nắm thật chặt quả đấm: "Tốt ngươi cái Lô Hoa Nương, lại tiên hạ thủ vi cường, liền lão nương đều bị ngươi cho ám toán, đã như vậy, vậy cũng đừng trách ta không khách khí, ta muốn là ta Lưu lang trả thù, ngươi với ngươi nhân tình, cũng chết không được tử tế."

	Nghĩ như vậy, Trịnh Diễm lập tức thông qua một ít thủ đoạn, đem một ít tin tức cho tung ra trừ đi.

	Làm một ở chùa Thiện Nguyện đợi rất nhiều năm người, hắn có thể đem Lưu lang cho núp ở bên trong, tự nhiên vậy có biện pháp đem một ít tin tức cho tung ra ngoài.

	Những tin tức này tung ra ngoài sau đó, rất nhanh liền truyền đến Lô gia.

	Thậm chí có thể nói, những tin tức này dọc đường cũng không thế nào lan truyền, liền trực tiếp truyền đến gia chủ Lô gia Lô Triển Đình trong lỗ tai.

	Lô Triển Đình là Lô Hoa Nương bác trai, hắn khi nhận được những tin tức này sau đó, thần sắc đột nhiên biến đổi, ngay sau đó liền phái người đem Lô Hoa Nương cha Lô Hành cho kêu tới.

	Lô Hành hơn bốn mươi tuổi, nhìn như hơi có chút nho nhã, hơn nữa luôn là một bộ gợn sóng dáng vẻ không sợ hãi, tựa như trên đời này, liền không có chuyện gì có thể để cho hắn cuống cuồng.

	Lô Hành thấy Lô Triển Đình sau đó, nói: "Đại ca, có chuyện gì không?"

	Lô Triển Đình hừ một tiếng: "Ngươi sanh con gái ngoan con a."

	Lô Hành thần sắc hơi động, hắn cưới có một vợ một thiếp, vợ sinh một đứa con gái, thiếp sinh một đứa con trai, chỉ bất quá con gái hắn hôm nay đang chùa Thiện Nguyện chịu khổ, làm sao Lô Triển Đình nhắc tới nói?

	"Đại ca có ý gì, thứ cho ta không hiểu."

	Lô Triển Đình nói: "Ta đạt được một cái tin, nói Lô Hoa Nương ở chùa Thiện Nguyện không an phận, cùng người đàn ông tư thông, ngươi nói một chút, ban đầu nàng còn trẻ dốt nát, cùng người bỏ trốn, chúng ta sau đó nghĩ hết biện pháp mới rốt cục giải quyết chuyện này, vốn lấy là nàng có thể an phận một chút, sau đó tìm một người tốt gả cho, có thể ai có thể nghĩ lại cùng vậy Tần Thiên gây ra tư tình một chuyện tới, bây giờ lại đang chùa Thiện Nguyện cùng người đàn ông tư thông, đây nếu là truyền đi nữa, ta Lô gia mặt mũi ở chỗ nào à?"

	Nghe được con gái mình cùng người đàn ông tư thông, Lô Hành thần sắc khẽ động, nhưng sau đó liền lại tỉnh táo lại: "Đại ca từ chỗ nào được tin tức, là thật hay không, có thể chớ là người khác vu hãm tiểu nữ."

	Lô Hành chỉ có một cô con gái như vậy, hơn nữa còn là vợ hắn chánh thất sanh, hắn đối với Lô Hoa Nương sủng ái rất, hôm nay có người nói như vậy con gái hắn, hắn tự nhiên là có chút mất hứng.

	"Tin tức từ chỗ nào được ngươi không cần phải để ý đến, ta đã phái người đi điều tra, rất nhanh là có thể tra ra cái nguyên do, như sự việc thật là thật, ta lần này tuyệt không tha thứ."

	Nói tới chỗ này, Lô Triển Đình lại là khẽ than một tiếng: "Đại ca vậy không hy vọng cháu gái có cái gì, nhưng vì Lô gia mặt mũi, nên lòng dạ ác độc lúc này vẫn là phải lòng dạ ác độc, đến lúc đó ngươi chớ nhúng tay."

	Làm là gia chủ Lô gia, hắn thì có trách nhiệm bảo vệ Lô gia danh dự, Lô Hành đối với này cũng không có nói gì, chỉ khẽ chắp tay một cái sau đó, liền lui ra ngoài.

	Chùa Thiện Nguyện tạm thời an ổn, Tần Thiên bên này như cũ đang không ngừng sao trà.

	Thành Trường An bên này, thì đột nhiên hưng khởi uống trà mới làn gió.

	Lý Thế Dân làm một tên Vương gia, mỗi ngày khoản đãi quý khách không thiếu, dùng trà mới khoản đãi, những người đó tự nhiên rất nhanh sẽ phát hiện trà mới tốt.

	Khách sạn mỗi ngày lui tới, quý khách cũng là không thiếu, ông chủ khách sạn bán bọn họ trà mới, bọn họ tự nhiên cũng có thể rất nhanh hiểu được trà mới tình huống.

	Trường An người thích uống trà, đặc biệt là người có tiền.

	Là lấy hai ngày sau, trà mới liền trở thành thành Trường An người dân trong miệng thường xuyên nói tới một cái từ.

	Thiên hạ này liền lâm triều, Trình Giảo Kim đối với mấy cái đồng liêu cười nói: "Thời tiết càng ngày càng lạnh, đi trong phủ uống mấy ly Túy mỹ nhân như thế nào?"

	Từ Tần Thúc Bảo các người rời đi thành Trường An sau đó, Trình Giảo Kim ở Trường An liền lộ vẻ được nhàm chán rất nhiều, không có ai cùng hắn chơi, cũng không có ai cùng hắn uống rượu.

	Ngày hôm nay chẳng qua là đột nhiên có linh cảm, muốn mời mấy cái đồng liêu và uống.

	Bất quá hắn vậy mấy cái đồng liêu sau khi nghe, nhưng là khoát tay lia lịa lắc đầu.

	"Túy mỹ nhân mặc dù không tệ, nhưng ta bây giờ đã không uống, chúng ta chuẩn bị đi trà lâu uống trà mới."

	"Đúng vậy, trà mới mùi vị muốn càng là thuần khiết một ít, mùi trà vậy tương đối đậm đà, uống rất tốt, hơn nữa ngắn ngủi thời gian 2 ngày, trà lâu bên kia đã phát minh một cái uống trà công cụ, do người đẹp pha trà, châm trà, thậm chí là lấy miệng nhai trà, thật là thú vị vô cùng, chúng ta mới không đi uống rượu, chúng ta uống trà đi. . ."

	Một đám đồng liêu hưng phấn vừa nói, Trình Giảo Kim hơi cau mày, những người này trong ngày thường đều rất là rượu ngon, làm sao bỗng nhiên cũng đổi uống trà?

	Còn cái gì trà mới, mình tại sao chưa có nghe nói qua?

	"Mấy vị, cái này trà mới là trà gì?"

	Mọi người một mặt kinh ngạc nhìn Trình Giảo Kim, tựa như không dám tin tưởng Trình Giảo Kim lại liền trà mới là cái gì cũng không biết.Chương 154: Độc phụ người 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Chim sẻ thấy Trịnh Diễm giết Lưu lang sau đó, đột nhiên lo lắng nàng sẽ giết Lô Hoa Nương.

