Chương 306: Vẫn còn ở sửa chữa máy bay 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Lao ra khu dân nghèo sau đó, bọn họ rất nhanh liền đi tới sân bay trước.
	Lưu Vĩ gật đầu một cái, "Không sai, chính là ta."

	"Chúng ta là TQ dương qua đến thăm các ngươi." Dok vội vàng nói.

	"Lưu Chính Dương?" Lưu Vĩ trong lòng không khỏi được lộp bộp một chút, ngay sau đó hắn hướng khắp nơi nhìn xem, tựa hồ cũng không có thấy Lưu Thắng Lợi con trai Lưu Chính Dương bóng dáng.

	"Hắn ở nơi nào?" Lưu Vĩ vừa cảm động lại lo lắng, nơi này cách sông Coendo bất quá hơn mười cây số khoảng cách, rất có thể sẽ xuất hiện nhỏ cổ tới đây điều tra quân phản loạn.

	Dưới mắt, ở nước Congo, quân phản loạn điểm chính ra tay đối tượng chính là bọn họ những thứ này người nước ngoài, bọn họ chính là muốn cho nước Congo chánh phủ lấy vô cùng tàn nhẫn đầy đủ nhất đả kích.

	"Hắn liền ở phía dưới." Nói xong, Dok thọt bên người Sơn Dương.

	Sơn Dương gật đầu một cái, ngay sau đó nhanh chóng hướng phía dưới chạy đi, chỉ gặp hắn vừa chạy vừa huýt sáo.

	Đây là bọn họ lúc trước hẹn định xong, thấy tìm Lưu Vĩ sau đó, Dương Thiên Long mang Lưu Chính Dương bọn họ chạy mau tới đây.

	"Chú Lưu." Giữa lúc Lưu Vĩ là trước mắt Dương Thiên Long cùng Lưu Chính Dương không phân rõ ai rốt cuộc là Lưu Chính Dương, Lưu Chính Dương không khỏi được kêu một tiếng.

	"Chánh Dương." Lưu Vĩ không khỏi được cười một tiếng, "Hơn 10 năm trước thấy ngươi lúc này ngươi vẫn là choai choai đứa bé, bây giờ cũng trưởng như thế cao."

	Lưu Vĩ nói được một nửa, Lưu Chính Dương bên trong đầu liền hồi tưởng lại lần trước ở nhà thấy Lưu Vĩ cảnh tượng.

	Lưu Chính Dương không khỏi được một mặt ngượng ngùng cười một tiếng.

	"Chánh Dương, vị này là Dương Thiên Long tiên sinh sao?" Lúc trước cùng Lưu Thắng Lợi nói chuyện điện thoại lúc này Lưu Thắng Lợi liền trong điện thoại nói với Lưu Vĩ có Dương Thiên Long như vậy một cái người thần kỳ tồn tại, nghe huynh đệ giải thích sau đó, Lưu Vĩ trong lòng cũng là không khỏi rất đúng vị này chưa bao giờ gặp mặt huynh đệ bội phục không thôi.

	"Anh Lưu, ta là Dương Thiên Long." Dương Thiên Long cười một tiếng nói.

	"Nhân tài, nhân tài khó được." Lưu Vĩ không nhịn được đem hắn từ đầu đến chân quan sát một lần, mặt đầy bội phục.

	"Anh Lưu, ngài quá khen." Dương Thiên Long dửng dưng một tiếng, trên mặt cũng không có cái loại đó kiêu ngạo, nhiều hơn phơi bày ở Lưu Vĩ trước mặt là cái loại đó cùng bẩm sinh tới ổn định cùng chững chạc.

	"Đi thôi, nơi này vẫn tương đối nguy hiểm, 2 ngày trước có chừng mười cái quân phản loạn hóa trang thành khu dân nghèo người nghèo, đem chúng ta an ninh của nơi này đánh chết hết mấy." Lưu Vĩ vừa nói vừa hướng còn đang tu xây hàng đứng lầu đi tới.

	Rất nhanh, Dương Thiên Long bọn họ vậy đi vào chỗ hòn này hàng đứng lầu, Vasily, Siman bọn họ không chớp mắt nhìn chung quanh.

	"Vậy bây giờ chỗ này còn có nhiều ít an ninh?" Dương Thiên Long không khỏi phải hỏi nói.

	Lưu Vĩ nói cho bọn họ, dưới mắt chỉ có không tới sáu.

	"Mấy tên này nhìn như lá gan còn thật lớn à." Dương Thiên Long không khỏi được cười nói.

	Vậy mà Lưu Vĩ lắc đầu một cái, mặt cười khổ, "Không có biện pháp, chánh phủ ra lệnh yêu cầu bảo vệ chúng ta, bọn họ vậy ba không được sớm một chút rời nơi này."

	"Vậy chúng ta bây giờ ở nhân viên của nơi này còn lại có bao nhiêu người?"

	"Bây giờ còn có hơn ba mươi cái, chúng ta vậy tự phát hợp thành một người an ninh đội, hiện ở trong tay có 5 nhánh súng." Lưu Vĩ vẻ mặt thành thật nói.

	"Máy bay sửa xong sao?" Lưu Chính Dương cũng không khỏi phải hỏi nói.

	Lưu Vĩ lắc đầu một cái, "Còn không có sửa xong."

	"Không phải sửa đã mấy ngày sao? Thế nào còn không có sửa xong?" Lưu Chính Dương không khỏi được có chút oán trách.

	"Bọn họ có lẽ cũng không biết." Lưu Vĩ nói ra mình lời trong lòng.

	"Vasily." Dương Thiên Long mang Vasily mục đích đi tới chính là vì giúp xem xem máy bay rốt cuộc sửa xong không có, nếu như không có sửa xong nói, tên nầy không đúng có thể giúp một chút.

	"Chuyện gì? Ông chủ." Vasily bước nhanh tới.

	"Bây giờ nước Congo không quân sửa chừng mấy ngày đường máy bay trực thăng, bọn họ thật giống như không có một chút biện pháp, ngươi hỗ trợ đi xem một chút."

	Vasily gật đầu một cái, nói tiếp, "Hiện tại máy bay ở nơi nào?"

	"Ở hàng tu nhà máy cơ hội chuồng." Lưu Vĩ chỉ chỉ cách đó không xa tòa kia đơn sơ vô cùng hàng tu nhà máy cơ hội lều.

	"Phải, vậy ta đi xem một chút." Nói xong, Vasily sãi bước sao rơi vọt ra khỏi hàng đứng lầu.

	"Anh Lưu, các công nhân bây giờ ở đâu, chúng ta mang theo ít đồ, muốn xem xem bọn họ." Dương Thiên Long nói.

	Lưu Chính Dương vậy nhanh chóng gật đầu một cái, "Đều là quốc nội thức ăn, chú Long thật vất vả ở nước Congo mua được."

	Lưu Vĩ sững sốt một chút, tiếp không khỏi được bật thốt lên, "Hoa Kiều siêu thị vẫn chưa đóng cửa cửa?"

	"Ta ở một người da đen nơi đó mua." Dương Thiên Long cười một tiếng.

	"Cám ơn ngươi, Thiên Long." Lưu Vĩ mặt đầy ngại quá, ở chỗ này có thể gặp phải đồng bào hắn đã cảm thấy rất vui mừng, càng làm cho hắn cảm thấy may mắn là bọn họ lại còn mang theo mấy rương thức ăn đến thăm bọn họ, phải biết những ngày qua, tất cả mọi người cũng là mỗi ngày chỉ có thể ăn một bữa.

	Rất nhanh, Lưu Vĩ mang bọn họ ở lầu hai một cái trong căn phòng lớn thấy những thứ này ngàn dặm xa xôi tới đây đi làm các công nhân.

	Cùng cha hắn bối môn như nhau, những thứ này dân công đều là mặt đầy trung thực ba đóng, lo âu viết ở trên mặt bọn họ.

	"Trong nước nguyên bản kế hoạch phái máy bay tới đây, bất quá nơi đó phi trường quân sự cũng bị người phá hư, đưa đến máy bay căn bản không cách nào hạ xuống, cho nên máy bay liền một mực ngừng ở Ethiopia nơi đó." Lưu Vĩ giải thích.

	"Anh Lưu, các người yên tâm, chúng ta sẽ nghĩ biện pháp đem các người đưa đi." Dương Thiên Long trong lòng vậy làm xong xấu nhất dự định, đó chính là máy bay chân thực không sửa được, đến lúc đó mang Lưu Vĩ bọn họ cho tới bây giờ con đường trở lại Bunia, lại từ Bunia đi Kinshasa nơi đó.

	"Cũng không biết cái máy bay này rốt cuộc chuyện gì xảy ra, bọn họ sửa đã mấy ngày cũng không có sửa xong." Lưu Vĩ nhẹ nhàng thở dài.

	"Không quan hệ, mới vừa rồi cái đó to con hắn năng lực rất mạnh, tên kia cái gì cũng biết." Dương Thiên Long cười an ủi dậy Lưu Vĩ tới.

	Lưu Vĩ không khỏi được gật đầu một cái, hướng về phía Dương Thiên Long khẽ mỉm cười.

	Chung quanh hết thảy tựa hồ cũng không có gì khác thường, cùng Lưu Vĩ bọn họ ở lầu hai trò chuyện hơn nửa tiếng sau đó, chỉ gặp Vasily thông qua đối thoại cơ hội nói.

	"Ông chủ, máy bay trực thăng thăng bằng dực giá đỡ cố định lỗ ổ trục làm tổn hại." Vasily lớn tiếng nói.

	"Có hay không dư thừa linh kiện?"

	Vasily lắc đầu một cái, "Không có."Chương 306: Vẫn còn ở sửa chữa máy bay 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Lao ra khu dân nghèo sau đó, bọn họ rất nhanh liền đi tới sân bay trước.

	Nơi này vẫn là một mảnh hỗn loạn vô chương công trường, đến phi trường hàng đứng lầu nơi đó, xe cộ liền lại cũng không lên nổi.

	"Dok, ngươi cùng Sơn Dương đi vào trước dò xét tra một chút." Cách hàng đứng lầu 200m địa phương xa nhìn, nơi đó căn bản xem không thấy một người.

	Vì để đạt được an toàn, Dương Thiên Long quyết định để cho Dok cùng Sơn Dương đi dò xét tra một chút.

	Bị lĩnh nhiệm vụ sau đó, hai người lục lọi hướng chạy đi đâu đi.

	"Làm cái gì?" Ngay tại bọn họ chuẩn bị vào cửa lúc này bỗng nhiên hai người da đen bảo an từ bên trong vọt ra, đen thui họng súng thẳng ngay bọn họ.

	"Xin hỏi Hoa Hạ Vĩ tiên sinh bọn họ có ở bên trong không?" Dok không khỏi phải hỏi nói.

	"Các người là ai ?" Bảo an súng trong tay bắt đầu run sợ đứng lên, nhìn ra được, bọn họ vậy có chút sợ hãi.

	"Chúng ta là bạn của hắn phái tới." Dok nói.

	"Chúng ta nên như thế nào tin tưởng các người không phải quân phản loạn đâu ?" Hai người an ninh tay đã đặt ở cò súng nơi đó, bọn họ tùy thời làm xong kích phát chuẩn bị.

	"Chúng ta thật không phải là quân phản loạn, ta có số điện thoại của hắn cùng tấm ảnh." Dok nhanh chóng móc ra trong tay tấm ảnh, tấm ảnh sau lưng viết Lưu Vĩ số điện thoại.

	"Các người chờ một chút?" Nói xong, chỉ gặp một người da đen bảo an móc ra điện thoại vô tuyến, hướng về phía bên trong hô lên.

	Rất nhanh, một người đeo mắt kiếng ăn mặc màu xanh da trời đồng phục làm việc TQ người đàn ông trung niên từ bên trong đi ra.

	"Xin hỏi ngươi là Hoa Hạ Vĩ sao?" Dok không khỏi hỏi.

	Lưu Vĩ gật đầu một cái, "Không sai, chính là ta."

	"Chúng ta là TQ dương qua đến thăm các ngươi." Dok vội vàng nói.

	"Lưu Chính Dương?" Lưu Vĩ trong lòng không khỏi được lộp bộp một chút, ngay sau đó hắn hướng khắp nơi nhìn xem, tựa hồ cũng không có thấy Lưu Thắng Lợi con trai Lưu Chính Dương bóng dáng.

	"Hắn ở nơi nào?" Lưu Vĩ vừa cảm động lại lo lắng, nơi này cách sông Coendo bất quá hơn mười cây số khoảng cách, rất có thể sẽ xuất hiện nhỏ cổ tới đây điều tra quân phản loạn.

	Dưới mắt, ở nước Congo, quân phản loạn điểm chính ra tay đối tượng chính là bọn họ những thứ này người nước ngoài, bọn họ chính là muốn cho nước Congo chánh phủ lấy vô cùng tàn nhẫn đầy đủ nhất đả kích.

	"Hắn liền ở phía dưới." Nói xong, Dok thọt bên người Sơn Dương.

	Sơn Dương gật đầu một cái, ngay sau đó nhanh chóng hướng phía dưới chạy đi, chỉ gặp hắn vừa chạy vừa huýt sáo.

	Đây là bọn họ lúc trước hẹn định xong, thấy tìm Lưu Vĩ sau đó, Dương Thiên Long mang Lưu Chính Dương bọn họ chạy mau tới đây.

	"Chú Lưu." Giữa lúc Lưu Vĩ là trước mắt Dương Thiên Long cùng Lưu Chính Dương không phân rõ ai rốt cuộc là Lưu Chính Dương, Lưu Chính Dương không khỏi được kêu một tiếng.

	"Chánh Dương." Lưu Vĩ không khỏi được cười một tiếng, "Hơn 10 năm trước thấy ngươi lúc này ngươi vẫn là choai choai đứa bé, bây giờ cũng trưởng như thế cao."

	Lưu Vĩ nói được một nửa, Lưu Chính Dương bên trong đầu liền hồi tưởng lại lần trước ở nhà thấy Lưu Vĩ cảnh tượng.

	Lưu Chính Dương không khỏi được một mặt ngượng ngùng cười một tiếng.

	"Chánh Dương, vị này là Dương Thiên Long tiên sinh sao?" Lúc trước cùng Lưu Thắng Lợi nói chuyện điện thoại lúc này Lưu Thắng Lợi liền trong điện thoại nói với Lưu Vĩ có Dương Thiên Long như vậy một cái người thần kỳ tồn tại, nghe huynh đệ giải thích sau đó, Lưu Vĩ trong lòng cũng là không khỏi rất đúng vị này chưa bao giờ gặp mặt huynh đệ bội phục không thôi.

	"Anh Lưu, ta là Dương Thiên Long." Dương Thiên Long cười một tiếng nói.

	"Nhân tài, nhân tài khó được." Lưu Vĩ không nhịn được đem hắn từ đầu đến chân quan sát một lần, mặt đầy bội phục.

	"Anh Lưu, ngài quá khen." Dương Thiên Long dửng dưng một tiếng, trên mặt cũng không có cái loại đó kiêu ngạo, nhiều hơn phơi bày ở Lưu Vĩ trước mặt là cái loại đó cùng bẩm sinh tới ổn định cùng chững chạc.

	"Đi thôi, nơi này vẫn tương đối nguy hiểm, 2 ngày trước có chừng mười cái quân phản loạn hóa trang thành khu dân nghèo người nghèo, đem chúng ta an ninh của nơi này đánh chết hết mấy." Lưu Vĩ vừa nói vừa hướng còn đang tu xây hàng đứng lầu đi tới.

	Rất nhanh, Dương Thiên Long bọn họ vậy đi vào chỗ hòn này hàng đứng lầu, Vasily, Siman bọn họ không chớp mắt nhìn chung quanh.

	"Vậy bây giờ chỗ này còn có nhiều ít an ninh?" Dương Thiên Long không khỏi phải hỏi nói.

	Lưu Vĩ nói cho bọn họ, dưới mắt chỉ có không tới sáu.

	"Mấy tên này nhìn như lá gan còn thật lớn à." Dương Thiên Long không khỏi được cười nói.

	Vậy mà Lưu Vĩ lắc đầu một cái, mặt cười khổ, "Không có biện pháp, chánh phủ ra lệnh yêu cầu bảo vệ chúng ta, bọn họ vậy ba không được sớm một chút rời nơi này."

	"Vậy chúng ta bây giờ ở nhân viên của nơi này còn lại có bao nhiêu người?"

	"Bây giờ còn có hơn ba mươi cái, chúng ta vậy tự phát hợp thành một người an ninh đội, hiện ở trong tay có 5 nhánh súng." Lưu Vĩ vẻ mặt thành thật nói.

	"Máy bay sửa xong sao?" Lưu Chính Dương cũng không khỏi phải hỏi nói.

	Lưu Vĩ lắc đầu một cái, "Còn không có sửa xong."

	"Không phải sửa đã mấy ngày sao? Thế nào còn không có sửa xong?" Lưu Chính Dương không khỏi được có chút oán trách.

	"Bọn họ có lẽ cũng không biết." Lưu Vĩ nói ra mình lời trong lòng.

	"Vasily." Dương Thiên Long mang Vasily mục đích đi tới chính là vì giúp xem xem máy bay rốt cuộc sửa xong không có, nếu như không có sửa xong nói, tên nầy không đúng có thể giúp một chút.

	"Chuyện gì? Ông chủ." Vasily bước nhanh tới.

	"Bây giờ nước Congo không quân sửa chừng mấy ngày đường máy bay trực thăng, bọn họ thật giống như không có một chút biện pháp, ngươi hỗ trợ đi xem một chút."

	Vasily gật đầu một cái, nói tiếp, "Hiện tại máy bay ở nơi nào?"

	"Ở hàng tu nhà máy cơ hội chuồng." Lưu Vĩ chỉ chỉ cách đó không xa tòa kia đơn sơ vô cùng hàng tu nhà máy cơ hội lều.

	"Phải, vậy ta đi xem một chút." Nói xong, Vasily sãi bước sao rơi vọt ra khỏi hàng đứng lầu.

	"Anh Lưu, các công nhân bây giờ ở đâu, chúng ta mang theo ít đồ, muốn xem xem bọn họ." Dương Thiên Long nói.

	Lưu Chính Dương vậy nhanh chóng gật đầu một cái, "Đều là quốc nội thức ăn, chú Long thật vất vả ở nước Congo mua được."

	Lưu Vĩ sững sốt một chút, tiếp không khỏi được bật thốt lên, "Hoa Kiều siêu thị vẫn chưa đóng cửa cửa?"

	"Ta ở một người da đen nơi đó mua." Dương Thiên Long cười một tiếng.

	"Cám ơn ngươi, Thiên Long." Lưu Vĩ mặt đầy ngại quá, ở chỗ này có thể gặp phải đồng bào hắn đã cảm thấy rất vui mừng, càng làm cho hắn cảm thấy may mắn là bọn họ lại còn mang theo mấy rương thức ăn đến thăm bọn họ, phải biết những ngày qua, tất cả mọi người cũng là mỗi ngày chỉ có thể ăn một bữa.

	Rất nhanh, Lưu Vĩ mang bọn họ ở lầu hai một cái trong căn phòng lớn thấy những thứ này ngàn dặm xa xôi tới đây đi làm các công nhân.

	Cùng cha hắn bối môn như nhau, những thứ này dân công đều là mặt đầy trung thực ba đóng, lo âu viết ở trên mặt bọn họ.

	"Trong nước nguyên bản kế hoạch phái máy bay tới đây, bất quá nơi đó phi trường quân sự cũng bị người phá hư, đưa đến máy bay căn bản không cách nào hạ xuống, cho nên máy bay liền một mực ngừng ở Ethiopia nơi đó." Lưu Vĩ giải thích.

	"Anh Lưu, các người yên tâm, chúng ta sẽ nghĩ biện pháp đem các người đưa đi." Dương Thiên Long trong lòng vậy làm xong xấu nhất dự định, đó chính là máy bay chân thực không sửa được, đến lúc đó mang Lưu Vĩ bọn họ cho tới bây giờ con đường trở lại Bunia, lại từ Bunia đi Kinshasa nơi đó.

	"Cũng không biết cái máy bay này rốt cuộc chuyện gì xảy ra, bọn họ sửa đã mấy ngày cũng không có sửa xong." Lưu Vĩ nhẹ nhàng thở dài.

	"Không quan hệ, mới vừa rồi cái đó to con hắn năng lực rất mạnh, tên kia cái gì cũng biết." Dương Thiên Long cười an ủi dậy Lưu Vĩ tới.

	Lưu Vĩ không khỏi được gật đầu một cái, hướng về phía Dương Thiên Long khẽ mỉm cười.

	Chung quanh hết thảy tựa hồ cũng không có gì khác thường, cùng Lưu Vĩ bọn họ ở lầu hai trò chuyện hơn nửa tiếng sau đó, chỉ gặp Vasily thông qua đối thoại cơ hội nói.

	"Ông chủ, máy bay trực thăng thăng bằng dực giá đỡ cố định lỗ ổ trục làm tổn hại." Vasily lớn tiếng nói.

	"Có hay không dư thừa linh kiện?"

	Vasily lắc đầu một cái, "Không có."
