Chương 217: Hashimoto điện tới 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Đương nhiên là ngươi." Siman cùng Elbuk một mặt cười híp mắt.
	Kurtu bọn họ vậy rất vui vẻ, tuy nói ngày thường đối với các thôn dân nghiêm khắc một chút, nhưng là lão đầu làm công tác tinh thần trách nhiệm không khỏi để cho làm việc các thôn dân bội phục, lúc trước không thiếu các thôn dân thích lười biếng hoặc là tìm các loại các dạng mượn cớ, nhưng là đi qua cái này Bỉ lão đầu đích thân dạy dỗ sau đó, những cái kia thói quen liền trộm gian giở thủ đoạn các thôn dân dần dần cũng biến thành cần cù đứng lên.

	Một đêm này, tất cả mọi người thật vui vẻ chè chén say sưa đến rạng sáng lúc này mới kết thúc.

	Tiệc bên lửa trại sau khi kết thúc, Dương Thiên Long lúc này mới phát hiện điện thoại di động bên trong nhiều hết mấy không nhận điện thoại gọi đến, mở ra vừa thấy, tất cả đều là một cái từ Thượng Hải đánh tới số xa lạ.

	Sau khi suy nghĩ một chút, Dương Thiên Long đem điện thoại gọi tới.

	Rất nhanh, bên đầu điện thoại kia một cái thanh âm quen thuộc truyền tới, đây là Hashimoto Zumei thanh âm.

	"Hoa Hạ Long, ngài khỏe, ta là Hashimoto Zumei." Hashimoto thanh âm nghe rất là cẩn trọng.

	"Hashimoto?" Vừa gặp lại là Hashimoto gọi điện thoại tới, Dương Thiên Long nhanh chóng theo bản năng nhìn xem một bên Arlene.

	Bên cạnh Arlene tựa hồ không có chú ý tới những thứ này, kéo tình nhân cánh tay một mặt hạnh phúc hướng nhà gỗ nhỏ đi tới.

	"Ngài khỏe, Hashimoto, gần đây như thế nào?" Hắn cùng Hashimoto bây giờ vốn là cũng không có cái gì, giật mình sau đó, Dương Thiên Long liền nhanh chóng hỏi tới tình trạng gần đây của nàng.

	"Hoa Hạ Long, ta bây giờ đã ở điện ảnh học viện đi học, hết thảy đều rất tốt, cùng bạn học trong lớp quan hệ chỗ cũng không tệ, chúng ta bây giờ đang xếp diễn kịch bản, ngươi có rãnh rỗi trở về nước có thể tới đây xem xem ta, được không?" Hashimoto thanh âm dần dần nhỏ đi, đến cuối cùng đều là có mấy phần cầu xin ý ở trong đó.

	Dương Thiên Long không có trả lời ngay Hashimoto, mà là nhìn một cái bên người Arlene, chỉ gặp Arlene vẫn là một mặt say mê kéo hắn cánh tay, "Được."

	Nói ra những lời này lúc này Dương Thiên Long chỉ cảm thấy trong lòng một hồi ngũ vị tạp trần.

	"Cám ơn." Hashimoto tựa hồ vậy cảm thấy hắn những lời này nói phân lượng, không kiềm được hồi phục một câu.

	"Có rãnh rỗi thường liên lạc." Sau khi nói xong, Dương Thiên Long liền nhẹ nhàng một hơi, cảm giác này tựa như thật sự là vụng trộm không có bị phát hiện vậy kích thích.

	Arlene trước hay là trước động tác cùng diễn cảm, lần này ngược lại để cho Dương Thiên Long trong lòng cảm giác được có chút khúc mắc, dẫu sao hắn đáp ứng trở về nước thời điểm đi xem xem Hashimoto.

	Bất quá hắn rất nhanh ngược lại cũng thích trong lòng, dẫu sao mình cùng Hashimoto tiếp xúc dự tính ban đầu chính là đem nàng coi là mình một cái em gái nhỏ mà thôi.

	Trở lại nhà gỗ nhỏ, Arlene lại học tập một hồi tiếng Hoa sau đó, lúc này mới đi vào phòng tắm.

	Congo buổi tối nhiệt độ đổ cũng không tệ lắm, gió lạnh từng cơn, không có ban ngày cái loại đó nóng bỏng nhiệt cảm, vì vậy Arlene tắm xong sau đó, ước chừng bọc một cái trắng tinh khăn tắm từ trong phòng tắm đi ra.

	Thấy người yêu vóc người hoàn mỹ phơi bày ở trước mặt mình một khắc kia, Dương Thiên Long không kiềm được có chút nóng máu đứng lên, tỉ mỉ suy nghĩ một chút, tựa hồ có hai ngày không có làm chuyện đó.

	" Cục cưng, ngươi thật xinh đẹp." Nghe Arlene trên mình nhàn nhạt mùi thơm, Dương Thiên Long không nhịn được đem đầu xít tới.

	Nhà gỗ nhỏ chung quanh 100-200m cũng không có thôn dân cư trú, vì vậy Dương Thiên Long động tác vậy tương đối mà nói tiêu chuẩn tương đối lớn.

	Nhiều lần tay, Arlene rất nhanh liền đem Dương Thiên Long làm cho là thở gấp liền liền, thở hổn hển nhìn bạn trai đầu lưỡi ở mình thỏ trắng lớn ở đâu tới hồi động tác.

	"À. . ." Arlene không kiềm được nhíu mày một cái, tiếp nhỏ giọng nói: " Cục cưng, ngươi đi nhanh tắm một cái đi."

	"Không, ta muốn ngươi lại theo ta cùng tắm tắm rửa." Dương Thiên Long thanh âm ngay tại Arlene bên tai vang lên, cái này không để cho nàng phải lại nữa lần thẹn thùng không dứt.

	"Được, được rồi." Arlene thanh âm mới vừa nói xong, chỉ gặp Arlene liền đem nàng trực tiếp ôm vào phòng tắm.

	Bởi vì lúc trước liền đã không có xuyên áo mưa tiến vào qua Arlene thân thể, thêm tới Arlene đi qua tính toán đo lường lúc này cũng không tại thời kỳ rụng trứng, vì vậy lúc này ở trong phòng tắm, Dương Thiên Long vậy không tiến hành nữa phòng vệ, một trận dạo đầu sau đó, liền xách súng tiến vào.

	Cái này nhà gỗ nhỏ phòng tắm cũng không lớn, ở bên trong vận động sau một hồi, Dương Thiên Long phát hiện rất là không thi triển được, nhẹ nhàng ở Arlene bên tai khẽ nói đôi câu sau đó, Dương Thiên Long liền ôm Arlene đi tới phòng ngủ.

	Ở phòng ngủ trên giường rộng lớn, một lần hôn thân mật sau đó, Dương Thiên Long lần nữa tiến vào Arlene thân thể. . .

	Hôm sau, giữa lúc Dương Thiên Long vẫn còn ở ngủ say lúc này bỗng nhiên Arlene một hồi sợ hãi kêu.

	"Trời ạ. . ."Chương 217: Hashimoto điện tới 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Đương nhiên là ngươi." Siman cùng Elbuk một mặt cười híp mắt.

	"Ta mời khách?" Dương Thiên Long rất là một mặt vô tội, "Này, lão đồng nghiệp cửa, nhưng mà ta căn bản không có đưa tiền mua những thứ này nha?"

	"Ha ha. . ." Siman bọn họ không kiềm được vui vẻ cười to nói , "Lão đồng nghiệp, ngươi quên chi tiền cho chúng ta phí khổ cực liền sao?"

	Vừa nghe đến "Phí khổ cực" ba chữ, Dương Thiên Long nhất thời bừng tỉnh hiểu ra, hắn cười nói, "Đó là các ngươi thù lao, nhưng mà cùng ta đã không có quan hệ."

	"Nhưng là khoản tiền này là ngươi cho, cho nên cũng coi là ngươi mời khách." Siman tuy nói ngày thường lãnh khốc, nhưng là tấm lòng nhưng cũng rất hiền lành, thấy Dương Thiên Long là các thôn dân làm không ít chuyện sau đó, hắn phóng khoáng cầm ra 5000 đô la, mời tất cả mọi người thật tốt xoa một lần.

	"Ngươi tên nầy, quay đầu ta cũng không cho ngươi bổ túc." Dương Thiên Long vừa nói vừa nhấp một hớp bia.

	"Hey, lông cừu ra ở trên thân cừu, ông chủ, ngài bổ không bổ còn không phải là xem tâm tình, đúng không." Elbuk tề mi lộng nhãn nói.

	"Không, ta bóp tiền cũng không phải là do lòng của ta định đoạt." Nói xong, Dương Thiên Long từ lửa than trong lấy ra một chùm hoàng xán xán thịt nướng, đưa cho Arlene.

	Đợi thịt nướng nhiệt độ giảm xuống một hồi, Arlene cái này mới nhẹ nhàng cắn một cái, rất nhanh nàng liền một mặt thành thật nói: " Cục cưng, nói thật, không có ngươi nướng ăn ngon."

	"Phải không?" Dương Thiên Long không kiềm được cầm lên một chùm, cắn một cái sau đó, hắn vô cùng đồng ý Arlene giải thích.

	"Vậy ta tới là các người nướng đi." Nói xong, Dương Thiên Long liền đi tới vẫn còn ở cắt bò thịt cừu các thôn dân nơi đó.

	"Trước ướp 10 phút." Dương Thiên Long vừa nói vừa làm mẫu, "Sau đó sẽ nướng, nướng thời điểm nhất định phải đều đều rải trái ớt mặt cùng thì là Ai Cập, cuối cùng xong hết rồi còn có thể thêm chút hành lá cắt nhỏ. . ."

	Ở Dương Thiên Long làm mẫu hạ, hơn mười phút sau, hơn mười chuỗi ánh vàng rực rỡ thịt nướng chuỗi liền khảo chế mà thành.

	Lúc này thịt nướng rõ ràng ở mùi vị thượng hạng không thiếu, tất cả mọi người ăn người người mặt đầy tấm tắc lấy làm kỳ.

	Lấp đầy bụng sau đó, Yom, Yankee bọn họ chủ động muốn đặt đám này người nước ngoài tới vây quanh đống lửa khiêu vũ, đối với các thôn dân nhiệt tình mời, Dương Thiên Long bọn họ dĩ nhiên là một mặt khoái trá đồng ý.

	Người Phi châu rất là có thể ca vũ, bọn họ sở trường dùng phong phú ngôn ngữ tay chân biểu đạt mình nội tâm phong phú tình cảm, các thôn dân cũng không ngoại lệ, vây quanh đống lửa bọn họ tận tình vui mừng hát khua, đem bọn họ đối với đám này người nước ngoài cảm kích toàn bộ hóa thành phong phú tay chân động tác.

	Kurtu bọn họ vậy rất vui vẻ, tuy nói ngày thường đối với các thôn dân nghiêm khắc một chút, nhưng là lão đầu làm công tác tinh thần trách nhiệm không khỏi để cho làm việc các thôn dân bội phục, lúc trước không thiếu các thôn dân thích lười biếng hoặc là tìm các loại các dạng mượn cớ, nhưng là đi qua cái này Bỉ lão đầu đích thân dạy dỗ sau đó, những cái kia thói quen liền trộm gian giở thủ đoạn các thôn dân dần dần cũng biến thành cần cù đứng lên.

	Một đêm này, tất cả mọi người thật vui vẻ chè chén say sưa đến rạng sáng lúc này mới kết thúc.

	Tiệc bên lửa trại sau khi kết thúc, Dương Thiên Long lúc này mới phát hiện điện thoại di động bên trong nhiều hết mấy không nhận điện thoại gọi đến, mở ra vừa thấy, tất cả đều là một cái từ Thượng Hải đánh tới số xa lạ.

	Sau khi suy nghĩ một chút, Dương Thiên Long đem điện thoại gọi tới.

	Rất nhanh, bên đầu điện thoại kia một cái thanh âm quen thuộc truyền tới, đây là Hashimoto Zumei thanh âm.

	"Hoa Hạ Long, ngài khỏe, ta là Hashimoto Zumei." Hashimoto thanh âm nghe rất là cẩn trọng.

	"Hashimoto?" Vừa gặp lại là Hashimoto gọi điện thoại tới, Dương Thiên Long nhanh chóng theo bản năng nhìn xem một bên Arlene.

	Bên cạnh Arlene tựa hồ không có chú ý tới những thứ này, kéo tình nhân cánh tay một mặt hạnh phúc hướng nhà gỗ nhỏ đi tới.

	"Ngài khỏe, Hashimoto, gần đây như thế nào?" Hắn cùng Hashimoto bây giờ vốn là cũng không có cái gì, giật mình sau đó, Dương Thiên Long liền nhanh chóng hỏi tới tình trạng gần đây của nàng.

	"Hoa Hạ Long, ta bây giờ đã ở điện ảnh học viện đi học, hết thảy đều rất tốt, cùng bạn học trong lớp quan hệ chỗ cũng không tệ, chúng ta bây giờ đang xếp diễn kịch bản, ngươi có rãnh rỗi trở về nước có thể tới đây xem xem ta, được không?" Hashimoto thanh âm dần dần nhỏ đi, đến cuối cùng đều là có mấy phần cầu xin ý ở trong đó.

	Dương Thiên Long không có trả lời ngay Hashimoto, mà là nhìn một cái bên người Arlene, chỉ gặp Arlene vẫn là một mặt say mê kéo hắn cánh tay, "Được."

	Nói ra những lời này lúc này Dương Thiên Long chỉ cảm thấy trong lòng một hồi ngũ vị tạp trần.

	"Cám ơn." Hashimoto tựa hồ vậy cảm thấy hắn những lời này nói phân lượng, không kiềm được hồi phục một câu.

	"Có rãnh rỗi thường liên lạc." Sau khi nói xong, Dương Thiên Long liền nhẹ nhàng một hơi, cảm giác này tựa như thật sự là vụng trộm không có bị phát hiện vậy kích thích.

	Arlene trước hay là trước động tác cùng diễn cảm, lần này ngược lại để cho Dương Thiên Long trong lòng cảm giác được có chút khúc mắc, dẫu sao hắn đáp ứng trở về nước thời điểm đi xem xem Hashimoto.

	Bất quá hắn rất nhanh ngược lại cũng thích trong lòng, dẫu sao mình cùng Hashimoto tiếp xúc dự tính ban đầu chính là đem nàng coi là mình một cái em gái nhỏ mà thôi.

	Trở lại nhà gỗ nhỏ, Arlene lại học tập một hồi tiếng Hoa sau đó, lúc này mới đi vào phòng tắm.

	Congo buổi tối nhiệt độ đổ cũng không tệ lắm, gió lạnh từng cơn, không có ban ngày cái loại đó nóng bỏng nhiệt cảm, vì vậy Arlene tắm xong sau đó, ước chừng bọc một cái trắng tinh khăn tắm từ trong phòng tắm đi ra.

	Thấy người yêu vóc người hoàn mỹ phơi bày ở trước mặt mình một khắc kia, Dương Thiên Long không kiềm được có chút nóng máu đứng lên, tỉ mỉ suy nghĩ một chút, tựa hồ có hai ngày không có làm chuyện đó.

	" Cục cưng, ngươi thật xinh đẹp." Nghe Arlene trên mình nhàn nhạt mùi thơm, Dương Thiên Long không nhịn được đem đầu xít tới.

	Nhà gỗ nhỏ chung quanh 100-200m cũng không có thôn dân cư trú, vì vậy Dương Thiên Long động tác vậy tương đối mà nói tiêu chuẩn tương đối lớn.

	Nhiều lần tay, Arlene rất nhanh liền đem Dương Thiên Long làm cho là thở gấp liền liền, thở hổn hển nhìn bạn trai đầu lưỡi ở mình thỏ trắng lớn ở đâu tới hồi động tác.

	"À. . ." Arlene không kiềm được nhíu mày một cái, tiếp nhỏ giọng nói: " Cục cưng, ngươi đi nhanh tắm một cái đi."

	"Không, ta muốn ngươi lại theo ta cùng tắm tắm rửa." Dương Thiên Long thanh âm ngay tại Arlene bên tai vang lên, cái này không để cho nàng phải lại nữa lần thẹn thùng không dứt.

	"Được, được rồi." Arlene thanh âm mới vừa nói xong, chỉ gặp Arlene liền đem nàng trực tiếp ôm vào phòng tắm.

	Bởi vì lúc trước liền đã không có xuyên áo mưa tiến vào qua Arlene thân thể, thêm tới Arlene đi qua tính toán đo lường lúc này cũng không tại thời kỳ rụng trứng, vì vậy lúc này ở trong phòng tắm, Dương Thiên Long vậy không tiến hành nữa phòng vệ, một trận dạo đầu sau đó, liền xách súng tiến vào.

	Cái này nhà gỗ nhỏ phòng tắm cũng không lớn, ở bên trong vận động sau một hồi, Dương Thiên Long phát hiện rất là không thi triển được, nhẹ nhàng ở Arlene bên tai khẽ nói đôi câu sau đó, Dương Thiên Long liền ôm Arlene đi tới phòng ngủ.

	Ở phòng ngủ trên giường rộng lớn, một lần hôn thân mật sau đó, Dương Thiên Long lần nữa tiến vào Arlene thân thể. . .

	Hôm sau, giữa lúc Dương Thiên Long vẫn còn ở ngủ say lúc này bỗng nhiên Arlene một hồi sợ hãi kêu.

	"Trời ạ. . ."
