Chương 281: Chiến phạm Zakyev 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Hắn là xa thần chiến tranh chiến phạm." Chỉ gặp Vasily hung tợn nói.
	"Này, ông chủ, cái đó nhìn như rất nghiêm túc lão đầu có phải hay không Claire tiên sinh?" Ngay tại Dương Thiên Long mới vừa từ hệ thống lui ra ngoài sau đó, chỉ gặp Vasily lớn tiếng nói.

	Tìm theo tiếng nhìn lại, quả nhiên thấy cả người quần áo thường, tay cầm hắc túi Claire.

	"Đó chính là Claire tiên sinh, đi, xuống xe." Nói xong, Dương Thiên Long mở cửa xe nhảy xuống.

	Ra cửa trạm Claire nhìn chung quanh, hết sức ở đám người chung quanh trong tìm Dương Thiên Long bóng người.

	Cho đến Dương Thiên Long bọn họ nhảy xuống xe, hướng hắn đi lúc tới, Claire lúc này mới phát hiện.

	Những thứ khác người nước ngoài nhiệt tình so sánh, Claire nhìn qua tựa hồ rất là bình thản, hắn biểu tình trên mặt chỉ có từng tia mỉm cười, "Hoa Hạ Long, ngươi khỏe."

	"Claire tiên sinh, ngài khỏe, tối nay chúng ta ở Wilmots tiên sinh mới quán trọ, nơi này cách nơi đó rất gần." Dương Thiên Long cười nói.

	Claire gật đầu một cái, ngay sau đó đưa mắt về phía Vasily, "Hoa Hạ Long, vị này hẳn liên bang Nga người chứ ?"

	Không đợi Dương Thiên Long trả lời, Vasily chủ động vấn đáp đứng lên, "Đúng vậy, tiên sinh, ta liên bang Nga người."

	"Đã tham gia xa thần chiến tranh?" Lão đầu híp mắt hỏi.

	Vasily gật đầu một cái, "Đúng vậy, tiên sinh, ngài làm sao biết?"

	"Từ vết thương trên người của ngươi cùng với ngươi được làm đặc điểm." Claire vẻ mặt thành thật nói, "Ta ghét chiến tranh, nhưng là nhưng lại không thể không lần lượt đi cuốn vào, Hoa Hạ Long, tên nầy nhìn như hẳn rất có năng lực."

	"Đương nhiên biết, Vasily là toàn bộ có thể chiến sĩ." Dương Thiên Long cười nói, "Không có hắn sẽ không đồ."

	"Không sai, ta còn lấy là xa thần trong chiến tranh lưu lại đều là máy giết người." Claire không kiềm được gật đầu một cái, "Rất hân hạnh được biết ngươi, người làm."

	"Claire tiên sinh, ta kêu Vasily." Vasily lễ phép đáp lại.

	"Vasily?" Claire nói , "Trước Liên Xô một người anh hùng tên chữ, hướng ngươi kính chào."

	"Cám ơn." Vasily không kiềm được gật đầu cười.

	Trò chuyện mấy câu sau đó, ba người liền đi về phía ngừng ở một bên jeep Wrangler.

	Phi châu giao thông thiếu thiếu hệ thống hoạch định, đặc biệt là Bunia như vậy xa xôi địa phương, sân bay nơi này cũng không ngoại lệ.

	Chờ bọn họ sau khi lên xe, bỗng nhiên sau lưng một chiếc xe van lái tới, đem bọn họ đường trở về hoàn toàn lấp kín.

	"Những thứ này thằng đáng chết." Vasily nhanh tránh ánh đèn, lại nhấn cái loa một cái, không ngờ xe van dặm các người da đen vẫn là thờ ơ, chỉ gặp bọn họ từng cái gật gù đắc ý não, hết sức thích ý hưởng thụ nổ tung âm nhạc nơi mang tới khoái cảm.

	Thậm chí ngồi ở vị trí kế bên người lái người da đen một mặt hết sức khinh thường hướng Vasily giơ lên ngón tay giữa.

	"Này, người làm, phiền toái di chuyển vừa xuống xe." Vasily không kiềm được vỗ một cái đối phương cửa kiếng xe.

	Người bên trong xe còn là một bộ quên mình diễn cảm, cho đến Vasily đưa bàn tay biến thành quả đấm, bọn họ lúc này mới dừng lại.

	"Này, khốn kiếp, ngươi muốn làm gì?" Ngồi ở vị trí kế bên tài xế người một mặt khinh miệt nhìn Vasily nói.

	"Ta nói người làm, các người phải di chuyển di chuyển xe, nếu không ta không đi được." Vasily ngược lại là tâm bình khí hòa, tựa hồ không nhìn ra hắn đối với những thứ này người da đen có cái gì nơi bất mãn.

	"Dựa vào cái gì?" Tên kia dửng dưng, "Ngươi đặc biệt cũng không hỏi thăm một chút, chúng ta là ai."

	"Là ai ?" Vasily không kiềm được híp mắt lại, "Người làm, đây là nơi công cộng, các người không di chuyển xe, phía sau ai cũng không đi được, muốn hey mà nói, đi về nhà hey."

	"Cút đi, bố nguyện ý ở nơi nào hey liền ở nơi nào hey, còn đến phiên ngươi cái này người mù chít chít kỷ oai nghiêng?" Dựa vào phía sau còn có mình anh em, cái này người da đen thật sự là một chút cũng không khiếp đảm.

	"Ta đếm tới 3, nếu như các người không di chuyển xe, ta để cho các người khóc." Nói xong, Vasily hướng bên trong xe những người này ném làm người ta sinh sợ ánh mắt.

	"Sợ ngươi cái cầu." Cái này người da đen hiển nhiên cũng không phải cái gì hiền lành, chỉ gặp hắn vặn qua đầu, hướng về phía người phía sau lớn tiếng nói, "Này, các bạn trẻ, cái này thằng ngu muốn làm chúng ta."

	"Liền hắn cái mẹ." Phía sau người da đen cũng là mặt đầy khinh thường, bọn họ căn bản không có đem Vasily như vậy một cái nhìn như ngũ quan cũng không hoàn chỉnh người để ở chỗ này.

	"" ơ a, còn đặc biệt đựng Pirates of the Caribbean." Hàng sau người thấy Vasily tôn dung sau đó, không kiềm được châm chọc đứng lên.

	"Ta nói người mù ngươi nói muốn, người mù là một thằng ngu điểu. . ." Người da đen đặc biệt âm nhạc thiên phú lại để cho có hai tên chơi nổi lên RAP, bọn họ hoàn toàn đem trước mặt Vasily coi là vui vẻ quả.

	"Lăn xuống tới." Vasily thật sự là không có ở đây cùng bọn họ phí miệng lưỡi, chỉ gặp hắn một cái mở cửa xe, đem ngồi kế bên người lái người da đen kia ném một cái, liền ném tới lan can bên.

	Tên kia thậm chí còn không có làm rõ ràng là chuyện gì xảy ra, liền bị lan can lực trùng kích đụng hôn mê.

	"Cmn, tự tìm cái chết." Thấy mình đồng bạn bị người làm, phía sau các người da đen vội vàng đem cửa xe mở ra.

	Vasily không kiềm được một hồi cười nhạt, những thứ này xuống người căn bản còn không có thấy rõ ràng bên ngoài tình huống, liền trực tiếp bị KO đã hôn mê.

	Thấy vậy, bên trong người da đen không dám lỗ mãng.

	"Ta đếm tới 3, vội vàng đem xe cho ta dời đi, nếu không, ta cho các người đẩy xuống sườn núi." Vasily trợn to mắt, một mặt tức giận mười phần ra lệnh.

	" Uhm, đại ca, chúng ta bây giờ liền di chuyển." Bên trong người da đen dọa sợ không nhẹ, ở bọn họ nhận rõ sở trước mặt cái này người da trắng thực lực sau đó, giống như là con gà con vậy.

	Rất nhanh, cái này chiếc xe van liền dời đi chỗ khác vị trí.

	Vasily nhẹ nhàng nhìn bọn họ như nhau sau đó, mở cửa xe nhảy lên.

	"Oanh. . ." Chiếc này jeep Wrangler biến mất ở bóng đêm mịt mờ trong.Chương 281: Chiến phạm Zakyev 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Hắn là xa thần chiến tranh chiến phạm." Chỉ gặp Vasily hung tợn nói.

	Chiến phạm? Dương Thiên Long không kiềm được hướng Zakyev vị trí lần nữa nhìn, lúc này có bảy tám cái âu phục giày da người đem hắn vây ở ở giữa, tiếp một bóng người quen thuộc xuất hiện ở trước mặt hắn.

	Tên nầy chính là Stones.

	Vasily căm ghét Zakyev, nhưng là hắn nhưng là rất trấn tĩnh.

	"Tên kia nguyên lai là Liên Xô hồng quân một cái xe tăng lữ thiếu tướng, sau đó xa thần muốn độc lập, hắn gia nhập quân phản loạn, ở xa thần sau khi chiến tranh kết thúc, hắn là làm là chiến phạm, bất quá thật đáng tiếc, chúng ta cũng không có bắt được Zakyev." Vasily đưa mắt nhìn Zakyev lên xe, "Tên nầy rất là tinh thông cơ giới chế tạo, nghe nói hắn sau đó đặc biệt ở Phi Châu địa khu làm lên súng ống đạn dược làm ăn."

	"Hắn bây giờ còn dám hay không trở về nước?" Dương Thiên Long không kiềm được hỏi.

	"Không biết, bất quá tên nầy dịch dung, trước kia là râu quai hàm, một mặt hung tướng. Bây giờ nhìn qua giống như là giáo sư vậy ấm văn nho nhã." Vasily thấp giọng nói, "Bây giờ mặc dù xa thần quân phản loạn đã bị trấn áp, nhưng là vẫn có một số người ở xử lý trước hoạt động kinh khủng, ta cảm thấy cái này Zakyev là thoát không khỏi liên quan."

	"Xem ra người này năng lượng quả thật không nhỏ." Dương Thiên Long nhẹ ra một hơi.

	"Ông chủ, mới vừa rồi tiếp người hắn là ai ? Ngài biết sao?" Vasily không kiềm được hỏi.

	"Tên kia là Stones, người Mỹ, nguyên bản cùng Wilmots bọn họ quan hệ rất tốt, bất quá năm gần đây tên nầy nhưng là biến thành một người khác, vậy bắt đầu làm lên súng ống đạn dược mua bán, như quả không có gì bất ngờ xảy ra, bọn họ lúc này khẳng định có lui tới làm ăn."

	Vasily gật đầu một cái, "Zakyev là một rất tên giảo hoạt, ông chủ, hắn đi tới Bunia sau đó, ta cảm thấy chúng ta vẫn là phải nhiều chú ý điểm." Nói xong, Vasily sờ một cái chòm râu của mình, tiếp hắn có chút tự nhủ, "Ta hẳn đem râu thế."

	Dương Thiên Long gật đầu một cái, "Nói thật, chúng ta cũng là một mực đê đề phòng Stones, bất quá tên nầy luôn là xuất quỷ nhập thần."

	Sau khi nói xong, Dương Thiên Long mau đánh mở bản đồ điện tử, lựa chọn mục tiêu theo dõi kiểu mẫu.

	"Này, ông chủ, cái đó nhìn như rất nghiêm túc lão đầu có phải hay không Claire tiên sinh?" Ngay tại Dương Thiên Long mới vừa từ hệ thống lui ra ngoài sau đó, chỉ gặp Vasily lớn tiếng nói.

	Tìm theo tiếng nhìn lại, quả nhiên thấy cả người quần áo thường, tay cầm hắc túi Claire.

	"Đó chính là Claire tiên sinh, đi, xuống xe." Nói xong, Dương Thiên Long mở cửa xe nhảy xuống.

	Ra cửa trạm Claire nhìn chung quanh, hết sức ở đám người chung quanh trong tìm Dương Thiên Long bóng người.

	Cho đến Dương Thiên Long bọn họ nhảy xuống xe, hướng hắn đi lúc tới, Claire lúc này mới phát hiện.

	Những thứ khác người nước ngoài nhiệt tình so sánh, Claire nhìn qua tựa hồ rất là bình thản, hắn biểu tình trên mặt chỉ có từng tia mỉm cười, "Hoa Hạ Long, ngươi khỏe."

	"Claire tiên sinh, ngài khỏe, tối nay chúng ta ở Wilmots tiên sinh mới quán trọ, nơi này cách nơi đó rất gần." Dương Thiên Long cười nói.

	Claire gật đầu một cái, ngay sau đó đưa mắt về phía Vasily, "Hoa Hạ Long, vị này hẳn liên bang Nga người chứ ?"

	Không đợi Dương Thiên Long trả lời, Vasily chủ động vấn đáp đứng lên, "Đúng vậy, tiên sinh, ta liên bang Nga người."

	"Đã tham gia xa thần chiến tranh?" Lão đầu híp mắt hỏi.

	Vasily gật đầu một cái, "Đúng vậy, tiên sinh, ngài làm sao biết?"

	"Từ vết thương trên người của ngươi cùng với ngươi được làm đặc điểm." Claire vẻ mặt thành thật nói, "Ta ghét chiến tranh, nhưng là nhưng lại không thể không lần lượt đi cuốn vào, Hoa Hạ Long, tên nầy nhìn như hẳn rất có năng lực."

	"Đương nhiên biết, Vasily là toàn bộ có thể chiến sĩ." Dương Thiên Long cười nói, "Không có hắn sẽ không đồ."

	"Không sai, ta còn lấy là xa thần trong chiến tranh lưu lại đều là máy giết người." Claire không kiềm được gật đầu một cái, "Rất hân hạnh được biết ngươi, người làm."

	"Claire tiên sinh, ta kêu Vasily." Vasily lễ phép đáp lại.

	"Vasily?" Claire nói , "Trước Liên Xô một người anh hùng tên chữ, hướng ngươi kính chào."

	"Cám ơn." Vasily không kiềm được gật đầu cười.

	Trò chuyện mấy câu sau đó, ba người liền đi về phía ngừng ở một bên jeep Wrangler.

	Phi châu giao thông thiếu thiếu hệ thống hoạch định, đặc biệt là Bunia như vậy xa xôi địa phương, sân bay nơi này cũng không ngoại lệ.

	Chờ bọn họ sau khi lên xe, bỗng nhiên sau lưng một chiếc xe van lái tới, đem bọn họ đường trở về hoàn toàn lấp kín.

	"Những thứ này thằng đáng chết." Vasily nhanh tránh ánh đèn, lại nhấn cái loa một cái, không ngờ xe van dặm các người da đen vẫn là thờ ơ, chỉ gặp bọn họ từng cái gật gù đắc ý não, hết sức thích ý hưởng thụ nổ tung âm nhạc nơi mang tới khoái cảm.

	Thậm chí ngồi ở vị trí kế bên người lái người da đen một mặt hết sức khinh thường hướng Vasily giơ lên ngón tay giữa.

	"Này, người làm, phiền toái di chuyển vừa xuống xe." Vasily không kiềm được vỗ một cái đối phương cửa kiếng xe.

	Người bên trong xe còn là một bộ quên mình diễn cảm, cho đến Vasily đưa bàn tay biến thành quả đấm, bọn họ lúc này mới dừng lại.

	"Này, khốn kiếp, ngươi muốn làm gì?" Ngồi ở vị trí kế bên tài xế người một mặt khinh miệt nhìn Vasily nói.

	"Ta nói người làm, các người phải di chuyển di chuyển xe, nếu không ta không đi được." Vasily ngược lại là tâm bình khí hòa, tựa hồ không nhìn ra hắn đối với những thứ này người da đen có cái gì nơi bất mãn.

	"Dựa vào cái gì?" Tên kia dửng dưng, "Ngươi đặc biệt cũng không hỏi thăm một chút, chúng ta là ai."

	"Là ai ?" Vasily không kiềm được híp mắt lại, "Người làm, đây là nơi công cộng, các người không di chuyển xe, phía sau ai cũng không đi được, muốn hey mà nói, đi về nhà hey."

	"Cút đi, bố nguyện ý ở nơi nào hey liền ở nơi nào hey, còn đến phiên ngươi cái này người mù chít chít kỷ oai nghiêng?" Dựa vào phía sau còn có mình anh em, cái này người da đen thật sự là một chút cũng không khiếp đảm.

	"Ta đếm tới 3, nếu như các người không di chuyển xe, ta để cho các người khóc." Nói xong, Vasily hướng bên trong xe những người này ném làm người ta sinh sợ ánh mắt.

	"Sợ ngươi cái cầu." Cái này người da đen hiển nhiên cũng không phải cái gì hiền lành, chỉ gặp hắn vặn qua đầu, hướng về phía người phía sau lớn tiếng nói, "Này, các bạn trẻ, cái này thằng ngu muốn làm chúng ta."

	"Liền hắn cái mẹ." Phía sau người da đen cũng là mặt đầy khinh thường, bọn họ căn bản không có đem Vasily như vậy một cái nhìn như ngũ quan cũng không hoàn chỉnh người để ở chỗ này.

	"" ơ a, còn đặc biệt đựng Pirates of the Caribbean." Hàng sau người thấy Vasily tôn dung sau đó, không kiềm được châm chọc đứng lên.

	"Ta nói người mù ngươi nói muốn, người mù là một thằng ngu điểu. . ." Người da đen đặc biệt âm nhạc thiên phú lại để cho có hai tên chơi nổi lên RAP, bọn họ hoàn toàn đem trước mặt Vasily coi là vui vẻ quả.

	"Lăn xuống tới." Vasily thật sự là không có ở đây cùng bọn họ phí miệng lưỡi, chỉ gặp hắn một cái mở cửa xe, đem ngồi kế bên người lái người da đen kia ném một cái, liền ném tới lan can bên.

	Tên kia thậm chí còn không có làm rõ ràng là chuyện gì xảy ra, liền bị lan can lực trùng kích đụng hôn mê.

	"Cmn, tự tìm cái chết." Thấy mình đồng bạn bị người làm, phía sau các người da đen vội vàng đem cửa xe mở ra.

	Vasily không kiềm được một hồi cười nhạt, những thứ này xuống người căn bản còn không có thấy rõ ràng bên ngoài tình huống, liền trực tiếp bị KO đã hôn mê.

	Thấy vậy, bên trong người da đen không dám lỗ mãng.

	"Ta đếm tới 3, vội vàng đem xe cho ta dời đi, nếu không, ta cho các người đẩy xuống sườn núi." Vasily trợn to mắt, một mặt tức giận mười phần ra lệnh.

	" Uhm, đại ca, chúng ta bây giờ liền di chuyển." Bên trong người da đen dọa sợ không nhẹ, ở bọn họ nhận rõ sở trước mặt cái này người da trắng thực lực sau đó, giống như là con gà con vậy.

	Rất nhanh, cái này chiếc xe van liền dời đi chỗ khác vị trí.

	Vasily nhẹ nhàng nhìn bọn họ như nhau sau đó, mở cửa xe nhảy lên.

	"Oanh. . ." Chiếc này jeep Wrangler biến mất ở bóng đêm mịt mờ trong.
