Chương 273: Khôi hài tiếng địa phương 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Ở sân bay, Lý Đào lãnh đạo dân công ào ào, cái này chi đội ngũ vậy đưa tới không ít người chú ý.
	"Anh họ, mới rồi có người hỏi cái này tiền có thể hay không từ bọn họ tiền lương bên trong trừ?" Lý Đào nhỏ giọng hỏi.

	"Trừ?" Dương Thiên Long không kiềm được cười một tiếng, tiếp hắn lắc lắc đầu nói, "Ngươi cho tất cả mọi người nói, sau này ăn ở cũng không cần từ tiền lương bên trong trừ, để cho bọn họ an tâm làm việc cũng được, làm rất khá còn có khen thưởng."

	Lý Đào cũng là người tuổi trẻ, dẫn đội đi ra vậy không dễ dàng, thấy anh họ rộng lượng như vậy, hắn vội vàng đem Dương Thiên Long lời mới vừa nói nguyên nguyên bản bản cho những người dân kia công lập lại một lần.

	Vừa nghe cho bà chủ Dương làm việc phúc lợi lại so tưởng tượng còn tốt hơn, tất cả mọi người trong mắt đều không khỏi thả nổi lên quang, nhìn qua cũng đều tinh thần không thiếu.

	Ra hải quan, mang đội ngũ ào ào đi về phía phi trường một quán ăn Tàu.

	Vừa gặp trước đến từ quê hương quý khách, ông chủ dĩ nhiên là mặt đầy vui mừng, "Ông chủ, ăn chút gì?"

	Tất cả mọi người toàn bộ cộng thêm tổng cộng là 24 người, nơi này bàn ăn là 4 người một bàn, vì vậy phân xuống vừa lúc là 6 bàn.

	"Mỗi bàn một phần thịt chiên xào, ma bà đậu hủ, kho cá, Đông Pha chân giò, giấm bắp cải cộng thêm cải xanh canh. . ." Đối với những thứ này dân công, Dương Thiên Long cũng là không keo kiệt, thẳng điểm đứng lên.

	"Được, nửa giờ sau mang thức ăn lên." Nói xong, ông chủ tiêu sái ở phía trên tính cái tổng số.

	Những người dân kia công vừa thấy tổng cộng là 6800 nguyên, người người không kiềm được có chút giật mình không thôi, khá lắm cũng sắp để lên người cả nhà một năm sinh hoạt phí.

	Cùng trên thế giới tuyệt đại đa số người nước ngoài như nhau, Vasily đối với món Hoa cũng là tràn đầy hảo cảm, hắn ăn lúc thức dậy vậy chút nào không hàm hồ.

	Ăn rồi bữa trưa sau đó, mang theo những thứ này quê nhà tới dân công chạy thẳng tới bãi đậu xe.

	Cùng lần đầu tiên tới Phi châu người Hoa như nhau, Lý Đào, Hà Quân bọn họ vậy đối với nơi này tràn đầy tò mò, khi bọn hắn thấy ở sân bay vùng lân cận người Hoa lại là nhiều như vậy sau đó, thậm chí có chút không dám tin tưởng, mình bây giờ đã là thân ở ngoài vạn dặm Phi Châu.

	Hà Quân bỗng nhiên nhỏ giọng nói: "Thiên Long, ngươi còn nhớ Nhị Ngưu sao?"

	Dương Thiên Long gật đầu một cái, "Nhớ, ngươi cùng hắn giữa sự việc có không có kết quả?"

	Hà Quân lắc đầu một cái, "Ta nghe nói tên khốn kiếp kia liền núp ở Phi Châu, nhưng là về phần đang quốc gia nào, cái này ta cũng không biết."

	"Nhị Ngưu ở Phi Châu làm gì?" Dương Thiên Long rất là tò mò.

	"Nghe nói là cho người làm lưu manh, xem bãi." Hà Quân nói tới Nhị Ngưu chính là cắn răng nghiến lợi, nếu không phải Nhị Ngưu cái này tên lường gạt, hắn là không biết vạn dặm điều điều đi tới nơi này Phi Châu đi làm, không có gì bất ngờ xảy ra, hắn hiện ở nơi này hãng may quần áo ông chủ nhỏ làm ăn cũng là gió nổi nước lên.

	"Phi Châu lớn như vậy, muốn tìm được Nhị Ngưu thật đúng là không đơn giản."

	"Ai, ta người này cũng chỉ nhận mệnh." Hà Quân ngược lại cũng nghĩ mở, "Không quá ta thấy Nhị Ngưu, bố tuyệt đối phải đem chân hắn cần cắt đứt."

	"Gặp được phải thật tốt thu thập một chút hắn." Dương Thiên Long vẻ mặt thành thật nói.

	Từ Kinshasa sân bay đến không quân phi trường quân sự ước chừng nửa giờ, chờ bọn họ đến lúc này Hank đã sớm thản nhiên tự đắc uống thức uống.

	"Ngồi máy bay trực thăng?" Vừa gặp trước bọn họ muốn ngồi máy bay trực thăng đi Bunia, tất cả mọi người đều rất hưng phấn, dẫu sao dưới mắt bọn họ cũng là ngồi qua máy bay chở hành khách người, cái này máy bay trực thăng còn thật không có ngồi qua.

	Hơn nữa Mi-26 to lớn dáng người để cho bọn họ không kiềm được trố mắt nghẹn họng, từng cái trong lòng nói, cái này đặc biệt nơi nào là cái gì máy bay trực thăng, rõ ràng chính là lớn máy bay mà.

	Lý Đào cùng Hà Quân cầm lấy điện thoại ra chính là ken két một lần chụp hình, chờ bọn họ quay xong chuẩn bị phát đến nhóm bạn bè lúc này lúc này mới phát hiện điện thoại di động đã sớm ngừng máy thiếu phí.

	"Hank, đem sau nhà kho cửa mở ra." Vasily hướng về phía Hank lớn tiếng nói.

	Hank gật đầu một cái, ngay sau đó nhấn khởi động nút ấn, tiếp Mi-26 sau nhà kho cửa từ từ mở ra.

	Làm Lý Đào cùng Hà Quân bọn họ thấy chiếc máy bay này bên trong lại còn có chiếc jeep Wrangler lúc này lại là kinh ngạc không thôi.

	Tất cả mọi người rối rít kinh ngạc.

	"Trời ạ nha, lớn như vậy cơ hội cái mông."

	"Cái này Quy nhi máy bay quá bản bó nha, lang cái lớn."

	"Ngày hắn cái tiên nhân bản bản, cái này cmn là trực thăng bụi đất cơ hội rất?"

	"Tốt an nhàn, tốt ba thích, thật thần kỳ, cùng đến cho vợ đứa nhỏ thuyết cáp cái này bụi đất cơ hội tốt gà mà lớn nha. . ."

	. . .

	Ngay tức thì, chuỗi dài Ba Thục tiếng địa phương quanh quẩn ở Dương Thiên Long bên tai, Ba Thục nói vốn là có một loại thiên nhiên hài hước ở bên trong, nghe lời này một cái, Dương Thiên Long hơn nữa cảm thấy không khỏi tức cười.

	Tuy nói khoang máy bay bên trong không có chỗ ngồi, nhưng là Mi-26 rộng rãi bên trong khoang máy bay để cho bọn họ cảm thấy thậm chí so máy bay chở hành khách còn muốn thoải mái, bọn họ chỉ cần đem hành lý ném xuống đất, đặt mông ngồi ở phía trên là được.

	"Cái này cây tìm tìm hào phóng không hào phóng lấy lượng ha ha xiêm áo lẩm bẩm?" Một cái trung niên dân công nhìn trên đầu cây kia to lớn dây thép, không nhịn được hỏi. (tìm tìm ở Tứ Xuyên trong lời nói là sợi dây ý nghĩa)

	"Có gì tử không hào phóng lấy mà, cùng đến đem ngươi đứa nhỏ diêu khố lấy ra lượng dậy." Một cái khác dân công nói.

	"Nếu như hào phóng lấy mà nói, ngươi đứa nhỏ cũng có thể đem lưỡi câu lấy ra phơi dậy, xem ha ha ngươi lưỡi câu hắc không tối." (lưỡi câu, cái mông ý nghĩa)

	Vốn là lấy làm cho này hơn ba tiếng phi hành rất là khô khan nhàm chán, nhưng là có quê nhà đám này dân công sau đó, cứng rắn là sống sờ sờ đem bên trong khoang máy bay coi là Lý bá thanh tán đả đánh giá sách.

	Từ đầu tới đuôi, cả khoang bên trong phi thường náo nhiệt.Chương 273: Khôi hài tiếng địa phương 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Ở sân bay, Lý Đào lãnh đạo dân công ào ào, cái này chi đội ngũ vậy đưa tới không ít người chú ý.

	Phàm là lần đầu tiên đến Phi châu người Hoa, không tránh được sẽ bị gây khó khăn, lúc này Lý Đào bọn họ cũng không ngoại lệ, bởi vì mọi người đi ra đều là ôm kiếm nhiều tiền ý tưởng, vì vậy trong túi cũng không có đựng mấy đồng tiền, vì vậy đối mặt hải quan nhân viên gây khó khăn, Lý Đào bọn họ đầu óc mơ hồ.

	Thấy chuyến bay đến nửa giờ, Lý Đào, Hà Quân bọn họ còn chưa ra, Dương Thiên Long lúc này mới ý thức được em trai họ(ngoại) bọn họ vô cùng có thể bị gây khó khăn.

	Hao tốn mấy chục ngàn Congo Francs sau đó, Dương Thiên Long rốt cuộc ở hải quan miệng thấy Lý Đào bọn họ.

	"Anh họ." Vừa gặp trước Dương Thiên Long, Lý Đào trước mắt sáng lên.

	"Cho không có tiền?" Dương Thiên Long không kiềm được hỏi.

	"Chưa cho." Lý Đào bọn họ lắc đầu một cái, "Mọi người cũng không nỡ bỏ, trên mình cứ như vậy một chút tiền, cho bọn họ, chúng ta còn làm cái gì?"

	Một bên Hà Quân vậy gật đầu một cái, "Chúng ta vất vả đi ra muốn kiếm chút tiền, dựa vào cái gì cho bọn họ tiền típ."

	"Hai ngươi vẫn đủ khôn khéo mà." Dương Thiên Long cười một tiếng, nhìn phía sau cái này hơn hai mươi cái đến từ quê hương dân công, Dương Thiên Long tranh thủ thời gian để cho Hà Quân cùng Lý Đào gọi dậy bọn họ tới.

	Những thứ này dân công nhìn qua trạng thái tinh thần cũng không tệ lắm, từng cái trung thực ba đóng, đến Phi Châu sau đó cũng là yên lặng, trong lòng cũng không có quá nhiều bất mãn, thấy ông chủ lớn lên tiếng sau đó, lúc này mới từng cái cõng lên mình to lớn gân bò túi từ dưới đất đứng lên.

	Cùng Lưu Thắng Lợi mang dân công đưa tiền như nhau, Dương Thiên Long vậy báo một tổng số người, dựa theo tổng nhân số tiền cùng nhau cho hết.

	"Anh họ, mới rồi có người hỏi cái này tiền có thể hay không từ bọn họ tiền lương bên trong trừ?" Lý Đào nhỏ giọng hỏi.

	"Trừ?" Dương Thiên Long không kiềm được cười một tiếng, tiếp hắn lắc lắc đầu nói, "Ngươi cho tất cả mọi người nói, sau này ăn ở cũng không cần từ tiền lương bên trong trừ, để cho bọn họ an tâm làm việc cũng được, làm rất khá còn có khen thưởng."

	Lý Đào cũng là người tuổi trẻ, dẫn đội đi ra vậy không dễ dàng, thấy anh họ rộng lượng như vậy, hắn vội vàng đem Dương Thiên Long lời mới vừa nói nguyên nguyên bản bản cho những người dân kia công lập lại một lần.

	Vừa nghe cho bà chủ Dương làm việc phúc lợi lại so tưởng tượng còn tốt hơn, tất cả mọi người trong mắt đều không khỏi thả nổi lên quang, nhìn qua cũng đều tinh thần không thiếu.

	Ra hải quan, mang đội ngũ ào ào đi về phía phi trường một quán ăn Tàu.

	Vừa gặp trước đến từ quê hương quý khách, ông chủ dĩ nhiên là mặt đầy vui mừng, "Ông chủ, ăn chút gì?"

	Tất cả mọi người toàn bộ cộng thêm tổng cộng là 24 người, nơi này bàn ăn là 4 người một bàn, vì vậy phân xuống vừa lúc là 6 bàn.

	"Mỗi bàn một phần thịt chiên xào, ma bà đậu hủ, kho cá, Đông Pha chân giò, giấm bắp cải cộng thêm cải xanh canh. . ." Đối với những thứ này dân công, Dương Thiên Long cũng là không keo kiệt, thẳng điểm đứng lên.

	"Được, nửa giờ sau mang thức ăn lên." Nói xong, ông chủ tiêu sái ở phía trên tính cái tổng số.

	Những người dân kia công vừa thấy tổng cộng là 6800 nguyên, người người không kiềm được có chút giật mình không thôi, khá lắm cũng sắp để lên người cả nhà một năm sinh hoạt phí.

	Cùng trên thế giới tuyệt đại đa số người nước ngoài như nhau, Vasily đối với món Hoa cũng là tràn đầy hảo cảm, hắn ăn lúc thức dậy vậy chút nào không hàm hồ.

	Ăn rồi bữa trưa sau đó, mang theo những thứ này quê nhà tới dân công chạy thẳng tới bãi đậu xe.

	Cùng lần đầu tiên tới Phi châu người Hoa như nhau, Lý Đào, Hà Quân bọn họ vậy đối với nơi này tràn đầy tò mò, khi bọn hắn thấy ở sân bay vùng lân cận người Hoa lại là nhiều như vậy sau đó, thậm chí có chút không dám tin tưởng, mình bây giờ đã là thân ở ngoài vạn dặm Phi Châu.

	Hà Quân bỗng nhiên nhỏ giọng nói: "Thiên Long, ngươi còn nhớ Nhị Ngưu sao?"

	Dương Thiên Long gật đầu một cái, "Nhớ, ngươi cùng hắn giữa sự việc có không có kết quả?"

	Hà Quân lắc đầu một cái, "Ta nghe nói tên khốn kiếp kia liền núp ở Phi Châu, nhưng là về phần đang quốc gia nào, cái này ta cũng không biết."

	"Nhị Ngưu ở Phi Châu làm gì?" Dương Thiên Long rất là tò mò.

	"Nghe nói là cho người làm lưu manh, xem bãi." Hà Quân nói tới Nhị Ngưu chính là cắn răng nghiến lợi, nếu không phải Nhị Ngưu cái này tên lường gạt, hắn là không biết vạn dặm điều điều đi tới nơi này Phi Châu đi làm, không có gì bất ngờ xảy ra, hắn hiện ở nơi này hãng may quần áo ông chủ nhỏ làm ăn cũng là gió nổi nước lên.

	"Phi Châu lớn như vậy, muốn tìm được Nhị Ngưu thật đúng là không đơn giản."

	"Ai, ta người này cũng chỉ nhận mệnh." Hà Quân ngược lại cũng nghĩ mở, "Không quá ta thấy Nhị Ngưu, bố tuyệt đối phải đem chân hắn cần cắt đứt."

	"Gặp được phải thật tốt thu thập một chút hắn." Dương Thiên Long vẻ mặt thành thật nói.

	Từ Kinshasa sân bay đến không quân phi trường quân sự ước chừng nửa giờ, chờ bọn họ đến lúc này Hank đã sớm thản nhiên tự đắc uống thức uống.

	"Ngồi máy bay trực thăng?" Vừa gặp trước bọn họ muốn ngồi máy bay trực thăng đi Bunia, tất cả mọi người đều rất hưng phấn, dẫu sao dưới mắt bọn họ cũng là ngồi qua máy bay chở hành khách người, cái này máy bay trực thăng còn thật không có ngồi qua.

	Hơn nữa Mi-26 to lớn dáng người để cho bọn họ không kiềm được trố mắt nghẹn họng, từng cái trong lòng nói, cái này đặc biệt nơi nào là cái gì máy bay trực thăng, rõ ràng chính là lớn máy bay mà.

	Lý Đào cùng Hà Quân cầm lấy điện thoại ra chính là ken két một lần chụp hình, chờ bọn họ quay xong chuẩn bị phát đến nhóm bạn bè lúc này lúc này mới phát hiện điện thoại di động đã sớm ngừng máy thiếu phí.

	"Hank, đem sau nhà kho cửa mở ra." Vasily hướng về phía Hank lớn tiếng nói.

	Hank gật đầu một cái, ngay sau đó nhấn khởi động nút ấn, tiếp Mi-26 sau nhà kho cửa từ từ mở ra.

	Làm Lý Đào cùng Hà Quân bọn họ thấy chiếc máy bay này bên trong lại còn có chiếc jeep Wrangler lúc này lại là kinh ngạc không thôi.

	Tất cả mọi người rối rít kinh ngạc.

	"Trời ạ nha, lớn như vậy cơ hội cái mông."

	"Cái này Quy nhi máy bay quá bản bó nha, lang cái lớn."

	"Ngày hắn cái tiên nhân bản bản, cái này cmn là trực thăng bụi đất cơ hội rất?"

	"Tốt an nhàn, tốt ba thích, thật thần kỳ, cùng đến cho vợ đứa nhỏ thuyết cáp cái này bụi đất cơ hội tốt gà mà lớn nha. . ."

	. . .

	Ngay tức thì, chuỗi dài Ba Thục tiếng địa phương quanh quẩn ở Dương Thiên Long bên tai, Ba Thục nói vốn là có một loại thiên nhiên hài hước ở bên trong, nghe lời này một cái, Dương Thiên Long hơn nữa cảm thấy không khỏi tức cười.

	Tuy nói khoang máy bay bên trong không có chỗ ngồi, nhưng là Mi-26 rộng rãi bên trong khoang máy bay để cho bọn họ cảm thấy thậm chí so máy bay chở hành khách còn muốn thoải mái, bọn họ chỉ cần đem hành lý ném xuống đất, đặt mông ngồi ở phía trên là được.

	"Cái này cây tìm tìm hào phóng không hào phóng lấy lượng ha ha xiêm áo lẩm bẩm?" Một cái trung niên dân công nhìn trên đầu cây kia to lớn dây thép, không nhịn được hỏi. (tìm tìm ở Tứ Xuyên trong lời nói là sợi dây ý nghĩa)

	"Có gì tử không hào phóng lấy mà, cùng đến đem ngươi đứa nhỏ diêu khố lấy ra lượng dậy." Một cái khác dân công nói.

	"Nếu như hào phóng lấy mà nói, ngươi đứa nhỏ cũng có thể đem lưỡi câu lấy ra phơi dậy, xem ha ha ngươi lưỡi câu hắc không tối." (lưỡi câu, cái mông ý nghĩa)

	Vốn là lấy làm cho này hơn ba tiếng phi hành rất là khô khan nhàm chán, nhưng là có quê nhà đám này dân công sau đó, cứng rắn là sống sờ sờ đem bên trong khoang máy bay coi là Lý bá thanh tán đả đánh giá sách.

	Từ đầu tới đuôi, cả khoang bên trong phi thường náo nhiệt.
