Trăng đang nhô cao.

	Đường Không tiểu thần hoà thượng sau lưng, đâm vào một chi dao găm.
	Mà ở cuối đường phố, Hỏa Vực Tà Tăng đã trốn xa.

	"Hắn chạy không thoát."

	Dịch Tể Trạch nhìn về phía vị này không chết Phật sống, thật sâu thi lễ một cái, nói: "Đệ tử đi trước bắt hắn trở về."

	Đường Không cười chúm chím gật đầu, nói: "Được."

	Dịch Tể Trạch đang muốn muốn phân phó Minh Tín hòa thượng, cực kỳ bảo vệ Phật sống, nhưng nhớ tới mới vừa rồi Phật sống không chết tình cảnh, liền vậy thu lời này, trực tiếp hướng Hỏa Vực Tà Tăng chạy trốn phương hướng, đuổi theo.

	Dịch Tể Trạch khinh công, là nổi tiếng thiên hạ.

	Dựa theo Đường Không suy tính, Dịch Tể Trạch khinh công, sẽ không kém hơn Bạch viên việt giản thân pháp, mà Dịch Tể Trạch đã đem cái này một môn tu luyện thân pháp đến đại thành thành tựu, phát huy đến sâu sắc đến nước.

	Cũng chính là vì vậy, Dịch Tể Trạch mới có thể chân chánh từ đông sơn trốn ra được.

	"Bất quá. . . Dựa theo chiêu thức, nhất định sẽ xuất hiện tình huống ngoài ý muốn, Dịch Tể Trạch không có thể đem Hỏa Vực Tà Tăng mang về, ta còn được bôn ba vất vả tốt dài một đoạn thời gian."

	Đường Không nghĩ tới đây, cũng là không biết làm sao, buồn bã thở dài, đối với loại này chiêu thức, đã tuyệt vọng.

	Mà ngay lúc này, phía trước cuối đường phố, một bóng người nhanh chóng tới gần.

	Dịch Tể Trạch!

	Mà ở trong tay hắn, tựa hồ xách hình một người sinh vật.

	Đường Không sợ run lên, gần đây bị bẫy thói quen hắn, ý niệm đầu tiên chính là: "Trời ạ! Thật để cho Dịch Tể Trạch cho bắt trở lại? Lúc này thật không có cái hố sao?"

	Bành một tiếng!

	Dịch Tể Trạch đem Hỏa Vực Tà Tăng ném xuống đất.

	Cái này to lớn to con, hung hãn tuyệt luân Hỏa Vực Tà Tăng, một tay lửa độc, kinh hãi các phe, được gọi là nguyên cảnh dưới, nhân vật đáng sợ nhất, cũng là cực kỳ tà dị người điên, nhưng như vậy chật vật nằm ở Đường Không trước mặt.

	"A di đà phật."

	Đường Không mắt nhìn xuống xuống, nói: "Ngươi cùng tiểu hoà thượng duyên phận không cạn, hôm nay rốt cuộc được gặp."

	Hỏa Vực Tà Tăng ngẩng đầu nhìn cái này đứa nhỏ, sắc mặt biến đổi không chừng.

	Vào giờ phút này, hắn nhất là sợ hãi, không phải Dịch Tể Trạch.

	Mà là cái này không chết tiểu hòa thượng.

	Đây thật là Phật sống!

Converter Dzung Kiều cầu ủng hộ bộ Phố Wall Truyền Kỳ <a href="https://truyen.tangthuvien.vn/doc-truyen/hoa-nhi-nhai-truyen-ky">https://truyen.tangthuvien.vn/doc-truyen/hoa-nhi-nhai-truyen-ky</a>Trăng đang nhô cao.

	Đường Không tiểu thần hoà thượng sau lưng, đâm vào một chi dao găm.

	Đâm rách tim!

	Còn đặc biệt mất trí quấy rối khuấy!

	". . ."

	Đường Không vốn đã cảm thấy, sự việc đã bụi bậm lắng xuống.

	Hỏa Vực Tà Tăng không chạy thoát, trùng vực độc sư vậy không chạy thoát.

	Giải trừ lửa độc đối với tiên thiên thái hư Tử khí công quyết mà nói, cũng không khó khăn coi là việc khó.

	Nhưng ai có thể nghĩ tới, Hỏa Vực Tà Tăng lại còn có người giúp?

	Tối tăm vực thích khách, tin tức lên nói, tên nầy theo Hỏa Vực Tà Tăng, không phải có thù oán sao?

	Ở trong một cái chớp mắt này, Đường Không trong lòng thoáng qua vô số ý niệm.

	Lão tử lại có thể coi là lọt một bước? Cái này liền trực tiếp tài?

	Ta nhưng mà xài 3 nghìn giới linh mới đi tới cái này kim thân thế giới!

	Mặc dù bây giờ nhìn lại, đã từ hai môn công pháp và xá lợi tử phía trên, kiếm về cái này 3 nghìn giới linh, nhưng là cứ như vậy tài, cũng quá không cam lòng chứ ?

	Theo cái ý niệm này thoáng qua, Đường Không suy nghĩ, bộc phát chậm chạp, cảm ứng bộc phát bóng tối.

	"Phật sống, ta đưa ngươi hồi Tây Thiên."

	Tối tăm v�
