 	088 Chữa thương cái quái gì
	Tiếp nhận hiện thực đi tỷ tỷ, trên thế giới này có ít người, chính là có thể dựa vào mặt ăn cơm a!

	Hứa Tri Hồ vỗ vỗ mu bàn tay của nàng biểu hiện an ủi, nhìn nhìn lại bên kia bị hội fan hâm mộ vây quanh Xích tỷ muội, đột nhiên cảm thấy giống như không cần vất vả chui vào Tỏa Yêu Tháp, nói không chừng chỉ cần để Xích Xích hướng Tỏa Yêu Tháp phía trước một trạm, những tên kia liền sẽ chủ động đem Tô Đát Kỷ đóng gói đưa ra đến, thuận tiện còn buộc cái màu đỏ nơ con bướm cái gì. . .

	"Không có việc gì, không nên nản chí." Ngược lại là lúc này, Vân Phàm rất nhanh liền điều chỉnh tâm tình, còn rất nghiêm túc cho hắn động viên, "Sư đệ a, ngươi hảo hảo tu luyện, tranh thủ sớm ngày luyện chế ra nhất phẩm tiên hạm, nói không chừng tương lai có một ngày, còn có thể một thân vị này Hoa sư muội dung mạo. . ."

	"Kia cái gì, kỳ thật ta hôn qua. . ." Hứa Tri Hồ thành thành thật thật trả lời.

	Đừng làm rộn, Vân Phàm nhịn không được lật ra cái đẹp mắt bạch nhãn, nghĩ nghĩ lại tranh thủ thời gian an ủi hắn: "Kỳ thật đâu, lui một bước tới nói, ta còn nhận biết rất nhiều mỹ mạo hạm Linh muội muội, đến lúc đó giới thiệu cho ngươi một vị. . ."

	Xoạt xoạt!

	Trong chớp nhoáng này, Hứa Tri Hồ thề mình cảm thấy sát khí, không sai, là chân chính mãnh liệt mà đến sát khí a!

	Cách đó không xa đang cười ngâm ngâm trò chuyện Xích tỷ muội, đột nhiên liền bất động thanh sắc bóp nát một bình đan dược, ngay sau đó lại lập tức khôi phục tươi đẹp tiếu dung: "Các vị sư huynh sư tỷ, kỳ thật thiên đóa tu vi không đủ, thật sợ liên lụy các ngươi, nếu không ta trước tìm mấy vị tu vi tương đương. . ."

	Mới nói được một nửa, nàng lơ đãng quay đầu, đột nhiên liền khẽ run lên, che lấy môi anh đào trợn to đôi mắt sáng, lộ ra khó có thể tin kinh hỉ biểu lộ!

	"Thế nào?" Một đoàn Thục Sơn đệ tử rất kinh ngạc chỉnh tề quay đầu, sau đó liền thấy cách đó không xa Hứa Tri Hồ cùng Vân Phàm.

	Sau một khắc, không đợi mọi người tới được đến phản ứng, Xích tỷ muội đột nhiên liền dẫn theo mẫu đơn váy, mặt mũi tràn đầy kinh hỉ nhanh nhẹn đến, trên ngọc dung càng là mang theo vài phần kinh ngạc, lại dẫn mấy phần vui sướng, còn mang theo vài phần tương tư cùng quyến luyến, thậm chí liền trong mắt sáng đều đã ba quang doanh doanh. . .

	"A?" Vân Phàm nhìn xem chính tới Xích tỷ muội, nhịn không được lôi kéo Hứa Tri Hồ góc áo: "Sư đệ a, vị kia Hoa sư muội giống như đang nhìn ta, ngươi nói nàng có phải hay không dự định gia nhập đội ngũ của chúng ta?"

	"Ta cảm thấy đi. . ." Hứa Tri Hồ rất im lặng che mặt, căn cứ hắn đối Xích tỷ muội nhất quán tính cách hiểu rõ, kế tiếp phát sinh tình trạng rất có thể là ——

	Quả nhiên, vài giây sau, diễn kỹ toàn bộ triển khai Xích Xích đã vọt tới trước mặt hắn, run rẩy che lấy môi anh đào, lệ quang liên liên nhìn xem hắn, sau đó phảng phất mất đi tất cả khí lực giống như run giọng hỏi: "Ân, ân công, là, là ngươi, thật là ngươi sao?"

	Đợi lát nữa, ân, ân công?

	Trong chốc lát, bên cạnh Trần sư huynh cũng tốt, chung quanh một đoàn Thục Sơn đệ tử cũng tốt, tất cả đều mặt mũi tràn đầy chấn kinh trợn mắt hốc mồm, Vân Phàm càng là đầy mắt đều là tiểu tinh tinh, bát quái chi hỏa cháy hừng hực, liều mạng nhìn chằm chằm Hứa Tri Hồ cùng Xích tỷ muội nhìn, hận không thể hiện tại liền lấy cái tiểu Bổn Bổn ra bên cạnh đặt câu hỏi bên cạnh ghi chép.

	"Ta liền biết!" Hứa Tri Hồ rất tang thương im lặng nhìn trời, thầm nghĩ Xích Xích ngươi phẩm chất đâu.

	Bạn trai đều muốn bị người đoạt, còn quản cái gì phẩm chất a, Xích tỷ muội mới mặc kệ nhiều như vậy, tiếp tục phát huy mình có thể cầm tiểu kim nhân diễn kỹ phái thực lực, lúc này liền doanh doanh quỳ mọp xuống đất!

	Sau một khắc, không đợi đám người kịp phản ứng, nàng đã có chút ngẩng lê hoa đái vũ gương mặt xinh đẹp, dùng loại kia đủ để cho bất luận cái gì giống đực sinh vật mềm lòng ánh mắt nhìn xem Hứa Tri Hồ, điềm đạm đáng yêu nghẹn ngào đến khóc không thành tiếng: "Ân công. . . Nô, nô gia, nô gia xem như tìm tới ngươi!"

	Phốc, coi như Hứa Tri Hồ đã sớm có chuẩn bị tâm lý, lúc này cũng không nhịn được phun ra.

	Nhìn nhìn lại bên cạnh, toàn trường sớm đã là lặng ngắt như tờ, một đám người tất cả đều trợn mắt hốc mồm, trực tiếp tiến vào chấn kinh xem kịch hình thức, Vân Phàm còn kích động đến không được, đột nhiên rất hối hận hôm nay đi ra ngoài không chuẩn bị mấy cái thủy kính thuật, loại này trăm năm khó gặp tràng diện, nên hướng toàn bộ Thục Sơn trực tiếp mới đúng a!

	Quỷ dị trong yên tĩnh, qua nửa ngày, ngược lại là vị kia Trần sư huynh phản ứng đầu tiên, khó có thể tin ngạc nhiên nói: "Chờ một chút, Hoa sư muội, chẳng lẽ nói Ninh sư đệ, chính là. . . Năm đó ở yêu ma lúc công kích cứu được ngươi vị kia ân nhân?"

	Cái này còn phải hỏi sao, Xích tỷ muội lúc này đã có chút ngửa đầu thu về song chưởng, lệ quang lã chã nhìn qua Hứa Tri Hồ: "A..., ân công, ngươi thật quên sao? Ngày đó, ta ở Tuyệt Tình Cốc ngọn nguồn hái thuốc, bị một cái tên là Megatron yêu ma tập kích, trúng trong truyền thuyết Trái Ác Quỷ kịch độc, nguy cơ sớm tối thời điểm, là ân công ngươi đột nhiên từ trên trời giáng xuống. . ."

	"Tuyệt Tình Cốc cái đầu của ngươi, Megatron cái đầu của ngươi, Trái Ác Quỷ cái đầu của ngươi. . ." Hứa Tri Hồ yên lặng oán thầm một trăm lần, thầm nghĩ chờ nhà ta trở về Đông Minh sơn về sau, chuyện thứ nhất chính là cho bản bút ký thiết trí mật mã, miễn cho cái nào đó xà tinh bệnh Nương Nương lại tới xoay loạn.

	Nhưng vấn đề là, chung quanh Thục Sơn hội fan hâm mộ không biết a, còn nghe được như si như say, Vân Phàm thậm chí không kịp chờ đợi hưng phấn nhấc tay: "Ừm ừ, từ trên trời giáng xuống, sau đó thì sao?"

	"Sau đó a. . ." Xích tỷ muội ngừng lại một chút, đột nhiên liền đầy mặt ửng đỏ, rụt rè nắm vuốt góc áo, "Sau đó, ân công hắn liền đánh lui yêu ma, gặp ta sắp độc phát, lại xé mở ta cổ áo, tự mình giúp ta hút ra trên vai nọc độc. . ."

	"Đợi lát nữa, xé quần áo, còn tự thân hút?" Bên cạnh Thục Sơn hội fan hâm mộ trợn mắt hốc mồm, tập thể sửng sốt vài giây đồng hồ về sau, đột nhiên liền đằng đằng sát khí cùng một chỗ nhìn về phía Hứa Tri Hồ.

	"Ta không có!" Hứa Tri Hồ lệ nóng doanh tròng bên trong.

	"Ngươi có!" Xích tỷ muội thẹn thùng đến tựa như là chỉ chim cút nhỏ, cắn môi anh đào cũng không dám ngẩng đầu nhìn hắn, "Ta nhớ được, khi đó ta hôn mê bất tỉnh, ân công ngươi còn tự thân độ một ngụm bản nguyên chân khí cho ta. . ."

	"Phốc!" Lời còn chưa dứt, Trần sư huynh miệng đầy phun máu, Thục Sơn hội fan hâm mộ càng là tập thể im lặng nhìn trời.

	"Ta thật không có!" Hứa Tri Hồ lệ nóng doanh tròng nhân với hai.

	"Ngươi thật sự có!" Xích tỷ muội rất nghiêm túc nhìn xem hắn, cũng không biết nghĩ đến cái gì, đột nhiên liền gò má ngọc sinh choáng xấu hổ mang e sợ, "Ân công, ngươi đừng lại khiêm tốn, về sau đêm hôm đó hạ mưa to, ta ở vùng đồng bằng hoang miếu bên trong toàn thân ướt đẫm nửa tỉnh nửa mê, vẫn là ân công ngươi sợ ta lây nhiễm phong hàn, giúp ta đổi thiếp thân tiểu y. . ."

	Đậu xanh, cái gì đều không cần nói!

	Trần sư huynh keng một tiếng, trực tiếp rút ra trường kiếm, liền muốn buồn giận gặp nhau xông lên liều mạng, một đoàn Thục Sơn đệ tử tranh thủ thời gian ôm lấy eo của hắn: "Tỉnh táo, tỉnh táo, Trần sư huynh ngươi phải tỉnh táo a, khi đó hoang sơn dã lĩnh bên trong, Ninh sư đệ cũng là sự cấp tòng quyền, có thể lý giải. . . Ách, nói là nói như vậy, vì cái gì ta cũng rất muốn chém hắn!"

	Có thể nói cái gì đâu, hỗn loạn tưng bừng bên trong, Hứa Tri Hồ chỉ có thể mặt mũi tràn đầy cổ quái sờ sờ cái cằm, rất im lặng rất im lặng nhìn xem Xích tỷ muội, hai người ngươi nhìn ta ta nhìn ngươi, trong nháy mắt dùng ánh mắt trao đổi vô số nội dung ——

	"Kia cái gì, không sai biệt lắm là đủ rồi a, Xích Xích ngươi phẩm chất cùng trong túi miếng gừng đều nhanh rơi ra đến rồi!"

	"Hừ hừ, ngươi cho rằng ta nghĩ a, ta làm như vậy, còn không phải sợ ngươi chỉ để ý tán gái quên chuyện đứng đắn!"

	"Ta ngâm cái cọng lông a, đừng làm rộn, nhanh lên làm bộ nhận lầm người!"

	"Lệch không, luân gia muốn đại biểu mặt trăng. . . Không đúng, là đại biểu Đông Minh sơn đốc xúc ngươi!"

	Nói làm liền làm, sau một khắc, Xích tỷ muội đột nhiên lại lau lau nước mắt, như có điều suy nghĩ nhìn lên bầu trời: "Ngày thứ hai tỉnh lại thời điểm, ân công ngươi đã phiêu nhiên rời đi, ta trong lúc nhất thời không biết nên đi nơi nào tìm ngươi, chỉ nhớ rõ ngươi hôm đó ban đêm tựa hồ đề cập tới Thục Sơn, cho nên liền cố ý. . . A..., lão thiên quyến đơn, để cho ta rốt cục ở hôm nay, có thể lần nữa nhìn thấy ân công ngươi!"

	Không thể không nói, Xích tỷ muội diễn kỹ thật tốt, đầy đủ đem bi thương hoài niệm vui sướng ba loại cảm xúc lộn xộn, diễn dịch đến lâm ly nhẹ nhàng vui vẻ dư vị vô tận, nhất là lúc này, nàng mang theo vài phần hạnh phúc tiếu dung, chân thành nhìn qua Hứa Tri Hồ cái chủng loại kia bộ dáng, hoàn toàn có thể phát giác được phát ra từ nội tâm vui sướng, liền trong mắt sáng đều lóng lánh nhàn nhạt lệ quang. . .

	"Ai!" Trong chốc lát, Trần sư huynh cùng một đoàn Thục Sơn đệ tử cùng nhau thở dài, nhìn về phía Xích tỷ muội ánh mắt tăng thêm mấy phần đồng tình cùng kính trọng.

	Nói thật, đầu năm nay ngự kiếm đi ra ngoài cứu cái ngã sấp xuống lão tu sĩ đều sẽ bị đe doạ, giống Hoa sư muội dạng này có tình có nghĩa có ơn tất báo người tốt, thật không thấy nhiều, càng khó hơn chính là, nàng không chỉ cho phép nhan khuynh quốc khuynh thành, nội tâm cũng cùng dung mạo tôn lên lẫn nhau gắn bó, nhìn như yếu đuối nhưng lại kiên nghị quả quyết, không hổ là ta Thục Sơn phái chính đạo truyền nhân a!

	"Cho nên?" Một mảnh cảm khái bên trong, Vân Phàm đột nhiên rất hiếu kì giơ tay lên.

	"Cho nên. . ." Xích tỷ muội hít một hơi thật sâu, rất nghiêm túc nhìn xem Hứa Tri Hồ, "Ân công, đại ân không lời nào cảm tạ hết được, từ nay về sau ngài có dặn dò gì, một mực. . . A..., ân công, ngài cùng Vân sư tỷ là định đi nơi đâu?"

	"Chúng ta cái nào đều không đi!" Hứa Tri Hồ lời lẽ chính nghĩa cự tuyệt.

	"À không, chúng ta dự định đi minh Hải Châu điều tra Ma giáo chui vào tình báo." Vân Phàm mặt mày hớn hở đến phá, "Hoa sư muội, ngươi có hứng thú hay không cùng đi?"

	"Tốt!" Xích tỷ muội liền không cần suy nghĩ, trực tiếp miệng đầy đáp ứng, "Vân sư tỷ, chỉ cần ngươi cùng ân công không chê ta tu vi không đủ, coi như muốn ta một mình đối đầu toàn bộ Ma giáo, ta cũng là không sợ hãi chút nào!"

	"Yên nào, yên nào, chỉ là điều tra mà thôi." Vân Phàm mỉm cười phất phất tay, cứ như vậy kéo Xích tỷ muội, hai cái mới vừa quen đại mỹ nhân, giống như đột nhiên liền biến thành tốt khuê mật, cứ như vậy tay nắm tay thân mật vô gian rời đi.

	Gió mát phất phơ thổi, treo ngược ngọn núi bên cạnh kim quang lâu thuyền bên trên, xa xa còn có thể nghe thấy hai người bọn họ trò chuyện âm thanh ——

	"Đúng rồi, Hoa sư muội a, nói đến Ninh sư đệ cứu ngươi sự tình, ta nghĩ nghiêm túc hiểu rõ một chút chi tiết, tỉ như cùng ngày hắn xé mở ngươi cổ áo thời điểm. . . Khụ khụ, đừng hiểu lầm, ý của ta là, món kia quần áo khó xé sao?"

	"Còn tốt, bởi vì là mùa hè, tương đối đơn bạc, cho nên nhẹ nhàng xé ra liền xé mở."

	"A a a, vậy ta có thể hay không hỏi thêm một cái, đại khái xé toang nhiều ít, ngươi biết quan hệ này đến chúng ta sau này dã ngoại cứu người lúc kinh nghiệm. . ."

	"A..., kỳ thật không có bao nhiêu, liền đến vai nơi này. . ."

	"Dạng này a, vậy ta có thể hay không hỏi một chút, Ninh sư đệ hắn giúp ngươi hút ra nọc độc thời điểm, có phải là da thịt ra mắt. . ."

	Keng! Không đợi bên kia nói xong đâu, bên này trong đại điện Trần sư huynh, đã không thể nhịn được nữa mặt đỏ bừng lần nữa nổi giận rút kiếm, xem ra tính cả quy về tận tâm đều có!

	Đừng xúc động a đừng xúc động, bên cạnh một đoàn Thục Sơn đệ tử tranh thủ thời gian lại ngăn lại hắn: "Tỉnh táo a, Trần sư huynh ngươi tỉnh táo một điểm, tất cả mọi người là đồng môn, coi như Ninh sư đệ có lỗi, ngươi cũng không thể cầm kiếm chém hắn. . . Ân, hẳn là dùng giọt máu diệt hồn chuông vạn đao xuyên tim cờ mới đúng!"

	Tốt a, có thể nói cái gì đâu?

	Một mảng lớn hỗn loạn bên trong, Hứa Tri Hồ rất im lặng đứng tại cửa đại điện, nhìn xem kim quang lâu thuyền bên trên hai vị kia tốt khuê mật, lại mặt mũi tràn đầy cổ quái quay đầu, nhìn một chút đằng sau còn đang buồn giận lẫn lộn Xích Xích Thục Sơn hội fan hâm mộ, đột nhiên có loại rất kỳ quái cảm giác ——

	"Ách, ta muốn hay không ở đi minh Hải Châu trước đó, mua trước trương hộ thân phù cái gì?"

convert: cầu phiếu cầu like an ủi.... 
