Chương 12: Đánh cuộc ngọc 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Ngươi đi theo ta làm gì? Không đi học sao?"
	Ở Maserati động cơ nắp trước mặt, đang đứng một cái mười tám mười chín tuổi cô gái, thân cao một mét bảy cỡ đó, mặt mũi dáng đẹp, ăn mặc một bộ màu trắng áo đầm, luo lộ ở bên ngoài cổ giống như là dương chi ngọc giống vậy bóng loáng, trắng nõn.

	Xe sang người đẹp, tự nhiên đưa đến vô số người đi đường ở thủ ngắm nhìn, trong mắt hâm mộ liền liền.

	Nhưng cô gái thần sắc trong trẻo lạnh lùng, một đôi mắt thỉnh thoảng nhìn về xa xa, đối với ánh mắt của người đi đường, nàng tựa hồ không có thấy được vậy, hoặc là nói căn bản cũng không có để ở trong lòng.

	Khi thấy một nam một nữ từ trên xe taxi xuống sau đó, cô gái trong trẻo lạnh lùng vẻ mặt, cuối cùng là nhiều như vậy một nụ cười châm biếm.

	Một nam một nữ kia, dĩ nhiên chính là Trương Hoa cùng Hoa Oánh.

	"Oánh Oánh chị, ngươi làm sao mới đến à, ta nhưng mà so ngươi sau lên đường đây." Quần áo trắng quần cô gái nghênh đón, hơi cau mày, có chút oán trách kéo Hoa Oánh tay nói.

	Khi thấy Trương Hoa lúc này nàng nhướng mày một cái, hỏi: "Ngươi là?"

	"Trương Hoa." Trương Hoa nhàn nhạt nói.

	Nghe được Trương Hoa mà nói, quần áo trắng quần cô bé chân mày nhíu sâu hơn. Nàng tự cho mình còn cũng coi là cô gái đẹp, ngày thường ở bên ngoài, đều là vô số nam sinh tranh nhau nịnh bợ đối tượng.

	Nếu như Trương Hoa tướng mạo xuất chúng thì thôi, nhưng hết lần này tới lần khác nhưng ăn mặc phổ thông, nhiều lắm là có thể coi như thanh tú. Nam sinh như thế, dựa vào cái gì đối với nàng Hoa gia công chúa nhỏ như vậy lãnh đạm?

	"Ta bạn học cùng lớp, Lạc Lạc ngươi chớ để ý." Hoa Oánh có chút lúng túng nói, sau đó lại hướng Trương Hoa giới thiệu: "Nàng trước cùng ngươi đề cập tới một chút, ta em gái họ Hoa Lạc."

	Trương Hoa trên dưới quan sát Hoa Lạc một phen, hơi ngạch thủ.

	Ngạch thủ nguyên nhân, ngược lại không phải là bởi vì là nàng dung mạo xuất chúng duyên cớ. Hắn tại tu chân giới, đã gặp những người đẹp đều có linh khí gia trì, giống như là Giao Trì Tiên cung ở giữa những cô gái kia, lại là tu tập mị hoặc công pháp, so với trên địa cầu này phổ thông người đẹp, mạnh không biết nhiều ít.

	Để cho Trương Hoa bất ngờ là, trên Trái Đất cái này viên đạn đất, lại có thể đụng tới một cái tiên thiên thuần băng linh căn cô gái, như vậy thuần linh cây, thả tại tu chân giới trong, cũng có thể cũng coi là vô cùng là hấp thu, chỉ cần tu luyện thích hợp băng thuộc tính công pháp, tu hành tốc độ tất nhiên yêu nghiệt.

	Nhưng mặc dù như vậy, Trương Hoa trong lòng nhiều nhất cũng chính là kinh ngạc một chút thôi.

	Hắn có thể thành là tam giới đỉnh đỉnh nổi danh Thiên Hoa chân nhân, đã gặp thiên tài không biết phàm kỷ. Nếu như thả ở lúc trước, xem ở người khác đối với hắn tôn kính có thừa trong thái độ, nói không chừng còn biết lên tiếng xách điểm một cái.

	Nhưng hiển nhiên, Hoa Lạc là không có tư cách hưởng thụ như vậy đãi ngộ.

	"Trương Hoa, ngươi có thể đừng một mực bày mặt như vậy sắc sao? Làm người khác cũng lấy là thiếu ngươi tiền tựa như." Hoa Oánh nhẹ nhàng đẩy một chút Trương Hoa, biết miệng nói.

	Trương Hoa không nói, nhưng trong lòng thật là buồn cười, Hoa Lạc tâm tư như thế nào, hắn không muốn cũng không có hứng thú biết.

	Lại nói Hoa Lạc thấy Trương Hoa đầu tiên là đối với mình nhìn hờ hững, sau đó lại không chút kiêng kỵ quét một trận, trong lòng là càng không thích.

	Bây giờ lại thấy chị họ(nội) động tác nhỏ, trong mắt lại là thoáng qua một vẻ tức giận. Hoa gia người, tùy tiện cái nào không phải là người trong long phượng? Cũng không gặp qua giống như thằng nhóc này như vậy kéo.

	Ngay tại lúc này, lại là mấy chiếc xe thể thao gào thét tới, trước sau từ trên xe bước xuống năm sáu cái nam sinh.

	"Oánh Oánh, Lạc Lạc, đều đến à?"

	Mở miệng là một cái từ một chiếc Audi R8 lên xuống hàn thức hoa văn nóng đẹp trai nam sinh, ôn hòa mở miệng nói. Hắn thân cao một thước chín cỡ đó, người mặc màu xanh đồ dạo phố.

	"Giang đào, ta tới nơi này chẳng lẽ còn phải hướng ngươi báo cáo sao?"

	Nhìn người tới, Hoa Oánh chân mày không khỏi nhíu lại, có chút oán trách nhìn một cái Hoa Lạc. Nàng muốn tới ngọc thạch thành sự việc, chỉ nói cho liền nàng một người.

	/*Dzung Kiều : xem hình Maserati-at-Shanghai-Auto-Show-2017 <a href="http://blogmedia.dealerfire.com/wp-content/uploads/sites/616/2017/05/certified-MaseratiatShanghaiAutoShow2017-QuattroporteGranLusso_o.jpg">http://blogmedia.dealerfire.com/wp-content/uploads/sites/616/2017/05/certified-MaseratiatShanghaiAutoShow2017-QuattroporteGranLusso_o.jpg</a>  */Chương 12: Đánh cuộc ngọc 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Ngươi đi theo ta làm gì? Không đi học sao?"

	Thấy Hoa Oánh đuổi theo, Trương Hoa buồn cười nói.

	"Hừ, ngươi có thể đi ta tại sao không thể đi? Ta em gái họ ngày mốt sinh nhật, ta đi giúp nàng mua chút lễ vật thế nào?" Hoa Oánh lẩm bẩm môi, không vui nói.

	Chẳng biết tại sao, Trương Hoa vậy lãnh đạm cái gì cũng dáng vẻ không quan tâm, để cho bên trong lòng nàng đặc biệt khó chịu.

	Nhìn Hoa Oánh dáng vẻ, Trương Hoa cười không nói.

	Lúc này ven đường vừa vặn có một chiếc xe taxi đi ngang qua, Trương Hoa thuận tay chiêu, lên chỗ điều khiển.

	"Đi hoàng long ngọc thạch thành phố." Trương Hoa nhìn tài xế nói.

	"Người anh em là muốn đi xem lâm cỏ cây sao?"

	Tài xế xe taxi là một hai mười sáu mười bảy tuổi chàng trai, nhanh chóng nổ máy xe sau đó, nhìn Trương Hoa nói. Lâm cỏ cây là gần đây đốt tay có thể nóng đang ăn khách minh tinh, chừng 20 tuổi người ái mộ lại nhiều nhất.

	Ngày hôm nay hắn tại thành đại học cái khối này, thật đúng là kéo không thiếu đi hoàng long ngọc thạch thành phố xem minh tinh.

	Nhìn Trương Hoa lối ăn mặc, chàng trai tài xế cũng chỉ làm hắn là muốn đi thấy minh tinh phong thái.

	Trương Hoa ngậm miệng không nói, không có trả lời hắn, coi như là ở kiếp trước, hắn cũng không có theo ngôi sao thói quen. Chớ đừng nói chi là sống lại trở về hắn, lại là không chút nào phương diện này hư vinh.

	Coi như vậy lâm cỏ cây xinh đẹp nữa, chẳng lẽ còn có thể hơn được Giao Trì Thiên cung thánh nữ sao? Cho nên đối với Trương Hoa mà nói, lâm cỏ cây coi như ở đó nhảy thoát y vũ, Trương Hoa như cũ nhìn hờ hững.

	Thấy Trương Hoa không nói lời nào, tài xế còn làm hắn thầm chấp nhận, vừa tiếp tục nói: "Mặc dù ta không phải lâm cỏ cây thiết hồng, nhưng trước kia ở trên ti vi xem qua nàng, bộ dáng kia, thật là đẹp trai không được."

	"Đúng rồi, nghe nói ngày hôm nay hoàng long ngọc thạch thành phố còn biết đẩy ra một nhóm lông thạch, giá cả ngược lại không đắt, chính là không biết có thể hay không mở ra thứ tốt." Chàng trai tài xế lại mở miệng nói.

	Nghe được đổ thạch hai chữ, Trương Hoa chân mày cau lại: "Ngươi nói là đổ thạch?"

	Tài xế nghe được Trương Hoa rốt cuộc đáp lại, lập tức hứng thú, thẳng thắn nói nói: "Đúng vậy, người anh em cũng tốt một hớp này à?"

	"Bất quá ngươi không biết, vậy đổ thạch chính là bẫy người, nghe ta những người bạn kia nói, bọn họ ngọc thạch thành lông thạch, ở lấy ra tiêu thụ trước, đều là đi qua chuyên nghiệp dụng cụ kiểm tra qua. Thứ tốt đều sớm bị bọn họ chọn đi, căn bản là không mở ra thứ tốt gì. Vật kia vui đùa một chút liền tốt, có thể dù sao cũng không nên nghĩ dựa vào đổ thạch phát tài."

	Trương Hoa đỡ trán, bây giờ toàn bộ tài sản của hắn, cũng chỉ hơn 2000 khối mà thôi. Vốn là hắn tính toán phải đi sửa mái nhà dột, mua chút phẩm tương chưa ra hình dáng gì nhưng thích hợp bố trí trận pháp trọc ngọc.

	Bây giờ nếu biết đổ thạch, kế hoạch kia, liền có thể hơi thay đổi một chút.

	Ngay tại lúc này, ngồi ở đàng sau Hoa Oánh điện thoại di động bỗng nhiên vang lên. Ngủm sau đó, nàng nhìn Trương Hoa nói: "Ta có mấy người bạn cũng muốn đi ngọc thạch thành phố."

	Trương Hoa không nói, nhắm mắt dưỡng thần.

	. . .

	Hoàng Long ngọc thị phố quảng trường bên bờ lên, đang đậu một chiếc màu xanh Maserati, nếu như là hiểu xe người ở chỗ này, nhất định sẽ thất kinh. Năm 2017 mới nhất khoản Tổng giám đốc, 3. 8T, ở trong nước trần xe ra giá đến gần 3 triệu.

	Phải biết thành phố Đông Hải chỉ là một thành phố tuyến ba, bảy tám trăm ngàn Mercedes-Benz, BMW cũng đã có thể tính là là xe sang.

	Ở Maserati động cơ nắp trước mặt, đang đứng một cái mười tám mười chín tuổi cô gái, thân cao một mét bảy cỡ đó, mặt mũi dáng đẹp, ăn mặc một bộ màu trắng áo đầm, luo lộ ở bên ngoài cổ giống như là dương chi ngọc giống vậy bóng loáng, trắng nõn.

	Xe sang người đẹp, tự nhiên đưa đến vô số người đi đường ở thủ ngắm nhìn, trong mắt hâm mộ liền liền.

	Nhưng cô gái thần sắc trong trẻo lạnh lùng, một đôi mắt thỉnh thoảng nhìn về xa xa, đối với ánh mắt của người đi đường, nàng tựa hồ không có thấy được vậy, hoặc là nói căn bản cũng không có để ở trong lòng.

	Khi thấy một nam một nữ từ trên xe taxi xuống sau đó, cô gái trong trẻo lạnh lùng vẻ mặt, cuối cùng là nhiều như vậy một nụ cười châm biếm.

	Một nam một nữ kia, dĩ nhiên chính là Trương Hoa cùng Hoa Oánh.

	"Oánh Oánh chị, ngươi làm sao mới đến à, ta nhưng mà so ngươi sau lên đường đây." Quần áo trắng quần cô gái nghênh đón, hơi cau mày, có chút oán trách kéo Hoa Oánh tay nói.

	Khi thấy Trương Hoa lúc này nàng nhướng mày một cái, hỏi: "Ngươi là?"

	"Trương Hoa." Trương Hoa nhàn nhạt nói.

	Nghe được Trương Hoa mà nói, quần áo trắng quần cô bé chân mày nhíu sâu hơn. Nàng tự cho mình còn cũng coi là cô gái đẹp, ngày thường ở bên ngoài, đều là vô số nam sinh tranh nhau nịnh bợ đối tượng.

	Nếu như Trương Hoa tướng mạo xuất chúng thì thôi, nhưng hết lần này tới lần khác nhưng ăn mặc phổ thông, nhiều lắm là có thể coi như thanh tú. Nam sinh như thế, dựa vào cái gì đối với nàng Hoa gia công chúa nhỏ như vậy lãnh đạm?

	"Ta bạn học cùng lớp, Lạc Lạc ngươi chớ để ý." Hoa Oánh có chút lúng túng nói, sau đó lại hướng Trương Hoa giới thiệu: "Nàng trước cùng ngươi đề cập tới một chút, ta em gái họ Hoa Lạc."

	Trương Hoa trên dưới quan sát Hoa Lạc một phen, hơi ngạch thủ.

	Ngạch thủ nguyên nhân, ngược lại không phải là bởi vì là nàng dung mạo xuất chúng duyên cớ. Hắn tại tu chân giới, đã gặp những người đẹp đều có linh khí gia trì, giống như là Giao Trì Tiên cung ở giữa những cô gái kia, lại là tu tập mị hoặc công pháp, so với trên địa cầu này phổ thông người đẹp, mạnh không biết nhiều ít.

	Để cho Trương Hoa bất ngờ là, trên Trái Đất cái này viên đạn đất, lại có thể đụng tới một cái tiên thiên thuần băng linh căn cô gái, như vậy thuần linh cây, thả tại tu chân giới trong, cũng có thể cũng coi là vô cùng là hấp thu, chỉ cần tu luyện thích hợp băng thuộc tính công pháp, tu hành tốc độ tất nhiên yêu nghiệt.

	Nhưng mặc dù như vậy, Trương Hoa trong lòng nhiều nhất cũng chính là kinh ngạc một chút thôi.

	Hắn có thể thành là tam giới đỉnh đỉnh nổi danh Thiên Hoa chân nhân, đã gặp thiên tài không biết phàm kỷ. Nếu như thả ở lúc trước, xem ở người khác đối với hắn tôn kính có thừa trong thái độ, nói không chừng còn biết lên tiếng xách điểm một cái.

	Nhưng hiển nhiên, Hoa Lạc là không có tư cách hưởng thụ như vậy đãi ngộ.

	"Trương Hoa, ngươi có thể đừng một mực bày mặt như vậy sắc sao? Làm người khác cũng lấy là thiếu ngươi tiền tựa như." Hoa Oánh nhẹ nhàng đẩy một chút Trương Hoa, biết miệng nói.

	Trương Hoa không nói, nhưng trong lòng thật là buồn cười, Hoa Lạc tâm tư như thế nào, hắn không muốn cũng không có hứng thú biết.

	Lại nói Hoa Lạc thấy Trương Hoa đầu tiên là đối với mình nhìn hờ hững, sau đó lại không chút kiêng kỵ quét một trận, trong lòng là càng không thích.

	Bây giờ lại thấy chị họ(nội) động tác nhỏ, trong mắt lại là thoáng qua một vẻ tức giận. Hoa gia người, tùy tiện cái nào không phải là người trong long phượng? Cũng không gặp qua giống như thằng nhóc này như vậy kéo.

	Ngay tại lúc này, lại là mấy chiếc xe thể thao gào thét tới, trước sau từ trên xe bước xuống năm sáu cái nam sinh.

	"Oánh Oánh, Lạc Lạc, đều đến à?"

	Mở miệng là một cái từ một chiếc Audi R8 lên xuống hàn thức hoa văn nóng đẹp trai nam sinh, ôn hòa mở miệng nói. Hắn thân cao một thước chín cỡ đó, người mặc màu xanh đồ dạo phố.

	"Giang đào, ta tới nơi này chẳng lẽ còn phải hướng ngươi báo cáo sao?"

	Nhìn người tới, Hoa Oánh chân mày không khỏi nhíu lại, có chút oán trách nhìn một cái Hoa Lạc. Nàng muốn tới ngọc thạch thành sự việc, chỉ nói cho liền nàng một người.

	/*Dzung Kiều : xem hình Maserati-at-Shanghai-Auto-Show-2017 <a href="http://blogmedia.dealerfire.com/wp-content/uploads/sites/616/2017/05/certified-MaseratiatShanghaiAutoShow2017-QuattroporteGranLusso_o.jpg">http://blogmedia.dealerfire.com/wp-content/uploads/sites/616/2017/05/certified-MaseratiatShanghaiAutoShow2017-QuattroporteGranLusso_o.jpg</a>  */
