Chương 154: Trúng cổ 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Nếu trong cơ thể dương khí đủ, là có thể xông phá hắn trói buộc.
	"Gặp quỷ, chẳng lẽ A Hoa ở bên trong khóa trái?" Mẹ Trương suy đoán.

	"Dì út, để ta đi."

	Tạ Lâm lấy là mẹ Trương mấy ngày nay mệt nhọc quá độ, trên tay không có sức, liền vội vàng tiến lên hỗ trợ, có thể dùng lực đẩy nhiều lần vẫn không thể nào đẩy cửa ra.

	"A Hoa mới vừa nói để cho chúng ta ở bên ngoài chờ, đừng quấy rầy hắn. Nếu không chúng ta liền ở bên ngoài đợi tí đi." Vương Hiểu Phong nói.

	Trương Hoa nhưng mà tu hành thành công chân nhân, lại chuyện liên quan đến thân phụ, chắc chắn sẽ không nói xạo.

	Giờ phút này, vẫn là ở bên ngoài đợi tí tốt.

	"Ở bên ngoài chờ? Ha ha."

	Y tá chân dài cười lạnh một tiếng: "Như vậy thuốc làm thế nào? Nếu là bởi vì là hắn quan hệ, làm trễ nãi chữa trị, bệnh nhân xảy ra vấn đề, ngươi đam đương nổi sao?"

	"Hiểu Phong, ngươi tránh ra."

	Mẹ Trương nghe lời này một cái, lập tức kinh sợ.

	Ở bệnh viện, trời đất bao la bác sĩ nói lớn nhất! Không thể xảy ra chuyện, tuyệt đối không thể xảy ra chuyện!

	"Cám ơn dì."

	Vương Hiểu Phong nóng nảy. Nhưng cuối cùng há miệng một cái, vẫn là không có nói chuyện.

	Chuyện này, nói trắng ra liền là nhà của bọn họ chuyện. Hắn một cái người ngoài, quan hệ khá hơn nữa, vậy là người ngoài. Vạn nhất thật ảnh hưởng Trương Triêu Dương chữa trị, đến lúc đó coi như là tốt bụng, vậy cũng được ngoài dặm không phải là người, tội gì tới tai!

	"Nhưng mà ta nghe dì nói, chú những ngày qua tình huống tựa hồ không tốt lắm, xem ra bệnh viện các ngươi thủ đoạn vậy chưa ra hình dáng gì à. Thuốc này hiệu quả quả như vì sao, thật đáng giá hoài nghi à."

	Thời khắc mấu chốt, Lâm Tuyết Nhi đứng dậy, cười nói.

	Nói nhưng nhắm thẳng vào bản chất, nếu như thuốc này thật sự có hiệu quả, Trương Triêu Dương vậy không đến nổi hiện tại thân thể càng ngày càng yếu, sắp gặp tử vong.

	"Ngươi, ngươi người này tại sao nói lời như vậy? Thuốc này thế nào?"

	"Nếu không phải bệnh viện chúng ta thuốc hỗ trợ treo, hắn nói không chừng đã sớm không chịu nổi!"

	Y tá chân dài đỏ mặt cãi.

	"Nhưng bây giờ cũng đã mau không chịu nổi." Lâm Tuyết Nhi lạnh lùng thốt.

	"Hừ!"

	Y tá chân dài hừ lạnh một tiếng: "Yêu có gọi hay không, đến lúc đó xảy ra vấn đề, ta cũng không chịu trách nhiệm đảm nhiệm!"

	"Tuyết Nhi cô nương, chuyện này, chuyện này. . ."

	Mẹ Trương vuốt ve hai tay, một mặt quấn quít nhìn Lâm Tuyết Nhi.

	Giữ nàng ý tưởng, dĩ nhiên là để cho y tá đi vào đổi thuốc tương đối khá, ở bệnh viện giữ khoa học chữa trị, ít nhất có một đường hy vọng.Chương 154: Trúng cổ 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Nếu trong cơ thể dương khí đủ, là có thể xông phá hắn trói buộc.

	Cho nên vậy trong nguyền rủa người đều là đứa nhỏ hoặc là cụ già, thân thể yếu, lực phòng ngự không được. Mà người đàn ông trung niên khỏe mạnh, cả người thuần dương huyết khí, huyết khí ngất trời, không sợ trời không sợ đất, vào trăm năm mộ huyệt cũng vấn đề không lớn. Dĩ nhiên, vào mộ huyệt thời gian muốn chọn đúng, nếu như hơn nửa đêm, thân thể con người dương khí yếu thời điểm vào, chỉ có thể nói thần tiên vậy không cứu được muốn người tìm chết.

	Trần trụi linh lực màu đỏ từ đầu từ từ hướng xuống phun trào, chỗ đi qua, hắc khí diệt hết!

	"Hữu hiệu!"

	Trương Hoa trong lòng vui mừng, tiếp tục tăng thêm tốc độ, lại là đại cổ lớn cổ linh lực tràn vào Trương Triêu Dương trong cơ thể.

	Đáng tiếc, đẹp trai bất quá ba giây, làm linh lực lan truyền đến nơi ngực, chợt phát sinh một hồi xao động.

	"Phốc!"

	Trương Triêu Dương sắc mặt chợt một đỏ, búng máu tươi lớn phun ra.

	"Là cổ! Phệ tâm cổ!"

	Trương Hoa sắc mặt biến đổi, vội vàng một tay đè lại Trương Triêu Dương ngực, toàn lực xuất khẩu linh lực, bảo vệ kỳ tâm mạch.

	. . .

	Phòng bệnh bên ngoài.

	Mẹ Trương đánh giá Lâm Tuyết Nhi, càng xem càng hài lòng, thử dò xét nói: "Tuyết Nhi cô nương, ngươi và ta nhà A Hoa là sao biết à?"

	Lâm Tuyết Nhi nghĩ ngợi chốc lát: "Lần đó trên xe có tên cướp, những người khác cũng không dám động, liền Trương Hoa một người đứng ra."

	Ân, thuyết pháp này là không sai, chỉ bất quá lúc ấy Lâm Tuyết Nhi cũng không tại trên xe. . . Nếu không, nào có Trương Hoa xuất thủ địa phương, sớm bị nàng thu thập.

	"Nhà ta A Hoa từ nhỏ tính tình liền tốt, biết gặp nghĩa dũng cảm là, không dạy sai hắn." Mẹ Trương rất là đắc ý tán dương.

	"Tuyết Nhi cô nương, nghe nói các người Lâm Thị tập đoàn gần đây gặp phải phiền toái."

	Tạ Lâm nhàn nhạt hỏi.

	"Cái này. . ." Lâm Tuyết Nhi nhíu mày một cái: "Nhỏ phiền phức mà thôi, đã giải quyết."

	"Phải không? Có thể ta làm sao nghe nói, các người tập đoàn cổ vé đã co lại mau một nửa, cái này cũng không tính là là phiền toái nhỏ đi."

	Tạ Lâm tiếp tục nói.

	"Tiểu Lâm, nói thế nào đâu ? Tuyết Nhi cô nương nói hết rồi đã giải quyết." Mẹ Trương cái mông bày rất đang, quả quyết đứng ở con dâu tương lai bên kia.

	"Dì út, ngươi đừng trách ta nói chuyện nghe không trúng. Bây giờ không thiếu tập đoàn đừng nhìn bề ngoài nở mày nở mặt, có thể một gặp phải sóng gió, rất dễ dàng lật thuyền. Lâm Thị tập đoàn tình huống này, cổ phiếu rớt tổn một nửa, không lạ thường hành động, căn bản là muốn đi vào phá sản thanh toán giai đoạn. Đến lúc đó, A Hoa nói không chừng còn phải. . ."

	Tạ Lâm không nói tiếp.

	Có thể nàng ý nghĩa, mọi người đều hiểu. Đừng tiện nghi không dính vào, đổ chọc cả người rối loạn.

	Tiến vào phá sản tập đoàn, nói không chừng người còn phải đổ thiếu mấy chục triệu. Nếu như Trương Hoa và Lâm Tuyết Nhi chung một chỗ, như vậy món nợ coi như thuận thế rơi vào người Trương gia trên đầu.

	"Cái này. . ."

	Mẹ Trương nghe nói như vậy vậy bắt đầu chần chờ.

	Mặc dù lớn tập đoàn phá sản cụ thể là tình huống gì, nàng thực tế không gặp qua, có thể trong phim truyền hình diễn qua không thiếu, tập đoàn vừa vỡ sinh, phía sau chính là các loại đòi nợ chận cửa!

	Căn bản không biện pháp yên sống qua ngày.

	Trương gia chỉ là một gia đình bình thường, không chịu nổi dày vò.

	"Yên tâm, kỳ tích đã xuất hiện. Ngày mai ta Lâm gia cổ phiếu thì sẽ đi hồi tăng."

	Lâm Tuyết Nhi liếc Tạ Lâm một cái, nhàn nhạt trả lời.

	"Phải không? Vậy ta liền mỏi mắt chờ mong." Tạ Lâm cười một tiếng, cũng lười sẽ cùng Lâm Tuyết Nhi tranh cãi.

	Dù sao kết hôn tạm thời, cũng không phải 1 hồi lâu có thể quyết định dặm. Có thể Lâm Tuyết Nhi mà nói, ngày mai sẽ có thể nghiệm chứng, đến lúc đó không tăng, xem nàng còn mặt mũi nào mặt đợi nơi này.

	"Đây chính là thực tế à!"

	Vương Hiểu Phong thấy cái màn này, trong lòng năm vị thành tạp, thật sự là không nói ra tư vị gì.

	Quay đầu lại suy nghĩ một chút, coi như mình đuổi kịp Lâm Tuyết Nhi. Nhưng bây giờ chỉ bằng mình năng lực, ở không mượn Trương Hoa danh tiếng dưới tình huống, Lâm Thị tập đoàn vừa vỡ sinh, đến lúc đó, người một nhà người gánh nặng cũng phải rơi Lâm Tuyết Nhi trên đầu.

	Có thể trước mắt, mình bất quá một nghèo điểu ty, có thể nuôi mình cũng không tệ.

	Còn có thể nuôi nổi Lâm Tuyết Nhi một nhà?

	Đến lúc đó chuyện nhà chuyện cửa, củi gạo dầu muối tương giấm trà, mọi thứ đều phải tiền! Không có tiền làm thế nào?

	Cướp sao?

	Còn không cũng chỉ có thể chia tay, trơ mắt nhìn Lâm Tuyết Nhi vì tiền, gả cho những thứ khác nhà giàu có con em.

	"Loảng xoảng phun, loảng xoảng phun."

	Một cái y tá chân dài đẩy đựng thuốc men xe đẩy nhỏ tới, quét mấy người một cái, hỏi: "Các người làm sao cũng ở bên ngoài, bên trong không người theo xem bệnh nhân sao?"

	"À, con trai ta ở bên trong nhìn đây." Mẹ Trương vội vàng trả lời.

	"Vậy được đi, hỗ trợ mở cửa xuống, nên đổi thuốc."

	Y tá chân dài hướng cửa phòng bệnh một nỗ miệng.

	Nàng đẩy xe, hiển nhiên là không quá phương tiện.

	"Được." Mẹ Trương liên tục không ngừng đẩy cửa.

	Ở TQ luôn là như vậy, mặc dù rất lâu bác sĩ chẳng qua là nghe thiên mạng làm hết sức mình, có thể ở thân nhân bệnh nhân xem ra, dù là chỉ có một đường hy vọng cũng là đáng giá. Cũng đem bác sĩ nói, làm lời vàng ngọc, chút nào không dám vi phạm.

	Ví dụ như giờ phút này, mẹ Trương liền đem Trương Hoa nếu làm gió bên tai. . .

	Đẩy một cái, cửa không có động tĩnh, lại dùng lực, vẫn là không có động tĩnh!

	"Gặp quỷ, chẳng lẽ A Hoa ở bên trong khóa trái?" Mẹ Trương suy đoán.

	"Dì út, để ta đi."

	Tạ Lâm lấy là mẹ Trương mấy ngày nay mệt nhọc quá độ, trên tay không có sức, liền vội vàng tiến lên hỗ trợ, có thể dùng lực đẩy nhiều lần vẫn không thể nào đẩy cửa ra.

	"A Hoa mới vừa nói để cho chúng ta ở bên ngoài chờ, đừng quấy rầy hắn. Nếu không chúng ta liền ở bên ngoài đợi tí đi." Vương Hiểu Phong nói.

	Trương Hoa nhưng mà tu hành thành công chân nhân, lại chuyện liên quan đến thân phụ, chắc chắn sẽ không nói xạo.

	Giờ phút này, vẫn là ở bên ngoài đợi tí tốt.

	"Ở bên ngoài chờ? Ha ha."

	Y tá chân dài cười lạnh một tiếng: "Như vậy thuốc làm thế nào? Nếu là bởi vì là hắn quan hệ, làm trễ nãi chữa trị, bệnh nhân xảy ra vấn đề, ngươi đam đương nổi sao?"

	"Hiểu Phong, ngươi tránh ra."

	Mẹ Trương nghe lời này một cái, lập tức kinh sợ.

	Ở bệnh viện, trời đất bao la bác sĩ nói lớn nhất! Không thể xảy ra chuyện, tuyệt đối không thể xảy ra chuyện!

	"Cám ơn dì."

	Vương Hiểu Phong nóng nảy. Nhưng cuối cùng há miệng một cái, vẫn là không có nói chuyện.

	Chuyện này, nói trắng ra liền là nhà của bọn họ chuyện. Hắn một cái người ngoài, quan hệ khá hơn nữa, vậy là người ngoài. Vạn nhất thật ảnh hưởng Trương Triêu Dương chữa trị, đến lúc đó coi như là tốt bụng, vậy cũng được ngoài dặm không phải là người, tội gì tới tai!

	"Nhưng mà ta nghe dì nói, chú những ngày qua tình huống tựa hồ không tốt lắm, xem ra bệnh viện các ngươi thủ đoạn vậy chưa ra hình dáng gì à. Thuốc này hiệu quả quả như vì sao, thật đáng giá hoài nghi à."

	Thời khắc mấu chốt, Lâm Tuyết Nhi đứng dậy, cười nói.

	Nói nhưng nhắm thẳng vào bản chất, nếu như thuốc này thật sự có hiệu quả, Trương Triêu Dương vậy không đến nổi hiện tại thân thể càng ngày càng yếu, sắp gặp tử vong.

	"Ngươi, ngươi người này tại sao nói lời như vậy? Thuốc này thế nào?"

	"Nếu không phải bệnh viện chúng ta thuốc hỗ trợ treo, hắn nói không chừng đã sớm không chịu nổi!"

	Y tá chân dài đỏ mặt cãi.

	"Nhưng bây giờ cũng đã mau không chịu nổi." Lâm Tuyết Nhi lạnh lùng thốt.

	"Hừ!"

	Y tá chân dài hừ lạnh một tiếng: "Yêu có gọi hay không, đến lúc đó xảy ra vấn đề, ta cũng không chịu trách nhiệm đảm nhiệm!"

	"Tuyết Nhi cô nương, chuyện này, chuyện này. . ."

	Mẹ Trương vuốt ve hai tay, một mặt quấn quít nhìn Lâm Tuyết Nhi.

	Giữ nàng ý tưởng, dĩ nhiên là để cho y tá đi vào đổi thuốc tương đối khá, ở bệnh viện giữ khoa học chữa trị, ít nhất có một đường hy vọng.
