Chương 130: Đối sách 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Lão ca!"
	Bạch Ngọc Thang mặc dù đã đột phá tới quy nguyên, có thể cũng không quá mới vừa tấn thăng, nếu với Trương Hoa người sau lưng đối với, ai thắng thắng bại còn chưa thể biết được!

	Một khi Bạch gia thua, vậy Trừ Châu thiên coi như phải tái biến thay đổi. Coi như không thay đổi, không có trước khí thôn như hổ khí thế, khẳng định đối với những gia tộc khác chèn ép vậy sẽ không như vậy cấp bách.

	Lý gia đoán chừng cũng có thể có một đường sinh cơ, tối thiểu có thể ở lâu điểm thời gian xử lý sản nghiệp.

	Lý lão gia tử chậm rãi đi tới cổng sân, giống như bảo an như nhau, người bảo vệ Lâm gia!

	Cho phép vào không cho phép ra!

	Vụng trộm mưu đồ thuộc về mưu đồ, trên mặt nổi mặt mũi cũng phải quá đi, phải làm xong bản lĩnh chuẩn bị.

	"Hy vọng lão Từ vậy không suy đoán, nếu không ta Lý gia cũng chỉ có thể tay cụt cầu sinh, buông tha hơn nửa gia sản tổng so mất mạng tốt. . ."

	Nghĩ như vậy, lão gia tử lưng lại hướng xuống hơi cong chút.

	Không thực lực liền không sức lực, cái này lưng liền dường như không đứng lên!

	. . .

	"Trương Hoa, Trương Hoa!"

	Lâm Chấn Nam vuốt ve cây nạng, mặt lộ vẻ trầm ngâm.

	Và Lý lão gia tử suy tính bất đồng, hắn nghĩ càng là sâu xa một ít. Giờ phút này Bạch gia đã thuộc về giận đùng đùng chính giữa, Bạch Ngọc Thang chết em trai ruột, nếu không cái giải thích, hơn nữa giết chết hung thủ giết người, Bạch gia còn mặt mũi nào mặt ở Trừ Châu xưng vương?

	Giờ phút này, gọi điện thoại thúc giục Lâm Tuyết Nhi, cố nhiên có thể đem Trương Hoa lấy, khiến cho cùng Bạch Ngọc Thang liều mạng, là Lâm gia lấy được một đường sinh cơ.

	Có thể trong này cũng là có nguy hiểm, Trương Hoa quá trẻ tuổi, mới hai mươi tuổi, không thể nào là quy nguyên cảnh tông sư!

	Nhiều lắm là ngay cả có cái quy nguyên cảnh tông sư làm phía sau đài.

	Như vậy vấn đề tới, giờ phút này cái đó quy nguyên cảnh tông sư ở chỗ nào?

	Nếu như ở Trương Hoa bên người khá tốt, nếu như không có ở đây, hẳn là đem Trương Hoa vậy vùi lấp tiến vào. Trọng yếu hơn chính là, đem Lâm Tuyết Nhi hy vọng duy nhất vậy bấm đứt.

	Nếu Trương Hoa sau lưng dùng quy nguyên cảnh võ giả làm hậu thuẫn, Lâm Tuyết Nhi lưu hắn bên người, chỉ cần không thẳng tắp mặt Bạch Ngọc Thang, nhất định là an toàn. Trừ Châu những gia tộc khác chắc hẳn vậy không ai thật là có can đảm đối với một cái khác quy nguyên cảnh tông sư.

	"Ngạch. . ."

	Hôn mê Lâm Hằng phát ra rên rỉ một tiếng: "Nước, nước."

	"Hằng nhi."

	Lâm Chấn Nam lão lệ tung hoành, vội vàng cho Lâm Hằng rót một ly nước, đút vào.

	"Cha, bọn họ là ai ?"

	Lâm Hằng mới ra cửa, liền đối mặt người đến là ai cũng không thấy rõ, liền bị một chiêu đánh trọng thương.

	Bây giờ lại là ngũ tạng đau nhức, có dũng khí sắp chết cảm giác.

	Có thể liền chết như vậy, hắn thật không cam lòng, chết không nhắm mắt à! Chết cũng không biết là ai giết, đến cửu tuyền, Diêm vương gia hỏi tới, hắn cũng không biết nên làm sao trả lời.

	"Bọn họ, bọn họ là võ giả."

	Lâm Chấn Nam do dự một chút, cuối cùng còn là nói ra.

	Chuyện cho tới bây giờ, gạt vậy không có ý nghĩa gì.

	"Võ giả?"

	Lâm Hằng lại ói một búng máu. Gia tộc chúng ta lúc nào trêu chọc đến bực này người đáng sợ vật?

	" Ừ."

	Lâm Chấn Nam vẻ mặt ngưng trọng hơi gật đầu một cái.

	"Cha, đây rốt cuộc là chuyện gì à!" Lâm Hằng kích động, lại ói mấy ngụm máu tươi.

	Mấy ngày nay, cho hắn đả kích thực sự quá lớn!Chương 130: Đối sách 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Lão ca!"

	Lâm Chấn Nam lệ nóng doanh tròng, bị cảm động tột đỉnh.

	Ân, đây là bề ngoài, có thể đáy lòng nhưng là so với ai khác cũng bình tĩnh. Thế gia bây giờ nào có cái gì thuần túy hữu nghị, có bất quá là lợi ích thôi. Bo bo giữ mình, qua sông rút cầu, bỏ đá xuống giếng, thêm gấm thêm hoa cái này bốn cái là có, có thể giúp người đang gặp nạn, hụ hụ hụ, nghe một chút liền tốt, coi là thật ngươi liền thua.

	Ít năm như vậy, Lâm gia có thể sừng sững ở Đông Hải không tới, cũng chính là bởi vì là thứ nhất chữ tiếng nói làm tốt, nên bất kể chuyện phiền toái quả quyết bỏ mặc. Nếu không, một khi nhúng tay, rất có thể liền chọc tới không nên dây vào người, cho tới không giải thích được gục. Ở TQ, từ xưa thì có ngư long trắng dùng truyền thống, ngươi căn bản không biện pháp dự liệu, ngươi đắc tội người bình thường, có thể hay không vừa quay người thì trở thành ngươi căn bản không chọc nổi nhân vật lớn.

	"Lão đệ. Lão ca xem ra, ngươi Lâm gia duy nhất con đường sống ở nơi này hai chữ lên."

	Lý lão gia tử vuốt ve lấy điện thoại di động ra, ở phía trên đâm hai cái, trên màn ảnh nhất thời hiển hiện ra hai chữ to: "Trương Hoa."

	"À, cái này, lão ca ngươi đây là ý gì?"

	Lâm Chấn Nam kinh ngạc hỏi ngược lại.

	Hoàn toàn không hiểu Lý lão gia tử ý nghĩa. Trương Hoa, duy nhất con đường sống là Trương Hoa? Cái đó là Lâm gia đưa tới tai họa ngập đầu Trương Hoa, điều này sao có thể?

	Lấy Bạch gia bây giờ uy thế này, coi như Lâm gia tự tay đem Trương Hoa ngàn đao lăng trì. Vậy tuyệt đối triệt tiêu không được Bạch gia tức giận. Nhất định sẽ bị Bạch Ngọc Thang nhổ tận gốc, giết gà dọa khỉ.

	"Chuyện này ta không thể nói, nhưng cái này anh bạn trẻ tuyệt đối không đơn giản à."

	Lý lão gia tử đến gần, thả thấp giọng: "Lão đệ ngươi gần đây tâm thần không yên, có thể không chú ý, tin tức có chút lạc hậu. Quan tây tán tu Vương Lục Giáp lão ca ngươi cũng biết."

	"Hắn thế nào? Chẳng lẽ cũng bị Bạch gia giết?"

	Lâm Chấn Nam theo bản năng có một cái đáng sợ suy đoán.

	Bất quá chợt liền lắc đầu một cái, giống như Vương Lục Giáp loại này tán tu, không có gì đáng ngại tán tu, vậy nhất định là thu phục, coi như thu phục không được, phần lớn cũng là đuổi làm chủ. Chưa đến nỗi ngang nhiên ra tay, như vậy sẽ chọc cho phải những người khác bất mãn.

	Võ đạo giới mặc dù là lấy thế gia làm chủ, nhưng vậy còn có rất nhiều tán tu rời rạc bên ngoài, không muốn bị gia tộc ràng buộc.

	Bọn họ thực lực cao mạnh, không sợ chuyện cũng không gây chuyện, chính là kia thoải mái ở đâu.

	Bạch gia sơ chưởng Trừ Châu, nếu như liền đem Vương Lục Giáp cái này trên danh nghĩa tán tu thủ lãnh giết, những người khác sẽ nghĩ như thế nào.

	Bạch gia cái ý nghĩ này làm gì, xây dựng vương quốc độc lập, áp đảo hoàng quyền trên sao?

	Còn có nhường hay không tán tu lăn lộn?

	Phải biết trong tán tu cũng có cường giả, quy nguyên cảnh cao nhất cường giả, ví dụ như tán phật lý tu xa, chính là trong đó người xuất sắc, lập quốc trước chính là quy nguyên cảnh tông sư. Thích nhất khắp nơi phóng đãng, bất bình giùm.

	"Dĩ nhiên không phải!"

	Lý lão gia tử thương hại nhìn Lâm Chấn Nam một cái.

	Gần đây tiếng gió hạc lệ, cũng đem lão đầu này ép thành dạng gì, động một chút là người chết, à. . . Đáng thương à.

	"Đó là?" Lâm Chấn Nam rất phối hợp hỏi.

	"Vương lão ca gần đây bị người thu phục, người nọ chính là. . ."

	Lý lão gia tử giơ giơ lên điện thoại di động. , để cho Lâm Chấn Nam lần nữa thấy rõ phía trên chữ to.

	"Nói ta liền nói đến đây, lão đệ ngươi đừng nghĩ dùng để cho người chạy trốn, tránh cho lão ca khó xử."

	Tiếng nói vừa dứt, Lý lão gia tử liền chắp tay sau lưng đi ra cửa.

	Ở Lâm Chấn Nam không thấy được xoay người nháy mắt, Lý lão gia tử trong mắt vạch qua một đạo ngoan sắc!

	Bạch gia, nếu ngươi không cho ta Lý gia đường sống, vậy thì đừng trách ta nhẫn tâm!

	Trương Hoa thực lực rốt cuộc như thế nào, hắn cũng không có mười phần chắc chắn, chỉ có thể âm thầm suy đoán, tuyệt đối không phải một cái phổ thông tán tu đơn giản như vậy.

	Tán tu, nếu không có truyền thừa, vậy tu vi cũng so cùng lứa con em thế gia thấp, hơn nữa không có sư phụ dạy dỗ, muốn tu luyện tới nội kình đều là khó lại càng khó hơn, chớ nói chi là trên hóa kính còn có quy nguyên cảnh.

	Tán phật lý tu xa đừng xem là tán tu, nhưng ban đầu hắn cũng là người trong phật môn, sau đó bởi vì là một ít biến cố, lúc này mới phá cửa ra, thành là tán tu.

	Trương Hoa có thể thu phục Vương Lục Giáp, sau lưng nhất định là có đại thế lực, nếu không một cái hóa kính cao thủ, cũng không phải là bên đường cải trắng, kia có thể tốt như vậy thu phục?

	Có thể thu phục hóa kính cao thủ, trên lý thuyết, ít nhất phải là quy nguyên cảnh tông sư mới được!

	Bạch Ngọc Thang mặc dù đã đột phá tới quy nguyên, có thể cũng không quá mới vừa tấn thăng, nếu với Trương Hoa người sau lưng đối với, ai thắng thắng bại còn chưa thể biết được!

	Một khi Bạch gia thua, vậy Trừ Châu thiên coi như phải tái biến thay đổi. Coi như không thay đổi, không có trước khí thôn như hổ khí thế, khẳng định đối với những gia tộc khác chèn ép vậy sẽ không như vậy cấp bách.

	Lý gia đoán chừng cũng có thể có một đường sinh cơ, tối thiểu có thể ở lâu điểm thời gian xử lý sản nghiệp.

	Lý lão gia tử chậm rãi đi tới cổng sân, giống như bảo an như nhau, người bảo vệ Lâm gia!

	Cho phép vào không cho phép ra!

	Vụng trộm mưu đồ thuộc về mưu đồ, trên mặt nổi mặt mũi cũng phải quá đi, phải làm xong bản lĩnh chuẩn bị.

	"Hy vọng lão Từ vậy không suy đoán, nếu không ta Lý gia cũng chỉ có thể tay cụt cầu sinh, buông tha hơn nửa gia sản tổng so mất mạng tốt. . ."

	Nghĩ như vậy, lão gia tử lưng lại hướng xuống hơi cong chút.

	Không thực lực liền không sức lực, cái này lưng liền dường như không đứng lên!

	. . .

	"Trương Hoa, Trương Hoa!"

	Lâm Chấn Nam vuốt ve cây nạng, mặt lộ vẻ trầm ngâm.

	Và Lý lão gia tử suy tính bất đồng, hắn nghĩ càng là sâu xa một ít. Giờ phút này Bạch gia đã thuộc về giận đùng đùng chính giữa, Bạch Ngọc Thang chết em trai ruột, nếu không cái giải thích, hơn nữa giết chết hung thủ giết người, Bạch gia còn mặt mũi nào mặt ở Trừ Châu xưng vương?

	Giờ phút này, gọi điện thoại thúc giục Lâm Tuyết Nhi, cố nhiên có thể đem Trương Hoa lấy, khiến cho cùng Bạch Ngọc Thang liều mạng, là Lâm gia lấy được một đường sinh cơ.

	Có thể trong này cũng là có nguy hiểm, Trương Hoa quá trẻ tuổi, mới hai mươi tuổi, không thể nào là quy nguyên cảnh tông sư!

	Nhiều lắm là ngay cả có cái quy nguyên cảnh tông sư làm phía sau đài.

	Như vậy vấn đề tới, giờ phút này cái đó quy nguyên cảnh tông sư ở chỗ nào?

	Nếu như ở Trương Hoa bên người khá tốt, nếu như không có ở đây, hẳn là đem Trương Hoa vậy vùi lấp tiến vào. Trọng yếu hơn chính là, đem Lâm Tuyết Nhi hy vọng duy nhất vậy bấm đứt.

	Nếu Trương Hoa sau lưng dùng quy nguyên cảnh võ giả làm hậu thuẫn, Lâm Tuyết Nhi lưu hắn bên người, chỉ cần không thẳng tắp mặt Bạch Ngọc Thang, nhất định là an toàn. Trừ Châu những gia tộc khác chắc hẳn vậy không ai thật là có can đảm đối với một cái khác quy nguyên cảnh tông sư.

	"Ngạch. . ."

	Hôn mê Lâm Hằng phát ra rên rỉ một tiếng: "Nước, nước."

	"Hằng nhi."

	Lâm Chấn Nam lão lệ tung hoành, vội vàng cho Lâm Hằng rót một ly nước, đút vào.

	"Cha, bọn họ là ai ?"

	Lâm Hằng mới ra cửa, liền đối mặt người đến là ai cũng không thấy rõ, liền bị một chiêu đánh trọng thương.

	Bây giờ lại là ngũ tạng đau nhức, có dũng khí sắp chết cảm giác.

	Có thể liền chết như vậy, hắn thật không cam lòng, chết không nhắm mắt à! Chết cũng không biết là ai giết, đến cửu tuyền, Diêm vương gia hỏi tới, hắn cũng không biết nên làm sao trả lời.

	"Bọn họ, bọn họ là võ giả."

	Lâm Chấn Nam do dự một chút, cuối cùng còn là nói ra.

	Chuyện cho tới bây giờ, gạt vậy không có ý nghĩa gì.

	"Võ giả?"

	Lâm Hằng lại ói một búng máu. Gia tộc chúng ta lúc nào trêu chọc đến bực này người đáng sợ vật?

	" Ừ."

	Lâm Chấn Nam vẻ mặt ngưng trọng hơi gật đầu một cái.

	"Cha, đây rốt cuộc là chuyện gì à!" Lâm Hằng kích động, lại ói mấy ngụm máu tươi.

	Mấy ngày nay, cho hắn đả kích thực sự quá lớn!
