Chương 190: Khiếp sợ 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Mọi người chung quanh bị một màn này mạc sợ ngây người, Trương Hoa vẫn còn không hài lòng lắm:
	Mọi người không nhịn được, rối rít thúc giục. Ghét nhất loại này hoặc là không nói lời nào, hoặc là nói một nửa người.

	Tô Hà mặt lộ mong đợi nhìn chằm chằm Vương đại sư, thử thăm dò: "Đại sư, có phải hay không đan dược này có vấn đề?"

	"ừ !"

	Vương đại sư theo bản năng gật đầu một cái.

	Thuốc này thật có vấn đề! Trước ngưng luyện dược liệu lúc này bằng vào mùi thuốc, hắn là có thể kết luận bên trong dược liệu chủng loại và niên đại!

	Nhưng bây giờ, thành đan sau đó, bên trong lại, lại. . . Có vấn đề, tuyệt đối có vấn đề!

	Tô Hà thật to thở phào nhẹ nhõm: "Ta đã nói rồi, hắn một tuổi trẻ, chính là không đáng tin cậy. Bếp điện từ luyện đan, đơn giản là cười nhạo!"

	Lý Vệ liếc mắt một cái Tô Hà, nhàn nhạt trả lời: "Vị này anh bạn trẻ cẩn thận nói! Có một số việc, nhưng mà họa là từ ở miệng mà ra; có vài người, ngươi vậy không đắc tội nổi."

	"Vương đại sư cũng xác nhận thuốc này có vấn đề, ta còn sợ cái. . ." Tô Hà dửng dưng trả lời.

	"Bóch!"

	Cha Tô chợt một cái tát liền đã qua, "Nghiệt tử! Đừng ở chỗ này mất mặt xấu hổ, nhanh chóng cho ta trở về bế quan!"

	Hắn là một khôn khéo, đã sớm nhìn ra sự việc không đúng. Lý Vệ là nhân vật nào?

	Ở toàn bộ phương nam cũng xếp hàng lên số. Nếu không phải Trương Hoa không giống bình thường, hắn sẽ ăn no rỗi rãnh lên tiếng khuyên?

	Nói sau, coi như Trương Hoa có vấn đề!

	Cũng không phải Tô Hà giờ phút này có thể nghi ngờ!

	Không lại chính là đang đánh Lý Vệ mặt, giễu cợt hắn không có người quen chi minh!

	Tô thị cha con náo nhiệt cũng không có ảnh hưởng đến Lý Vệ, đến hắn địa vị này, đừng nói là náo nhiệt, coi như là đối phương chết, hắn đều là không để ở trong lòng.

	Nếu không phải chuyện liên quan đến Trương Hoa, muốn bán một tốt, hắn căn bản liền miệng cũng lười mở.

	"Xem ra đại sư vậy phát hiện."

	Lý Vệ khóe miệng cười chúm chím nói , đáy mắt vẫn còn có một tia vẫy không ra khiếp sợ.

	Không tưởng tượng nổi, thật là không tưởng tượng nổi à, nếu không phải chính mắt nhìn thấy, hắn là không dám tin.

	"Phát hiện cái gì? Hai vị đừng đả ách mê à!"

	"Đúng vậy, mọi người đều ở đây bực này hồi lâu, nhanh chóng cho thực đấm à!"

	"Đừng để cho mọi người chờ được không?"

	Hắn lời này vừa ra, mọi người lại là một hồi huyên náo.

	Đây rốt cuộc là chuyện gì à, xem không hiểu à! Duy nhất có thể xem hiểu chính là, cái này Trương Hoa có thể thật có vốn để chảnh. Chẳng qua là cái này bàn chải rốt cuộc có bao nhiêu, đó cũng không biết.

	"Vị này anh bạn trẻ, có thể hay không là lão phu giải thích nghi hoặc?"

	Vương đại sư sắc mặt thành khẩn nhìn về phía Trương Hoa.

	"Không thể."

	Trương Hoa vung tay áo tử, quả quyết cự tuyệt.

	Luyện đan đổi lão dược nhưng mà hắn khôi phục tu vi mấu chốt, làm sao có thể như thế tùy tiện liền tiết lộ cho người khác.

	"Thằng nhóc này là không phải ngu à, lại như vậy quả quyết cự tuyệt!"

	"Vương đại sư nhưng mà Dược Vương cốc trưởng lão, nếu không phải muốn vào hồng trần, tìm luyện chế trường sinh đan linh cảm, Chương gia căn bản mời không nhúc nhích hắn! Bao lớn nhân vật à, thằng nhóc này lại dám như vậy vung mặt! Không muốn sống sao!"

	"Người tuổi trẻ chính là không biết trời cao đất rộng, dựa vào bản thân có mấy phần bản lãnh, liền các loại trong mắt không người, ngày hôm nay đoán chừng là muốn bị thua thiệt lớn!"

	Mọi người bàn luận sôi nổi. Nhất trí giúp đỡ Vương đại sư đem Trương Hoa nghiêm trị, tìm về mặt mũi.

	Vương đại sư nhưng cũng không giống như bọn họ tưởng tượng như vậy nổi nóng, ngược lại hơi khom người một cái: "Là lão phu đường đột, xin lỗi."

	"Ta đi! Ta đi!"

	"Lỗ tai ta có phải điếc hay không!"

	"Nhất định là gió lớn quá, nghe lầm!"

	"Tuyệt bích là, bình thường lão Thiết!"

	Mọi người đang nghe được Vương đại sư xin lỗi lúc đó, thật không ai dám tin tưởng à. Cái này còn là ngày thường cao cao tại thượng, dùng lỗ mũi nhìn người luyện đan sư sao?

	Dược Vương cốc trưởng lão lúc nào cũng biết trí khiểm?

	Uống lộn thuốc? Vẫn là lúc ra cửa quên uống thuốc!

	"Thằng nhóc này lại thật biết luyện đan!" Tiếu Chân giờ phút này mới từ trong ngây người kịp phản ứng. Sau đó chính là một hồi tức giận, nàng áo bị xé, chỉ còn lại thiếp thân hấp dẫn đồ lót che kín chỗ hiểm!

	"Ngươi bồi ta quần áo!"

	Tiếu Chân hai tay bưng bít ngực, núp ở Mạnh Á Văn sau lưng.Chương 190: Khiếp sợ 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Mọi người chung quanh bị một màn này mạc sợ ngây người, Trương Hoa vẫn còn không hài lòng lắm:

	"Hay là chuẩn bị không đầy đủ à, như muốn hoàn toàn gìn giữ dược tính, tránh cho chạy mất, phải dùng bình ngọc mới được! Nhất không tốt cũng phải dùng lâu giấu bình sứ. May mà, những thứ này chỉ là dùng để giao dịch, cũng không cần chú trọng quá nhiều, miễn cưỡng đủ dùng."

	"Cái này, cái này. . ."

	Tô Hà trợn to mắt, thật không có biện pháp tin tưởng mình ánh mắt.

	"Giả, cái này nhất định là giả!"

	Tô Hà không ngừng lắc đầu lầm bầm.

	Như đan dược là thật, vậy đối phương nhưng chính là đáng mặt luyện đan sư. Mình như thế chê bai đối phương, hậu quả căn bản không phải hắn có thể tiếp nhận, thậm chí Tô gia cũng không chịu nổi.

	Cha Tô đổ gặp qua không thiếu sóng gió, coi như bình tĩnh, nhìn về phía Vương đại sư: "Đại sư, đan dược này ngài xem?"

	Vương đại sư giờ phút này cũng là mặt đầy không tưởng tượng nổi vẻ.

	Làm là luyện đan sư, không có ai so hắn càng hiểu luyện đan bên trong con đường. Sức lửa thiên thời địa lợi nhân hòa thật sự là như nhau đều không thể thiếu, hơi có không may, chính là thuốc thuốc hư mất!

	Lúc nào bếp điện từ cũng có thể luyện đan? Hơn nữa còn thật luyện được mấy viên tượng mô tượng dạng.

	"Ta tới xem một chút đi."

	Đám người bên ngoài, họ Lý người trung niên lại cũng không giữ được căng thẳng, vừa nói một bên đi tới.

	"Lý tiên sinh."

	"Lý tiên sinh tới!"

	"Lý tiên sinh mời vào bên trong!"

	Nguyên bản dày đặc đám người, lần nữa nặn ra một cái 1m chiều rộng lối đi.

	Họ Lý người trung niên một mặt mỉm cười, để cho người như mộc xuân phong đi tới Trương Hoa trước mặt: "Anh bạn trẻ này, có thể hay không cho Lý Vệ xem một chút?"

	"Xin cứ tự nhiên!"

	Trương Hoa cũng không sợ đối phương tham mặc hắn đan dược.

	Dưới con mắt mọi người, chắc hẳn đối phương vậy không làm được như vậy không biết xấu hổ chuyện.

	Lý Vệ đùa giỡn muốn, dè dặt bưng lên một viên đan dược, đầu tiên là ngửi một cái, sau đó lại dùng đầu ngón tay quát chút thuốc mạt, nếm nếm, nhất thời thần sắc trở nên hơn nữa ngưng trọng.

	"Lý tiên sinh, cái này rốt cuộc có phải hay không thối thể đan à?"

	"Chính là à Lý tiên sinh, nói chuyện à."

	Mọi người vây xem rối rít lên tiếng thúc giục. Đây có thể chuyện nhốt bọn họ tự thân lợi ích, như Trương Hoa cũng có thể luyện đan, vậy bọn họ mỗi lần cũng không dùng được giống như heo như nhau đưa tới cửa, bị Vương đại sư làm thịt!

	Phải biết, mời luyện đan sư ra tay luyện đan hoa kia phí có thể thật không nhỏ, tự có dược liệu không nói, thất bại đối phương không phụ trách, thành công thì tiền huê hồng một nửa, còn phải quá mức cái bao lì xi lớn!

	Thật đặc biệt là đại gia à!

	Nhưng vậy không có biện pháp, ai bảo chính bọn họ không biết luyện đâu ?

	Hơn nữa muốn cho hậu bối trẻ tuổi mau sớm tăng lên, có đánh vào quy nguyên cảnh tư cách, đan dược này là tuyệt đối không thể thiếu. Nếu không, ừ, Hoa gia Hoa Hùng, Ngọc Liễu sơn trang Liễu Chính Trung, Quan Trung tán tu Vương Lục Giáp chính là tốt nhất thất bại trước trường hợp.

	Thật vất vả tu tới hóa kính đỉnh cấp, kết quả bởi vì là lớn tuổi, huyết khí chưa đủ, đời này cũng không có vọng quy nguyên! Cưỡng ép đánh vào chỉ có một kết quả —— chết!

	"À!"

	Đối mặt mọi người thúc giục, Lý Vệ không có lời, chẳng qua là thật sâu thở dài, nhìn về phía Vương đại sư: "Vương lão, ngài vậy xem một chút đi."

	"Làm sao, thằng nhóc ngươi cũng xác thực không nhận được sao?"

	Vương đại sư lẩm bẩm, nhận lấy đan dược, tế phẩm chốc lát, ánh mắt chợt trợn to, gắt gao nhìn chằm chằm Trương Hoa: "Cái này không thể nào! Cái này không thể nào!"

	"Vương đại sư, rốt cuộc thế nào?"

	"Chính là à, nói chuyện đừng nói một nửa à!"

	Mọi người không nhịn được, rối rít thúc giục. Ghét nhất loại này hoặc là không nói lời nào, hoặc là nói một nửa người.

	Tô Hà mặt lộ mong đợi nhìn chằm chằm Vương đại sư, thử thăm dò: "Đại sư, có phải hay không đan dược này có vấn đề?"

	"ừ !"

	Vương đại sư theo bản năng gật đầu một cái.

	Thuốc này thật có vấn đề! Trước ngưng luyện dược liệu lúc này bằng vào mùi thuốc, hắn là có thể kết luận bên trong dược liệu chủng loại và niên đại!

	Nhưng bây giờ, thành đan sau đó, bên trong lại, lại. . . Có vấn đề, tuyệt đối có vấn đề!

	Tô Hà thật to thở phào nhẹ nhõm: "Ta đã nói rồi, hắn một tuổi trẻ, chính là không đáng tin cậy. Bếp điện từ luyện đan, đơn giản là cười nhạo!"

	Lý Vệ liếc mắt một cái Tô Hà, nhàn nhạt trả lời: "Vị này anh bạn trẻ cẩn thận nói! Có một số việc, nhưng mà họa là từ ở miệng mà ra; có vài người, ngươi vậy không đắc tội nổi."

	"Vương đại sư cũng xác nhận thuốc này có vấn đề, ta còn sợ cái. . ." Tô Hà dửng dưng trả lời.

	"Bóch!"

	Cha Tô chợt một cái tát liền đã qua, "Nghiệt tử! Đừng ở chỗ này mất mặt xấu hổ, nhanh chóng cho ta trở về bế quan!"

	Hắn là một khôn khéo, đã sớm nhìn ra sự việc không đúng. Lý Vệ là nhân vật nào?

	Ở toàn bộ phương nam cũng xếp hàng lên số. Nếu không phải Trương Hoa không giống bình thường, hắn sẽ ăn no rỗi rãnh lên tiếng khuyên?

	Nói sau, coi như Trương Hoa có vấn đề!

	Cũng không phải Tô Hà giờ phút này có thể nghi ngờ!

	Không lại chính là đang đánh Lý Vệ mặt, giễu cợt hắn không có người quen chi minh!

	Tô thị cha con náo nhiệt cũng không có ảnh hưởng đến Lý Vệ, đến hắn địa vị này, đừng nói là náo nhiệt, coi như là đối phương chết, hắn đều là không để ở trong lòng.

	Nếu không phải chuyện liên quan đến Trương Hoa, muốn bán một tốt, hắn căn bản liền miệng cũng lười mở.

	"Xem ra đại sư vậy phát hiện."

	Lý Vệ khóe miệng cười chúm chím nói , đáy mắt vẫn còn có một tia vẫy không ra khiếp sợ.

	Không tưởng tượng nổi, thật là không tưởng tượng nổi à, nếu không phải chính mắt nhìn thấy, hắn là không dám tin.

	"Phát hiện cái gì? Hai vị đừng đả ách mê à!"

	"Đúng vậy, mọi người đều ở đây bực này hồi lâu, nhanh chóng cho thực đấm à!"

	"Đừng để cho mọi người chờ được không?"

	Hắn lời này vừa ra, mọi người lại là một hồi huyên náo.

	Đây rốt cuộc là chuyện gì à, xem không hiểu à! Duy nhất có thể xem hiểu chính là, cái này Trương Hoa có thể thật có vốn để chảnh. Chẳng qua là cái này bàn chải rốt cuộc có bao nhiêu, đó cũng không biết.

	"Vị này anh bạn trẻ, có thể hay không là lão phu giải thích nghi hoặc?"

	Vương đại sư sắc mặt thành khẩn nhìn về phía Trương Hoa.

	"Không thể."

	Trương Hoa vung tay áo tử, quả quyết cự tuyệt.

	Luyện đan đổi lão dược nhưng mà hắn khôi phục tu vi mấu chốt, làm sao có thể như thế tùy tiện liền tiết lộ cho người khác.

	"Thằng nhóc này là không phải ngu à, lại như vậy quả quyết cự tuyệt!"

	"Vương đại sư nhưng mà Dược Vương cốc trưởng lão, nếu không phải muốn vào hồng trần, tìm luyện chế trường sinh đan linh cảm, Chương gia căn bản mời không nhúc nhích hắn! Bao lớn nhân vật à, thằng nhóc này lại dám như vậy vung mặt! Không muốn sống sao!"

	"Người tuổi trẻ chính là không biết trời cao đất rộng, dựa vào bản thân có mấy phần bản lãnh, liền các loại trong mắt không người, ngày hôm nay đoán chừng là muốn bị thua thiệt lớn!"

	Mọi người bàn luận sôi nổi. Nhất trí giúp đỡ Vương đại sư đem Trương Hoa nghiêm trị, tìm về mặt mũi.

	Vương đại sư nhưng cũng không giống như bọn họ tưởng tượng như vậy nổi nóng, ngược lại hơi khom người một cái: "Là lão phu đường đột, xin lỗi."

	"Ta đi! Ta đi!"

	"Lỗ tai ta có phải điếc hay không!"

	"Nhất định là gió lớn quá, nghe lầm!"

	"Tuyệt bích là, bình thường lão Thiết!"

	Mọi người đang nghe được Vương đại sư xin lỗi lúc đó, thật không ai dám tin tưởng à. Cái này còn là ngày thường cao cao tại thượng, dùng lỗ mũi nhìn người luyện đan sư sao?

	Dược Vương cốc trưởng lão lúc nào cũng biết trí khiểm?

	Uống lộn thuốc? Vẫn là lúc ra cửa quên uống thuốc!

	"Thằng nhóc này lại thật biết luyện đan!" Tiếu Chân giờ phút này mới từ trong ngây người kịp phản ứng. Sau đó chính là một hồi tức giận, nàng áo bị xé, chỉ còn lại thiếp thân hấp dẫn đồ lót che kín chỗ hiểm!

	"Ngươi bồi ta quần áo!"

	Tiếu Chân hai tay bưng bít ngực, núp ở Mạnh Á Văn sau lưng.
