Chương 234: Ly rượu 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Hôm nay TQ linh khí thiếu thốn, muốn chế thành pháp khí là vô cùng là khó khăn.
	Nhiều như vậy lễ vật, tùy tiện một kiện cũng so ly rượu kia xinh đẹp, giá trị cao. Trương Hoa làm sao liền chọn như thế cái tầm thường rách rưới đâu ?

	"Có lòng."

	Trương Hoa gật đầu một cái.

	Xem ra lão Lý cũng không phải không biết ly rượu này giá trị, chỉ bất quá cuối cùng hắn vẫn là lựa chọn đưa, xem ra là có chuyện muốn nhờ à.

	. . .

	Phượng Hoàng cổ thành.

	Ở vào Tương Tây tây bộ, là đất gia tộc Miêu tộc tự trị châu tây nam bộ, đất đai diện tích chung chừng mười thước vuông nghìn mét.

	Dân số lấy Miêu tộc, dân tộc Hán, đất gia tộc làm chủ.

	Lập quốc trước, là không tồn tại Phượng Hoàng thành, có chỉ có lớn văn học nhà trầm theo văn quê quán Phượng Hoàng huyện.

	Sau đó có cái họ Trần ông chủ, thầu toàn bộ Phượng Hoàng, tiến hành sửa đổi và tuyên truyền, gắng gượng chế tạo ra một cái trước đó chưa từng có du lịch thắng cảnh!

	Ân, đơn giản nhất, bên trong một trăm khối mua đồ, thả ngoại giới, mười đồng tiền đã đủ hai. . . Cái này vật giá, thật sự là ha ha.

	Miêu tộc, từ xưa có sùng bái sơn tinh cỏ cây biến thành tinh quỷ tập tục.

	Dĩ nhiên, chúng sẽ tiếng tốt lành viết 'Na thần' .

	Dáng dấp đi, từng cái quỷ dáng vẻ, khuôn mặt dữ tợn, chó răng lộ ra ngoài.

	Cũng không biết có gì tốt sùng bái, đại khái chính là úy mà sống uy đi.

	Trừ na thần, Tương Tây Miêu tộc còn một cái nổi danh nhất đồ, dĩ nhiên là cản thi văn hóa. Lữ nhân sau khi chết, tu mang trở về quê quán hạ táng, phương có thể khiến cho linh hồn An ninh.

	Trên Net từng có không biết tên dư luận viên mang tiết tấu, nói cản thi là bảng quảng cáo, trong thi thể giấu ma túy độc mới là thật.

	Lời này, phàm là có chút đầu óc cũng sẽ không thư. Bán ma túy giấu độc cũng chỉ gần trăm năm chuyện, có thể cản thi tập tục có thể truy tìm ngàn năm.

	Không nói khác, cản thi phái thì đã lập phái ngàn năm!

	Ân, đây cũng không phải là nói càn, có chứng cớ! Đồng tướng quân chính là ngàn năm đồng thi!

	Năm đó hắn chính là bị cản thi phái lão tổ luyện chế mà thành!

	. . .

	Xế trưa, Phượng Hoàng cổ thành bên ngoài, một chiếc rất lớn bình thường ba trên xe.

	"Mọi người chú ý, lập tức tới ngay Phượng Hoàng cổ thành, đợi một hồi xuống xe thời điểm nhất định phải nhớ cùng tốt đội ngũ, dù sao cũng chớ đi lạc." Hướng dẫn du lịch dương phàm giơ kèn rống to.

	Hắn là một cái hơn hai mươi tuổi người tuổi trẻ, bởi vì là thích du lịch, lúc này mới thi giấy phép hướng dẫn du lịch, sau đó liền vào công ty du lịch. Vốn lấy là có thể giống như trên Net hắc hướng dẫn du lịch như nhau, được lợi cái bát đầy chậu đầy, làm giàu. Thật là nhập được sau đó, mới phát hiện, cái này hắc hướng dẫn du lịch thật không phải là muốn làm liền có thể làm. Ân, hắn không là chủ, liền không nói rõ.

	"Đến sao."

	Phía sau dựa vào nơi cửa sổ, Trương Hoa lười biếng mở mắt ra, thích ý thư liền cái vươn người.

	Ở trên xe buýt ngủ, thật có loại kiểu khác cảm giác. Khắp nơi đều là người, mùi khó ngửi, có thể chỉ cần dùng được quy tức thuật liền hết thảy OK. Tiếp theo, liền có thể vễnh tai, nghe các loại bát quái tán gẫu.

	Đi ra cùng đoàn du lịch, phần lớn là đô thị tiểu thị dân, không nỡ bỏ bỏ ra số tiền lớn, lại tham tiện nghi nhỏ. Không có sao tụ cùng nhau, chính là các loại chuyện nhà chuyện cửa, cẩn thận nghe một chút, thật thật có ý tứ.

	Còn có một cặp nhàm chán, ở trên xe phát Wechat bao lì xì. Đoạt mấy lông mấy phần, thật hưng phấn phải cùng sa so như nhau, cũng không biết rốt cuộc vui gì.

	"Còn không có đâu! Nếu là mình lái xe đổ đã sớm tới, có thể lớn mạnh ba, cái này dừng một chút, vậy dừng một chút, nào có nhanh như vậy!"

	Tiếu Chân tức giận bỉu môi một cái.

	Nàng là thật nháo không hiểu Trương Hoa rốt cuộc nghĩ thế nào, để xe sang không làm, nếu không phải là chơi cái này! Dọc theo đường đi bảy tám giờ, còn chán ghét đòi mạng, toan tính gì à!

	"Ngươi muốn không vui, có thể mình hồi đi làm à, ta không ngăn."

	Trương Hoa nhàn nhạt trả lời, cũng không đem Tiếu Chân bất mãn yên tâm lên.

	Nhận thức phàm trần cũng không nhất định nói phải đem mình biến thành người phàm! Nhân tiên nhân tiên, có một cái chữ tiên ở phía sau, có lực lượng cường đại, làm sao có thể thật và người bình thường giống vậy chứ ?

	Đối với hồng trần, có thể xem qua, có thể thưởng thức, nhưng đắm chìm trong đó, là hồng trần tục chuyện nơi nhiễu, đó chính là sa so.

	Thật ra thì trong hồng trần chuyện, nói trắng ra, 99% chuyện là tiền gây, còn có trong 1% chính là sở cầu vô độ. Thật không có gì hay phiền, đã thấy ra chỉ như vậy.

	"Ta. . ." Tiếu Chân tức giận, thật rất muốn vung một câu lão nương không hầu hạ.

	"Chị Chân."

	Mạnh Á Văn liền vội vàng kéo lại Tiếu Chân, dè dặt xin nhiêu.

	"À, oan nghiệt à!"

	Tiếu Chân than thở một tiếng, sửa lời nói: "Ta nếu không phải nhìn Văn Văn phân thượng, mới sẽ không cùng ngươi tới đây chứ! Ta được thay dì Vương nhìn chằm chằm điểm, tránh cho ngươi đối với Văn Văn làm chuyện xấu."

	"Chị Chân, ngươi nói bậy gì đấy!"

	Mạnh Á Văn mắc cở đỏ mặt, nửa ngày không nói ra lời.

	Lời này tại sao có thể trước mặt nói ra, nhiều ngại quá à. Lặng lẽ làm không phải tốt. . .

	"Ta cũng không nói càn, ngươi như vậy, dễ dàng nhất bị khi dễ." Tiếu Chân gặp bạn gái thân như vậy, trong lòng ngầm tối tăm lắc đầu.

	Thật là cô gái khờ à.

	Người đàn ông là không biết quý trọng đồ tới tay quá dễ dàng, dù là vậy thật là đồ tốt!

	Hoa nhà không bằng hoa dại thơm à.

	"Được rồi, xuống xe đi!"

	Trương Hoa lười cái này tra, gọi một tiếng, tự nhiên đứng dậy.

	Người phụ nữ đâu, liền là thích suy nghĩ bậy bạ. Đối với Mạnh Á Văn, hắn cũng không phân nửa tình yêu nam nữ.

	Chỉ bất quá bởi vì trước kia bị Mạnh Á Văn giúp qua, cho nên lúc này mới dọc theo đường đi nhân tiện chiếu cố một chút, biết rõ nhân quả thôi.Chương 234: Ly rượu 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Hôm nay TQ linh khí thiếu thốn, muốn chế thành pháp khí là vô cùng là khó khăn.

	Quang nguyên liệu điều này, liền khó khăn chết đa số người.

	Liền liền Trương Hoa, lâu như vậy, vậy không tìm được cái gì tài liệu thích hợp có thể dùng để chế pháp khí.

	Trên Net những cái kia cái gì tiểu thuyết, nói rất hay giống như pháp khí gắng gượng không đáng tiền, tùy tiện một khối ngọc điêu khắc xuống, khắc ghi mấy vị thần văn, một kiện pháp khí là được.

	Đối với loại này sát so không chịu trách nhiệm lời bàn, Trương Hoa chỉ muốn nói một câu, tới tới tới, ngươi được ngươi lên à!

	Có nguyên liệu còn cần khắc ghi cơ bản nhất hút linh trận, hấp thu linh khí, dự trữ đợi dùng. Còn như quá mức, còn muốn để cho pháp khí có công kích hoặc là phòng ngự hiệu quả, vậy thì nói khác.

	"Giữ bây giờ cái này tình thế, pháp khí chí ít có thể làm là thế gia ngàn năm vật truyền thừa, cũng không biết gia tộc nào như thế không trưởng lòng, cuối cùng đưa đồ chơi này."

	Trương Hoa nhặt lên đồng xanh ly rượu, vào tay còn thật nặng, có chút phân lượng. Trong này hẳn là xen lẫn tinh đồng!

	Trăm cân phẩm chất cao đồng khối mới khá đề luyện ra một tia tinh đồng. Ly rượu này bên trong, chí ít trăm tơ, dùng hơn 5 tấn đồng.

	Lại bất luận cái này đồng giá cả bao nhiêu, liền nói cái này đề luyện chương trình, đó chính là các loại phiền toái.

	Tại tu chân giới khá tốt, có người đặc biệt làm những thứ này được lợi linh thạch; có thể trên Trái Đất, thật liền ha ha đát, muốn cái gì cũng được từ mình đi luyện!

	Có rãnh rỗi luyện pháp khí, hắn tăng phúc chiến lực, còn không bằng tốn thêm điểm thời gian tăng lên tu vi!

	"Vật này ai đưa?"

	Trương Hoa rất hài lòng cân nhắc ly rượu.

	Thu người tiền tài, cùng người tiêu tai. Đối phương tuy là vô tình đưa ra, có thể nếu thu lễ vật, vậy dù sao cũng phải ý nghĩa ý nghĩa, chấm dứt nhân quả.

	"Ta tra một chút."

	Tiếu Chân lật ghi danh bản, "À, cái này à, là lão Lý đưa."

	"Lão Lý, Lý Vệ?"

	Trương Hoa kinh ngạc.

	Tên nầy đưa cái gì lễ à? Cám ơn ta hỗ trợ đem nhà hắn lão tổ làm thịt sao?

	"Ừ, chính là hắn." Tiếu Chân gật đầu một cái, nhưng là có chút xem không hiểu.

	Nhiều như vậy lễ vật, tùy tiện một kiện cũng so ly rượu kia xinh đẹp, giá trị cao. Trương Hoa làm sao liền chọn như thế cái tầm thường rách rưới đâu ?

	"Có lòng."

	Trương Hoa gật đầu một cái.

	Xem ra lão Lý cũng không phải không biết ly rượu này giá trị, chỉ bất quá cuối cùng hắn vẫn là lựa chọn đưa, xem ra là có chuyện muốn nhờ à.

	. . .

	Phượng Hoàng cổ thành.

	Ở vào Tương Tây tây bộ, là đất gia tộc Miêu tộc tự trị châu tây nam bộ, đất đai diện tích chung chừng mười thước vuông nghìn mét.

	Dân số lấy Miêu tộc, dân tộc Hán, đất gia tộc làm chủ.

	Lập quốc trước, là không tồn tại Phượng Hoàng thành, có chỉ có lớn văn học nhà trầm theo văn quê quán Phượng Hoàng huyện.

	Sau đó có cái họ Trần ông chủ, thầu toàn bộ Phượng Hoàng, tiến hành sửa đổi và tuyên truyền, gắng gượng chế tạo ra một cái trước đó chưa từng có du lịch thắng cảnh!

	Ân, đơn giản nhất, bên trong một trăm khối mua đồ, thả ngoại giới, mười đồng tiền đã đủ hai. . . Cái này vật giá, thật sự là ha ha.

	Miêu tộc, từ xưa có sùng bái sơn tinh cỏ cây biến thành tinh quỷ tập tục.

	Dĩ nhiên, chúng sẽ tiếng tốt lành viết 'Na thần' .

	Dáng dấp đi, từng cái quỷ dáng vẻ, khuôn mặt dữ tợn, chó răng lộ ra ngoài.

	Cũng không biết có gì tốt sùng bái, đại khái chính là úy mà sống uy đi.

	Trừ na thần, Tương Tây Miêu tộc còn một cái nổi danh nhất đồ, dĩ nhiên là cản thi văn hóa. Lữ nhân sau khi chết, tu mang trở về quê quán hạ táng, phương có thể khiến cho linh hồn An ninh.

	Trên Net từng có không biết tên dư luận viên mang tiết tấu, nói cản thi là bảng quảng cáo, trong thi thể giấu ma túy độc mới là thật.

	Lời này, phàm là có chút đầu óc cũng sẽ không thư. Bán ma túy giấu độc cũng chỉ gần trăm năm chuyện, có thể cản thi tập tục có thể truy tìm ngàn năm.

	Không nói khác, cản thi phái thì đã lập phái ngàn năm!

	Ân, đây cũng không phải là nói càn, có chứng cớ! Đồng tướng quân chính là ngàn năm đồng thi!

	Năm đó hắn chính là bị cản thi phái lão tổ luyện chế mà thành!

	. . .

	Xế trưa, Phượng Hoàng cổ thành bên ngoài, một chiếc rất lớn bình thường ba trên xe.

	"Mọi người chú ý, lập tức tới ngay Phượng Hoàng cổ thành, đợi một hồi xuống xe thời điểm nhất định phải nhớ cùng tốt đội ngũ, dù sao cũng chớ đi lạc." Hướng dẫn du lịch dương phàm giơ kèn rống to.

	Hắn là một cái hơn hai mươi tuổi người tuổi trẻ, bởi vì là thích du lịch, lúc này mới thi giấy phép hướng dẫn du lịch, sau đó liền vào công ty du lịch. Vốn lấy là có thể giống như trên Net hắc hướng dẫn du lịch như nhau, được lợi cái bát đầy chậu đầy, làm giàu. Thật là nhập được sau đó, mới phát hiện, cái này hắc hướng dẫn du lịch thật không phải là muốn làm liền có thể làm. Ân, hắn không là chủ, liền không nói rõ.

	"Đến sao."

	Phía sau dựa vào nơi cửa sổ, Trương Hoa lười biếng mở mắt ra, thích ý thư liền cái vươn người.

	Ở trên xe buýt ngủ, thật có loại kiểu khác cảm giác. Khắp nơi đều là người, mùi khó ngửi, có thể chỉ cần dùng được quy tức thuật liền hết thảy OK. Tiếp theo, liền có thể vễnh tai, nghe các loại bát quái tán gẫu.

	Đi ra cùng đoàn du lịch, phần lớn là đô thị tiểu thị dân, không nỡ bỏ bỏ ra số tiền lớn, lại tham tiện nghi nhỏ. Không có sao tụ cùng nhau, chính là các loại chuyện nhà chuyện cửa, cẩn thận nghe một chút, thật thật có ý tứ.

	Còn có một cặp nhàm chán, ở trên xe phát Wechat bao lì xì. Đoạt mấy lông mấy phần, thật hưng phấn phải cùng sa so như nhau, cũng không biết rốt cuộc vui gì.

	"Còn không có đâu! Nếu là mình lái xe đổ đã sớm tới, có thể lớn mạnh ba, cái này dừng một chút, vậy dừng một chút, nào có nhanh như vậy!"

	Tiếu Chân tức giận bỉu môi một cái.

	Nàng là thật nháo không hiểu Trương Hoa rốt cuộc nghĩ thế nào, để xe sang không làm, nếu không phải là chơi cái này! Dọc theo đường đi bảy tám giờ, còn chán ghét đòi mạng, toan tính gì à!

	"Ngươi muốn không vui, có thể mình hồi đi làm à, ta không ngăn."

	Trương Hoa nhàn nhạt trả lời, cũng không đem Tiếu Chân bất mãn yên tâm lên.

	Nhận thức phàm trần cũng không nhất định nói phải đem mình biến thành người phàm! Nhân tiên nhân tiên, có một cái chữ tiên ở phía sau, có lực lượng cường đại, làm sao có thể thật và người bình thường giống vậy chứ ?

	Đối với hồng trần, có thể xem qua, có thể thưởng thức, nhưng đắm chìm trong đó, là hồng trần tục chuyện nơi nhiễu, đó chính là sa so.

	Thật ra thì trong hồng trần chuyện, nói trắng ra, 99% chuyện là tiền gây, còn có trong 1% chính là sở cầu vô độ. Thật không có gì hay phiền, đã thấy ra chỉ như vậy.

	"Ta. . ." Tiếu Chân tức giận, thật rất muốn vung một câu lão nương không hầu hạ.

	"Chị Chân."

	Mạnh Á Văn liền vội vàng kéo lại Tiếu Chân, dè dặt xin nhiêu.

	"À, oan nghiệt à!"

	Tiếu Chân than thở một tiếng, sửa lời nói: "Ta nếu không phải nhìn Văn Văn phân thượng, mới sẽ không cùng ngươi tới đây chứ! Ta được thay dì Vương nhìn chằm chằm điểm, tránh cho ngươi đối với Văn Văn làm chuyện xấu."

	"Chị Chân, ngươi nói bậy gì đấy!"

	Mạnh Á Văn mắc cở đỏ mặt, nửa ngày không nói ra lời.

	Lời này tại sao có thể trước mặt nói ra, nhiều ngại quá à. Lặng lẽ làm không phải tốt. . .

	"Ta cũng không nói càn, ngươi như vậy, dễ dàng nhất bị khi dễ." Tiếu Chân gặp bạn gái thân như vậy, trong lòng ngầm tối tăm lắc đầu.

	Thật là cô gái khờ à.

	Người đàn ông là không biết quý trọng đồ tới tay quá dễ dàng, dù là vậy thật là đồ tốt!

	Hoa nhà không bằng hoa dại thơm à.

	"Được rồi, xuống xe đi!"

	Trương Hoa lười cái này tra, gọi một tiếng, tự nhiên đứng dậy.

	Người phụ nữ đâu, liền là thích suy nghĩ bậy bạ. Đối với Mạnh Á Văn, hắn cũng không phân nửa tình yêu nam nữ.

	Chỉ bất quá bởi vì trước kia bị Mạnh Á Văn giúp qua, cho nên lúc này mới dọc theo đường đi nhân tiện chiếu cố một chút, biết rõ nhân quả thôi.
