Chương 63: Giựt nợ 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	" Ừ."
	Nghe ngoài cửa mọi người nghị luận, Hoàng Quân cùng với hội Nghĩa An trên mặt mọi người vẻ hài hước trở nên càng thêm nồng nặc, trước không nói thực lực, coi như là nói quy củ hắn sao cũng là đứng ở đạo đức chế cao điểm lên.

	Như vậy dưới tình huống khi dễ người khác, cũng là một kiện rất có thoải mái cảm sự việc.

	"Các người phải nói quy củ đúng không?"

	Lại nói trong sân Trương Hoa, đối với tiếng nghị luận, không chút nào để ở trong lòng, ngược lại nhiều hứng thú nhìn Hoàng Quân nói.

	Hoàng Quân cười nhạt, giống như cấp trên vậy nói: "Đây là tự nhiên!"

	"Nếu ta có thể mua ngươi trong tiệm này điện thoại di động, ngươi lại đãi như vì sao?" Trương Hoa hỏi.

	"Ta trước không phải đã nói sao? Chỉ cần ngươi có thể cầm ra năm trăm ngàn, chuyện hôm nay cũng được đi, ta thả ngươi rời đi!" Hoàng Quân trong giọng nói, đã có chút không nhịn được.

	"Ngươi coi mình là kẻ ngu vẫn là làm ta là người ngu?" Trương Hoa cười nhạt.

	"Ha ha." Hoàng Quân vui vẻ cười to đứng lên, "Ngươi như thế nói, đúng là cũng có chút đạo lý, nếu nói hết rồi ta Hoàng Quân là một người biết phải trái, vậy ta liền lại cho ngươi một lần cơ hội, chỉ cần ngươi có thể lấy ra năm trăm ngàn, ta Hoàng Quân giống như ngươi nói xin lỗi, nhưng nếu là không lấy ra được, tay ngươi hoặc là chân, liền không thuộc về ngươi!"

	Nói cuối cùng, Hoàng Quân giọng trở nên càng âm trầm.

	Trương Hoa không chút nào bị Hoàng Quân lộ ra âm ngoan vẻ hù được, chỉ gặp hắn khóe miệng nói về một đường vòng cung, nhìn hắn cười lạnh nói: "Nếu như ta không lấy ra được, mạng ta cho ngươi, nếu là cầm ra được, ta muốn ngươi quỳ xuống nói xin lỗi, có dám?"

	"A Hoa, không muốn à!"

	Nghe được Trương Hoa mà nói, Vương Hiểu Phong trong lòng lộp bộp một tiếng, kinh hô. Mặc dù hắn không hiểu ngày hôm nay Trương Hoa tại sao lại giống như là biến thành một người khác vậy, nhưng bây giờ bọn họ đối mặt có thể là một đám lăn lộn xã hội người à, muốn là thật không cầm ra nhiều như vậy tiền, thật có thể đem mạng nhỏ đều vứt bỏ.

	Trương Hoa quay đầu cho Vương Hiểu Phong một cái yên tâm ánh mắt sau đó, lại quay đầu nhìn Hoàng Quân giễu giễu nói: "Dám không?"

	"Ha ha!" Hoàng Quân giận dử ngược lại cười, hắn ở thành phố Đông Hải lăn lộn nhiều năm như vậy, há có thể bị Trương Hoa một cái lông cũng không có đủ dài tiểu tử hù dọa, cười lạnh nói: "Ngày hôm nay ngươi nếu như không lấy ra được, bố sẽ phải mạng ngươi!"

	"Cũng được, ngày hôm nay Thiên Hoa chân nhân liền cùng các người nói một chút quy củ."

	Trương Hoa khóe miệng vạch qua một đường vòng cung, chậm rãi đem tấm thẻ lấy ra, chỉ gặp hắn tiện tay ném một cái, vậy tấm thẻ giống như dài ánh mắt vậy, bay hướng Hoàng Quân.

	Mặc dù Trương Hoa cho mình cha Trương Triêu Dương 8 triệu, trong thẻ số còn lại, cũng ở đây hơn 1 triệu.

	"Hừ." Hoàng Quân nhận lấy tấm thẻ, sau một tiếng hừ lạnh, đưa cho sau lưng Chu Yến nói: "Đi soàn soạt năm trăm ngàn."

	" Uhm, ông chủ!"

	Chu Yến vội vàng nhận lấy thẻ ngân hàng, trong lòng tất cả đều là khinh thường, nàng là 10 ngàn cái sẽ không tin tưởng, trong tay cái thẻ này sẽ có vượt qua năm trăm ngàn có thể.

	Máy pos trước mặt, Chu Yến mặt đầy hài hước thao tác, nhưng chỉ chốc lát sau, nàng vẻ mặt biến đổi lớn, miệng dáng dấp tựa như có thể cửa ải hạ một cái trứng gà.

	"Ông chủ. . . Cái này. . . Điều này sao có thể?"

	Nhìn nhắc nhở điền mật mã vào, Chu Yến đầy mặt không thể tin, không có biểu hiện số còn lại chưa đủ, vậy thì đại biểu trong tấm thẻ này mặt, tối thiểu cũng có năm trăm ngàn tồn tại, hoặc là nói nhiều hơn cũng là có thể.

	Hoàng Quân nghe vậy, ba bước cũng làm hai bước, đi tới máy pos bên cạnh, đem Chu Yến bị đẩy cái ngã nhào, sau đó đem ánh mắt xít tới.

	Chỉ gặp Hoàng Quân biểu tình trên mặt, nhanh chóng biến ảo, xanh lơ một hồi, trắng một hồi, đến cuối cùng, biến thành gan heo một màu sắc giống vậy, đen cũng sắp nhỏ xuống nước đây.

	'Tên nầy, rõ ràng người mặc hàng vỉa hè hàng, trong thẻ tại sao có nhiều như vậy tiền? Không thể nào, cái này không thể nào!'

	Hoàng Quân ở đáy lòng cuồng loạn hét, trước mặt nhiều người như vậy rất nhiều xuống cam kết, đổi ý, đối với hắn mặt mũi mà nói, sẽ đem là đả kích rất lớn.

	Nhưng là, hướng một cái lông cũng không có đủ dài tiểu tử quỳ xuống nói xin lỗi, vậy hắn Hoàng Quân sau này cũng không cần ở trên đường lăn lộn.

	"Có phải hay không nên thực hiện ngươi hứa hẹn."

	Trương Hoa chắp hai tay sau lưng, ngẩng đầu đứng, một mặt hài hước nhìn sắc mặt biến đổi Hoàng Quân nói.

	Hoàng Quân khóe miệng bắp thịt hung hãn quất rút ra, rất nhanh liền ở trong lòng quyết định chủ ý, trơ tráo không cười nhìn Trương Hoa nói: "Ngươi trong thẻ này, căn bản là không có tiền."

	"Ông chủ, vậy trong thẻ có. . ."

	Chu Yến còn lấy là mình nhìn lầm rồi sao? Vừa mới chuẩn bị nói có tiền lúc này bỗng nhiên nghĩ tới điều gì, vội vàng im miệng, trong lòng cũng là sợ.

	Họa là từ ở miệng mà ra, thiếu chút nữa thì nói lỡ miệng, Hoàng Quân rõ ràng cho thấy không muốn thừa nhận, cho nên mới nói ra như vậy, nếu như mình phá hủy hắn chiếc, hậu quả kia thiết tưởng không chịu nổi.

	"Ta sớm nên nghĩ đến, ngươi sẽ không thừa nhận." Trương Hoa lắc đầu một cái, như có điều suy nghĩ, tự lẩm bẩm, sau đó hắn thanh âm lạnh lẽo:

	"Xem ra, quy củ vẫn là không có quả đấm dễ xài à, nếu ngươi không thừa nhận, vậy cũng chỉ có thể ta để cho ngươi thừa nhận."Chương 63: Giựt nợ 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	" Ừ."

	Trương Hoa cũng không phủ nhận Hoàng Quân mà nói, thản nhiên nói.

	'Xong đời.'

	Vương Hiểu Phong trong lòng lộp bộp một tiếng, đã làm xong liều mạng đánh một trận chuẩn bị.

	"Hừ, vậy ngươi bây giờ còn có lời gì có thể nói?" Hoàng Quân âm trầm nói, hắn mang tới mấy cái hội Nghĩa An bang chúng, nhìn Trương Hoa trên mặt của hai người, cũng lộ ra hài hước vẻ mặt.

	Lại đang bọn họ hội Nghĩa An bãi cướp đồ, thật đúng là lão thọ tinh treo cổ, tự tìm cái chết à!

	"Nói cái gì có thể nói?" Trương Hoa lắc đầu một cái, tựa như nghe được một kiện rất buồn cười sự việc vậy, chỉ gặp hắn nhún nhún vai, thản nhiên nói:

	"Ta nói ta là tới mua điện thoại di động, còn cần ta nói cái gì vậy?"

	Trương Hoa tiếng nói vừa dứt, hội Nghĩa An mấy người lại là thử cười ra tiếng, chỉ thích ngươi như vậy nghiêm trang nói bậy nói bạ.

	"Mua điện thoại di động? Ngươi đặc biệt biết những thứ này điện thoại di động trị giá bao nhiêu tiền sao? Một triệu! Nghe rõ ràng!"

	Hoàng Quân cười cũng lười cười, giống như là một cái sa so vậy nhìn Trương Hoa, chẳng qua là khoác lác nói, ai không biết đâu ? Coi như đưa cái này Trái Đất cho mua lại, cũng bất quá là một câu nói mà thôi.

	"Ta Hoàng Quân, cũng là người biết phải trái, ngày hôm nay ta cho ngươi cái cơ hội, không muốn ngươi cầm ra một triệu, chỉ cần ngươi tại chỗ cầm ra năm trăm ngàn, chuyện hôm nay ta liền không truy cứu."

	Hoàng Quân hài hước nhìn Trương Hoa, cao giọng nói.

	Ngoài cửa những người đó nghe được Hoàng Quân mà nói, nhất thời cũng hứng thú, ánh mắt rối rít nhìn về Trương Hoa.

	"Tên kia là lớp chúng ta, nổi danh quá nghèo, đừng bảo là năm trăm ngàn, sẽ để cho hắn cầm năm ngàn khối cũng không lấy ra được."

	Trong đó có một cái người vây xem, hiển nhiên là nhận ra Trương Hoa, mở miệng nói.

	"Vậy người này, không phải xong đời?"

	Bên cạnh nàng một người mở miệng nói, người nơi này, cũng đều biết Hoàng Quân là lăn lộn xã hội.

	"Xem tình huống này, dĩ nhiên là xong rồi."

	Người nọ lắc đầu một cái, giả mù sa mưa thở dài một cái.

	Nghe ngoài cửa mọi người nghị luận, Hoàng Quân cùng với hội Nghĩa An trên mặt mọi người vẻ hài hước trở nên càng thêm nồng nặc, trước không nói thực lực, coi như là nói quy củ hắn sao cũng là đứng ở đạo đức chế cao điểm lên.

	Như vậy dưới tình huống khi dễ người khác, cũng là một kiện rất có thoải mái cảm sự việc.

	"Các người phải nói quy củ đúng không?"

	Lại nói trong sân Trương Hoa, đối với tiếng nghị luận, không chút nào để ở trong lòng, ngược lại nhiều hứng thú nhìn Hoàng Quân nói.

	Hoàng Quân cười nhạt, giống như cấp trên vậy nói: "Đây là tự nhiên!"

	"Nếu ta có thể mua ngươi trong tiệm này điện thoại di động, ngươi lại đãi như vì sao?" Trương Hoa hỏi.

	"Ta trước không phải đã nói sao? Chỉ cần ngươi có thể cầm ra năm trăm ngàn, chuyện hôm nay cũng được đi, ta thả ngươi rời đi!" Hoàng Quân trong giọng nói, đã có chút không nhịn được.

	"Ngươi coi mình là kẻ ngu vẫn là làm ta là người ngu?" Trương Hoa cười nhạt.

	"Ha ha." Hoàng Quân vui vẻ cười to đứng lên, "Ngươi như thế nói, đúng là cũng có chút đạo lý, nếu nói hết rồi ta Hoàng Quân là một người biết phải trái, vậy ta liền lại cho ngươi một lần cơ hội, chỉ cần ngươi có thể lấy ra năm trăm ngàn, ta Hoàng Quân giống như ngươi nói xin lỗi, nhưng nếu là không lấy ra được, tay ngươi hoặc là chân, liền không thuộc về ngươi!"

	Nói cuối cùng, Hoàng Quân giọng trở nên càng âm trầm.

	Trương Hoa không chút nào bị Hoàng Quân lộ ra âm ngoan vẻ hù được, chỉ gặp hắn khóe miệng nói về một đường vòng cung, nhìn hắn cười lạnh nói: "Nếu như ta không lấy ra được, mạng ta cho ngươi, nếu là cầm ra được, ta muốn ngươi quỳ xuống nói xin lỗi, có dám?"

	"A Hoa, không muốn à!"

	Nghe được Trương Hoa mà nói, Vương Hiểu Phong trong lòng lộp bộp một tiếng, kinh hô. Mặc dù hắn không hiểu ngày hôm nay Trương Hoa tại sao lại giống như là biến thành một người khác vậy, nhưng bây giờ bọn họ đối mặt có thể là một đám lăn lộn xã hội người à, muốn là thật không cầm ra nhiều như vậy tiền, thật có thể đem mạng nhỏ đều vứt bỏ.

	Trương Hoa quay đầu cho Vương Hiểu Phong một cái yên tâm ánh mắt sau đó, lại quay đầu nhìn Hoàng Quân giễu giễu nói: "Dám không?"

	"Ha ha!" Hoàng Quân giận dử ngược lại cười, hắn ở thành phố Đông Hải lăn lộn nhiều năm như vậy, há có thể bị Trương Hoa một cái lông cũng không có đủ dài tiểu tử hù dọa, cười lạnh nói: "Ngày hôm nay ngươi nếu như không lấy ra được, bố sẽ phải mạng ngươi!"

	"Cũng được, ngày hôm nay Thiên Hoa chân nhân liền cùng các người nói một chút quy củ."

	Trương Hoa khóe miệng vạch qua một đường vòng cung, chậm rãi đem tấm thẻ lấy ra, chỉ gặp hắn tiện tay ném một cái, vậy tấm thẻ giống như dài ánh mắt vậy, bay hướng Hoàng Quân.

	Mặc dù Trương Hoa cho mình cha Trương Triêu Dương 8 triệu, trong thẻ số còn lại, cũng ở đây hơn 1 triệu.

	"Hừ." Hoàng Quân nhận lấy tấm thẻ, sau một tiếng hừ lạnh, đưa cho sau lưng Chu Yến nói: "Đi soàn soạt năm trăm ngàn."

	" Uhm, ông chủ!"

	Chu Yến vội vàng nhận lấy thẻ ngân hàng, trong lòng tất cả đều là khinh thường, nàng là 10 ngàn cái sẽ không tin tưởng, trong tay cái thẻ này sẽ có vượt qua năm trăm ngàn có thể.

	Máy pos trước mặt, Chu Yến mặt đầy hài hước thao tác, nhưng chỉ chốc lát sau, nàng vẻ mặt biến đổi lớn, miệng dáng dấp tựa như có thể cửa ải hạ một cái trứng gà.

	"Ông chủ. . . Cái này. . . Điều này sao có thể?"

	Nhìn nhắc nhở điền mật mã vào, Chu Yến đầy mặt không thể tin, không có biểu hiện số còn lại chưa đủ, vậy thì đại biểu trong tấm thẻ này mặt, tối thiểu cũng có năm trăm ngàn tồn tại, hoặc là nói nhiều hơn cũng là có thể.

	Hoàng Quân nghe vậy, ba bước cũng làm hai bước, đi tới máy pos bên cạnh, đem Chu Yến bị đẩy cái ngã nhào, sau đó đem ánh mắt xít tới.

	Chỉ gặp Hoàng Quân biểu tình trên mặt, nhanh chóng biến ảo, xanh lơ một hồi, trắng một hồi, đến cuối cùng, biến thành gan heo một màu sắc giống vậy, đen cũng sắp nhỏ xuống nước đây.

	'Tên nầy, rõ ràng người mặc hàng vỉa hè hàng, trong thẻ tại sao có nhiều như vậy tiền? Không thể nào, cái này không thể nào!'

	Hoàng Quân ở đáy lòng cuồng loạn hét, trước mặt nhiều người như vậy rất nhiều xuống cam kết, đổi ý, đối với hắn mặt mũi mà nói, sẽ đem là đả kích rất lớn.

	Nhưng là, hướng một cái lông cũng không có đủ dài tiểu tử quỳ xuống nói xin lỗi, vậy hắn Hoàng Quân sau này cũng không cần ở trên đường lăn lộn.

	"Có phải hay không nên thực hiện ngươi hứa hẹn."

	Trương Hoa chắp hai tay sau lưng, ngẩng đầu đứng, một mặt hài hước nhìn sắc mặt biến đổi Hoàng Quân nói.

	Hoàng Quân khóe miệng bắp thịt hung hãn quất rút ra, rất nhanh liền ở trong lòng quyết định chủ ý, trơ tráo không cười nhìn Trương Hoa nói: "Ngươi trong thẻ này, căn bản là không có tiền."

	"Ông chủ, vậy trong thẻ có. . ."

	Chu Yến còn lấy là mình nhìn lầm rồi sao? Vừa mới chuẩn bị nói có tiền lúc này bỗng nhiên nghĩ tới điều gì, vội vàng im miệng, trong lòng cũng là sợ.

	Họa là từ ở miệng mà ra, thiếu chút nữa thì nói lỡ miệng, Hoàng Quân rõ ràng cho thấy không muốn thừa nhận, cho nên mới nói ra như vậy, nếu như mình phá hủy hắn chiếc, hậu quả kia thiết tưởng không chịu nổi.

	"Ta sớm nên nghĩ đến, ngươi sẽ không thừa nhận." Trương Hoa lắc đầu một cái, như có điều suy nghĩ, tự lẩm bẩm, sau đó hắn thanh âm lạnh lẽo:

	"Xem ra, quy củ vẫn là không có quả đấm dễ xài à, nếu ngươi không thừa nhận, vậy cũng chỉ có thể ta để cho ngươi thừa nhận."
