Chương 179: Đồng hành 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Sớm!"
	Giờ phút này, nàng thật rất muốn nói mình không nhận biết trước mặt hai cái tham ăn, hơn nữa và bọn họ quan hệ cũng không có. Không trách nàng có ý tưởng này, thật sự là Trương Hoa và Tiếu Chân quá có thể ăn, khách sạn bữa ăn sáng đủ một trăm người phần, gắng gượng bị ăn sạch!

	Thật không biết hai người này dạ dày là sao dáng dấp!

	Trương Hoa đi tới cửa sau đó, dừng bước, đợi Tiếu Chân đuổi theo sau đó, hỏi nhỏ: "Đi đâu?"

	Tiếu Chân nghe vậy, kinh ngạc nhìn Trương Hoa, quan sát hồi lâu, mới nói: "Ơ, mặt lạnh nam, ngày hôm nay làm sao chủ động như vậy? Có phải hay không suy nghĩ một đêm, vừa ý nhà chúng ta Văn Văn?"

	Mặc dù và Trương Hoa sống chung không lâu, có thể Tiếu Chân rất rõ ràng, Trương Hoa ngược lại không phải là thích làm ra vẻ, mà là tính tình bản thân lạnh, rất lạnh cái loại đó. Nói chuyện phiếm với hắn, trò chuyện không được mấy câu là có thể đem lời trò chuyện chết.

	Loại này tính cách, thả người bình thường trên mình, vậy tuyệt ép là cô độc cả đời mạng.

	Bất quá ai bảo Trương Hoa có tiền đâu ?

	Có gia tài ức vạn thêm được, cái này tính cách thì hoàn toàn không là vấn đề, hoàn toàn có thể bị người phụ nữ ý dâm là lãnh khốc bá đạo Tổng giám đốc hình, suy nghĩ một chút liền kẹp không dừng được chân cái loại đó.

	"Chân Chân!"

	Mạnh Á Văn vội vàng đuổi theo, dùng nhỏ đấm đấm đấm Tiếu Chân cánh tay.

	Nói bậy gì đấy? Lời này để cho người nhiều ngại quá à!

	"Còn xấu hổ. . ." Tiếu Chân cười sờ soạng một cái Mạnh Á Văn bóng loáng gương mặt.

	"Còn như vậy ta cũng không để ý ngươi!"

	Mạnh Á Văn dậm chân một cái, lắc mình dè dặt núp ở Trương Hoa sau lưng.

	Mới vừa gần sát, vậy không biết có phải hay không ảo giác, nàng cũng cảm giác trong lòng nhất thời an bình không thiếu, phiền não vậy giảm đi không thiếu, cả người đặc biệt thoải mái, thoải mái liền muốn như vậy đợi, một hơi một tí, đâu cũng không đi!

	"Có lẽ, đây chính là yêu cảm giác chứ ?" Mạnh Á Văn ở đáy lòng tiễu mễ mễ suy nghĩ, suy nghĩ một chút, mặt bất tri bất giác lại đỏ.

	Lúc này mới tiếp xúc bao lâu à, liền nghĩ đến phương diện này, quá không biết xấu hổ!

	"Được rồi, còn cùng ta nháo nhỏ nóng nảy!"

	Tiếu Chân liếc Mạnh Á Văn một cái, quay đầu nhìn về phía Trương Hoa: "Thằng nhóc ngươi vậy coi là may mắn. Ta mua xe mới, Văn Văn cũng đúng lúc xin nghỉ, cùng ta chạy khắp nơi thử xe, ngươi muốn đi đâu cũng được, nhìn an bài đi."

	"Vậy đi Chương Thụ."

	Trương Hoa ném xuống một câu, bước đi về phía Tiếu Chân mini xe ô tô.

	"Chương Thụ? Dược Đô? Hàng này đầu óc không thành vấn đề chứ ?"

	Tiếu Chân khóe miệng hơi co quắp.

	Người đàn ông, cùng người đẹp du lịch, cũng không nên đi những cái kia cái yêu thánh địa sao? Ví dụ như Đại Lý, ví dụ như Bố Đạt Lạp Cung, ví dụ như Cửu Trại Câu. . . Coi như phải đi Giang Tây, vậy đi trăng sáng núi ngâm suối nước nóng vậy so đi Chương Thụ được a.

	"Chân Chân, đi thôi!" Mạnh Á Văn vội vàng thúc giục.

	Nếu không phải quá mức xấu hổ, nàng đã sớm vui vẻ đi theo Trương Hoa phía sau. Nói thật, mới vừa ở Trương Hoa sau lưng mặc dù chỉ dựa vào liền một cái, nhưng loại cảm giác đó đã để cho nàng nhận định!

	"Gấp cái gì? Gấp như vậy trước đưa tới cửa, sẽ không có kết quả tốt, nhiều lắm là coi là một nữ xứng! Nhiều như vậy phim truyền hình trắng nhìn?"

	Tiếu Chân tức giận trợn mắt nhìn Mạnh Á Văn một cái.

	Tên nầy làm sao đột nhiên cùng những cái kia không đầu óc bình dân một cái, là sắc sở mê, thấy đẹp trai liền hận không thể giống như phi nga như nhau nhào qua!

	Cũng không lo phía trước là không phải cây nến!

	Cẩn thận rơi cái đau lòng thân tàn kết quả bi thảm!

	Đến lúc đó hối hận không kịp à!Chương 179: Đồng hành 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Sớm!"

	Mạnh Á Văn hưng phấn và Trương Hoa lên tiếng chào.

	Trương Hoa quay đầu, ngưng mắt nhìn Mạnh Á Văn, nhìn Mạnh Á Văn cũng đầu rủ xuống, âm thầm hoài nghi, có phải hay không mình động tác nhỏ bị phát hiện.

	Một lúc sau, Trương Hoa lúc này mới lên tiếng, từ trong kẻ răng gạt bỏ một chữ: "Sớm."

	"Được rồi, đừng ở chỗ này thật sớm sớm, hai ngươi cũng không phải là chim non, nhanh đi ăn điểm tâm đi! Khách sạn cấp 5 sao điểm tâm ta nghe nói có thể phong phú! Muốn ăn cái gì đều có, mấy chục loại bữa ăn sáng đang chờ chúng ta đây!"

	Tiếu Chân chỉa vào vành mắt đen, tức giận liếc hai người một cái.

	Tối hôm qua, bởi vì là khoanh tay đứng nhìn, cảm giác có tội quá nồng, nàng không có thể thật tốt ngủ. Thật vất vả chịu đựng đến buổi sáng, miễn cưỡng có chút buồn ngủ, Mạnh Á Văn lại chui lên, dày vò cái này dày vò vậy, làm nàng căn bản không ngủ được.

	Giờ phút này, nóng nảy có thể tốt vậy thì thật là gặp quỷ!

	Ân, gặp quỷ chuyện này, đoán chừng là sớm muộn, khí tức quỷ dị kia bây giờ còn ở cách đó không xa ngồi đâu!

	"Chân Chân!"

	Mạnh Á Văn trách cứ nhìn Tiếu Chân một cái.

	Cái này bạn đồng đội như heo à, chỉ có biết ăn thôi ăn một chút. Thần trợ công có hiểu hay không? Có hiểu hay không!

	Lúc này nói là ăn đồ thời điểm mà?

	Rõ ràng không phải được chứ! Chỉ cần bắt được Trương Hoa, sau này cái này khách sạn cấp 5 sao muốn ở bao lâu ở bao lâu, còn thiếu bữa này điểm tâm!

	"Đi thôi."

	Trương Hoa nhìn Tiếu Chân một cái, gọi một tiếng, dẫn đầu đi về phía thang máy.

	Bây giờ còn bị thương, không thể tự do phóng khoáng! Phương diện ăn uống phải quy luật điểm, hết sức cố gắng ăn xong ăn no, mới có thể mau sớm khôi phục thương thế.

	Ba người một đường không lời, rất nhanh tới nhà ăn.

	Trong phòng ăn, bày mấy chục kim loại chậu, chậu hạ cung ứng trước nước nóng, bên trong chậu thì chuyển các loại dưỡng sinh cháo, đậu xanh, Hồng Đậu, hắc đậu, hạt mè cháo, cháo trứng muối. . .

	Ngoài ra còn có rất nhiều nhỏ lồng hấp, bên trong nóng hổi, đựng các loại mặt điểm, đầu đầy, hoa cuốn, nhỏ thịt túi.

	Bên trên nhất thì để rất nhiều thức ăn và rán giáo cùng với bộ phận kiểu tây phương điểm tâm bánh mì.

	"Oa."

	Tiếu Chân và Mạnh Á Văn đồng loạt thán phục một tiếng, nhìn những thứ này món ăn ngon bữa ăn sáng, tạm thời bây giờ cũng không biết như thế nào ra tay.

	Trương Hoa đảo mắt nhìn một vòng, tiện tay cầm một nhỏ chứa thức ăn biển khơi chén, sau đó đi tới kim loại chậu trước, đổ vào.

	"Này, ngươi đây là làm gì, ngươi còn có nhường hay không người phía sau ăn?" Tiếu Chân phê bình trước.

	Trương Hoa lười để ý, thuận tay đem kim loại chậu liền chậu rút lên, một tay bưng, một tay lấy năm lồng mặt điểm, trả lời bàn ăn. Cầm lên muỗng cháo lớn muỗng sắt, liền cái này bánh bao, miệng to ăn một miếng lớn.

	"Ngươi là heo mà!"

	Tiếu Chân khinh bỉ trợn mắt nhìn Trương Hoa một cái.

	Khách sạn cấp 5 sao nhưng mà mắc tiền nơi, chỗ này làm sao có thể không lễ phép như vậy? Không chú trọng!

	Mất mặt ném quá đáng!

	Cho nên, Tiếu Chân thuận tay liền lấy bảy lồng mặt điểm, sau đó phân phó Mạnh Á Văn: "Lấy cho ta một chén nhỏ, làm điểm cháo."

	Mạnh Á Văn trợn mắt há mồm nhìn chằm chằm Tiếu Chân: "Nhiều như vậy ngươi ăn hết sao?"

	"Nói nhảm."

	Tiếu Chân cũng trở về đạo bàn ăn, cầm lên đũa bạc, tư thế ưu nhã kẹp từng cái nhỏ thịt túi bánh màn thầu nhỏ ném trong miệng.

	Ân, nếu như không phải là cái này bảy tầng lồng hấp có chút cao mà nói, cái này dáng vẻ tuyệt bích có thể đánh làm hết.

	Gặp Mạnh Á Văn còn ngớ ra, Tiếu Chân vội vàng thúc giục: "Nhanh chóng cầm cháo à, ngươi muốn nghẹn chết ta sao?"

	"À nha."

	Mạnh Á Văn đáp lời, vội vàng lấy một chén nhỏ cháo đưa lên. Quay đầu nhìn xem Trương Hoa, lại nhìn xem Tiếu Chân, trong một cái chớp mắt này, nàng đột nhiên cảm giác được có lẽ Tiếu Chân và Trương Hoa mới là trời đất tạo nên một đôi.

	Cơm này tính!

	Tiêu chuẩn nhất định!

	Bình thường sao không phát hiện Tiếu Chân có thể ăn như vậy đâu ?

	. . .

	Cơm nước xong, ở khách sạn nhân viên làm việc ánh mắt phức tạp trong, ba người ngật ngật như vậy đi ra nhà ăn.

	Trương Hoa sắc mặt như thường đi ở phía trước nhất, nhìn như cùng bình thường không việc gì bất đồng.

	Tiếu Chân liền có chút khoa trương, bụng của nàng cổ vậy kêu là một cái gắng gượng à! Cùng mang thai tháng bảy như nhau, tấm tắc. . .

	Mạnh Á Văn mặt đầy mắc cở đỏ bừng cúi đầu, đi ở phía sau.

	Giờ phút này, nàng thật rất muốn nói mình không nhận biết trước mặt hai cái tham ăn, hơn nữa và bọn họ quan hệ cũng không có. Không trách nàng có ý tưởng này, thật sự là Trương Hoa và Tiếu Chân quá có thể ăn, khách sạn bữa ăn sáng đủ một trăm người phần, gắng gượng bị ăn sạch!

	Thật không biết hai người này dạ dày là sao dáng dấp!

	Trương Hoa đi tới cửa sau đó, dừng bước, đợi Tiếu Chân đuổi theo sau đó, hỏi nhỏ: "Đi đâu?"

	Tiếu Chân nghe vậy, kinh ngạc nhìn Trương Hoa, quan sát hồi lâu, mới nói: "Ơ, mặt lạnh nam, ngày hôm nay làm sao chủ động như vậy? Có phải hay không suy nghĩ một đêm, vừa ý nhà chúng ta Văn Văn?"

	Mặc dù và Trương Hoa sống chung không lâu, có thể Tiếu Chân rất rõ ràng, Trương Hoa ngược lại không phải là thích làm ra vẻ, mà là tính tình bản thân lạnh, rất lạnh cái loại đó. Nói chuyện phiếm với hắn, trò chuyện không được mấy câu là có thể đem lời trò chuyện chết.

	Loại này tính cách, thả người bình thường trên mình, vậy tuyệt ép là cô độc cả đời mạng.

	Bất quá ai bảo Trương Hoa có tiền đâu ?

	Có gia tài ức vạn thêm được, cái này tính cách thì hoàn toàn không là vấn đề, hoàn toàn có thể bị người phụ nữ ý dâm là lãnh khốc bá đạo Tổng giám đốc hình, suy nghĩ một chút liền kẹp không dừng được chân cái loại đó.

	"Chân Chân!"

	Mạnh Á Văn vội vàng đuổi theo, dùng nhỏ đấm đấm đấm Tiếu Chân cánh tay.

	Nói bậy gì đấy? Lời này để cho người nhiều ngại quá à!

	"Còn xấu hổ. . ." Tiếu Chân cười sờ soạng một cái Mạnh Á Văn bóng loáng gương mặt.

	"Còn như vậy ta cũng không để ý ngươi!"

	Mạnh Á Văn dậm chân một cái, lắc mình dè dặt núp ở Trương Hoa sau lưng.

	Mới vừa gần sát, vậy không biết có phải hay không ảo giác, nàng cũng cảm giác trong lòng nhất thời an bình không thiếu, phiền não vậy giảm đi không thiếu, cả người đặc biệt thoải mái, thoải mái liền muốn như vậy đợi, một hơi một tí, đâu cũng không đi!

	"Có lẽ, đây chính là yêu cảm giác chứ ?" Mạnh Á Văn ở đáy lòng tiễu mễ mễ suy nghĩ, suy nghĩ một chút, mặt bất tri bất giác lại đỏ.

	Lúc này mới tiếp xúc bao lâu à, liền nghĩ đến phương diện này, quá không biết xấu hổ!

	"Được rồi, còn cùng ta nháo nhỏ nóng nảy!"

	Tiếu Chân liếc Mạnh Á Văn một cái, quay đầu nhìn về phía Trương Hoa: "Thằng nhóc ngươi vậy coi là may mắn. Ta mua xe mới, Văn Văn cũng đúng lúc xin nghỉ, cùng ta chạy khắp nơi thử xe, ngươi muốn đi đâu cũng được, nhìn an bài đi."

	"Vậy đi Chương Thụ."

	Trương Hoa ném xuống một câu, bước đi về phía Tiếu Chân mini xe ô tô.

	"Chương Thụ? Dược Đô? Hàng này đầu óc không thành vấn đề chứ ?"

	Tiếu Chân khóe miệng hơi co quắp.

	Người đàn ông, cùng người đẹp du lịch, cũng không nên đi những cái kia cái yêu thánh địa sao? Ví dụ như Đại Lý, ví dụ như Bố Đạt Lạp Cung, ví dụ như Cửu Trại Câu. . . Coi như phải đi Giang Tây, vậy đi trăng sáng núi ngâm suối nước nóng vậy so đi Chương Thụ được a.

	"Chân Chân, đi thôi!" Mạnh Á Văn vội vàng thúc giục.

	Nếu không phải quá mức xấu hổ, nàng đã sớm vui vẻ đi theo Trương Hoa phía sau. Nói thật, mới vừa ở Trương Hoa sau lưng mặc dù chỉ dựa vào liền một cái, nhưng loại cảm giác đó đã để cho nàng nhận định!

	"Gấp cái gì? Gấp như vậy trước đưa tới cửa, sẽ không có kết quả tốt, nhiều lắm là coi là một nữ xứng! Nhiều như vậy phim truyền hình trắng nhìn?"

	Tiếu Chân tức giận trợn mắt nhìn Mạnh Á Văn một cái.

	Tên nầy làm sao đột nhiên cùng những cái kia không đầu óc bình dân một cái, là sắc sở mê, thấy đẹp trai liền hận không thể giống như phi nga như nhau nhào qua!

	Cũng không lo phía trước là không phải cây nến!

	Cẩn thận rơi cái đau lòng thân tàn kết quả bi thảm!

	Đến lúc đó hối hận không kịp à!
