Chương 238: Mời khách 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"ừ !"
	Chu Vũ sờ một cái khô đét địa bóp tiền, mấy lần muốn mời nữ thần Cao Hoan ăn cơm, nhưng là không há miệng nổi. Ông cụ, chút tiền như vậy, cảnh khu lại đắt, đợi một hồi ăn nhiều không trả nổi tài khoản, liền thật đặc biệt mất thể diện. Đời này cũng không mặt mũi gặp người.

	"Nên ăn cơm."

	Trương Hoa đột nhiên nghĩ đến trên mình không mang tiền, vì vậy nhìn về phía Cao Hoan: "Ta mời ngươi ăn cơm, ngươi đưa trước tiền như thế nào?"

	"Gì?"

	Cao Hoan ngẹo đầu, tựa hồ không quá nghe rõ.

	"Không mang bóp tiền, ta mời ngươi ăn cơm, ngươi đưa trước tiền, cùng ta có tiền trả lại ngươi."

	Trương Hoa lại lập lại một lần, thần sắc rất bình tĩnh, giọng vậy rất bình tĩnh. Tựa hồ hướng nữ sinh mượn tiền chẳng qua là một kiện rất phổ thông rất bình thường chuyện nhỏ.

	". . ."

	Cao Hoan trong khiếp sợ, còn chưa đáp lời.

	Chu Vũ liền nhìn không được, nha, bố muốn mời nữ thần ăn cơm cũng không có can đảm, ngươi nha lại để cho nữ thần mời ngươi ăn cơm, hơn nữa chuyện lúc trước để cho hắn cảm thấy có chút mất thể diện, lập tức oán hận nói: "Ngươi thằng nhóc này cũng quá không biết xấu hổ đi, lại như vậy tham tiện nghi nhỏ, để cho nữ sinh mời ngươi ăn cơm!"

	"Ta sẽ trả tiền lại!"

	Trương Hoa nhìn chằm chằm Chu Vũ, không nghĩ ra cái này đám người không liên quan vì sao chen miệng, có thể trầm ngâm chốc lát lại bổ sung: "Gấp đôi!"

	"Được rồi, Chu Vũ ngươi chớ nói, cứ như vậy đi."

	Cao Hoan đối với Trương Hoa nói: "Ta rồi mời ngươi ăn một bữa, không quá ta tiền mang không nhiều, chỉ có thể đi ăn cơm xào."

	Ân, cảnh khu cơm xào cũng không tiện nghi, mười lăm nguyên dậy, thêm thịt thêm trứng liền hai mươi.

	Chu Vũ vẫn còn tức giận bất bình nói: "Thằng nhóc này rõ ràng chính là trong lòng không ý tốt. Bây giờ coi như không mang bóp tiền, tổng chưa đến nỗi ngay cả điện thoại di động đều không mang chứ ? Mang theo điện thoại di động có Wechat thanh toán, làm sao có thể không có tiền!"

	"Điện thoại di động ta là mang theo, bất quá Wechat thanh toán là cái gì?"

	Trương Hoa móc ra mới mua điện thoại di động.

	Trước trọng sinh hắn chẳng qua là một thông thường chàng trai nghèo, trong nhà là thật nghèo, lên đại học sau mới có cái mẹ đào thải nhị thủ điện thoại người già, chỉ có thể nhận gọi điện thoại, gởi nhắn tin một chút cái gì. Cái này trí năng cơ hội mới mua không bao lâu, có chút chức năng thật đúng là không được rõ.

	"Ngươi còn đựng, ta đây muốn xem xem ngươi có thể đựng tới trình độ nào!" Chu Vũ khinh thường oán hận nói. Bây giờ trừ sơn thôn chỗ sâu quá nghèo, nào còn có người không biết thanh toán Wechat? Trương Hoa nhưng mà có tiền tới người du lịch! Chẳng lẽ hắn liền bà cụ cũng không bằng?

	Lần này, Cao Hoan ánh mắt cũng là thay đổi.

	Có thể Trương Hoa vẫn còn là một mặt mơ hồ, có chút nháo không hiểu.

	Chu Vũ thấy vậy, lại chịu nhịn tính tình đùng đùng đem Wechat và thanh toán phương pháp sử dụng nói một lần.

	"Ta còn không tin, điện thoại ngươi bên trong liền thanh toán Wechat đều không đựng!"

	Cuối cùng, Chu Vũ lại đem Trương Hoa điện thoại di động cầm lấy đi, muốn đâm phá Trương Hoa lời nói dối, nhưng phát hiện điện thoại di động này lại là mới, thật đúng là không đựng.

	"Ta đi, ngươi điện thoại di động này còn là mới, nhìn chất lượng cũng không kém! Làm sao có thể không Wechat."

	Chu Vũ vẫn là có chút không dám tin tưởng.

	"Được rồi, ta hiểu, ta gọi điện thoại để cho bạn cho ngươi Wechat bên trong chuyển ít tiền, liền làm ta mời các người ăn cơm đi."

	Trương Hoa rất nhanh suy nghĩ chủ ý.

	Nếu phần lớn đều có Wechat, vậy chắc hẳn Tiếu Chân, Mạnh Á Văn hai nữ cũng là có. Vậy để cho các nàng cho Cao Hoan chuyển mấy chục ngàn cũng chỉ đủ dùng.

	Trương Hoa hỏi Cao Hoan Wechat số, cho Mạnh Á Văn gọi điện thoại: "Này, ta Trương Hoa, đợi một hồi thêm cái này Wechat, hướng bên trong chuyển cái một trăm ngàn."

	Vừa nói, Trương Hoa liền cúp.

	"Được rồi, chúng ta ăn cơm trước đi. Nếu như Chu Vũ nói không sai mà nói, đến lúc đó chắc có tiền."

	Trương Hoa vừa nói, thuận chân vào cái cơm trang.

	". . ."

	Chu Vũ hết ý kiến.

	Thằng nhóc này là thật khờ vẫn là giả ngu? Là một cái như vậy điện thoại liền có thể lấy được tiền? Còn đặc biệt một trăm ngàn khối! Đối diện tên kia lòng nhiều lắm lớn à.

	Thôi, dù sao thằng nhóc này mời khách, chẳng qua ăn xong lúc chạy trước, lưu lại hắn trừ nợ.Chương 238: Mời khách 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"ừ !"

	Một bên Miêu tộc mọi người nghe vậy, lập tức căm tức nhìn Trương Hoa, lặng lẽ vây quanh, đem mọi người vây ở trung tâm.

	Người chết là lớn, Trương Hoa như vậy, đã có thể bị coi là khiêu khích!

	"Trương Hoa, ngươi làm sao có thể nói như vậy, người chết là lớn, nhanh chóng cho người nói xin lỗi." Chu Vũ hù được chân cũng mềm nhũn, bên ngoài mạnh bên trong yếu địa trách mắng Trương Hoa. Hắn cũng không muốn gặp vô vọng tai ương. Giờ phút này, bị người Miêu một nhìn chăm chú, liền rợn cả tóc gáy, ánh mắt kia quá dọa người, và núi sâu mãnh thú có được vừa so sánh với.

	"Trương Hoa, hội trưởng nói hết rồi, chúng ta là tới đây bái ba lạy. Ngươi nếu không muốn bái, trước đến lượt đợi tại chỗ. Bây giờ tới cũng không bái, thật có chút không thích hợp."

	Lý Kiến cũng là khẽ nhíu mày.

	"Chính là à." Diệp Tiểu Manh phụ họa nói.

	Trương Hoa nhưng nghễnh đầu, thần sắc bình tĩnh nhìn chằm chằm phía trước người Miêu, ánh mắt hơi chăm chú, toàn làm không nghe được.

	"Ngươi không bái mà nói, có thể đừng liên lụy chúng ta."

	Gặp một bên người Miêu đã bắt đầu nắm quyền muốn đánh người, Chu Vũ liền vội vàng kêu: "Mọi người đừng hiểu lầm, chúng ta và hắn không quen, không phải một phe. Chẳng qua là tình cờ đúng dịp đụng phải!"

	"Trương huynh đệ, hôm nay chuyện này do ngươi đưa tới!"

	Hội trưởng Lưu Lãng nhàn nhạt nói: "Ngươi cũng là người lớn, chuyện này liền do ngươi tự mình giải quyết. Nếu như không giải quyết được, chúng ta cũng chỉ có thể đi trước."

	"Trương Hoa ngươi liền bái một bái đi, người chết là lớn, liền đã hết cái lễ phép."

	Cao Hoan vội vàng dàn xếp. Trương Hoa dù sao cũng là nàng mang tới, không thể như vậy ném xuống bỏ mặc. Bất quá giờ phút này, nàng trong lòng cũng âm thầm bất mãn, Trương Hoa làm như vậy, quả thật có chút khác người. Hãy cùng Lý Kiến nói như nhau, nếu không muốn bái cần gì phải cùng tới đây?

	Trương Hoa khẽ mỉm cười, nhìn về phía đối phương dẫn đầu Miêu tộc cụ già: "Ngày này còn không tối đâu!"

	Đầu dây dưa xanh bày Miêu tộc cụ già thật sâu nhìn Trương Hoa một cái: "Người tuổi trẻ vẫn là nhiều lắm hiểu chút lễ phép, lần tới coi như không dễ nói chuyện như vậy."

	Vừa nói, đối phương vung tay lên, đông đảo người Miêu tản đi.

	"Đi thôi."

	Trương Hoa hai tay cắm túi, dẫn đầu trong đám người đi ra.

	Chu Vũ trợn mắt há mồm nhìn chằm chằm chung quanh người Miêu: "Cái này, vậy làm sao liền giải tán?"

	Giữ hắn ý tưởng, giờ phút này hẳn là Trương Hoa bị người Miêu vây đánh một lần, sau đó đè ở linh tiền, dập đầu hơn bảy tám mươi cái vang đầu mới đúng. Bây giờ cuối cùng cái bộ dáng này, không giải thích được à!

	"Này, Trương Hoa, rốt cuộc chuyện này như thế nào à." Cao Hoan vội vàng bước lớn chân dài đuổi theo.

	"Đến lúc đó ngươi thì biết."

	Trương Hoa tiếp tục đi, nhưng là không qua giải thích thêm.

	Ngày hôm nay chuyện này thật lòng là có chút ý tứ.

	"Lý Kiến, ngươi biết là chuyện gì xảy ra sao?" Diệp Tiểu Manh cũng là xem không hiểu, hỏi bạn trai mình.

	"Cái này. . ."

	Lý Kiến gãi đầu một cái, nhờ giúp đỡ địa nhìn về phía hội trưởng Lưu Lãng: "Hội trưởng, ngươi hẳn biết chứ."

	"Trời tối sao?"

	Lưu Lãng suy nghĩ, vừa cẩn thận quan sát chung quanh một phen: "Đi trước, đến lúc đó nói sau."

	. . .

	Đoàn người trở lại thành Phượng Hoàng trong, Lưu Lãng nhìn sắc trời một chút, quyết định mọi người đi trước ăn cơm trưa, sau đó tu dưỡng một phen, đợi được chạng vạng tối lại xuất phát.

	Đây là một cái tạm thời đoàn đội, mọi người cũng không tính là người có tiền gì, cảnh khu vật giá lại đắt, tự nhiên không người sẽ đánh sưng mặt sưng người mời khách.

	Nếu không, có thể 10 ngàn khối cũng đánh không dừng được!

	Lý Kiến và Diệp Tiểu Manh tình nhân đương họp thành đội lách người.

	Hội trưởng Lưu Lãng và đen gầy nam Lương Hiểu cũng đi khác địa phương.

	Chu Vũ sờ một cái khô đét địa bóp tiền, mấy lần muốn mời nữ thần Cao Hoan ăn cơm, nhưng là không há miệng nổi. Ông cụ, chút tiền như vậy, cảnh khu lại đắt, đợi một hồi ăn nhiều không trả nổi tài khoản, liền thật đặc biệt mất thể diện. Đời này cũng không mặt mũi gặp người.

	"Nên ăn cơm."

	Trương Hoa đột nhiên nghĩ đến trên mình không mang tiền, vì vậy nhìn về phía Cao Hoan: "Ta mời ngươi ăn cơm, ngươi đưa trước tiền như thế nào?"

	"Gì?"

	Cao Hoan ngẹo đầu, tựa hồ không quá nghe rõ.

	"Không mang bóp tiền, ta mời ngươi ăn cơm, ngươi đưa trước tiền, cùng ta có tiền trả lại ngươi."

	Trương Hoa lại lập lại một lần, thần sắc rất bình tĩnh, giọng vậy rất bình tĩnh. Tựa hồ hướng nữ sinh mượn tiền chẳng qua là một kiện rất phổ thông rất bình thường chuyện nhỏ.

	". . ."

	Cao Hoan trong khiếp sợ, còn chưa đáp lời.

	Chu Vũ liền nhìn không được, nha, bố muốn mời nữ thần ăn cơm cũng không có can đảm, ngươi nha lại để cho nữ thần mời ngươi ăn cơm, hơn nữa chuyện lúc trước để cho hắn cảm thấy có chút mất thể diện, lập tức oán hận nói: "Ngươi thằng nhóc này cũng quá không biết xấu hổ đi, lại như vậy tham tiện nghi nhỏ, để cho nữ sinh mời ngươi ăn cơm!"

	"Ta sẽ trả tiền lại!"

	Trương Hoa nhìn chằm chằm Chu Vũ, không nghĩ ra cái này đám người không liên quan vì sao chen miệng, có thể trầm ngâm chốc lát lại bổ sung: "Gấp đôi!"

	"Được rồi, Chu Vũ ngươi chớ nói, cứ như vậy đi."

	Cao Hoan đối với Trương Hoa nói: "Ta rồi mời ngươi ăn một bữa, không quá ta tiền mang không nhiều, chỉ có thể đi ăn cơm xào."

	Ân, cảnh khu cơm xào cũng không tiện nghi, mười lăm nguyên dậy, thêm thịt thêm trứng liền hai mươi.

	Chu Vũ vẫn còn tức giận bất bình nói: "Thằng nhóc này rõ ràng chính là trong lòng không ý tốt. Bây giờ coi như không mang bóp tiền, tổng chưa đến nỗi ngay cả điện thoại di động đều không mang chứ ? Mang theo điện thoại di động có Wechat thanh toán, làm sao có thể không có tiền!"

	"Điện thoại di động ta là mang theo, bất quá Wechat thanh toán là cái gì?"

	Trương Hoa móc ra mới mua điện thoại di động.

	Trước trọng sinh hắn chẳng qua là một thông thường chàng trai nghèo, trong nhà là thật nghèo, lên đại học sau mới có cái mẹ đào thải nhị thủ điện thoại người già, chỉ có thể nhận gọi điện thoại, gởi nhắn tin một chút cái gì. Cái này trí năng cơ hội mới mua không bao lâu, có chút chức năng thật đúng là không được rõ.

	"Ngươi còn đựng, ta đây muốn xem xem ngươi có thể đựng tới trình độ nào!" Chu Vũ khinh thường oán hận nói. Bây giờ trừ sơn thôn chỗ sâu quá nghèo, nào còn có người không biết thanh toán Wechat? Trương Hoa nhưng mà có tiền tới người du lịch! Chẳng lẽ hắn liền bà cụ cũng không bằng?

	Lần này, Cao Hoan ánh mắt cũng là thay đổi.

	Có thể Trương Hoa vẫn còn là một mặt mơ hồ, có chút nháo không hiểu.

	Chu Vũ thấy vậy, lại chịu nhịn tính tình đùng đùng đem Wechat và thanh toán phương pháp sử dụng nói một lần.

	"Ta còn không tin, điện thoại ngươi bên trong liền thanh toán Wechat đều không đựng!"

	Cuối cùng, Chu Vũ lại đem Trương Hoa điện thoại di động cầm lấy đi, muốn đâm phá Trương Hoa lời nói dối, nhưng phát hiện điện thoại di động này lại là mới, thật đúng là không đựng.

	"Ta đi, ngươi điện thoại di động này còn là mới, nhìn chất lượng cũng không kém! Làm sao có thể không Wechat."

	Chu Vũ vẫn là có chút không dám tin tưởng.

	"Được rồi, ta hiểu, ta gọi điện thoại để cho bạn cho ngươi Wechat bên trong chuyển ít tiền, liền làm ta mời các người ăn cơm đi."

	Trương Hoa rất nhanh suy nghĩ chủ ý.

	Nếu phần lớn đều có Wechat, vậy chắc hẳn Tiếu Chân, Mạnh Á Văn hai nữ cũng là có. Vậy để cho các nàng cho Cao Hoan chuyển mấy chục ngàn cũng chỉ đủ dùng.

	Trương Hoa hỏi Cao Hoan Wechat số, cho Mạnh Á Văn gọi điện thoại: "Này, ta Trương Hoa, đợi một hồi thêm cái này Wechat, hướng bên trong chuyển cái một trăm ngàn."

	Vừa nói, Trương Hoa liền cúp.

	"Được rồi, chúng ta ăn cơm trước đi. Nếu như Chu Vũ nói không sai mà nói, đến lúc đó chắc có tiền."

	Trương Hoa vừa nói, thuận chân vào cái cơm trang.

	". . ."

	Chu Vũ hết ý kiến.

	Thằng nhóc này là thật khờ vẫn là giả ngu? Là một cái như vậy điện thoại liền có thể lấy được tiền? Còn đặc biệt một trăm ngàn khối! Đối diện tên kia lòng nhiều lắm lớn à.

	Thôi, dù sao thằng nhóc này mời khách, chẳng qua ăn xong lúc chạy trước, lưu lại hắn trừ nợ.
