Chương 162: Trò chuyện 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Trương Hoa trầm ngâm.
	Cung Ngọc Phù dừng lại tiếng đàn.

	Tả hữu là lòng rối loạn, lại đạn vậy không nhiều lắm ý nghĩa, không bằng tĩnh tâm thảo luận một chút.

	"Hẳn thật cao, gà trống mào tím, chỉ bằng điều này, thì không phải là người bình thường có thể biết." Bác Ngô khom người trả lời.

	"Nếu không. . . Không ổn không ổn."

	Cung Ngọc Phù dâng lên một tia vọng niệm, định hỏi dò Trương Hoa lai lịch, có thể chợt liền lắc đầu một cái, đem ý tưởng này cưỡng chế đè xuống.

	Bây giờ thật vất vả nắm chặt hệ kéo gần, nếu bởi vì chuyện này mà xích mích, thật là bởi vì nhỏ mất lớn à!

	"Tiểu thư, ắt phải lo âu, cùng ngày mai hẳn thì biết."

	Bác Ngô thấp giọng nói: "Hôm nay, Đông Hải bệnh viện bên kia truyền tới tin tức, Thiên Hoa chân nhân cha chỗ ở phòng bệnh xuất hiện một cái một thước lớn dấu tay. Theo đổi thuốc y tá nói, là Thiên Hoa chân nhân đang hộc máu sau đó, tự mình ra tay đánh."

	"Hộc máu? Thiên Hoa chân nhân bị thương?" Cung Ngọc Phù kinh ngạc hỏi.

	Ở thành phố Đông Hải, còn có người có thể gây tổn thương cho Trương Hoa? Đây chính là cái tin tức lớn.

	"Nghe nói Thiên Hoa chân nhân là ở cho cha chữa thương, bị ngoại giới quấy rầy, từ đó kinh mạch chấn động, chân khí cắn trả, lúc này mới bị thương." Bác Ngô trả lời.

	"Thiên Hoa chân nhân cha hắn. . ."

	Cung Ngọc Phù suy tính một chút: "Bây giờ rốt cuộc là một tình huống gì?"

	"Không biết, bệnh viện tra xét rất lâu, hết thảy bình thường, nhưng chính là hôn mê bất tỉnh, hơn nữa tiêu gầy vô cùng. Buổi chiều, tiểu thư chẳng lẽ không chú ý?" Bác Ngô có chút kinh ngạc.

	Cung Ngọc Phù một giống như tỉ mỉ, không thể nào liền vật này cũng khinh thường à.

	"Chú ý, chẳng qua là bây giờ muốn xác nhận một chút thôi." Cung Ngọc Phù sắc mặt một đỏ, vội vàng trả lời.

	Nàng chẳng lẽ sẽ nói cho bác Ngô, buổi chiều gặp mặt, cơ bản cũng đem thời gian tốn ở và Lâm Tuyết Nhi tranh sủng lên sao? Không thể nào, nàng nhưng mà thiên kim đại tiểu thư, là tuyệt không thể nào làm ra loại chuyện như vậy!

	"Tiểu thư, nếu không chúng ta từ kinh thành bên kia mời mấy tốt bác sĩ tới trợ giúp xem xem? Cái này địa phương nhỏ bệnh viện đoán chừng là không dựa vào được."

	Bác Ngô đề nghị.

	"Phải, ngươi đi an bài đi."

	Cung Ngọc Phù đồng ý.

	Chuyện này, đối với nhà họ Cung mà nói, chừng chẳng qua là chuyện nhỏ. Có thể giúp, dĩ nhiên là tốt; không giúp được vậy tính hết liền tâm ý. Chắc hẳn Thiên Hoa chân nhân biết, cũng biết nhiều một phần có lòng tốt.

	. . .

	Bên trong viện, Vương Hiểu Phong nằm ở trên sân cỏ, đầu gối lên hai tay, nhìn chằm chằm đầy trời quần tinh sửng sờ.

	Ngày hôm nay ban ngày chuyện, không đúng, phải nói cái này hai ngày chuyện làm là thật kém.

	Hơi có điểm tiền mất tật mang mùi vị.

	Muốn bán Lâm Tuyết Nhi tốt, kết quả chỉ đạt được một câu 'Ngươi là người tốt' ; muốn bán dì Tạ một cái tốt, kết quả còn phải Trương Hoa linh lực cắn trả hộc máu.

	Thật đặc biệt là mọi chuyện bất lợi à!

	Đáng chết, đáng chết!

	"Nếu có thể làm lại, ta, ta. . ."

	Vương Hiểu Phong hít hơi, rất muốn phát một tàn nhẫn.

	Có thể coi là thật nặng tới một lần, mình là có thể trơ mắt nhìn Lâm Tuyết Nhi một nhà chết oan sao?

	Thật có thể sao?

	Nếu không phải có thể, có lẽ, cái này thì chứng minh mình đời này căn bản cũng không thích hợp tu hành, chỉ có thể nói đáng đời cả đời bình dân mạng!

	"Có lẽ, ta thật là một người tốt đi."

	Vương Hiểu Phong đắng chát cười một tiếng, trong lòng mùi vị khó rõ.

	Hắn không phải rất muốn làm loại này người tiêu tiền như rác kiểu người tốt, có thể tính cách chính là như vậy, có thể làm gì đâu!

	Tốt lắm quên vết sẹo đau!

	Người phụ nữ à, người phụ nữ, không biết bởi vì là ngươi đối với nàng tốt biết bao sẽ thích ngươi.

	Các nàng vậy tiện, liền cùng mình như nhau, là thật tiện!

	Đối với nàng tốt, nàng sẽ chuyện đương nhiên, hoặc là nói một câu cám ơn, dường như liền đủ trả lại đối phương bỏ ra.

	À!

	Người đàn ông, thật hẳn tự cường, chỉ có mình cường đại lên, mới có thể quanh thân người đẹp như mây.

	"Chẳng qua là cái đó ta vẫn là ta sao?"

	Vương Hiểu Phong lại là đắng chát cười một tiếng.

	Tu chân tu là chân ngã, không phải nói gì tính cách thích hợp tu chân liền đem mình đi cái đó trong tính cách cmn !

	Nếu như như vậy làm, vậy thì mất đi tu chân chủ ý à.

	"Thằng nhóc ngươi chính là kiểu cách à."

	Dương Lão Nhị đánh Hắc Phong nhẹ nhàng tới đây, bay bổng ba thước, hướng xuống ngưng mắt nhìn Vương Hiểu Phong.

	"Ngươi làm sao tới?"

	Vương Hiểu Phong có chút kinh ngạc.

	Lão đầu này là thật khắc khổ, phần lớn thời gian liền gặp hắn tu luyện, trừ tu luyện chính là tu luyện. Tu luyện khiến cho hắn vui vẻ, tu luyện khiến cho hắn vui thích, tu luyện khiến cho người hắn mọc liền ý nghĩa.

	"Tu luyện mệt mỏi, khắp nơi vòng vo một chút, gặp thằng nhóc ngươi ở nơi này than thở, cái này cứ tới đây tán dóc đôi câu."

	Dương Lão Nhị vừa nói, vậy ngẩng đầu lên nhìn về phía đỉnh đầu trăng sáng.

	Từ thích ăn uống chơi gái đánh cuộc rút ra sau đó, hắn đã rất lâu không như vậy lẳng lặng xem mặt trăng.

	"Ngươi cũng biết mệt mỏi? Ta còn lấy là ngươi đặc biệt thích tu luyện đâu ?" Vương Hiểu Phong hỏi ngược lại. Đây có thể và hắn ngày thường biểu hiện hoàn toàn bất đồng à.

	"Nếu không thì sao ? Bây giờ ta tình huống này, ăn lại không chắc phải, uống lại uống không thể, trừ tu luyện, tranh thủ sớm ngày tu thành quỷ tiên, còn có thể làm gì!"

	Dương Lão Nhị trên mặt thoáng qua một chút bất đắc dĩ.

	Lúc này nếu có thể có hút thuốc liền sảng khoái, dù là một chi cũng tốt à. Đáng tiếc, nhất định là hy vọng xa vời, không có thể xác, những loài người này vui vẻ căn bản là không hắn chuyện gì.

	Cho nên, rất lâu, những cái kia cái quỷ thích đi dọa người trêu cợt người, không phải bởi vì là bọn họ thật thích chơi, mà là trừ cái này cái, liền không có những thứ khác chơi.

	". . . Cũng đúng."

	Vương Hiểu Phong gật đầu một cái.

	"Cho nên à tiểu tử, ngươi phải quý trọng mình lớn thời gian tốt à."

	"Có nhiều như vậy thời gian làm chút gì không tốt, nếu không phải là ở nơi này mặt trăng hạ rên rỉ than thở!"

	"Nếu là lão già đây còn sống, khẳng định đã sớm. . . Hì hì hắc."

	Dương Lão Nhị dâm. Đãng cười một tiếng.

	Lúc còn trẻ, hắn mặc dù là lưu manh không vợ, khá vậy nhập quả phụ cửa chuyện vẫn là thường xuyên làm.

	Hỏa khí lớn, người ta cũng có nhu cầu, mọi người, hụ hụ hụ, hiểu hiểu.Chương 162: Trò chuyện 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Trương Hoa trầm ngâm.

	An toàn của cha mẹ, có thể nói trước mặt đòi hỏi thứ nhất, không thể trì hoãn nữa.

	Nhưng bây giờ thủ hạ mới mèo lớn mèo nhỏ 2-3 chỉ, sức chiến đấu mạnh nhất Vương Lục Giáp cũng mới hóa kính, bảo vệ mình hoặc giả là đủ rồi, có thể tưởng tượng quá mức bảo vệ những người khác, nhưng là lực có không đãi.

	Giống như lần này, Trương Triêu Dương trúng cổ, coi như Vương Lục Giáp ở một bên, phỏng đoán vậy không phát hiện được. . . Khoa bất đồng, kinh nghiệm chưa đủ.

	Còn như những thứ khác, Dương Lão Nhị chí ít còn phải thu nạp mười năm âm khí, mới có thể làm được ban ngày hiện hình, có nhất định sức chiến đấu; bò lớn, cái này ngược lại là có thể sử dụng, chỉ bất quá, có nhiều chỗ nó không liền đi theo.

	Ngươi xem trên đường chính, có ai nuôi bò làm thú cưng, tùy thân mang theo?

	Một cái cũng không có.

	Cho nên cái này lựa chọn cũng là rất không đáng tin cậy.

	Cho nên, trước đem 《 bát quái bí truyền 》 ném cho Vương Lục Giáp, xem xem hắn có thể hay không tiến hơn một bước, đạt tới nửa bước quy nguyên cảnh. Đến lúc đó chiến lực tăng lên là thứ yếu, trọng yếu nhất chính là đối ngoại giới cảm giác sẽ tăng cường thật nhiều, có thể nhận ra được rất nhiều người thường không phát hiện được âm năng lượng tối tăm.

	. . .

	Lầu 1.

	Cung Ngọc Phù đạn trước đàn cổ, tiếng đàn lượn quanh Lương, nhưng rõ ràng mang một tia ngưng trệ một cái.

	"Tiểu thư, có tâm sự?" Bác Ngô đứng ở một bên, rất thân thiết hỏi.

	Làm là Cung Ngọc Phù người bảo vệ, hắn đối với vị này đại tiểu thư có thể nói rõ ràng khá sâu. Rất lâu, không cần lời nói, là được biết rõ đối phương tâm ý.

	"Đúng vậy, bác Ngô, ngươi Trương Hoa chân nhân chuẩn bị những thứ này, hắn phù văn chi đạo rốt cuộc đã đạt tới trình độ nào?"

	Cung Ngọc Phù dừng lại tiếng đàn.

	Tả hữu là lòng rối loạn, lại đạn vậy không nhiều lắm ý nghĩa, không bằng tĩnh tâm thảo luận một chút.

	"Hẳn thật cao, gà trống mào tím, chỉ bằng điều này, thì không phải là người bình thường có thể biết." Bác Ngô khom người trả lời.

	"Nếu không. . . Không ổn không ổn."

	Cung Ngọc Phù dâng lên một tia vọng niệm, định hỏi dò Trương Hoa lai lịch, có thể chợt liền lắc đầu một cái, đem ý tưởng này cưỡng chế đè xuống.

	Bây giờ thật vất vả nắm chặt hệ kéo gần, nếu bởi vì chuyện này mà xích mích, thật là bởi vì nhỏ mất lớn à!

	"Tiểu thư, ắt phải lo âu, cùng ngày mai hẳn thì biết."

	Bác Ngô thấp giọng nói: "Hôm nay, Đông Hải bệnh viện bên kia truyền tới tin tức, Thiên Hoa chân nhân cha chỗ ở phòng bệnh xuất hiện một cái một thước lớn dấu tay. Theo đổi thuốc y tá nói, là Thiên Hoa chân nhân đang hộc máu sau đó, tự mình ra tay đánh."

	"Hộc máu? Thiên Hoa chân nhân bị thương?" Cung Ngọc Phù kinh ngạc hỏi.

	Ở thành phố Đông Hải, còn có người có thể gây tổn thương cho Trương Hoa? Đây chính là cái tin tức lớn.

	"Nghe nói Thiên Hoa chân nhân là ở cho cha chữa thương, bị ngoại giới quấy rầy, từ đó kinh mạch chấn động, chân khí cắn trả, lúc này mới bị thương." Bác Ngô trả lời.

	"Thiên Hoa chân nhân cha hắn. . ."

	Cung Ngọc Phù suy tính một chút: "Bây giờ rốt cuộc là một tình huống gì?"

	"Không biết, bệnh viện tra xét rất lâu, hết thảy bình thường, nhưng chính là hôn mê bất tỉnh, hơn nữa tiêu gầy vô cùng. Buổi chiều, tiểu thư chẳng lẽ không chú ý?" Bác Ngô có chút kinh ngạc.

	Cung Ngọc Phù một giống như tỉ mỉ, không thể nào liền vật này cũng khinh thường à.

	"Chú ý, chẳng qua là bây giờ muốn xác nhận một chút thôi." Cung Ngọc Phù sắc mặt một đỏ, vội vàng trả lời.

	Nàng chẳng lẽ sẽ nói cho bác Ngô, buổi chiều gặp mặt, cơ bản cũng đem thời gian tốn ở và Lâm Tuyết Nhi tranh sủng lên sao? Không thể nào, nàng nhưng mà thiên kim đại tiểu thư, là tuyệt không thể nào làm ra loại chuyện như vậy!

	"Tiểu thư, nếu không chúng ta từ kinh thành bên kia mời mấy tốt bác sĩ tới trợ giúp xem xem? Cái này địa phương nhỏ bệnh viện đoán chừng là không dựa vào được."

	Bác Ngô đề nghị.

	"Phải, ngươi đi an bài đi."

	Cung Ngọc Phù đồng ý.

	Chuyện này, đối với nhà họ Cung mà nói, chừng chẳng qua là chuyện nhỏ. Có thể giúp, dĩ nhiên là tốt; không giúp được vậy tính hết liền tâm ý. Chắc hẳn Thiên Hoa chân nhân biết, cũng biết nhiều một phần có lòng tốt.

	. . .

	Bên trong viện, Vương Hiểu Phong nằm ở trên sân cỏ, đầu gối lên hai tay, nhìn chằm chằm đầy trời quần tinh sửng sờ.

	Ngày hôm nay ban ngày chuyện, không đúng, phải nói cái này hai ngày chuyện làm là thật kém.

	Hơi có điểm tiền mất tật mang mùi vị.

	Muốn bán Lâm Tuyết Nhi tốt, kết quả chỉ đạt được một câu 'Ngươi là người tốt' ; muốn bán dì Tạ một cái tốt, kết quả còn phải Trương Hoa linh lực cắn trả hộc máu.

	Thật đặc biệt là mọi chuyện bất lợi à!

	Đáng chết, đáng chết!

	"Nếu có thể làm lại, ta, ta. . ."

	Vương Hiểu Phong hít hơi, rất muốn phát một tàn nhẫn.

	Có thể coi là thật nặng tới một lần, mình là có thể trơ mắt nhìn Lâm Tuyết Nhi một nhà chết oan sao?

	Thật có thể sao?

	Nếu không phải có thể, có lẽ, cái này thì chứng minh mình đời này căn bản cũng không thích hợp tu hành, chỉ có thể nói đáng đời cả đời bình dân mạng!

	"Có lẽ, ta thật là một người tốt đi."

	Vương Hiểu Phong đắng chát cười một tiếng, trong lòng mùi vị khó rõ.

	Hắn không phải rất muốn làm loại này người tiêu tiền như rác kiểu người tốt, có thể tính cách chính là như vậy, có thể làm gì đâu!

	Tốt lắm quên vết sẹo đau!

	Người phụ nữ à, người phụ nữ, không biết bởi vì là ngươi đối với nàng tốt biết bao sẽ thích ngươi.

	Các nàng vậy tiện, liền cùng mình như nhau, là thật tiện!

	Đối với nàng tốt, nàng sẽ chuyện đương nhiên, hoặc là nói một câu cám ơn, dường như liền đủ trả lại đối phương bỏ ra.

	À!

	Người đàn ông, thật hẳn tự cường, chỉ có mình cường đại lên, mới có thể quanh thân người đẹp như mây.

	"Chẳng qua là cái đó ta vẫn là ta sao?"

	Vương Hiểu Phong lại là đắng chát cười một tiếng.

	Tu chân tu là chân ngã, không phải nói gì tính cách thích hợp tu chân liền đem mình đi cái đó trong tính cách cmn !

	Nếu như như vậy làm, vậy thì mất đi tu chân chủ ý à.

	"Thằng nhóc ngươi chính là kiểu cách à."

	Dương Lão Nhị đánh Hắc Phong nhẹ nhàng tới đây, bay bổng ba thước, hướng xuống ngưng mắt nhìn Vương Hiểu Phong.

	"Ngươi làm sao tới?"

	Vương Hiểu Phong có chút kinh ngạc.

	Lão đầu này là thật khắc khổ, phần lớn thời gian liền gặp hắn tu luyện, trừ tu luyện chính là tu luyện. Tu luyện khiến cho hắn vui vẻ, tu luyện khiến cho hắn vui thích, tu luyện khiến cho người hắn mọc liền ý nghĩa.

	"Tu luyện mệt mỏi, khắp nơi vòng vo một chút, gặp thằng nhóc ngươi ở nơi này than thở, cái này cứ tới đây tán dóc đôi câu."

	Dương Lão Nhị vừa nói, vậy ngẩng đầu lên nhìn về phía đỉnh đầu trăng sáng.

	Từ thích ăn uống chơi gái đánh cuộc rút ra sau đó, hắn đã rất lâu không như vậy lẳng lặng xem mặt trăng.

	"Ngươi cũng biết mệt mỏi? Ta còn lấy là ngươi đặc biệt thích tu luyện đâu ?" Vương Hiểu Phong hỏi ngược lại. Đây có thể và hắn ngày thường biểu hiện hoàn toàn bất đồng à.

	"Nếu không thì sao ? Bây giờ ta tình huống này, ăn lại không chắc phải, uống lại uống không thể, trừ tu luyện, tranh thủ sớm ngày tu thành quỷ tiên, còn có thể làm gì!"

	Dương Lão Nhị trên mặt thoáng qua một chút bất đắc dĩ.

	Lúc này nếu có thể có hút thuốc liền sảng khoái, dù là một chi cũng tốt à. Đáng tiếc, nhất định là hy vọng xa vời, không có thể xác, những loài người này vui vẻ căn bản là không hắn chuyện gì.

	Cho nên, rất lâu, những cái kia cái quỷ thích đi dọa người trêu cợt người, không phải bởi vì là bọn họ thật thích chơi, mà là trừ cái này cái, liền không có những thứ khác chơi.

	". . . Cũng đúng."

	Vương Hiểu Phong gật đầu một cái.

	"Cho nên à tiểu tử, ngươi phải quý trọng mình lớn thời gian tốt à."

	"Có nhiều như vậy thời gian làm chút gì không tốt, nếu không phải là ở nơi này mặt trăng hạ rên rỉ than thở!"

	"Nếu là lão già đây còn sống, khẳng định đã sớm. . . Hì hì hắc."

	Dương Lão Nhị dâm. Đãng cười một tiếng.

	Lúc còn trẻ, hắn mặc dù là lưu manh không vợ, khá vậy nhập quả phụ cửa chuyện vẫn là thường xuyên làm.

	Hỏa khí lớn, người ta cũng có nhu cầu, mọi người, hụ hụ hụ, hiểu hiểu.
