Chương 871: Một tuần lễ trước đó

	Một tuần lễ trước đó, buổi tối.
	Hải quân lục chiến đội cuối cùng thịnh vượng phá vòng vây, hy sinh hơn hai mươi người lộ ra gần một trăm danh nhân vật chất, về tới rút đi điểm vị trí, hơn nữa trên người mọi người đều có thương, mà con tin bên trong cũng có một nhóm người bị thương.

	Cùng lúc đó, nước Mỹ Bộ quốc phòng đem Dư Dương phát tới tin tức giao cho ngành tình báo: "Thẻ nhịn ngươi, chúng ta thu được một nặc danh điện thoại, nói chúng ta tìm kiếm số hai mục tiêu xuất hiện ở đây địa phương!"

	"Đánh na ngươi trấn này thôn trấn ở phía sau Aden, đây là Nam Ủy Hội khống chế bàn, Houthi  vũ trang số hai đầu mục tại sao lại ở chỗ này phải hay không làm ác tin tức "

	Nhân viên tình báo bất đắc dĩ nhún nhún vai: "Coi như là làm ác chúng ta cũng muốn đi tra một chút, điều động một cái vệ tinh, xem xét một chút này thôn trấn tình huống "

	"Tốt, chờ!"

	Trấn nhỏ trên căn bản thập phần bình tĩnh, trấn trên vẫn như cũ sinh sống, này thôn trấn nhìn lên cùng phổ thông trấn nhỏ có phần khác biệt, bất quá rất nhanh này nhân viên tình báo phát hiện một ít bất ngờ, này thôn trấn bình tĩnh thật là đáng sợ, đáng sợ đến không giống như là bình thường nằm ở ngọn lửa chiến tranh bên trong trấn nhỏ.

	"Có vấn đề!" 

Nhân viên tình báo quan sát một lúc sau xác định này trấn nhỏ tồn tại vấn đề, lập tức đem tình báo này hồi báo lên, rất nhanh tư liệu bị đưa đến tình báo phân tích cục trong tay.

	"Phái ra hải quân lục chiến đội xem xét một chút này thôn trấn!" Hai tiếng đồng hồ, người Mỹ quyết định phái ra binh sĩ đi kiểm tra một chút này trấn nhỏ.

	"Trưởng quan, Seals đội đột kích khả năng không cách nào đến, bọn hắn có càng trọng yếu nhiệm vụ đi chấp hành!"

	"Vậy thì phái gần nhất Seals đội đột kích đi qua!"

	Hai ngày sau, một đội Seals đột kích đội viên đi tới trong tiểu trấn, xảy ra một trận kịch liệt giao hỏa sau đó bắn chết rồi số hai đầu mục, đồng thời trước tiên đem video gửi đi trở về quốc nội.

	Lúc này Trump đang tại vì thất bại hành động mà khổ não, khi thấy đánh gục số hai đầu mục sau đó lập tức nghĩ tới một biện pháp hay, rất đơn giản, chính là vàng thau lẫn lộn, để quốc nội truyền thông trắng trợn tuyên truyền Seals đội đột kích một lần nữa lập công, bắn chết rồi Houthi  tổ chức số hai đầu mục, đồng thời ngậm miệng không nói thất bại hành động quân sự.

	Trump người này, tại được tuyển trước đó, truyền thông một mực hát tối gia hỏa này, hết cách rồi, Trump không bị nước Mỹ tinh anh tầng tiếp đãi, mà truyền thông đại đa số đều nắm giữ ở nước Mỹ tinh anh tầng, về phần bách tính bình thường biết rõ đồ vật, đều là những này truyền thông tuyên truyền lấy được, cho nên tổng tuyển cử thời điểm, nhìn thấy một bên đen tối Trump tân văn.

	Thế nhưng bỏ phiếu loại chuyện này cũng không phải tinh anh tầng có thể quyết định, tinh anh tinh anh, nhất định là số ít người, cho nên Trump giết chết bác gái trúng tuyển tổng thống nước Mỹ.

	Thành tổng thống sau đó tuy rằng vẫn là hết sức chán ghét này miệng rộng, thế nhưng hết cách rồi, bây giờ là tổng thống, cho nên truyền thông vẫn tính bán mặt mũi, đại đa số truyền thông đều nhận được thông báo, bắt đầu tuyên dương nước Mỹ thức thắng lợi, về phần người bị chết vật chất cùng binh sĩ thật không tiện những chuyện này đều không quan trọng!

	Loại tân văn này sau khi đi ra, nước Mỹ dân chúng quan tâm điểm quả nhiên bị dời đi, thế nhưng Trump không có nghĩ tới là, Houthi  vũ trang không chết tử tế rõ ràng công bố video.

	Kỳ thực Houthi  vũ trang cũng không có tính toán đem người Mỹ hoàn toàn đắc tội chết rồi, thế nhưng tại số hai đầu mục bị đánh gục sau đó Houthi  vũ trang quyết định trả thù một cái người Mỹ, hoặc là nói buồn nôn một cái người Mỹ, đem buổi tối hôm đó video tư liệu công bố đã đến bán đảo đài truyền hình!

	Bán đảo đài truyền hình là địa phương nào bán đảo đài truyền hình có thể nói là toàn thế giới lá gan lớn nhất đài truyền hình, không có đồ vật gì là bọn hắn không dám truyền bá, nếu có, nhất định là bọn hắn đài truyền hình đài trưởng một ít chuyện.

	Cho nên thu được tư liệu sau đó bán đảo đài truyền hình đều điên rồi, từ khi Binladen sau khi chết, bán đảo đài truyền hình đã rất lâu chưa từng xuất hiện đại tin tức, bán đảo đài truyền hình thật giống lại nhìn thấy chính mình từ 2001 đến năm 2010 trong lúc đó nở mày nở mặt bộ dáng, lập tức không chút nào bởi lựa chọn chen vào tân văn.

	Bán đảo đài truyền hình truyền ra sau đó tân văn lập tức bắt đầu khuếch tán, mới bắt đầu tiếp sóng chính là nước Anh truyền thông, nước Anh truyền thông một mực tại quan tâm con tin sự kiện, người Mỹ một mực không có động tĩnh, nhưng khi xem xong video sau đó người nước Anh phát hiện, chính mình thật giống bị người Mỹ lừa, con tin xảy ra vấn đề rồi!

	Thế là tại nước Anh truyền thông tuyên truyền dưới, nước Mỹ hành động quân sự chuyện thất bại, toàn thế giới liền đều biết, trở thành trò cười cùng sỉ nhục!Chương 871: Một tuần lễ trước đó

	Một tuần lễ trước đó, buổi tối.

	Lúc Seals tiểu đội nghe được trong kho hàng truyền đến tiếng súng hấp dẫn Seals binh sĩ lực chú ý, cùng lúc đó cửa ra vào Houthi  kí chủ, từ chính diện bắt đầu tiến công, ba viên Thiểm Quang Đạn ném vào trong phòng.

	Vang trầm vang lên, Houthi  vũ trang mượn Thiểm Quang Đạn hổ trợ che chắn xông vào trong kho hàng, Seals đội đột kích binh sĩ tại Thiểm Quang Đạn ném vào tới trong nháy mắt, liền ý thức được đại sự không ổn, Houthi  vũ trang công đi vào rồi.

	Dẫn đầu hai Seals binh sĩ nhanh chóng cúi thấp đầu, Thiểm Quang Đạn để cho bọn họ cảm giác lỗ tai có phần khó chịu, thế nhưng tốt đẹp chiến đấu tố dưỡng, bọn hắn nhanh chóng thay đổi nòng súng, đối với trong ấn tượng vị trí nổ súng.

	Liên tiếp tiếng súng vang lên, trước hết nhảy vào Houthi  vũ trang phần tử bị đánh gục, thế nhưng sát theo đó xông tới càng nhiều hơn Houthi  vũ trang phần tử, Houthi  phương diện kí chủ không có trước tiên tiến công, mà là tiếp tục trốn ở cửa vào khu vực, chờ đợi áp phích phá vòng vây.

	"Lao ra!"

	Seals binh sĩ khôi phục một chút trạng thái sau đó nhanh chóng đứng dậy hô to một câu, ba binh sĩ dẫn đầu, hỏa lực áp chế xông tới Houthi  vũ trang, đồng thời chuẩn bị phản công ra ngoài.

	Ba Seals binh sĩ xông sau khi đi ra ngoài, vang lên một trận kịch liệt tiếng súng, mà có mấy người vật chất hiện tại cũng không ngồi yên nữa, rít gào lên hướng về cửa lớn lao ra, tình cảnh trở nên hết sức hoảng loạn.

	Hỗn loạn giao hỏa trạng thái, Seals binh sĩ bị Houthi  vũ trang kí chủ bắn chết rồi sáu người, mà Houthi  kí chủ bị Seals bắn chết rồi năm người, ngoài ra, còn có càng nhiều binh lính bình thường bị đánh gục, trên đất còn mấy chục có con tin kí chủ.

	Con tin đưa tới hỗn loạn, để trợ giúp người đến nước Mỹ hải quân đội đột kích có thừa cơ lợi dụng, mượn hỗn loạn điều kiện, vọt thẳng vào trong kho hàng.

	Chỉ còn lại một Seals binh sĩ đang kiên trì, mà Lâm Hải thì căn bản không nhìn thấy thương khố phát sinh tình huống, nhảy vào trong kho hàng hải quân lục chiến đội nhanh chóng đem trong kho hàng tất cả mọi người Houthi  vũ trang đánh gục.

	"Lao ra, lao ra!"

	Hải quân lục chiến đội binh sĩ không có lựa chọn khác, chỉ có thể mang theo con tin xông ra ngoài, thế nhưng sát theo đó bọn hắn liền hối hận làm này quyết định, Houthi  vũ trang tại chung quanh chút cao mắc nối lên súng máy, bốn cỗ súng máy hình thành phong tỏa liệm đem xông người đi ra vật chất cùng hải quân lục chiến đội binh sĩ đánh gục.

	"Tiêu diệt súng máy! Tiêu diệt súng máy!"

	Chỗ tối tay bắn tỉa đem bốn điểm hỏa lực tiêu diệt, hải quân lục chiến đội lấy ra bom khói, bắt đầu lót đường, khiến người ta vật chất đi đầu, thế nhưng hai bên xuất hiện vô số Houthi  vũ trang, đem bọn này hải quân lục chiến đội binh sĩ cùng con tin bao vây lại.

	Hải quân lục chiến đội cuối cùng thịnh vượng phá vòng vây, hy sinh hơn hai mươi người lộ ra gần một trăm danh nhân vật chất, về tới rút đi điểm vị trí, hơn nữa trên người mọi người đều có thương, mà con tin bên trong cũng có một nhóm người bị thương.

	Cùng lúc đó, nước Mỹ Bộ quốc phòng đem Dư Dương phát tới tin tức giao cho ngành tình báo: "Thẻ nhịn ngươi, chúng ta thu được một nặc danh điện thoại, nói chúng ta tìm kiếm số hai mục tiêu xuất hiện ở đây địa phương!"

	"Đánh na ngươi trấn này thôn trấn ở phía sau Aden, đây là Nam Ủy Hội khống chế bàn, Houthi  vũ trang số hai đầu mục tại sao lại ở chỗ này phải hay không làm ác tin tức "

	Nhân viên tình báo bất đắc dĩ nhún nhún vai: "Coi như là làm ác chúng ta cũng muốn đi tra một chút, điều động một cái vệ tinh, xem xét một chút này thôn trấn tình huống "

	"Tốt, chờ!"

	Trấn nhỏ trên căn bản thập phần bình tĩnh, trấn trên vẫn như cũ sinh sống, này thôn trấn nhìn lên cùng phổ thông trấn nhỏ có phần khác biệt, bất quá rất nhanh này nhân viên tình báo phát hiện một ít bất ngờ, này thôn trấn bình tĩnh thật là đáng sợ, đáng sợ đến không giống như là bình thường nằm ở ngọn lửa chiến tranh bên trong trấn nhỏ.

	"Có vấn đề!" 

Nhân viên tình báo quan sát một lúc sau xác định này trấn nhỏ tồn tại vấn đề, lập tức đem tình báo này hồi báo lên, rất nhanh tư liệu bị đưa đến tình báo phân tích cục trong tay.

	"Phái ra hải quân lục chiến đội xem xét một chút này thôn trấn!" Hai tiếng đồng hồ, người Mỹ quyết định phái ra binh sĩ đi kiểm tra một chút này trấn nhỏ.

	"Trưởng quan, Seals đội đột kích khả năng không cách nào đến, bọn hắn có càng trọng yếu nhiệm vụ đi chấp hành!"

	"Vậy thì phái gần nhất Seals đội đột kích đi qua!"

	Hai ngày sau, một đội Seals đột kích đội viên đi tới trong tiểu trấn, xảy ra một trận kịch liệt giao hỏa sau đó bắn chết rồi số hai đầu mục, đồng thời trước tiên đem video gửi đi trở về quốc nội.

	Lúc này Trump đang tại vì thất bại hành động mà khổ não, khi thấy đánh gục số hai đầu mục sau đó lập tức nghĩ tới một biện pháp hay, rất đơn giản, chính là vàng thau lẫn lộn, để quốc nội truyền thông trắng trợn tuyên truyền Seals đội đột kích một lần nữa lập công, bắn chết rồi Houthi  tổ chức số hai đầu mục, đồng thời ngậm miệng không nói thất bại hành động quân sự.

	Trump người này, tại được tuyển trước đó, truyền thông một mực hát tối gia hỏa này, hết cách rồi, Trump không bị nước Mỹ tinh anh tầng tiếp đãi, mà truyền thông đại đa số đều nắm giữ ở nước Mỹ tinh anh tầng, về phần bách tính bình thường biết rõ đồ vật, đều là những này truyền thông tuyên truyền lấy được, cho nên tổng tuyển cử thời điểm, nhìn thấy một bên đen tối Trump tân văn.

	Thế nhưng bỏ phiếu loại chuyện này cũng không phải tinh anh tầng có thể quyết định, tinh anh tinh anh, nhất định là số ít người, cho nên Trump giết chết bác gái trúng tuyển tổng thống nước Mỹ.

	Thành tổng thống sau đó tuy rằng vẫn là hết sức chán ghét này miệng rộng, thế nhưng hết cách rồi, bây giờ là tổng thống, cho nên truyền thông vẫn tính bán mặt mũi, đại đa số truyền thông đều nhận được thông báo, bắt đầu tuyên dương nước Mỹ thức thắng lợi, về phần người bị chết vật chất cùng binh sĩ thật không tiện những chuyện này đều không quan trọng!

	Loại tân văn này sau khi đi ra, nước Mỹ dân chúng quan tâm điểm quả nhiên bị dời đi, thế nhưng Trump không có nghĩ tới là, Houthi  vũ trang không chết tử tế rõ ràng công bố video.

	Kỳ thực Houthi  vũ trang cũng không có tính toán đem người Mỹ hoàn toàn đắc tội chết rồi, thế nhưng tại số hai đầu mục bị đánh gục sau đó Houthi  vũ trang quyết định trả thù một cái người Mỹ, hoặc là nói buồn nôn một cái người Mỹ, đem buổi tối hôm đó video tư liệu công bố đã đến bán đảo đài truyền hình!

	Bán đảo đài truyền hình là địa phương nào bán đảo đài truyền hình có thể nói là toàn thế giới lá gan lớn nhất đài truyền hình, không có đồ vật gì là bọn hắn không dám truyền bá, nếu có, nhất định là bọn hắn đài truyền hình đài trưởng một ít chuyện.

	Cho nên thu được tư liệu sau đó bán đảo đài truyền hình đều điên rồi, từ khi Binladen sau khi chết, bán đảo đài truyền hình đã rất lâu chưa từng xuất hiện đại tin tức, bán đảo đài truyền hình thật giống lại nhìn thấy chính mình từ 2001 đến năm 2010 trong lúc đó nở mày nở mặt bộ dáng, lập tức không chút nào bởi lựa chọn chen vào tân văn.

	Bán đảo đài truyền hình truyền ra sau đó tân văn lập tức bắt đầu khuếch tán, mới bắt đầu tiếp sóng chính là nước Anh truyền thông, nước Anh truyền thông một mực tại quan tâm con tin sự kiện, người Mỹ một mực không có động tĩnh, nhưng khi xem xong video sau đó người nước Anh phát hiện, chính mình thật giống bị người Mỹ lừa, con tin xảy ra vấn đề rồi!

	Thế là tại nước Anh truyền thông tuyên truyền dưới, nước Mỹ hành động quân sự chuyện thất bại, toàn thế giới liền đều biết, trở thành trò cười cùng sỉ nhục!Chương 871: Một tuần lễ trước đó

	Một tuần lễ trước đó, buổi tối.

	Lúc Seals tiểu đội nghe được trong kho hàng truyền đến tiếng súng hấp dẫn Seals binh sĩ lực chú ý, cùng lúc đó cửa ra vào Houthi  kí chủ, từ chính diện bắt đầu tiến công, ba viên Thiểm Quang Đạn ném vào trong phòng.

	Vang trầm vang lên, Houthi  vũ trang mượn Thiểm Quang Đạn hổ trợ che chắn xông vào trong kho hàng, Seals đội đột kích binh sĩ tại Thiểm Quang Đạn ném vào tới trong nháy mắt, liền ý thức được đại sự không ổn, Houthi  vũ trang công đi vào rồi.

	Dẫn đầu hai Seals binh sĩ nhanh chóng cúi thấp đầu, Thiểm Quang Đạn để cho bọn họ cảm giác lỗ tai có phần khó chịu, thế nhưng tốt đẹp chiến đấu tố dưỡng, bọn hắn nhanh chóng thay đổi nòng súng, đối với trong ấn tượng vị trí nổ súng.

	Liên tiếp tiếng súng vang lên, trước hết nhảy vào Houthi  vũ trang phần tử bị đánh gục, thế nhưng sát theo đó xông tới càng nhiều hơn Houthi  vũ trang phần tử, Houthi  phương diện kí chủ không có trước tiên tiến công, mà là tiếp tục trốn ở cửa vào khu vực, chờ đợi áp phích phá vòng vây.

	"Lao ra!"

	Seals binh sĩ khôi phục một chút trạng thái sau đó nhanh chóng đứng dậy hô to một câu, ba binh sĩ dẫn đầu, hỏa lực áp chế xông tới Houthi  vũ trang, đồng thời chuẩn bị phản công ra ngoài.

	Ba Seals binh sĩ xông sau khi đi ra ngoài, vang lên một trận kịch liệt tiếng súng, mà có mấy người vật chất hiện tại cũng không ngồi yên nữa, rít gào lên hướng về cửa lớn lao ra, tình cảnh trở nên hết sức hoảng loạn.

	Hỗn loạn giao hỏa trạng thái, Seals binh sĩ bị Houthi  vũ trang kí chủ bắn chết rồi sáu người, mà Houthi  kí chủ bị Seals bắn chết rồi năm người, ngoài ra, còn có càng nhiều binh lính bình thường bị đánh gục, trên đất còn mấy chục có con tin kí chủ.

	Con tin đưa tới hỗn loạn, để trợ giúp người đến nước Mỹ hải quân đội đột kích có thừa cơ lợi dụng, mượn hỗn loạn điều kiện, vọt thẳng vào trong kho hàng.

	Chỉ còn lại một Seals binh sĩ đang kiên trì, mà Lâm Hải thì căn bản không nhìn thấy thương khố phát sinh tình huống, nhảy vào trong kho hàng hải quân lục chiến đội nhanh chóng đem trong kho hàng tất cả mọi người Houthi  vũ trang đánh gục.

	"Lao ra, lao ra!"

	Hải quân lục chiến đội binh sĩ không có lựa chọn khác, chỉ có thể mang theo con tin xông ra ngoài, thế nhưng sát theo đó bọn hắn liền hối hận làm này quyết định, Houthi  vũ trang tại chung quanh chút cao mắc nối lên súng máy, bốn cỗ súng máy hình thành phong tỏa liệm đem xông người đi ra vật chất cùng hải quân lục chiến đội binh sĩ đánh gục.

	"Tiêu diệt súng máy! Tiêu diệt súng máy!"

	Chỗ tối tay bắn tỉa đem bốn điểm hỏa lực tiêu diệt, hải quân lục chiến đội lấy ra bom khói, bắt đầu lót đường, khiến người ta vật chất đi đầu, thế nhưng hai bên xuất hiện vô số Houthi  vũ trang, đem bọn này hải quân lục chiến đội binh sĩ cùng con tin bao vây lại.

	Hải quân lục chiến đội cuối cùng thịnh vượng phá vòng vây, hy sinh hơn hai mươi người lộ ra gần một trăm danh nhân vật chất, về tới rút đi điểm vị trí, hơn nữa trên người mọi người đều có thương, mà con tin bên trong cũng có một nhóm người bị thương.

	Cùng lúc đó, nước Mỹ Bộ quốc phòng đem Dư Dương phát tới tin tức giao cho ngành tình báo: "Thẻ nhịn ngươi, chúng ta thu được một nặc danh điện thoại, nói chúng ta tìm kiếm số hai mục tiêu xuất hiện ở đây địa phương!"

	"Đánh na ngươi trấn này thôn trấn ở phía sau Aden, đây là Nam Ủy Hội khống chế bàn, Houthi  vũ trang số hai đầu mục tại sao lại ở chỗ này phải hay không làm ác tin tức "

	Nhân viên tình báo bất đắc dĩ nhún nhún vai: "Coi như là làm ác chúng ta cũng muốn đi tra một chút, điều động một cái vệ tinh, xem xét một chút này thôn trấn tình huống "

	"Tốt, chờ!"

	Trấn nhỏ trên căn bản thập phần bình tĩnh, trấn trên vẫn như cũ sinh sống, này thôn trấn nhìn lên cùng phổ thông trấn nhỏ có phần khác biệt, bất quá rất nhanh này nhân viên tình báo phát hiện một ít bất ngờ, này thôn trấn bình tĩnh thật là đáng sợ, đáng sợ đến không giống như là bình thường nằm ở ngọn lửa chiến tranh bên trong trấn nhỏ.

	"Có vấn đề!" 

Nhân viên tình báo quan sát một lúc sau xác định này trấn nhỏ tồn tại vấn đề, lập tức đem tình báo này hồi báo lên, rất nhanh tư liệu bị đưa đến tình báo phân tích cục trong tay.

	"Phái ra hải quân lục chiến đội xem xét một chút này thôn trấn!" Hai tiếng đồng hồ, người Mỹ quyết định phái ra binh sĩ đi kiểm tra một chút này trấn nhỏ.

	"Trưởng quan, Seals đội đột kích khả năng không cách nào đến, bọn hắn có càng trọng yếu nhiệm vụ đi chấp hành!"

	"Vậy thì phái gần nhất Seals đội đột kích đi qua!"

	Hai ngày sau, một đội Seals đột kích đội viên đi tới trong tiểu trấn, xảy ra một trận kịch liệt giao hỏa sau đó bắn chết rồi số hai đầu mục, đồng thời trước tiên đem video gửi đi trở về quốc nội.

	Lúc này Trump đang tại vì thất bại hành động mà khổ não, khi thấy đánh gục số hai đầu mục sau đó lập tức nghĩ tới một biện pháp hay, rất đơn giản, chính là vàng thau lẫn lộn, để quốc nội truyền thông trắng trợn tuyên truyền Seals đội đột kích một lần nữa lập công, bắn chết rồi Houthi  tổ chức số hai đầu mục, đồng thời ngậm miệng không nói thất bại hành động quân sự.

	Trump người này, tại được tuyển trước đó, truyền thông một mực hát tối gia hỏa này, hết cách rồi, Trump không bị nước Mỹ tinh anh tầng tiếp đãi, mà truyền thông đại đa số đều nắm giữ ở nước Mỹ tinh anh tầng, về phần bách tính bình thường biết rõ đồ vật, đều là những này truyền thông tuyên truyền lấy được, cho nên tổng tuyển cử thời điểm, nhìn thấy một bên đen tối Trump tân văn.

	Thế nhưng bỏ phiếu loại chuyện này cũng không phải tinh anh tầng có thể quyết định, tinh anh tinh anh, nhất định là số ít người, cho nên Trump giết chết bác gái trúng tuyển tổng thống nước Mỹ.

	Thành tổng thống sau đó tuy rằng vẫn là hết sức chán ghét này miệng rộng, thế nhưng hết cách rồi, bây giờ là tổng thống, cho nên truyền thông vẫn tính bán mặt mũi, đại đa số truyền thông đều nhận được thông báo, bắt đầu tuyên dương nước Mỹ thức thắng lợi, về phần người bị chết vật chất cùng binh sĩ thật không tiện những chuyện này đều không quan trọng!

	Loại tân văn này sau khi đi ra, nước Mỹ dân chúng quan tâm điểm quả nhiên bị dời đi, thế nhưng Trump không có nghĩ tới là, Houthi  vũ trang không chết tử tế rõ ràng công bố video.

	Kỳ thực Houthi  vũ trang cũng không có tính toán đem người Mỹ hoàn toàn đắc tội chết rồi, thế nhưng tại số hai đầu mục bị đánh gục sau đó Houthi  vũ trang quyết định trả thù một cái người Mỹ, hoặc là nói buồn nôn một cái người Mỹ, đem buổi tối hôm đó video tư liệu công bố đã đến bán đảo đài truyền hình!

	Bán đảo đài truyền hình là địa phương nào bán đảo đài truyền hình có thể nói là toàn thế giới lá gan lớn nhất đài truyền hình, không có đồ vật gì là bọn hắn không dám truyền bá, nếu có, nhất định là bọn hắn đài truyền hình đài trưởng một ít chuyện.

	Cho nên thu được tư liệu sau đó bán đảo đài truyền hình đều điên rồi, từ khi Binladen sau khi chết, bán đảo đài truyền hình đã rất lâu chưa từng xuất hiện đại tin tức, bán đảo đài truyền hình thật giống lại nhìn thấy chính mình từ 2001 đến năm 2010 trong lúc đó nở mày nở mặt bộ dáng, lập tức không chút nào bởi lựa chọn chen vào tân văn.

	Bán đảo đài truyền hình truyền ra sau đó tân văn lập tức bắt đầu khuếch tán, mới bắt đầu tiếp sóng chính là nước Anh truyền thông, nước Anh truyền thông một mực tại quan tâm con tin sự kiện, người Mỹ một mực không có động tĩnh, nhưng khi xem xong video sau đó người nước Anh phát hiện, chính mình thật giống bị người Mỹ lừa, con tin xảy ra vấn đề rồi!

	Thế là tại nước Anh truyền thông tuyên truyền dưới, nước Mỹ hành động quân sự chuyện thất bại, toàn thế giới liền đều biết, trở thành trò cười cùng sỉ nhục!Chương 871: Một tuần lễ trước đó

	Một tuần lễ trước đó, buổi tối.

	Lúc Seals tiểu đội nghe được trong kho hàng truyền đến tiếng súng hấp dẫn Seals binh sĩ lực chú ý, cùng lúc đó cửa ra vào Houthi  kí chủ, từ chính diện bắt đầu tiến công, ba viên Thiểm Quang Đạn ném vào trong phòng.

	Vang trầm vang lên, Houthi  vũ trang mượn Thiểm Quang Đạn hổ trợ che chắn xông vào trong kho hàng, Seals đội đột kích binh sĩ tại Thiểm Quang Đạn ném vào tới trong nháy mắt, liền ý thức được đại sự không ổn, Houthi  vũ trang công đi vào rồi.

	Dẫn đầu hai Seals binh sĩ nhanh chóng cúi thấp đầu, Thiểm Quang Đạn để cho bọn họ cảm giác lỗ tai có phần khó chịu, thế nhưng tốt đẹp chiến đấu tố dưỡng, bọn hắn nhanh chóng thay đổi nòng súng, đối với trong ấn tượng vị trí nổ súng.

	Liên tiếp tiếng súng vang lên, trước hết nhảy vào Houthi  vũ trang phần tử bị đánh gục, thế nhưng sát theo đó xông tới càng nhiều hơn Houthi  vũ trang phần tử, Houthi  phương diện kí chủ không có trước tiên tiến công, mà là tiếp tục trốn ở cửa vào khu vực, chờ đợi áp phích phá vòng vây.

	"Lao ra!"

	Seals binh sĩ khôi phục một chút trạng thái sau đó nhanh chóng đứng dậy hô to một câu, ba binh sĩ dẫn đầu, hỏa lực áp chế xông tới Houthi  vũ trang, đồng thời chuẩn bị phản công ra ngoài.

	Ba Seals binh sĩ xông sau khi đi ra ngoài, vang lên một trận kịch liệt tiếng súng, mà có mấy người vật chất hiện tại cũng không ngồi yên nữa, rít gào lên hướng về cửa lớn lao ra, tình cảnh trở nên hết sức hoảng loạn.

	Hỗn loạn giao hỏa trạng thái, Seals binh sĩ bị Houthi  vũ trang kí chủ bắn chết rồi sáu người, mà Houthi  kí chủ bị Seals bắn chết rồi năm người, ngoài ra, còn có càng nhiều binh lính bình thường bị đánh gục, trên đất còn mấy chục có con tin kí chủ.

	Con tin đưa tới hỗn loạn, để trợ giúp người đến nước Mỹ hải quân đội đột kích có thừa cơ lợi dụng, mượn hỗn loạn điều kiện, vọt thẳng vào trong kho hàng.

	Chỉ còn lại một Seals binh sĩ đang kiên trì, mà Lâm Hải thì căn bản không nhìn thấy thương khố phát sinh tình huống, nhảy vào trong kho hàng hải quân lục chiến đội nhanh chóng đem trong kho hàng tất cả mọi người Houthi  vũ trang đánh gục.

	"Lao ra, lao ra!"

