 Sau ba ngày.

	"Nơi này chính là Canh Thần tiên sơn?"
	Thiên Nam luận kiếm, ở vào Canh Thần Tiên tam mười hai toà Sơn Vân trên đài, trẻ tuổi một đời tuấn kiệt anh kiệt, như ở đây thu được thứ tự, rất nhanh liền sẽ danh chấn Thiên Nam, so với còn lại bất kỳ giang hồ nghe đồn chiếm được danh tiếng, càng thêm tin cậy.

	Hiển nhiên, tại Vân Sơn Tông trước đó, nơi này đã tới không Thiếu Tông môn.

	Vừa có như Vân Sơn Tông như vậy nhị tam lưu môn phái nhỏ, cũng có Lăng Tiêu phái như vậy đại tông, cùng với một ít có thích hợp tuổi, mà lại võ học trình độ khả quan con cháu thế gia.

	Kẹt kẹt.

	Mực uyên mở ra ba gian cửa phòng, trầm giọng cười nói: "Ba vị xin mời ở nơi này nghỉ ngơi đi. Bất quá, tham gia luận kiếm người, tuy nhiều làm tên môn chính phái cùng võ lâm thế gia, nhưng vẫn là không thiếu một ít bụng dạ khó lường người, không thể không có tâm phòng bị người, ba vị kính xin cẩn thận."

	"Đa tạ nhắc nhở."

	Vạn Anh Tông cảm ơn.
  Sau ba ngày.

	"Nơi này chính là Canh Thần tiên sơn?"

	Xa xa nhìn tới, năm toà bình địa lên núi cao nguy nga, thình lình đứng lặng tại mọi người trước mắt, trong đó, đông, tây, nam, bắc bốn toà Sơn Nhạc, tương đối thấp bé, lấy chúng tinh củng nguyệt xu thế, bảo vệ quanh trung tâm Canh Thần sơn.

	Thiên Nam chính đạo đứng đầu, Canh Thần tiên tông, liền ở chỗ này.

	Cũng chính bởi vì Thiên Nam chính đạo chư môn đứng đầu địa vị, toà này Canh Thần sơn cùng với tông môn, mới bị mang theo chữ Tiên.

	Không giống với Vân Sơn Tông thanh tịnh thanh nhã, Canh Thần tiên tông lấy tư cách Thiên Nam cửa chính đứng đầu, lại là hùng cứ Trung Nguyên đất màu mỡ bên trên, tiên sơn đội đất mà lên, nhìn xuống vân vân lượn lờ chúng sinh, bên dưới ngọn núi bốn phía, phồn hoa thành trấn, nối liền không dứt, lên núi hạ sơn người nối liền không dứt, lại tăng thêm ba năm nay một lần Thiên Nam luận kiếm thịnh hội, tất nhiên là khiến người ta mắt không kịp nhìn, lưu luyến quên về, nhìn mà phát khiếp.

	Ục ục ục cục cục. . .

	Tương tự với Vân Sơn Tông tiên hạc cung phụng, Tiên chim tẩu thú nhiều vô số kể, từ bốn phương tám hướng mang người hội tụ ở này.

	Chim bay thú chạy chỗ phụ người, đa số đều là bạch y phiêu phiêu, cũng có số ít kỳ trang dị sắc, nhưng vũ khí đều là các loại bội kiếm.

	Vạn Anh Diệp ngạc nhiên mừng rỡ âm thanh, để Vạn Anh Tông gật gật đầu, thanh bằng nói: "Đúng vậy, đây cũng là Canh Thần tiên sơn, Thiên Nam cửa chính đứng đầu, nội môn nội tình số lượng hàng trăm, đệ tử ngoại môn nhiều vô số kể, cùng với lẫn nhau liên quan thế gia khó mà thống kê, là Thiên Nam chi địa cao cấp nhất danh môn đại phái, truyền thừa mấy ngàn năm!"

	Vạn Anh Tông tâm hướng về thần di nói: "Trong truyền thuyết, trên Tiên Thiên chi cảnh, còn có cao siêu hơn cảnh giới võ học, Thiên Nam võ Lâm Nhược thật có cỡ này cao nhân, không nghi ngờ chút nào, liền tại đây Canh Thần phía trên ngọn tiên sơn rồi."

	"Đây chẳng phải là so với Vân Sơn Khai Sơn Tổ Sư lợi hại hơn?"

	Vạn Anh Diệp vẻ kinh dị, lẩm bẩm nói: "Mấy trăm vị đệ tử nội môn, đệ tử ngoại môn nhiều vô số kể, tương quan thế gia khó mà thống kê, chúng ta Vân Sơn Tông tính cả Anh Môn sư ca vị này đệ tử ngoại môn, tổng cộng mới bảy vị đệ tử, liên quan thế gia chỉ có Anh Môn sư ca thanh đàm thế gia, cùng với ngoại công ta Ảnh Nguyệt sơn trang."

	Vạn Anh Diệp cùng Vạn Anh Tông liên tục tiếp lời, sâu trong nội tâm, lại là thiếu nữ từng tia từng tia ngọt ngào vui sướng, tựa hồ từ lâu quên mất bên người Anh Tuyết sư tỷ.

	Khắp nơi lưu quang, Vạn Anh Diệp ánh mắt rơi trên người Vạn Anh Tông, khóe miệng hiện lên ngọt ngào mỉm cười.

	Mượn Vạn Anh Diệp ánh mắt, ẩn giấu ở màu xanh thẳm sâu trong linh hồn đầu độc ma quỷ màu đen làn khói, ngóng nhìn Canh Thần tiên sơn vô số linh hồn quang điểm, nơi này không nghi ngờ chút nào, là Thiên Nam chi địa lớn nhất Thời Không tiết điểm.

	Khẽ thở dài một cái.

	"Đáng tiếc, không cách nào mở ra ma quỷ cánh cửa, cũng không biết lần trước đi tới nơi này cái thế giới đầu độc ma quỷ, đến tột cùng mở ra thế nào trình độ ma quỷ cánh cửa. Lấy Thiên Nam chi địa võ lâm thịnh hình dáng đến xem, hẳn là cũng không hề tạo thành quá lớn phá hoại, còn lâu mới có thể cùng Lôi Lạc thế giới đánh đồng với nhau, gần như tạo thành Viễn Cổ sinh vật có trí khôn tuyệt diệt hạo kiếp."

	Đầu độc ma quỷ nghe được trong linh hồn, thiếu nữ từng tiếng tình cảm tâm tư, màu đen làn khói chậm rãi ăn mòn lan tràn đồng thời, âm thầm cười cười.

	"Chính mình thật chỉ là hi vọng đạt được trong môn sư ca ái mộ, xuất phát từ chân thành tình cảm, mà không phải bởi vì ghen tỵ và trả thù sao?"

	Đầu độc ma quỷ lẩm bẩm mật, rất nhanh liền đạt được thiếu nữ kiên định trả lời.

	"Đương nhiên! Mình mới không phải là những kia đùa bỡn tâm tư, cổ động thị phi nữ nhân. Cả ngày suy nghĩ lung tung cái gì? Mình đương nhiên là thật tâm thực lòng yêu thích Anh Tông sư ca, đời này không phải Anh Tông sư ca không gả, hì hì."

	. . .

	Vân Sơn Tông tam chỉ tiên hạc, lấp lóe chậm rãi rơi xuống đất.

	Canh Thần tiên tông cửa lớn nơi, hai vị chưởng môn đệ tử thân truyền nghênh tiếp.

	Hai người tuổi càng khoảng ba mươi tuổi, dựa theo Thiên Nam võ lâm luận kiếm ba năm một lần truyền thống, hai vị này chưởng môn đệ tử thân truyền muốn so Vạn Anh Tông lớn tuổi hai đời, so với Vạn Anh Tuyết lớn tuổi tam đại, phụ trách nghênh tiếp thịnh hội tân khách.

	Tiên hạc trên lưng hạ xuống, Vạn Anh Tông mang theo Vạn Anh Tuyết, Vạn Anh Diệp, hướng về đến đây nghênh tiếp vị này bạch y phiêu phiêu, khí độ bất phàm nam tử nam tử cầm kiếm ôm quyền chắp tay.

	"Thần Phong Chi Kiếm, Đỗ Thanh Phong đại hiệp, ngưỡng mộ đã lâu ngưỡng mộ đã lâu."

	Vạn Anh Tông đầy mặt mỉm cười,

	Làm lễ nghi, kính ngưỡng vẻ.

	"Đây là chúng ta Vân Sơn Tông Vạn Anh Tuyết, Vạn Anh Diệp hai vị sư muội, lần này do Vạn Anh Tuyết đại biểu Vân Sơn Tông, tham dự Thiên Nam luận kiếm."

	"Được được được!"

	Liên tiếp ba cái hảo, không biết thật tốt giả được, lại tràn đầy vẻ hưng phấn, tựa hồ có Vân Sơn Tông tham dự lần này luận kiếm, Canh Thần sơn bởi vậy nhà tranh rực rỡ tựa như.

	"Vân Sơn Tông, mấy năm gần đây mặc dù ở trên giang hồ vẫn chưa có quá nhiều thanh danh, nhưng các ngươi Khai Sơn Tổ Sư, lại là cùng chúng ta Canh Thần sơn có ngàn vạn tia quan hệ. Hơn nữa trưởng bối của các ngươi, Vạn Thủ Kiếm, Vạn Thủ Dịch hai người, đã từng tại hơn hai mươi năm trước Thiên Nam trong đại hội, lưu lại dày đặc văn chương, hoan nghênh, hoan nghênh ah."

	Nói xong, vị này bị người giang hồ xưng là thần Phong Chi Kiếm Đỗ Thanh gió, trong lúc cấp bách làm ra lễ nghi nghênh tiếp tư thái, dẫn dắt mọi người hướng về trong tông đi đến.

	Hai bên Canh Thần tiên sơn Bàng Môn đệ tử, đệ tử ngoại môn, vãng lai không ngừng, một cái thảm đỏ phố hướng về tông môn nơi sâu xa.

	Rất nhiều ánh mắt tụ tập, chính là ngày xưa vẻ mặt lạnh lẽo lãnh đạm Vạn Anh Tuyết, cũng không nhịn một chút căng thẳng, Đỗ Thanh gió tại phía trước nhiệt tình dẫn đường, cùng Vạn Anh Tông thân thiết trò chuyện.

	Một bên khác, Vạn Anh Diệp thì khắp nơi hiếu kỳ, không được nhìn trái phải.

	"Nhiều người như vậy, so với ông ngoại Ảnh Nguyệt sơn trang người đều không biết có thêm bao nhiêu lần."

	"Cao như vậy lầu các, cao hơn Vân Sơn Tông thật nhiều, vậy còn có tòa Canh Thần đại điện, so với Vân Sơn đại điện không biết khí thế bao nhiêu lần."

	"Bọn hắn vì sao dùng như thế nóng rực ánh mắt nhìn chính mình, chẳng lẽ chính mình nơi nào không tốt?"

	Vạn Anh Diệp từ còn chưa thấy quá nhiều người như vậy, náo nhiệt như vậy tình cảnh, trong đó không thiếu một ít kinh diễm ngưỡng mộ nam tử nhìn kỹ.

	Vạn Anh Diệp sơ qua ngượng ngùng, hai gò má phấn như hoa đào nở rộ, không kìm lòng được hướng về Vạn Anh Tông bên người nhích lại gần, gật đầu bộ dạng phục tùng e thẹn tư thái, ngây ngô động lòng người, nhất thời một ít vốn tại lãnh diễm Vạn Anh Tuyết trên người ánh mắt, dồn dập chuyển đến vị này vừa xuất hiện giang hồ yểu điệu động lòng người trên người thiếu nữ.

	Trong linh hồn, đầu độc ma quỷ thấy vậy, yên lặng cười gằn, tham - lam nhìn xem những linh hồn này.

	Đột nhiên, một vị Canh Thần sơn Bàng Môn đệ tử bước nhanh chạy đến Đỗ Thanh gió bên cạnh, đã cắt đứt hắn cùng Vạn Anh Tông ở giữa nói chuyện, đưa lỗ tai nói nhỏ vài câu.

	Đỗ Thanh gió quay đầu lại nhìn tới, thoáng do dự sau, liền lúng túng nói: "Chư vị Vân Sơn Tông thiếu hiệp, thực sự xin lỗi, bởi vì tham dự Thiên Nam luận Kiếm Tông môn thực sự quá nhiều, thứ cho thực sự không thể xa đưa, liền do ta đây vị mực uyên sư đệ đưa chư vị đến khách quán nghỉ ngơi đi."

	"Đại hiệp xin cứ tự nhiên!"

	Vạn Anh Tông chận lại nói.

	Mấy người trở về đầu nhìn lại, lại là hai con bích con ngươi Sư tông Cự Ưng chậm rãi hạ xuống, hai cánh mở ra chừng ba trượng, uy mãnh khí phách, thuộc về pha loãng hiếm thấy trân thú, nhất thời để rất nhiều Bàng Môn, đệ tử ngoại môn, dồn dập từ Vân Sơn Tông trên thân ba người dời đi tầm mắt.

	Hai đội đệ tử từ Cự Ưng trên lưng đi xuống, nam nam nữ nữ, đều là khí độ bất phàm, nhân kiệt tuấn kiệt.

	"Là Lăng Tiêu phái, đi thôi."

	Lăng Tiêu phái, Thiên Nam trong chốn võ lâm, giang hồ nhất lưu tông môn, mặc dù không kịp Canh Thần tiên tông địa vị, nhưng cũng là kể đến hàng đầu danh môn đại tông.

	Cũng khó trách vị này Đỗ Thanh Phong đại hiệp mới đưa ba người một nửa, liền không thể không chiết thân thất lễ, trở về nghênh tiếp.

	So với Lăng Tiêu phái, Vân Sơn Tông xác thực chỉ là cái tam lưu môn phái nhỏ mà thôi, song phương danh tiếng, uy vọng, sức ảnh hưởng, không ở một cái tầng thứ.

	Vạn Anh Diệp hừ một tiếng nói: "Cái gì đó, danh môn đại phái thì ngon ah."

	Tại vị này Bàng Môn đệ tử dẫn dắt đi, ba người đi qua một chỗ bích Ngọc Chuyên thạch quảng trường, bên người cho tới nay rỗi rảnh Ngôn thiếu ngữ Vạn Anh Tuyết, không khỏi một tiếng thở dài nói: "Chúng ta Vân Sơn Tông, chỉ có suy nghĩ tu tâm chi địa, mới tu mấy chỗ mét ngọc đài, Canh Thần tiên sơn, dĩ nhiên tu luyện như vậy bao la ngọc thạch quảng trường."

	Rất nhanh, một nhóm ba người liền tại mực uyên dẫn dắt đi, đi tới Thiên Nam luận kiếm anh kiệt thiếu hiệp nhóm tụ tập vị trí.

	Thiên Nam luận kiếm, ở vào Canh Thần Tiên tam mười hai toà Sơn Vân trên đài, trẻ tuổi một đời tuấn kiệt anh kiệt, như ở đây thu được thứ tự, rất nhanh liền sẽ danh chấn Thiên Nam, so với còn lại bất kỳ giang hồ nghe đồn chiếm được danh tiếng, càng thêm tin cậy.

	Hiển nhiên, tại Vân Sơn Tông trước đó, nơi này đã tới không Thiếu Tông môn.

	Vừa có như Vân Sơn Tông như vậy nhị tam lưu môn phái nhỏ, cũng có Lăng Tiêu phái như vậy đại tông, cùng với một ít có thích hợp tuổi, mà lại võ học trình độ khả quan con cháu thế gia.

	Kẹt kẹt.

	Mực uyên mở ra ba gian cửa phòng, trầm giọng cười nói: "Ba vị xin mời ở nơi này nghỉ ngơi đi. Bất quá, tham gia luận kiếm người, tuy nhiều làm tên môn chính phái cùng võ lâm thế gia, nhưng vẫn là không thiếu một ít bụng dạ khó lường người, không thể không có tâm phòng bị người, ba vị kính xin cẩn thận."

	"Đa tạ nhắc nhở."

	Vạn Anh Tông cảm ơn.
 
