 Ầm ầm, ầm ầm, ầm ầm. . .

	Thành phố xây dựng ở không ngừng sụp đổ.
	Theo Vạn Anh Mộc quát to một tiếng, vô phong trọng kiếm bạo phát, chuẩn xác không có sai sót đã rơi vào Alpha vua đỉnh đầu.

	Cuồn cuộn không đoạn chân khí, theo Vạn Anh Mộc trong tay vô phong trọng kiếm, rót vào Alpha vua đỉnh đầu, từng vòng sóng gợn khuếch tán, Vạn Anh Mộc có thể rõ ràng cảm nhận được mấy năm qua tiến bộ của mình.

	So với lúc trước chính mình, càng mạnh mẽ hơn.

	Quả nhiên.

	Theo Vạn Anh Mộc một kiếm, đang muốn truy kích dung nham long nữ Alpha vua, nhất thời sững sờ tại nguyên chỗ.

	Mà đem hết toàn lực một kiếm qua đi Vạn Anh Mộc, tương đối so với ở khổng lồ cồng kềnh Alpha vua, thì phảng phất một con linh xảo Phi Yến, đã rơi vào đã một lần nữa chỉnh đốn hoàn hảo dung nham long nữ chỗ đứng nhà lớn.

	"Phía sau thị dân vẫn không có sơ tán, không thể lui nữa rồi, nhất định phải đem nó ngăn cản tại đây con đường."

	Dung nham long nữ lời nói, không chỉ là nói với Vạn Anh Mộc, càng theo đội phụ cận tụ tập tới đại lượng cấp, cấp chính nghĩa liên minh các thành viên kể ra.

	Mọi người dồn dập gật đầu, xa xa các thị dân loạn tung tùng phèo, sơ tán xe cộ nước chảy không lọt, một ít ôm hài tử dẫn nhà của ông lão đình, bị gần đây an bài vào dưới đất chỗ che chở.

	"Rống."

	Alpha vua hai tay, thống khổ bưng đầu.

	Liền ở Vạn Anh Mộc cho là mình một đòn thấy hiệu quả thời điểm, Alpha vua lại quát ầm lên: "Là ai? Dám gõ ta đầu, là ai!"

	Từ nhanh bưng đầu thủ trong khe, Alpha vua tơ máu con ngươi, nhìn thấy Vạn Anh Mộc.

	"Chính là ngươi, gõ đầu của ta?"

	Đấu bồng dưới bóng râm, Vạn Anh Mộc khóe mắt co giật.

	Chính mình đem hết toàn lực một đòn, tại đối phương xem ra, dĩ nhiên là tại gõ đầu của nó, quả thực là vô cùng nhục nhã.

	Vạn Anh Mộc trong đầu không kìm lòng được hiện ra một bóng người.

	Nếu là hắn xuất thủ, hiện tại nó chỉ sợ đã bị đánh thành cặn bã chứ?

	Mấy năm qua từ trên người hắn, chính mình đã học được rất nhiều.

	Oanh!

	Rất nhiều chính nghĩa liên minh thành viên cao cấp né tránh ra, dưới chân nhà lớn bị Alpha vua lần nữa phá hủy, hội viên cấp thấp nhóm thì tại nơi xa an bài thị dân sơ tán, đại lượng cục đá vụn khó tránh khỏi sẽ thương đến đến vô tội, tử thương nặng nề.

	Nếu là không có ma quỷ quấy rầy, những này tràn ra linh hồn, sẽ ở kỳ dị thế giới quy tắc dưới, trong thời gian ngắn một lần nữa huyễn hóa thành mới thị dân.

	Giữa không trung.

	Vạn Anh Mộc đạp đạp đá vụn, làm ra ngắn ngủi phi hành hình dáng, dung nham long nữ dùng hết khả năng phản kích, cao giọng nói: "Chỉ cần kiên trì một giờ, tương lai thành cấp anh hùng Xích Mộc cự nhân cùng tia laser mắt liền có thể chạy tới!"

	Đang lúc nói chuyện, một tên cấp anh hùng "Oành" một tiếng, bị tàn khốc tiếng cười Alpha vua, một cái tát vỗ tới mặt đất, trên đường xi măng để lại một cái rạn nứt hố to sau, hóa thành tung toé huyết hoa, thi thể cũng không có lưu lại.

	"Chết đi!"

	Tại Alpha vua trong mắt, đã quen từ chính mình một thức tỉnh hiện thế, đã bị rất nhiều nhân loại cường giả liên thủ vây công cùng khiêu chiến tình cảnh.

	Chính mình lấy tư cách thiên nhiên nhược nhục cường thực đỉnh phong sinh vật, lại bị những này thợ thủ công nhóm đào thải?

	Thiên nhiên tại dùng máu dầm dề giáo huấn nói cho trí người, nếu như là lấy sinh vật gien di truyền làm mục đích sinh tồn, sống đến cuối cùng, không nhất định là vũ lực trên cường giả, nhưng nhất định là sinh sôi năng lực mạnh, sinh tồn năng lực mạnh bộ tộc, thợ thủ công nhóm bàng Đại Tộc Quần số đếm cùng ăn tạp sinh hoạt tập tính, để cho bọn họ từ ác liệt thiên nhiên trong hoàn cảnh càng tốt hơn sinh tồn sinh sôi xuống.

	Sau hai giờ.

	Dung nham long nữ đã không ra hình thù gì, bị Alpha vua một cái tát vỗ tới xa xôi đường phố, không rõ sống chết.

	Chính nghĩa kiếm khách Vạn Anh Mộc "Hồng hộc", "Hồng hộc" thở hổn hển, ngăm đen ánh sáng cái trán, mồ hôi lưu lại.

	Cho dù mở ra tà năng phong ấn dưới tình huống, lại giống như này có bao nhiêu lợi điều kiện, bị rất nhiều từ bên trợ giúp, nhưng đối mặt vị này Alpha vua, chính mình vẫn cứ vô pháp chính đối mặt kháng.

	"Dựa theo Hạ Vũ từng nói, Họa Bì thực lực chỉ biết so với Alpha vua càng mạnh hơn, thế nhưng chính mình đối mặt cái này Alpha vua đều là như thế vô lực, lại nên làm sao đối mặt Cự Lực lĩnh chủ?"

	Vạn Anh Mộc cắn chặt hàm răng, trong đầu không kìm lòng được hiện ra tiểu sư muội bộ dáng.

	"Sư muội. . ."

	Đúng lúc này.

	"XÍU...UU!" một tiếng, từ chỗ xa xa bầu trời, một người mang kính mắt khung, khoác áo choàng nam nhân, dưới chân giẫm lấy ván trượt bay, thình lình xuất hiện.

	Hai bó màu đỏ tím tia sáng laser tuyến, chính giữa Alpha vua trên lưng, "Xì xì xì" thiêu đốt thanh âm, áo choàng nam nhân cười to nói: "Ha ha ha, chánh nghĩa hóa thân, tia laser mắt lóe sáng lên sàn!"

	Ầm ầm ầm.

	Quái vật khổng lồ, phi hành môtơ "Ầm ầm" thanh âm, siêu cấp lớn trên phi cơ, một cái toàn thân đỏ ngầu cao mười mét cự nhân, nhảy xuống.

	Những thành thị khác chính nghĩa liên minh thành viên, tại tự do cảng đối mặt với vô pháp địch lại tai nạn thời điểm, rốt cuộc dồn dập đã tìm đến.
  Ầm ầm, ầm ầm, ầm ầm. . .

	Thành phố xây dựng ở không ngừng sụp đổ.

	Phần lớn thị dân, cũng đã đi vào tới đất dưới an toàn chỗ, một cái tiểu cô nương tại trên đường phố bất lực khóc, "XÍU...UU!" một tiếng, đấu bồng áo tơi, Vạn Anh Mộc nhất thiểm liền qua, đem tiểu cô nương ôm vào trong ngực, tránh được một khối hạ xuống đá lớn.

	Làm Vạn Anh Mộc xuất hiện lần nữa thời điểm, đã tại một chỗ dưới đất chỗ tránh nạn lối vào.

	"Ah! Là chính nghĩa kiếm khách!"

	Hoảng loạn lưu vong bên trong mọi người, nhìn thấy Vạn Anh Mộc, phảng phất nhìn thấy hi vọng, sợ hãi bất an trên khuôn mặt hiện ra kinh hỉ.

	Lấy tư cách tự do cảng thường trú cấp chính nghĩa liên minh thành viên, lại tăng thêm này thân đặc lập độc hành hoá trang, có thể nhận ra Vạn Anh Mộc người, tự nhiên không ít.

	"Chiếu cố tốt nàng."

	Vạn Anh Mộc nói xong, dỗ hống tiểu cô nương, liền rời đi nơi này.

	Mái nhà cao tầng.

	Dung nham long nữ bốn phía, từng đoàn từng đoàn dung nham hỏa cầu bay lượn, những này hỏa cầu mơ hồ hợp thành một tấm rít gào Long Đầu hình thái, ngăn ở Alpha vua trước người, trầm giọng nói: "Dựa theo sách lịch sử trên ghi chép, ngươi không phải là hẳn là bị phong ấn ư! ?"

	Hơn mười mét rít gào Long Đầu, tại bình thường dưới tình huống, dung nham long nữ đủ để đối một ít khổng lồ thể tích quái vật tạo thành trí mạng sát thương, nhưng đối mặt con này có tới hơn năm mươi tầng nhà lớn độ cao quái vật, vẫn còn quá nhỏ bé chút.

	Vạn vật cân bằng, nhưng mặc kệ cái này Alpha vua còn lại thiếu hụt là cái gì, vẻn vẹn như vậy thể tích, đã đủ để bỏ qua rất nhiều làm thương tổn.

	Một đôi ô tô y hệt khổng lồ con mắt, quan sát trước mặt cái này nhóc tỳ.

	"Rốt cuộc đến dáng dấp giống như con vật nhỏ rồi, hưm hưm hừ."

	Alpha vua răng nanh tinh tinh miệng lớn, um tùm cười, mang theo không nói ra được tàn khốc ý vị.

	"Ta là cái thành phố này nhân loại cấp Thủ Hộ Giả, ngươi phá hoại chấm dứt ở đây, ta đem đại biểu chính nghĩa, đối với ngươi tuyên án!"

	Dung nham long nữ trầm thấp lẩm bẩm mật, hai tay làm ra giao nhau tư thái, từng vòng sóng lửa sóng gợn khuếch tán, dĩ nhiên đem dưới chân kiến trúc cũng đã hòa tan, tạo thành trạng thái lỏng dung nham, lập tức những này dung nham không nhìn lực hút bình thường dung nhập vào của nàng Hỏa Long đầu lâu bên trong, lấy để cho thể tích không ngừng tăng lớn.

	"Cấp áo nghĩa, Hỏa Long rít gào!"

	Rống. . .

	Một đạo nóng rực dung nham dòng nước xiết lao ra,

	Alpha vua thô táo bàn tay đột nhiên chống đối ở trước mắt.

	Lửa nóng dung nham dòng nước xiết kéo dài đến một hồi lâu, theo "Xì xì xì" thiêu đốt thanh âm, dung nham long nữ đình chỉ thổ tức, dưới chân trên đại lầu bán đoạn đã bị dung thiêu đến không ra hình thù gì, hỗn loạn sóng nhiệt, không khí vặn vẹo.

	Alpha vua phát ra "Hưm hưm" tiếng cười.

	"Chỉ là như thế sao?"

	Alpha vua bị dung nham bao trùm thô ráp cánh tay, chậm rãi hạ xuống, có chút tổn thương, cũng không để ý, lộ ra một đôi khinh bạc khinh thường con mắt.

	"Không thể! Tuy rằng dựa theo ghi chép, vị này Alpha vua có không phải bình thường hoàn cảnh thích ứng lực, thông tục tới nói cũng chính là phòng ngự tính, nhưng này dù sao cũng là của mình cấp cuối cùng áo nghĩa, làm sao có khả năng liên thương cùng đều không có làm được!"

	Dung nham long nữ khiếp sợ.

	Bỗng nhiên, Alpha vua một cánh tay khác, lấy kinh người uy thế "Vù" một tiếng đánh tới.

	Cánh tay còn chưa đến, dung nham long nữ Hỏa Long đầu, liền trước một bước tại cao cường ép vặn vẹo phát xuống sinh biến hình.

	Rầm rầm ầm ầm!

	Sau một khắc.

	Dung nham long nữ vị trí nhà lớn, trong khoảnh khắc hóa thành đến một triệu vở vụn thật nhanh thạch, tứ tán bay tán loạn, chen lẫn ở trong đó dung nham long nữ, mặc dù không có chịu đến chính diện xung kích trí mạng thương tích, lại vẫn nhưng rên lên một tiếng, bị cuồn cuộn dung nham bảo vệ chân thể, khí tức khó định.

	XÍU...UU!. . .

	Đúng lúc này.

	Một đạo màu đen tàn ảnh, nhất thiểm liền qua, chính là bởi vì cứu người chậm một bước Vạn Anh Mộc.

	Đen nhánh vô phong trọng kiếm nhắm thẳng vào cái này không gì sánh kịp khổng lồ tinh vượn quái vật, đấu bồng dưới bóng râm, Vạn Anh Mộc hai con mắt một vệt kiên định, lộ ra anh dũng có đi không có về, "Vù" một tiếng, mũi kiếm nhắm thẳng vào vượn đỉnh đầu, rất nhiều yếu một kiếm xuyên suốt xu thế!

	"Uống....uố...ng!"

	Theo Vạn Anh Mộc quát to một tiếng, vô phong trọng kiếm bạo phát, chuẩn xác không có sai sót đã rơi vào Alpha vua đỉnh đầu.

	Cuồn cuộn không đoạn chân khí, theo Vạn Anh Mộc trong tay vô phong trọng kiếm, rót vào Alpha vua đỉnh đầu, từng vòng sóng gợn khuếch tán, Vạn Anh Mộc có thể rõ ràng cảm nhận được mấy năm qua tiến bộ của mình.

	So với lúc trước chính mình, càng mạnh mẽ hơn.

	Quả nhiên.

	Theo Vạn Anh Mộc một kiếm, đang muốn truy kích dung nham long nữ Alpha vua, nhất thời sững sờ tại nguyên chỗ.

	Mà đem hết toàn lực một kiếm qua đi Vạn Anh Mộc, tương đối so với ở khổng lồ cồng kềnh Alpha vua, thì phảng phất một con linh xảo Phi Yến, đã rơi vào đã một lần nữa chỉnh đốn hoàn hảo dung nham long nữ chỗ đứng nhà lớn.

	"Phía sau thị dân vẫn không có sơ tán, không thể lui nữa rồi, nhất định phải đem nó ngăn cản tại đây con đường."

	Dung nham long nữ lời nói, không chỉ là nói với Vạn Anh Mộc, càng theo đội phụ cận tụ tập tới đại lượng cấp, cấp chính nghĩa liên minh các thành viên kể ra.

	Mọi người dồn dập gật đầu, xa xa các thị dân loạn tung tùng phèo, sơ tán xe cộ nước chảy không lọt, một ít ôm hài tử dẫn nhà của ông lão đình, bị gần đây an bài vào dưới đất chỗ che chở.

	"Rống."

	Alpha vua hai tay, thống khổ bưng đầu.

	Liền ở Vạn Anh Mộc cho là mình một đòn thấy hiệu quả thời điểm, Alpha vua lại quát ầm lên: "Là ai? Dám gõ ta đầu, là ai!"

	Từ nhanh bưng đầu thủ trong khe, Alpha vua tơ máu con ngươi, nhìn thấy Vạn Anh Mộc.

	"Chính là ngươi, gõ đầu của ta?"

	Đấu bồng dưới bóng râm, Vạn Anh Mộc khóe mắt co giật.

	Chính mình đem hết toàn lực một đòn, tại đối phương xem ra, dĩ nhiên là tại gõ đầu của nó, quả thực là vô cùng nhục nhã.

	Vạn Anh Mộc trong đầu không kìm lòng được hiện ra một bóng người.

	Nếu là hắn xuất thủ, hiện tại nó chỉ sợ đã bị đánh thành cặn bã chứ?

	Mấy năm qua từ trên người hắn, chính mình đã học được rất nhiều.

	Oanh!

	Rất nhiều chính nghĩa liên minh thành viên cao cấp né tránh ra, dưới chân nhà lớn bị Alpha vua lần nữa phá hủy, hội viên cấp thấp nhóm thì tại nơi xa an bài thị dân sơ tán, đại lượng cục đá vụn khó tránh khỏi sẽ thương đến đến vô tội, tử thương nặng nề.

	Nếu là không có ma quỷ quấy rầy, những này tràn ra linh hồn, sẽ ở kỳ dị thế giới quy tắc dưới, trong thời gian ngắn một lần nữa huyễn hóa thành mới thị dân.

	Giữa không trung.

	Vạn Anh Mộc đạp đạp đá vụn, làm ra ngắn ngủi phi hành hình dáng, dung nham long nữ dùng hết khả năng phản kích, cao giọng nói: "Chỉ cần kiên trì một giờ, tương lai thành cấp anh hùng Xích Mộc cự nhân cùng tia laser mắt liền có thể chạy tới!"

	Đang lúc nói chuyện, một tên cấp anh hùng "Oành" một tiếng, bị tàn khốc tiếng cười Alpha vua, một cái tát vỗ tới mặt đất, trên đường xi măng để lại một cái rạn nứt hố to sau, hóa thành tung toé huyết hoa, thi thể cũng không có lưu lại.

	"Chết đi!"

	Tại Alpha vua trong mắt, đã quen từ chính mình một thức tỉnh hiện thế, đã bị rất nhiều nhân loại cường giả liên thủ vây công cùng khiêu chiến tình cảnh.

	Chính mình lấy tư cách thiên nhiên nhược nhục cường thực đỉnh phong sinh vật, lại bị những này thợ thủ công nhóm đào thải?

	Thiên nhiên tại dùng máu dầm dề giáo huấn nói cho trí người, nếu như là lấy sinh vật gien di truyền làm mục đích sinh tồn, sống đến cuối cùng, không nhất định là vũ lực trên cường giả, nhưng nhất định là sinh sôi năng lực mạnh, sinh tồn năng lực mạnh bộ tộc, thợ thủ công nhóm bàng Đại Tộc Quần số đếm cùng ăn tạp sinh hoạt tập tính, để cho bọn họ từ ác liệt thiên nhiên trong hoàn cảnh càng tốt hơn sinh tồn sinh sôi xuống.

	Sau hai giờ.

	Dung nham long nữ đã không ra hình thù gì, bị Alpha vua một cái tát vỗ tới xa xôi đường phố, không rõ sống chết.

	Chính nghĩa kiếm khách Vạn Anh Mộc "Hồng hộc", "Hồng hộc" thở hổn hển, ngăm đen ánh sáng cái trán, mồ hôi lưu lại.

	Cho dù mở ra tà năng phong ấn dưới tình huống, lại giống như này có bao nhiêu lợi điều kiện, bị rất nhiều từ bên trợ giúp, nhưng đối mặt vị này Alpha vua, chính mình vẫn cứ vô pháp chính đối mặt kháng.

	"Dựa theo Hạ Vũ từng nói, Họa Bì thực lực chỉ biết so với Alpha vua càng mạnh hơn, thế nhưng chính mình đối mặt cái này Alpha vua đều là như thế vô lực, lại nên làm sao đối mặt Cự Lực lĩnh chủ?"

	Vạn Anh Mộc cắn chặt hàm răng, trong đầu không kìm lòng được hiện ra tiểu sư muội bộ dáng.

	"Sư muội. . ."

	Đúng lúc này.

	"XÍU...UU!" một tiếng, từ chỗ xa xa bầu trời, một người mang kính mắt khung, khoác áo choàng nam nhân, dưới chân giẫm lấy ván trượt bay, thình lình xuất hiện.

	Hai bó màu đỏ tím tia sáng laser tuyến, chính giữa Alpha vua trên lưng, "Xì xì xì" thiêu đốt thanh âm, áo choàng nam nhân cười to nói: "Ha ha ha, chánh nghĩa hóa thân, tia laser mắt lóe sáng lên sàn!"

	Ầm ầm ầm.

	Quái vật khổng lồ, phi hành môtơ "Ầm ầm" thanh âm, siêu cấp lớn trên phi cơ, một cái toàn thân đỏ ngầu cao mười mét cự nhân, nhảy xuống.

	Những thành thị khác chính nghĩa liên minh thành viên, tại tự do cảng đối mặt với vô pháp địch lại tai nạn thời điểm, rốt cuộc dồn dập đã tìm đến.
  Ầm ầm, ầm ầm, ầm ầm. . .

	Thành phố xây dựng ở không ngừng sụp đổ.

	Phần lớn thị dân, cũng đã đi vào tới đất dưới an toàn chỗ, một cái tiểu cô nương tại trên đường phố bất lực khóc, "XÍU...UU!" một tiếng, đấu bồng áo tơi, Vạn Anh Mộc nhất thiểm liền qua, đem tiểu cô nương ôm vào trong ngực, tránh được một khối hạ xuống đá lớn.

	Làm Vạn Anh Mộc xuất hiện lần nữa thời điểm, đã tại một chỗ dưới đất chỗ tránh nạn lối vào.

	"Ah! Là chính nghĩa kiếm khách!"

	Hoảng loạn lưu vong bên trong mọi người, nhìn thấy Vạn Anh Mộc, phảng phất nhìn thấy hi vọng, sợ hãi bất an trên khuôn mặt hiện ra kinh hỉ.

	Lấy tư cách tự do cảng thường trú cấp chính nghĩa liên minh thành viên, lại tăng thêm này thân đặc lập độc hành hoá trang, có thể nhận ra Vạn Anh Mộc người, tự nhiên không ít.

	"Chiếu cố tốt nàng."

	Vạn Anh Mộc nói xong, dỗ hống tiểu cô nương, liền rời đi nơi này.

	Mái nhà cao tầng.

	Dung nham long nữ bốn phía, từng đoàn từng đoàn dung nham hỏa cầu bay lượn, những này hỏa cầu mơ hồ hợp thành một tấm rít gào Long Đầu hình thái, ngăn ở Alpha vua trước người, trầm giọng nói: "Dựa theo sách lịch sử trên ghi chép, ngươi không phải là hẳn là bị phong ấn ư! ?"

	Hơn mười mét rít gào Long Đầu, tại bình thường dưới tình huống, dung nham long nữ đủ để đối một ít khổng lồ thể tích quái vật tạo thành trí mạng sát thương, nhưng đối mặt con này có tới hơn năm mươi tầng nhà lớn độ cao quái vật, vẫn còn quá nhỏ bé chút.

	Vạn vật cân bằng, nhưng mặc kệ cái này Alpha vua còn lại thiếu hụt là cái gì, vẻn vẹn như vậy thể tích, đã đủ để bỏ qua rất nhiều làm thương tổn.

	Một đôi ô tô y hệt khổng lồ con mắt, quan sát trước mặt cái này nhóc tỳ.

	"Rốt cuộc đến dáng dấp giống như con vật nhỏ rồi, hưm hưm hừ."

	Alpha vua răng nanh tinh tinh miệng lớn, um tùm cười, mang theo không nói ra được tàn khốc ý vị.

	"Ta là cái thành phố này nhân loại cấp Thủ Hộ Giả, ngươi phá hoại chấm dứt ở đây, ta đem đại biểu chính nghĩa, đối với ngươi tuyên án!"

	Dung nham long nữ trầm thấp lẩm bẩm mật, hai tay làm ra giao nhau tư thái, từng vòng sóng lửa sóng gợn khuếch tán, dĩ nhiên đem dưới chân kiến trúc cũng đã hòa tan, tạo thành trạng thái lỏng dung nham, lập tức những này dung nham không nhìn lực hút bình thường dung nhập vào của nàng Hỏa Long đầu lâu bên trong, lấy để cho thể tích không ngừng tăng lớn.

	"Cấp áo nghĩa, Hỏa Long rít gào!"

	Rống. . .

	Một đạo nóng rực dung nham dòng nước xiết lao ra,

	Alpha vua thô táo bàn tay đột nhiên chống đối ở trước mắt.

	Lửa nóng dung nham dòng nước xiết kéo dài đến một hồi lâu, theo "Xì xì xì" thiêu đốt thanh âm, dung nham long nữ đình chỉ thổ tức, dưới chân trên đại lầu bán đoạn đã bị dung thiêu đến không ra hình thù gì, hỗn loạn sóng nhiệt, không khí vặn vẹo.

	Alpha vua phát ra "Hưm hưm" tiếng cười.

	"Chỉ là như thế sao?"

	Alpha vua bị dung nham bao trùm thô ráp cánh tay, chậm rãi hạ xuống, có chút tổn thương, cũng không để ý, lộ ra một đôi khinh bạc khinh thường con mắt.

	"Không thể! Tuy rằng dựa theo ghi chép, vị này Alpha vua có không phải bình thường hoàn cảnh thích ứng lực, thông tục tới nói cũng chính là phòng ngự tính, nhưng này dù sao cũng là của mình cấp cuối cùng áo nghĩa, làm sao có khả năng liên thương cùng đều không có làm được!"

	Dung nham long nữ khiếp sợ.

	Bỗng nhiên, Alpha vua một cánh tay khác, lấy kinh người uy thế "Vù" một tiếng đánh tới.

	Cánh tay còn chưa đến, dung nham long nữ Hỏa Long đầu, liền trước một bước tại cao cường ép vặn vẹo phát xuống sinh biến hình.

	Rầm rầm ầm ầm!

	Sau một khắc.

	Dung nham long nữ vị trí nhà lớn, trong khoảnh khắc hóa thành đến một triệu vở vụn thật nhanh thạch, tứ tán bay tán loạn, chen lẫn ở trong đó dung nham long nữ, mặc dù không có chịu đến chính diện xung kích trí mạng thương tích, lại vẫn nhưng rên lên một tiếng, bị cuồn cuộn dung nham bảo vệ chân thể, khí tức khó định.

	XÍU...UU!. . .

	Đúng lúc này.

	Một đạo màu đen tàn ảnh, nhất thiểm liền qua, chính là bởi vì cứu người chậm một bước Vạn Anh Mộc.

	Đen nhánh vô phong trọng kiếm nhắm thẳng vào cái này không gì sánh kịp khổng lồ tinh vượn quái vật, đấu bồng dưới bóng râm, Vạn Anh Mộc hai con mắt một vệt kiên định, lộ ra anh dũng có đi không có về, "Vù" một tiếng, mũi kiếm nhắm thẳng vào vượn đỉnh đầu, rất nhiều yếu một kiếm xuyên suốt xu thế!

	"Uống....uố...ng!"

	Theo Vạn Anh Mộc quát to một tiếng, vô phong trọng kiếm bạo phát, chuẩn xác không có sai sót đã rơi vào Alpha vua đỉnh đầu.

	Cuồn cuộn không đoạn chân khí, theo Vạn Anh Mộc trong tay vô phong trọng kiếm, rót vào Alpha vua đỉnh đầu, từng vòng sóng gợn khuếch tán, Vạn Anh Mộc có thể rõ ràng cảm nhận được mấy năm qua tiến bộ của mình.

	So với lúc trước chính mình, càng mạnh mẽ hơn.

	Quả nhiên.

	Theo Vạn Anh Mộc một kiếm, đang muốn truy kích dung nham long nữ Alpha vua, nhất thời sững sờ tại nguyên chỗ.

