Chương 143: Trúng mùa lớn! 
 Converter Dzung Kiều cầu phiếu 

	Cụ già mặt bị đánh bóch bóch vang dội, thừ ra như vậy một giây, sau đó chính là thốt nhiên giận dữ!
	Sợi tơ ngay tức thì banh trực, từ trên tường phá vỡ cửa hang một lần nữa xuất hiện, ở cửa hang vị trí, một cái màu vàng phi kiếm khảm nạm ở sợi tơ ở trên, tùy ý cụ già làm sao bóp thủ quyết, cũng không nhúc nhích tí nào!

	Ở cụ già bóp thủ quyết thời gian, hộp gấm đã tiến vào một cái trong hang động ánh sáng màu đen!

	"Phốc!"

	"Tiền bối bớt giận! Vãn bối không biết là tiền bối đại giá đến chơi, mời tiền bối thứ tội!"

	Lầu hai cùng lầu ba thế lực lớn chi không một người không phải sắc mặt đại biến, liên tưởng ông già cử động, làm sao không biết là có chân chính thông Thiên đại nhân vật xuất hiện!

	Từng cái sủy sủy bất an, loại này cấp số nhân vật lớn một ngón tay là có thể đem tất cả mọi người tại chỗ xóa bỏ!

	Ông già ở màu vàng phi kiếm tiến vào màu đen quang động ngay tức thì, ngửa mặt lên trời phun ra búng máu tươi lớn, mình tại trên phi kiếm đóng dấu bị xóa đi!

	Sau đó nhìn màu đen quang động, ông già trong lòng khiếp sợ tột đỉnh, ông già cố nén tâm thần bị tổn thương vết thương, lập tức bái nằm ở, cung kính mở miệng nói.

	"Trời ạ! Cái này địa phương rách kim đan tu sĩ cũng không có một cái, làm sao đụng tới một cái chân chính đại tu sĩ!" Cụ già trong lòng âm thầm kêu khổ, liên quan đến không gian tu sĩ không một không phải chân chánh sửa chữa! Tối thiểu đều là Nguyên anh kỳ! Làm sao biết vừa ý Thiên Bảo các ở giữa đấu giá vật?

	Màu đen quang động trong không có bất kỳ tiếng vang truyền tới, mấy giây sau quang động đóng kín, cụ già mới từ dưới đất đứng lên, trong lòng tràn đầy vui mừng, mặc dù bổn mạng phi kiếm cũng chiết, nhưng là tối thiểu mạng giữ được!

	"Cung tiễn tiền bối!"

	Cụ già cũng không để ý đối phương có nghe hay không đạt được, khom người cung kính nói.

	"Lần này hội đấu giá lúc này kết thúc!" Cụ già ngắm nhìn bốn phía, mỗi một người đều là bị cái này biến cố hoảng sợ trợn mắt hốc mồm, cái này buổi đấu giá cũng không cần phải cử hành đi xuống, có Nguyên anh kỳ đại tu sĩ xuất hiện ở long đồ hoàng triều sự việc phải lập tức báo lên cho trụ sở chính.

	Bắc Phong cũng không biết mình bị lầm sẽ trở thành cái gì Nguyên anh kỳ đại tu sĩ, thật sự là ngôn ngữ không thông, dị thế giới ngôn ngữ đối với Bắc Phong mà nói giống như cùng cho tới bây giờ chưa có tiếp xúc qua tiếng Anh người nói tiếng Anh vậy, chít chít bên trong ực một đống lớn, lông cũng nghe không hiểu.

	Lúc này Bắc Phong nhìn giếng cổ bên trong từ từ nổi lên 2 kiện vật phẩm, thần sắc phấn chấn, lại đến thu hoạch cuộc sống.

	"Đinh! Thả câu đến vật phẩm cấp 4, phi kiếm! (đào được canh kim chế tạo mà thành, có vô địch đặc tính, do tinh thần, pháp lực khởi động, tới vô ảnh đi vô tung, tinh thần, pháp lực bao phủ trong phạm vi có thể vừa đọc lấy thủ cấp người! Nội bộ ẩn chứa mười tám trọng trận pháp, thai nghén một tia linh tính! Có thể nhỏ máu nhận chủ, thu vào bên trong cơ thể! ) thả câu kinh nghiệm gia tăng chín ngàn sáu! Đã đầy đủ thăng cấp điều kiện! Phải chăng thăng cấp?"

	"Đinh! Thả câu đến vật phẩm cấp 4, nhẫn không gian! (một hoa một thế giới, tu di nạp giới tử! Do trống rỗng tinh thạch chế tạo mà thành thần kỳ trang bị, bên trong giấu không gian ba mươi m3! Có thể nhỏ máu nhận chủ, không thể gửi vật còn sống! ) thả câu kinh nghiệm gia tăng mười ngàn! Đã đầy đủ thăng cấp điều kiện! Phải chăng thăng cấp?"

	Bắc Phong mặt đầy khiếp sợ, nhẫn không gian! Mình đi đại vận à! Bất đồng Bắc Phong vui mừng, hệ thống thanh âm vang lên lần nữa!

	"Đinh! Cần câu ngọc trắng bị tổn thương, phải chăng tu bổ?"

	Bắc Phong sững sốt một chút, cần câu ngọc trắng nhìn như hoàn hảo không tổn hao gì, không tổn thương chút nào, một hệ thống chắc chắn sẽ không vô duyên vô cớ phát ra nhắc nhở, nếu gợi ý, nói như vậy cần câu ngọc trắng thật bị hao tổn.

	"Chẳng lẽ là thanh phi kiếm này duyên cớ?"

	Cẩn thận quan sát chốc lát, cần câu ngọc trắng ở trên không có bất kỳ bị tổn thương dấu hiệu, Bắc Phong đưa ánh mắt nhìn về phía màu vàng phi kiếm chỗ.

	Mới vừa vừa thấy gặp, Bắc Phong chính là thần sắc đông lại một cái, thanh kiếm nầy quả thật không có chặt đứt dây câu, nhưng là nhưng đem dây câu chém tiến vào một nửa! Cả thanh kiếm khảm nạm ở dây câu trong, bị thần bí vĩ lực nơi giam cầm!

	"Thanh kiếm nầy nếu là sắc bén đi nữa một ít, hoặc là điều khiển thanh phi kiếm này người mạnh hơn nữa một ít, cá giây sẽ bị chém đứt!"

	Bắc Phong kinh hãi không thôi, nguyên lai dây câu cũng là sẽ phán đoán!

	Tìm được nguyên nhân sau đó, Bắc Phong dùng ngón tay nhẹ nhàng tại trên phi kiếm lau một cái, máu tươi ngay tức thì chảy ra, nhỏ xuống tại trên phi kiếm, nhanh chóng bị nó hấp thu.

	Bắc Phong giơ ngón tay lên, nhìn đầu ngón tay vết thương âm thầm chắt lưỡi, vết thương chỗ có một cổ lực lượng thần bí đang ngăn trở Bắc Phong vết thương khép lại, từng cổ một kim châm giống vậy đau nhói truyền tới.

	Bắc Phong cảm giác mình cùng chuôi phi kiếm màu vàng này bây giờ xuất hiện một màn nhàn nhạt liên lạc, nhẹ nhàng gỡ xuống phi kiếm, ý niệm động một cái, phi kiếm liền biến mất không gặp, bị Bắc Phong thu vào bên trong cơ thể ân cần săn sóc.

	"Tu bổ cần câu ngọc trắng!"

	Bắc Phong ở trong đầu yên lặng nghĩ đến.

	"Lần này tu bổ cần tiêu phí ba chục ngàn thả câu kinh nghiệm, phải chăng tu bổ?"

	"Trời ạ. . . Tại sao phải nhiều như vậy?"Chương 143: Trúng mùa lớn! 
 Converter Dzung Kiều cầu phiếu 

	Cụ già mặt bị đánh bóch bóch vang dội, thừ ra như vậy một giây, sau đó chính là thốt nhiên giận dữ!

	"Là ai!"

	Một tiếng có thể nói là phật môn sư tử hống rầy vang lên, cụ già quay đầu nhìn về phía trên đài đấu giá.

	Một cái hộp gấm đang nhanh chóng lên cao trước, một cây nhỏ yếu sợi tóc sợi tơ từ phòng đấu giá nóc rủ xuống.

	Mở ra trên đài để mười hộp gấm, nhưng bây giờ trong đó vị trí thứ ba đưa hộp gấm đang bị cái này sợi tơ treo nhanh chóng bay lên không.

	Cụ già dám đem mười kiện áp trục bảo vật đặt ở trên đài là đối với thực lực mình tự tin, chính là long đồ hoàng triều, người mạnh nhất cũng bất quá là trúc cơ đỉnh cấp thôi, có thể nói ở mình mí mắt hạ, những thứ này vật đấu giá chính là an toàn nhất!

	"Chém!" Cụ già giận dữ, tay bóp pháp quyết, một đạo màu vàng kim chỉ lớn chừng bàn tay phi kiếm từ lão bên trong cơ thể bay ra, hướng sợi tơ chém tới!

	Cụ già tràn đầy tự tin, cái này một chuôi phi kiếm nhưng mà dùng canh kim chế tạo mà thành, đi qua mình đến gần trăm năm pháp lực ân cần săn sóc, chính là một tòa thành tường cũng có thể bị chém ra! Huống chi là một cây sợi tơ?

	Ở trong hội trường mọi người nhìn chăm chú dưới, màu vàng phi kiếm ngay tức thì đột phá ba lần tốc độ âm thanh!

	Một cái chớp mắt thời gian cũng không có đến, phi kiếm liền xuất hiện ở tơ nhỏ trước mặt!

	"Đinh!"

	Sợi tơ bị chuôi này phi kiếm chém trúng, nhưng không ngờ không có bị chém đứt!

	Canh kim phi kiếm truyền tới một cổ khổng lồ lực lượng, mang sợi tơ đụng vào nhà đấu giá trên vách tường!

	Tựa như cùng trên đất bùn dùng đao chém một đoạn dây thép vậy, dây thép sẽ bị đao lực đạo chém vào trong đất bùn, nhiều nhất sẽ cong, mà sẽ không đoạn.

	"Ừ ? Chuyện gì xảy ra?"

	Cụ già sắc mặt đại biến, chuôi này tâm huyết của mình tế luyện mà thành phi kiếm lại có thể cùng mình mất đi liên lạc!

	"Đây là tu chân thế giới! Chuôi phi kiếm màu vàng này tốc độ thật nhanh! Lực lượng thật là lớn!" Bắc Phong ngồi ở bên trên giếng cổ, thông qua lưỡi câu đặc thù tầm mắt thấy được cái này đem lớn chừng bàn tay phi kiếm sau sắc mặt đại biến!

	"Không được! Phải nhanh chóng đem lưỡi câu dây câu thu hồi lại!" Bắc Phong lộp bộp tự nói, sau đó nhanh chóng chuyển động tuyến bàn.

	Bây giờ chẳng qua là một chuôi phi kiếm mà thôi, dây câu còn không có đoạn, nếu là gặp phải một vị Tu Chân giới đại năng, vậy thì thảm!

	Trong phòng đấu giá, tất cả gia tộc lớn lão thần nơi nơi ngồi tại chỗ, đây là phòng đấu giá sự việc, mình các người chỉ cần xem cuộc vui là được.

	"Phi kiếm thật là mạnh! Thanh kiếm nầy tuyệt đối là một kiện linh khí!" Cảm giác được phi kiếm ở trên truyền tới kinh người mũi nhọn, một người khiếp sợ nói.

	"Đúng vậy, cũng không biết là người nào, lại có thể lá gan lớn như vậy, dám ở Thiên Bảo các trong táy máy tay chân!"

	Trong hội trường mọi người xa xa rời đi cụ già bên cạnh, để tránh bị vạ lây người vô tội, nhìn thanh phi kiếm này, mọi người bàn luận sôi nổi.

	Một người đột nhiên mở miệng nói, "Kỳ quái, hộp gấm kia còn treo trên không trung, chẳng lẽ phi kiếm này không có thể chặt đứt cái này sợi tơ?"

	Nói chuyện người nọ trong giọng nói tràn đầy chần chờ, tựa như mình cũng không dám tin tưởng cái suy đoán này!

	Đây chính là hạ phẩm linh khí à! Cho dù là cấp thấp nhất linh khí cũng không phải pháp khí có thể so sánh!

	Sợi tơ ngay tức thì banh trực, từ trên tường phá vỡ cửa hang một lần nữa xuất hiện, ở cửa hang vị trí, một cái màu vàng phi kiếm khảm nạm ở sợi tơ ở trên, tùy ý cụ già làm sao bóp thủ quyết, cũng không nhúc nhích tí nào!

	Ở cụ già bóp thủ quyết thời gian, hộp gấm đã tiến vào một cái trong hang động ánh sáng màu đen!

	"Phốc!"

	"Tiền bối bớt giận! Vãn bối không biết là tiền bối đại giá đến chơi, mời tiền bối thứ tội!"

	Lầu hai cùng lầu ba thế lực lớn chi không một người không phải sắc mặt đại biến, liên tưởng ông già cử động, làm sao không biết là có chân chính thông Thiên đại nhân vật xuất hiện!

	Từng cái sủy sủy bất an, loại này cấp số nhân vật lớn một ngón tay là có thể đem tất cả mọi người tại chỗ xóa bỏ!

	Ông già ở màu vàng phi kiếm tiến vào màu đen quang động ngay tức thì, ngửa mặt lên trời phun ra búng máu tươi lớn, mình tại trên phi kiếm đóng dấu bị xóa đi!

	Sau đó nhìn màu đen quang động, ông già trong lòng khiếp sợ tột đỉnh, ông già cố nén tâm thần bị tổn thương vết thương, lập tức bái nằm ở, cung kính mở miệng nói.

	"Trời ạ! Cái này địa phương rách kim đan tu sĩ cũng không có một cái, làm sao đụng tới một cái chân chính đại tu sĩ!" Cụ già trong lòng âm thầm kêu khổ, liên quan đến không gian tu sĩ không một không phải chân chánh sửa chữa! Tối thiểu đều là Nguyên anh kỳ! Làm sao biết vừa ý Thiên Bảo các ở giữa đấu giá vật?

	Màu đen quang động trong không có bất kỳ tiếng vang truyền tới, mấy giây sau quang động đóng kín, cụ già mới từ dưới đất đứng lên, trong lòng tràn đầy vui mừng, mặc dù bổn mạng phi kiếm cũng chiết, nhưng là tối thiểu mạng giữ được!

	"Cung tiễn tiền bối!"

	Cụ già cũng không để ý đối phương có nghe hay không đạt được, khom người cung kính nói.

	"Lần này hội đấu giá lúc này kết thúc!" Cụ già ngắm nhìn bốn phía, mỗi một người đều là bị cái này biến cố hoảng sợ trợn mắt hốc mồm, cái này buổi đấu giá cũng không cần phải cử hành đi xuống, có Nguyên anh kỳ đại tu sĩ xuất hiện ở long đồ hoàng triều sự việc phải lập tức báo lên cho trụ sở chính.

	Bắc Phong cũng không biết mình bị lầm sẽ trở thành cái gì Nguyên anh kỳ đại tu sĩ, thật sự là ngôn ngữ không thông, dị thế giới ngôn ngữ đối với Bắc Phong mà nói giống như cùng cho tới bây giờ chưa có tiếp xúc qua tiếng Anh người nói tiếng Anh vậy, chít chít bên trong ực một đống lớn, lông cũng nghe không hiểu.

	Lúc này Bắc Phong nhìn giếng cổ bên trong từ từ nổi lên 2 kiện vật phẩm, thần sắc phấn chấn, lại đến thu hoạch cuộc sống.

	"Đinh! Thả câu đến vật phẩm cấp 4, phi kiếm! (đào được canh kim chế tạo mà thành, có vô địch đặc tính, do tinh thần, pháp lực khởi động, tới vô ảnh đi vô tung, tinh thần, pháp lực bao phủ trong phạm vi có thể vừa đọc lấy thủ cấp người! Nội bộ ẩn chứa mười tám trọng trận pháp, thai nghén một tia linh tính! Có thể nhỏ máu nhận chủ, thu vào bên trong cơ thể! ) thả câu kinh nghiệm gia tăng chín ngàn sáu! Đã đầy đủ thăng cấp điều kiện! Phải chăng thăng cấp?"

	"Đinh! Thả câu đến vật phẩm cấp 4, nhẫn không gian! (một hoa một thế giới, tu di nạp giới tử! Do trống rỗng tinh thạch chế tạo mà thành thần kỳ trang bị, bên trong giấu không gian ba mươi m3! Có thể nhỏ máu nhận chủ, không thể gửi vật còn sống! ) thả câu kinh nghiệm gia tăng mười ngàn! Đã đầy đủ thăng cấp điều kiện! Phải chăng thăng cấp?"

	Bắc Phong mặt đầy khiếp sợ, nhẫn không gian! Mình đi đại vận à! Bất đồng Bắc Phong vui mừng, hệ thống thanh âm vang lên lần nữa!

	"Đinh! Cần câu ngọc trắng bị tổn thương, phải chăng tu bổ?"

	Bắc Phong sững sốt một chút, cần câu ngọc trắng nhìn như hoàn hảo không tổn hao gì, không tổn thương chút nào, một hệ thống chắc chắn sẽ không vô duyên vô cớ phát ra nhắc nhở, nếu gợi ý, nói như vậy cần câu ngọc trắng thật bị hao tổn.

	"Chẳng lẽ là thanh phi kiếm này duyên cớ?"

	Cẩn thận quan sát chốc lát, cần câu ngọc trắng ở trên không có bất kỳ bị tổn thương dấu hiệu, Bắc Phong đưa ánh mắt nhìn về phía màu vàng phi kiếm chỗ.

	Mới vừa vừa thấy gặp, Bắc Phong chính là thần sắc đông lại một cái, thanh kiếm nầy quả thật không có chặt đứt dây câu, nhưng là nhưng đem dây câu chém tiến vào một nửa! Cả thanh kiếm khảm nạm ở dây câu trong, bị thần bí vĩ lực nơi giam cầm!

	"Thanh kiếm nầy nếu là sắc bén đi nữa một ít, hoặc là điều khiển thanh phi kiếm này người mạnh hơn nữa một ít, cá giây sẽ bị chém đứt!"

	Bắc Phong kinh hãi không thôi, nguyên lai dây câu cũng là sẽ phán đoán!

	Tìm được nguyên nhân sau đó, Bắc Phong dùng ngón tay nhẹ nhàng tại trên phi kiếm lau một cái, máu tươi ngay tức thì chảy ra, nhỏ xuống tại trên phi kiếm, nhanh chóng bị nó hấp thu.

	Bắc Phong giơ ngón tay lên, nhìn đầu ngón tay vết thương âm thầm chắt lưỡi, vết thương chỗ có một cổ lực lượng thần bí đang ngăn trở Bắc Phong vết thương khép lại, từng cổ một kim châm giống vậy đau nhói truyền tới.

	Bắc Phong cảm giác mình cùng chuôi phi kiếm màu vàng này bây giờ xuất hiện một màn nhàn nhạt liên lạc, nhẹ nhàng gỡ xuống phi kiếm, ý niệm động một cái, phi kiếm liền biến mất không gặp, bị Bắc Phong thu vào bên trong cơ thể ân cần săn sóc.

	"Tu bổ cần câu ngọc trắng!"

	Bắc Phong ở trong đầu yên lặng nghĩ đến.

	"Lần này tu bổ cần tiêu phí ba chục ngàn thả câu kinh nghiệm, phải chăng tu bổ?"

	"Trời ạ. . . Tại sao phải nhiều như vậy?"
