Chương 534: Thiên Biến chức năng đào! 
 Converter Dzung Kiều cầu khen thưởng 

	Bắc Phong cả người trong đầu tựa như vạch qua một tia chớp, đánh nát che lấp!
	Bắc Phong nhìn thỏ lưu manh Cổ Kỳ cử động nhất thời không nhịn được cười ra tiếng, nhưng là thỏ lưu manh ở bên dòng suối nhỏ dùng mình lông xù cái đuôi đưa đến bên giòng suối, dẫn dụ trong suối cá tôm.

	Khoan hãy nói, cái này trong suối cá tôm không biết là không phải lâu dài tới nay không có gì khắc tinh, là lấy ngu, nhìn ở trong suối đung đưa thỏ lưu manh cái đuôi liền một cái cắn tới.

	Rồi sau đó thỏ lưu manh liền trực tiếp đem những thứ này ngu cá ngu tôm cho câu, rồi sau đó đứng ở bên cạnh, nhìn cá tôm ở nơi đó nhày gấp.

	Khoan hãy nói, có thể là thiên địa linh khí hơn nữa đậm đà nguyên nhân, những cá này tôm từng cái dáng dấp thể lớn phiêu phì, một đầu chừng trái banh lớn nhỏ con cua giơ lên kềm lớn hướng về phía thỏ lưu manh diệu võ dương oai, kết quả bị thỏ lưu manh một cước giẫm nát bấy.

	"Xem ra ngươi thật rỗi rãnh gắng gượng nhàm chán, ta cho ngươi tìm chút chuyện làm đi." Bắc Phong có chút bất đắc dĩ nói, thân vì đường đường ngàn năm vương cảnh giới yêu thú dùng mình cái đuôi đang câu cá tôm, nói ra có thể để cho người cười ngạo.

	"Nói lẩm bẩm!"

	Thỏ lưu manh đảo cặp mắt trắng dã, biết Bắc Phong là vô sự không lên điện tam bảo, 2-3 chân đem còn dư lại cá tôm đạp vào trong suối, nhày gấp đến Bắc Phong trước người, vẻ kiêu ngạo chỉ cao khí ngang giơ lên đầu, như là ở mắt nhìn xuống Bắc Phong vậy.

	" Ầm!"

	"Không lớn không nhỏ."

	Bắc Phong khóe miệng tung lên lau một cái độ cong, trực tiếp đưa tay cho thỏ lưu manh một cái bạo lật.

	"Ột ột ột!"

	Thỏ lưu manh nhe răng toét miệng, rồi sau đó một cước liền đem Bắc Phong cho đạp đi ra ngoài.

	" Ầm!" Bụi mù nổi lên bốn phía, Bắc Phong vẻ kiêu ngạo chật vật từ trong vách đá đi ra, màu trắng trên y phục xuất hiện một cái dấu chân thật to.

	"Ột ột ột!"

	Thỏ lưu manh không có tim không có phổi nhe răng, như là đang cười.

	Bắc Phong có chút không biết làm sao, mặc dù thỏ lưu manh chỉ số thông minh không thể so với loài người kém, nhưng là cái này tâm tính nhưng giỏi thay đổi, có lúc già dặn, có lúc tựa như trẻ nhỏ.

	Vỗ một cái bụi đất trên người, nhìn trên vách đá bị mình đập người đi ra ngoài hình con dấu, Bắc Phong khóe miệng co quắp, "Tốt lắm, không nói giỡn, ta là có chánh sự."

	Bắc Phong nghiêm nghị đứng lên, hướng về phía thỏ lưu manh Cổ Kỳ nói.

	"Nói lẩm bẩm!" Nhìn Bắc Phong bộ dáng này, thỏ lưu manh cũng thu lại vậy một bộ không có tim không có phổi hình dáng, một đóa dịch thấu trong suốt giống như màu đỏ thủy tinh giống vậy lỗ tai dài thật cao giơ lên.

	Mấy ngày này thiên hạc tinh thuật dần dần bắt đầu có hiệu lực, biến đổi ngầm ảnh hưởng thỏ lưu manh tâm trí, để cho thỏ lưu manh đối với Bắc Phong càng ngày càng thân thiết gần.

	Là lấy mới vừa rồi Bắc Phong cũng không giận bị thỏ lưu manh Cổ Kỳ đạp một cước kia, cũng coi là loại khác đào tạo tình cảm phương thức đi.

	Bắc Phong nhìn thỏ lưu manh Cổ Kỳ vẻ mặt thành thật hình dáng, trong lòng gật đầu một cái, rồi sau đó chậm rãi mở miệng nói, "Ta cần một đầu ngàn năm vương cảnh yêu thú, cần phải sống."

	"Ột ột ột!"

	Thỏ lưu manh Cổ Kỳ gật đầu một cái, coi như là đáp ứng.

	"Chú ý an toàn, chuyện không thể vì cũng được đi."

	Bắc Phong sợ thỏ lưu manh Cổ Kỳ làm bậy, là lấy dặn dò đến.

	"Nói lẩm bẩm!" Thỏ lưu manh Cổ Kỳ hống khiếu một tiếng, tung tăng rời đi, mỗi một lần nảy lên chính là đếm hơn trăm ngàn mét xa, mấy cái lên xuống liền biến mất ở Bắc Phong trong tầm mắt.

	Bắc Phong ngồi xếp bằng, dùng ý niệm không ngừng khống chế Thiên Biến huyễn hóa ra tới nhiều loại binh khí.

	Bất kỳ đồ đều là quen thuộc có thể sinh đúng dịp, khống chế Thiên Biến cũng giống như vậy, từ vừa mới bắt đầu phải dùng 5 phút mới có thể làm cho Thiên Biến ngưng tụ ra một nửa kiếm thể, đến bây giờ Bắc Phong chỉ cần mấy giây thời gian là có thể ngưng tụ ra một thanh trường kiếm!

	Chẳng qua là ngưng tụ trường kiếm tốc độ đổi nhanh, còn lại vũ khí ngưng tụ hiển nhiên còn cần Bắc Phong từng bước một thuần thục.

	Nửa giờ sau đó, Bắc Phong ngừng lại, một hồi Lữ Bố liền phải dẫn yêu thú trở về, đừng bây giờ liền đem tinh thần lực dùng xong hết rồi.

	Khống chế Thiên Biến tạo thành nhiều loại vũ khí đối với tinh thần lực hao tổn vẫn đủ nghiêm trọng, Bắc Phong không muốn chờ hạ bởi vì vì tinh thần lực chưa đủ ra hiện biến cố.

	Lăn lộn thân khí huyết như sông lớn dâng trào, khí huyết mạnh mẽ cũng biết đối với tinh thần cùng linh hồn đưa đến hỗ trợ lẫn nhau cỡ đó, là lấy không một lát nữa thời gian, lại thêm chi nuốt một ít khôi phục tinh thần lực linh dược, Bắc Phong tiêu hao hết tinh thần lực cũng khôi phục xong hết rồi.

	"Gia chủ, ngài muốn yêu thú đã mang về, tổng cộng sáu mươi bốn đầu."

	Lữ Bố đứng ở một bên, cả người chiến ý giống như sóng biển, trầm trầm phù phù, giống như là trải qua một cuộc ác chiến.

	"Ngươi khổ cực."

	Bắc Phong gật đầu một cái, rồi sau đó để cho Lữ Bố đem trăm năm cảnh đến một cái tầng bốn yêu thú mỗi người dẫn tới một đầu.

	"Hống!"

	Bốn con yêu thú hồn nhiên không có tù nhân tỉnh ngộ, hướng về phía Bắc Phong gầm thét.

	"Chẳng qua là hẳn làm sao khống chế Thiên Biến tiến vào những yêu thú này trong thân thể đâu ?"

	Bắc Phong trầm tư, trên tay nổi lên một cây giống như kim may giống vậy màu đen thui châm dài, trực tiếp nhiếp tới một đầu trăm năm cảnh tầng một yêu thú, thực lực cường đại trực tiếp để cho cái này con yêu thú ở Bắc Phong trong tay nhúc nhích không thể.

	"Cái này cây kim đặt ở còn lại vị trí khó giữ được hiểm, như vậy thứ nhất cũng chỉ có thể đủ bỏ vào yêu thú trong đầu, nếu là khống chế cái này cây kim ở yêu thú trong đầu khuấy động, chỉ tiêu ngay tức thì là có thể để cho cái này con yêu thú toi mạng."

	Bắc Phong nhìn chằm chằm cái này con yêu thú quan sát một phen, đã quyết định, không buông ở trong đầu Bắc Phong cảm thấy không có quá chỗ đại dụng.

	"Đinh!"

	Bắc Phong cong ngón tay bắn ra, màu đen thùi lùi kim trực tiếp thủng cái này con yêu thú đỉnh đầu bao quanh lân mảnh, trực tiếp bắn vào cái này con yêu thú trong đầu.

	"Hống!"

	Bị Bắc Phong nắm trong tay yêu thú đầu tiên là sững sốt một chút, rồi sau đó điên cuồng giãy giụa, thân thể giống như rút gân giống vậy lay động, chỉ chốc lát liền lật ra xem thường, trên miệng hiện đầy bọt.

	"Đây là bó tới chỗ nào?"

	Nhìn tắt thở mà yêu thú, Bắc Phong cũng có chút lúng túng, cái này con yêu thú đột nhiên chết đi, duy nhất có thể chính là màu đen thùi lùi kim châm đến không thể đụng vào khu vực.

	Phân phó một tiếng ở bên cạnh chờ hộ vệ đội thành viên, lại là một đầu trăm năm cảnh tầng một yêu thú lại bị đeo lên tới.

	Con yêu thú thứ hai hơi khá hơn một chút, nhưng là cũng chỉ là không có yêu mà thôi, trực tiếp thành một cái tôm chân mềm, trừ còn chưa chết ra, toàn thân cũng không thể nhúc nhích.

	Con thứ ba yêu thú không có chết, cũng không có tê liệt, nhưng là trực tiếp thành một người ngu, chảy nước miếng chạy khắp nơi, bị thẹn quá thành giận Bắc Phong một cái tát đập chết.

	Bắc Phong trên mặt có chút không nén giận được, lần nữa đưa ra một con yêu thú sau đó, Bắc Phong lần này thận trọng đem màu đen thui giống như kim may lớn nhỏ Thiên Biến đâm vào trong đầu.

	"Hô!"

	Dè đặt đâm vào sau đó, Bắc Phong thở phào nhẹ nhõm, xoa xoa trên trán cũng không tồn tại mồ hôi lạnh, mới bắt đầu quan sát trước người yêu thú.

	Buông lỏng giam cầm yêu thú lực lượng, phía dưới yêu thú nhất thời cảm giác cả người buông lỏng một chút, nói lầm bầm trước nhanh chân chạy.

	"Thành!" Bắc Phong đầu tiên là ngẩn ngơ, rồi sau đó trên mặt lộ vẻ cười.

	Mắt thấy cái này con yêu thú đã chạy ra ngoài năm sáu trăm mét, Bắc Phong ý niệm động một cái, nhất thời tiến vào cái này con yêu thú trong đầu một bộ phận Thiên Biến bắt đầu ở yêu thú trong đầu tứ lược!

	"Ngao!"

	Một tiếng hét thảm xa xa truyền tới, cái này đầu yêu thú lớn cỡ nghé nhỏ đột nhiên ngã quỵ trên đất, chỉ chốc lát liền mất đi sinh mạng thể xuất chinh.

	"Quả nhiên, ở ta tinh thần lực phạm vi bảo phủ bên trong Thiên Biến giống như tay ta cánh tay vậy, sử dụng muốn gì được nấy. "

	Bắc Phong tự nói, bên người chờ hộ vệ đội võ giả mặc dù không biết Bắc Phong đang làm gì, nhưng là cũng rất tự giác đem đầu này chết đi yêu thú mang theo trở lại.

	"Xì!"

	Ung dung một đao rạch ra cái này con yêu thú đầu lâu, có thể thấy được cái này con yêu thú não vực đã thành một đống hồ dán, một cây màu đen đoản châm yên tĩnh nằm ở trong đó.

	Ý niệm động một cái, Thiên Biến trở lại trong cơ thể, Bắc Phong lần nữa phân phó dẫn tới một con yêu thú.

	Cái này thành công là thành công, nhưng là Bắc Phong muốn xem xem mình có thể khống chế Thiên Biến khoảng cách có phải hay không chỉ có một ngàn mét.

	Có lần trước thành công kinh nghiệm, Bắc Phong lần này cũng dễ dàng thành công, buông ra dưới chân yêu thú giam cầm sau đó, cái này con yêu thú cũng là giống như trước vậy một đầu chạy trốn yêu thú vậy, không dám đối với Bắc Phong ra tay, cũng không quay đầu lại chạy ra ngoài.

	Năm trăm mét!

	800m!

	Một ngàn mét!

	Bắc Phong đã tâm thần cũng xách lên, mặc dù biết hẳn chỉ có thể ở tinh thần mình bao phủ trong phạm vi khống chế Thiên Biến, nhưng Bắc Phong vẫn là muốn thử một chút, dẫu sao người cũng ôm may mắn tâm lý, nếu là có vạn nhất đâu ?

	Làm cái này con yêu thú bước ra một ngàn mét sau đó, Bắc Phong cùng Thiên Biến cảm ứng nhất thời biến mất, mặc dù đã có chuẩn bị, nhưng vẫn có chút thất lạc.

	Mấy bước bước ra, ung dung đánh chết cái này con yêu thú, Bắc Phong lần nữa bắt đầu khoa học người điên tác phong, không ngừng cầm những thứ yêu thú này làm thí nghiệm. .Chương 534: Thiên Biến chức năng đào! 
 Converter Dzung Kiều cầu khen thưởng 

	Bắc Phong cả người trong đầu tựa như vạch qua một tia chớp, đánh nát che lấp!

	Một cái ý nghĩ đột nhiên ở trong đầu nổi lên, Bắc Phong cả người thân thể đều là khẽ run lên, đây là đang hưng phấn!

	"Thiên Biến đã cùng ta tự thân hòa làm một thể, chẳng phân biệt được lẫn nhau, nếu là như vầy nói. . ."

	Bắc Phong tự lẩm bẩm, càng nói ánh mắt càng sáng, giống như gặp được mỹ nữ tuyệt thế vậy.

	"Vèo!"

	Một chuôi màu đen thùi lùi trường kiếm ở Bắc Phong trong tay tạo thành, rồi sau đó không gặp Bắc Phong có bất kỳ động tác, màu đen thùi lùi kiếm ngay tức thì phá không rời đi, biến mất không gặp!

	"Ha ha, quả nhiên như vậy!" Bắc Phong nhìn trong bàn tay đi mà trở lại màu đen thui trường kiếm, phá lên cười.

	"Thiên Biến đã coi như là ta tự thân một bộ phận, liền liền trong linh hồn cũng sáp nhập vào Thiên Biến, quả nhiên là có thể dùng tinh thần lực tới khống chế."

	Bắc Phong khóe miệng lộ vẻ cười, nhìn 800m bên ngoài một khối to lớn đá cuội không tiếng động phân vì 2 đoạn, hơn nửa bộ đã bắt đầu chậm rãi nghiêng.

	Bất quá đây không phải là Bắc Phong cao hứng nguyên nhân chủ yếu, bất quá là dùng tinh thần lực điều khiển binh khí thôi, còn không đáng giá Bắc Phong cao như vậy hưng.

	Chân chính để cho Bắc Phong cao hứng chính là Thiên Biến chân chính năng lực, nếu như đem Thiên Biến dung nhập vào còn lại võ giả trong thân thể, đây chẳng phải là nắm trong tay đối phương sống chết? !

	"Lữ Bố." Nghĩ tới đây một chút sau đó, Bắc Phong mở miệng kêu lên, thanh âm tụ thành một bó, truyền đến Lữ Bố bên tai.

	"Có thuộc hạ!"

	Lữ Bố vội vàng chạy tới, không dám thờ ơ.

	"Đi cho ta bắt mấy con yêu thú trở lại, phải sống, trăm năm cảnh đến một cái tầng bốn yêu thú ta đều phải."

	Bắc Phong phân phó, cái này dẫu sao chẳng qua là mình một cái ý nghĩ, được hay không được còn khác nói, là lấy giai đoạn thí nghiệm Bắc Phong định dùng yêu thú tới thử nghiệm.

	"Ừ!"

	Lữ Bố gật đầu một cái, mang theo mấy người rời đi thung lũng.

	Bắc Phong cũng không có thỏa mãn nơi này, xoay người trở lại về thung lũng chỗ sâu.

	"Phốc!"

	Bắc Phong nhìn thỏ lưu manh Cổ Kỳ cử động nhất thời không nhịn được cười ra tiếng, nhưng là thỏ lưu manh ở bên dòng suối nhỏ dùng mình lông xù cái đuôi đưa đến bên giòng suối, dẫn dụ trong suối cá tôm.

	Khoan hãy nói, cái này trong suối cá tôm không biết là không phải lâu dài tới nay không có gì khắc tinh, là lấy ngu, nhìn ở trong suối đung đưa thỏ lưu manh cái đuôi liền một cái cắn tới.

	Rồi sau đó thỏ lưu manh liền trực tiếp đem những thứ này ngu cá ngu tôm cho câu, rồi sau đó đứng ở bên cạnh, nhìn cá tôm ở nơi đó nhày gấp.

	Khoan hãy nói, có thể là thiên địa linh khí hơn nữa đậm đà nguyên nhân, những cá này tôm từng cái dáng dấp thể lớn phiêu phì, một đầu chừng trái banh lớn nhỏ con cua giơ lên kềm lớn hướng về phía thỏ lưu manh diệu võ dương oai, kết quả bị thỏ lưu manh một cước giẫm nát bấy.

	"Xem ra ngươi thật rỗi rãnh gắng gượng nhàm chán, ta cho ngươi tìm chút chuyện làm đi." Bắc Phong có chút bất đắc dĩ nói, thân vì đường đường ngàn năm vương cảnh giới yêu thú dùng mình cái đuôi đang câu cá tôm, nói ra có thể để cho người cười ngạo.

	"Nói lẩm bẩm!"

	Thỏ lưu manh đảo cặp mắt trắng dã, biết Bắc Phong là vô sự không lên điện tam bảo, 2-3 chân đem còn dư lại cá tôm đạp vào trong suối, nhày gấp đến Bắc Phong trước người, vẻ kiêu ngạo chỉ cao khí ngang giơ lên đầu, như là ở mắt nhìn xuống Bắc Phong vậy.

	" Ầm!"

	"Không lớn không nhỏ."

	Bắc Phong khóe miệng tung lên lau một cái độ cong, trực tiếp đưa tay cho thỏ lưu manh một cái bạo lật.

	"Ột ột ột!"

	Thỏ lưu manh nhe răng toét miệng, rồi sau đó một cước liền đem Bắc Phong cho đạp đi ra ngoài.

	" Ầm!" Bụi mù nổi lên bốn phía, Bắc Phong vẻ kiêu ngạo chật vật từ trong vách đá đi ra, màu trắng trên y phục xuất hiện một cái dấu chân thật to.

	"Ột ột ột!"

	Thỏ lưu manh không có tim không có phổi nhe răng, như là đang cười.

	Bắc Phong có chút không biết làm sao, mặc dù thỏ lưu manh chỉ số thông minh không thể so với loài người kém, nhưng là cái này tâm tính nhưng giỏi thay đổi, có lúc già dặn, có lúc tựa như trẻ nhỏ.

	Vỗ một cái bụi đất trên người, nhìn trên vách đá bị mình đập người đi ra ngoài hình con dấu, Bắc Phong khóe miệng co quắp, "Tốt lắm, không nói giỡn, ta là có chánh sự."

	Bắc Phong nghiêm nghị đứng lên, hướng về phía thỏ lưu manh Cổ Kỳ nói.

	"Nói lẩm bẩm!" Nhìn Bắc Phong bộ dáng này, thỏ lưu manh cũng thu lại vậy một bộ không có tim không có phổi hình dáng, một đóa dịch thấu trong suốt giống như màu đỏ thủy tinh giống vậy lỗ tai dài thật cao giơ lên.

	Mấy ngày này thiên hạc tinh thuật dần dần bắt đầu có hiệu lực, biến đổi ngầm ảnh hưởng thỏ lưu manh tâm trí, để cho thỏ lưu manh đối với Bắc Phong càng ngày càng thân thiết gần.

	Là lấy mới vừa rồi Bắc Phong cũng không giận bị thỏ lưu manh Cổ Kỳ đạp một cước kia, cũng coi là loại khác đào tạo tình cảm phương thức đi.

	Bắc Phong nhìn thỏ lưu manh Cổ Kỳ vẻ mặt thành thật hình dáng, trong lòng gật đầu một cái, rồi sau đó chậm rãi mở miệng nói, "Ta cần một đầu ngàn năm vương cảnh yêu thú, cần phải sống."

	"Ột ột ột!"

	Thỏ lưu manh Cổ Kỳ gật đầu một cái, coi như là đáp ứng.

	"Chú ý an toàn, chuyện không thể vì cũng được đi."

	Bắc Phong sợ thỏ lưu manh Cổ Kỳ làm bậy, là lấy dặn dò đến.

	"Nói lẩm bẩm!" Thỏ lưu manh Cổ Kỳ hống khiếu một tiếng, tung tăng rời đi, mỗi một lần nảy lên chính là đếm hơn trăm ngàn mét xa, mấy cái lên xuống liền biến mất ở Bắc Phong trong tầm mắt.

	Bắc Phong ngồi xếp bằng, dùng ý niệm không ngừng khống chế Thiên Biến huyễn hóa ra tới nhiều loại binh khí.

	Bất kỳ đồ đều là quen thuộc có thể sinh đúng dịp, khống chế Thiên Biến cũng giống như vậy, từ vừa mới bắt đầu phải dùng 5 phút mới có thể làm cho Thiên Biến ngưng tụ ra một nửa kiếm thể, đến bây giờ Bắc Phong chỉ cần mấy giây thời gian là có thể ngưng tụ ra một thanh trường kiếm!

	Chẳng qua là ngưng tụ trường kiếm tốc độ đổi nhanh, còn lại vũ khí ngưng tụ hiển nhiên còn cần Bắc Phong từng bước một thuần thục.

	Nửa giờ sau đó, Bắc Phong ngừng lại, một hồi Lữ Bố liền phải dẫn yêu thú trở về, đừng bây giờ liền đem tinh thần lực dùng xong hết rồi.

	Khống chế Thiên Biến tạo thành nhiều loại vũ khí đối với tinh thần lực hao tổn vẫn đủ nghiêm trọng, Bắc Phong không muốn chờ hạ bởi vì vì tinh thần lực chưa đủ ra hiện biến cố.

	Lăn lộn thân khí huyết như sông lớn dâng trào, khí huyết mạnh mẽ cũng biết đối với tinh thần cùng linh hồn đưa đến hỗ trợ lẫn nhau cỡ đó, là lấy không một lát nữa thời gian, lại thêm chi nuốt một ít khôi phục tinh thần lực linh dược, Bắc Phong tiêu hao hết tinh thần lực cũng khôi phục xong hết rồi.

	"Gia chủ, ngài muốn yêu thú đã mang về, tổng cộng sáu mươi bốn đầu."

	Lữ Bố đứng ở một bên, cả người chiến ý giống như sóng biển, trầm trầm phù phù, giống như là trải qua một cuộc ác chiến.

	"Ngươi khổ cực."

	Bắc Phong gật đầu một cái, rồi sau đó để cho Lữ Bố đem trăm năm cảnh đến một cái tầng bốn yêu thú mỗi người dẫn tới một đầu.

	"Hống!"

	Bốn con yêu thú hồn nhiên không có tù nhân tỉnh ngộ, hướng về phía Bắc Phong gầm thét.

	"Chẳng qua là hẳn làm sao khống chế Thiên Biến tiến vào những yêu thú này trong thân thể đâu ?"

	Bắc Phong trầm tư, trên tay nổi lên một cây giống như kim may giống vậy màu đen thui châm dài, trực tiếp nhiếp tới một đầu trăm năm cảnh tầng một yêu thú, thực lực cường đại trực tiếp để cho cái này con yêu thú ở Bắc Phong trong tay nhúc nhích không thể.

	"Cái này cây kim đặt ở còn lại vị trí khó giữ được hiểm, như vậy thứ nhất cũng chỉ có thể đủ bỏ vào yêu thú trong đầu, nếu là khống chế cái này cây kim ở yêu thú trong đầu khuấy động, chỉ tiêu ngay tức thì là có thể để cho cái này con yêu thú toi mạng."

	Bắc Phong nhìn chằm chằm cái này con yêu thú quan sát một phen, đã quyết định, không buông ở trong đầu Bắc Phong cảm thấy không có quá chỗ đại dụng.

	"Đinh!"

	Bắc Phong cong ngón tay bắn ra, màu đen thùi lùi kim trực tiếp thủng cái này con yêu thú đỉnh đầu bao quanh lân mảnh, trực tiếp bắn vào cái này con yêu thú trong đầu.

	"Hống!"

	Bị Bắc Phong nắm trong tay yêu thú đầu tiên là sững sốt một chút, rồi sau đó điên cuồng giãy giụa, thân thể giống như rút gân giống vậy lay động, chỉ chốc lát liền lật ra xem thường, trên miệng hiện đầy bọt.

	"Đây là bó tới chỗ nào?"

	Nhìn tắt thở mà yêu thú, Bắc Phong cũng có chút lúng túng, cái này con yêu thú đột nhiên chết đi, duy nhất có thể chính là màu đen thùi lùi kim châm đến không thể đụng vào khu vực.

	Phân phó một tiếng ở bên cạnh chờ hộ vệ đội thành viên, lại là một đầu trăm năm cảnh tầng một yêu thú lại bị đeo lên tới.

	Con yêu thú thứ hai hơi khá hơn một chút, nhưng là cũng chỉ là không có yêu mà thôi, trực tiếp thành một cái tôm chân mềm, trừ còn chưa chết ra, toàn thân cũng không thể nhúc nhích.

	Con thứ ba yêu thú không có chết, cũng không có tê liệt, nhưng là trực tiếp thành một người ngu, chảy nước miếng chạy khắp nơi, bị thẹn quá thành giận Bắc Phong một cái tát đập chết.

	Bắc Phong trên mặt có chút không nén giận được, lần nữa đưa ra một con yêu thú sau đó, Bắc Phong lần này thận trọng đem màu đen thui giống như kim may lớn nhỏ Thiên Biến đâm vào trong đầu.

	"Hô!"

	Dè đặt đâm vào sau đó, Bắc Phong thở phào nhẹ nhõm, xoa xoa trên trán cũng không tồn tại mồ hôi lạnh, mới bắt đầu quan sát trước người yêu thú.

	Buông lỏng giam cầm yêu thú lực lượng, phía dưới yêu thú nhất thời cảm giác cả người buông lỏng một chút, nói lầm bầm trước nhanh chân chạy.

	"Thành!" Bắc Phong đầu tiên là ngẩn ngơ, rồi sau đó trên mặt lộ vẻ cười.

	Mắt thấy cái này con yêu thú đã chạy ra ngoài năm sáu trăm mét, Bắc Phong ý niệm động một cái, nhất thời tiến vào cái này con yêu thú trong đầu một bộ phận Thiên Biến bắt đầu ở yêu thú trong đầu tứ lược!

	"Ngao!"

	Một tiếng hét thảm xa xa truyền tới, cái này đầu yêu thú lớn cỡ nghé nhỏ đột nhiên ngã quỵ trên đất, chỉ chốc lát liền mất đi sinh mạng thể xuất chinh.

	"Quả nhiên, ở ta tinh thần lực phạm vi bảo phủ bên trong Thiên Biến giống như tay ta cánh tay vậy, sử dụng muốn gì được nấy. "

	Bắc Phong tự nói, bên người chờ hộ vệ đội võ giả mặc dù không biết Bắc Phong đang làm gì, nhưng là cũng rất tự giác đem đầu này chết đi yêu thú mang theo trở lại.

	"Xì!"

	Ung dung một đao rạch ra cái này con yêu thú đầu lâu, có thể thấy được cái này con yêu thú não vực đã thành một đống hồ dán, một cây màu đen đoản châm yên tĩnh nằm ở trong đó.

	Ý niệm động một cái, Thiên Biến trở lại trong cơ thể, Bắc Phong lần nữa phân phó dẫn tới một con yêu thú.

	Cái này thành công là thành công, nhưng là Bắc Phong muốn xem xem mình có thể khống chế Thiên Biến khoảng cách có phải hay không chỉ có một ngàn mét.

	Có lần trước thành công kinh nghiệm, Bắc Phong lần này cũng dễ dàng thành công, buông ra dưới chân yêu thú giam cầm sau đó, cái này con yêu thú cũng là giống như trước vậy một đầu chạy trốn yêu thú vậy, không dám đối với Bắc Phong ra tay, cũng không quay đầu lại chạy ra ngoài.

	Năm trăm mét!

	800m!

	Một ngàn mét!

	Bắc Phong đã tâm thần cũng xách lên, mặc dù biết hẳn chỉ có thể ở tinh thần mình bao phủ trong phạm vi khống chế Thiên Biến, nhưng Bắc Phong vẫn là muốn thử một chút, dẫu sao người cũng ôm may mắn tâm lý, nếu là có vạn nhất đâu ?

	Làm cái này con yêu thú bước ra một ngàn mét sau đó, Bắc Phong cùng Thiên Biến cảm ứng nhất thời biến mất, mặc dù đã có chuẩn bị, nhưng vẫn có chút thất lạc.

	Mấy bước bước ra, ung dung đánh chết cái này con yêu thú, Bắc Phong lần nữa bắt đầu khoa học người điên tác phong, không ngừng cầm những thứ yêu thú này làm thí nghiệm. .
