Chương 4: Như ngươi mong muốn! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Thực lực bắt đầu khôi phục sau đó, Bắc Phong cũng không muốn không mè nheo nữa đi xuống.
	Bên trong cô gái lại là phi phàm, đều có thực lực không yếu, cũng không phải là rửa mắt bình hoa.

	Mà giống như là tinh xảo lò, cho người thải bổ!

	Cái này các nơi, há là trước mắt cái này ăn mặc rách rưới, si ngốc người có thể đi vào!

	Bắc Phong nhìn sắp đâm đến trên ót mình ngón tay, cặp mắt đông lại một cái!

	" Ầm!"

	Một đạo thần mang từ trong mắt bính bắn ra, giam cầm bốn phía không gian!

	Rồi sau đó đến từ không gian khổng lồ áp lực, ngay tức thì đem người trước mắt nghiền ép đến chết!

	Huyết dịch hóa là sương mù, ngưng mà không tán, mà theo sau không gian sụp đổ mà biến mất!

	Một cái người lớn sống, chớp mắt ở giữa biến mất không gặp, không có để lại chút nào tồn tại dấu vết!

	Một người khác sợ choáng váng, đặt mông ngồi dưới đất, dưới háng bị đánh ướt, khác thường vị truyền ra.

	Bắc Phong xem cũng không xem, hướng Phượng Nghi lâu bên trong đi tới.

	Trong Phượng Nghi lầu, phần lớn đều là bị từ khắp nơi bắt cóc mà đến cô gái, từ nhỏ bắt đầu đào tạo.

	Nhưng cũng không thiếu tự nguyện tiến vào Phượng Nghi lâu cô gái, hết thảy chỉ là vì sinh hoạt.

	Cho dù là ở cao nhất tinh thần, nhưng cái này chút người bình thường đến trưởng thành, tu vi cũng chính là ngàn năm vương hình dáng.

	Cuộc sống ở chất lượng cao vô cùng trên ngôi sao, dù là những người này đều là ngàn năm vương, có thể cùng còn lại cỡ nhỏ tinh thần trên người bình thường cũng không có gì khác biệt!

	"Từ đâu tới xin cơm, còn không mau đuổi ra ngoài, nếu là đã quấy rầy quý nhân, xem không lột các ngươi da!"

	Một vị nữ tử người mặc mỏng y, đầu ngón tay bịt miệng cái mũi một mặt chê.

	Chẳng qua là bốn phía lại có thể cũng không có người chuồng nuôi côn đồ tồn tại.

	Cô gái chê đi, Bắc Phong vậy không thèm để ý.

	Tinh thần khuếch tán ra, càn quét toàn bộ Phượng Nghi lâu!

	Nói là lầu, thực ra không phải vậy.

	Cái này một ngôi lầu trong tiếp đãi chẳng qua là một ít tầm thường đại hộ nhân gia, nhà giàu có thương nhân, trong đó cô gái vậy chỉ số tầm thường.

	Mà ở Phượng Nghi lâu phía sau, còn diện tích rộng rãi, bên trong đều là phủ đầy trận pháp, có đơn độc sân tồn tại!

	Bắc Phong như ở nhà mình hậu hoa viên bên trong tản bộ, bước ra một bước chính là mấy chục trượng ra, một đường chỗ đi qua, bất kỳ trận pháp cũng coi như vô vật.

	"Thanh Trĩ viện."

	Bắc Phong đi tới lui ngừng ngừng, ở một nơi to lớn sân trước dừng bước, cảm giác được chủ cũ em gái bóng người.

	Ở Bắc Phong tinh thần lực trong cảm giác, trước mắt bao phủ toàn bộ sân trận pháp như không tồn tại, bên trong hết thảy gió thổi cỏ lay đều bị Bắc Phong nắm trong tay.

	Bên trong vô số còn tấm bé cô gái cuộc sống ở trong đó, có người chuyên phụ trách dạy dỗ các cô gái.

	Làm đạt tới yêu cầu sau đó, những cô gái này liền sẽ bắt đầu tiếp khách.

	Trong đó tu luyện thành công cô gái, chính là đơn độc một viện, tiếp đãi quý khách cũng không phải thông thường phàm phu tục tử.

	Còn như còn lại người thất bại,

	Đương nhiên là đưa đến trước lầu, một một ngày lại một ngày cùng buôn bán tôi tớ, thương nhân nhập bọn.

	Dưới chân động một cái, một bước bước vào trong sân, đáng sợ lực lượng ngay tức thì đem tất cả phụ trách huấn luyện các cô gái người trấn giết.

	Bắc Phong hướng trong một gian phòng đi tới, đẩy cửa ra, nội môn phát ra kêu lên.

	Hai cái cô gái thần sắc có chút sợ hãi, nhưng thấy rõ người tới sau đó, một vị trong đó cô gái nhưng là sững sốt một chút.

	Cô gái bất quá hai tám tuổi tác, tướng mạo xuất chúng, giờ phút này nhưng là chạy tới cửa, đóng cửa lại, một mặt nóng nảy, "Anh cả, ngươi làm sao tới? Đi mau, thừa dịp bọn họ còn không có phát hiện ngươi!"

	Bắc Phong trên mặt hiện lên một nụ cười, cô gái này cũng coi là tự xem lớn lên.

	"Ta tới mang ngươi rời đi nơi này."

	Bắc Phong đưa tay ra, hướng cô gái đỉnh đầu mò đi.

	Chủ cũ cũng không thiếu như vậy làm, Kiều Mộc cũng là khá là hưởng thụ, hai người sống nương tựa lẫn nhau.

	Nhưng lần này, Kiều Mộc nhưng là thân thể cứng đờ, theo bản năng hướng bên cạnh chớp mắt.

	Để cho Bắc Phong tay rơi xuống một cái không trung.

	"Anh cả, vô dụng, không trốn thoát, ngươi đi mau."

	Kiều Mộc thúc giục, hơn nữa mặt lộ vẻ đáng thương, để cho một vị khác phục vụ mình khởi cư nha hoàn không muốn sinh trưởng.

	"Không có sao, ta có thể mang ngươi rời đi!"

	Bắc Phong trong mắt mang vẻ kinh dị.

	Kiều Mộc ngây ngẩn, cảm giác hôm nay anh cả tựa hồ giống như là biến thành một người khác, trong mắt vô tri vô giác vẻ cũng là tiêu tán, Kiều Mộc đầu lâu thấp rũ xuống, một hồi lâu sau, Kiều Mộc thanh âm sâu kín vang lên, "Anh cả, coi như chúng ta chạy đi vừa có thể như thế nào?"

	"Trốn sau khi đi ra ngoài, mỗi ngày cho ngươi lang bạc kỳ hồ, Ăn Không No mặc không đủ ấm, cùng ăn mày nhập bọn, thậm chí còn muốn thời thời khắc khắc đề phòng những tên khất cái này làm nhục ta rõ ràng."

	"Nhưng bây giờ, ta qua rất khá, cẩm y ngọc thực, có người phục vụ, ta tại sao còn muốn cùng ngươi rời đi, ngươi chính là ta phiền toái!"

	"Anh cả, ngươi có thể hài lòng? Đi à!"

	Rốt cuộc, Kiều Mộc bộc phát, những ngày qua rất nhiều gian khổ, ủy khuất, vào giờ khắc này bùng nổ!

	Kiều Mộc giữ lại nước mắt, thần sắc nhưng là kiên quyết!

	Hôm nay cuộc sống như thế không đúng là mình hướng tới sao?

	Rời đi nơi này, lại để cho mình lấy là giường lấy trời là chăn, thậm chí ăn cùng chó hoang cướp đoạt mà đến thức ăn sao?

	Nhưng Kiều Mộc chỉ nhớ cái này một ít, nhưng quên mất là hắn huynh lâu một chút điểm tướng hắn lôi kéo lớn lên.

	Chủ cũ luôn là lúc đang ngủ, đem một giường phá chăn nệm toàn bộ đắp lên Kiều Mộc trên mình.

	Cũng là chủ cũ, ở làm Kiều Mộc thiếu chút nữa bị ăn mày ô nhục, liều mạng tương bác!

	Lại là chủ cũ ở giá rét mùa đông, cùng chó hoang giành giật ăn, toàn bộ dành cho em gái, mình mang cười ngây ngô, len lén đào ra điểm rễ cỏ, liền một cái thấu xương tuyết trắng nuốt trôi.

	Ví dụ như loại này không đếm xuể.

	Rất khó tưởng tượng, một cái si ngốc kẻ ngu, có thể vì em gái làm được các loại như vậy trình độ kinh người!

	"Chẳng qua là chính là một tháng, lòng người giỏi thay đổi."

	Bắc Phong bình tĩnh nhìn Kiều Mộc, lắc đầu một cái.

	"Do tằn tiện tới tiêu xài xa xỉ, do xa xỉ lại tằn tiện khó khăn."

	Đây là ngươi muốn qua sinh hoạt, nhưng cũng không phải chủ cũ nơi muốn thấy được sinh hoạt, chủ cũ muốn nhìn thấy là em gái cuộc sống không buồn không lo.

	"Đây chính là ngươi quyết định?"

	"Như vậy như ngươi mong muốn!"

	Bắc Phong đứng ở Kiều Mộc trước người, thanh âm như chuông lớn đại lữ.Chương 4: Như ngươi mong muốn! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Thực lực bắt đầu khôi phục sau đó, Bắc Phong cũng không muốn không mè nheo nữa đi xuống.

	"Phương thế giới này chính là mộ đạo, giai đoạn trước tu hành cùng võ giả tầm thường cũng không có khác biệt, có thể đến đại năng giả cảnh giới sau đó, lại muốn có tăng lên, thì nhất định phải gia nhập mộ đạo, hưởng thụ hương khói cung phụng, phải Thiên đạo thừa nhận, hạ xuống đại đạo hình chiếu."

	Thiên đạo là một cái củ cà rốt một cái hố, nhưng đại đạo nhưng có thể phân hóa muôn vàn.

	Không cần lo lắng đại đạo chưa đủ.

	"Như vậy thì mau sớm nắm trong tay phương này vương triều, lập được hương khói, cung phụng cùng ta."

	Bắc Phong cười khẽ, thân thể biến mất không gặp.

	Một lần nữa lúc xuất hiện, đã đến Phượng Nghi lâu phía trước.

	Vẫn là vậy một bộ dáng, thậm chí trên mình còn ăn mặc tả tơi Ma Y, chỉ có cả người khí thế nhưng là long trời lỡ đất, trong mắt càng giống như là hàm chứa một phương vũ trụ, sâu không thấy đáy!

	Bắc Phong nhấc chân, hướng trong Phượng Nghi lầu đi tới.

	Đáp lời đứng ở cửa hai vị hảo thủ không có nửa điểm để ý tới.

	Chính là một phương vương triều mà thôi, không cần dùng để cho thực lực bắt đầu khôi phục Bắc Phong kiêng kỵ.

	Vương triều quá nhiều, ở Trấn Ma tinh thượng, vương triều nhiều như vì sao dày đặc.

	"Còn dám tới đây? Mau cút!"

	Đang đang nói chuyện trời đất hai người gặp Bắc Phong đi tới, rối rít bịt mũi, giống như là ngửi được cái gì mùi khó ngửi vậy.

	Một người khác chính là hung tợn đưa ngón tay ra, chỉ Bắc Phong mắng.

	Nơi này chính là Phượng Nghi lâu, tầm thường đạt quan quý nhân đi vào chơi một đêm cũng phải phá sản, chỉ có thần quan, mới có sức chống đỡ tiêu hao.

	Bên trong cô gái lại là phi phàm, đều có thực lực không yếu, cũng không phải là rửa mắt bình hoa.

	Mà giống như là tinh xảo lò, cho người thải bổ!

	Cái này các nơi, há là trước mắt cái này ăn mặc rách rưới, si ngốc người có thể đi vào!

	Bắc Phong nhìn sắp đâm đến trên ót mình ngón tay, cặp mắt đông lại một cái!

	" Ầm!"

	Một đạo thần mang từ trong mắt bính bắn ra, giam cầm bốn phía không gian!

	Rồi sau đó đến từ không gian khổng lồ áp lực, ngay tức thì đem người trước mắt nghiền ép đến chết!

	Huyết dịch hóa là sương mù, ngưng mà không tán, mà theo sau không gian sụp đổ mà biến mất!

	Một cái người lớn sống, chớp mắt ở giữa biến mất không gặp, không có để lại chút nào tồn tại dấu vết!

	Một người khác sợ choáng váng, đặt mông ngồi dưới đất, dưới háng bị đánh ướt, khác thường vị truyền ra.

	Bắc Phong xem cũng không xem, hướng Phượng Nghi lâu bên trong đi tới.

	Trong Phượng Nghi lầu, phần lớn đều là bị từ khắp nơi bắt cóc mà đến cô gái, từ nhỏ bắt đầu đào tạo.

	Nhưng cũng không thiếu tự nguyện tiến vào Phượng Nghi lâu cô gái, hết thảy chỉ là vì sinh hoạt.

	Cho dù là ở cao nhất tinh thần, nhưng cái này chút người bình thường đến trưởng thành, tu vi cũng chính là ngàn năm vương hình dáng.

	Cuộc sống ở chất lượng cao vô cùng trên ngôi sao, dù là những người này đều là ngàn năm vương, có thể cùng còn lại cỡ nhỏ tinh thần trên người bình thường cũng không có gì khác biệt!

	"Từ đâu tới xin cơm, còn không mau đuổi ra ngoài, nếu là đã quấy rầy quý nhân, xem không lột các ngươi da!"

	Một vị nữ tử người mặc mỏng y, đầu ngón tay bịt miệng cái mũi một mặt chê.

	Chẳng qua là bốn phía lại có thể cũng không có người chuồng nuôi côn đồ tồn tại.

	Cô gái chê đi, Bắc Phong vậy không thèm để ý.

	Tinh thần khuếch tán ra, càn quét toàn bộ Phượng Nghi lâu!

	Nói là lầu, thực ra không phải vậy.

	Cái này một ngôi lầu trong tiếp đãi chẳng qua là một ít tầm thường đại hộ nhân gia, nhà giàu có thương nhân, trong đó cô gái vậy chỉ số tầm thường.

	Mà ở Phượng Nghi lâu phía sau, còn diện tích rộng rãi, bên trong đều là phủ đầy trận pháp, có đơn độc sân tồn tại!

	Bắc Phong như ở nhà mình hậu hoa viên bên trong tản bộ, bước ra một bước chính là mấy chục trượng ra, một đường chỗ đi qua, bất kỳ trận pháp cũng coi như vô vật.

	"Thanh Trĩ viện."

	Bắc Phong đi tới lui ngừng ngừng, ở một nơi to lớn sân trước dừng bước, cảm giác được chủ cũ em gái bóng người.

	Ở Bắc Phong tinh thần lực trong cảm giác, trước mắt bao phủ toàn bộ sân trận pháp như không tồn tại, bên trong hết thảy gió thổi cỏ lay đều bị Bắc Phong nắm trong tay.

	Bên trong vô số còn tấm bé cô gái cuộc sống ở trong đó, có người chuyên phụ trách dạy dỗ các cô gái.

	Làm đạt tới yêu cầu sau đó, những cô gái này liền sẽ bắt đầu tiếp khách.

	Trong đó tu luyện thành công cô gái, chính là đơn độc một viện, tiếp đãi quý khách cũng không phải thông thường phàm phu tục tử.

	Còn như còn lại người thất bại,

	Đương nhiên là đưa đến trước lầu, một một ngày lại một ngày cùng buôn bán tôi tớ, thương nhân nhập bọn.

	Dưới chân động một cái, một bước bước vào trong sân, đáng sợ lực lượng ngay tức thì đem tất cả phụ trách huấn luyện các cô gái người trấn giết.

	Bắc Phong hướng trong một gian phòng đi tới, đẩy cửa ra, nội môn phát ra kêu lên.

	Hai cái cô gái thần sắc có chút sợ hãi, nhưng thấy rõ người tới sau đó, một vị trong đó cô gái nhưng là sững sốt một chút.

	Cô gái bất quá hai tám tuổi tác, tướng mạo xuất chúng, giờ phút này nhưng là chạy tới cửa, đóng cửa lại, một mặt nóng nảy, "Anh cả, ngươi làm sao tới? Đi mau, thừa dịp bọn họ còn không có phát hiện ngươi!"

	Bắc Phong trên mặt hiện lên một nụ cười, cô gái này cũng coi là tự xem lớn lên.

	"Ta tới mang ngươi rời đi nơi này."

	Bắc Phong đưa tay ra, hướng cô gái đỉnh đầu mò đi.

	Chủ cũ cũng không thiếu như vậy làm, Kiều Mộc cũng là khá là hưởng thụ, hai người sống nương tựa lẫn nhau.

	Nhưng lần này, Kiều Mộc nhưng là thân thể cứng đờ, theo bản năng hướng bên cạnh chớp mắt.

	Để cho Bắc Phong tay rơi xuống một cái không trung.

	"Anh cả, vô dụng, không trốn thoát, ngươi đi mau."

	Kiều Mộc thúc giục, hơn nữa mặt lộ vẻ đáng thương, để cho một vị khác phục vụ mình khởi cư nha hoàn không muốn sinh trưởng.

	"Không có sao, ta có thể mang ngươi rời đi!"

	Bắc Phong trong mắt mang vẻ kinh dị.

	Kiều Mộc ngây ngẩn, cảm giác hôm nay anh cả tựa hồ giống như là biến thành một người khác, trong mắt vô tri vô giác vẻ cũng là tiêu tán, Kiều Mộc đầu lâu thấp rũ xuống, một hồi lâu sau, Kiều Mộc thanh âm sâu kín vang lên, "Anh cả, coi như chúng ta chạy đi vừa có thể như thế nào?"

	"Trốn sau khi đi ra ngoài, mỗi ngày cho ngươi lang bạc kỳ hồ, Ăn Không No mặc không đủ ấm, cùng ăn mày nhập bọn, thậm chí còn muốn thời thời khắc khắc đề phòng những tên khất cái này làm nhục ta rõ ràng."

	"Nhưng bây giờ, ta qua rất khá, cẩm y ngọc thực, có người phục vụ, ta tại sao còn muốn cùng ngươi rời đi, ngươi chính là ta phiền toái!"

	"Anh cả, ngươi có thể hài lòng? Đi à!"

	Rốt cuộc, Kiều Mộc bộc phát, những ngày qua rất nhiều gian khổ, ủy khuất, vào giờ khắc này bùng nổ!

	Kiều Mộc giữ lại nước mắt, thần sắc nhưng là kiên quyết!

	Hôm nay cuộc sống như thế không đúng là mình hướng tới sao?

	Rời đi nơi này, lại để cho mình lấy là giường lấy trời là chăn, thậm chí ăn cùng chó hoang cướp đoạt mà đến thức ăn sao?

	Nhưng Kiều Mộc chỉ nhớ cái này một ít, nhưng quên mất là hắn huynh lâu một chút điểm tướng hắn lôi kéo lớn lên.

	Chủ cũ luôn là lúc đang ngủ, đem một giường phá chăn nệm toàn bộ đắp lên Kiều Mộc trên mình.

	Cũng là chủ cũ, ở làm Kiều Mộc thiếu chút nữa bị ăn mày ô nhục, liều mạng tương bác!

	Lại là chủ cũ ở giá rét mùa đông, cùng chó hoang giành giật ăn, toàn bộ dành cho em gái, mình mang cười ngây ngô, len lén đào ra điểm rễ cỏ, liền một cái thấu xương tuyết trắng nuốt trôi.

	Ví dụ như loại này không đếm xuể.

	Rất khó tưởng tượng, một cái si ngốc kẻ ngu, có thể vì em gái làm được các loại như vậy trình độ kinh người!

	"Chẳng qua là chính là một tháng, lòng người giỏi thay đổi."

	Bắc Phong bình tĩnh nhìn Kiều Mộc, lắc đầu một cái.

	"Do tằn tiện tới tiêu xài xa xỉ, do xa xỉ lại tằn tiện khó khăn."

	Đây là ngươi muốn qua sinh hoạt, nhưng cũng không phải chủ cũ nơi muốn thấy được sinh hoạt, chủ cũ muốn nhìn thấy là em gái cuộc sống không buồn không lo.

	"Đây chính là ngươi quyết định?"

	"Như vậy như ngươi mong muốn!"

	Bắc Phong đứng ở Kiều Mộc trước người, thanh âm như chuông lớn đại lữ.
