Chương 128: Kinh sợ! 
 Converter Dzung Kiều cầu khen thưởng 

	Bị ôm Người Nghiền Nát cánh tay vẫn còn ở Người Đồ Sát Ma trong ngực, còn không có thu hồi lại.
	Ba giây sau đó, ngọn lửa chậm rãi tản đi, lộ ra trong đó không có một chút tổn thương gió giật kế hoạch xây dựng cơ giáp!

	Một máy X8 hình hào người máy nhận được chỉ thị, không chút do dự xông về hố đen trong!

	Còn lại cơ giáp sư đứng yên không nhúc nhích, yên lặng nhìn.

	Quỷ biết cái này không gian hố đen sau lưng thông hướng chỗ đó, có thể là mới tinh vực, cũng có thể là một ít chết đường cùng!

	Nhưng sân đấu Bạo Phong người phụ trách rõ ràng cho thấy muốn đánh cuộc một lần, vạn nhất cái này hố đen sau thông hướng một cái mới tinh không có đi qua khai thác tinh cầu vậy thì được lợi lớn!

	Đang lúc mọi người nhìn soi mói X8 hình hào người máy chậm rãi chen vào nhập màu đen quang động!

	"Thật là đáng sợ văn minh!" Bắc Phong bị gió giật kế hoạch xây dựng cơ giáp hù dọa, tốc độ nhanh đến không tưởng tượng nổi, mình cũng không có thấy rõ ràng nó động tác, Người Đồ Sát Ma cơ giáp liền bị phá hủy!

	"Cũng may còn có một máy người không có bị phá hủy, nếu không ngày hôm nay liền đi một chuyến vô ích!"

	Nhìn hoàn hảo không hao tổn Người Nghiền Nát cơ giáp, Bắc Phong trong lòng cuối cùng là có chút an ủi.

	Còn như khác một máy người còn chỉ còn lại 2 phần 3, chân trở lên còn bị Người Nghiền Nát cơ giáp bắt bỏ vào ngực, Bắc Phong phỏng đoán coi như câu đứng lên phỏng đoán cũng không có cái gì trọng dụng.

	"Không tốt!" Bắc Phong sắc mặt đột nhiên biến đổi, 3m sau một máy người lại có thể bước chân vào quang động trong!

	Bắc Phong thần sắc biến đổi không chừng, "Muốn không muốn cần câu ném xuống!"

	Nhưng cần câu ném xuống cũng không biết sau này mình còn có thể không thể thả câu, không ném lời nói máy này nhìn như vô cùng uy mãnh người máy có thể hay không theo cái này quang động xuất hiện ở cầu? !

	May là không có để cho Bắc Phong tiếp tục quấn quít đi xuống, tầng 1 vô hình chập chờn nhẹ nhàng quét qua X8 hình hào người máy, rồi sau đó cái này X8 hình hào người máy bề ngoài đủ để chống cự mấy triệu nhiệt độ, chống cự mô hình nhỏ tàu chiến đấu chủ pháo một kích thân thể cứ như vậy hóa thành nghiền!

	"Oanh!"

	X8 hình hào người máy động lực lò nổ, không có bất kỳ thanh âm truyền tới, chỉ có vô tận quang cùng nóng!

	Cái này quang kỳ quái lưu ly không gian lối đi cũng kịch liệt sóng gió nổi lên, từng tầng một mắt thường có thể thấy được y liên chập chờn không nghỉ!

	Cái này một máy X8 hình hào người máy động lực lò nổ sinh ra lực lượng đủ để sánh bằng triệu tấn mô hình nhỏ hạch võ!

	Tầng 1 như tờ giấy vậy mỏng ánh sáng từ lưỡi câu ở trên tản mát ra, đem Người Nghiền Nát hai người máy bao ở trong đó.

	Tản ra hủy diệt chập chờn sóng trùng kích ngay tức thì đuổi kịp hai người máy, nhưng mặc cho bằng cái này một cổ hủy diệt năng lượng như thế nào tứ lược, cũng không làm gì được hai người máy bề ngoài mỏng tựa như một thọt liền phá vòng bảo vệ!

	Theo Bắc Phong quấn dây, người máy ngay tức thì đi xa, một giây kế tiếp, hai người máy ở trong giếng cổ từ từ nổi lên.

	"Cảnh cáo! Cảnh cáo! Phát sinh không biết sai lầm, DNA để dành thất bại, mời lần nữa đào được DNA!"

	"Cảnh cáo! Cảnh cáo! Hệ thống cùng đế quốc Trấn Đán Internet nối liền thất bại, mời người công liên tiếp!"

	Hai người máy bị Bắc Phong kéo lên, Người Nghiền Nát còn duy trì móng nhọn cắm vào Người Đồ Sát Ma lồng ngực động tác, phát ra từng tiếng tiếng cơ giới.

	"Đinh! Thả câu đến vật phẩm cấp 3, Người Nghiền Nát người máy! (toàn thân áp dụng đế quốc Trấn Đán nghiên cứu đặc chủng hợp kim cùng trí nhớ kim loại dựa theo hà khắc tỷ lệ chế tạo thành, đánh cận chiến người máy đánh cận chiến đại sư, có sơ cấp trí tuệ và năng lực, sổ cư khố trong ẩn chứa ở trên một trăm ngàn loại chiến đấu phương pháp, đủ để ứng đối bất kỳ trong chiến đấu yêu cầu! Nắm giữ nhập môn cấp võ tồi lòng móng! ) thả câu kinh nghiệm gia tăng bốn ngàn tám!"

	"Đinh! Thả câu đến cấp 3 không lành lặn vật phẩm, Người Đồ Sát Ma người máy! (trong hư hại, có thể tu bổ! ) thả câu kinh nghiệm gia tăng một ngàn rưỡi! Khoảng cách thăng cấp người thả câu cấp 3 còn cần bốn ngàn chín trăm tám mươi trị giá kinh nghiệm!"Chương 128: Kinh sợ! 
 Converter Dzung Kiều cầu khen thưởng 

	Bị ôm Người Nghiền Nát cánh tay vẫn còn ở Người Đồ Sát Ma trong ngực, còn không có thu hồi lại.

	"Cảnh cáo! Cảnh cáo! Hệ thống bị lỗi, không cách nào phân biệt, mời chuyển nhập nhân công làm việc!"

	Người Nghiền Nát ngưng hoạt động, lấy Người Nghiền Nát hệ thống thao tác hoàn toàn không biết dưới tình huống này nên xử lý như thế nào.

	"Người Nghiền Nát! Tránh thoát trói buộc!" Người Nghiền Nát chủ nhân tiếp quản quyền hạn, vội vàng phát ra ra lệnh!

	"Cảnh cáo! Cảnh cáo! Nên chỉ thị không thể thi hành, nguyên nhân không biết!"

	Đã lên tới hai mươi mấy thước trên không Người Nghiền Nát mắt điện tử lóe lên hồng mang, cơ giới hóa thanh âm xuyên thấu qua loa phóng thanh truyền khắp trong sân đấu.

	Bắc Phong là gặp hai người máy đều là vũ khí lạnh thiếp thân tác chiến, không có bất kỳ năng lượng nào vũ khí các loại thủ đoạn, mới chọn cái này hai người máy.

	Mặc dù nhìn như lợi hại, nhưng Bắc Phong có lòng tin đem đồng phục, coi như không thể đồng phục, cái này hai người máy đối với Trái Đất nguy hại cũng không biết lớn đi nơi nào.

	"Ai? Trời ạ, các người ai biết làm sao sửa đổi X1 hình hào người máy, để cho nó có có thể bay lên không năng lực? Cần muốn bao nhiêu tiền?"

	Người xem trên đài, một người con ngươi cũng sắp trừng ra ngoài, một mặt không thể tin hỏi những người bên cạnh.

	"Chớ trêu, ai đặc biệt sẽ ngu như vậy? X1 hình hào cổ lỗ sĩ cải tạo chi phí tỉ trọng mới mua một máy X7 đẳng cấp người máy còn đắt hơn!"

	Một người cười lạnh nói, có số tiền này còn không bằng đi mua một máy loại mới người máy tới tính toán.

	"Không phải à, ngươi xem vậy hai người máy không phải bay lên không?"

	Câu hỏi người nọ chỉ đang nhanh chóng bay lên không hai người máy nói.

	Người nọ ngẩn ngơ, dùng mắt ưng nhìn về phía trong sân, "Trời ạ! Thật là có loại này ngu đần à! Đợi một chút, làm sao có chút không đúng!"

	Người nọ điều chỉnh một chút mắt ưng bội số, rốt cuộc phát hiện đầu mối, "Sợi tơ này là từ đâu ra? Sân đấu phía trên nhưng mà cường đại năng lượng vòng bảo vệ, liền liền một cái dực mang con muỗi cũng không bay vào được!"

	Sân đấu người xem trên đài, càng ngày càng nhiều người phát hiện không đúng, một miếng trận kinh hô thanh truyền tới.

	Sân đấu người phụ trách cũng phát hiện không đúng, còi báo động ngay tức thì đại tác, ở trong sân đấu vang lên!

	Một máy chiếc X8 hình hào người máy, còn có cường đại cơ giáp ngay tức thì đột phá bức tường âm thanh, đạt tới ba lần tốc độ âm thanh, ngay tức thì liền xuất hiện ở đã có nửa đoạn thân thể tiến vào màu đen quang động trong Người Đồ Sát Ma bên cạnh!

	"Đây là cái gì? Không gian hố đen sao?"

	Một đám người thần sắc ngưng trọng, nhìn cái này một miếng chiều rộng 2m cỡ đó, ngăm đen không thấy đáy quang động, không dám tùy tiện hành động.

	Mà lúc này một hồi âm bạo thanh mới truyền vào mọi người lỗ tai, trong không khí bị đụng ra từng cái chân không lối đi, đây chính là cao cấp cơ giáp cùng cao cấp người máy cụ bị uy thế!

	Nói không khoa trương chút nào, một máy X8 hình hào người máy đủ để trên Trái Đất hoành hành! Trừ vũ khí nguyên tử ra, căn bản không có khác vũ khí có thể kích phá X8 người máy vỏ ngoài!

	"Kiểm tra hoàn thành! Thông thường hố đen, ổn định tính bình thường, không gặp nguy hiểm!"

	Chẳng qua là một giây không tới thời gian, một máy chiếc X8 hình hào người máy liền phát ra ngoài kiểm tra kết quả.

	Mà lúc này Người Đồ Sát Ma còn có vượt qua 1 phần 3 thân thể ở quang ngoài động bên, xác nhận cái này không gian hố đen sau khi an toàn một máy cơ giáp sư lái gió giật kế hoạch xây dựng cơ giáp đưa ra linh hoạt cánh tay, lóe từng tia màu đen đậm điện hồ bắt lại Người Đồ Sát Ma chân trần hung hăng hướng ra phía ngoài kéo một cái!

	" Ầm!"

	Người Đồ Sát Ma còn không có tiến vào quang động 1 phần 3 ngay tức thì nổ, một đoàn vượt qua 20m to lớn ngọn lửa ở giữa không trung dâng lên!

	Ba giây sau đó, ngọn lửa chậm rãi tản đi, lộ ra trong đó không có một chút tổn thương gió giật kế hoạch xây dựng cơ giáp!

	Một máy X8 hình hào người máy nhận được chỉ thị, không chút do dự xông về hố đen trong!

	Còn lại cơ giáp sư đứng yên không nhúc nhích, yên lặng nhìn.

	Quỷ biết cái này không gian hố đen sau lưng thông hướng chỗ đó, có thể là mới tinh vực, cũng có thể là một ít chết đường cùng!

	Nhưng sân đấu Bạo Phong người phụ trách rõ ràng cho thấy muốn đánh cuộc một lần, vạn nhất cái này hố đen sau thông hướng một cái mới tinh không có đi qua khai thác tinh cầu vậy thì được lợi lớn!

	Đang lúc mọi người nhìn soi mói X8 hình hào người máy chậm rãi chen vào nhập màu đen quang động!

	"Thật là đáng sợ văn minh!" Bắc Phong bị gió giật kế hoạch xây dựng cơ giáp hù dọa, tốc độ nhanh đến không tưởng tượng nổi, mình cũng không có thấy rõ ràng nó động tác, Người Đồ Sát Ma cơ giáp liền bị phá hủy!

	"Cũng may còn có một máy người không có bị phá hủy, nếu không ngày hôm nay liền đi một chuyến vô ích!"

	Nhìn hoàn hảo không hao tổn Người Nghiền Nát cơ giáp, Bắc Phong trong lòng cuối cùng là có chút an ủi.

	Còn như khác một máy người còn chỉ còn lại 2 phần 3, chân trở lên còn bị Người Nghiền Nát cơ giáp bắt bỏ vào ngực, Bắc Phong phỏng đoán coi như câu đứng lên phỏng đoán cũng không có cái gì trọng dụng.

	"Không tốt!" Bắc Phong sắc mặt đột nhiên biến đổi, 3m sau một máy người lại có thể bước chân vào quang động trong!

	Bắc Phong thần sắc biến đổi không chừng, "Muốn không muốn cần câu ném xuống!"

	Nhưng cần câu ném xuống cũng không biết sau này mình còn có thể không thể thả câu, không ném lời nói máy này nhìn như vô cùng uy mãnh người máy có thể hay không theo cái này quang động xuất hiện ở cầu? !

	May là không có để cho Bắc Phong tiếp tục quấn quít đi xuống, tầng 1 vô hình chập chờn nhẹ nhàng quét qua X8 hình hào người máy, rồi sau đó cái này X8 hình hào người máy bề ngoài đủ để chống cự mấy triệu nhiệt độ, chống cự mô hình nhỏ tàu chiến đấu chủ pháo một kích thân thể cứ như vậy hóa thành nghiền!

	"Oanh!"

	X8 hình hào người máy động lực lò nổ, không có bất kỳ thanh âm truyền tới, chỉ có vô tận quang cùng nóng!

	Cái này quang kỳ quái lưu ly không gian lối đi cũng kịch liệt sóng gió nổi lên, từng tầng một mắt thường có thể thấy được y liên chập chờn không nghỉ!

	Cái này một máy X8 hình hào người máy động lực lò nổ sinh ra lực lượng đủ để sánh bằng triệu tấn mô hình nhỏ hạch võ!

	Tầng 1 như tờ giấy vậy mỏng ánh sáng từ lưỡi câu ở trên tản mát ra, đem Người Nghiền Nát hai người máy bao ở trong đó.

	Tản ra hủy diệt chập chờn sóng trùng kích ngay tức thì đuổi kịp hai người máy, nhưng mặc cho bằng cái này một cổ hủy diệt năng lượng như thế nào tứ lược, cũng không làm gì được hai người máy bề ngoài mỏng tựa như một thọt liền phá vòng bảo vệ!

	Theo Bắc Phong quấn dây, người máy ngay tức thì đi xa, một giây kế tiếp, hai người máy ở trong giếng cổ từ từ nổi lên.

	"Cảnh cáo! Cảnh cáo! Phát sinh không biết sai lầm, DNA để dành thất bại, mời lần nữa đào được DNA!"

	"Cảnh cáo! Cảnh cáo! Hệ thống cùng đế quốc Trấn Đán Internet nối liền thất bại, mời người công liên tiếp!"

	Hai người máy bị Bắc Phong kéo lên, Người Nghiền Nát còn duy trì móng nhọn cắm vào Người Đồ Sát Ma lồng ngực động tác, phát ra từng tiếng tiếng cơ giới.

	"Đinh! Thả câu đến vật phẩm cấp 3, Người Nghiền Nát người máy! (toàn thân áp dụng đế quốc Trấn Đán nghiên cứu đặc chủng hợp kim cùng trí nhớ kim loại dựa theo hà khắc tỷ lệ chế tạo thành, đánh cận chiến người máy đánh cận chiến đại sư, có sơ cấp trí tuệ và năng lực, sổ cư khố trong ẩn chứa ở trên một trăm ngàn loại chiến đấu phương pháp, đủ để ứng đối bất kỳ trong chiến đấu yêu cầu! Nắm giữ nhập môn cấp võ tồi lòng móng! ) thả câu kinh nghiệm gia tăng bốn ngàn tám!"

	"Đinh! Thả câu đến cấp 3 không lành lặn vật phẩm, Người Đồ Sát Ma người máy! (trong hư hại, có thể tu bổ! ) thả câu kinh nghiệm gia tăng một ngàn rưỡi! Khoảng cách thăng cấp người thả câu cấp 3 còn cần bốn ngàn chín trăm tám mươi trị giá kinh nghiệm!"
